"伙伴id","伙伴名称","伙伴描述","类型","职业","攻击类型","造型id","头像id","大小比例","是否初始获得","生命","魔法","物攻","物防","法攻","法防","速度","治疗强度","控制命中","控制抗性","生命成长","魔法成长","物攻成长","物防成长","法攻成长","法防成长","速度成长","治疗强度成长","控制命中成长","控制抗性成长","战斗AI","技能1","技能2","技能3","技能4","技能5","技能6","技能7","技能8","技能9","精通技能","花费1类型","7天花费1","30天花费1","永久花费1","花费2类型","7天花费2","30天花费2","永久花费2","花费3类型","7天花费3","30天花费3","永久花费3","战斗AI类型1","战斗AI类型2","战斗AI类型3","战斗AI类型4","技能等级系数","技能等级常数"
"28111","地藏菩萨","","4","14","4","1020012","30379","1","0","212","200","106","53","85","42","32","21","0","0","48.19","34.62","6.43","8.64","7.88","6.47","7.26","2.37","0","10.4","","741001","741002","741003","741005","","","","","","741002","","920","3220","22540","","386400","2704800","27048000","","0","0","0","13100","32551","32551","32551","1","0"
"28112","小白龙","","2","15","2","1020013","30380","1","2","194","200","97","49","78","39","29","19","0","0","36.38","40.24","5.89","6.08","9.57","7.35","3.53","1.46","0","10.4","","751001","751002","751004","751005","","","","","","751001","","600","2100","14700","","252000","1764000","17640000","","0","0","0","13100","13010","13010","13010","1","0"
"28113","北海龙王","","2","15","2","1020014","30381","1","0","200","200","100","50","80","40","30","20","0","0","37.51","40.24","6.07","6.27","9.87","7.58","3.64","1.5","0","10.4","","751001","751002","751004","751005","","","","","","751001","","760","2660","18620","","319200","2234400","22344000","","0","0","0","13100","13010","13010","13010","1","0"
"28114","东海龙王","","2","15","2","1020015","30382","1","0","206","200","103","52","82","41","31","21","0","0","38.64","40.24","6.25","6.46","10.17","7.81","3.75","1.55","0","10.4","","751001","751002","751004","751005","","","","","","751001","","920","3220","22540","","386400","2704800","27048000","","0","0","0","13100","13009","13009","13009","1","0"
"28115","惠岸行者","","3","16","3","1020016","30383","1","0","194","200","97","49","78","39","29","19","0","0","44.1","34.62","5.89","7.91","7.21","5.92","6.64","2.3","0","10.4","","761001","761002","761003","761004","","","","","","761002","","600","2100","14700","","252000","1764000","17640000","","0","0","0","13100","13011","13011","13011","1","0"
"28116","挽歌公主","","3","16","3","1020017","30384","1","0","200","200","100","50","80","40","30","20","0","0","45.46","34.62","6.07","8.15","7.43","6.1","6.85","2.37","0","10.4","","761001","761002","761003","761004","","","","","","761002","","760","2660","18620","","319200","2234400","22344000","","0","0","0","13100","13011","13011","13011","1","0"
"28117","观音菩萨","","3","16","3","1020018","30385","1","0","206","200","103","52","82","41","31","21","0","0","46.82","34.62","6.25","8.39","7.65","6.28","7.06","2.44","0","10.4","","761001","761002","761003","761004","","","","","","761002","","920","3220","22540","","386400","2704800","27048000","","0","0","0","13100","13011","13011","13011","1","0"
"28118","红孩儿","","2","17","2","1020019","30386","1","2","194","200","97","49","78","39","29","19","0","0","36.38","40.24","5.89","6.08","9.57","7.35","3.53","1.46","0","10.4","","771001","771002","771003","771004","","","","","","771001","","600","2100","14700","","252000","1764000","17640000","","0","0","0","13021","13013","13013","13013","1","0"
"28119","铁扇公主","","2","17","2","1020020","30387","1","0","200","200","100","50","80","40","30","20","0","0","37.51","40.24","6.07","6.27","9.87","7.58","3.64","1.5","0","10.4","","771001","771002","771003","771004","","","","","","771001","","760","2660","18620","","319200","2234400","22344000","","0","0","0","13021","13013","13013","13013","1","0"
"28120","牛魔王","","2","17","2","1020021","30388","1","0","206","200","103","52","82","41","31","21","0","0","38.64","40.24","6.25","6.46","10.17","7.81","3.75","1.55","0","10.4","","771001","771002","771003","771004","","","","","","771001","","920","3220","22540","","386400","2704800","27048000","","0","0","0","13021","13013","13013","13013","1","0"
"28121","大当家","","1","18","1","1020022","30389","1","0","194","200","97","49","78","39","29","19","0","0","36.38","17.74","12.7","7.05","3.38","5.45","5.02","1.46","0","10.4","","781001","781002","781003","781004","","","","","","781001","","600","2100","14700","","252000","1764000","17640000","","0","0","0","13100","13016","13016","13016","1","0"
"28122","嫦娥","","1","18","1","1020023","30390","1","0","200","200","100","50","80","40","30","20","0","0","37.51","17.74","13.09","7.27","3.48","5.62","5.18","1.5","0","10.4","","781001","781002","781003","781004","","","","","","781001","","760","2660","18620","","319200","2234400","22344000","","0","0","0","13100","13016","13016","13016","1","0"
"28123","杨戬","","1","18","1","1020024","30391","1","0","206","200","103","52","82","41","31","21","0","0","38.64","17.74","13.48","7.49","3.58","5.79","5.34","1.55","0","10.4","","781001","781002","781003","781004","","","","","","781001","","920","3220","22540","","386400","2704800","27048000","","0","0","0","13100","13016","13016","13016","1","0"
"28124","司药御侍","","3","19","3","1020025","30392","1","0","194","200","97","49","78","39","29","19","0","0","44.1","34.62","5.89","7.91","7.21","5.92","6.64","2.3","0","10.4","","791001","791002","791003","791004","","","","","","791002","","600","2100","14700","","252000","1764000","17640000","","0","0","0","13100","13017","13017","13017","1","0"
"28125","空度禅师","","3","19","3","1020026","30393","1","0","200","200","100","50","80","40","30","20","0","0","45.46","34.62","6.07","8.15","7.43","6.1","6.85","2.37","0","10.4","","791001","791002","791003","791004","","","","","","791002","","760","2660","18620","","319200","2234400","22344000","","0","0","0","13100","13017","13017","13017","1","0"
"28126","唐僧","","3","19","3","1020027","30394","1","0","206","200","103","52","82","41","31","21","0","0","46.82","34.62","6.25","8.39","7.65","6.28","7.06","2.44","0","10.4","","791001","791002","791003","791004","","","","","","791002","","920","3220","22540","","386400","2704800","27048000","","0","0","0","13100","13017","13017","13017","1","0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
