阶段ID,技能描述（策划）,阶段类型,执行方式,播放延时,动作类型,动作最长时间,移动类型,同步保护,目的x,目的y,残影对象编号,残影对象透明度,移动时间,特效类型,特效位置类型,有痕迹,有方向,特效名,特效图层,音效,结果类型,执行结果最长时间,结果受击复位时间,瞬移类型,瞬移时间,保留,瞬移最长时间,多结果标示
11000125,破釜沉舟4-远程-施法特效,2,1,300,0,0,0,0,0,0,0,188,0,0,0,0,1,,0,,0,0,200,0,0,0,0,1
11000126,破釜沉舟4-远程-残影移动,1,1,400,0,0,0,1,0,5,1,0,180,0,5,0,0,geffect/skill/mt3_lr_3/mt3_lr_3_jian_,0,,0,50,50,0,0,0,0,1
11000127,破釜沉舟4-远程-弓箭特效移动,2,1,400,0,0,0,0,0,0,1,0,1,0,0,0,1,,1,,0,50,50,0,0,0,0,1
11000128,破釜沉舟4-远程-残影消失,1,1,580,0,0,3,0,0,0,1,0,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000129,破釜沉舟4-远程-受击特效,2,1,80,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.pfcz,0,DT-pfcz,0,0,200,0,0,0,0,1
11000130,破釜沉舟4-远程-受击结算,4,1,580,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,780,200,0,0,0,0,1
11000131,破釜沉舟4-远程-保护者返回,1,0,0,0,0,0,12,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000200,翩鸿一击-远程-攻击动作,0,1,0,8,1100,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000201,翩鸿一击-远程-施法特效,2,1,300,0,0,0,0,0,0,0,188,0,0,0,0,1,,0,,0,0,200,0,0,0,0,1
11000202,翩鸿一击-远程-残影移动,1,1,400,0,0,0,1,0,5,1,0,180,0,5,0,0,,0,,0,50,50,0,0,0,0,1
11000203,翩鸿一击-远程-弓箭特效移动,2,1,400,0,0,0,0,0,0,1,0,1,0,0,0,1,geffect/skill/mt_yuanchengpugong/mt_yuanchengpugong_,1,yc-gj,0,50,50,0,0,0,0,1
11000204,翩鸿一击-远程-残影消失,1,1,580,0,0,3,0,0,0,1,0,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000205,翩鸿一击-远程-受击特效,2,1,560,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.phyj,1,DT-phyj,0,0,200,0,0,0,0,1
11000206,翩鸿一击-远程-受击结算,4,1,580,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,780,200,0,0,0,0,1
11000207,翩鸿一击-远程-保护者返回,1,0,0,0,0,0,12,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000208,翩鸿一击-被动,4,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,10,0,0,0,0,1
11000300,横扫千军1-远程-攻击动作,0,1,0,8,1100,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000301,横扫千军1-远程-施法特效,2,1,300,0,0,0,0,0,0,0,188,0,0,0,0,1,,0,,0,0,200,0,0,0,0,1
11000302,横扫千军1-远程-残影移动,1,1,400,0,0,0,1,0,5,1,0,180,0,5,0,0,,0,,0,50,50,0,0,0,0,1
11000303,横扫千军1-远程-弓箭特效移动,2,1,400,0,0,0,0,0,0,1,0,1,0,0,0,1,geffect/skill/mt_yuanchengpugong/mt_yuanchengpugong_,1,yc-gj,0,50,50,0,0,0,0,1
11000304,横扫千军1-远程-残影消失,1,1,580,0,0,3,0,0,0,1,0,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000305,横扫千军1-远程-受击特效,2,1,560,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.hsqj,0,DT-hsqj,0,0,200,0,0,0,0,1
11000306,横扫千军1-远程-受击结算,4,1,580,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,780,200,0,0,0,0,1
11000307,横扫千军1-远程-保护者返回,1,0,0,0,0,0,12,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000308,横扫千军2-远程-攻击动作,0,1,0,8,1100,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000309,横扫千军2-远程-施法特效,2,1,300,0,0,0,0,0,0,0,188,0,0,0,0,1,,0,,0,0,200,0,0,0,0,1
11000310,横扫千军2-远程-残影移动,1,1,400,0,0,0,1,0,5,1,0,180,0,5,0,0,,0,,0,50,50,0,0,0,0,1
11000311,横扫千军2-远程-弓箭特效移动,2,1,400,0,0,0,0,0,0,1,0,1,0,0,0,1,geffect/skill/mt_yuanchengpugong/mt_yuanchengpugong_,1,yc-gj,0,50,50,0,0,0,0,1
11000312,横扫千军2-远程-残影消失,1,1,580,0,0,3,0,0,0,1,0,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000313,横扫千军2-远程-受击特效,2,1,560,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.hsqj,0,DT-hsqj,0,0,200,0,0,0,0,1
11000314,横扫千军2-远程-受击结算,4,1,580,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,780,200,0,0,0,0,1
11000315,横扫千军2-远程-保护者返回,1,0,0,0,0,0,12,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000316,横扫千军3-远程-攻击动作,0,1,0,8,1100,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000317,横扫千军3-远程-施法特效,2,1,300,0,0,0,0,0,0,0,188,0,0,0,0,1,,0,,0,0,200,0,0,0,0,1
11000318,横扫千军3-远程-残影移动,1,1,400,0,0,0,1,0,5,1,0,180,0,5,0,0,,0,,0,50,50,0,0,0,0,1
11000319,横扫千军3-远程-弓箭特效移动,2,1,400,0,0,0,0,0,0,1,0,1,0,0,0,1,geffect/skill/mt_yuanchengpugong/mt_yuanchengpugong_,1,yc-gj,0,50,50,0,0,0,0,1
11000320,横扫千军3-远程-残影消失,1,1,580,0,0,3,0,0,0,1,0,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000321,横扫千军3-远程-受击特效,2,1,560,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.hsqj,0,DT-hsqj,0,0,200,0,0,0,0,1
11000322,横扫千军3-远程-受击结算,4,1,580,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,780,200,0,0,0,0,1
11000323,横扫千军3-远程-保护者返回,1,0,0,0,0,0,12,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000324,横扫千军4-远程-攻击动作,0,1,0,8,1100,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000325,横扫千军4-远程-施法特效,2,1,300,0,0,0,0,0,0,0,188,0,0,0,0,1,,0,,0,0,200,0,0,0,0,1
11000326,横扫千军4-远程-残影移动,1,1,400,0,0,0,1,0,5,1,0,180,0,5,0,0,,0,,0,50,50,0,0,0,0,1
11000327,横扫千军4-远程-弓箭特效移动,2,1,400,0,0,0,0,0,0,1,0,1,0,0,0,1,geffect/skill/mt_yuanchengpugong/mt_yuanchengpugong_,1,yc-gj,0,50,50,0,0,0,0,1
11000328,横扫千军4-远程-残影消失,1,1,580,0,0,3,0,0,0,1,0,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000329,横扫千军4-远程-受击特效,2,1,560,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.hsqj,0,DT-hsqj,0,0,200,0,0,0,0,1
11000330,横扫千军4-远程-受击结算,4,1,580,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,780,200,0,0,0,0,1
11000331,横扫千军4-远程-保护者返回,1,0,0,0,0,0,12,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000332,横扫千军5-远程-攻击动作,0,1,0,8,1100,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000333,横扫千军5-远程-施法特效,2,1,300,0,0,0,0,0,0,0,188,0,0,0,0,1,,0,,0,0,200,0,0,0,0,1
11000334,横扫千军5-远程-残影移动,1,1,400,0,0,0,1,0,5,1,0,180,0,5,0,0,,0,,0,50,50,0,0,0,0,1
11000335,横扫千军5-远程-弓箭特效移动,2,1,400,0,0,0,0,0,0,1,0,1,0,0,0,1,geffect/skill/mt_yuanchengpugong/mt_yuanchengpugong_,1,yc-gj,0,50,50,0,0,0,0,1
11000336,横扫千军5-远程-残影消失,1,1,580,0,0,3,0,0,0,1,0,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000337,横扫千军5-远程-受击特效,2,1,560,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.hsqj,0,DT-hsqj,0,0,200,0,0,0,0,1
11000338,横扫千军5-远程-受击结算,4,1,580,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,780,200,0,0,0,0,1
11000339,横扫千军5-远程-保护者返回,1,0,0,0,0,0,12,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000340,横扫千军6-远程-攻击动作,0,1,0,8,1100,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000341,横扫千军6-远程-施法特效,2,1,300,0,0,0,0,0,0,0,188,0,0,0,0,1,,0,,0,0,200,0,0,0,0,1
11000342,横扫千军6-远程-残影移动,1,1,400,0,0,0,1,0,5,1,0,180,0,5,0,0,,0,,0,50,50,0,0,0,0,1
11000343,横扫千军6-远程-弓箭特效移动,2,1,400,0,0,0,0,0,0,1,0,1,0,0,0,1,geffect/skill/mt_yuanchengpugong/mt_yuanchengpugong_,1,yc-gj,0,50,50,0,0,0,0,1
11000344,横扫千军6-远程-残影消失,1,1,580,0,0,3,0,0,0,1,0,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000345,横扫千军6-远程-受击特效,2,1,560,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.hsqj,0,DT-hsqj,0,0,200,0,0,0,0,1
11000346,横扫千军6-远程-受击结算,4,1,580,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,780,200,0,0,0,0,1
11000347,横扫千军6-远程-保护者返回,1,0,0,0,0,0,12,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000348,横扫千军7-远程-攻击动作,0,1,0,8,1100,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000349,横扫千军7-远程-施法特效,2,1,300,0,0,0,0,0,0,0,188,0,0,0,0,1,,0,,0,0,200,0,0,0,0,1
11000350,横扫千军7-远程-残影移动,1,1,400,0,0,0,1,0,5,1,0,180,0,5,0,0,,0,,0,50,50,0,0,0,0,1
11000351,横扫千军7-远程-弓箭特效移动,2,1,400,0,0,0,0,0,0,1,0,1,0,0,0,1,geffect/skill/mt_yuanchengpugong/mt_yuanchengpugong_,1,yc-gj,0,50,50,0,0,0,0,1
11000352,横扫千军7-远程-残影消失,1,1,580,0,0,3,0,0,0,1,0,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000353,横扫千军7-远程-受击特效,2,1,560,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.hsqj,0,DT-hsqj,0,0,200,0,0,0,0,1
11000354,横扫千军7-远程-受击结算,4,1,580,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,780,200,0,0,0,0,1
11000355,横扫千军7-远程-保护者返回,1,0,0,0,0,0,12,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000356,横扫千军-远程-休息结算,4,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,200,200,0,0,0,0,1
11000357,横扫千军-远程-清除休息,4,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,10,0,0,0,0,1
11000400,后发制人-选择目标,4,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,200,200,0,0,0,0,1
11000410,后发制人-施法动作,0,1,0,9,1100,0,0,0,8,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000411,后发制人-施法特效上,2,1,600,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.hfzrsf,0,DT-hfzrsf,0,0,200,0,0,0,0,1
11000412,后发制人-结算,4,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,200,200,0,0,0,0,1
11001100,后发制人-远程-攻击动作,0,1,0,8,1100,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11001101,后发制人-远程-施法特效,2,1,300,0,0,0,0,0,0,0,188,0,0,0,0,1,,0,,0,0,200,0,0,0,0,1
11001102,后发制人-远程-残影移动,1,1,400,0,0,0,1,0,5,1,0,180,0,5,0,0,,0,,0,50,50,0,0,0,0,1
11001103,后发制人-远程-弓箭特效移动,2,1,400,0,0,0,0,0,0,1,0,1,0,0,0,1,geffect/skill/mt_yuanchengpugong/mt_yuanchengpugong_,1,yc-gj,0,50,50,0,0,0,0,1
11001104,后发制人-远程-残影消失,1,1,580,0,0,3,0,0,0,1,0,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11001105,后发制人-远程-受击特效,2,1,560,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.hfzrgj,0,DT-hsqj,0,0,200,0,0,0,0,1
11001106,后发制人-远程-受击结算,4,1,580,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,780,200,0,0,0,0,1
11001107,后发制人-远程-保护者返回,1,0,0,0,0,0,12,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11001108,横扫千军-远程-清除休息,4,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,10,0,0,0,0,1
11000501,杀气决-施法动作,0,1,0,9,1100,0,0,0,8,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000502,杀气决-受击特效上,2,1,600,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.sqjsf,0,DT-sqjsf,0,0,200,0,0,0,0,1
11000503,杀气决-受击结算,4,1,2000,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,1300,200,0,0,0,0,1
11000504,杀气决-受击结算,4,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,200,200,0,0,0,0,1
11000700,万剑归一1-施法动作,0,1,0,9,1100,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
11000701,万剑归一1-受击特效,2,1,600,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.wanjianguiyi1,0,DT-phyj,0,0,200,0,0,0,0,1
11000702,万剑归一1-结算,4,1,900,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,1100,200,0,0,0,0,1
11000710,万剑归一2-受击特效,2,1,0,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.wanjianguiyi2,0,DT-phyj,0,0,200,0,0,0,0,1
11000711,万剑归一2-结算,4,1,300,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,500,200,0,0,0,0,1
11000720,万剑归一3-受击特效,2,1,0,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.wanjianguiyi3,0,DT-phyj,0,0,200,0,0,0,0,1
11000721,万剑归一3-结算,4,1,300,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,500,200,0,0,0,0,1
11000730,万剑归一4-受击特效,2,1,0,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.wanjianguiyi4,0,DT-phyj,0,0,200,0,0,0,0,1
11000731,万剑归一4-结算,4,1,300,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,500,200,0,0,0,0,1
11000740,万剑归一5-受击特效,2,1,0,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.wanjianguiyi1,0,DT-phyj,0,0,200,0,0,0,0,1
11000741,万剑归一5-结算,4,1,300,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,500,200,0,0,0,0,1
11000750,万剑归一6-受击特效,2,1,0,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.wanjianguiyi2,0,DT-phyj,0,0,200,0,0,0,0,1
11000751,万剑归一6-结算,4,1,300,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,500,200,0,0,0,0,1
11000760,万剑归一7-受击特效,2,1,0,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.wanjianguiyi3,0,DT-phyj,0,0,200,0,0,0,0,1
11000761,万剑归一7-结算,4,1,300,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,500,200,0,0,0,0,1
11000770,万剑归一8-受击特效,2,1,0,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.wanjianguiyi4,0,DT-phyj,0,0,200,0,0,0,0,1
11000771,万剑归一8-结算,4,1,300,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,500,200,0,0,0,0,1
11000780,万剑归一9-受击特效,2,1,0,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc1-dt/Cc.wanjianguiyi4,0,DT-phyj,0,0,200,0,0,0,0,1
11000781,万剑归一9-结算,4,1,300,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,500,200,0,0,0,0,1
11000790,万剑归一10-降防休息结算,4,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,200,200,0,0,0,0,1
25402,方寸山技能,4,1,1000,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,1200,200,0,0,0,0,1
12000100,五雷咒1-施法动作,0,1,0,9,1100,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
12000101,五雷咒1-施法特效,2,1,600,0,0,0,0,0,0,0,188,0,0,2,0,0,,0,,0,0,200,0,0,0,0,1
12000102,五雷咒1-受击特效,2,1,600,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc2-fc/wuleizhou,0,FC-wlzsf,0,0,200,0,0,0,0,1
12000103,五雷咒1-受击结算,4,1,1000,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,1000,200,0,0,0,0,1
12000110,五雷咒2-受击特效,2,1,600,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc2-fc/wuleizhou,0,FC-wlzsf,0,0,200,0,0,0,0,1
12000111,五雷咒2-受击结算,4,1,1000,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,1000,200,0,0,0,0,1
12000120,五雷咒3-受击特效,2,1,600,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc2-fc/wuleizhou,0,,0,0,200,0,0,0,0,1
12000121,五雷咒3-受击结算,4,1,1000,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,1000,200,0,0,0,0,1
12000130,五雷咒4-受击特效,2,1,600,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc2-fc/wuleizhou,0,,0,0,200,0,0,0,0,1
12000131,五雷咒4-受击结算,4,1,1100,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,1000,200,0,0,0,0,1
12000140,五雷咒5-受击特效,2,1,600,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc2-fc/wuleizhou,0,,0,0,200,0,0,0,0,1
12000141,五雷咒5-受击结算,4,1,1000,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,1000,200,0,0,0,0,1
12000150,五雷咒6-受击特效,2,1,600,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc2-fc/wuleizhou,0,,0,0,200,0,0,0,0,1
12000151,五雷咒6-受击结算,4,1,1000,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,1000,200,0,0,0,0,1
12000160,五雷咒7-首目标净化结算,4,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,200,200,0,0,0,0,1
12000200,定身符1-施法动作,0,1,0,9,1100,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
12000201,定身符1-施法特效,2,1,600,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc2-fc/dingshenfu,0,FC-dsfsf,0,0,200,0,0,0,0,1
12000202,定身符1-受击特效,2,1,600,0,0,0,0,0,0,0,188,0,0,5,0,0,,0,,0,0,200,0,0,0,0,1
12000203,定身符1-受击结算,4,1,1100,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,1100,200,0,0,0,0,1
12000204,定身符1-施法动作,0,1,0,9,1100,0,0,0,0,0,188,0,0,0,0,0,,0,,0,0,200,0,0,0,0,1
12000205,定身符1-施法特效,2,1,600,0,0,0,0,0,0,0,188,0,0,5,0,0,geffect/skill/acc2-fc/dingshenfu,0,FC-dsfsf,0,0,200,0,0,0,0,1
12000206,定身符1-受击特效,2,1,600,0,0,0,0,0,0,0,188,0,0,5,0,0,,0,,0,0,200,0,0,0,0,1
12000207,定身符1-受击结算,4,1,1100,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,1100,200,0,0,0,0,1
12000210,定身符-虚弱,4,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,,0,,0,600,200,0,0,0,0,1
