技能ID,备注,阶段列表,阶段列表_远程
1100030,横扫千军1,"11000300,11000301,11000302,11000303,11000304","11000300,11000301,11000302,11000303,11000304,11000305,11000306,11000307"
1100031,横扫千军2,"11000310,11000311,11000312,11000313,11000314","11000308,11000309,11000310,11000311,11000312,11000313,11000314,11000315"
1100032,横扫千军3,"11000320,11000321,11000322,11000323,11000324","11000316,11000317,11000318,11000319,11000320,11000321,11000322,11000323"
1100033,横扫千军4,"11000330,11000331,11000332,11000333,11000334","11000324,11000325,11000326,11000327,11000328,11000329,11000330,11000331"
1100034,横扫千军5,"11000350,11000351,11000352,11000353,11000354","11000332,11000333,11000334,11000335,11000336,11000337,11000338,11000339"
1100035,横扫千军6,"11000360,11000361,11000362,11000363,11000364","11000340,11000341,11000342,11000343,11000344,11000345,11000346,11000347"
1100036,横扫千军7,"11000370,11000371,11000372,11000373,11000374","11000348,11000349,11000350,11000351,11000352,11000353,11000354,11000355"
1100037,横扫千军虚弱休息,"11000340,11000341",11000356
1100038,横扫千军清除虚弱休息,11000342,11000357
1100112,杀气诀：横扫千军1,"11000300,11000301,11000302,11000303,11000304","11000300,11000301,11000302,11000303,11000304,11000305,11000306,11000307"
1100113,杀气诀：横扫千军2,"11000310,11000311,11000312,11000313,11000314","11000308,11000309,11000310,11000311,11000312,11000313,11000314,11000315"
1100114,杀气诀：横扫千军3,"11000320,11000321,11000322,11000323,11000324","11000316,11000317,11000318,11000319,11000320,11000321,11000322,11000323"
1100115,杀气诀：横扫千军4,"11000330,11000331,11000332,11000333,11000334","11000324,11000325,11000326,11000327,11000328,11000329,11000330,11000331"
1100040,后发制人1,11000400,11000400
1100041,后发制人2,"11000410,11000411,11000412","11000410,11000411,11000412"
1100050,破甲,"11000500,11000501,11000502,11000503,11000504","11000500,11000501,11000502,11000503,11000504"
1100051,杀气决,"11000501,11000502,11000503","11000501,11000502,11000503"
1100052,杀气决,11000504,11000504
1100070,万剑归一1,"11000700,11000701,11000702","11000700,11000701,11000702"
1100071,万剑归一2,"11000710,11000711","11000710,11000711"
1100072,万剑归一3,"11000720,11000721","11000720,11000721"
1100073,万剑归一4,"11000730,11000731","11000730,11000731"
1100074,万剑归一5,"11000740,11000741","11000740,11000741"
1100075,万剑归一6,"11000750,11000751","11000750,11000751"
1100076,万剑归一7,"11000760,11000761","11000760,11000761"
1100077,万剑归一8,"11000770,11000771","11000770,11000771"
1100078,万剑归一9,"11000780,11000781","11000780,11000781"
1100079,万剑归一虚弱休息,11000790,11000790
1100121,万剑归一1,"11000700,11000701,11000702","11000700,11000701,11000702"
1100122,万剑归一2,"11000710,11000711","11000710,11000711"
1100123,万剑归一3,"11000720,11000721","11000720,11000721"
1100124,万剑归一4,"11000730,11000731","11000730,11000731"
1100125,万剑归一5,"11000740,11000741","11000740,11000741"
1100126,万剑归一6,"11000750,11000751","11000750,11000751"
1100127,万剑归一7,"11000760,11000761","11000760,11000761"
1100128,万剑归一8,"11000770,11000771","11000770,11000771"
1100129,万剑归一9,"11000780,11000781","11000780,11000781"
1100110,后发制人攻击,"11001100,11001101,11001102,11001103,11001104","11001100,11001101,11001102,11001103,11001104,11001105,11001106,11001107"
1100119,杀气决：后发制人攻击,"11001100,11001101,11001102,11001103,11001104","11001100,11001101,11001102,11001103,11001104,11001105,11001106,11001107"
1100111,后发制人驱散被动,11001110,11001108
2542,方寸山技能,,
1200010,五雷咒1,"12000100,12000101,12000102,12000103","12000100,12000101,12000102,12000103"
1200011,五雷咒2,"12000110,12000111","12000110,12000111"
1200012,五雷咒3,"12000120,12000121","12000120,12000121"
1200013,五雷咒4,"12000130,12000131","12000130,12000131"
1200014,五雷咒5,"12000140,12000141","12000140,12000141"
1200020,定身符1,"12000200,12000201,12000202,12000203","12000200,12000201,12000202,12000203"
1200021,定身符2,12000210,12000210
1200022,定身符2,"12000204,12000205,12000206,12000207","12000204,12000205,12000206,12000207"
1200023,定身符2,12000210,12000210
1200030,催眠符1,"12000300,12000301,12000302,12000303,12000304,12000305","12000300,12000301,12000302,12000303,12000304,12000305"
1200031,催眠符2,"12000300,12000301,12000302,12000303,12000304,12000305","12000300,12000301,12000302,12000303,12000304,12000305"
1200040,离魂符1,"12000400,12000401,12000402","12000400,12000401,12000402"
1200041,离魂符2,"12000400,12000401,12000402","12000400,12000401,12000402"
1200050,失心符1,"12000500,12000501,12000502,12000503","12000500,12000501,12000502,12000503"
1200051,失心符2,"12000504,12000505,12000506,12000507","12000504,12000505,12000506,12000507"
1200052,失心符3,"12000500,12000501,12000502,12000503","12000500,12000501,12000502,12000503"
1200070,幻音古种1,"12000700,12000701,12000702","12000700,12000701,12000702"
1200071,幻音古种2,12000710,12000710
1200072,幻音古种3,12000720,12000720
1200073,幻音古种4,12000730,12000730
1200074,幻音古种5,12000740,12000740
1200075,幻音古种虚弱休息,12000750,12000750
2543,狮驼技能,,
1300000,变身,"13000000,13000001,13000002","13000000,13000001,13000002"
1300001,变身吸血,13000003,13000003
1300010,鹰击1,"13000100,13000101,13000102,13000103,13000104","13000100,13000101,13000102,13000103,13000104,13000105,13000106,13000107"
1300011,鹰击2,"13000106,13000107,13000108,13000109,13000110","13000100,13000101,13000102,13000103,13000104,13000105,13000106,13000107"
1300012,鹰击3,"13000112,13000113,13000114,13000115,13000116","13000100,13000101,13000102,13000103,13000104,13000105,13000106,13000107"
1300013,鹰击4,"13000118,13000119,13000120,13000121,13000122","13000100,13000101,13000102,13000103,13000104,13000105,13000106,13000107"
1300014,鹰击5,"13000124,13000125,13000126,13000127,13000128","13000100,13000101,13000102,13000103,13000104,13000105,13000106,13000107"
1300015,鹰击6,"13000130,13000131,13000132,13000133,13000134","13000100,13000101,13000102,13000103,13000104,13000105,13000106,13000107"
1300016,鹰击7,"13000136,13000137,13000138,13000139,13000140","13000100,13000101,13000102,13000103,13000104,13000105,13000106,13000107"
1300018,鹰击虚弱休息,13000150,13000160
1300020,狮搏1,"13000200,13000201,13000202,13000203,13000204","13000200,13000201,13000202,13000203,13000204,13000205,13000206,13000207"
1300021,狮搏2,"13000200,13000201,13000202,13000203,13000204","13000200,13000201,13000202,13000203,13000204"
1300030,魔息术,"13000300,13000301,13000302","13000300,13000301,13000302"
1300040,象形1,"13000400,13000401,13000402,13000403,13000404","13000400,13000401,13000402,13000403,13000404,13000405,13000406,13000407"
1300041,象形休息,13000406,13000408
1300050,连环击1,"13000500,13000501,13000502,13000503","13000500,13000501,13000502,13000503,13000504,13000505,13000506,13000507"
1300051,连环击2,"13000504,13000505,13000506","13000500,13000501,13000502,13000503,13000504,13000505,13000506,13000507"
1300052,连环击3,"13000507,13000508,13000509","13000500,13000501,13000502,13000503,13000504,13000505,13000506,13000507"
1300053,连环击4,"13000510,13000511,13000512","13000500,13000501,13000502,13000503,13000504,13000505,13000506,13000507"
1300054,连环击5,"13000513,13000514,13000515","13000500,13000501,13000502,13000503,13000504,13000505,13000506,13000507"
1300055,连环击6,"13000516,13000517,13000518,13000519","13000500,13000501,13000502,13000503,13000504,13000505,13000506,13000507"
1300056,连环击7,"13000516,13000517,13000518,13000519","13000500,13000501,13000502,13000503,13000504,13000505,13000506,13000507"
1300057,连环击虚弱休息,13000520,13000520
1300770,鹰击长空减少敌方防御,"13007700,13007701,13007702","13007700,13007701,13007702"
1300070,鹰击长空1,"13000700,13000701,13000702,13000703,13000704","13000700,13000701,13000702,13000703,13000704,13000705,13000706,13000707,13000708"
1300071,鹰击长空2,"13000710,13000711,13000712,13000713,13000714","13000700,13000701,13000702,13000703,13000704,13000705,13000706,13000707,13000708"
1300072,鹰击长空3,"13000710,13000711,13000712,13000713,13000714","13000700,13000701,13000702,13000703,13000704,13000705,13000706,13000707,13000708"
1300073,鹰击长空4,"13000710,13000711,13000712,13000713,13000714","13000700,13000701,13000702,13000703,13000704,13000705,13000706,13000707,13000708"
1300074,鹰击长空5,"13000710,13000711,13000712,13000713,13000714","13000700,13000701,13000702,13000703,13000704,13000705,13000706,13000707,13000708"
1300075,鹰击长空6,"13000710,13000711,13000712,13000713,13000714","13000700,13000701,13000702,13000703,13000704,13000705,13000706,13000707,13000708"
1300076,鹰击长空7,"13000710,13000711,13000712,13000713,13000714","13000700,13000701,13000702,13000703,13000704,13000705,13000706,13000707,13000708"
1300077,鹰击长空8,"13000710,13000711,13000712,13000713,13000714","13000700,13000701,13000702,13000703,13000704,13000705,13000706,13000707,13000708"
1300078,鹰击长空9,"13000710,13000711,13000712,13000713,13000714","13000700,13000701,13000702,13000703,13000704,13000705,13000706,13000707,13000708"
1300079,鹰击长空10,"13000710,13000711,13000712,13000713,13000714","13000700,13000701,13000702,13000703,13000704,13000705,13000706,13000707,13000708"
1300701,奇鹰击长空虚弱休息,13000750,13000720
2544,地府技能,,
1400010,阎罗令1,"14000101,14000102,14000103,14000104","14000101,14000102,14000103,14000104"
1400011,阎罗令2,"14000105,14000106","14000105,14000106"
1400012,阎罗令3,"14000107,14000108","14000107,14000108"
1400013,阎罗令4,"14000109,14000110","14000109,14000110"
1400014,阎罗令5,"14000111,14000112","14000111,14000112"
1400020,腐尸毒,"14000200,14000201,14000202,14000203","14000200,14000201,14000202,14000203"
1400021,腐尸毒吸血,14000204,14000204
1400022,腐尸毒吸血,14000204,14000204
1400023,腐尸毒,"14000205,14000206,14000207,14000208","14000205,14000206,14000207,14000208"
1400024,腐尸毒吸血,14000209,14000209
1400025,腐尸毒吸血,14000209,14000209
1400026,腐尸毒附带死亡,14000210,14000210
1400030,六道轮回1,"14000300,14000301,14000302,14000303","14000300,14000301,14000302,14000303"
1400031,六道轮回2,"14000304,14000305","14000304,14000305"
1400032,六道轮回3,"14000306,14000307","14000306,14000307"
1400033,六道轮回4,"14000308,14000309","14000308,14000309"
1400034,六道轮回5,"14000310,14000311","14000310,14000311"
1400035,六道轮回6,"14000312,14000313","14000312,14000313"
1400036,六道轮回7,"14000312,14000313","14000312,14000313"
1400040,修罗隐身1,"14000400,14000401,14000402,14000403","14000400,14000401,14000402,14000403"
1400041,修罗隐身-限制,14000404,14000404
1400050,幽冥鬼眼1,"14000500,14000501,14000502,14000503","14000500,14000501,14000502,14000503"
1400051,幽冥鬼眼2,"14000504,14000505","14000504,14000505"
1400052,幽冥鬼眼3,"14000504,14000505","14000504,14000505"
1400053,幽冥鬼眼4,"14000504,14000505","14000504,14000505"
1400054,幽冥鬼眼5,"14000504,14000505","14000504,14000505"
1400055,幽冥鬼眼6,"14000504,14000505","14000504,14000505"
1400056,幽冥鬼眼7,"14000504,14000505","14000504,14000505"
1400057,幽冥鬼眼8,"14000504,14000505","14000504,14000505"
1400070,魂锁判官,"14000700,14000701,14000702,14000703","14000700,14000701,14000702,14000703"
1400071,魂锁判官减防,14000704,14000704
1400072,魂锁判官PVE伤害,14000705,14000705
1400073,魂锁判官虚弱休息,14000706,14000706
2545,龙宫技能,,
1500010,龙卷雨击1,"15000100,15000101,15000102,15000103","15000100,15000101,15000102,15000103"
1500011,龙卷雨击2,"15000104,15000105","15000104,15000105"
1500012,龙卷雨击3,"15000106,15000107","15000106,15000107"
1500013,龙卷雨击4,"15000108,15000109","15000108,15000109"
1500014,龙卷雨击5,"15000110,15000111","15000110,15000111"
1500015,龙卷雨击6,"15000112,15000113","15000112,15000113"
1500016,龙卷雨击7,"15000114,15000115","15000114,15000115"
1500017,龙卷雨击8,"15000116,15000117","15000116,15000117"
1500018,龙卷雨击-附带清心,"15000500,15000501,15000502,15000503","15000500,15000501,15000502,15000503"
1500020,龙腾1,"15000200,15000201,15000202,15000203","15000200,15000201,15000202,15000203"
1500021,龙腾2,"15000204,15000205,15000206,15000207","15000204,15000205,15000206,15000207"
1500022,龙腾1吸血,15000208,15000208
1500023,龙腾2吸血,15000208,15000208
1500030,逆鳞,"15000300,15000301,15000302,15000303","15000300,15000301,15000302,15000303"
1500040,龙吟,"15000400,15000401,15000402,15000403","15000400,15000401,15000402,15000403"
1500050,清心,"15000500,15000501,15000502,15000503","15000500,15000501,15000502,15000503"
1500070,魔浪滔天,"15000700,15000701,15000702","15000700,15000701,15000702"
1500071,魔浪滔天休息,15000703,15000703
2546,普陀技能,,
1600010,五行咒1,"16000100,16000101,16000102","16000100,16000101,16000102"
1600011,五行咒2,"16000110,16000111","16000110,16000111"
1600012,五行咒3,"16000120,16000121","16000120,16000121"
1600013,五行咒4,"16000130,16000131","16000130,16000131"
1600014,五行咒5,"16000140,16000141","16000140,16000141"
1600020,普度众生1,"16000200,16000201,16000202,16000203","16000200,16000201,16000202,16000203"
1600021,普度众生2,"16000204,16000205","16000204,16000205"
1600022,普度众生3,"16000204,16000205","16000204,16000205"
1600023,普度众生4,"16000204,16000205","16000204,16000205"
1600030,杨柳甘露复活,"16000300,16000301,16000302","16000300,16000301,16000302"
1600031,杨柳甘露加血,16000310,16000310
1600040,灵动九天1,"16000400,16000401,16000402,16000403","16000400,16000401,16000402,16000403"
1600041,灵动九天2,"16000404,16000405","16000404,16000405"
1600042,灵动九天3,"16000404,16000405","16000404,16000405"
1600043,灵动九天4,"16000404,16000405","16000404,16000405"
1600044,灵动九天5,"16000404,16000405","16000404,16000405"
1600045,灵动九天6,"16000404,16000405","16000404,16000405"
1600046,灵动九天7,"16000404,16000405","16000404,16000405"
1600047,灵动九天8,"16000404,16000405","16000404,16000405"
1600048,灵动九天9,"16000404,16000405","16000404,16000405"
1600050,自在心法,"16000500,16000501,16000502,16000503","16000500,16000501,16000502,16000503"
1600070,沐日慈悲,"16000700,16000701,16000702,16000703","16000700,16000701,16000702,16000703"
1600071,沐日慈悲-休息,16000710,16000710
2547,魔王技能,,
1610010,飞沙走石1,"16100100,16100101,16100102,16100103","16100100,16100101,16100102,16100103"
1610011,飞沙走石2,"16100104,16100105","16100104,16100105"
1610012,飞沙走石3,"16100104,16100105","16100104,16100105"
1610013,飞沙走石4,"16100104,16100105","16100104,16100105"
1610014,飞沙走石5,"16100104,16100105","16100104,16100105"
1610015,飞沙走石6,"16100104,16100105","16100104,16100105"
1610016,飞沙走石7,"16100104,16100105","16100104,16100105"
1610018,飞沙走石8,"16100104,16100105","16100104,16100105"
1610020,三味真火1,"16100200,16100201,16100202,16100203","16100200,16100201,16100202,16100203"
1610021,触发：飞沙走石1,"16100204,16100205,16100206,16100207","16100204,16100205,16100206,16100207"
1610030,魔王降临,"13000000,13000001,13000002","13000000,13000001,13000002"
1610040,踏山裂石,"16100400,16100401,16100402,16100403","16100400,16100401,16100402,16100403"
1610050,召唤先祖火灵,"16100500,16100501,16100502","16100500,16100501,16100502"
1610070,飞星流火,"16100700,16100701,16100702,16100703,16100704,16100705,16100706,16100707,16100708","16100700,16100701,16100702,16100703,16100704,16100705,16100706,16100707,16100708"
1610075,飞星流火-休息,16100710,16100710
1610112,魔王：火灵治疗1,"16101120,16101121,16101122,16101123","16101120,16101121,16101122,16101123"
1610113,魔王：火灵治疗2,"16101124,16101125","16101124,16101125"
1610114,魔王：火灵治疗3,"16101124,16101125","16101124,16101125"
1610115,魔王：火灵复活,"16101130,16101131,16101132,16101133","16101130,16101131,16101132,16101133"
2548,月宫技能,,
1620010,月影摇光1,"16200100,16200101,16200102,16200103,16200104,16200105","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
1620011,月影摇光2,"16200106,16200107,16200108,16200109,16200110,16200111","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
1620012,月影摇光3,"16200112,16200113,16200114,16200115,16200116,16200117","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
1620013,月影摇光4,"16200118,16200119,16200120,16200121,16200122,16200123","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
1620014,月影摇光5,"16200124,16200125,16200126,16200127,16200128,16200129","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
1620015,月影摇光6,"16200130,16200131,16200132,16200133,16200134,16200135","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
1620020,碎玉击,"16200200,16200201,16200202,16200203,16200204,16200205","16200200,16200201,16200202,16200203,16200204,16200205,16200206,16200207"
1620021,碎玉：追加月刃1,"16200300,16200301,16200302,16200303,16200304,16200305","16200300,16200301,16200302,16200303,16200304,16200305,16200306,16200307"
1620022,碎玉：追加月刃2,"16200306,16200307,16200308,16200309,16200310,16200311","16200300,16200301,16200302,16200303,16200304,16200305,16200306,16200307"
1620023,月刃恢复宠物血量,16200312,16200316
1620030,月刃1,"16200300,16200301,16200302,16200303,16200304,16200305","16200300,16200301,16200302,16200303,16200304,16200305,16200306,16200307"
1620031,月刃2,"16200306,16200307,16200308,16200309,16200310,16200311","16200300,16200301,16200302,16200303,16200304,16200305,16200306,16200307"
1620032,月刃恢复宠物血量,16200312,16200316
1620040,桂花醉,"16200400,16200401,16200402,16200403","16200400,16200401,16200402,16200403"
1620041,桂花醉增加物理穿透,"16200340,16200341,16200342,16200343,16200344,16200345,16200346","16200340,16200341,16200342,16200343,16200344,16200345,16200346"
1620050,月凝,"16200500,16200501,16200502,16200503","16200500,16200501,16200502,16200503"
1620070,广寒清辉1,"16200100,16200101,16200102,16200103,16200104,16200105","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
1620071,广寒清辉2,"16200106,16200107,16200108,16200109,16200110,16200111","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
1620072,广寒清辉3,"16200112,16200113,16200114,16200115,16200116,16200117","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
1620073,广寒清辉4,"16200118,16200119,16200120,16200121,16200122,16200123","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
1620074,广寒清辉5,"16200124,16200125,16200126,16200127,16200128,16200129","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
1620075,广寒清辉6,"16200130,16200131,16200132,16200133,16200134,16200135","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
1620076,广寒清辉7,"16200136,16200137,16200138,16200139,16200140,16200141","16200100,16200101,16200102,16200103,16200104,16200105,16200106,16200107"
1620077,广寒清辉-休息,16200141,16200108
2549,化生技能,,
1630010,唧唧歪歪1,"16300100,16300101,16300102","16300100,16300101,16300102"
1630011,唧唧歪歪2,"16300103,16300104","16300103,16300104"
1630012,唧唧歪歪3,"16300103,16300104","16300103,16300104"
1630013,唧唧歪歪4,"16300103,16300104","16300103,16300104"
1630014,唧唧歪歪5,"16300103,16300104","16300103,16300104"
1630020,推气过宫1,"16300200,16300201,16300202,16300203","16300200,16300201,16300202,16300203"
1630021,推气过宫2,"16300204,16300205","16300204,16300205"
1630022,推气过宫3,"16300204,16300205","16300204,16300205"
1630023,推气过宫4,"16300204,16300205","16300204,16300205"
1630024,推气过宫5,"16300204,16300205","16300204,16300205"
1630025,推气过宫6,"16300204,16300205","16300204,16300205"
1630030,金刚护体1,"16300300,16300301,16300302,16300303","16300300,16300301,16300302,16300303"
1630031,金刚护体2,"16300304,16300305","16300304,16300305"
1630032,金刚护体3,"16300304,16300305","16300304,16300305"
1630033,金刚护体4,"16300304,16300305","16300304,16300305"
1630034,金刚护体4,"16300304,16300305","16300304,16300305"
1630040,我佛慈悲,"16300400,16300401,16300402","16300400,16300401,16300402"
1630041,我佛慈悲加血,16300403,16300403
1630050,一苇渡江,"16300500,16300501,16300502,16300503","16300500,16300501,16300502,16300503"
1630070,一元复始1,"16300700,16300701,16300702,16300703","16300700,16300701,16300702,16300703"
1630071,一元复始虚弱休息,16300704,16300704
2553,花果山技能,,
1640010,当头一棒,"16400100,16400101,16400102,16400103,16400104,16400105,16400106,16400107","16400100,16400101,16400102,16400103,16400104,16400105,16400106,16400107"
1640011,当头一棒-触发被动,"16400888,16400889","16400888,16400889"
1640012,当头一棒-触发攻击,"16400800,16400801,16400802,16400803","16400800,16400801,16400802,16400803"
1640013,当头一棒-触发攻击,"16400800,16400801,16400802,16400803","16400800,16400801,16400802,16400803"
1640020,泼天乱棍1,"16400200,16400201,16400202,16400203,16400204,16400205,16400206,16400207","16400200,16400201,16400202,16400203,16400204,16400205,16400206,16400207"
1640021,泼天乱棍2,"16400210,16400211,16400212,16400213,16400214,16400215","16400210,16400211,16400212,16400213,16400214,16400215"
1640022,泼天乱棍3,"16400220,16400221,16400222,16400223,16400224,16400225,16400226","16400220,16400221,16400222,16400223,16400224,16400225,16400226"
1640026,泼天乱棍4,"16400220,16400221,16400222,16400223,16400224,16400225,16400226","16400220,16400221,16400222,16400223,16400224,16400225,16400226"
1640027,泼天乱棍5,"16400220,16400221,16400222,16400223,16400224,16400225,16400226","16400220,16400221,16400222,16400223,16400224,16400225,16400226"
1640023,泼天乱棍-触发被动,"16400250,16400251","16400250,16400251"
1640024,泼天乱棍-群体追击,"16400260,16400261,16400262,16400263","16400260,16400261,16400262,16400263"
1640025,清除-全场敌方标记,11000342,11000342
1640030,筋斗云,"16400300,16400301,16400302,16400303","16400300,16400301,16400302,16400303"
1640040,乾坤一掷-攻击,"16400400,16400401,16400402,16400403,16400404,16400405,16400406","16400400,16400401,16400402,16400403,16400404,16400405,16400406"
1640041,乾坤一掷-触发被动,"16400888,16400889","16400888,16400889"
1640042,乾坤一掷-触发攻击,"16400410,16400411,16400412,16400413","16400410,16400411,16400412,16400413"
1640050,千变万化,"16400500,16400501,16400502,16400503","16400500,16400501,16400502,16400503"
1640070,大闹天宫-选择施法1,"16400700,16400701,16400702","16400700,16400701,16400702"
1640071,大闹天宫-乾坤一掷1,"16400710,16400711,16400712,16400713,16400714,16400715","16400710,16400711,16400712,16400713,16400714,16400715"
1640072,大闹天宫-泼天乱棍1,"16400720,16400721,16400722,16400723,16400724,16400725","16400720,16400721,16400722,16400723,16400724,16400725"
1640073,大闹天宫-泼天乱棍2,"16400726,16400727,16400728,16400729,16400730,16400731","16400726,16400727,16400728,16400729,16400730,16400731"
1640074,大闹天宫-泼天乱棍3,"16400732,16400733,16400734,16400735,16400736,16400737,16400738","16400732,16400733,16400734,16400735,16400736,16400737,16400738"
1640075,大闹天宫-当头一棒1,"16400739,16400740,16400741,16400742,16400743","16400739,16400740,16400741,16400742,16400743"
1640076,大闹天宫-休息,16400744,16400744
2550,装备特技技能,,
4200010,气疗术,"42000100,42000101,42000102,42000103","42000100,42000101,42000102,42000103"
4200020,心疗术,"42000200,42000201,42000202,42000203","42000200,42000201,42000202,42000203"
4200030,命疗术,"42000300,42000301,42000302,42000303","42000300,42000301,42000302,42000303"
4200040,凝气决,"42000400,42000401,42000402,42000403","42000400,42000401,42000402,42000403"
4200050,凝神决,"42000500,42000501,42000502,42000503","42000500,42000501,42000502,42000503"
4200060,气归术,"42000600,42000601,42000602,42000603","42000600,42000601,42000602,42000603"
4200070,命归术,"42000700,42000701,42000702,42000703","42000700,42000701,42000702,42000703"
4200080,四海升平,"42000800,42000801,42000802,42000803","42000800,42000801,42000802,42000803"
4200090,回魂咒1,"42000900,42000901,42000902,42000903","42000900,42000901,42000902,42000903"
4200091,回魂咒2,42000904,42000904
4200100,起死回生1,"42000900,42000901,42000902,42000903","42000900,42000901,42000902,42000903"
4200101,起死回生2,42000904,42000904
4200110,慈航普度1,"42001100,42001101,42001102,42001103","42001100,42001101,42001102,42001103"
4200111,慈航普度复活,42001104,42001104
4200112,慈航普度-结算,42001105,42001105
4200120,水清诀,"42001200,42001201,42001202,42001203","42001200,42001201,42001202,42001203"
4200130,冰清决,"42001300,42001301,42001302,42001303","42001300,42001301,42001302,42001303"
4200140,玉清诀,"42001400,42001401,42001402,42001403","42001400,42001401,42001402,42001403"
4200150,晶清决,"42001500,42001501,42001502,42001503","42001500,42001501,42001502,42001503"
4200160,笑里藏刀,"42001600,42001601,42001602,42001603","42001600,42001601,42001602,42001603"
4200170,野兽之力,"42001700,42001701,42001702,42001703","42001700,42001701,42001702,42001703"
4200180,魔兽之印,"42001700,42001701,42001702,42001703","42001700,42001701,42001702,42001703"
4200190,放下屠刀,"42001900,42001901,42001902,42001903","42001900,42001901,42001902,42001903"
4200200,河东狮吼,"42001900,42001901,42001902,42001903","42001900,42001901,42001902,42001903"
4200210,光辉之甲,"42002100,42002101,42002102,42002103","42002100,42002101,42002102,42002103"
4200220,圣灵之甲,"42002100,42002101,42002102,42002103","42002100,42002101,42002102,42002103"
4200230,破甲术,"42002300,42002301,42002302,42002303","42002300,42002301,42002302,42002303"
4200240,碎甲术,"42002300,42002301,42002302,42002303","42002300,42002301,42002302,42002303"
4200250,流云诀,"42002500,42002501,42002502,42002503","42002500,42002501,42002502,42002503"
4200260,啸风决,"42002500,42002501,42002502,42002503","42002500,42002501,42002502,42002503"
4200270,凝滞术,"42002700,42002701,42002702,42002703","42002700,42002701,42002702,42002703"
4200280,停陷术,"42002700,42002701,42002702,42002703","42002700,42002701,42002702,42002703"
4200290,太极护法,"42002900,42002901,42002902,42002903","42002900,42002901,42002902,42002903"
4200300,罗汉金钟,"42003000,42003001,42003002,42003003","42003000,42003001,42003002,42003003"
4200310,破血狂攻1,"42013100,42003100,42003101,42003102,42003103,42003104,42003105","42003100,42003101,42003102,42003103,42003104,42003105,42003106,42003107"
