id,对应ID,造型1id,造型2id,造型3id,造型名1,造型名2,造型名3,模型1id,模型2id,模型3id,模型名1,模型名2,模型名3,称号1id,称号2id,称号3id,价格1id,价格2id,价格3id
520652,520652,902107,0,0,吸血鬼,0,0,1400011,0,0,set:roleandmonster155 image:9155,0,0,191,0,0,55000,0,0
902107,902107,520652,0,0,吸血鬼,0,0,1100604,0,0,set:roleandmonster68 image:9068,0,0,192,0,0,100,0,0
520854,520854,902108,0,0,巡游天神,0,0,1400012,0,0,set:roleandmonster160 image:9160,0,0,193,0,0,55000,0,0
902108,902108,520854,0,0,巡游天神,0,0,1100807,0,0,set:roleandmonster80 image:9080,0,0,194,0,0,100,0,0
520602,520602,902109,0,0,孤魂野鬼,0,0,1400013,0,0,set:roleandmonster157 image:9157,0,0,195,0,0,55000,0,0
902109,902109,520602,0,0,孤魂野鬼,0,0,1100602,0,0,set:roleandmonster66 image:9066,0,0,196,0,0,100,0,0
520852,520852,902110,0,0,御风童子,0,0,1400014,0,0,set:roleandmonster159 image:9159,0,0,197,0,0,55000,0,0
902110,902110,520852,0,0,御风童子,0,0,1100805,0,0,set:roleandmonster91 image:9091,0,0,198,0,0,100,0,0
530853,530853,903101,0,0,芙蓉仙子,0,0,1400001,0,0,set:roleandmonster156 image:9156,0,0,179,0,0,55000,0,0
903101,903101,530853,0,0,芙蓉仙子,0,0,1100806,0,0,set:roleandmonster79 image:9079,0,0,180,0,0,100,0,0
530753,530753,903102,0,0,鬼将,0,0,1400002,0,0,set:roleandmonster161 image:9161,0,0,181,0,0,55000,0,0
903102,903102,530753,0,0,鬼将,0,0,1100703,0,0,set:roleandmonster72 image:9072,0,0,182,0,0,100,0,0
530901,530901,903103,0,0,蛟龙,0,0,1400007,0,0,set:roleandmonster163 image:9163,0,0,183,0,0,55000,0,0
903103,903103,530901,0,0,蛟龙,0,0,1100901,0,0,set:roleandmonster82 image:9082,0,0,184,0,0,100,0,0
531106,531106,903104,0,0,龙龟,0,0,1400008,0,0,set:roleandmonster162 image:9162,0,0,185,0,0,55000,0,0
903104,903104,531106,0,0,龙龟,0,0,1101010,0,0,set:roleandmonster162 image:9162,0,0,186,0,0,100,0,0
530601,530601,903105,0,0,千年僵尸,0,0,1400009,0,0,set:roleandmonster158 image:9158,0,0,187,0,0,55000,0,0
903105,903105,530601,0,0,千年僵尸,0,0,1100601,0,0,set:roleandmonster65 image:9065,0,0,188,0,0,100,0,0
530954,530954,903106,0,0,武罗仙子,0,0,1400010,0,0,set:roleandmonster164 image:9164,0,0,189,0,0,55000,0,0
903106,903106,530954,0,0,武罗仙子,0,0,1100906,0,0,set:roleandmonster87 image:9087,0,0,190,0,0,100,0,0
530652,530652,903107,0,0,吸血鬼,0,0,1400011,0,0,set:roleandmonster155 image:9155,0,0,191,0,0,55000,0,0
903107,903107,530652,0,0,吸血鬼,0,0,1100604,0,0,set:roleandmonster68 image:9068,0,0,192,0,0,100,0,0
530854,530854,903108,0,0,巡游天神,0,0,1400012,0,0,set:roleandmonster160 image:9160,0,0,193,0,0,55000,0,0
903108,903108,530854,0,0,巡游天神,0,0,1100807,0,0,set:roleandmonster80 image:9080,0,0,194,0,0,100,0,0
530602,530602,903109,0,0,孤魂野鬼,0,0,1400013,0,0,set:roleandmonster157 image:9157,0,0,195,0,0,55000,0,0
903109,903109,530602,0,0,孤魂野鬼,0,0,1100602,0,0,set:roleandmonster66 image:9066,0,0,196,0,0,100,0,0
530852,530852,903110,0,0,御风童子,0,0,1400014,0,0,set:roleandmonster159 image:9159,0,0,197,0,0,55000,0,0
903110,903110,530852,0,0,御风童子,0,0,1100805,0,0,set:roleandmonster91 image:9091,0,0,198,0,0,100,0,0
