"id","战斗回合数","条件脚本","奖励次数","AI怪回合数","触发几率","对象过滤","被使用的技能ID","策划备注"
"33013",">=1","","0","","","_94029_>=1","","敌方有boss"
"33021",">=1","","0","","","_94023_>=1","","敌方有boss没中嘲讽"
"33022",">=1","","0","","","_94033_>=2","","我方血量少于80%的主角大于等于2"
"33023",">=1","","0","","","_94029_>=1","","敌方有boss"
"33024","==1","","0","","","_94034_<1","","敌方有神谕责难buff的单位小于1（包含死亡）"
"33031","==1","","0","","","_94046_<1&&_94045_>=3","","我方有野性召唤buff的宠物单位小于1（包含死亡）并且我方有3只以上宠物"
"33032",">=1","","0","","","_94029_>=1","","敌方有boss"
"33033",">=1","","0","","","_94031_>=3","","魔法值低于10%时"
"33041",">=1","","0","","","_94035_>=1","","敌方有精英怪没被控制"
"33042",">=1","","0","","","_94027_>=1&&_94053_<1","","敌方有隐身单位且我方身上有自然之眼buff的单位（包含死亡）小于1"
"33051",">=1","","0","","","_94035_>=1","","敌方有精英怪没被控制"
"33052",">=1","","0","","","_94036_>=2","","我方中毒单位大于等于2"
"33061","==1","","0","","","_94040_<1","","我方有心灵之火buff的单位小于1（包含死亡）"
"33062",">=1","","0","","","_94039_>=1","","我方死亡单位大于等于1"
"33063",">=1","","0","","","_94038_>=2||_94028_>=1","","我方血小于等于80%单位大于等于2或我方血小于等于60%单位大于等于1"
"33064",">=1","","0","","","_94056_>=2","","我方被控制单位大于等于2"
"33071","==1","","0","","","_94054_>=1","","自己身上没有先祖之魂buff"
"33081",">=1","effectpointa>=1","0","","","_94035_>=1","","敌方有精英怪没被控制且连击点大于等于1"
"33083",">=1","","0","","","_94029_>=1","","敌方有boss"
"34024",">=1","effectpointa>=0","0","","","_94029_>=1","","敌方有boss且连击点达到0"
"34025",">=1","effectpointa>=1","0","","","_94029_>=1","","敌方有boss且连击点达到1"
"34026",">=1","effectpointa>=2","0","","","_94029_>=1","","敌方有boss且连击点达到2"
"34027",">=1","effectpointa>=3","0","","","_94029_>=1","","敌方有boss且连击点达到3"
"34028",">=1","effectpointa>=4","0","","","_94029_>=1","","敌方有boss且连击点达到4"
"34029",">=1","effectpointa>=5","0","","","_94029_>=1","","敌方有boss且连击点达到5"
"34030",">=1","effectpointa>=0","0","","","","","连击点达到0"
"34031",">=1","effectpointa>=1","0","","","","","连击点达到1"
"34032",">=1","effectpointa>=2","0","","","","","连击点达到2"
"34033",">=1","effectpointa>=3","0","","","","","连击点达到3"
"34034",">=1","effectpointa>=4","0","","","","","连击点达到4"
"34035",">=1","effectpointa>=5","0","","","","","连击点达到5"
"33091",">=1","","0","","","_94035_>=1","","敌方有精英怪没被控制"
"33092",">=1","","0","","","_94026_>=1","","自身血量低于50%"
"34101",">=1","","0","","","_94020_>=1","","自己中沉默"
"34102",">=1","","0","","","_94021_>=1","","自己中眩晕或缠绕根须"
"34103",">=1","","0","","","_94022_>=1","","自己中变或休眠"
"34104",">=1","","0","","","_94023_>=1","","敌方有boss没中嘲讽"
"34105",">=1","","0","","","_94024_>=1","","敌方有boss没中破甲"
"34106",">=1","","0","","","_94025_>=1&&_94029_>=1","","自身血大于等于50%且有boss"
"34107",">=1","","0","","","_94025_>=1&&_94030_>=3","","自身血大于等于50%且对方人数大于等于3"
"34108",">=1","","0","","","_94025_>=1&&_94030_==2","","自身血大于等于50%且对方人数等于2"
"34109",">=1","","0","","","_94025_>=1&&_94030_==1","","自身血大于等于50%且对方人数等于1"
"34110",">=1","","0","","","_94026_>=1","","自身血小于50%"
"34201",">=1","","0","","","_94020_>=1","","自己中沉默"
"34202",">=1","","0","","","_94021_>=1","","自己中眩晕或缠绕根须"
"34203",">=1","","0","","","_94022_>=1","","自己中变或休眠"
"34204",">=1","","0","","","_94023_>=1","","敌方有boss没中嘲讽"
"34205",">=1","","0","","","_94033_>=2","","我方血量少于80%的主角大于等于2"
"34206",">=1","","0","","","_94029_>=1","","敌方有boss"
"34207",">=1","","0","","","_94034_<1","","敌方有神谕责难buff的单位小于1（包含死亡）"
"34301",">=1","","0","","","_94020_>=1","","自己中沉默"
"34302",">=1","","0","","","_94021_>=1","","自己中眩晕或缠绕根须"
"34303",">=1","","0","","","_94022_>=1","","自己中变或休眠"
"34304",">=1","","0","","","_94030_>=3","","敌方数量大于等于3个"
"34305",">=1","","0","","","_94030_==2&&_94029_>=1","","敌方数量等于2个且有boss"
"34306",">=1","","0","","","_94030_==2","","敌方数量等于2个"
"34307",">=1","","0","","","_94030_==1","","敌方数量等于1个"
"34308",">=1","","0","","","_94031_>=3","","己方3个主角魔法值都低于10%"
"34401",">=1","","0","","","_94020_>=1","","自己中沉默"
"34402",">=1","","0","","","_94021_>=1","","自己中眩晕或缠绕根须"
"34403",">=1","","0","","","_94022_>=1","","自己中变或休眠"
"34404",">=1","","0","","","_94035_>=1","","敌方有精英怪没被控制"
"34405",">=1","","0","","","_94027_>=1&&_94053_<1","","敌方有隐身单位且我方身上有自然之眼buff的单位（包含死亡）小于1"
"34406",">=1","","0","","","_94044_>=1&&_94057_<1","","敌方没被控制的单位大于等于1且自己没有缠绕根须虚弱buff"
"34407",">=1","","0","","","_94044_>=1&&_94057_>=1","","敌方没被控制的单位大于等于1且自己有缠绕根须虚弱buff"
"34501",">=1","","0","","","_94020_>=1","","自己中沉默"
"34502",">=1","","0","","","_94021_>=1","","自己中眩晕或缠绕根须"
"34503",">=1","","0","","","_94022_>=1","","自己中变或休眠"
"34504",">=1","","0","","","_94035_>=1","","敌方有精英怪没被控制"
"34505",">=1","","0","","","_94036_>=2","","我方中毒单位大于等于2"
"34506",">=1","","0","","","_94037_>=1","","对方血小于等于30%的单位大于等于1"
"34507",">=1","","0","","","_94030_==2","","敌方数量等于2个"
"34508",">=1","","0","","","_94030_==1","","敌方数量等于1个"
"34601",">=1","","0","","","_94020_>=1","","自己中沉默"
"34602",">=1","","0","","","_94021_>=1","","自己中眩晕或缠绕根须"
"34603",">=1","","0","","","_94022_>=1","","自己中变或休眠"
"34604",">=1","","0","","","_94038_>=2","","我方血小于等于80%单位大于等于2"
"34605",">=1","","0","","","_94039_>=1","","我方死亡单位大于等于1"
"34606",">=1","","0","","","_94028_>=1","","我方血小于等于60%单位大于等于1"
"34607",">=1","","0","","","_94040_<1","","我方有身上有灵动九天buff的单位小于1个（包含死亡）"
"34608",">=1","","0","","","_94056_>=2","","我方被控制单位单位大于等于2"
"34701",">=1","","0","","","_94020_>=1","","自己中沉默"
"34702",">=1","","0","","","_94021_>=1","","自己中眩晕或缠绕根须"
"34703",">=1","","0","","","_94022_>=1","","自己中变或休眠"
"34704","==0","","0","","","_94054_>=1","","自己身上没有先祖之魂buff且是娘子ID28123在0回合"
"34705",">=1","","0","","","_94037_>=1","","对方血小于等于30%的单位大于等于1"
"34706",">=1","","0","","","_94030_==2","","敌方数量等于2个"
"34707",">=1","","0","","","_94030_==1","","敌方数量等于1个"
"34801",">=1","","0","","","_94020_>=1","","自己中沉默"
"34802",">=1","","0","","","_94021_>=1","","自己中眩晕或缠绕根须"
"34803",">=1","","0","","","_94022_>=1","","自己中变或休眠"
"34804",">=1","effectpointa>=1","0","","","_94035_>=1","","敌方有精英怪没被控制且连击点大于等于1"
"34805",">=1","effectpointa>=3","0","","","_94029_>=1","","连击点大于等于3且有boss"
"34806",">=1","effectpointa>=1","0","","","_94029_>=1","","连击点大于等于1且有boss"
"34807",">=1","effectpointa<1","0","","","_94029_>=1","","连击点小于1且有boss"
"34808",">=1","effectpointa>=3","0","","","","","连击点大于等于3"
"34809",">=1","effectpointa>=1","0","","","","","连击点大于等于1"
"34810",">=1","effectpointa<1","0","","","","","连击点小于1"
"34901",">=1","","0","","","_94020_>=1","","自己中沉默"
"34902",">=1","","0","","","_94021_>=1","","自己中眩晕或缠绕根须"
"34903",">=1","","0","","","_94022_>=1","","自己中变或休眠"
"34904",">=1","","0","","","_99065_>=4","","敌方被控制的单位大于4"
"34905",">=1","","0","","","_94044_>=1","","敌方没被控制的单位大于等于1"
"34906",">=1","","0","","","_94044_>=1","","敌方没被控制的单位大于等于1"
"34907",">=1","","0","","","_94044_>=1","","敌方没被控制的单位大于等于1"
"35000","==0","","0","","","","","一进战斗"
"35001","==1","","0","","","","","第1回合"
"35002","==2","","0","","","","","第2回合"
"35003","==3","","0","","","","","第3回合"
"35004","==4","","0","","","","","第4回合"
"35005","==5","","0","","","","","第5回合"
"35006","==1","","0","","","_95001_>=1","","第1回合"
"35007",">=1","","0","","","","","被死亡缠绕命中后"
"35008",">=1","","0","","","","","战斗内触发"
"35009","==2","","0","","","_95002_==1","","第2回合主角自己"
"35010","==1","","0","","","_95002_==1","","第1回合主角自己"
"35011","==3","","0","","","_95002_==1","","第3回合主角自己"
"35012","==2","","0","","","_95009_==1","","第2回合己方主角"
"35013","==2","","0","","","_95013_==1","","第2回合己方死亡主角"
"35014","==1","","0","","","_95010_>=1","","第1回合除主角外所有敌人"
"35015",">=1","","0","","","_95003_<=1","","己方单位小于等于1"
"35016",">=1","","0","","","_95017_==1","","己方单位29860死亡后"
"35017",">=1","","0","","","_95018_<=1","","己方剩余1个单位"
"35018",">=1","","0","","","_95020_==1","","己方单位29002死亡后，修玛"
"35019",">=1","","0","","","_95021_==1","","红尘8602，冬血量小于20%"
"35020",">=2","","0","","","","","第二回合之后"
"35021",">=1","","0","","","_95024_<=0","","红尘8603，敌方没有怪"
"35801","==1","","0","","","","","8604，小软精英第一回合施放舍命击"
"35022","==1","","0","","","","110002","8606，召唤食人工头"
"35800","==2","","0","","","","","8606，食人工头第二回合施放圣灵之甲"
"35023",">=2","","0","","","_95028_==1","","新手战斗，只剩一个怪"
"35024",">=2","","0","","","_95025_==1","","新手战斗，主角血量不足80%"
"35025","==1","","0","","","_95030_>=1","","敌方冰龙"
"35026",">=1","","0","","","_95035_>=1","","我方死亡单位大于等于1"
"35027",">=1","","0","","","_95036_>=1","","我方血小于等于50%单位大于等于1"
"35028","==1","","0","","","_95039_<1","","我方有心灵之火buff的单位小于1（包含死亡）"
"35029",">=1","","0","","","_95038_>=1","","我方死亡单位大于等于1"
"35030",">=1","","0","","","_95037_>=2||_95040_>=1","","我方血小于等于80%单位大于等于2或我方血小于等于60%单位大于等于1"
"35031",">=1","","0","","","_95041_>=2","","8551敌方没被控制的单位大于等于2"
"35032",">=1","","0","","","_95042_>=1","","8551敌方隐身单位大于等于1"
"35033",">=1","","0","","","_95043_>=3","","8551我方血小于等于80%单位大于等于3"
"35034",">=1","","0","","","_95044_>=1","","8551我方血小于等于30%单位大于等于1"
"35035",">=1","","0","","","_95045_>=1","","8551我方死亡单位大于等于1"
"35036",">=1","","0","","","_95046_<=2","","8551敌方数量小于等于2"
"35037",">=1","","0","","","_95047_>=2","","8552对方血小于等于40%的单位"
"35038",">=1","","0","","","_95048_>=1","","8552我方死亡单位"
"35039",">=1","","0","","","_95049_>=2||_95054_>=1","","8554我方血量少于80%的主角"
"35040",">=1","","0","","","_95050_>=1","","8554敌方中绿之潮的单位（包含死亡）"
"35041",">=1","","0","","","_95046_<=2","","8555敌方数量小于等于2"
"35042",">=1","","0","","","_95051_>=2","","8555敌方没被控制的单位大于等于2"
"35043",">=1","","0","","","_95052_>=2","","8555己方血量小于50%的单位大于等于2"
"35044",">=1","","0","","","_95053_==1","","8556精灵游骑血量不足50%"
"35045",">=1","","0","","","_95041_>=3","","8559马诺洛斯释放恶魔降临"
"35046","==1","","0","","","","110002","8609，野猪人召唤"
"35047",">=1","","0","","","_95053_==1","","8609，哀木涕血量不足50%"
"35048",">=1","","0","","","","160003","8545莫格莱恩被复活"
"35049",">=1","","0","","","_95046_<=2","","8560敌方数量小于等于2"
"35050",">=1","","0","","","_95055_>=1","","8560我方有心灵之火单位"
"35051",">=1","","0","","","_95048_>=1","","8560我方有死亡单位"
"35052",">=1","","0","","","_95052_>=2","","8560我方单位血量小于50%单位>=2"
"35053",">=2","","0","","","_95058_>=1","","8561第二回合后有中沉默诅咒的单位"
"35054",">=1","","0","","","_95046_<=2","","9561敌方数量小于等于2"
"35055",">=1","","0","","","_95048_>=1","","9561己方死亡单位"
"35056",">=1","","0","","","_95059_>=1","","8562敌方隐身单位"
"35057",">=1","","0","","","_95052_>=1","","8562己方血量小于50%"
"35058",">=1","","0","","","_95060_>=1","","8564自己血量大于55%"
"35059",">=1","","0","","","_95018_==1","","8567己方只有1个人"
"35060",">=1","","0","","","_95057_==1","","8567古尔丹头颅血量小于0.01"
"35061",">=1","","0","","","_95062_==1","","8573阿克蒙德血量50%"
"35062","==2","","0","","","_95073_==1","","新手剧情"
"35075",">=1","","0","","","","","萨满职业闪电链"
"35076",">=1","","0","","","_95063_==1","","萨满职业治疗图腾"
"35077",">=1","","0","","","_95046_<=2","","萨满职业闪电箭"
"35078",">=1","","0","","","_95057_<1","","萨满职业先祖之魂"
"35079",">=1","","0","","","_95064_>=2","","萨满职业狂热图腾"
"35080",">=1","","0","","","","","萨满职业风暴轰击"
"35081",">=1","","0","","","","","术士职业火焰之雨"
"35082",">=1","","0","","","_95065_>=3","","术士职业沉默诅咒"
"35083",">=1","","0","","","_95074_==1","","术士职业生命虹吸"
"35084",">=1","","0","","","","","术士职业恶魔降临"
"35085",">=1","","0","","","","","术士职业虚弱诅咒"
"35086",">=1","","0","","","","","术士职业群魔乱舞"
"35087",">=1","","0","","","","","盗贼职业淬毒刀扇"
"35088",">=1","","0","","","_95046_<=2","","盗贼职业穿刺影袭"
"35089",">=1","","0","","","_95075_==1","","盗贼职业剔骨"
"35090",">=1","","0","","","_95076_==1","","盗贼职业潜行"
"35091",">=1","","0","","","_95046_<=1","","盗贼职业闷棍"
"35092",">=1","","0","","","","","盗贼职业杀戮盛筵"
"35093",">=1","","0","","","","","法师职业暴风雪"
"35094",">=1","","0","","","_95046_<=2","","法师职业奥术冲击"
"35095",">=1","","0","","","","","法师职业变形术"
"35096",">=1","","0","","","_95077_>=2","","法师职业魔爆术"
"35097",">=1","","0","","","","","法师职业冰霜血脉"
"35098",">=1","","0","","","","","法师职业烈焰风暴"
"35099",">=1","","0","","","","","战士职业幻影冲锋"
"35100",">=1","","0","","","_95078_<1","","战士职业嘲讽"
"35101",">=1","","0","","","_95080_==1","","战士职业毁灭打击"
"35102",">=1","","0","","","_95074_==1","","战士职业蓄力猛击"
"35103",">=1","","0","","","_95079_<1","","战士职业破甲"
"35104",">=1","","0","","","","","战士职业无敌斩"
"35105",">=1","","0","","","","","圣骑职业审判之锤"
"35106",">=1","","0","","","_95046_<=2","","圣骑职业无边定罪"
"35107",">=1","","0","","","_95081_<1","","圣骑职业复仇之盾"
"35108",">=1","","0","","","_95082_>=2","","圣骑职业圣光洗礼"
"35109",">=1","","0","","","_95086_>=1","","圣骑职业神谕责难"
"35110",">=1","","0","","","","","圣骑职业守护圣盾"
"35111",">=1","","0","","","","","猎人（远程）职业多重打击"
"35112",">=1","","0","","","_95046_<=2","","猎人（远程）职业穿刺打击"
"35113",">=1","","0","","","","","猎人（远程）职业野性召唤"
"35114",">=1","","0","","","","","猎人（远程）职业生命献祭"
"35115",">=1","","0","","","_95083_==1","","猎人（远程）职业精准打击"
"35116",">=1","","0","","","","","猎人（远程）职业美拉冲击"
"35117",">=1","","0","","","","","德鲁伊职业撕裂横扫"
"35118",">=1","","0","","","_95084_<1","","德鲁伊职业绿之潮"
"35119",">=1","","0","","","_95085_>=2&&_95089_<1","","德鲁伊职业黄昏花蕾"
"35120",">=1","","0","","","","","德鲁伊职业灵熊爪击"
"35121",">=1","","0","","","_95086_>=1&&_95087_<1","","德鲁伊职业自然之眼"
"35122",">=1","","0","","","","","德鲁伊职业纠缠根须"
"35123",">=1","","0","","","","","牧师职业神圣新星"
"35124",">=1","","0","","","_95082_>=3","","牧师职业治疗祷言"
"35125",">=1","","0","","","_95057_>=1","","牧师职业复生"
"35126",">=1","","0","","","_95088_<=0","","牧师职业心灵之火"
"35127",">=1","","0","","","","","牧师职业神圣救赎"
"35128",">=1","","0","","","","","牧师职业天定之国"
"35129",">=1","","0","","","","","猎人（近）职业多重打击"
"35130",">=1","","0","","","_95046_<=2","","猎人（近）职业穿刺打击"
"35131",">=1","","0","","","","","猎人（近）职业野性召唤"
"35132",">=1","","0","","","","","猎人（近）职业生命献祭"
"35133",">=1","","0","","","_95083_==1","","猎人（近）职业精准打击"
"35134",">=1","","0","","","","","猎人（近）职业美拉冲击"
"35135",">=1","","0","","","","","猎人（近）职业多重打击"
"35136",">=1","","0","","","","","猎人（近）职业穿刺打击"
"35137",">=1","","0","","","","","猎人（近）职业野性召唤"
"35138",">=1","","0","","","","","猎人（近）职业生命献祭"
"35139",">=1","","0","","","","","猎人（近）职业精准打击"
"35140",">=1","","0","","","","","猎人（近）职业美拉冲击"
"35141",">=1","","0","","","","","猎人（近）职业多重打击"
"35142",">=1","","0","","","","","猎人（近）职业穿刺打击"
"35143",">=1","","0","","","","","猎人（近）职业野性召唤"
"35144",">=1","","0","","","","","猎人（近）职业生命献祭"
"35145",">=1","","0","","","","","猎人（近）职业精准打击"
"35146",">=1","","0","","","","","猎人（近）职业美拉冲击"
"35147",">=1","","0","","","","","猎人（近）职业多重打击"
"35148",">=1","","0","","","","","猎人（近）职业穿刺打击"
"35149",">=1","","0","","","","","猎人（近）职业野性召唤"
"35150",">=1","","0","","","","","猎人（近）职业生命献祭"
"35151",">=1","","0","","","","","猎人（近）职业精准打击"
"35152",">=1","","0","","","","","猎人（近）职业美拉冲击"
"35153",">=1","","0","","","","","猎人（近）职业多重打击"
"35154",">=1","","0","","","","","猎人（近）职业穿刺打击"
"35155",">=1","","0","","","","","猎人（近）职业野性召唤"
"35156",">=1","","0","","","","","猎人（近）职业生命献祭"
"35157",">=1","","0","","","","","猎人（近）职业精准打击"
"35158",">=1","","0","","","","","猎人（近）职业美拉冲击"
"35159",">=1","","0","","","","","猎人（近）职业多重打击"
"35160",">=1","","0","","","","","猎人（近）职业穿刺打击"
"35161",">=1","","0","","","","","猎人（近）职业野性召唤"
"35162",">=1","","0","","","","","猎人（近）职业生命献祭"
"35163",">=1","","0","","","","","猎人（近）职业精准打击"
"35164",">=1","","0","","","","","猎人（近）职业美拉冲击"
"35165",">=1","","0","","","","","猎人（近）职业多重打击"
"35166",">=1","","0","","","","","猎人（近）职业穿刺打击"
"35167",">=1","","0","","","","","猎人（近）职业野性召唤"
"35168",">=1","","0","","","","","猎人（近）职业生命献祭"
"35169",">=1","","0","","","","","猎人（近）职业精准打击"
"35170",">=1","","0","","","","","猎人（近）职业美拉冲击"
"36001","==1","","0","","","_96001_/_96002_>=0.2","","队伍中辅助职业/总人数>=0.2，第1回合"
"36002","==1","","0","","","_96001_/_96002_<0.2","","队伍中辅助职业/总人数<0.2，第1回合"
"36003","==3","","0","","","_96001_/_96002_<0.2","","队伍中辅助职业/总人数<0.2，第3回合"
"36004","==1","","0","","","_96004_>=4","","队伍中输出职业4个时，第0回合（战斗开始）"
"36005",">=1","","0","","","_96003_>=1","","对方没有中三控的单位>=1"
"36006",">=4","","0","","","_96124_<=0.01","","大于等于第4回合"
"36010",">=1","","0","","","","","小萌萌只挨打"
"36011",">=2","","0","","","","","公会副本第2回合以后"
"36016",">=1","","0","","","_96015_==1","","公会副本第1回合进战斗怪物中了封印"
"36017",">=1","","0","","","_96016_>=1||_96018_>=1","","公会副本有牧师或骑士或治疗图腾逃跑"
"36018",">=2","","0","","","","","公会副本第2回合进战斗BOSS释放召唤与隐身"
"36019",">=1","","0","","","_96016_<1&&_96018_<1","","公会副本没有骑士和牧师和治疗图腾喊话"
"36020",">=4","","0","","","","","公会副本第四回合逃跑"
"36030",">=1","","0","","","","","德鲁伊第一回合减防"
"36031",">=2","","0","","","","","猎人第二回合（多重打击）"
"36032",">=1","","0","","","","","牧师第一回合（加状态）"
"36033",">=1","","0","","","","","牧师第一回合（加状态）"
"36034","==9","","0","","","","","牧师随机拉人"
"36035",">=9","","0","","","","","牧师随机拉人"
"36036",">=12","","0","","","","","牧师随机拉人"
"36037",">=1","","0","","","_96017_<1","","第一回合进入战斗后"
"36038","==1","","0","","","","","第一回召唤小怪"
"36039","==1","","0","","","","","第一回合自爆自身80%血量，对方全部怪物减80%血量"
"36040",">=1","","0","","","_96107_>=1","","第一回合队伍中有法师，职业领袖弟子会逃跑"
"36041",">=1","","0","","","_96103_>=1","","第一回合队伍中有大唐官府，首席弟子会逃跑"
"36042",">=1","","0","","","_96108_>=1","","第一回合队伍中有牧师，职业领袖弟子会逃跑"
"36043",">=1","","0","","","_96106_>=1","","第一回合队伍中有小德，职业领袖弟子会逃跑"
"36044",">=1","","0","","","_96104_>=1","","第一回合队伍中有圣骑，职业领袖弟子会逃跑"
"36045",">=1","","0","","","_96105_>=1","","第一回合队伍中有猎人，职业领袖弟子会逃跑"
"36046",">=5","","0","","","","","第五回合特殊怪逃跑战士"
"36047",">=5","","0","","","","","第五回合特殊怪逃跑牧师"
"36048",">=5","","0","","","","","第五回合特殊怪逃跑猎人"
"36049",">=5","","0","","","","","第五回合特殊怪逃跑法师"
"36050",">=5","","0","","","","","第五回合特殊怪逃跑圣骑"
"36051",">=5","","0","","","","","第五回合特殊怪逃跑小德"
"36052","==1","","0","","","","","冠军试炼圣骑大弟子双封"
"36053",">=3","","0","","","","","冠军试炼圣骑大弟子双封"
"36054",">=1","","0","","","_96109_>=1","","第一回合队伍中有萨满，职业领袖弟子会逃跑"
"36055",">=1","","0","","","_96110_>=1","","第一回合队伍中有盗贼，职业领袖弟子会逃跑"
"36056",">=1","","0","","","_96111_>=1","","第一回合队伍中有术士，职业领袖弟子会逃跑"
"36057",">=5","","0","","","","","第五回合特殊怪逃跑萨满"
"36058",">=5","","0","","","","","第五回合特殊怪逃跑盗贼"
"36059",">=5","","0","","","","","第五回合特殊怪逃跑术士"
"36060","==1","","0","","","","","fs第一回合放变羊"
"36061","==1","","0","","","","","战士第一回合嘲讽"
"36062","==1","","0","","","","","萨满加状态"
"36063","==1","","0","","","","","圣骑第一回合嘲讽"
"36064","==1","","0","","","","","盗贼剔骨"
"36065","==1","","0","","","","","牧师第一回合（加状态）"
"36066","==1","","0","","","","","猎人第一回合多重打击"
"36067","==1","","0","","","","","德鲁伊第一回合减防"
"36100",">=1","","0","","","","","一进战斗"
"36101",">=1","","0","","","","","血色教堂女BOSS使用神圣新星"
"36102",">=1","","0","","","_96101_==1","","（尖牙溶洞）怪物剩余1"
"36103","==1","","0","","","","","（尖牙溶洞）回合开始"
"36104",">=1","","0","","","_96102_>=1","","（尖牙溶洞）血量小于50%"
"36110",">=1","","0","","","_96124_<=0.01","","（亡者矿坑）回合开始"
"36111",">=1","effectpointa>=1","0","","","","","（亡者矿坑）连击点数大于等于1"
"36112",">=1","","0","","","_96113_<1","","（亡者矿坑）我方有心灵之火buff的单位小于1（包含死亡）"
"36113","==1","","0","","","_96124_<=0.01","","（亡者矿坑）第1回合"
"36114","==2","","0","","","_96124_<=0.01","","（亡者矿坑）第2回合"
"36115","==3","","0","","","_96124_<=0.01","","（亡者矿坑）第3回合"
"36116","==4","","0","","","_96124_<=0.01","","（亡者矿坑）第4回合"
"36117","==5","","0","","","_96124_<=0.01","","（亡者矿坑）第5回合"
"36118","==6","","0","","","_96124_<=0.01","","（亡者矿坑）第6回合"
"36119","==7","","0","","","_96124_<=0.01","","（亡者矿坑）第7回合"
"36120","==8","","0","","","_96124_<=0.01","","（亡者矿坑）第8回合"
"36130",">=1","","0","","","_96120_>=1","","我方血小于等于80%单位大于等于1"
"36131",">=1","","0","","","_96121_>=1","","我方血小于等于80%单位大于等于1"
"36132",">=1","","0","","","_96122_<1","","我方有心灵之火buff的单位小于1（包含死亡）"
"36133",">=1","","0","","","_96123_>=1","","我方死亡单位大于等于1"
"36134",">=1","","0","","","_96124_<=0.01","","第1回合之后"
"36135","==1","","0","","","","","70精英马拉得公主释放死亡凋零"
"36136",">=5","","0","","","","","70精英马拉得公主释放死亡凋零"
"36137",">=1","","0","","","","","70精英马拉得公主喊话"
"36138",">=1","","0","","1","_99002_<1","","40阿鲁高死亡召唤小怪"
"36201","==0","","0","","","_96301_>=1","","自己的血量高于50%召唤怪物"
"36202",">=0","","0","","","_96302_>=1","","自己的血量小于50%释放驱散无敌技能"
"36203",">=1","","0","","","_96301_>=1&&_96307_<1","","血量大于等于百分之50%并且20位置没有单位召唤怪物"
"36204",">=1","","0","","","_96301_>=1&&_96308_<1","","血量大于等于百分之50%并且21位置没有单位召唤怪物"
"36205",">=1","","0","","","_96301_>=1&&_96309_<1","","血量大于等于百分之50%并且22位置没有单位召唤怪物"
"36206",">=1","","0","","","_96301_>=1&&_96310_<1","","血量大于等于百分之50%并且23位置没有单位召唤怪物"
"36207",">=1","","0","","","_96301_>=1&&_96311_<1","","血量大于等于百分之50%并且24位置没有单位召唤怪物"
"36208",">=1","","0","","","_96302_>=1","","血量小于50%释放魔爆术"
"36209",">=1","","0","","","_96301_>=1&&_96362_<1","","血量大于等于百分之50%并且15位置没有单位召唤怪物"
"36210",">=1","","0","","","_96301_>=1&&_96363_<1","","血量大于等于百分之50%并且16位置没有单位召唤怪物"
"36211",">=1","","0","","","_96301_>=1&&_96364_<1","","血量大于等于百分之50%并且17位置没有单位召唤怪物"
"36212",">=1","","0","","","_96301_>=1&&_96365_<1","","血量大于等于百分之50%并且18位置没有单位召唤怪物"
"36213",">=1","","0","","","_96301_>=1&&_96366_<1","","血量大于等于百分之50%并且19位置没有单位召唤怪物"
"36214",">=1","","0","","","_96304_<1","","己方阵营没有无敌BUFF小怪逃跑"
"36215",">=1","","0","","","_96304_<1","","己方阵营没有无敌BUFF小怪逃跑"
"36251","==0","","0","","","_96351_>=1","","自己的血量高于50%召唤怪物"
