特技特效id,名称,特效,特技,附加1,附加2,附魔大法需求道具id,附魔大法需求道具数量,名称1,名称2,名称3,名称4,名称5,名称6,名称7,名称8,名称9,名称10,名称11,名称12,名称13,名称14
440803,固甲,0,0,0,1,680503,1,物理防御 +12,法术防御 +8,气血 +40,,,,,,,,,,,
440804,雁行,0,0,0,1,680504,1,物理防御 +12,法术防御 +8,速度 +8,,,,,,,,,,,
440805,征讨伐,0,0,0,1,680505,1,物理伤害 +24,法术伤害 +18,气血 +120,,,,,,,,,,,
440806,龙虎势,0,0,0,1,680506,1,物理伤害 +24,法术伤害 +18,速度 +24,,,,,,,,,,,
440807,金钟罩,0,0,0,1,680507,1,物理防御 +36,法术防御 +24,气血 +120,,,,,,,,,,,
440808,青云心,0,0,0,1,680508,1,物理防御 +36,法术防御 +24,速度 +24,,,,,,,,,,,
440809,青莲剑歌,0,0,0,1,680509,1,物理伤害 +2%,法术伤害 +2%,气血 +5%,,,,,,,,,,,
440810,佛莲噬心,0,0,0,1,680510,1,物理伤害 +2%,法术伤害 +2%,速度 +2%,,,,,,,,,,,
440811,固若金汤,0,0,0,1,680511,1,物理防御 +2%,法术防御 +2%,气血 +5%,,,,,,,,,,,
440812,镇海冲云,0,0,0,1,680512,1,物理防御 +2%,法术防御 +2%,速度 +2%,,,,,,,,,,,
,新器灵,,,,,,,,,,,,,,,,,,,,
60000,逆鳞,0,0,0,1,920000,1,物理伤害 +3%,法术伤害 +3%,气血 +6%,,,,,,,,,,,
60001,顺甲,0,0,0,1,920001,1,物理伤害 +3%,法术伤害 +3%,速度 +3%,,,,,,,,,,,
60002,安陆,0,0,0,1,920002,1,物理防御 +3%,法术防御 +3%,气血 +6%,,,,,,,,,,,
60003,齐云,0,0,0,1,920003,1,物理防御 +3%,法术防御 +3%,速度 +3%,,,,,,,,,,,
60004,照夜,0,0,0,1,920004,1,物理伤害 +4%,法术伤害 +4%,气血 +7%,,,,,,,,,,,
60005,青岚,0,0,0,1,920005,1,物理伤害 +4%,法术伤害 +4%,速度 +4%,,,,,,,,,,,
60006,灵泽,0,0,0,1,920006,1,物理防御 +4%,法术防御 +4%,气血 +7%,,,,,,,,,,,
60007,霁华,0,0,0,1,920007,1,物理防御 +4%,法术防御 +4%,速度 +4%,,,,,,,,,,,
60008,纤凝,0,0,0,1,920008,1,物理伤害 +5%,法术伤害 +5%,气血 +8%,,,,,,,,,,,
60009,山骨,0,0,0,1,920009,1,物理伤害 +5%,法术伤害 +5%,速度 +5%,,,,,,,,,,,
60010,缥缃,0,0,0,1,920010,1,物理防御 +5%,法术防御 +5%,气血 +8%,,,,,,,,,,,
60011,翠微,0,0,0,1,920011,1,物理防御 +5%,法术防御 +5%,速度 +5%,,,,,,,,,,,
60012,鹿梦,0,0,0,1,920012,1,物理伤害 +6%,法术伤害 +6%,气血 +9%,,,,,,,,,,,
60013,扶疏,0,0,0,1,920013,1,物理伤害 +6%,法术伤害 +6%,速度 +6%,,,,,,,,,,,
60014,绮陌,0,0,0,1,920014,1,物理防御 +6%,法术防御 +6%,气血 +9%,,,,,,,,,,,
60015,望舒,0,0,0,1,920015,1,物理防御 +6%,法术防御 +6%,速度 +6%,,,,,,,,,,,
60016,汀兰,0,0,0,1,920016,1,物理伤害 +7%,法术伤害 +7%,气血 +10%,,,,,,,,,,,
60017,星眠,0,0,0,1,920017,1,物理伤害 +7%,法术伤害 +7%,速度 +7%,,,,,,,,,,,
60018,雾屿,0,0,0,1,920018,1,物理防御 +7%,法术防御 +7%,气血 +10%,,,,,,,,,,,
60019,云舒,0,0,0,1,920019,1,物理防御 +7%,法术防御 +7%,速度 +7%,,,,,,,,,,,
60020,月徊,0,0,0,1,920020,1,物理伤害 +8%,法术伤害 +8%,气血 +11%,,,,,,,,,,,
60021,风软,0,0,0,1,920021,1,物理伤害 +8%,法术伤害 +8%,速度 +8%,,,,,,,,,,,
60022,雪笺,0,0,0,1,920022,1,物理防御 +8%,法术防御 +8%,气血 +11%,,,,,,,,,,,
60023,晚晴,0,0,0,1,920023,1,物理防御 +8%,法术防御 +8%,速度 +8%,,,,,,,,,,,
60024,疏影,0,0,0,1,920024,1,物理伤害 +9%,法术伤害 +9%,气血 +12%,,,,,,,,,,,
60025,清欢,0,0,0,1,920025,1,物理伤害 +9%,法术伤害 +9%,速度 +9%,,,,,,,,,,,
60026,枕星,0,0,0,1,920026,1,物理防御 +9%,法术防御 +9%,气血 +12%,,,,,,,,,,,
60027,漱月,0,0,0,1,920027,1,物理防御 +9%,法术防御 +9%,速度 +9%,,,,,,,,,,,
60028,栖鹤,0,0,0,1,920028,1,物理伤害 +10%,法术伤害 +10%,气血 +13%,,,,,,,,,,,
60029,听澜,0,0,0,1,920029,1,物理伤害 +10%,法术伤害 +10%,速度 +10%,,,,,,,,,,,
60030,酌光,0,0,0,1,920030,1,物理防御 +10%,法术防御 +10%,气血 +13%,,,,,,,,,,,
60031,心境,0,0,0,1,920031,1,物理防御 +10%,法术防御 +10%,速度 +10%,,,,,,,,,,,
449000,下面是用于程序读取，请勿改动,,,,,,,,,,,,,,,,,,,,
441000,戒指品质•0级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,8,8,6,8,8,6,4
441001,戒指品质•1级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,16,16,12,16,16,12,8
441002,戒指品质•2级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,24,24,18,24,24,18,12
441003,戒指品质•3级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,32,32,24,32,32,24,16
441004,戒指品质•4级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,40,40,30,40,40,30,20
441005,戒指品质•5级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,48,48,36,48,48,36,24
441006,戒指品质•6级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,56,56,42,56,56,42,28
441007,戒指品质•7级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,64,64,48,64,64,48,32
441008,戒指品质•8级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,72,72,54,72,72,54,36
441009,戒指品质•9级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,80,80,60,80,80,60,40
441010,戒指品质•10级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,88,88,66,88,88,66,44
441011,戒指品质•11级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,96,96,72,96,96,72,48
441012,戒指品质•12级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,104,104,78,104,104,78,52
441013,戒指品质•13级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,112,112,84,112,112,84,56
441014,戒指品质•14级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,120,120,90,120,120,90,60
441015,戒指品质•15级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,128,128,96,128,128,96,64
441016,戒指品质•16级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,136,136,102,136,136,102,68
441017,戒指品质•17级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,144,144,108,144,144,108,72
441018,戒指品质•18级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,152,152,114,152,152,114,76
441019,戒指品质•19级,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,160,160,120,160,160,120,80
441020,戒指品质•Max,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,168,168,126,168,168,126,84
441021,戒指品质•Max,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,336,336,252,336,336,252,168
441022,戒指品质•Max,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,504,504,336,504,504,336,252
441023,戒指品质•Max,0,0,0,0,680516,1,物理伤害 +8,物理防御 +8,法术伤害 +6,法术防御 +8,治疗强度 +8,封印命中 +6,封印抵抗 +4,674,674,504,674,674,504,336
