定时活动配置表id,注释（策划备注）,活动开始时间,距离活动开始间隔时间,间隔刷新时间,触发时间随机,刷新时系统提示信息编号,刷新方式,补怪数量上限,补怪持续时间,刷新列表,刷新列表数量,每种NPC数量,刷新场景,刷新场景个数,怪物存在时间,击杀奖励个数,奖励ID,匹配等级方式,奖励个数超过提示编号,是否组队,组队人数要求,需求等级下限,需求等级上限,次数,补怪方式,对应事件刷新ID,观战,消失,对应活动表ID,分级奖励,在线人数刷新,匹配秒数,是否匹配,次数击杀,分级次数,刷新控制,刷新控制总数量,延迟秒数,延迟刷怪提示,数量分配方式,场景中数量分配方式
273003,十二元辰,00:00:05,,1800,,192129,0,0,0,"250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057",2,8,1610@8,1,3600,10,7733,,150524,1,1,50,300,0,0,,1,0,273,,,,,,,,,,,1,1
273004,十二元辰,00:00:05,,1800,,192129,0,0,0,"250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057",2,8,1610@8,1,3600,10,7733,,150524,1,1,50,300,0,0,,1,0,273,,,,,,,,,,,1,1
273005,十二元辰,00:00:05,,1800,,192129,0,0,0,"250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057",2,8,1610@8,1,3600,10,7733,,150524,1,1,50,300,0,0,,1,0,273,,,,,,,,,,,1,1
273006,十二元辰,00:00:05,,1800,,192129,0,0,0,"250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057",2,8,1610@8,1,3600,10,7733,,150524,1,1,50,300,0,0,,1,0,273,,,,,,,,,,,1,1
273007,十二元辰,00:00:05,,1800,,192129,0,0,0,"250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057",2,8,1610@8,1,3600,10,7733,,150524,1,1,50,300,0,0,,1,0,273,,,,,,,,,,,1,1
274001,四方星官,00:00:05,,3600,,192129,0,0,0,250058;250059;250060;250061,2,8,1609@8,1,3600,8,7704,,150524,1,1,50,300,0,0,,1,0,274,,,,,,,,,,,1,1
274002,四方星官,00:00:05,,3600,,192129,0,0,0,250058;250059;250060;250061,2,8,1609@8,1,3600,8,7704,,150524,1,1,50,300,0,0,,1,0,274,,,,,,,,,,,1,1
274003,四方星官,00:00:05,,3600,,192129,0,0,0,250058;250059;250060;250061,2,8,1609@8,1,3600,8,7704,,150524,1,1,50,300,0,0,,1,0,274,,,,,,,,,,,1,1
274004,四方星官,00:00:05,,3600,,192129,0,0,0,250058;250059;250060;250061,2,8,1609@8,1,3600,8,7704,,150524,1,1,50,300,0,0,,1,0,274,,,,,,,,,,,1,1
274005,四方星官,00:00:05,,3600,,192129,0,0,0,250058;250059;250060;250061,2,8,1609@8,1,3600,8,7704,,150524,1,1,50,300,0,0,,1,0,274,,,,,,,,,,,1,1
274006,四方星官,00:00:05,,3600,,192129,0,0,0,250058;250059;250060;250061,2,8,1609@8,1,3600,8,7704,,150524,1,1,50,300,0,0,,1,0,274,,,,,,,,,,,1,1
274007,四方星官,00:00:05,,3600,,192129,0,0,0,250058;250059;250060;250061,2,8,1609@8,1,3600,8,7704,,150524,1,1,50,300,0,0,,1,0,274,,,,,,,,,,,1,1
275001,九曜星官,00:00:05,,3600,,192129,0,0,0,250062;250063;250064,2,8,1609@8,1,3600,7,7705,,150524,1,1,50,300,0,0,,1,0,275,,,,,,,,,,,1,1
275002,九曜星官,00:00:05,,3600,,192129,0,0,0,250062;250063;250064,2,8,1609@8,1,3600,7,7705,,150524,1,1,50,300,0,0,,1,0,275,,,,,,,,,,,1,1
275003,九曜星官,00:00:05,,3600,,192129,0,0,0,250062;250063;250064,2,8,1609@8,1,3600,7,7705,,150524,1,1,50,300,0,0,,1,0,275,,,,,,,,,,,1,1
275004,九曜星官,00:00:05,,3600,,192129,0,0,0,250062;250063;250064,2,8,1609@8,1,3600,7,7705,,150524,1,1,50,300,0,0,,1,0,275,,,,,,,,,,,1,1
275005,九曜星官,00:00:05,,3600,,192129,0,0,0,250062;250063;250064,2,8,1609@8,1,3600,7,7705,,150524,1,1,50,300,0,0,,1,0,275,,,,,,,,,,,1,1
275006,九曜星官,00:00:05,,3600,,192129,0,0,0,250062;250063;250064,2,8,1609@8,1,3600,7,7705,,150524,1,1,50,300,0,0,,1,0,275,,,,,,,,,,,1,1
275007,九曜星官,00:00:05,,3600,,192129,0,0,0,250062;250063;250064,2,8,1609@8,1,3600,7,7705,,150524,1,1,50,300,0,0,,1,0,275,,,,,,,,,,,1,1
276001,地煞1星,00:00:05,,7200,,192129,0,0,0,250065;250066;250067;250068;250069;250070;250071;250072;250073;250074,2,3,1608@8,1,7200,3,7601,,150524,1,1,60,300,0,0,,1,0,276,,,,,,,,,,,1,1
276002,地煞1星,00:00:05,,7200,,192129,0,0,0,250065;250066;250067;250068;250069;250070;250071;250072;250073;250074,2,3,1608@8,1,7200,3,7601,,150524,1,1,60,300,0,0,,1,0,276,,,,,,,,,,,1,1
276003,地煞1星,00:00:05,,7200,,192129,0,0,0,250065;250066;250067;250068;250069;250070;250071;250072;250073;250074,2,3,1608@8,1,7200,3,7601,,150524,1,1,60,300,0,0,,1,0,276,,,,,,,,,,,1,1
276004,地煞1星,00:00:05,,7200,,192129,0,0,0,250065;250066;250067;250068;250069;250070;250071;250072;250073;250074,2,3,1608@8,1,7200,3,7601,,150524,1,1,60,300,0,0,,1,0,276,,,,,,,,,,,1,1
276005,地煞1星,00:00:05,,7200,,192129,0,0,0,250065;250066;250067;250068;250069;250070;250071;250072;250073;250074,2,3,1608@8,1,7200,3,7601,,150524,1,1,60,300,0,0,,1,0,276,,,,,,,,,,,1,1
276006,地煞1星,00:00:05,,7200,,192129,0,0,0,250065;250066;250067;250068;250069;250070;250071;250072;250073;250074,2,3,1608@8,1,7200,3,7601,,150524,1,1,60,300,0,0,,1,0,276,,,,,,,,,,,1,1
276007,地煞1星,00:00:05,,7200,,192129,0,0,0,250065;250066;250067;250068;250069;250070;250071;250072;250073;250074,2,3,1608@8,1,7200,3,7601,,150524,1,1,60,300,0,0,,1,0,276,,,,,,,,,,,1,1
277001,地煞2星,00:00:05,,7200,,192129,0,0,0,250082;250083;250084;250085;250086;250087;250088;250089;250090;250091,2,3,1608@8,1,7200,3,7602,,150524,1,1,60,300,0,0,,1,0,346,,,,,,,,,,,1,1
277002,地煞2星,00:00:05,,7200,,192129,0,0,0,250082;250083;250084;250085;250086;250087;250088;250089;250090;250091,2,3,1608@8,1,7200,3,7602,,150524,1,1,60,300,0,0,,1,0,346,,,,,,,,,,,1,1
277003,地煞2星,00:00:05,,7200,,192129,0,0,0,250082;250083;250084;250085;250086;250087;250088;250089;250090;250091,2,3,1608@8,1,7200,3,7602,,150524,1,1,60,300,0,0,,1,0,346,,,,,,,,,,,1,1
277004,地煞2星,00:00:05,,7200,,192129,0,0,0,250082;250083;250084;250085;250086;250087;250088;250089;250090;250091,2,3,1608@8,1,7200,3,7602,,150524,1,1,60,300,0,0,,1,0,346,,,,,,,,,,,1,1
277005,地煞2星,00:00:05,,7200,,192129,0,0,0,250082;250083;250084;250085;250086;250087;250088;250089;250090;250091,2,3,1608@8,1,7200,3,7602,,150524,1,1,60,300,0,0,,1,0,346,,,,,,,,,,,1,1
277006,地煞2星,00:00:05,,7200,,192129,0,0,0,250082;250083;250084;250085;250086;250087;250088;250089;250090;250091,2,3,1608@8,1,7200,3,7602,,150524,1,1,60,300,0,0,,1,0,346,,,,,,,,,,,1,1
277007,地煞2星,00:00:05,,7200,,192129,0,0,0,250082;250083;250084;250085;250086;250087;250088;250089;250090;250091,2,3,1608@8,1,7200,3,7602,,150524,1,1,60,300,0,0,,1,0,346,,,,,,,,,,,1,1
277050,泡泡王,00:00:05,,3600,,192129,0,0,0,260043,1,15,1615@8,1,900,1,7609,,150524,1,1,60,300,0,0,,1,0,299,,,,,,,,,,,1,1
277051,泡泡王,00:00:05,,3600,,192129,0,0,0,260043,1,15,1615@8,1,900,1,7609,,150524,1,1,60,300,0,0,,1,0,299,,,,,,,,,,,1,1
277052,泡泡王,00:00:05,,3600,,192129,0,0,0,260043,1,15,1615@8,1,900,1,7609,,150524,1,1,60,300,0,0,,1,0,299,,,,,,,,,,,1,1
277053,泡泡王,00:00:05,,3600,,192129,0,0,0,260043,1,15,1615@8,1,900,1,7609,,150524,1,1,60,300,0,0,,1,0,299,,,,,,,,,,,1,1
277054,泡泡王,00:00:05,,3600,,192129,0,0,0,260043,1,15,1615@8,1,900,1,7609,,150524,1,1,60,300,0,0,,1,0,299,,,,,,,,,,,1,1
277055,泡泡王,00:00:05,,3600,,192129,0,0,0,260043,1,15,1615@8,1,900,1,7609,,150524,1,1,60,300,0,0,,1,0,299,,,,,,,,,,,1,1
277056,泡泡王,00:00:05,,3600,,192129,0,0,0,260043,1,15,1615@8,1,900,1,7609,,150524,1,1,60,300,0,0,,1,0,299,,,,,,,,,,,1,1
278001,地煞3星,00:00:05,,7200,,192129,0,0,0,250099;250100;250101;250102;250103;250104;250105;250106;250107;250108,2,3,1608@8,1,7200,3,7603,,150524,1,1,60,300,0,0,,1,0,347,,,,,,,,,,,1,1
278002,地煞3星,00:00:05,,7200,,192129,0,0,0,250099;250100;250101;250102;250103;250104;250105;250106;250107;250108,2,3,1608@8,1,7200,3,7603,,150524,1,1,60,300,0,0,,1,0,347,,,,,,,,,,,1,1
278003,地煞3星,00:00:05,,7200,,192129,0,0,0,250099;250100;250101;250102;250103;250104;250105;250106;250107;250108,2,3,1608@8,1,7200,3,7603,,150524,1,1,60,300,0,0,,1,0,347,,,,,,,,,,,1,1
278004,地煞3星,00:00:05,,7200,,192129,0,0,0,250099;250100;250101;250102;250103;250104;250105;250106;250107;250108,2,3,1608@8,1,7200,3,7603,,150524,1,1,60,300,0,0,,1,0,347,,,,,,,,,,,1,1
278005,地煞3星,00:00:05,,7200,,192129,0,0,0,250099;250100;250101;250102;250103;250104;250105;250106;250107;250108,2,3,1608@8,1,7200,3,7603,,150524,1,1,60,300,0,0,,1,0,347,,,,,,,,,,,1,1
278006,地煞3星,00:00:05,,7200,,192129,0,0,0,250099;250100;250101;250102;250103;250104;250105;250106;250107;250108,2,3,1608@8,1,7200,3,7603,,150524,1,1,60,300,0,0,,1,0,347,,,,,,,,,,,1,1
278007,地煞3星,00:00:05,,7200,,192129,0,0,0,250099;250100;250101;250102;250103;250104;250105;250106;250107;250108,2,3,1608@8,1,7200,3,7603,,150524,1,1,60,300,0,0,,1,0,347,,,,,,,,,,,1,1
279001,地煞4星,00:00:05,,7200,,192129,0,0,0,250116;250117;250118;250119;250120;250121;250122;250123;250124;250125,2,3,1608@8,1,7200,3,7604,,150524,1,1,60,300,0,0,,1,0,348,,,,,,,,,,,1,1
279002,地煞4星,00:00:05,,7200,,192129,0,0,0,250116;250117;250118;250119;250120;250121;250122;250123;250124;250125,2,3,1608@8,1,7200,3,7604,,150524,1,1,60,300,0,0,,1,0,348,,,,,,,,,,,1,1
279003,地煞4星,00:00:05,,7200,,192129,0,0,0,250116;250117;250118;250119;250120;250121;250122;250123;250124;250125,2,3,1608@8,1,7200,3,7604,,150524,1,1,60,300,0,0,,1,0,348,,,,,,,,,,,1,1
