附加属性id,名称,颜色,属性id,属性名称,区间,buffid,技能id,拍卖筛选是否显示
73,力量+&,FF00b1ff,35,str_value,14;21,0,0,1
74,耐力+&,FF00b1ff,45,endu_value,14;22,0,0,1
75,敏捷+&,FF00b1ff,65,agi_value,14;23,0,0,1
76,体质+&,FF00b1ff,15,cons_value,1;2,0,0,1
77,智力+&,FF00b1ff,25,iq_value,1;3,0,0,1
78,力量+&,FF00b1ff,35,str_value,1;4,0,0,1
79,耐力+&,FF00b1ff,45,endu_value,1;5,0,0,1
80,敏捷+&,FF00b1ff,65,agi_value,1;6,0,0,1
81,体质+&,FF00b1ff,15,cons_value,3;4,0,0,1
82,智力+&,FF00b1ff,25,iq_value,3;5,0,0,1
83,力量+&,FF00b1ff,35,str_value,3;6,0,0,1
84,耐力+&,FF00b1ff,45,endu_value,3;7,0,0,1
85,敏捷+&,FF00b1ff,65,agi_value,3;8,0,0,1
86,体质+&,FF00b1ff,15,cons_value,4;6,0,0,1
87,智力+&,FF00b1ff,25,iq_value,4;7,0,0,1
88,力量+&,FF00b1ff,35,str_value,4;8,0,0,1
89,耐力+&,FF00b1ff,45,endu_value,4;9,0,0,1
90,敏捷+&,FF00b1ff,65,agi_value,4;10,0,0,1
91,体质+&,FF00b1ff,15,cons_value,6;8,0,0,1
92,智力+&,FF00b1ff,25,iq_value,6;9,0,0,1
93,力量+&,FF00b1ff,35,str_value,6;10,0,0,1
94,耐力+&,FF00b1ff,45,endu_value,6;11,0,0,1
95,敏捷+&,FF00b1ff,65,agi_value,6;12,0,0,1
96,体质+&,FF00b1ff,15,cons_value,7;9,0,0,1
97,智力+&,FF00b1ff,25,iq_value,7;10,0,0,1
98,力量+&,FF00b1ff,35,str_value,7;11,0,0,1
99,耐力+&,FF00b1ff,45,endu_value,7;12,0,0,1
100,敏捷+&,FF00b1ff,65,agi_value,7;13,0,0,1
101,体质+&,FF00b1ff,15,cons_value,8;11,0,0,1
102,智力+&,FF00b1ff,25,iq_value,8;12,0,0,1
103,力量+&,FF00b1ff,35,str_value,8;13,0,0,1
104,耐力+&,FF00b1ff,45,endu_value,8;14,0,0,1
105,敏捷+&,FF00b1ff,65,agi_value,8;15,0,0,1
106,体质+&,FF00b1ff,15,cons_value,10;13,0,0,1
107,智力+&,FF00b1ff,25,iq_value,10;14,0,0,1
108,力量+&,FF00b1ff,35,str_value,10;15,0,0,1
109,耐力+&,FF00b1ff,45,endu_value,10;16,0,0,1
110,敏捷+&,FF00b1ff,65,agi_value,10;17,0,0,1
111,体质+&,FF00b1ff,15,cons_value,11;15,0,0,1
112,智力+&,FF00b1ff,25,iq_value,11;16,0,0,1
113,力量+&,FF00b1ff,35,str_value,11;17,0,0,1
114,耐力+&,FF00b1ff,45,endu_value,11;18,0,0,1
115,敏捷+&,FF00b1ff,65,agi_value,11;19,0,0,1
116,体质+&,FF00b1ff,15,cons_value,13;17,0,0,1
117,智力+&,FF00b1ff,25,iq_value,13;18,0,0,1
118,力量+&,FF00b1ff,35,str_value,13;19,0,0,1
119,耐力+&,FF00b1ff,45,endu_value,13;20,0,0,1
120,敏捷+&,FF00b1ff,65,agi_value,13;21,0,0,1
121,体质+&,FF00b1ff,15,cons_value,14;19,0,0,1
122,智力+&,FF00b1ff,25,iq_value,14;20,0,0,1
123,力量+&,FF00b1ff,35,str_value,14;21,0,0,1
124,耐力+&,FF00b1ff,45,endu_value,14;22,0,0,1
125,敏捷+&,FF00b1ff,65,agi_value,14;23,0,0,1
126,体质+&,FF00b1ff,15,cons_value,15;21,0,0,1
127,智力+&,FF00b1ff,25,iq_value,15;22,0,0,1
128,力量+&,FF00b1ff,35,str_value,15;23,0,0,1
129,耐力+&,FF00b1ff,45,endu_value,15;24,0,0,1
130,敏捷+&,FF00b1ff,65,agi_value,15;25,0,0,1
131,体质+&,FF00b1ff,15,cons_value,17;23,0,0,1
132,智力+&,FF00b1ff,25,iq_value,17;24,0,0,1
133,力量+&,FF00b1ff,35,str_value,17;25,0,0,1
134,耐力+&,FF00b1ff,45,endu_value,17;26,0,0,1
135,敏捷+&,FF00b1ff,65,agi_value,17;27,0,0,1
136,体质+&,FF00b1ff,15,cons_value,18;24,0,0,1
137,智力+&,FF00b1ff,25,iq_value,18;25,0,0,1
138,力量+&,FF00b1ff,35,str_value,18;26,0,0,1
139,耐力+&,FF00b1ff,45,endu_value,18;27,0,0,1
140,敏捷+&,FF00b1ff,65,agi_value,18;28,0,0,1
141,体质+&,FF00b1ff,15,cons_value,20;26,0,0,1
142,智力+&,FF00b1ff,25,iq_value,20;27,0,0,1
143,力量+&,FF00b1ff,35,str_value,20;28,0,0,1
144,耐力+&,FF00b1ff,45,endu_value,20;29,0,0,1
145,敏捷+&,FF00b1ff,65,agi_value,20;30,0,0,1
146,体质+&,FF00b1ff,15,cons_value,21;28,0,0,1
147,智力+&,FF00b1ff,25,iq_value,21;29,0,0,1
148,力量+&,FF00b1ff,35,str_value,21;30,0,0,1
149,耐力+&,FF00b1ff,45,endu_value,21;31,0,0,1
150,敏捷+&,FF00b1ff,65,agi_value,21;32,0,0,1
151,体质+&,FF00b1ff,15,cons_value,2;3,0,0,1
152,智力+&,FF00b1ff,25,iq_value,2;4,0,0,1
153,力量+&,FF00b1ff,35,str_value,2;5,0,0,1
154,耐力+&,FF00b1ff,45,endu_value,2;6,0,0,1
155,敏捷+&,FF00b1ff,65,agi_value,2;7,0,0,1
156,体质+&,FF00b1ff,15,cons_value,4;5,0,0,1
157,智力+&,FF00b1ff,25,iq_value,4;6,0,0,1
158,力量+&,FF00b1ff,35,str_value,4;7,0,0,1
159,耐力+&,FF00b1ff,45,endu_value,4;8,0,0,1
160,敏捷+&,FF00b1ff,65,agi_value,4;9,0,0,1
161,体质+&,FF00b1ff,15,cons_value,6;8,0,0,1
162,智力+&,FF00b1ff,25,iq_value,6;9,0,0,1
163,力量+&,FF00b1ff,35,str_value,6;10,0,0,1
164,耐力+&,FF00b1ff,45,endu_value,6;11,0,0,1
165,敏捷+&,FF00b1ff,65,agi_value,6;12,0,0,1
166,体质+&,FF00b1ff,15,cons_value,8;10,0,0,1
167,智力+&,FF00b1ff,25,iq_value,8;11,0,0,1
168,力量+&,FF00b1ff,35,str_value,8;12,0,0,1
169,耐力+&,FF00b1ff,45,endu_value,8;13,0,0,1
170,敏捷+&,FF00b1ff,65,agi_value,8;14,0,0,1
171,体质+&,FF00b1ff,15,cons_value,9;13,0,0,1
172,智力+&,FF00b1ff,25,iq_value,9;14,0,0,1
173,力量+&,FF00b1ff,35,str_value,9;15,0,0,1
174,耐力+&,FF00b1ff,45,endu_value,9;16,0,0,1
175,敏捷+&,FF00b1ff,65,agi_value,9;17,0,0,1
176,体质+&,FF00b1ff,15,cons_value,11;15,0,0,1
177,智力+&,FF00b1ff,25,iq_value,11;16,0,0,1
178,力量+&,FF00b1ff,35,str_value,11;17,0,0,1
179,耐力+&,FF00b1ff,45,endu_value,11;18,0,0,1
180,敏捷+&,FF00b1ff,65,agi_value,11;19,0,0,1
181,体质+&,FF00b1ff,15,cons_value,13;18,0,0,1
182,智力+&,FF00b1ff,25,iq_value,13;19,0,0,1
183,力量+&,FF00b1ff,35,str_value,13;20,0,0,1
184,耐力+&,FF00b1ff,45,endu_value,13;21,0,0,1
185,敏捷+&,FF00b1ff,65,agi_value,13;22,0,0,1
186,体质+&,FF00b1ff,15,cons_value,15;20,0,0,1
187,智力+&,FF00b1ff,25,iq_value,15;21,0,0,1
188,力量+&,FF00b1ff,35,str_value,15;22,0,0,1
189,耐力+&,FF00b1ff,45,endu_value,15;23,0,0,1
190,敏捷+&,FF00b1ff,65,agi_value,15;24,0,0,1
191,体质+&,FF00b1ff,15,cons_value,17;23,0,0,1
192,智力+&,FF00b1ff,25,iq_value,17;24,0,0,1
193,力量+&,FF00b1ff,35,str_value,17;25,0,0,1
194,耐力+&,FF00b1ff,45,endu_value,17;26,0,0,1
195,敏捷+&,FF00b1ff,65,agi_value,17;27,0,0,1
196,体质+&,FF00b1ff,15,cons_value,19;25,0,0,1
197,智力+&,FF00b1ff,25,iq_value,19;26,0,0,1
198,力量+&,FF00b1ff,35,str_value,19;27,0,0,1
199,耐力+&,FF00b1ff,45,endu_value,19;28,0,0,1
200,敏捷+&,FF00b1ff,65,agi_value,19;29,0,0,1
201,体质+&,FF00b1ff,15,cons_value,21;28,0,0,1
202,智力+&,FF00b1ff,25,iq_value,21;29,0,0,1
203,力量+&,FF00b1ff,35,str_value,21;30,0,0,1
204,耐力+&,FF00b1ff,45,endu_value,21;31,0,0,1
205,敏捷+&,FF00b1ff,65,agi_value,21;32,0,0,1
206,体质+&,FF00b1ff,15,cons_value,23;30,0,0,1
207,智力+&,FF00b1ff,25,iq_value,23;31,0,0,1
208,力量+&,FF00b1ff,35,str_value,23;32,0,0,1
209,耐力+&,FF00b1ff,45,endu_value,23;33,0,0,1
210,敏捷+&,FF00b1ff,65,agi_value,23;34,0,0,1
211,体质+&,FF00b1ff,15,cons_value,24;33,0,0,1
212,智力+&,FF00b1ff,25,iq_value,24;34,0,0,1
213,力量+&,FF00b1ff,35,str_value,24;35,0,0,1
214,耐力+&,FF00b1ff,45,endu_value,24;36,0,0,1
215,敏捷+&,FF00b1ff,65,agi_value,24;37,0,0,1
216,体质+&,FF00b1ff,15,cons_value,26;35,0,0,1
217,智力+&,FF00b1ff,25,iq_value,26;36,0,0,1
218,力量+&,FF00b1ff,35,str_value,26;37,0,0,1
219,耐力+&,FF00b1ff,45,endu_value,26;38,0,0,1
220,敏捷+&,FF00b1ff,65,agi_value,26;39,0,0,1
221,体质+&,FF00b1ff,15,cons_value,28;38,0,0,1
222,智力+&,FF00b1ff,25,iq_value,28;39,0,0,1
223,力量+&,FF00b1ff,35,str_value,28;40,0,0,1
224,耐力+&,FF00b1ff,45,endu_value,28;41,0,0,1
225,敏捷+&,FF00b1ff,65,agi_value,28;42,0,0,1
226,体质+&,FF00b1ff,15,cons_value,-1;-1,0,0,1
227,智力+&,FF00b1ff,25,iq_value,-1;-1,0,0,1
228,力量+&,FF00b1ff,35,str_value,-1;-1,0,0,1
229,耐力+&,FF00b1ff,45,endu_value,-1;-1,0,0,1
230,敏捷+&,FF00b1ff,65,agi_value,-1;-1,0,0,1
231,体质+&,FF00b1ff,15,cons_value,-1;-1,0,0,1
232,智力+&,FF00b1ff,25,iq_value,-1;-1,0,0,1
233,力量+&,FF00b1ff,35,str_value,-1;-1,0,0,1
234,耐力+&,FF00b1ff,45,endu_value,-1;-1,0,0,1
235,敏捷+&,FF00b1ff,65,agi_value,-1;-1,0,0,1
236,体质+&,FF00b1ff,15,cons_value,-2;-2,0,0,1
237,智力+&,FF00b1ff,25,iq_value,-2;-2,0,0,1
238,力量+&,FF00b1ff,35,str_value,-2;-2,0,0,1
239,耐力+&,FF00b1ff,45,endu_value,-2;-2,0,0,1
240,敏捷+&,FF00b1ff,65,agi_value,-2;-2,0,0,1
241,体质+&,FF00b1ff,15,cons_value,-2;-3,0,0,1
242,智力+&,FF00b1ff,25,iq_value,-2;-3,0,0,1
243,力量+&,FF00b1ff,35,str_value,-2;-3,0,0,1
244,耐力+&,FF00b1ff,45,endu_value,-2;-3,0,0,1
245,敏捷+&,FF00b1ff,65,agi_value,-2;-3,0,0,1
246,体质+&,FF00b1ff,15,cons_value,-3;-3,0,0,1
247,智力+&,FF00b1ff,25,iq_value,-3;-3,0,0,1
248,力量+&,FF00b1ff,35,str_value,-3;-3,0,0,1
249,耐力+&,FF00b1ff,45,endu_value,-3;-3,0,0,1
250,敏捷+&,FF00b1ff,65,agi_value,-3;-3,0,0,1
251,体质+&,FF00b1ff,15,cons_value,-3;-4,0,0,1
252,智力+&,FF00b1ff,25,iq_value,-3;-4,0,0,1
253,力量+&,FF00b1ff,35,str_value,-3;-4,0,0,1
254,耐力+&,FF00b1ff,45,endu_value,-3;-4,0,0,1
255,敏捷+&,FF00b1ff,65,agi_value,-3;-4,0,0,1
256,体质+&,FF00b1ff,15,cons_value,-4;-4,0,0,1
257,智力+&,FF00b1ff,25,iq_value,-4;-4,0,0,1
258,力量+&,FF00b1ff,35,str_value,-4;-4,0,0,1
259,耐力+&,FF00b1ff,45,endu_value,-4;-4,0,0,1
260,敏捷+&,FF00b1ff,65,agi_value,-4;-4,0,0,1
261,体质+&,FF00b1ff,15,cons_value,-4;-5,0,0,1
262,智力+&,FF00b1ff,25,iq_value,-4;-5,0,0,1
263,力量+&,FF00b1ff,35,str_value,-4;-5,0,0,1
264,耐力+&,FF00b1ff,45,endu_value,-4;-5,0,0,1
265,敏捷+&,FF00b1ff,65,agi_value,-4;-5,0,0,1
266,体质+&,FF00b1ff,15,cons_value,-5;-6,0,0,1
267,智力+&,FF00b1ff,25,iq_value,-5;-6,0,0,1
268,力量+&,FF00b1ff,35,str_value,-5;-6,0,0,1
269,耐力+&,FF00b1ff,45,endu_value,-5;-6,0,0,1
270,敏捷+&,FF00b1ff,65,agi_value,-5;-6,0,0,1
271,体质+&,FF00b1ff,15,cons_value,-5;-6,0,0,1
272,智力+&,FF00b1ff,25,iq_value,-5;-6,0,0,1
273,力量+&,FF00b1ff,35,str_value,-5;-6,0,0,1
274,耐力+&,FF00b1ff,45,endu_value,-5;-6,0,0,1
275,敏捷+&,FF00b1ff,65,agi_value,-5;-6,0,0,1
276,体质+&,FF00b1ff,15,cons_value,-6;-7,0,0,1
277,智力+&,FF00b1ff,25,iq_value,-6;-7,0,0,1
278,力量+&,FF00b1ff,35,str_value,-6;-7,0,0,1
279,耐力+&,FF00b1ff,45,endu_value,-6;-7,0,0,1
280,敏捷+&,FF00b1ff,65,agi_value,-6;-7,0,0,1
281,体质+&,FF00b1ff,15,cons_value,-6;-8,0,0,1
282,智力+&,FF00b1ff,25,iq_value,-6;-8,0,0,1
283,力量+&,FF00b1ff,35,str_value,-6;-8,0,0,1
284,耐力+&,FF00b1ff,45,endu_value,-6;-8,0,0,1
285,敏捷+&,FF00b1ff,65,agi_value,-6;-8,0,0,1
286,体质+&,FF00b1ff,15,cons_value,-7;-8,0,0,1
287,智力+&,FF00b1ff,25,iq_value,-7;-8,0,0,1
288,力量+&,FF00b1ff,35,str_value,-7;-8,0,0,1
289,耐力+&,FF00b1ff,45,endu_value,-7;-8,0,0,1
290,敏捷+&,FF00b1ff,65,agi_value,-7;-8,0,0,1
291,体质+&,FF00b1ff,15,cons_value,-7;-9,0,0,1
292,智力+&,FF00b1ff,25,iq_value,-7;-9,0,0,1
293,力量+&,FF00b1ff,35,str_value,-7;-9,0,0,1
294,耐力+&,FF00b1ff,45,endu_value,-7;-9,0,0,1
295,敏捷+&,FF00b1ff,65,agi_value,-7;-9,0,0,1
296,体质+&,FF00b1ff,15,cons_value,-8;-9,0,0,1
297,智力+&,FF00b1ff,25,iq_value,-8;-10,0,0,1
298,力量+&,FF00b1ff,35,str_value,-8;-11,0,0,1
299,耐力+&,FF00b1ff,45,endu_value,-8;-12,0,0,1
300,敏捷+&,FF00b1ff,65,agi_value,-8;-13,0,0,1
301,体质+&,FF00b1ff,15,cons_value,1;2,0,0,1
302,智力+&,FF00b1ff,25,iq_value,1;3,0,0,1
303,力量+&,FF00b1ff,35,str_value,1;4,0,0,1
304,耐力+&,FF00b1ff,45,endu_value,1;5,0,0,1
305,敏捷+&,FF00b1ff,65,agi_value,1;6,0,0,1
306,体质+&,FF00b1ff,15,cons_value,3;4,0,0,1
307,智力+&,FF00b1ff,25,iq_value,3;5,0,0,1
308,力量+&,FF00b1ff,35,str_value,3;6,0,0,1
309,耐力+&,FF00b1ff,45,endu_value,3;7,0,0,1
310,敏捷+&,FF00b1ff,65,agi_value,3;8,0,0,1
311,体质+&,FF00b1ff,15,cons_value,4;7,0,0,1
312,智力+&,FF00b1ff,25,iq_value,4;8,0,0,1
313,力量+&,FF00b1ff,35,str_value,4;9,0,0,1
314,耐力+&,FF00b1ff,45,endu_value,4;10,0,0,1
315,敏捷+&,FF00b1ff,65,agi_value,4;11,0,0,1
316,体质+&,FF00b1ff,15,cons_value,5;9,0,0,1
317,智力+&,FF00b1ff,25,iq_value,5;10,0,0,1
318,力量+&,FF00b1ff,35,str_value,5;11,0,0,1
319,耐力+&,FF00b1ff,45,endu_value,5;12,0,0,1
320,敏捷+&,FF00b1ff,65,agi_value,5;13,0,0,1
321,体质+&,FF00b1ff,15,cons_value,6;11,0,0,1
322,智力+&,FF00b1ff,25,iq_value,6;12,0,0,1
323,力量+&,FF00b1ff,35,str_value,6;13,0,0,1
324,耐力+&,FF00b1ff,45,endu_value,6;14,0,0,1
325,敏捷+&,FF00b1ff,65,agi_value,6;15,0,0,1
326,体质+&,FF00b1ff,15,cons_value,8;13,0,0,1
327,智力+&,FF00b1ff,25,iq_value,8;14,0,0,1
328,力量+&,FF00b1ff,35,str_value,8;15,0,0,1
329,耐力+&,FF00b1ff,45,endu_value,8;16,0,0,1
330,敏捷+&,FF00b1ff,65,agi_value,8;17,0,0,1
331,体质+&,FF00b1ff,15,cons_value,9;15,0,0,1
332,智力+&,FF00b1ff,25,iq_value,9;16,0,0,1
333,力量+&,FF00b1ff,35,str_value,9;17,0,0,1
334,耐力+&,FF00b1ff,45,endu_value,9;18,0,0,1
335,敏捷+&,FF00b1ff,65,agi_value,9;19,0,0,1
336,体质+&,FF00b1ff,15,cons_value,10;18,0,0,1
337,智力+&,FF00b1ff,25,iq_value,10;19,0,0,1
338,力量+&,FF00b1ff,35,str_value,10;20,0,0,1
339,耐力+&,FF00b1ff,45,endu_value,10;21,0,0,1
340,敏捷+&,FF00b1ff,65,agi_value,10;22,0,0,1
341,体质+&,FF00b1ff,15,cons_value,11;20,0,0,1
342,智力+&,FF00b1ff,25,iq_value,11;21,0,0,1
343,力量+&,FF00b1ff,35,str_value,11;22,0,0,1
344,耐力+&,FF00b1ff,45,endu_value,11;23,0,0,1
345,敏捷+&,FF00b1ff,65,agi_value,11;24,0,0,1
346,体质+&,FF00b1ff,15,cons_value,13;22,0,0,1
347,智力+&,FF00b1ff,25,iq_value,13;23,0,0,1
348,力量+&,FF00b1ff,35,str_value,13;24,0,0,1
349,耐力+&,FF00b1ff,45,endu_value,13;25,0,0,1
350,敏捷+&,FF00b1ff,65,agi_value,13;26,0,0,1
351,体质+&,FF00b1ff,15,cons_value,14;24,0,0,1
352,智力+&,FF00b1ff,25,iq_value,14;25,0,0,1
353,力量+&,FF00b1ff,35,str_value,14;26,0,0,1
354,耐力+&,FF00b1ff,45,endu_value,14;27,0,0,1
355,敏捷+&,FF00b1ff,65,agi_value,14;28,0,0,1
356,体质+&,FF00b1ff,15,cons_value,15;26,0,0,1
357,智力+&,FF00b1ff,25,iq_value,15;27,0,0,1
358,力量+&,FF00b1ff,35,str_value,15;28,0,0,1
359,耐力+&,FF00b1ff,45,endu_value,15;29,0,0,1
360,敏捷+&,FF00b1ff,65,agi_value,15;30,0,0,1
361,体质+&,FF00b1ff,15,cons_value,16;28,0,0,1
362,智力+&,FF00b1ff,25,iq_value,16;29,0,0,1
363,力量+&,FF00b1ff,35,str_value,16;30,0,0,1
364,耐力+&,FF00b1ff,45,endu_value,16;31,0,0,1
365,敏捷+&,FF00b1ff,65,agi_value,16;32,0,0,1
366,体质+&,FF00b1ff,15,cons_value,18;31,0,0,1
367,智力+&,FF00b1ff,25,iq_value,18;32,0,0,1
368,力量+&,FF00b1ff,35,str_value,18;33,0,0,1
369,耐力+&,FF00b1ff,45,endu_value,18;34,0,0,1
370,敏捷+&,FF00b1ff,65,agi_value,18;35,0,0,1
371,体质+&,FF00b1ff,15,cons_value,19;33,0,0,1
372,智力+&,FF00b1ff,25,iq_value,19;34,0,0,1
373,力量+&,FF00b1ff,35,str_value,19;35,0,0,1
374,耐力+&,FF00b1ff,45,endu_value,19;36,0,0,1
375,敏捷+&,FF00b1ff,65,agi_value,19;37,0,0,1
376,体质+&,FF00b1ff,15,cons_value,2;3,0,0,1
377,智力+&,FF00b1ff,25,iq_value,2;4,0,0,1
378,力量+&,FF00b1ff,35,str_value,2;5,0,0,1
379,耐力+&,FF00b1ff,45,endu_value,2;6,0,0,1
380,敏捷+&,FF00b1ff,65,agi_value,2;7,0,0,1
381,体质+&,FF00b1ff,15,cons_value,4;7,0,0,1
382,智力+&,FF00b1ff,25,iq_value,4;8,0,0,1
383,力量+&,FF00b1ff,35,str_value,4;9,0,0,1
384,耐力+&,FF00b1ff,45,endu_value,4;10,0,0,1
385,敏捷+&,FF00b1ff,65,agi_value,4;11,0,0,1
386,体质+&,FF00b1ff,15,cons_value,6;10,0,0,1
387,智力+&,FF00b1ff,25,iq_value,6;11,0,0,1
388,力量+&,FF00b1ff,35,str_value,6;12,0,0,1
389,耐力+&,FF00b1ff,45,endu_value,6;13,0,0,1
390,敏捷+&,FF00b1ff,65,agi_value,6;14,0,0,1
391,体质+&,FF00b1ff,15,cons_value,8;13,0,0,1
392,智力+&,FF00b1ff,25,iq_value,8;14,0,0,1
393,力量+&,FF00b1ff,35,str_value,8;15,0,0,1
394,耐力+&,FF00b1ff,45,endu_value,8;16,0,0,1
395,敏捷+&,FF00b1ff,65,agi_value,8;17,0,0,1
396,体质+&,FF00b1ff,15,cons_value,9;16,0,0,1
397,智力+&,FF00b1ff,25,iq_value,9;17,0,0,1
398,力量+&,FF00b1ff,35,str_value,9;18,0,0,1
399,耐力+&,FF00b1ff,45,endu_value,9;19,0,0,1
400,敏捷+&,FF00b1ff,65,agi_value,9;20,0,0,1
401,体质+&,FF00b1ff,15,cons_value,11;20,0,0,1
402,智力+&,FF00b1ff,25,iq_value,11;21,0,0,1
403,力量+&,FF00b1ff,35,str_value,11;22,0,0,1
404,耐力+&,FF00b1ff,45,endu_value,11;23,0,0,1
405,敏捷+&,FF00b1ff,65,agi_value,11;24,0,0,1
406,体质+&,FF00b1ff,15,cons_value,13;23,0,0,1
407,智力+&,FF00b1ff,25,iq_value,13;24,0,0,1
408,力量+&,FF00b1ff,35,str_value,13;25,0,0,1
409,耐力+&,FF00b1ff,45,endu_value,13;26,0,0,1
410,敏捷+&,FF00b1ff,65,agi_value,13;27,0,0,1
411,体质+&,FF00b1ff,15,cons_value,15;26,0,0,1
412,智力+&,FF00b1ff,25,iq_value,15;27,0,0,1
413,力量+&,FF00b1ff,35,str_value,15;28,0,0,1
414,耐力+&,FF00b1ff,45,endu_value,15;29,0,0,1
415,敏捷+&,FF00b1ff,65,agi_value,15;30,0,0,1
416,体质+&,FF00b1ff,15,cons_value,17;30,0,0,1
417,智力+&,FF00b1ff,25,iq_value,17;31,0,0,1
418,力量+&,FF00b1ff,35,str_value,17;32,0,0,1
419,耐力+&,FF00b1ff,45,endu_value,17;33,0,0,1
420,敏捷+&,FF00b1ff,65,agi_value,17;34,0,0,1
421,体质+&,FF00b1ff,15,cons_value,19;33,0,0,1
422,智力+&,FF00b1ff,25,iq_value,19;34,0,0,1
423,力量+&,FF00b1ff,35,str_value,19;35,0,0,1
424,耐力+&,FF00b1ff,45,endu_value,19;36,0,0,1
