技能ID,技能名称,领悟需求道具,领悟需求道具数量,领悟需求银币,遗忘需求道具,遗忘需求道具数量,遗忘需求银币,描述,所需数量,遗弃数量
206033,永恒,240009,10,1,680700,30,1,"<T t=""受到的增益状态持续回合数加倍。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206034,精神集中,240009,10,1,680700,30,1,"<T t=""可以抵御控制类异常状态，但自己的物理伤害结果也会降低20%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206035,毒,240009,10,1,680700,30,1,"<T t=""普通物理攻击有12%概率使目标中毒，中毒状态下每回合损失5%气血和5%魔法（物理攻击中毒单位时有15%几率被感染）。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206038,高级必杀,240009,10,1,680700,30,1,"<T t=""物理攻击时暴击概率增加20%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206039,高级连击,240009,10,1,680700,30,1,"<T t=""普通物理攻击时，有55%概率追加一次攻击，拥有此技能物理伤害结果会降低20%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206040,高级强力,240009,10,1,680700,30,1,"<T t=""提升大量的物理攻击力，如果对方有防御或高级防御技能，物理伤害结果会减少20%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206041,高级突进,240009,10,1,680700,30,1,"<T t=""物理攻击时忽视对方大量的物理防御。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206042,高级偷袭,240009,10,1,680700,30,1,"<T t=""物理攻击不会受到反击和反震，并提高10%的物理伤害结果。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206043,高级法暴,240009,10,1,680700,30,1,"<T t=""法术攻击时暴击概率增加15%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206044,高级法连,240009,10,1,680700,30,1,"<T t=""法术攻击时，有30%概率追加一次攻击，伤害是第一次的50%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206045,高级法波,240009,10,1,680700,30,1,"<T t=""每次法术攻击伤害结果在50%至150%之间浮动。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206046,高级魔心,240009,10,1,680700,30,1,"<T t=""对敌人的法术伤害结果提高20%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206047,高级会心,240009,10,1,680700,30,1,"<T t=""法术攻击时忽视对方一定的法术防御。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206048,高级冥思,240009,10,1,680700,30,1,"<T t=""战斗中，每回合结束时回复等级*0.6的魔法。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206049,高级吸血,240009,10,1,680700,30,1,"<T t=""物理攻击时，吸收对方所掉气血的30%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206050,高级再生,240009,10,1,680700,30,1,"<T t=""战斗中，每回合自动回复等级*1.6的气血。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206051,高级神佑,240009,10,1,680700,30,1,"<T t=""当死亡时，有35%概率触发神佑效果，自动满血复活。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206052,高级招架,240009,10,1,680700,30,1,"<T t=""受到物理伤害时的格挡几率提高27%"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206053,高级反震,240009,10,1,680700,30,1,"<T t=""受到物理攻击时有33%概率进行反震，反震伤害结果等于自己受到伤害的50%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206054,高级神迹,240009,10,1,680700,30,1,"<T t=""不受所有负面状态影响，包括毒、控制等。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206055,高级反击,240009,10,1,680700,30,1,"<T t=""受到普通物理攻击时有20%概率自动反击，反击的伤害为正常伤害的100%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206056,高级敏捷,240009,10,1,680700,30,1,"<T t=""自身速度增加20%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206057,高级强壮,240009,10,1,680700,30,1,"<T t=""自身气血上限提升20%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206058,高级防御,240009,10,1,680700,30,1,"<T t=""提升等级*1.3的物理防御，但法术伤害结果会降低11%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206059,高级固法,240009,10,1,680700,30,1,"<T t=""提升等级*1.3的法术防御，但物理伤害结果会降低11%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206060,高级幸运,240009,10,1,680700,30,1,"<T t=""被物理攻击时，被暴击概率降低22%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206061,高级迟钝,240009,10,1,680700,30,1,"<T t=""减少自身速度的22%，并且有10%的几率减免50%的物理伤害。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206062,高级火属性吸收,240009,10,1,680700,30,1,"<T t=""有33%概率吸收火属性法术伤害，回复对应的气血。吸收失败也可减少火属性法术伤害的30%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206063,高级水属性吸收,240009,10,1,680700,30,1,"<T t=""有33%概率吸收水属性法术伤害，回复对应的气血。吸收失败也可减少水属性法术伤害的30%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206064,高级土属性吸收,240009,10,1,680700,30,1,"<T t=""有33%概率吸收土属性法术伤害，回复对应的气血。吸收失败也可减少土属性法术伤害的30%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206065,高级雷属性吸收,240009,10,1,680700,30,1,"<T t=""有33%概率吸收雷属性法术伤害，回复对应的气血。吸收失败也可减少雷属性法术伤害的30%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206066,高级鬼魂,240009,10,1,680700,30,1,"<T t=""死亡5回合后自动复活，不受异常状态影响。若有神佑技能不触发该效果。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206067,高级驱鬼,240009,10,1,680700,30,1,"<T t=""对敌方拥有不死亡魂术单位的物理、法术伤害效果增加100%，并能将其打飞出场外。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206068,高级隐身,240009,10,1,680700,30,1,"<T t=""自动附加隐身状态3至5回合，隐身状态下物理伤害结果会降低15%，使用技能取消隐身状态。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206069,高级感知,240009,10,1,680700,30,1,"<T t=""能探知并攻击敌方隐身状态的单位，受到物理伤害时的格挡几率提高7%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206070,高级永恒,240009,10,1,680700,30,1,"<T t=""受到的增益状态持续回合数增加为原来的4倍。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206071,高级精神,240009,10,1,680700,30,1,"<T t=""可以抵御控制类异常状态，受到物理伤害时的格挡几率提高7%，但自己的物理伤害结果也会降低18%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206072,高级毒,240009,10,1,680700,30,1,"<T t=""普通物理攻击有22%概率使目标中毒，中毒状态下每回合损失10%气血和5%魔法，拥有高级毒技能的宠物对毒免疫（物理攻击中毒单位有15%几率被感染）"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
207001,烈火,240009,10,1,680700,30,1,"<T t=""火属性单体法术，同时有10%概率降低对方5%的物理和法术防御力，持续3回合。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：40"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207002,水攻,240009,10,1,680700,30,1,"<T t=""水属性单体法术，同时有10%概率降低对方5%的物理和法术攻击力，持续3回合。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：40"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207003,落岩,240009,10,1,680700,30,1,"<T t=""土属性单体法术，同时有10%概率降低对方5%的速度，持续3回合。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：40"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207004,雷击,240009,10,1,680700,30,1,"<T t=""雷属性单体法术，同时有10%概率驱除对方的所有增益状态。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：40"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207005,地狱烈火,240009,10,1,680700,30,1,"<T t=""火属性多体法术，初始攻击两个目标，宠物60级可攻击三个目标，同时有5%概率降低对方5%的物理和法术防御力，持续3回合。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207006,水漫金山,240009,10,1,680700,30,1,"<T t=""水属性多体法术，初始攻击两个目标，宠物60级可攻击三个目标，同时有5%概率降低对方5%的物理和法术攻击力，持续3回合。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207007,泰山压顶,240009,10,1,680700,30,1,"<T t=""土属性多体法术，初始攻击两个目标，宠物60级可攻击三个目标，同时有5%概率降低对方5%的速度，持续3回合。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207008,奔雷咒,240009,10,1,680700,30,1,"<T t=""雷属性多体法术，初始攻击两个目标，宠物60级可攻击三个目标，同时有5%概率驱除对方的一项增益状态。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207009,壁垒击破,240009,10,1,680700,30,1,"<T t=""附加等级*3的物理伤害结果，不可被防御和保护。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207010,剑荡四方,240009,10,1,680700,30,1,"<T t=""对敌方三个目标进行物理攻击。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207011,惊心一剑,240009,10,1,680700,30,1,"<T t=""发动时，可以在造成物理伤害同时消耗对方少量的魔法值。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207012,力劈华山,240009,10,1,680700,30,1,"<T t=""发动时，对方的物理伤害力越低，受到的伤害越高。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207013,死亡召唤,240009,10,1,680700,30,1,"<T t=""攻击时有25%概率使敌人附加死亡禁锢效果，效果持续4回合。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207014,善恶有报,240009,10,1,680700,30,1,"<T t=""攻击时有一定概率给予对手造成双倍的伤害或恢复一定气血。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207015,上古灵符,240009,10,1,680700,30,1,"<T t=""上古时代的神秘单体法术，触发法术连击时不会降低伤害。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207016,法术防御,240009,10,1,680700,30,1,"<T t=""极强的法术防御技能。可以防御魔法攻击，减少魔法伤害结果50%，持续回合数为4，只允许对自身使用。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207019,惩戒,240009,10,1,680700,30,1,"<T t=""物理攻击时额外附加一定伤害结果。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
207200,三羊开泰,240009,10,1,680700,30,1,"<T t=""源于上古的秘法，施展群体法术攻击，同时消耗目标的魔法值，在非玩家对战中还可以将对方损失的魔法值汲取给主人使用。初始攻击两个目标，宠物60级可攻击三个目标。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207201,洞察,240009,10,1,680700,30,1,"<T t=""使用物理攻击临时提升“目标物理防御-目标物理攻击”的物理攻击，最少附加10点（PVE对怪物最少附加自身等级*2点），最多附加自身等级*4点。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
207202,鹿影生花,240009,10,1,680700,30,1,"<T t=""源于神秘敦煌的群体法术，可攻击三个目标。30%触发三段式攻击，伤害分别是30%，50%，80%(此技能无法触发法术连击)"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207203,破竹,240009,10,1,680700,30,1,"<T t=""对敌方进行物理攻击，概率触发连续破竹攻击(伤害逐步降低)"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""无消耗"" c=""FFFFF2df"" f=""simhei-11""></T><T t="""" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207204,风舞,240009,10,1,680700,30,1,"<T t=""对敌方进行物理攻击，概率对敌方气血最低的两个目标进行攻击"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""无消耗"" c=""FFFFF2df"" f=""simhei-11""></T><T t="""" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207205,捞月,240009,10,1,680700,30,1,"<T t=""对敌方进行两次物理攻击，第二次伤害为70%"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""无消耗"" c=""FFFFF2df"" f=""simhei-11""></T><T t="""" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207206,八凶法阵,240009,10,1,680700,30,1,"<T t=""远古时代的神秘群体法术，初始可同时攻击两个目标，达到60级后可同时攻击三个目标，有一定概率引燃敌方单位，处于引燃状态的目标降低10%法术防御并且每回合结束时扣除一定气血值。"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207207,龙威九霄,240009,10,1,680700,30,1,"<T t=""龙威九霄，龙族的神秘法术，初始攻击两个目标，60级攻击三个目标。发动时有30%触发法术暴击，并吸取首个目标所掉气血的20%"" c=""FFF4D8B9"" f=""simhei-10""></T><B></B><B></B><T t=""  "" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""消耗魔法：60"" c=""FFFFF2DF"" f=""simhei-11""></T>",10,30
207208,焚焰,240009,10,1,680700,30,1,"<T t=""焚焰"" c=""FFFFFF00"" f=""simhei-11""></T><B></B><T t="" "" c=""FFFFFF00"" f=""simhei-10""></T><B></B><T t=""如同燃烧的火焰一波接一波，法术攻击时，大幅度提升15%法术连击率，第二次原法连伤害提升30%，与冰火无常有冲突"" c=""FFF4D8B9"" f=""simhei-10""></T><T t=""7%"" c=""FF33FF00"" f=""simhei-10""></T>",10,30
207209,聚电,240009,10,1,680700,30,1,"<T t=""聚电"" c=""FFFFFF00"" f=""simhei-11""></T><B></B><T t="" "" c=""FFFFFF00"" f=""simhei-10""></T><B></B><T t=""集聚雷电一身，普通物理攻击时，有45%概率追加1-2次攻击，拥有此技能物理伤害结果会降低17%。"" c=""FFF4D8B9"" f=""simhei-10""></T><T t=""7%"" c=""FF33FF00"" f=""simhei-10""></T>",10,30
207210,筑浪,240009,10,1,680700,30,1,"<T t=""筑浪"" c=""FFFFFF00"" f=""simhei-11""></T><B></B><T t="" "" c=""FFFFFF00"" f=""simhei-10""></T><B></B><T t=""一浪筑一浪，每次法术攻击伤害结果提升10%之间浮动。"" c=""FFF4D8B9"" f=""simhei-10""></T><T t=""7%"" c=""FF33FF00"" f=""simhei-10""></T>",10,30
207211,垒岩,240009,10,1,680700,30,1,"<T t=""垒岩"" c=""FFFFFF00"" f=""simhei-11""></T><B></B><T t="" "" c=""FFFFFF00"" f=""simhei-10""></T><B></B><T t=""来自大地的暴击，物理攻击时原暴击概率增加15%。"" c=""FFF4D8B9"" f=""simhei-10""></T><T t=""7%"" c=""FF33FF00"" f=""simhei-10""></T>",10,30
207212,嘲讽,240009,10,1,680700,30,1,"<T t=""嘲讽"" c=""FFFFFF00"" f=""simhei-11""></T><B></B><T t="" "" c=""FFFFFF00"" f=""simhei-10""></T><B></B><T t=""发动攻击时有15%的几率嘲讽目标，使其所有技能变为普通攻击，并降低其物理伤害。"" c=""FFF4D8B9"" f=""simhei-10""></T><T t=""7%"" c=""FF33FF00"" f=""simhei-10""></T>",10,30
212000,天璇神剑,240009,1,1,680700,30,1,"<T t=""唤来天璇神剑，对3个目标造成大量伤害！若目标带有亡魂效果，则天璇神剑自带驱鬼效果，对亡灵生物造成百分之50伤害！。"" c=""fffff2df""/>",10,30
212001,流沙轻音,240009,1,1,680700,30,1,"<T t=""冰元素多体法术，召唤寒冰对五个敌人进行爆裂输出，一定几率冰冻目标！。"" c=""fffff2df""/>",10,30
212002,五彩神风,240009,1,1,680700,30,1,"<T t=""上古青鸾，遗留之秘术！召唤五彩神风对三个目标造成法术伤害！并且有概率降低敌方百分之5的速度！。"" c=""fffff2df""/>",10,30
212003,五方劫雷,240009,3,1,680700,30,1,"<T t=""对单个敌人进行百分之百法术连击！击杀敌人后可获得提升自身法术暴击率的持续状态！。"" c=""fffff2df""/>",10,30
212004,星芒剑阵,240009,1,1,680700,30,1,"<T t=""召唤星芒剑阵，对多个敌人进行致命打击！同时有5%概率降低对方5%的物理和法术防御力，持续3回合。。"" c=""fffff2df""/>",10,30
212005,神雷·惊天暴,240009,5,1,680700,30,1,"<T t=""召唤天雷对目标进行致命打击！若击杀目标！可追击下一个目标，直至目标存活！至多追击五次！。"" c=""fffff2df""/>",10,30
212006,星陨天河,240009,5,1,680700,30,1,"<T t=""可以对目标进行最高六次毁灭打击！前三次固定目标打击，后三次按照自身法连概率高低进行法术连击。伤害值提升累加"" c=""fffff2df""/>",10,30
212007,九阴真经,240009,10,1,680700,30,1,"<T t=""独有的音波伤害敌人对敌人全体造成大量伤害并伴随沉默敌人。。"" c=""fffff2df""/>",10,30
212008,扶摇万里,240009,6,1,680700,30,1,"<T t=""对敌方6个单位造成水系伤害。"" c=""fffff2df""/>",10,30
212009,恶魔旋风,240009,10,1,680700,30,1,"<T t=""造成敌方全体法术伤害。并减少魔法。"" c=""fffff2df""/>",10,30
212010,天劫,240009,6,1,680700,30,1,"<T t=""天劫降世 , 幻影成空。"" c=""fffff2df""/><T t=""对单个敌人造成四次高额物理伤害，并且伤害跟随攻击次数提升，当自身等级达到100时，可激活第五次伤害，第五次伤害无视敌方百分之50防御进行打击，并且力量大于800点，则有百分之5几率直接秒杀敌人。若敌人有神佑效果使其无效化"" c=""ffff46f0""/><T t="""" c=""ffff0033""/>",10,30
212011,天劫（法）,240009,6,1,680700,30,1,"<T t=""天劫降世 , 幻影成空。"" c=""fffff2df""/><T t=""对单个敌人造成四次高额法术伤害，并且伤害跟随攻击次数提升，当自身等级达到100时，可激活第五次伤害，第五次伤害无视敌方百分之50防御进行打击，并且智力大于800点，则有百分之5几率直接秒杀敌人。若敌人有神佑效果使其无效化"" c=""ffff46f0""/><T t=""<<>>"" c=""ffff0033""/>",10,30
212012,四象归一,240009,4,1,680700,30,1,"<T t=""天界至高神诀，为针对蚩尤所创，有概率进行连击，最高5次，第五次为多人伤害，降低同伤害的蓝"" c=""fffff2df""/>",10,30
212013,爱谁谁,240009,20,1,680700,30,1,"<T t=""法术秒10，有几率封印对手，激活高级魔之心并且气血增加%20"" c=""fffff2df""/>",10,30
212014,毁灭之光,240009,13,1,680700,30,1,"<T t=""攻击9个目标，并且增加%20的法术攻击（几率附加眩晕状态，持续2回合）秒怪数量随等级增加。"" c=""fffff2df""/>",10,30
212015,魔神降临,240009,15,1,680700,30,1,"<T t=""来自魔域的一种法术技能，效果强大，秒怪数量随等级增加。"" c=""fffff2df""/>",10,30
214000,护佑苍生,240009,8,1,680700,30,1,"<T t=""可对友方所有单位提升百分之15的最大生命值！"" c=""fffff2df""/>",10,30
213000,烛龙裂,240009,9,1,680700,30,1,"<T t=""物理攻击4个目标，概率对目标附加随机状态"" c=""fffff3df""/>",10,30
213001,万剑诀,240009,3,1,680700,30,1,"<T t=""万剑齐出，对三个目标造成百分之110的物理伤害！。"" c=""fffff2df""/>",10,30
213002,晨曦剑露,240009,3,1,680700,30,1,"<T t=""晨出之光，犹如剑露，对敌方三个目标造成大量伤害，一定几率使目标流血，每回合造成百分之10的流血伤害！。"" c=""fffff2df""/>",10,30
