2025-09-02 16:11:52 出售人id: 155649 出售人userid: 40 出售人名字: 刘光济  购买人id: 106497  购买人userid: 28  购买人名字: 林宏硕  物品名称: 碧水青龙  物品数量: 1  交易价格: 1
2025-09-03 10:43:47 出售人id: 610305 出售人userid: 151 出售人名字: 邵文华  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 九州履  物品数量: 1  交易价格: 90000
2025-09-03 10:47:24 出售人id: 610305 出售人userid: 151 出售人名字: 邵文华  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 兽王腰带  物品数量: 1  交易价格: 90000
2025-09-03 11:13:44 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 兽王腰带  物品数量: 1  交易价格: 90000
2025-09-03 11:20:55 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 乾坤帽  物品数量: 1  交易价格: 90000
2025-09-03 11:30:29 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 乾坤帽  物品数量: 1  交易价格: 900000
2025-09-03 11:44:45 出售人id: 61441 出售人userid: 17 出售人名字: 孤单寞冷  购买人id: 598017  购买人userid: 148  购买人名字: 爆米花  物品名称: 变异大力金刚  物品数量: 1  交易价格: 4500000
2025-09-03 11:52:37 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 附灵玉•精华  物品数量: 169  交易价格: 8999
2025-09-03 11:52:42 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 无量经•精华  物品数量: 174  交易价格: 8999
2025-09-03 11:52:47 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 金甲仙衣•精华  物品数量: 172  交易价格: 89
2025-09-03 11:52:52 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 降魔斗篷•精华  物品数量: 202  交易价格: 89
2025-09-03 11:52:57 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 风袋•精华  物品数量: 192  交易价格: 89
2025-09-03 12:16:08 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 附灵玉•精魄  物品数量: 798  交易价格: 89
2025-09-03 12:16:14 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 附灵玉•精魄  物品数量: 999  交易价格: 89
2025-09-03 12:16:22 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 金甲仙衣•精魄  物品数量: 840  交易价格: 89
2025-09-03 12:16:26 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 金甲仙衣•精魄  物品数量: 999  交易价格: 89
2025-09-03 12:16:32 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 无量经•精魄  物品数量: 748  交易价格: 79
2025-09-03 12:16:36 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 无量经•精魄  物品数量: 999  交易价格: 89
2025-09-03 12:17:53 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 降魔斗篷•精魄  物品数量: 999  交易价格: 89
2025-09-03 12:17:56 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 降魔斗篷•精魄  物品数量: 753  交易价格: 79
2025-09-03 12:18:01 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 风袋•精魄  物品数量: 999  交易价格: 79
2025-09-03 12:18:08 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 风袋•精魄  物品数量: 776  交易价格: 89
2025-09-03 12:19:53 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 附灵玉•精华  物品数量: 161  交易价格: 89
2025-09-03 12:19:57 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 无量经•精华  物品数量: 185  交易价格: 89
2025-09-03 12:20:02 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 金甲仙衣•精华  物品数量: 185  交易价格: 89
2025-09-03 12:20:07 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 降魔斗篷•精华  物品数量: 176  交易价格: 89
2025-09-03 12:20:14 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 294913  购买人userid: 74  购买人名字: 淡淡  物品名称: 风袋•精华  物品数量: 200  交易价格: 89
2025-09-03 12:20:51 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 飞剑•精魄  物品数量: 1  交易价格: 90
2025-09-03 12:21:00 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 飞剑•精魄  物品数量: 1  交易价格: 80
2025-09-03 12:21:10 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 无尘雪•精魄  物品数量: 1  交易价格: 90
2025-09-03 12:21:15 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 无尘雪•精魄  物品数量: 1  交易价格: 90
2025-09-03 12:21:48 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 无尘雪•精魄  物品数量: 998  交易价格: 89
2025-09-03 12:21:53 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 无尘雪•精魄  物品数量: 789  交易价格: 89
2025-09-03 12:22:01 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 飞剑•精魄  物品数量: 726  交易价格: 79
2025-09-03 12:22:04 出售人id: 626689 出售人userid: 155 出售人名字: 公西然  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 飞剑•精魄  物品数量: 998  交易价格: 89
2025-09-03 12:24:14 出售人id: 663553 出售人userid: 164 出售人名字: 专属头盔  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 乾坤帽  物品数量: 1  交易价格: 900
2025-09-03 12:27:40 出售人id: 651265 出售人userid: 161 出售人名字: 杨良俊  购买人id: 532481  购买人userid: 132  购买人名字: 龙太子头领  物品名称: 北斗七星剑  物品数量: 1  交易价格: 1
2025-09-03 12:27:47 出售人id: 651265 出售人userid: 161 出售人名字: 杨良俊  购买人id: 532481  购买人userid: 132  购买人名字: 龙太子头领  物品名称: 龙骨甲  物品数量: 1  交易价格: 1
2025-09-03 12:27:53 出售人id: 651265 出售人userid: 161 出售人名字: 杨良俊  购买人id: 532481  购买人userid: 132  购买人名字: 龙太子头领  物品名称: 乾坤帽  物品数量: 1  交易价格: 1
2025-09-03 12:27:58 出售人id: 651265 出售人userid: 161 出售人名字: 杨良俊  购买人id: 532481  购买人userid: 132  购买人名字: 龙太子头领  物品名称: 碧水青龙  物品数量: 1  交易价格: 1
2025-09-03 12:30:13 出售人id: 622593 出售人userid: 154 出售人名字: 皮Q呀  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 赤炎枪  物品数量: 1  交易价格: 90
2025-09-03 12:30:15 出售人id: 622593 出售人userid: 154 出售人名字: 皮Q呀  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 赤炎枪  物品数量: 1  交易价格: 90
2025-09-03 12:30:18 出售人id: 622593 出售人userid: 154 出售人名字: 皮Q呀  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 赤炎枪  物品数量: 1  交易价格: 90
2025-09-03 12:30:19 出售人id: 622593 出售人userid: 154 出售人名字: 皮Q呀  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 赤炎枪  物品数量: 1  交易价格: 90
2025-09-03 12:30:21 出售人id: 622593 出售人userid: 154 出售人名字: 皮Q呀  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 赤炎枪  物品数量: 1  交易价格: 90
2025-09-03 12:30:22 出售人id: 622593 出售人userid: 154 出售人名字: 皮Q呀  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 赤炎枪  物品数量: 1  交易价格: 90
2025-09-03 12:30:24 出售人id: 622593 出售人userid: 154 出售人名字: 皮Q呀  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 赤炎枪  物品数量: 1  交易价格: 90
2025-09-03 12:30:35 出售人id: 663553 出售人userid: 164 出售人名字: 专属头盔  购买人id: 286721  购买人userid: 73  购买人名字: 依然霸道  物品名称: 乾坤帽  物品数量: 1  交易价格: 900
2025-09-03 12:34:04 出售人id: 524289 出售人userid: 130 出售人名字: 万俟睿范  购买人id: 532481  购买人userid: 132  购买人名字: 龙太子头领  物品名称: 九州履  物品数量: 1  交易价格: 1
2025-09-03 12:34:08 出售人id: 524289 出售人userid: 130 出售人名字: 万俟睿范  购买人id: 532481  购买人userid: 132  购买人名字: 龙太子头领  物品名称: 兽王腰带  物品数量: 1  交易价格: 1
2025-09-03 12:38:33 出售人id: 643073 出售人userid: 159 出售人名字: 醉射美人吟丶  购买人id: 327681  购买人userid: 82  购买人名字: 赫本  物品名称: 吉里吉里  物品数量: 1  交易价格: 100
2025-09-03 13:25:25 出售人id: 684033 出售人userid: 169 出售人名字: iuiu  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 乾坤帽  物品数量: 1  交易价格: 90
2025-09-03 13:25:27 出售人id: 684033 出售人userid: 169 出售人名字: iuiu  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 碧水青龙  物品数量: 1  交易价格: 9
2025-09-03 13:25:27 出售人id: 684033 出售人userid: 169 出售人名字: iuiu  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 乾坤帽  物品数量: 1  交易价格: 90
2025-09-03 13:25:31 出售人id: 684033 出售人userid: 169 出售人名字: iuiu  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 碧水青龙  物品数量: 1  交易价格: 90
2025-09-03 13:25:33 出售人id: 684033 出售人userid: 169 出售人名字: iuiu  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 九州履  物品数量: 1  交易价格: 9
2025-09-03 13:25:35 出售人id: 684033 出售人userid: 169 出售人名字: iuiu  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 九州履  物品数量: 1  交易价格: 90
2025-09-03 13:25:37 出售人id: 684033 出售人userid: 169 出售人名字: iuiu  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 九州履  物品数量: 1  交易价格: 9
2025-09-03 13:25:45 出售人id: 684033 出售人userid: 169 出售人名字: iuiu  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 碧水青龙  物品数量: 1  交易价格: 90
2025-09-03 13:59:59 出售人id: 716801 出售人userid: 177 出售人名字: jiui  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 龙骨甲  物品数量: 1  交易价格: 90
2025-09-03 14:00:01 出售人id: 716801 出售人userid: 177 出售人名字: jiui  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 龙骨甲  物品数量: 1  交易价格: 90
2025-09-03 14:00:03 出售人id: 716801 出售人userid: 177 出售人名字: jiui  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 龙骨甲  物品数量: 1  交易价格: 90
2025-09-03 14:06:07 出售人id: 716801 出售人userid: 177 出售人名字: jiui  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 兽王腰带  物品数量: 1  交易价格: 90
2025-09-03 14:06:09 出售人id: 716801 出售人userid: 177 出售人名字: jiui  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 兽王腰带  物品数量: 1  交易价格: 90
2025-09-03 14:06:16 出售人id: 630785 出售人userid: 156 出售人名字: 小皮Q  购买人id: 716801  购买人userid: 177  购买人名字: jiui  物品名称: 龙骨甲  物品数量: 1  交易价格: 268200000
2025-09-03 14:11:37 出售人id: 630785 出售人userid: 156 出售人名字: 小皮Q  购买人id: 745473  购买人userid: 184  购买人名字: jiuk  物品名称: 兽王腰带  物品数量: 1  交易价格: 270000000
2025-09-03 14:18:26 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 北斗七星剑  物品数量: 1  交易价格: 900
2025-09-03 14:29:50 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 北斗七星剑  物品数量: 1  交易价格: 90
2025-09-03 14:41:44 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 北斗七星剑  物品数量: 1  交易价格: 90
2025-09-03 14:44:01 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 灵髓玉  物品数量: 1  交易价格: 1
2025-09-03 14:44:06 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 灵髓玉  物品数量: 1  交易价格: 1
2025-09-03 14:44:09 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 灵髓玉  物品数量: 1  交易价格: 5
2025-09-03 14:44:14 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 灵髓玉  物品数量: 1  交易价格: 8
2025-09-03 14:44:29 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 灵髓玉  物品数量: 1  交易价格: 1
2025-09-03 14:45:28 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 灵髓玉  物品数量: 233  交易价格: 0
2025-09-03 14:45:32 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 灵髓玉  物品数量: 997  交易价格: 0
2025-09-03 14:45:36 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 灵髓玉  物品数量: 998  交易价格: 4
2025-09-03 14:45:39 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 灵髓玉  物品数量: 998  交易价格: 7
2025-09-03 14:45:45 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 金芒石  物品数量: 999  交易价格: 0
2025-09-03 14:45:48 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 金芒石  物品数量: 999  交易价格: 0
2025-09-03 14:45:53 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 金芒石  物品数量: 585  交易价格: 0
2025-09-03 14:45:57 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 金芒石  物品数量: 999  交易价格: 6
2025-09-03 14:53:43 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 飞剑•精华  物品数量: 583  交易价格: 1
2025-09-03 14:53:48 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 附灵玉•精华  物品数量: 594  交易价格: 0
2025-09-03 14:53:54 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 无量经•精华  物品数量: 575  交易价格: 0
2025-09-03 14:54:00 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 金甲仙衣•精华  物品数量: 579  交易价格: 7
2025-09-03 14:54:05 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 降魔斗篷•精华  物品数量: 602  交易价格: 0
2025-09-03 14:54:10 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 风袋•精华  物品数量: 643  交易价格: 1
2025-09-03 14:54:18 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 无尘雪•精华  物品数量: 615  交易价格: 0
2025-09-03 14:54:31 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 烈焰杖•精华  物品数量: 578  交易价格: 0
2025-09-03 14:56:55 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 凝海珠•精华  物品数量: 558  交易价格: 0
2025-09-03 14:57:05 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 飞剑•精魄  物品数量: 619  交易价格: 0
2025-09-03 14:57:10 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 附灵玉•精魄  物品数量: 649  交易价格: 0
2025-09-03 14:57:15 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 无量经•精魄  物品数量: 627  交易价格: 0
2025-09-03 14:57:21 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 金甲仙衣•精魄  物品数量: 647  交易价格: 0
2025-09-03 14:57:27 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 降魔斗篷•精魄  物品数量: 641  交易价格: 0
2025-09-03 14:57:32 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 风袋•精魄  物品数量: 659  交易价格: 0
2025-09-03 14:57:49 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 烈焰杖•精魄  物品数量: 657  交易价格: 0
2025-09-03 15:00:28 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 鸣鸿刀•精华  物品数量: 602  交易价格: 0
2025-09-03 15:00:38 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 万兽圣令•精华  物品数量: 614  交易价格: 0
2025-09-03 15:00:52 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 鸣鸿刀•精魄  物品数量: 610  交易价格: 0
2025-09-03 15:01:03 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 无尘雪•精魄  物品数量: 613  交易价格: 6
2025-09-03 15:01:08 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 凝海珠•精魄  物品数量: 679  交易价格: 0
2025-09-03 15:01:15 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 万兽圣令•精魄  物品数量: 673  交易价格: 0
2025-09-03 15:01:25 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 灵髓玉  物品数量: 999  交易价格: 0
2025-09-03 15:01:28 出售人id: 745473 出售人userid: 184 出售人名字: jiuk  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 灵髓玉  物品数量: 999  交易价格: 0
2025-09-03 15:06:38 出售人id: 327681 出售人userid: 82 出售人名字: 赫本  购买人id: 782337  购买人userid: 193  购买人名字: 千城  物品名称: 九州履  物品数量: 1  交易价格: 4500000
2025-09-03 15:14:52 出售人id: 630785 出售人userid: 156 出售人名字: 小皮Q  购买人id: 802817  购买人userid: 198  购买人名字: hjiu  物品名称: 环蛇•印诀书  物品数量: 1  交易价格: 243000000
2025-09-03 15:18:32 出售人id: 802817 出售人userid: 198 出售人名字: hjiu  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 超级淬灵露  物品数量: 999  交易价格: 0
2025-09-03 15:18:36 出售人id: 802817 出售人userid: 198 出售人名字: hjiu  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 超级淬灵露  物品数量: 585  交易价格: 0
2025-09-03 15:18:40 出售人id: 802817 出售人userid: 198 出售人名字: hjiu  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 淬灵露  物品数量: 999  交易价格: 0
2025-09-03 15:18:45 出售人id: 802817 出售人userid: 198 出售人名字: hjiu  购买人id: 630785  购买人userid: 156  购买人名字: 小皮Q  物品名称: 淬灵露  物品数量: 999  交易价格: 0
2025-09-03 16:42:12 出售人id: 393217 出售人userid: 98 出售人名字: 踏梦而来  购买人id: 819201  购买人userid: 202  购买人名字: 踏梦而来丶  物品名称: 乾坤帽  物品数量: 1  交易价格: 9000000
2025-09-03 16:42:16 出售人id: 393217 出售人userid: 98 出售人名字: 踏梦而来  购买人id: 819201  购买人userid: 202  购买人名字: 踏梦而来丶  物品名称: 乾坤帽  物品数量: 1  交易价格: 9000000
