"技能编号","是否需要熟练度","技能名称","排序编号","图标编号","技能类型","附魔产出道具","是否需要公会","技能最高上限","学习需求等级规则","学习消耗规则","活力消耗规则","关联被动技能","提升属性说明1","提升属性系数1","提升属性说明2","提升属性系数2","提升属性说明3","提升属性系数3","提升属性说明4","提升属性系数4","公会内技能能达到上限","是否在技能学习人处显示","生产引导提示","描述","公会界面描述","技能简介","下一级效果","当前级别效果","是否需要熟练度2","参数个数","参数1对应列","参数2对应列","参数3对应列","专精当前效果1","专精当前效果2","专精当前效果3","专精当前效果4","属性id1","属性id2","属性id3","属性id4"
"300408","false","封印命中","8","247","1","331208","1","129","","0","4","","","","","","","","","","1","0","","控制附魔","月宫临时符，给衣服提升控制命中","提升法术防御","强化装备","强化装备。","0","0","-1","-1","-1","","","","","","","",""
"300409","false","速度","8","18","1","331209","1","129","","0","4","","","","","","","","","","1","0","","速度附魔","魔王临时符，给鞋子提升速度","提升怒气","提升宝石等级","提升宝石等级。","0","0","-1","-1","-1","","","","","","","",""
"300410","false","封印命中","8","103","1","331210","1","129","","0","4","","","","","","","","","","1","0","","封印附魔","女儿村临时符，给武器提升封印命中","提升封印命中","强化装备","强化装备。","0","0","-1","-1","-1","","","","","","","",""
"300411","false","体质","8","95","1","331211","1","129","","0","4","","","","","","","","","","1","0","","体质附魔","小雷音临时符，给项链提升体质属性","提升体质属性","强化装备","强化装备。","0","0","-1","-1","-1","","","","","","","",""
"300412","false","力量","8","2395","1","331212","1","129","","0","4","","","","","","","","","","1","0","","力量附魔","花果山临时符，给头盔提升力量属性","提升力量属性","强化装备","强化装备。","0","0","-1","-1","-1","","","","","","","",""
"300413","false","魔力","8","157","1","331213","1","129","","0","4","","","","","","","","","","1","0","","魔力附魔","须弥海临时符，给腰带提升魔力属性","提升魔力属性","强化装备","强化装备。","0","0","-1","-1","-1","","","","","","","",""
"310101","false","中医药理","4","4","2","","1","160","1","2","2","","","","","","","","","","120","1","<T t=""能炼制出神秘的药品，可以在帮派中学习，也可以在"" c=""ffffffff""></T><G t=""尹克西"" npcid=""10193""></G><T t=""处学习一些基本的炼药之术。"" c=""ffffffff""></T>","炼金技能等级越高，制作的药水品质也越高。多余的炼金物品还可以摆摊出售给其他玩家换取金币。","消耗活力，你可以随机烹饪出下列食物中的一种。","消耗活力，你可以将2至4个药材炼成下面某种高级药品","提升等级能提升炼制3级药的成功率，以及生成的3级药的品质","提升等级能提升炼制3级药的成功率，以及生成的3级药的品质。","0","0","-1","-1","-1","","","","","","","",""
"310201","false","烹饪技巧","3","3","2","","1","160","1","2","2","","","","","","","","","","120","1","<T t=""能制作出美味的食品，可以在帮派中学习，也可以在"" c=""ffffffff""></T><G t=""尹克西"" npcid=""10193""></G><T t=""处学习一些基本的厨艺。"" c=""ffffffff""></T>","烹饪技能等级越高，制作的烹饪种类越多，品质也越高。多余的烹饪物品还可以摆摊出售给其他玩家换取金币。","消耗活力，你可以随机烹饪出下列食物中的一种。","消耗活力，你可以随机烹饪出下列食物中的一种","提升等级能制作更高等级的烹饪","提升等级能制作更高等级的烹饪。","0","0","-1","-1","-1","","","","","","","",""
"320103","false","强身术","1","1","2","","1","160","1","1","","100100","提升生命上限:","10","","","","","","","120","1","","强身健体，每学习一级可以提高一定的生命上限。","生命上限提升：技能等级*10","生命上限提升：技能等级*10","提升至下一级：总计提升人物体力上限值$parameter1$点","提升人物体力上限值$parameter1$点。","0","1","4","-1","-1","","","","","","","",""
"320104","false","冥想","2","2","2","","1","160","1","1","","100101","提升魔法上限:","10","","","","","","","120","1","","提高智商，每学习一级可以提高一定的魔法上限。","魔法上限提升：技能等级*10","魔法上限提升：技能等级*10","提升至下一级：总计提升人物活力上限值$parameter1$点","提升人物活力上限值$parameter1$点。","0","1","5","-1","-1","","","","","","","",""
"320105","false","变身之术","3","2","2","","1","90","0","1","","","提升变化等级:","1","","","","","","","90","1","","学习变身技能，可使用各类变身卡变化外形。技能等级越高，可使用的变身卡种类越多。","变身之术","变身之术","变身之术","变身之术","0","0","0","-1","-1","","","","","","","",""
"340001","false","打工赚钱","0","1132","4","","0","1","0","0","3","","","","","","","","","","120","1","","打工赚钱","打工赚钱","打工赚钱","提升至下一级：总计增加自身逃跑几率$parameter1$%","增加自身逃跑几率$parameter1$%。","0","1","8","-1","-1","","","","","","","",""
"340101","false","制作金龙","0","1003","5","","0","1","0","0","3","","","","","","","","","","120","1","","制作金龙","制作金龙","制作金龙","提升至下一级：总计增加自身逃跑几率$parameter1$%","增加自身逃跑几率$parameter1$%。","0","1","8","-1","-1","","","","","","","",""
"360011","false","功法修炼","1","8","3","","1","25","","","","900001","提升造成的物理伤害","2","提升造成的法术伤害","2","提升控制命中率","2","提升治疗和状态的效果等级","1","","","","影响角色和伙伴","","","","","1","","","","","增加物理穿透: ","增加法术穿透: ","增加封印加成: ","增加治疗加深: ","951","971","2131","991"
"360012","false","物防修炼","2","9","3","","1","25","","","","900002","降低受到的物理伤害","2","","","","","","","","","","影响角色和伙伴","","","","","1","","","","","增加物理抵抗: ","","","","961","","",""
"360013","false","法防修炼","3","10","3","","1","25","","","","900003","降低受到的法术伤害","2","","","","","","","","","","影响角色和伙伴","","","","","1","","","","","增加法术抵抗: ","","","","981","","",""
"360014","false","抗封修炼","4","11","3","","1","25","","","","900004","降低被控制几率","2","增加被治疗量","1","","","","","","","","影响角色和伙伴","","","","","1","","","","","增加封印免疫: ","增加回复强度: ","","","2141","1001","",""
"360020","false","宠物功法","5","12","3","","1","25","","","","910001","提升造成的物理伤害","2","提升造成的法术伤害","2","","","","","","","","影响宠物","","","","","1","","","","","增加宠物物理穿透: ","增加宠物法术穿透: ","","","951","971","",""
"360021","false","宠物物防","6","13","3","","1","25","","","","910002","降低受到的物理伤害","2","","","","","","","","","","影响宠物","","","","","1","","","","","增加宠物物理抵抗: ","","","","961","","",""
"360022","false","宠物法抗","7","14","3","","1","25","","","","910003","降低受到的法术伤害","2","","","","","","","","","","影响宠物","","","","","1","","","","","增加宠物法术抵抗: ","","","","981","","",""
"360023","false","宠物抗封","8","15","3","","1","25","","","","910004","降低被控制几率","2","增加被治疗量","1","","","","","","","","影响宠物","","","","","1","","","","","增加宠物封印免疫: ","增加宠物回复强度: ","","","2141","1001","",""
