"阶段ID","技能描述（策划）","阶段类型","执行方式","播放延时","动作类型","动作最长时间","移动类型","同步保护","目的x","目的y","残影对象编号","残影对象透明度","移动时间","特效类型","特效位置类型","有痕迹","有方向","特效名","特效图层","音效","结果类型","执行结果最长时间","结果受击复位时间","瞬移类型","瞬移时间","保留","瞬移最长时间","多结果标示"
"11000150","破釜沉舟5-移动","1","0","0","0","0","0","1","0","2","4","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000151","破釜沉舟5-攻击动作","0","1","0","8","1100","0","0","0","2","4","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000152","破釜沉舟5-受击特效上","2","1","300","0","0","0","0","0","0","4","255","0","0","5","0","1","geffect/skill/acc1-dt/Cc.pfcz","1","DT-pfcz","0","0","200","0","0","0","0","1"
"11000153","破釜沉舟5-受击特效下","2","1","300","0","0","0","0","0","0","0","188","0","0","0","0","1","","1","","0","0","200","0","0","0","0","1"
"11000154","破釜沉舟5-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","600","200","0","0","0","0","1"
"11000155","破釜沉舟5-残影消失","1","0","0","0","0","3","2","0","0","4","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000140","破釜沉舟5-现身","6","0","0","0","0","0","0","0","0","0","255","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000200","翩鸿一击1-移动","1","0","0","0","0","0","1","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000201","翩鸿一击1-施法动作","0","1","0","8","1100","0","0","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000202","翩鸿一击1-攻击特效上","2","1","300","0","0","0","0","0","0","0","188","0","0","0","0","0","","1","","0","0","200","0","0","0","0","1"
"11000203","翩鸿一击1-攻击特效上","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/acc1-dt/Cc.phyj","1","DT-phyj","0","0","200","0","0","0","0","1"
"11000204","翩鸿一击1-结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","500","200","0","0","0","0","1"
"11000205","翩鸿一击1-返回","1","0","0","0","0","2","0","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000300","横扫千军1-移动","1","0","0","0","0","0","1","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000301","横扫千军1-攻击动作","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000302","横扫千军1-受击特效上","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","1","","0","","0","0","200","0","0","0","0","1"
"11000303","横扫千军1-受击特效下","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.hsqj","1","DT-hsqj","0","0","200","0","0","0","0","1"
"11000304","横扫千军1-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","600","200","0","0","0","0","1"
"11000305","横扫千军1-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000310","横扫千军2-保护者移动","1","0","0","0","0","0","1","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000311","横扫千军2-攻击动作","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000312","横扫千军2-受击特效上","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","1","","0","","0","0","200","0","0","0","0","1"
"11000313","横扫千军2-受击特效下","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.hsqj","1","DT-hsqj","0","0","200","0","0","0","0","1"
"11000314","横扫千军2-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","600","200","0","0","0","0","1"
"11000315","横扫千军2-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000320","横扫千军3-保护者移动","1","0","0","0","0","0","1","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000321","横扫千军3-攻击动作","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000322","横扫千军3-受击特效上","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","1","","0","","0","0","200","0","0","0","0","1"
"11000323","横扫千军3-受击特效下","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.hsqj","1","DT-hsqj","0","0","200","0","0","0","0","1"
"11000324","横扫千军3-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","600","200","0","0","0","0","1"
"11000325","横扫千军3-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000330","横扫千军4-保护者移动","1","0","0","0","0","0","1","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000331","横扫千军4-攻击动作","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000332","横扫千军4-受击特效上","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","1","","0","","0","0","200","0","0","0","0","1"
"11000333","横扫千军4-受击特效下","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.hsqj","1","DT-hsqj","0","0","200","0","0","0","0","1"
"11000334","横扫千军4-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","600","200","0","0","0","0","1"
"11000335","横扫千军4-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000340","横扫千军4-返回","1","0","0","0","0","2","0","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000341","横扫千军4-休息结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","200","200","0","0","0","0","1"
"11000342","横扫千军4-清除休息","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","0","10","0","0","0","0","1"
"11000343","横扫千军4-受击特效下","2","0","300","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.hsqj","1","DT-hsqj","0","0","200","0","0","0","0","1"
"11000350","横扫千军5-保护者移动","1","0","0","0","0","0","1","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000351","横扫千军5-攻击动作","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000352","横扫千军5-受击特效上","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","1","","0","","0","0","200","0","0","0","0","1"
"11000353","横扫千军5-受击特效下","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.hsqj","1","DT-hsqj","0","0","200","0","0","0","0","1"
"11000354","横扫千军5-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","600","200","0","0","0","0","1"
"11000355","横扫千军5-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000360","横扫千军6-保护者移动","1","0","0","0","0","0","1","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000361","横扫千军6-攻击动作","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000362","横扫千军6-受击特效上","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","1","","0","","0","0","200","0","0","0","0","1"
"11000363","横扫千军6-受击特效下","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.hsqj","1","DT-hsqj","0","0","200","0","0","0","0","1"
"11000364","横扫千军6-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","600","200","0","0","0","0","1"
"11000365","横扫千军6-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000370","横扫千军7-保护者移动","1","0","0","0","0","0","1","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000371","横扫千军7-攻击动作","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000372","横扫千军7-受击特效上","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","1","","0","","0","0","200","0","0","0","0","1"
"11000373","横扫千军7-受击特效下","2","1","300","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.hsqj","1","DT-hsqj","0","0","200","0","0","0","0","1"
"11000374","横扫千军7-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","600","200","0","0","0","0","1"
"11000375","横扫千军7-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000400","后发制人-选择目标","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","200","200","0","0","0","0","1"
"11000410","后发制人-施法动作","0","1","0","9","1100","0","0","0","8","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000411","后发制人-施法特效上","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.hfzrsf","0","DT-hfzrsf","0","0","200","0","0","0","0","1"
"11000412","后发制人-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","200","200","0","0","0","0","1"
"11001100","后发制人之猛击-移动","1","0","0","0","0","0","1","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11001101","后发制人之猛击-攻击动作","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11001102","后发制人之猛击-受击特效","2","1","400","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/acc1-dt/Cc.hfzrgj","0","DT-hsqj","0","0","200","0","0","0","0","1"
"11001103","后发制人之猛击-结算","4","1","500","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","700","200","0","0","0","0","1"
"11001104","后发制人之猛击-返回","1","0","0","0","0","2","2","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11001110","后发制人之猛击完驱散蓄力-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","200","200","0","0","0","0","1"
"11000501","杀气决-施法动作","0","1","0","9","1100","0","0","0","8","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000502","杀气决-受击特效上","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.sqjsf","0","DT-sqjsf","0","0","200","0","0","0","0","1"
"11000503","杀气决-受击结算","4","1","2000","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1300","200","0","0","0","0","1"
"11000504","杀气决-受击结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","200","200","0","0","0","0","1"
"11000700","万剑归一1-施法动作","0","1","0","9","1100","0","0","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000701","万剑归一1-受击特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.wanjianguiyi1","0","DT-wjgy1","0","0","200","0","0","0","0","1"
"11000702","万剑归一1-结算","4","1","900","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1100","200","0","0","0","0","1"
"11000710","万剑归一2-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.wanjianguiyi2","0","DT-wjgy1","0","0","200","0","0","0","0","1"
"11000711","万剑归一2-结算","4","1","300","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","500","200","0","0","0","0","1"
"11000720","万剑归一3-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.wanjianguiyi3","0","DT-wjgy1","0","0","200","0","0","0","0","1"
"11000721","万剑归一3-结算","4","1","300","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","500","200","0","0","0","0","1"
"11000730","万剑归一4-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.wanjianguiyi4","0","DT-wjgy1","0","0","200","0","0","0","0","1"
"11000731","万剑归一4-结算","4","1","300","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","500","200","0","0","0","0","1"
"11000740","万剑归一5-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.wanjianguiyi1","0","DT-wjgy1","0","0","200","0","0","0","0","1"
"11000741","万剑归一5-结算","4","1","300","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","500","200","0","0","0","0","1"
"11000750","万剑归一6-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.wanjianguiyi2","0","DT-wjgy1","0","0","200","0","0","0","0","1"
"11000751","万剑归一6-结算","4","1","300","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","500","200","0","0","0","0","1"
"11000760","万剑归一7-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.wanjianguiyi3","0","DT-wjgy1","0","0","200","0","0","0","0","1"
"11000761","万剑归一7-结算","4","1","300","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","500","200","0","0","0","0","1"
"11000770","万剑归一8-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.wanjianguiyi4","0","DT-wjgy1","0","0","200","0","0","0","0","1"
"11000771","万剑归一8-结算","4","1","300","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","500","200","0","0","0","0","1"
"11000780","万剑归一9-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc1-dt/Cc.wanjianguiyi4","0","DT-wjgy2","0","0","200","0","0","0","0","1"
"11000781","万剑归一9-结算","4","1","300","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","500","200","0","0","0","0","1"
"11000790","万剑归一10-降防休息结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","200","200","0","0","0","0","1"
"25402","方寸山技能","4","1","1000","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1200","200","0","0","0","0","1"
"12000100","五雷咒1-施法动作","0","1","0","9","1100","0","0","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"12000101","五雷咒1-施法特效","2","1","600","0","0","0","0","0","0","0","188","0","0","2","0","0","","0","","0","0","200","0","0","0","0","1"
"12000102","五雷咒1-受击特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc2-fc/wuleizhou","0","FC-wlzsf","0","0","200","0","0","0","0","1"
"12000103","五雷咒1-受击结算","4","1","1000","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1000","200","0","0","0","0","1"
"12000110","五雷咒2-受击特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc2-fc/wuleizhou","0","FC-wlzsf","0","0","200","0","0","0","0","1"
"12000111","五雷咒2-受击结算","4","1","1000","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1000","200","0","0","0","0","1"
"12000120","五雷咒3-受击特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc2-fc/wuleizhou","0","","0","0","200","0","0","0","0","1"
"12000121","五雷咒3-受击结算","4","1","1000","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1000","200","0","0","0","0","1"
"12000130","五雷咒4-受击特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc2-fc/wuleizhou","0","","0","0","200","0","0","0","0","1"
"12000131","五雷咒4-受击结算","4","1","1100","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1000","200","0","0","0","0","1"
"12000140","五雷咒5-受击特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc2-fc/wuleizhou","0","","0","0","200","0","0","0","0","1"
"12000141","五雷咒5-受击结算","4","1","1000","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1000","200","0","0","0","0","1"
"12000150","五雷咒6-受击特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc2-fc/wuleizhou","0","","0","0","200","0","0","0","0","1"
"12000151","五雷咒6-受击结算","4","1","1000","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1000","200","0","0","0","0","1"
"12000160","五雷咒7-首目标净化结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","200","200","0","0","0","0","1"
"12000200","定身符1-施法动作","0","1","0","9","1100","0","0","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"12000201","定身符1-施法特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc2-fc/dingshenfu","0","FC-dsfsf","0","0","200","0","0","0","0","1"
"12000202","定身符1-受击特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","","0","","0","0","200","0","0","0","0","1"
"12000203","定身符1-受击结算","4","1","1100","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1100","200","0","0","0","0","1"
"12000204","定身符1-施法动作","0","1","0","9","1100","0","0","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"12000205","定身符1-施法特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc2-fc/dingshenfu","0","FC-dsfsf","0","0","200","0","0","0","0","1"
"12000206","定身符1-受击特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","","0","","0","0","200","0","0","0","0","1"
"12000207","定身符1-受击结算","4","1","1100","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1100","200","0","0","0","0","1"
"12000210","定身符-虚弱","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","600","200","0","0","0","0","1"
"12000300","失忆符1-施法动作","0","1","0","9","1100","0","0","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"12000301","失忆符1-施法特效","2","1","0","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"12000302","失忆符1-受击特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc2-fc/shiyifu","0","FC-syfsf","0","0","200","0","0","0","0","1"
"12000303","失忆符1-受击结算","4","1","1700","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1900","200","0","0","0","0","1"
"12000400","离魂符-施法动作","0","1","0","9","1100","0","0","0","0","0","127","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"12000401","离魂符-施法特效","2","1","500","0","0","0","0","0","0","0","127","0","0","5","0","0","geffect/skill/acc2-fc/lihunfu","0","FC-lhfsf","0","0","200","0","0","0","0","1"
"12000402","离魂符-受击结算","4","1","1100","0","0","0","0","0","0","0","127","0","0","0","0","0","","0","","0","1300","200","0","0","0","0","1"
"12000500","失心符1-施法动作","0","1","0","9","1100","0","0","0","0","0","127","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"12000501","失心符1-施法特效","2","1","600","0","0","0","0","0","0","0","127","0","0","0","0","0","","0","FC-sxfsf","0","0","200","0","0","0","0","1"
"12000502","失心符1-受击特效","2","1","600","0","0","0","0","0","0","0","127","0","0","5","0","0","geffect/skill/acc2-fc/shixinfu","0","","0","0","200","0","0","0","0","1"
"12000503","失心符1-受击结算","4","1","1400","0","0","0","0","0","0","0","127","0","0","0","0","0","","0","","0","1600","200","0","0","0","0","1"
"12000504","失心符攻击-施法动作","0","1","0","9","1100","0","0","0","0","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"12000505","失心符攻击-施法特效","2","1","600","0","0","0","0","0","0","0","188","0","0","2","0","0","","0","","0","0","200","0","0","0","0","1"
"12000506","失心符攻击-受击特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/acc2-fc/wuleizhou","0","FC-wlzsf","0","0","200","0","0","0","0","1"
"12000507","失心符攻击-受击结算","4","1","1000","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","1000","200","0","0","0","0","1"
"12000700","幻音古钟1-施法动作","0","1","0","9","1100","0","0","0","0","0","127","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"12000701","幻音古钟1-受击特效","2","1","500","0","0","0","0","0","0","0","127","0","0","2","0","1","geffect/skill/acc2-fc/Cc.hygzsf","0","FC-hygzsf","0","0","200","0","0","0","0","1"
"12000702","幻音古钟1-受击结算","4","1","1300","0","0","0","0","0","0","0","127","0","0","0","0","0","","0","","0","1400","200","0","0","0","0","1"
"12000710","幻音古钟2-受击结算","4","0","1300","0","0","0","0","0","0","0","127","0","0","0","0","0","","0","","0","1400","200","0","0","0","0","1"
"12000720","幻音古钟3-受击结算","4","0","1300","0","0","0","0","0","0","0","127","0","0","0","0","0","","0","","0","1400","200","0","0","0","0","1"
