技能id,技能名称,图标编号,主动被动,短描述,技能描述,目标类型,魔法入口,评分,品质,低级名称,高级名称,超级名称,特殊名称,特殊名称1,技能消耗,消耗数量,消耗属性编号,摆摊是否显示
206016,反震,304,1,让宝宝变强大的宠物技能书,"<T t=""受到物理攻击时有33%概率进行反弹，反弹伤害结果等于自己受到伤害的25%。"" c=""fffff2df""/>",1,0,80,1,反震,,,,,无消耗,,-1,1
206017,神迹,305,1,让宝宝变强大的宠物技能书,"<T t=""回合结束时，解除所有异常状态。"" c=""fffff2df""/>",1,0,80,1,神迹,,,,,无消耗,,-1,1
206018,反击,306,1,让宝宝变强大的宠物技能书,"<T t=""受到普通物理攻击时有10%概率自动反击，反击的伤害是正常伤害的75%。"" c=""fffff2df""/>",1,0,80,1,反击,,,,,无消耗,,-1,1
206019,敏捷,307,1,让宝宝变强大的宠物技能书,"<T t=""自身速度增加11%。"" c=""fffff2df""/>",1,0,80,1,敏捷,,,,,无消耗,,-1,1
206020,强壮,322,1,让宝宝变强大的宠物技能书,"<T t=""自身气血上限提升11%。"" c=""fffff2df""/>",1,0,80,1,强壮,,,,,无消耗,,-1,1
206021,防御,308,1,让宝宝变强大的宠物技能书,"<T t=""提升等级*0.9的物理防御，但法术伤害结果会降低11%。"" c=""fffff2df""/>",1,0,80,1,防御,,,,,无消耗,,-1,1
206022,固法,309,1,让宝宝变强大的宠物技能书,"<T t=""提升等级*0.9的法术防御，但物理伤害结果会降低11%。"" c=""fffff2df""/>",1,0,80,1,固法,,,,,无消耗,,-1,1
206023,幸运,310,1,让宝宝变强大的宠物技能书,"<T t=""被物理攻击时，被暴击概率降低11%。"" c=""fffff2df""/>",1,0,80,1,幸运,,,,,无消耗,,-1,1
206024,迟钝,311,1,让宝宝变强大的宠物技能书,"<T t=""减少自身速度的20%。"" c=""fffff2df""/>",1,0,80,1,迟钝,,,,,无消耗,,-1,1
206025,火属性吸收,315,1,让宝宝变强大的宠物技能书,"<T t=""有30%概率吸收火属性法术伤害，回复对应的气血。"" c=""fffff2df""/>",1,0,80,1,火属性吸收,,,,,无消耗,,-1,1
206026,水属性吸收,314,1,让宝宝变强大的宠物技能书,"<T t=""有30%概率吸收水属性法术伤害，回复对应的气血。"" c=""fffff2df""/>",1,0,80,1,水属性吸收,,,,,无消耗,,-1,1
206027,土属性吸收,313,1,让宝宝变强大的宠物技能书,"<T t=""有30%概率吸收土属性法术伤害，回复对应的气血。"" c=""fffff2df""/>",1,0,80,1,土属性吸收,,,,,无消耗,,-1,1
206028,雷属性吸收,312,1,让宝宝变强大的宠物技能书,"<T t=""有30%概率吸收雷属性法术伤害，回复对应的气血。"" c=""fffff2df""/>",1,0,80,1,雷属性吸收,,,,,无消耗,,-1,1
206029,鬼魂术,316,1,让宝宝变强大的宠物技能书,"<T t=""死亡5回合后自动复活，不受任何状态影响，也不能使用主动技能和药品回复气血。若有神佑技能不触发该效果。"" c=""fffff2df""/>",1,0,80,1,鬼魂术,,,,,无消耗,,-1,1
206030,驱鬼,317,1,让宝宝变强大的宠物技能书,"<T t=""对敌方拥有鬼魂术单位的物理、法术伤害效果增加50%，并能将其打飞出场外。"" c=""fffff2df""/>",1,0,80,1,驱鬼,,,,,无消耗,,-1,1
206031,隐身,318,1,让宝宝变强大的宠物技能书,"<T t=""自动附加隐身状态2至3回合，隐身状态下物理攻击能力会降低20%，使用技能取消隐身状态。"" c=""fffff2df""/>",1,0,80,1,隐身,,,,,无消耗,,-1,1
206032,感知,319,1,让宝宝变强大的宠物技能书,"<T t=""能探知并攻击敌方隐身状态的单位。"" c=""fffff2df""/>",1,0,80,1,感知,,,,,无消耗,,-1,1
206033,永恒,320,1,让宝宝变强大的宠物技能书,"<T t=""受到的增益状态持续回合数加倍。"" c=""fffff2df""/>",1,0,80,1,永恒,,,,,无消耗,,-1,1
206034,精神集中,321,1,让宝宝变强大的宠物技能书,"<T t=""可以抵御控制类异常状态，但自己的物理伤害结果也会降低20%。"" c=""fffff2df""/>",1,0,80,1,精神集中,,,,,无消耗,,-1,1
206035,毒,323,1,让宝宝变强大的宠物技能书,"<T t=""普通物理攻击有12%概率使目标中毒，中毒状态下每回合损失5%气血和5%魔法（物理攻击中毒单位时有15%几率被感染）。"" c=""fffff2df""/>",1,0,80,1,毒,,,,,无消耗,,-1,1
206038,高级必杀,324,1,让宝宝变强大的高级宠物技能书,"<T t=""物理攻击时暴击概率增加20%。"" c=""fffff2df""/>",1,0,200,2,,高级必杀,,,,无消耗,,-1,1
206039,高级连击,325,1,让宝宝变强大的高级宠物技能书,"<T t=""普通物理攻击时，有55%概率追加一次攻击，拥有此技能物理伤害结果会降低20%。"" c=""fffff2df""/>",1,0,200,2,,高级连击,,,,无消耗,,-1,1
206040,高级强力,326,1,让宝宝变强大的高级宠物技能书,"<T t=""提升大量的物理攻击力，如果对方有铁甲或高级铁甲技能，物理伤害结果会减少20%，不能与狂暴熊猫技能共存有冲突。"" c=""fffff2df""/>",1,0,200,2,,高级强力,,,,无消耗,,-1,1
206041,高级突进,327,1,让宝宝变强大的高级宠物技能书,"<T t=""物理攻击时忽视对方大量的物理防御。"" c=""fffff2df""/>",1,0,200,2,,高级突进,,,,无消耗,,-1,1
206042,高级偷袭,328,1,让宝宝变强大的高级宠物技能书,"<T t=""物理攻击不会受到反击和反震，并提高10%的物理伤害结果。"" c=""fffff2df""/>",1,0,200,2,,高级偷袭,,,,无消耗,,-1,1
206043,高级法术暴击,329,1,让宝宝变强大的高级宠物技能书,"<T t=""法术攻击时暴击概率增加15%。"" c=""fffff2df""/>",1,0,200,2,,高级法术暴击,,,,无消耗,,-1,1
206044,高级法术连击,330,1,让宝宝变强大的高级宠物技能书,"<T t=""法术攻击时，有30%概率追加一次攻击，伤害是第一次的50%。"" c=""fffff2df""/>",1,0,200,2,,高级法术连击,,,,无消耗,,-1,1
206045,高级法术波动,331,1,让宝宝变强大的高级宠物技能书,"<T t=""每次法术攻击伤害结果在50%至150%之间浮动。"" c=""fffff2df""/>",1,0,200,2,,高级法术波动,,,,无消耗,,-1,1
206046,高级魔之心,332,1,让宝宝变强大的高级宠物技能书,"<T t=""对敌人的法术伤害结果提高20%。"" c=""fffff2df""/>",1,0,200,2,,高级魔之心,,,,无消耗,,-1,1
206047,高级会心,333,1,让宝宝变强大的高级宠物技能书,"<T t=""法术攻击时忽视对方一定的法术防御。"" c=""fffff2df""/>",1,0,200,2,,高级会心,,,,无消耗,,-1,1
206048,高级冥思,334,1,让宝宝变强大的高级宠物技能书,"<T t=""战斗中，每回合结束时回复等级*0.6的魔法。"" c=""fffff2df""/>",1,0,200,2,,高级冥思,,,,无消耗,,-1,1
206049,高级吸血,335,1,让宝宝变强大的高级宠物技能书,"<T t=""物理攻击时，吸收对方所掉气血的30%。"" c=""fffff2df""/>",1,0,200,2,,高级吸血,,,,无消耗,,-1,1
206050,高级再生,336,1,让宝宝变强大的高级宠物技能书,"<T t=""战斗中，每回合自动回复等级*1.6的气血。"" c=""fffff2df""/>",1,0,200,2,,高级再生,,,,无消耗,,-1,1
206051,高级神佑复生,337,1,让宝宝变强大的高级宠物技能书,"<T t=""当死亡时，有35%概率触发神佑效果，自动满血复活。"" c=""fffff2df""/>",1,0,200,2,,高级神佑复生,,,,无消耗,,-1,1
206052,高级招架,338,1,让宝宝变强大的高级宠物技能书,"<T t=""受到物理伤害时的格挡几率提高27%"" c=""fffff2df""/>",1,0,200,2,,高级招架,,,,无消耗,,-1,1
206053,高级反震,339,1,让宝宝变强大的高级宠物技能书,"<T t=""受到物理攻击时有33%概率进行反弹，反弹伤害结果等于自己受到伤害的50%。"" c=""fffff2df""/>",1,0,200,2,,高级反震,,,,无消耗,,-1,1
206054,高级神迹,340,1,让宝宝变强大的高级宠物技能书,"<T t=""不受所有负面状态影响，包括毒、控制等。"" c=""fffff2df""/>",1,0,200,2,,高级神迹,,,,无消耗,,-1,1
206055,高级反击,341,1,让宝宝变强大的高级宠物技能书,"<T t=""受到普通物理攻击时有20%概率自动反击，反击的伤害为正常伤害的100%。"" c=""fffff2df""/>",1,0,200,2,,高级反击,,,,无消耗,,-1,1
206056,高级敏捷,342,1,让宝宝变强大的高级宠物技能书,"<T t=""自身速度增加20%。"" c=""fffff2df""/>",1,0,200,2,,高级敏捷,,,,无消耗,,-1,1
206057,高级强壮,356,1,让宝宝变强大的高级宠物技能书,"<T t=""自身气血上限提升20%。"" c=""fffff2df""/>",1,0,200,2,,高级强壮,,,,无消耗,,-1,1
206058,高级防御,343,1,让宝宝变强大的高级宠物技能书,"<T t=""提升等级*1.3的物理防御，但法术伤害结果会降低11%。"" c=""fffff2df""/>",1,0,200,2,,高级防御,,,,无消耗,,-1,1
206059,高级固法,344,1,让宝宝变强大的高级宠物技能书,"<T t=""提升等级*1.3的法术防御，但物理伤害结果会降低11%。"" c=""fffff2df""/>",1,0,200,2,,高级固法,,,,无消耗,,-1,1
206060,高级幸运,345,1,让宝宝变强大的高级宠物技能书,"<T t=""被物理攻击时，被暴击概率降低22%。"" c=""fffff2df""/>",1,0,200,2,,高级幸运,,,,无消耗,,-1,1
206061,高级迟钝,387,1,让宝宝变强大的高级宠物技能书,"<T t=""减少自身速度的22%，并且有10%的几率减免50%的物理伤害。"" c=""fffff2df""/>",1,0,200,2,,高级迟钝,,,,无消耗,,-1,1
206062,高级火属性吸收,349,1,让宝宝变强大的高级宠物技能书,"<T t=""有33%概率吸收火属性法术伤害，回复对应的气血。吸收失败也可减少火属性法术伤害的30%。"" c=""fffff2df""/>",1,0,200,2,,高级火属性吸收,,,,无消耗,,-1,1
206063,高级水属性吸收,348,1,让宝宝变强大的高级宠物技能书,"<T t=""有33%概率吸收水属性法术伤害，回复对应的气血。吸收失败也可减少水属性法术伤害的30%。"" c=""fffff2df""/>",1,0,200,2,,高级水属性吸收,,,,无消耗,,-1,1
206064,高级土属性吸收,347,1,让宝宝变强大的高级宠物技能书,"<T t=""有33%概率吸收土属性法术伤害，回复对应的气血。吸收失败也可减少土属性法术伤害的30%。"" c=""fffff2df""/>",1,0,200,2,,高级土属性吸收,,,,无消耗,,-1,1
206065,高级雷属性吸收,346,1,让宝宝变强大的高级宠物技能书,"<T t=""有33%概率吸收雷属性法术伤害，回复对应的气血。吸收失败也可减少雷属性法术伤害的30%。"" c=""fffff2df""/>",1,0,200,2,,高级雷属性吸收,,,,无消耗,,-1,1
206066,高级鬼魂术,350,1,让宝宝变强大的高级宠物技能书,"<T t=""死亡5回合后自动复活，不受异常状态影响。若有神佑技能不触发该效果。"" c=""fffff2df""/>",1,0,200,2,,高级鬼魂术,,,,无消耗,,-1,1
206067,高级驱鬼,351,1,让宝宝变强大的高级宠物技能书,"<T t=""对敌方拥有不死亡魂术单位的物理、法术伤害效果增加100%，并能将其打飞出场外。"" c=""fffff2df""/>",1,0,200,2,,高级驱鬼,,,,无消耗,,-1,1
206068,高级隐身,352,1,让宝宝变强大的高级宠物技能书,"<T t=""自动附加隐身状态3至5回合，隐身状态下物理伤害结果会降低15%，使用技能取消隐身状态。"" c=""fffff2df""/>",1,0,200,2,,高级隐身,,,,无消耗,,-1,1
206069,高级感知,353,1,让宝宝变强大的高级宠物技能书,"<T t=""能探知并攻击敌方隐身状态的单位，受到物理伤害时的格挡几率提高7%。"" c=""fffff2df""/>",1,0,200,2,,高级感知,,,,无消耗,,-1,1
206070,高级永恒,354,1,让宝宝变强大的高级宠物技能书,"<T t=""受到的增益状态持续回合数增加为原来的4倍。"" c=""fffff2df""/>",1,0,200,2,,高级永恒,,,,无消耗,,-1,1
206071,高级精神集中,355,1,让宝宝变强大的高级宠物技能书,"<T t=""可以抵御控制类异常状态，受到物理伤害时的格挡几率提高7%，但自己的物理伤害结果也会降低18%。"" c=""fffff2df""/>",1,0,200,2,,高级精神集中,,,,无消耗,,-1,1
206072,高级毒,357,1,让宝宝变强大的高级宠物技能书,"<T t=""普通物理攻击有22%概率使目标中毒，中毒状态下每回合损失10%气血和5%魔法，拥有高级毒技能的宠物对毒免疫（物理攻击中毒单位有15%几率被感染）"" c=""fffff2df""/>",1,0,200,2,,高级毒,,,,无消耗,,-1,1
207001,烈火,361,2,让宝宝变强大的宠物技能书,"<T t=""火属性单体法术，同时有10%概率降低对方5%的物理和法术防御力，持续3回合。"" c=""fffff2df""/>",480,0,80,2,,烈火,,,,消耗魔法：40,40,100,1
207002,水攻,360,2,让宝宝变强大的宠物技能书,"<T t=""水属性单体法术，同时有10%概率降低对方5%的物理和法术攻击力，持续3回合。"" c=""fffff2df""/>",480,0,80,2,,水攻,,,,消耗魔法：40,40,100,1
207003,落岩,358,2,让宝宝变强大的宠物技能书,"<T t=""土属性单体法术，同时有10%概率降低对方5%的速度，持续3回合。"" c=""fffff2df""/>",480,0,80,2,,落岩,,,,消耗魔法：40,40,100,1
207004,雷击,359,2,让宝宝变强大的宠物技能书,"<T t=""雷属性单体法术，同时有10%概率驱除对方的所有增益状态。"" c=""fffff2df""/>",480,0,80,2,,雷击,,,,消耗魔法：40,40,100,1
207005,地狱烈火,365,2,让宝宝变强大的高级宠物技能书,"<T t=""火属性多体法术，初始攻击两个目标，宠物60级可攻击三个目标，同时有5%概率降低对方5%的物理和法术防御力，持续3回合。"" c=""fffff2df""/>",480,0,200,2,,地狱烈火,,,,消耗魔法：50,50,100,1
207006,水漫金山,364,2,让宝宝变强大的高级宠物技能书,"<T t=""水属性多体法术，初始攻击两个目标，宠物60级可攻击三个目标，同时有5%概率降低对方5%的物理和法术攻击力，持续3回合。"" c=""fffff2df""/>",480,0,200,2,,水漫金山,,,,消耗魔法：50,50,100,1
207007,泰山压顶,362,2,让宝宝变强大的高级宠物技能书,"<T t=""土属性多体法术，初始攻击两个目标，宠物60级可攻击三个目标，同时有5%概率降低对方5%的速度，持续3回合。"" c=""fffff2df""/>",480,0,200,2,,泰山压顶,,,,消耗魔法：50,50,100,1
207008,奔雷咒,363,2,让宝宝变强大的高级宠物技能书,"<T t=""雷属性多体法术，初始攻击两个目标，宠物60级可攻击三个目标，同时有5%概率驱除对方的一项增益状态。"" c=""fffff2df""/>",480,0,200,2,,奔雷咒,,,,消耗魔法：50,50,100,1
207009,壁垒击破,366,2,让宝宝变强大的高级宠物技能书,"<T t=""附加等级*3的物理伤害结果，不可被防御和保护。"" c=""fffff2df""/>",480,0,220,2,,壁垒击破,,,,消耗魔法：50,50,100,1
207010,剑荡四方,375,2,让宝宝变强大的高级宠物技能书,"<T t=""对敌方三个目标进行物理攻击。"" c=""fffff2df""/>",480,0,220,2,,剑荡四方,,,,消耗魔法：50,50,100,1
207011,惊心一剑,368,2,让宝宝变强大的高级宠物技能书,"<T t=""发动时，可以在造成物理伤害同时消耗对方少量的魔法值。"" c=""fffff2df""/>",480,0,220,2,,惊心一剑,,,,消耗魔法：50,50,100,1
207012,力劈华山,367,2,让宝宝变强大的高级宠物技能书,"<T t=""发动时，对方的物理伤害力越低，受到的伤害越高。"" c=""fffff2df""/>",480,0,220,2,,力劈华山,,,,消耗魔法：50,50,100,1
207013,死亡召唤,376,2,让宝宝变强大的高级宠物技能书,"<T t=""攻击时有25%概率使敌人附加死亡禁锢效果，效果持续4回合。"" c=""fffff2df""/>",480,0,220,2,,死亡召唤,,,,消耗魔法：50,50,100,1
207014,善恶有报,378,2,让宝宝变强大的高级宠物技能书,"<T t=""攻击时有一定概率给予对手造成双倍的伤害或恢复一定气血。"" c=""fffff2df""/>",480,0,220,2,,善恶有报,,,,消耗魔法：50,50,100,1
207015,上古灵符,377,2,让宝宝变强大的高级宠物技能书,"<T t=""上古时代的神秘单体法术，触发法术连击时不会降低伤害。"" c=""fffff2df""/>",480,0,220,2,,上古灵符,,,,消耗魔法：50,50,100,1
207016,法术防御,388,2,让宝宝变强大的高级宠物技能书,"<T t=""极强的法术防御技能。可以防御魔法攻击，减少魔法伤害结果50%，持续回合数为4，只允许对自身使用。"" c=""fffff2df""/>",2,0,220,2,,法术防御,,,,消耗魔法：50,50,100,1
207019,惩戒,371,1,让宝宝变强大的高级宠物技能书,"<T t=""物理攻击时额外附加一定伤害结果。"" c=""fffff2df""/>",1,0,200,2,,惩戒,,,,无消耗,,-1,1
207138,生死决,471,1,让宝宝变强大的高级宠物技能书,"<T t=""物理攻击时暴击概率增加22%。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207139,连环,486,1,让宝宝变强大的高级宠物技能书,"<T t=""普通物理攻击时，有50%概率追加一次攻击，拥有此技能物理伤害结果会降低17%。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207140,矫健,485,1,让宝宝变强大的高级宠物技能书,"<T t=""提升大量的物理攻击力，如果对方有铁甲或高级铁甲技能，物理伤害结果会减少25%。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207141,穿刺,484,1,让宝宝变强大的高级宠物技能书,"<T t=""物理攻击时忽视对方大量的物理防御。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207142,碎甲刃,468,1,让宝宝变强大的高级宠物技能书,"<T t=""物理攻击不会受到反击和反震，并提高11%的物理伤害结果。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207143,电魂闪,472,1,让宝宝变强大的高级宠物技能书,"<T t=""法术攻击时暴击概率增加15%。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207144,双星爆,474,1,让宝宝变强大的高级宠物技能书,"<T t=""法术攻击时，有33%概率追加一次攻击，伤害是第一次的50%。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207145,催心浪,487,1,让宝宝变强大的高级宠物技能书,"<T t=""每次法术攻击伤害结果在52%至148%之间浮动。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207146,通灵法,470,1,让宝宝变强大的高级宠物技能书,"<T t=""对敌人的法术伤害结果提高18%。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207147,法术穿刺,492,1,让宝宝变强大的高级宠物技能书,"<T t=""法术攻击时忽视对方一定的法术防御。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207148,迅敏,496,1,让宝宝变强大的高级宠物技能书,"<T t=""物理攻击时，吸收对方所掉气血的33%。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207149,龙魂,480,1,让宝宝变强大的高级宠物技能书,"<T t=""当死亡时，有28%概率触发神佑效果，自动满血复活。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207150,静岳,490,1,让宝宝变强大的高级宠物技能书,"<T t=""受到物理攻击时有33%概率进行反弹，反弹伤害结果等于自己受到伤害的50%。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207151,神机步,477,1,让宝宝变强大的高级宠物技能书,"<T t=""自身速度增加22%。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207152,玄武躯,479,1,让宝宝变强大的高级宠物技能书,"<T t=""自身气血上限提升22%。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207153,腾挪劲,478,1,让宝宝变强大的高级宠物技能书,"<T t=""提升等级*1.3的物理防御，但法术伤害结果会降低11%。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207154,隐匿击,473,1,让宝宝变强大的高级宠物技能书,"<T t=""自动附加隐身状态3至5回合，隐身状态下物理伤害结果会降低15%，使用技能取消隐身状态。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207155,追杀,489,1,让宝宝变强大的高级宠物技能书,"<T t=""普通物理攻击杀死对方时，有45%概率对敌方其他目标追加一次攻击，伤害是正常伤害的100%。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207156,贱杀,494,1,让宝宝变强大的高级宠物技能书,"<T t=""普通物理攻击时有20%概率对目标周围的两个敌方单位造成溅射伤害，溅射伤害为主体伤害的30%。"" c=""fffff2df""/>",1,0,100,2,,,,,,无消耗,,-1,0
207200,三羊开泰,379,2,让宝宝变强大的高级宠物技能书,"<T t=""源于上古的秘法，施展群体法术攻击，同时消耗目标的魔法值，在非玩家对战中还可以将对方损失的魔法值汲取给主人使用。初始攻击两个目标，宠物60级可攻击三个目标。"" c=""fffff2df""/>",480,0,220,2,,三羊开泰,,,,消耗魔法：60,60,100,0
207201,洞察,384,1,让宝宝变强大的高级宠物技能书,"<T t=""使用物理攻击临时提升“目标物理防御-目标物理攻击”的物理攻击，最少附加10点（PVE对怪物最少附加自身等级*2点），最多附加自身等级*4点。"" c=""fffff2df""/>",1,0,200,2,,洞察,,,,,,-1,0
207202,鹿影生花,383,2,让宝宝变强大的高级宠物技能书,"<T t=""源于神秘敦煌的群体法术，可攻击三个目标。30%触发三段式攻击，伤害分别是30%，50%，80%(此技能无法触发法术连击)"" c=""fffff2df""/>",480,0,220,2,,鹿影生花,,,,消耗魔法：60,60,100,0
207203,破竹,372,2,让宝宝变强大的高级宠物技能书,"<T t=""对敌方进行物理攻击，概率触发连续破竹攻击(伤害逐步降低)"" c=""fffff2df""/>",480,0,200,2,,破竹,,,,无消耗,,-1,0
207204,风舞,370,2,让宝宝变强大的高级宠物技能书,"<T t=""对敌方进行物理攻击，概率对敌方气血最低的两个目标进行攻击"" c=""fffff2df""/>",480,0,200,2,,风舞,,,,无消耗,,-1,0
207205,捞月,369,2,让宝宝变强大的高级宠物技能书,"<T t=""对敌方进行两次物理攻击，第二次伤害为70%"" c=""fffff2df""/>",480,0,200,2,,捞月,,,,无消耗,,-1,0
207206,八凶法阵,380,2,让宝宝变强大的高级宠物技能书,"<T t=""远古时代的神秘群体法术，初始可同时攻击两个目标，达到60级后可同时攻击三个目标，有一定概率引燃敌方单位，处于引燃状态的目标降低10%法术防御并且每回合结束时扣除一定气血值。"" c=""fffff2df""/>",480,0,200,2,,八凶法阵,,,,消耗魔法：60,60,100,0
207207,龙威九霄,385,2,让宝宝变强大的高级宠物技能书,"<T t=""龙威九霄，龙族的神秘法术，初始攻击两个目标，60级攻击三个目标。发动时有30%触发法术暴击，并吸取首个目标所掉气血的20%"" c=""fffff2df""/>",480,0,220,2,,龙威九霄,,,,消耗魔法：60,60,100,0
207208,焚焰,393,2,让宝宝变强大的高级宠物技能书,"<T t=""我已燃起了熊熊烈火，该技能对4个目标进行法术攻击，同时有10％的概率降低对方10％的法术防御持续3回合。"" c=""fffff2df""/>",480,0,220,2,,焚焰,,,,消耗魔法：60,60,100,0
207209,聚电,399,1,让宝宝变强大的高级宠物技能书,"<T t=""集聚雷电一身，普通物理攻击时，有45%概率追加1-2次攻击，拥有此技能物理伤害结果会降低17%。"" c=""fffff2df""/>",1,0,220,2,,聚电,,,,无消耗,,-1,0
207210,筑浪,400,2,让宝宝变强大的高级宠物技能书,"<T t=""使用该技能对己方两个目标提升法术防御，持续5回合。"" c=""fffff2df""/>",4127,0,220,2,,筑浪,,,,消耗魔法：50,50,100,1
207211,垒岩,389,1,让宝宝变强大的高级宠物技能书,"<T t=""物理攻击时，携带分裂效果对另外两个目标造成主怪50％的伤害。"" c=""fffff2df""/>",1,0,220,2,,垒岩,,,,无消耗,,-1,0
207212,嘲讽,391,2,让宝宝变强大的高级宠物技能书,"<T t=""被嘲讽时，所有技能变为普通攻击，目标强制变更为嘲讽者，并降低物理攻击"" c=""fffff2df""/>",480,0,100,2,,嘲讽,,,,消耗魔法：80,80,100,0
207213,咕噜咕噜,392,1,让宝宝变强大的高级宠物技能书,"<T t=""蓝胖子专属技能，物理攻击目标时，提升20％伤害结果。"" c=""fffff2df""/>",1,0,200,2,,咕噜咕噜,,,,无消耗,,-1,0
207214,咕噜咕噜套装,397,1,让宝宝变强大的高级宠物技能书,"<T t=""咕噜咕噜专属套装，回合开始是作为唯一的咕噜咕噜，造成的物理伤害结果提升35%"" c=""fffff2df""/>",1,0,200,2,,咕噜咕噜套装,,,,无消耗,,-1,0
207215,吉里吉里,390,1,让宝宝变强大的高级宠物技能书,"<T t=""黄胖子专属技能，使用法术技能攻击目标，提升20％法术伤害结果。"" c=""fffff2df""/>",1,0,200,2,,吉里吉里,,,,无消耗,,-1,0
207216,吉里吉里套装,395,1,让宝宝变强大的高级宠物技能书,"<T t=""吉里吉里专属套装，回合开始时作为唯一的吉里吉里，造成的法术伤害结果提升35%"" c=""fffff2df""/>",1,0,200,2,,吉里吉里套装,,,,无消耗,,-1,0
