"装备属性编号","属性1ID","属性1名称","属性2ID","属性2名称","属性3ID","属性3名称","属性1波动段1min","属性1波动段1max","属性1波动段2min","属性1波动段2max","属性1波动段3min","属性1波动段3max","属性1波动段4min","属性1波动段4max","属性1波动段5min","属性1波动段5max","属性1波动段1权重","属性1波动段2权重","属性1波动段3权重","属性1波动段4权重","属性1波动段5权重","属性2波动段1min","属性2波动段1max","属性2波动段2min","属性2波动段2max","属性2波动段3min","属性2波动段3max","属性2波动段4min","属性2波动段4max","属性2波动段5min","属性2波动段5max","属性2波动段1权重","属性2波动段2权重","属性2波动段3权重","属性2波动段4权重","属性2波动段5权重","属性3波动段1min","属性3波动段1max","属性3波动段2min","属性3波动段2max","属性3波动段3min","属性3波动段3max","属性3波动段4min","属性3波动段4max","属性3波动段5min","属性3波动段5max","属性3波动段1权重","属性3波动段2权重","属性3波动段3权重","属性3波动段4权重","属性3波动段5权重"
"6030114","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030115","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030116","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030117","130","phyattack_value","150","magicattack_value","170","medical_value","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","39","39","39","40","40","41","41","41","41","42","3600","2800","2000","1200","400","45","47","47","49","49","50","50","52","52","54","3600","2800","2000","1200","400"
"6030220","60","maxhp_value","140","defend_value","","","138","140","140","142","142","145","145","147","147","150","3600","2800","2000","1200","400","43","44","44","45","45","45","45","46","46","47","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6030221","60","maxhp_value","140","defend_value","","","138","140","140","142","142","145","145","147","147","150","3600","2800","2000","1200","400","43","44","44","45","45","45","45","46","46","47","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6030322","90","maxmp_value","140","defend_value","","","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","26","26","26","27","27","27","27","28","28","28","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6030323","90","maxmp_value","140","defend_value","","","172","175","175","178","178","181","181","184","184","187","3600","2800","2000","1200","400","26","26","26","27","27","27","27","28","28","28","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6030424","150","magicattack_value","160","magicdef_value","","","47","48","48","49","49","50","50","51","51","51","3600","2800","2000","1200","400","25","26","26","26","26","26","26","27","27","27","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6030525","60","maxhp_value","140","defend_value","","","207","210","210","214","214","217","217","221","221","224","3600","2800","2000","1200","400","17","18","18","18","18","18","18","18","18","19","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6030626","160","magicdef_value","200","speed_value","","","25","26","26","26","26","26","26","27","27","27","3600","2800","2000","1200","400","20","20","20","21","21","22","22","23","23","23","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6040101","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040102","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040103","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040104","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040105","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040106","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040107","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040108","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040109","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040110","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040111","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040112","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040113","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040114","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040115","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040116","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040117","130","phyattack_value","150","magicattack_value","170","medical_value","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","52","53","53","53","53","54","54","55","55","56","3600","2800","2000","1200","400","60","62","62","65","65","67","67","70","70","72","3600","2800","2000","1200","400"
"6040220","60","maxhp_value","140","defend_value","","","184","187","187","190","190","193","193","196","196","199","3600","2800","2000","1200","400","57","58","58","59","59","60","60","61","61","62","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6040221","60","maxhp_value","140","defend_value","","","184","187","187","190","190","193","193","196","196","199","3600","2800","2000","1200","400","57","58","58","59","59","60","60","61","61","62","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6040322","90","maxmp_value","140","defend_value","","","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","34","35","35","36","36","36","36","37","37","37","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6040323","90","maxmp_value","140","defend_value","","","230","234","234","237","237","241","241","245","245","249","3600","2800","2000","1200","400","34","35","35","36","36","36","36","37","37","37","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6040424","150","magicattack_value","160","magicdef_value","","","63","64","64","65","65","66","66","67","67","69","3600","2800","2000","1200","400","34","34","34","35","35","35","35","36","36","36","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6040525","60","maxhp_value","140","defend_value","","","276","280","280","285","285","290","290","294","294","299","3600","2800","2000","1200","400","23","23","23","24","24","24","24","25","25","25","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6040626","160","magicdef_value","200","speed_value","","","34","34","34","35","35","35","35","36","36","36","3600","2800","2000","1200","400","26","27","27","28","28","29","29","30","30","31","3600","2800","2000","1200","400","","","","","","","","","","","3600","2800","2000","1200","400"
"6050101","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","457","457","457","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050102","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050103","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050104","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050105","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050106","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050107","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050108","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050109","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050110","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050111","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050112","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050113","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050114","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050115","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050116","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050117","130","phyattack_value","150","magicattack_value","170","medical_value","291","374","320","411","320","457","352","392","392","457","6000","3000","1000","0","0","65","83","71","91","71","102","102","102","102","102","6000","3000","1000","0","0","75","135","82","148","82","165","165","165","165","165","6000","3000","1000","0","0"
"6050220","60","maxhp_value","140","defend_value","","","233","299","256","328","256","366","366","366","366","366","6000","3000","1000","0","0","72","93","79","102","79","114","114","114","114","114","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6050221","60","maxhp_value","140","defend_value","","","233","299","256","328","256","366","366","366","366","366","6000","3000","1000","0","0","72","93","79","102","79","114","114","114","114","114","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6050322","90","maxmp_value","140","defend_value","","","291","374","320","411","320","457","457","457","457","457","6000","3000","1000","0","0","43","55","47","60","47","68","68","68","68","68","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6050323","90","maxmp_value","140","defend_value","","","291","374","320","411","320","457","457","457","457","457","6000","3000","1000","0","0","43","55","47","60","47","68","68","68","68","68","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6050424","150","magicattack_value","160","magicdef_value","","","79","102","86","112","86","125","125","125","125","125","6000","3000","1000","0","0","43","55","47","60","47","68","68","68","68","68","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6050525","60","maxhp_value","140","defend_value","","","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","28","36","30","39","30","45","45","45","45","45","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6050626","160","magicdef_value","200","speed_value","","","43","55","47","60","47","68","68","68","68","68","6000","3000","1000","0","0","33","59","36","64","36","72","72","72","72","72","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6060101","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060102","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060103","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060104","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060105","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060106","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060107","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060108","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060109","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060110","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060111","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060112","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060113","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060114","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060115","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060116","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060117","130","phyattack_value","150","magicattack_value","170","medical_value","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","78","100","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","90","162","99","178","99","198","198","198","198","198","6000","3000","1000","0","0"
"6060220","60","maxhp_value","140","defend_value","","","280","360","308","396","308","440","440","440","440","440","6000","3000","1000","0","0","87","112","95","123","95","137","137","137","137","137","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6060221","60","maxhp_value","140","defend_value","","","280","360","308","396","308","440","440","440","440","440","6000","3000","1000","0","0","87","112","95","123","95","137","137","137","137","137","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6060322","90","maxmp_value","140","defend_value","","","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","52","67","57","73","57","82","82","82","82","82","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6060323","90","maxmp_value","140","defend_value","","","350","450","385","495","385","550","550","550","550","550","6000","3000","1000","0","0","52","67","57","73","57","82","82","82","82","82","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6060424","150","magicattack_value","160","magicdef_value","","","95","123","104","135","104","150","150","150","150","150","6000","3000","1000","0","0","52","67","57","73","57","82","82","82","82","82","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6060525","60","maxhp_value","140","defend_value","","","420","540","462","594","462","660","660","660","660","660","6000","3000","1000","0","0","35","45","38","49","38","55","55","55","55","55","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6060626","160","magicdef_value","200","speed_value","","","52","67","57","73","57","82","82","82","82","82","6000","3000","1000","0","0","40","72","44","79","44","88","88","88","88","88","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6070101","130","phyattack_value","150","magicattack_value","170","medical_value","408","524","448","576","448","641","641","641","641","641","6000","3000","1000","0","0","91","117","100","128","100","144","144","144","144","144","6000","3000","1000","0","0","105","189","115","207","115","231","231","231","231","231","6000","3000","1000","0","0"
"6070102","130","phyattack_value","150","magicattack_value","170","medical_value","408","524","448","576","448","641","641","641","641","641","6000","3000","1000","0","0","91","117","100","128","100","144","144","144","144","144","6000","3000","1000","0","0","105","189","115","207","115","231","231","231","231","231","6000","3000","1000","0","0"
