"序列","题","步骤","题目","选项1","选项1图","选项1小图","选项2","选项2图","选项2小图","选项3","选项3图","选项3小图","正确答案","正确奖励id","错误奖励id"
"46","44","0","：这三位中谁最是魔族角色？","巨魔王","9014","30214","羽灵神","9008","30208","剑侠客","9000","30200","1","5840","5850"
"47","45","0","：在梦幻西游动画片中，谁将虎头怪绑在风筝上飞？","剑侠客","9000","30200","玄彩娥","9011","30211","漠少君","9002","30202","2","5840","5850"
"48","46","0","：在天命之战第四集中，剑侠客与谁产生了误会并解除误会？","英女侠","9004","30204","飞燕女","9003","30203","虎头怪","9013","30213","3","5840","5850"
"49","47","0","：找出下列游戏可选男性角色？","飞燕女","9003","30203","龙太子","9006","30206","巫蛮儿","9005","30205","2","5840","5850"
"50","48","0","：找出下列游戏可选男性角色？","虎头怪","9013","30213","玄彩娥","9011","30211","舞天姬","9009","30209","1","5840","5850"
"51","49","0","：找出下列游戏可选女性角色？","骨精灵","9015","30215","虎头怪","9013","30213","云乐游","9025","30405","1","5840","5850"
"52","50","0","：以下谁是人族角色？","逍遥生","9001","30201","狐美人","9016","30216","舞天姬","9009","30209","1","5840","5850"
"53","50","1","：以下谁是人族角色？","巨魔王","9014","30214","逍遥生","9001","30201","虎头怪","9013","30213","2","5840","5850"
"54","50","2","：以下谁是人族角色？","英女侠","9004","30204","玄彩娥","9011","30211","虎头怪","9013","30213","1","5840","5850"
"55","51","0","：以下谁是仙族角色？","英女侠","9004","30204","玄彩娥","9011","30211","漠少君","9002","30202","2","5840","5850"
"56","51","1","：以下谁是仙族角色？","狐美人","9016","30216","龙太子","9006","30206","巫蛮儿","9005","30205","2","5840","5850"
"57","51","2","：以下谁是仙族角色？","英女侠","9004","30204","神天兵","9007","30207","虎头怪","9013","30213","2","5840","5850"
"58","52","0","：以下谁是魔族角色？","漠少君","9002","30202","剑侠客","9000","30200","虎头怪","9013","30213","3","5840","5850"
"59","52","1","：以下谁是魔族角色？","狐美人","9016","30216","神天兵","9007","30207","龙太子","9006","30206","1","5840","5850"
"60","52","2","：以下谁是魔族角色？","飞燕女","9003","30203","杀破狼","9012","30212","巫蛮儿","9005","30205","2","5840","5850"
"61","53","0","：以下谁是人族男性角色呢？","杀破狼","9012","30212","剑侠客","9000","30200","神天兵","9007","30207","2","5840","5850"
"62","53","1","：以下谁是人族男性角色呢？","漠少君","9002","30202","巫蛮儿","9005","30205","飞燕女","9003","30203","1","5840","5850"
"63","53","2","：以下谁是人族男性角色呢？","逍遥生","9001","30201","巫蛮儿","9005","30205","飞燕女","9003","30203","1","5840","5850"
"64","54","0","：以下谁是仙族男性角色呢？","杀破狼","9012","30212","剑侠客","9000","30200","神天兵","9007","30207","3","5840","5850"
"65","54","1","：以下谁是仙族男性角色呢？","漠少君","9002","30202","龙太子","9006","30206","飞燕女","9003","30203","2","5840","5850"
"66","54","2","：以下谁是仙族男性角色呢？","杀破狼","9012","30212","羽灵神","9008","30208","漠少君","9002","30202","2","5840","5850"
"67","55","0","：以下谁是魔族男性角色呢？","杀破狼","9012","30212","剑侠客","9000","30200","神天兵","9007","30207","1","5840","5850"
"68","55","1","：以下谁是魔族男性角色呢？","虎头怪","9013","30213","巫蛮儿","9005","30205","飞燕女","9003","30203","1","5840","5850"
"69","55","2","：以下谁是魔族男性角色呢？","龙太子","9006","30206","巨魔王","9014","30214","神天兵","9007","30207","2","5840","5850"
"70","56","0","：以下谁是仙族女性角色呢？","飞燕女","9003","30203","玄彩娥","9011","30211","巫蛮儿","9005","30205","2","5840","5850"
"71","56","1","：以下谁是仙族女性角色呢？","舞天姬","9009","30209","骨精灵","9015","30215","飞燕女","9003","30203","1","5840","5850"
"72","56","2","：以下谁是仙族女性角色呢？","神天兵","9007","30207","羽灵神","9008","30208","舞天姬","9009","30209","3","5840","5850"
"73","57","0","：以下谁是人族女性角色？","飞燕女","9003","30203","狐美人","9016","30216","舞天姬","9009","30209","1","5840","5850"
"74","57","1","：以下谁是人族女性角色？","巨魔王","9014","30214","巫蛮儿","9005","30205","虎头怪","9013","30213","2","5840","5850"
"75","58","0","：以下谁是人族女性角色呢？","玄彩娥","9011","30211","剑侠客","9000","30200","巫蛮儿","9005","30205","3","5840","5850"
"76","58","1","：以下谁是人族女性角色呢？","漠少君","9002","30202","骨精灵","9015","30215","飞燕女","9003","30203","3","5840","5850"
"77","58","2","：以下谁是人族女性角色呢？","逍遥生","9001","30201","英女侠","9004","30204","狐美人","9016","30216","2","5840","5850"
