"id","服务器参数","客户端参数","备注","","",""
"298","1622","","生死战地图编号","","",""
"299","","0","跑马灯间隔（距离间隔）","","",""
"300","73","","生死战称谓","","",""
"301","","1421","魅惑法珠","","",""
"302","","1421"," ","","",""
"303","6541","","生死战奖励id","","",""
"304","","3000","宝箱开启读条时间毫秒","","",""
"305","","3","神兽提升最大次数","","",""
"306","","1851","公会副本最小id","","",""
"307","","1890","公会副本最大id","","",""
"308","","1613","公会副本退出id","","",""
"309","10","10","封测返还等级","","",""
"310","","2","藏宝图挖宝时间（秒）","","",""
"311","160","160","暗夜马戏团任性计次最大值","","",""
"312","","330104","金币道具id","","",""
"313","","330101","银币道具id","","",""
"314","","330102","经验道具id","","",""
"315","","330103","符石道具id","","",""
"316","","69","突破任务等级","","",""
"317","","89","突破任务等级","","",""
"318","","20","突破最高等级","","",""
"319","12","12","帮会进入限制最低等级","","",""
"320","","60","公会求助CD时间S","","",""
"321","140","140","VIP背包格数上限","","",""
"322","500","500","VIP仓库格数上限","","",""
"323","","1001","宠物必带id","","",""
"324","5730","","援助战斗奖励","","",""
"325","5731","","援助道具奖励","","",""
"326","70","","公会副本BOSS血量百分比","","",""
"327","15","","关注预售时间（秒）","","",""
"328","100","","预售列表上限数量","","",""
"329","","12","技能升级特效速度","","",""
"330","30000","30000","空间放置礼物银币","","",""
"331","100","100","空间最多放置礼物数量","","",""
"332","0","","举报消耗银币","","",""
"333","40","40","宝石可合成最高等级限制","","",""
"334","","999","空间开启等级","","",""
"335","30","30","暗夜马戏团可以帮助等级(服务器)","","",""
"336","","30","暗夜马戏团可以帮助等级（客户端）","","",""
"337","10","10","世界聊天活力消耗","","",""
"338","250","","摇钱树功能：小于250次，获得银币为100万+100*次数；大于等于250次获得500万银币","","",""
"339","500","","摇钱树被照料上限","","",""
"340","9999","","战斗增加好友度","","",""
"341","9999","9999","送花增加好友度","","",""
"342","9999","9999","好友度上限","","",""
"343","100","","好友度从战斗中的每日获得上限","","",""
"344","15","","每天空间最多获得礼物的数量","","",""
"345","","330105","vip经验道具id","","",""
"346","2","2","帮助低于自己至少10级的玩家1人完成日常副本可获得声望2点    代码中写死 需要移动到通用配置表","","",""
"347","2","2","帮助低于自己至少10级的玩家2-4人完成日常副本可获得声望5点。    代码中写死 需要移动到通用配置表","","",""
"348","2","2","帮助他人完成马戏团战斗可获得声望 每次战斗5点                                 代码中写死 需要移动到通用配置表","","",""
"349","2","2","帮助他人完成马戏团交宝可获得声望 每次战斗5点                                 代码中写死 需要移动到通用配置表","","",""
"350","2","2","帮助不高于自己5级的玩家，完成30级以上的剧情战斗可获得声望  每场战斗15点      代码中写死 需要移动到通用配置表","","",""
"351","50","50","APPSTORE点评等级限制","","",""
"352","10","","点卡服寄卖与求购总单数限制数量","","",""
"355","45","45","门派频道发言等级","","",""
"356","45","45","当前频道发言等级","","",""
"357","45","45","世界频道发言等级","","",""
"358","1000","1000","月卡资格天数上限","","",""
"359","1","1","新版本系统设置是否重置设置","","",""
"360","0","0","月卡价格","","",""
"361","30000","30000","组队申请需要的间隔时间  ","","",""
"362","10","10","点卡兑换所交易区刷新时间（秒）","","",""
"363","10000","10000","符石兑换金币/银币输入上限","","",""
"364","100000","100000","金币兑换银币输入上限","","",""
"365","20","20","红包税","","",""
"366","","http://ddsxs.top/","免费服QQ礼包超链接","","",""
"367","10","10","拍卖行银币税率（百分比）","","",""
"368","","340043","点卡服打工图标","","",""
"370","20","20","龙晶数量","","",""
"371","10","10","千叶数量","","",""
"400","340047","340047","公会战连胜宝箱","","",""
"401","60","60","公会战单人积分","","",""
"402","300","300","公会战攻击方扣除行动力","","",""
"403","1000","1000","公会战失败方扣除行动力","","",""
"404","15","15","公会战己方一人失败增加积分","","",""
"405","2400","2400","公会战初始给行动力","","",""
"406","1200","1200","公会战误点给行动力","","",""
"407","340045","340045","公会战胜利宝箱","","",""
"408","340046","340046","公会战庆贺宝箱","","",""
"409","5","5","公会战胜利宝箱数量","","",""
"410","1","1","公会战公会人数限制","","",""
"411","1","1","公会战公会等级限制","","",""
"412","1","1","公会战建立公会时间限制","","",""
"413","0","0","公会战入会时间限制","","",""
"414","50","50","公会战玩家等级限制","","",""
"415","60","60","公会战加积分每4分钟","","",""
"416","10","10","公会战每场战斗胜利奖励10DKP","","",""
"417","5","5","公会战每场战斗输奖励5DKP","","",""
"418","1","1","公会战50级以上至少30人","","",""
"419","119","119","公会战第一称号奖励","","",""
"420","500000","500000","公会战前50奖励银币","","",""
"421","60","60","招募等级上限","","",""
"422","10","10","招募每周领取次数限制","","",""
"423","60","60","招募好友等级限制","","",""
"424","4","4","我的招募的总数","","",""
"425","340048","","招募新手礼包","","",""
"426","","追梦西游2：时空","追梦西游2Cc.","","",""
"427","30","30","限制30级招募","","",""
"428","10","10","招募分享限制","","",""
"429","","我同意","转职同意","","",""
"430","","","","","",""
"431","99","99","转换职业后获得转换武器造型的机会","","",""
"432","3","3","转换武器后所转换武器的交易冷却时间","","",""
"433","10000000","10000000","转换武器造型每把武器花费银币","","",""
"434","60","60","转换武器武器的等级限制(>=)","","",""
"435","12","12","每次转换职业后转换宝石造型的机会","","",""
"436","1","1","转换宝石宝石等级限制(>=)","","",""
"437","2","","手机关联角色数量","","",""
"438","10","10","藏宝阁人民币最少数量","","",""
"439","100","100","藏宝阁金币最少数量","","",""
"440","10000","10000","藏宝阁人民币最多数量","","",""
"441","100000","100000","藏宝阁金币最多数量","","",""
"442","5","5","藏宝阁最多单数","","",""
"443","90","","存储最大交易记录","","",""
"444","5","5","安全锁密码错误次数","","",""
"445","24","","安全锁密码错误后冻结时间（小时）","","",""
"446","688","688","转职代币消耗（符石）","","",""
"447","50","50","转职开启服务器等级","","",""
"448","69","69","转职主角等级","","",""
"449","1","1","转职冷却时间","","",""
"450","60","60","手机绑定获取验证码CD(秒)","","",""
"451","","30","藏宝阁开启","","",""
"452","101","101","宠物最低价格101","","",""
"453","101","101","装备最低价格101","","",""
"454","40","40","珍品宠物的最低等级","","",""
"455","60","60","珍品装备的最低等级","","",""
"456","","消耗","转宝石消耗金钱","","",""
"457","","退还","转宝石退还金钱","","",""
"458","30","30","自动进入副本开启等级","","",""
"459","40","40","熊猫人","","",""
"460","337900","","熊猫人礼包1","","",""
"461","337900","","熊猫人礼包2","","",""
"462","337900","","熊猫人礼包3","","",""
"463","337900","","熊猫人礼包4","","",""
"464","337900","","熊猫人礼包5","","",""
"465","337900","","熊猫人礼包6","","",""
"466","20","20","冻结角色时间（分钟）","","",""
"467","100","100","交易所收取符石上限","","",""
"468","5960","","熊猫人普通奖励id","","",""
"469","5960","","熊猫人1星奖励id","","",""
"470","5960","","熊猫人2星奖励id","","",""
"471","5960","","熊猫人3星奖励id","","",""
"472","20","20","节日签到领奖等级","","",""
"487","","183707","瑟银宝箱id","","",""
"488","","337943","氪至尊夺宝令","","",""
"489","","183707","瑟银宝箱id","","",""
"490","","337943","氪至尊夺宝令","","",""
"491","","183707","瑟银宝箱id","","",""
"492","","337943","氪至尊夺宝令","","",""
"494","922004;1","","结婚赠送物品","","",""
"495","0.5","","经验奖励","","",""
"476","100000","100000","坐骑进阶金币，最高99W不可突破7位数","","",""
"501","10000","10000","宝石转换","","",""
"566","9999","9999","熔炼上限","","",""
"567","","","后台跳转","","",""
"996","","","后台跳转","","",""
"997","","","后台跳转","","",""
"998","","","后台跳转","","",""
"999","","","后台跳转","","",""
"600","5","","熔炼基础属性点数","","",""
"601","9999999","","熔炼基础属性上限","","",""
"602","5","","熔炼附加属性点数","","",""
"603","9999999","","熔炼附加属性上限","","",""
"607","50","","熔炼双蓝字失败几率","","",""
"608","40","","熔炼基础概率","","",""
"604","500096","500096","进阶道具","","",""
"605","1000","1000","卸除内丹金币数量","","",""
"606","650039","650039","奇经八脉道具","","",""
"629","260005","260005","星辰星石","","",""
"630","100000","100000","切换方案价格","","",""
"668","","1000","宠物专属技能标识-专用于神兽","","",""
"669","","星印","打造界面显示用","","",""
"670","259000","259000","月卡道具","","",""
"671","1","1","月卡道具数量","","",""
"800","","257002","三眼天珠","","",""
"801","","257003","六眼天珠","","",""
"802","","257004","九眼天珠","","",""
"803","","257005","锻造书•护腕","","",""
"804","","257006","锻造书•项圈","","",""
"805","","257007","锻造书•衣甲","","",""
"806","","257008","锻造书•护腕","","",""
"807","","257009","锻造书•项圈","","",""
"808","","257010","锻造书•衣甲","","",""
"809","","257011","锻造书•护腕","","",""
"810","","257012","锻造书•项圈","","",""
"811","","257013","锻造书•衣甲","","",""
"812","","257001","炼妖石","","",""
"813","500328,500329,500330,500331,500332,500333,500335,500336,500324,500325,500326,500327,900009,900010,900011,900012，,900013,900017","500328,500329,500330,500331,500332,500333,500335,500336,500324,500325,500326,500327,900009,900010,900011,900012，,900013,900017","咕噜咕噜","","",""
"814","580020","580020","增加技能格子","","",""
"815","4","4","使用万灵果次数","","",""
"507","7","7","龙盘对应职业转盘表编号","","",""
"508","111","111","时空宝盒货币类型","","",""
"509","3000","3000","时空宝盒抽奖消耗","","",""
"510","28","28","时空宝盒礼品格子数","","",""
"820","","1234","清包验证码1","","",""
"821","","清包","清包验证码2","","",""
"822","","2345","清包验证码3","","",""
"823","","4567","清包验证码4","","",""
"824","","7890","清包验证码5","","",""
"825","3000","3000","神兽养成成长上限","","",""
"826","3000","3000","合宠成长上限","","",""
"900","1000","1888","百宠仙池单次消耗","","",""
"901","8500","16880","百宠仙池十次消耗","","",""
"902","1","1","","","",""
"903","110","110","许愿商城货币类型","","",""
"904","5","5","","","",""
"905","1","1","珍兽是否可以跟珍兽合并?","","",""
"906","24","24","技能数量","","",""
"907","9","9","珍兽最大可以提升次数","","",""
"908","20","","一键使用最大次数限制","","",""
"909","500328,500329","","黄蓝胖子合宠单独判断的ID","","",""
"910","20","","黄蓝胖子合宠单独判断的使用的合成的出现几率","","",""
"655","705;706;707;708;709;710","705;706;707;708;711","挂机称谓","","",""
"656","3","","挂机脚本检测时间","","",""
"657","709;710","709;710","队长离线挂机称谓","","",""
"591","128000","128000","纹饰价格","","",""
"592","120000","120000","坐骑抽奖","","",""
"1001","111","111","时空宝盒货币类型","","",""
"1002","111","111","时空宝盒货币类型","","",""
"1003","111","111","时空宝盒货币类型","","",""
