"序号","页签类型","活动名","服务器id","需求等级","等级文本","未达等级到文本","上限等级","排序","参加一次红点即消失","开启时间","活动详情","活动要求","经验奖励","物品奖励","物品id","物品id2","物品id3","物品id4","物品id5","推荐度","标签图标","名字颜色","名字描边","图片id","活动周期","服务器发","是否显示最大次数","最大次数","无限制计次","重置次数类型","最大活跃度","每次获得活跃","限时活动对应id","进行中提示","参加类型","对应1","对应2","盈福经验","盈福经验奖励","盈福总次数","活动开关"
"102","2","捉鬼任务","0","40","达到40级","40级开启","300","11","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到40级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""在钟馗处领取捉鬼任务，组队人数越多，奖励越丰富，请带上1-2名方寸山、普陀山、阴曹地府、化生寺的玩家，捉鬼难度会大幅度降低。记得开启双倍点数，可以获得更多的奖励哟。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","254002","254003","927042","","","0","","ffc800c8","ff230023","1174","1,2,3,4,5,6,7","","1","2000","0","1","20","1","-1","开启","1","161501","","0","0","0","1"
"120","2","因缘绘副本","0","60","达到60级","60级开启","300","12","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到60级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""每日副本，每天可参加5次，越高级的副本奖励越丰厚"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","254003","254012","254015","254006","254008","0","","ffc800c8","ff2d1600","1844","1,2,3,4,5,6,7","","1","5","0","1","10","10","-1","开启","1","161511","","0","0","0","1"
"270","2","大雁塔妖魔","0","50","达到50级","50级开启","300","13","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天整点投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到50级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""击杀大雁塔内的妖魔，队伍人数越多和人物等级越高则基础奖励越高。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","254003","254002","927004","","","0","","ffc800c8","ff230023","1845","1,2,3,4,5,6,7","","1","50","0","1","0","0","-1","开启","1","500001","","0","0","0","1"
"271","2","封妖","0","50","达到50级","50级开启","300","14","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天整点投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到50级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""封印远古妖魔，每半小时会出现在"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""两界山"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""，击杀后可获得丰厚奖励，组队人数越多基础奖励则越高。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","254003","257002","257003","257004","927020","0","","ffc800c8","ff230023","1798","1,2,3,4,5,6,7","","1","20","0","1","10","1","-1","开启","5","","","0","0","0","1"
"272","2","二十八星宿","0","60","达到60级","60级开启","300","15","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天整点投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到60级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""难度挑战，每个整点，随机出现在"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""花果山"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""。"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""分为"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""星宿之影、二十八星宿、星宿之怒"" c=""FF00FF00"" f=""simhei-11""></T><T t=""三种难度。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","927014","927020","927023","927040","927041","0","","ffc800c8","ff230023","1841","1,2,3,4,5,6,7","","1","15","0","1","0","0","272","开启","0","","","0","0","0","1"
"273","2","十二元辰","0","60","达到60级","60级开启","300","16","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天整点投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到60级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""难度挑战，每个整点，随机出现在"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""两界山"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","927015","927020","927023","927040","927041","0","","ffc800c8","ff230023","1842","1,2,3,4,5,6,7","","1","10","0","1","0","0","273","开启","0","","","0","0","0","1"
"274","2","四方星官","0","60","达到60级","60级开启","300","17","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""每天10：00-22:00、每两小时投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到60级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""高难度挑战，每天固定时间点随机出现在"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""大雪山"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","927045","927003","927004","927020","927023","0","","ffc800c8","ff230023","1843","1,2,3,4,5,6,7","","1","8","0","1","0","0","274","开启","0","","","0","0","0","1"
"275","2","九曜星官","0","60","达到60级","60级开启","300","18","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""每天10：00-22:00、每两小时投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到60级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""高难度挑战，每天固定时间点随机出现在"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""大雪山"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","927045","927003","927004","927020","927023","0","","ffc800c8","ff230023","1834","1,2,3,4,5,6,7","","1","7","0","1","0","0","275","开启","0","","","0","0","0","1"
"313","2","九幽地宫","0","50","达到50级","50级开启","300","19","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到50级、九幽首领需69级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""九幽地宫内鬼物无数，击杀可获得高额经验奖励、每小时刷新4只"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""九幽首领"" c=""FF00FF00"" f=""simhei-11""></T><T t=""击杀可获得特殊奖励。"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""特殊说明： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""九幽鬼物掉落的物品是"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""绑定"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""的，九幽首领掉落的则"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""不绑定"" c=""FFFFFF00"" f=""simhei-11""></T><E e=""151""></E><T t=""（队伍分配均不绑定）"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","254003","254002","927013","927023","260003","0","","ffc800c8","ff230023","1846","1,2,3,4,5,6,7","","1","10","0","1","0","1","-1","开启","1","600001","","0","0","0","1"
"310","1","福利怪","0","50","达到50级","50级开启","300","1","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""全天整点投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到50级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""福利怪，每天固定时间点随机出现在"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""长安城福利怪场地"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""，击杀后可获得丰厚奖励，组队人数越多基础奖励则越高。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","254003","927013","927025","260003","927003","0","","ffc800c8","ff230023","1798","1,2,3,4,5,6,7","","1","20","0","1","0","1","-1","开启","1","500006","","0","0","0","1"
"300","1","挑战雁塔11层","0","80","达到80级","达到80级","300","2","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""每天00：00-23:59、每一小时投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到80级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""大雁塔11镇守妖，高难度挑战，每天固定时间点出现在大雁塔11层"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""击杀可以获得丰富奖励"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","927006","927019","927022","927027","927028","0","","ffc800c8","ff230023","1845","1,2,3,4,5,6,7","","1","10","0","1","0","0","300","开启","5","","","0","0","0","1"
"301","1","挑战雁塔12层","0","80","达到80级","达到80级","300","3","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""每天00：00-23:59、每一小时投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到80级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""大雁塔12镇守妖，高难度挑战，每天固定时间点出现在大雁塔12层"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""击杀可以获得丰富奖励"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","927006","927019","927022","927027","927028","0","","ffc800c8","ff230023","1845","1,2,3,4,5,6,7","","1","10","0","1","0","0","301","开启","5","","","0","0","0","1"
"305","1","挑战雁塔13层","0","80","达到80级","达到80级","300","4","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""每天00：00-23:59、每一小时投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到80级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""大雁塔13镇守妖，高难度挑战，每天固定时间点出现在大雁塔13层"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""击杀可以获得丰富奖励"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","927007","927019","927022","927029","927030","0","","ffc800c8","ff230023","1845","1,2,3,4,5,6,7","","1","10","0","1","0","0","305","开启","5","","","0","0","0","1"
"306","1","挑战雁塔14层","0","80","达到80级","达到80级","300","5","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""每天00：00-23:59、每一小时投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到80级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""大雁塔14镇守妖，高难度挑战，每天固定时间点出现在大雁塔14层"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""击杀可以获得丰富奖励"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","927007","927019","927022","927029","927030","0","","ffc800c8","ff230023","1845","1,2,3,4,5,6,7","","1","10","0","1","0","0","306","开启","5","","","0","0","0","1"
"307","1","挑战雁塔15层","0","80","达到80级","达到80级","300","6","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""每天00：00-23:59、每一小时投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到80级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""大雁塔15镇守妖，高难度挑战，每天固定时间点出现在大雁塔15层"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""击杀可以获得丰富奖励"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","927008","927019","927022","927030","927031","0","","ffc800c8","ff230023","1845","1,2,3,4,5,6,7","","1","10","0","1","0","0","307","开启","5","","","0","0","0","1"
"308","1","挑战雁塔16层","0","80","达到80级","达到80级","300","7","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""每天00：00-23:59、每一小时投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到80级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""大雁塔16镇守妖，高难度挑战，每天固定时间点出现在大雁塔16层"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""击杀可以获得丰富奖励"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","927008","927019","927022","927030","927031","0","","ffc800c8","ff230023","1845","1,2,3,4,5,6,7","","1","10","0","1","0","0","308","开启","5","","","0","0","0","1"
"309","1","挑战雁塔17层","0","80","达到80级","达到80级","300","8","1","全天","<T t=""活动时间： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""每天00：00-23:59、每一小时投放"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务形式： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""组队任务"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""等级限制： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""达到80级"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><T t=""任务描述： "" c=""FFC28E54"" f=""simhei-11""></T><T t=""大雁塔17镇守妖，高难度挑战，每天固定时间点出现在大雁塔17层"" c=""FFFFF2DF"" f=""simhei-11""></T><T t=""击杀可以获得丰富奖励"" c=""FFFFFF00"" f=""simhei-11""></T><T t=""。"" c=""FFFFF2DF"" f=""simhei-11""></T>","组队任务","","","927009","927019","927022","927017","927032","0","","ffc800c8","ff230023","1845","1,2,3,4,5,6,7","","1","10","0","1","0","0","309","开启","5","","","0","0","0","1"
