编号,类型,显示名,道具名颜色,颜色品质,造型编号,单位,等级,需求等级,排序ID,可否摧毁,可否摆摊上架,点卡服可否摆摊上架,默认有效时间,可否卖店,是否绑定,是否拾取绑定,是否下线消失,战斗内使用对象,战斗内使用者对象,战斗外使用对象,使用后是否消耗,最大堆叠数量,最大拥有数量,删除后服务器保留天数,珍品找回消耗,描述,功能说明,售卖商店类型,售卖NPCID,道具使用方法,道具类名,道具类名1,说明描述,增加宠物寿命,效果公式,增加当前生命,增加当前生命上限,增加当前真气,属性值1,属性值2,属性值3,属性值4,属性值5,属性值6,属性值7,功能枚举,使用按钮功能类型,使用按钮功能参数1,使用按钮功能参数2,使用按钮功能参数3,是否有品质,需求烹饪等级,烹饪权重,需求炼药等级,炼药权重,炼药材料附加权重,获取途径1,获取途径2,获取途径3,获取途径4,获取途径5,获取途径6,获取途径7,获取途径8,获取途径9,是否珍品,摆摊冻结时间,是否稀有,寻路特殊处理,特殊用途1,特殊用途2,特殊用途3,特殊用途4,特殊用途5
320006,290,长寿面,ff6ddcf6,1,1193,个,0,1,5901,true,1,1,0,0,false,false,false,0,0,3,1,1,0,0,,"<T t=""一碗热气腾腾的长寿面条。"" ></T><B/><T t=""功效：恢复宠物寿命=品质*2+50。"" ></T>",无,4,161506,使用方法：战斗外使用可以回复气血,,,功效：恢复宠物寿命$parameter1$点,0,quality*2+50,0,0,0,200,,,,,,,0,,20,,,1,50,275,,,,,,,,,,,,,,30,,,,,,,
320007,290,蛇胆酒,ff6ddcf6,1,1223,个,0,1,5900,true,1,1,0,0,false,false,false,1,1,0,1,1,0,0,,"<T t=""味道像蛇胆一样苦的酒，有药性。"" ></T><B/><T t=""功效：恢复愤怒值=品质*1，降低双防10%状态2回合。"" ></T><B/><T t=""只能自己对自己使用。"" ></T>",无,4,161506,使用方法：战斗外使用可以回复气血,,,功效：恢复愤怒值$parameter1$点，降低双防10%状态2回合,0,quality*1,0,0,0,200,,,,,,,0,,20,,,1,60,235,,,,,,,,,,,,,,30,,,,,,,
320100,291,金创药,ff6ddcf6,1,1216,个,0,1,5805,true,0,0,0,0,false,false,false,4127,3,3,1,99,0,0,,"<T t=""用云南白药制成的疗伤药，具有补充气血的作用。"" ></T><B/><T t=""功效：战斗中使用恢复气血400点，或者直接使用增加500点储备气血。"" ></T>",恢复气血400点,1,161506,使用方法：战斗外使用可以回复气血,,,功效：战斗中使用恢复气血400点，或者直接使用增加500点储备气血,0,,0,0,0,200,,,,,,,0,,,,,0,,,1,400,,,,,,,,,,,,,,,,,,,
320101,291,金香玉,ff6ddcf6,1,1195,个,0,1,5804,true,1,1,0,0,false,false,false,4127,3,3,1,1,0,0,,"<T t=""仙子仙女常用的药物，除了可以养颜之外，服用后具有恢复气血的作用。"" ></T>",无,4,161506,使用方法：战斗外使用可以回复气血,,,功效：恢复气血（或气血储备）$parameter1$点,0,quality*35+300,0,0,0,200,,,,,,,0,,,,,1,,,1,25,,,,,,,,,,,,30,,,,,,,
320102,291,定神香,ff6ddcf6,1,1211,个,0,1,5803,true,1,1,0,0,false,false,false,4127,3,3,1,1,0,0,,"<T t=""有定神凝气的功效，名贵药物，精心炼成的丹药，具有补充法力的功效。"" ></T>",无,4,161506,使用方法：战斗外使用可以回复气血,,,功效：恢复魔法（或魔法储备）$parameter1$点,0,quality*15+50,0,0,0,200,,,,,,,0,,,,,1,,,1,25,,,,,,,,,,,,30,,,,,,,
320103,291,五龙丹,ff6ddcf6,1,1209,个,0,1,5802,true,1,1,0,0,false,false,false,4127,3,0,1,1,0,0,,"<T t=""来自东海龙宫的珍贵药品，是用五颗龙珠凝炼的，具有补充气血和解除封类异常状态的功效。若未在封类异常状态服用，会进入混乱。"" ></T>",无,4,161506,使用方法：战斗外使用可以回复气血,,,功效：解除控制类异常状态(恐惧和眩晕除外），回复气血$parameter1$点,0,quality*3,0,0,0,200,,,,,,,0,,,,,1,,,1,25,,,,,,,,,,,,30,,,,,,,
320104,291,九转回魂丹,ff6ddcf6,1,1214,个,0,1,5801,true,1,1,0,0,false,false,false,4117,3,0,1,1,0,0,,"<T t=""炼过九转的仙丹，用极为珍贵而特殊的药物制成，具有补充气血、疗伤和起死回生的功效。"" ></T>",无,4,161506,使用方法：战斗外使用可以回复气血,,,功效：复活、恢复气血$parameter1$点,0,quality*15+200,0,0,0,200,,,,,,,0,,,,,1,,,1,25,,,,,,,,,,,,30,,,,,,,
320105,291,佛光舍利子,ff6ddcf6,1,1192,个,0,1,5800,true,0,0,0,0,false,false,false,4117,3,0,1,99,0,0,,"<T t=""佛的舍利子具有补充气血、疗伤和起死回生的功效。"" ></T><B/><T t=""功效：复活且回复100点气血。"" ></T>",复活并恢复气血,1,161506,使用方法：战斗外使用可以回复气血,,,功效：复活且回复100点气血,0,,0,0,0,200,,,,,,,0,,,,,0,,,1,13,,,,,,,,,,,,,,,,,,,
320106,291,原形丹,ff6ddcf6,1,3215,个,0,1,5806,true,1,1,0,0,false,false,false,480,3,0,1,99,0,0,,"<T t=""使用后解除目标隐身状态，并对目标造成少量伤害。"" ></T><B/><T t=""功效：解除目标隐身状态，造成伤害=品质*3。"" ></T>",无,4,161506,使用方法：使用显形,,,功效：解除隐身状态，对目标造成$parameter1$点伤害,0,quality*3,0,0,0,200,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,30,,,,,,,
320107,291,驱散护甲丹,ff6ddcf6,1,3210,个,0,1,5806,true,1,1,0,0,false,false,false,480,3,0,1,99,0,0,,"<T t=""使用后驱散对方所有护甲。"" ></T><B/><T t=""功效：驱散对方所有护甲。"" ></T>",无,4,161506,使用方法：驱散护甲,,,功效：驱散护甲,0,,0,0,0,200,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,30,,,,,,,
320108,291,无敌驱散丹,ff6ddcf6,1,3216,个,0,1,5806,true,1,1,0,0,false,false,false,480,3,0,1,99,0,0,,"<T t=""使用后解除目标无敌状态。"" ></T><B/><T t=""功效：解除目标无敌状态。"" ></T>",无,4,161506,使用方法：去除无敌,,,功效：驱散无敌,0,,0,0,0,200,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,30,,,,,,,
320109,291,无敌大力丸,ff6ddcf6,1,3218,个,0,1,5806,true,1,1,0,0,false,false,false,4127,3,0,1,99,0,0,,"<T t=""使用后获得5人无敌状态。"" ></T><B/><T t=""功效：5人获得无敌状态，持续2回合。"" ></T>",无,4,161506,使用方法：获得无敌,,,功效：获得无敌,0,,0,0,0,200,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,30,,,,,,,
320150,275,血色茶花,ff6ddcf6,1,1200,个,0,1,5814,true,0,0,0,0,false,false,false,4127,3,3,1,99,0,0,,"<T t=""出自南方的野生茶花。"" ></T><B/><T t=""功效：可恢复200点气血(战斗外使用增加等量气血储备)"" ></T>",恢复气血200点,1,161502,使用方法：战斗外使用可以回复气血,,,恢复气血200点,0,,0,0,0,200,,,,,,,0,,,,,0,,,,,15,,,,,,,,,,,,,,,,,,
320151,275,鹿茸,ff6ddcf6,1,1222,个,0,1,5813,true,0,0,0,0,false,false,false,4127,3,3,1,99,0,0,,"<T t=""南极仙鹿之茸。"" ></T><B/><T t=""功效：可恢复150点气血(战斗外使用增加等量气血储备)"" ></T>",恢复气血150点,1,161502,使用方法：战斗外使用可以回复气血,,,恢复气血150点,0,,0,0,0,200,,,,,,,0,,,,,0,,,,,15,,,,,,,,,,,,,,,,,,
320152,275,仙狐诞,ff6ddcf6,1,1207,个,0,1,5812,true,0,0,0,0,false,false,false,4127,3,3,1,99,0,0,,"<T t=""仙狐的涎水制成的药草。"" ></T><B/><T t=""功效：可恢复150点魔法(战斗外使用增加等量魔法储备)"" ></T>",恢复魔法150点,1,161502,使用方法：战斗外使用可以回复气血,,,恢复魔法150点,0,,0,0,0,200,,,,,,,0,,,,,0,,,,,15,,,,,,,,,,,,,,,,,,
320153,275,麝香,ff6ddcf6,1,1208,个,0,1,5811,true,0,0,0,0,false,false,false,4127,3,3,1,99,0,0,,"<T t=""出自野生雄麝鹿。"" ></T><B/><T t=""功效：可恢复100点魔法(战斗外使用增加等量魔法储备)"" ></T>",恢复魔法100点,1,161502,使用方法：战斗外使用可以回复气血,,,恢复魔法100点,0,,0,0,0,200,,,,,,,0,,,,,0,,,,,15,,,,,,,,,,,,,,,,,,
320154,323,火风之晴,ff6ddcf6,1,1213,个,0,1,5807,true,0,0,0,0,false,false,false,4127,3,3,1,99,0,0,,"<T t=""凤凰的眼睛。"" ></T><B/><T t=""功效：可恢复300点气血(战斗外使用增加等量气血储备)"" ></T>",恢复气血300点,1,161502,使用方法：战斗外使用可以回复气血,,,恢复气血300点,0,,0,0,0,200,,,,,,,0,,,,,0,,,,,30,,,,,,,,,,,,,,,,,,
320155,323,凤凰尾,ff6ddcf6,1,1204,个,0,1,5808,true,0,0,0,0,false,false,false,4127,3,3,1,99,0,0,,"<T t=""凤凰尾部的羽毛。"" ></T><B/><T t=""功效：可恢复250点气血(战斗外使用增加等量气血储备)"" ></T>",恢复气血250点,1,161502,使用方法：战斗外使用可以回复气血,,,恢复气血250点,0,,0,0,0,200,,,,,,,0,,,,,0,,,,,30,,,,,,,,,,,,,,,,,,
320156,323,孔雀红,ff6ddcf6,1,1163,个,0,1,5809,true,0,0,0,0,false,false,false,4127,3,3,1,99,0,0,,"<T t=""用孔雀的精华制成的药品。"" ></T><B/><T t=""功效：可恢复150点魔法(战斗外使用增加等量魔法储备)"" ></T>",恢复魔法150点,1,161502,使用方法：战斗外使用可以回复气血,,,恢复魔法150点,0,,0,0,0,200,,,,,,,0,,,,,0,,,,,30,,,,,,,,,,,,,,,,,,
320157,323,血珊瑚,ff6ddcf6,1,1215,个,0,1,5810,true,0,0,0,0,false,false,false,4127,3,3,1,99,0,0,,"<T t=""东海海底的千年珊瑚。"" ></T><B/><T t=""功效：可恢复100点魔法(战斗外使用增加等量魔法储备)"" ></T>",恢复魔法100点,1,161502,使用方法：战斗外使用可以回复气血,,,恢复魔法100点,0,,0,0,0,200,,,,,,,0,,,,,0,,,,,30,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
