序号,页签类型,活动名,服务器id,需求等级,等级文本,未达等级到文本,上限等级,排序,参加一次红点即消失,开启时间,活动详情,活动要求,经验奖励,物品奖励,物品id,物品id2,物品id3,物品id4,物品id5,推荐度,标签图标,名字颜色,名字描边,图片id,活动周期,服务器发,是否显示最大次数,最大次数,无限制计次,重置次数类型,最大活跃度,每次获得活跃,限时活动对应id,进行中提示,参加类型,对应1,对应2,盈福经验,盈福经验奖励,盈福总次数,活动开关
123,1,分享,0,1,达到1级,1级开启,155,11,0,每周四,将你在游戏中获得的快乐分享给朋友,单人,经验,,340039,336010,,,,0,set:jiangli image:tuijian,fff08723,ff2d1600,1233,4,,1,1,0,2,0,0,-1,,2,74,,0,0,0,1
208,3,冠军试炼,0,40,达到40级,40级开启,155,7,1,"周1,5晚上21:00-21:40","组队进入冠军的试炼场，速度最快的队伍将获得额外的奖励。可在紫罗兰（141,130）银色北伐战略官处参加活动。",3-5人组队,,,336012,331301,336008,320154,35021,0,set:jiangli image:tuijian,ffc800c8,ff230023,1184,"1,5",,1,-1,1,1,15,1,208,开启,1,161515,,1,5961,15,1
213,3,MT人文探索,0,30,达到30级,30级开启,155,1,0,11:00-24:00,"了解MT的世界,并有丰厚的奖励。",单人,,,334101,360000,,,,0,set:jiangli image:tuijian,ffc800c8,ff230023,1001,"1,2,3,4,5,6,7",,1,10,0,1,10,1,213,开启,9,,,0,0,0,1
218,3,公会副本,0,40,达到40级,40级开启,155,6,1,周日晚上19:00-20:00,勇闯公会副本，层数越高奖励越丰富，可以获得越高的挂机经验。,3-5人组队,,,331405,331350,336013,336012,336002,0,set:jiangli image:tuijian,ffc800c8,ff230023,1168,7,,1,-1,0,1,10,10,218,开启,8,161303,,0,0,0,1
214,3,智慧试炼初赛,0,30,达到30级,30级开启,155,2,0,周1至周5下午17:00-24:00,"智慧试炼答题活动,考验游戏相关知识是否丰富,可获得经验和金钱奖励。",单人,大量经验,丰厚水晶、宝石奖励,334101,360000,,,,0,set:jiangli image:tuijian,ffc800c8,ff230023,1179,"1,2,3,4,5",,1,20,0,1,10,0.5,214,开启,10,,,0,0,0,1
215,3,智慧试炼复赛,0,30,达到30级,30级开启,155,3,0,周6下午17:00-21:00,"智慧试炼答题活动,考验游戏相关知识是否丰富,可获得经验和金钱奖励。",单人,大量经验,丰厚水晶、宝石奖励,334101,360000,,,,0,set:jiangli image:tuijian,ffc800c8,ff230023,1179,6,,1,20,0,1,10,0.5,215,开启,11,,,0,0,0,1
216,3,智慧试炼决赛,0,30,达到30级,30级开启,155,4,0,周6下午17:00-21:00,"通过智慧试炼复赛获得参与资格后即可参加,有机会获得称谓奖励。",单人,大量经验,丰厚水晶、宝石奖励,339103,339001,311001,331350,331301,0,set:jiangli image:tuijian,ffc800c8,ff230023,1179,6,,1,10,0,1,10,1,216,需要参赛资格,12,161522,,0,0,0,1
240,3,1V1竞技场,0,40,达到40级,40级开启,155,8,1,"周1,5晚上22:00-22:40",单人携带伙伴的PK活动，看看谁才是绝世英雄。,单人,,,336009,336008,310100,340002,340001,0,set:jiangli image:tuijian,ffc800c8,ff230023,1189,"1,5",,1,10,0,1,10,1,240,开启,1,161518,,1,6082,10,1
241,3,3V3竞技场,0,45,达到45级,45级开启,155,9,1,"周3,6晚上21:00-22:00",厌倦了无休止的打怪，想来点刺激的？3v3竞技场会满足你的要求！谁强谁弱用实力来说话，你不是一个人在战斗！,3-5人组队,,,336009,336008,310100,340002,340001,0,set:jiangli image:tuijian,ffc800c8,ff230023,1189,"3,6",,1,15,0,1,15,1,241,开启,1,161519,,1,6173,15,1
242,3,奥山竞技场,0,50,达到50级,50级开启,155,10,1,周日21:00准备；21:30-23:00准时开始。,组队参加奥山战场，争夺最强队伍！,3-5人组队,,,336009,336008,310100,340002,340001,0,set:jiangli image:tuijian,ffc800c8,ff230023,1189,7,,1,-1,0,1,20,2,242,开启,1,161520,,1,6257,2,1
104,1,考古任务,0,30,达到30级,30级开启,155,7,0,全天,听说有一些古老的宝图在盗贼之间流传，去抓捕盗贼，夺得宝图寻找宝藏吧。,单人,大量经验,丰厚水晶、宝石奖励,331300,,,,,0,set:jiangli image:tuijian,ffc800c8,ff230023,1155,"1,2,3,4,5,6,7",,1,10,0,1,0,0,-1,,1,161532,,0,0,0,1
107,1,悬赏任务,0,30,达到30级,30级开启,155,7,0,全天,听说地精都是有钱但却十分吝啬的家伙，但是只要你接受了他们的雇佣，交易还是童叟无欺的。,单人,大量经验,丰厚水晶、宝石奖励,336000,,,,,0,set:jiangli image:tuijian,ffc800c8,ff230023,1158,"1,2,3,4,5,6,7",,1,10,0,1,0,0,-1,,1,161533,,0,0,0,1
281,3,公会战,0,50,达到50级,50级开启,155,12,1,"周2,4晚上20:30-22:00",为了公会而战斗,组队任务,,,336009,336008,310100,340002,340001,0,set:jiangli image:tuijian,ffc800c8,ff230023,1189,"2,4",,1,-1,0,1,10,1,281,开启,1,161531,,0,0,0,1
