编号,刷新组,注释（策划备注）,等级下限,等级上限,刷新时系统提示信息编号,刷新列表,刷新列表数量,每种NPC数量,刷新上限总数量,刷新控制,刷新控制总数量,数量分配方式,刷新场景,刷新场景个数,场景中数量分配方式,怪物存在时间,击杀奖励个数,奖励ID,奖励ID2,匹配奖励方式,分级奖励,奖励个数超过提示编号,是否组队,组队人数要求,需求等级下限,需求等级上限,次数,观战,消失,对应活动表ID,匹配秒数,是否匹配,次数击杀,分级次数,延迟秒数,延迟刷怪提示
23,10,召唤,1,300,,250015,1,1,99,1,99,1,4008@1,1,1,3600,999,7006,,2,,180024,1,1,1,300,1,1,0,,,,,,,
24,11,召唤,1,300,,250016,1,1,99,1,99,1,4009@1,1,1,3600,999,7008,,2,,180024,1,1,1,300,1,1,0,,,,,,,
25,12,召唤,1,300,,250017,1,1,99,1,99,1,4010@1,1,1,3600,999,7010,,2,,180024,1,1,1,300,1,1,0,,,,,,,
26,13,召唤,1,300,,250018,1,1,99,1,99,1,4011@1,1,1,3600,999,7012,,2,,180024,1,1,1,300,1,1,0,,,,,,,
27,14,召唤,1,300,,250019,1,1,99,1,99,1,4012@1,1,1,3600,999,7014,,2,,180024,1,1,1,300,1,1,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
