id,特效路径,策划备注
10165,geffect/sprite/teamleader,
10169,geffect/sprite/watchbattle,
10172,geffect/ui/sysinfo/sysinfobottom,
10173,geffect/ui/sysinfo/sysinfoin,
10174,geffect/ui/sysinfo/sysinfoout,
10210,geffect/ui/rightclickitem,
10263,geffect/map/huabanground,
10264,geffect/sprite/autowalking,
10280,geffect/shengji/xiaoshengji,
10281,geffect/shengji/xiaoshengji,
10282,geffect/shengji/xiaoshengjilizi,
10295,geffect/shengji/shengji10,
10300,geffect/sprite/targetring,
10301,geffect/ui/shouzhi/5_1,
10302,geffect/ui/shouzhi/5_2,
10303,geffect/ui/shouzhi/5_4,
10304,geffect/ui/shouzhi/5_3,
10310,geffect/ui/fashugongji,
10311,geffect/ui/sudu,
10312,geffect/ui/wulifangyu,
10313,geffect/ui/wuligongji,
10314,geffect/ui/mofa2,
10315,geffect/ui/shengming,
10329,geffect/ui/green0,
10330,geffect/ui/green1,
10331,geffect/ui/green2,
10332,geffect/ui/green3,
10333,geffect/ui/green4,
10334,geffect/ui/green5,
10335,geffect/ui/green6,
10336,geffect/ui/green7,
10337,geffect/ui/green8,
10338,geffect/ui/green9,
10339,geffect/ui/green+,
10340,geffect/ui/red0,
10341,geffect/ui/red1,
10342,geffect/ui/red2,
10343,geffect/ui/red3,
10344,geffect/ui/red4,
10345,geffect/ui/red5,
10346,geffect/ui/red6,
10347,geffect/ui/red7,
10348,geffect/ui/red8,
10349,geffect/ui/red9,
10350,geffect/ui/red+,
10367,geffect/number/baoji,暴击
10368,geffect/number/shanbi,
10369,geffect/ui/task/taskover,
10370,geffect/ui/task/taskstart,
10374,geffect/ui/additem,技能学习闪烁框
10404,geffect/ui/yanhua/yanhua_01,
10405,geffect/ui/yanhua/yanhua_02,
10406,geffect/ui/yanhua/yanhua_03,
10407,geffect/ui/yanhua/yanhua_04,
10408,geffect/ui/yanhua/yanhua_05,
10409,geffect/ui/yanhua/yanhua,
10451,geffect/map/huabanground,
11001,geffect/number/baoji2,法术暴击特效
11002,geffect/number/baoji3,治疗暴击特效
11004,geffect/sprite/targetring,宠物洗练成功模型出特效
11005,geffect/ui/mt_hechong/mt_hechong,宠物合成时特效
11006,geffect/number/tuimo,打蓝
11008,geffect/number/xishou,吸收冒字
11011,geffect/skill/mt_xixue/mt_xixue,吸血特效
11012,geffect/number/shenyou,神佑特效
11013,geffect/skill/buff/hunluan,捕捉特效
11014,geffect/number/gedang,格挡特效
11015,geffect/number/fangyu,防御特效
11016,geffect/ui/fight/xingdong_shibai,技能未释放出特效
11017,geffect/xuexijineng,技能升级
11018,particle/psl/guidepoint,技能升级移动
11019,geffect/ui/xiaoditu/xiaoditu,小地图特效
11021,geffect/ui/wulifangyu2,冒字特效
11022,geffect/ui/wuligongji2,冒字特效
11023,geffect/ui/sudu2,冒字特效
11024,geffect/ui/fashufangyu,冒字特效
11025,geffect/ui/zhiliaoqiangdu2,冒字特效
11026,geffect/ui/zhiliaoqiangdu,冒字特效
11027,geffect/ui/shengming2,冒字特效
11028,geffect/ui/mofa,冒字特效
11029,geffect/ui/red-,冒字特效
11030,geffect/ui/kongzhimingzhong,冒字特效
11031,geffect/ui/kongzhimingzhong2,冒字特效
11032,geffect/ui/kongzhikangxing,冒字特效
11033,geffect/ui/kongzhikangxing1,冒字特效
11034,geffect/ui/fashugongji2,冒字特效
11035,geffect/ui/fashufangyu2,冒字特效
11040,geffect/xuexijineng,附魔成功特效
11041,geffect/ui/shouzhi/a4_1,引导出现前的屏幕提醒特效_左上
11042,geffect/ui/shouzhi/a1_1,引导出现前的屏幕提醒特效_左下
11043,geffect/ui/shouzhi/a3_1,引导出现前的屏幕提醒特效_右上
11044,geffect/ui/shouzhi/a2_1,引导出现前的屏幕提醒特效_右下
11045,geffect/skill/acc/zhaohuan,变模型特效
11046,geffect/skill/acc/zhaohuan,召唤特效
11047,geffect/ui/mt_shengji/mt_shengji,人物升级特效
11048,geffect/ui/mt_chongwuxilian/mt_chongwuxilian,宠物洗练特效
11049,geffect/ui/mt_gensui,跟随npc特效
11050,geffect/ui/mt_nuqi/mt_nuqi,连击点增加特效
11051,geffect/number/jianshe,溅射
11052,geffect/number/fanzheng,反震
11053,geffect/number/fanji,反击
11054,geffect/number/zhuiji,追击
11055,,物理连击/废弃
11056,,法术连击/废弃
11060,geffect/number/xishou,备用
11061,geffect/ui/mt_zhuangbeiyanse/vip11,装备品质特效vip称号
11062,geffect/ui/mt_zhuangbeiyanse/vip12,装备品质特效vip称号
11063,geffect/ui/mt_zhuangbeiyanse/vip13,装备品质特效vip称号
11064,geffect/ui/mt_duanxian/mt_duanxian,断线重连
11065,geffect/ui/mt_xuanzhongkuang/mt_xuanzhongkuang,选中框特效
11066,geffect/ui/mt_xiaozhushou/mt_xiaozhushou_quan,圆形引导特效
11067,geffect/ui/yanhua/yanhua,烟花特效
11068,geffect/ui/mt_xiaozhushou/mt_xiaozhushou_shou,引导手势特效
11069,particle/psl/ui/tuowei_lan,蓝色吃血特效
11070,geffect/ui/rightclickitem,引导提醒特效
11071,geffect/skill/mt_xinlingzhiyan/mt_xinlingzhiyan_shang,180131祝福BUFF
11072,geffect/ui/yuyin/yuyin,聊天语音播放动画
11073,geffect/skill/mt_xinlingzhiyan/mt_xinlingzhiyan_xia,180131祝福BUFF
11074,particle/psl/guidepoint_3,
11075,geffect/ui/yanhua/yanhua,红包
11076,particle/psl/guidepoint_3,
11077,geffect/ui/mt_fuyuanbaox,福源宝箱道具动态边框
11078,geffect/ui/yanhua/yanhua,福源宝箱开启烟花
11079,geffect/ui/mt_xuetiao_da/mt_xuetiao_da,大血条
11080,geffect/ui/xuetiao/xuetiao,小血条
11081,geffect/ui/mt_loading/mt_loading,
11082,geffect/ui/mt_zhuangbeiyanse/vip14,装备品质特效vip称号
11083,geffect/ui/mt_zhuangbeiyanse/vip15,装备品质特效vip称号
11084,geffect/ui/mt_zhuangbeiyanse/vip16,装备品质特效vip称号
11085,geffect/ui/mt_zhuangbeiyanse/vip17,装备品质特效vip称号
11086,geffect/ui/mt_zhuangbeiyanse/vip18,装备品质特效vip称号
11087,geffect/ui/mt_zhuangbeiyanse/vip19,装备品质特效vip称号
11088,geffect/ui/mt_zhuangbeiyanse/vip20,装备品质特效vip称号
11089,geffect/ui/mt_zhuangbeiyanse/vip21,装备品质特效vip称号
11090,geffect/ui/mt_zhuangbeiyanse/vip22,装备品质特效vip称号
11091,geffect/ui/mt_zhuangbeiyanse/vip23,装备品质特效vip称号
11092,geffect/ui/mt_zhuangbeiyanse/vip24,装备品质特效vip称号
11093,geffect/ui/mt_zhuangbeiyanse/vip25,装备品质特效vip称号
11094,geffect/ui/mt_zhuangbeiyanse/vip26,装备品质特效vip称号
11095,geffect/ui/mt_zhuangbeiyanse/vip27,装备品质特效vip称号
11096,geffect/ui/mt_zhuangbeiyanse/vip28,装备品质特效vip称号
11097,geffect/ui/mt_zhuangbeiyanse/vip29,装备品质特效vip称号
11098,geffect/ui/mt_zhuangbeiyanse/vip30,装备品质特效vip称号
11099,geffect/ui/zhuangbei/lingbo5,装备品质特效vip称号
11100,geffect/ui/additemcw,宠物合宠炼妖按钮标识
11101,geffect/ui/mt_shengqishi/mt_fabaonizhuan,法宝逆转特效
11102,geffect/ui/mt_shengqishi/mt_fabaojinjiecg,法宝进阶特效
11103,geffect/ui/mt_shengqishi/cc_zuoqixltexiao,坐骑品质洗炼
11104,particle/psl/guidepointc,选中框特效-紫色
11105,geffect/ui/ccnewani/cc_yuanquan1,选中框特效-紫色
11106,particle/psl/ccguanxiao1,散发粒子
11107,geffect/skill/acc/zhaohuan1,召唤特效1
12000,geffect/ui/ccziti/lv-01,气血上限
12001,geffect/ui/ccziti/lv-02,魔法上限
12002,geffect/ui/ccziti/lv-03,物理伤害
12003,geffect/ui/ccziti/lv-04,物理防御
12004,geffect/ui/ccziti/lv-05,法术伤害
12005,geffect/ui/ccziti/lv-06,法术防御
12006,geffect/ui/ccziti/lv-07,治疗强度
12007,geffect/ui/ccziti/lv-08,封印命中
12008,geffect/ui/ccziti/lv-09,封印抵抗
12009,geffect/ui/ccziti/lv-10,速度
12010,geffect/ui/ccziti/lv-11,物理暴击
12011,geffect/ui/ccziti/lv-12,物理抗暴
12012,geffect/ui/ccziti/lv-13,法术暴击
12013,geffect/ui/ccziti/lv-14,法术抗暴
12014,geffect/ui/ccziti/lv-15,治疗暴击
12015,geffect/ui/ccziti/lv-16,物理穿透
12016,geffect/ui/ccziti/lv-17,物理抵抗
12017,geffect/ui/ccziti/lv-18,法术穿透
12018,geffect/ui/ccziti/lv-19,法术抵抗
12019,geffect/ui/ccziti/lv-20,治疗加深
12020,geffect/ui/ccziti/lv-21,回复强度
12021,geffect/ui/ccziti/lv-22,封印加成
12022,geffect/ui/ccziti/lv-23,封印免疫
12100,geffect/ui/ccziti1/lv-01,气血上限
12101,geffect/ui/ccziti1/lv-02,魔法上限
12102,geffect/ui/ccziti1/lv-03,物理伤害
12103,geffect/ui/ccziti1/lv-04,物理防御
12104,geffect/ui/ccziti1/lv-05,法术伤害
12105,geffect/ui/ccziti1/lv-06,法术防御
12106,geffect/ui/ccziti1/lv-07,治疗强度
12107,geffect/ui/ccziti1/lv-08,封印命中
12108,geffect/ui/ccziti1/lv-09,封印抵抗
12109,geffect/ui/ccziti1/lv-10,速度
12110,geffect/ui/ccziti1/lv-11,物理暴击
12111,geffect/ui/ccziti1/lv-12,物理抗暴
12112,geffect/ui/ccziti1/lv-13,法术暴击
12113,geffect/ui/ccziti1/lv-14,法术抗暴
12114,geffect/ui/ccziti1/lv-15,治疗暴击
12115,geffect/ui/ccziti1/lv-16,物理穿透
12116,geffect/ui/ccziti1/lv-17,物理抵抗
12117,geffect/ui/ccziti1/lv-18,法术穿透
12118,geffect/ui/ccziti1/lv-19,法术抵抗
12119,geffect/ui/ccziti1/lv-20,治疗加深
12120,geffect/ui/ccziti1/lv-21,回复强度
12121,geffect/ui/ccziti1/lv-22,封印加成
12122,geffect/ui/ccziti1/lv-23,封印免疫
12123,geffect/sprite/targetring1,洗练特效
12124,geffect/sprite/npc/61760,跟我皮
12125,geffect/sprite/npc/4000200,食屎呀你
12126,geffect/sprite/npc/4000600,东莞动手
12127,geffect/sprite/npc/4000900,我命由我不由天
12128,geffect/sprite/npc/4001100,你简直比无法无天
12129,geffect/sprite/npc/4001500,所谓富贵险中求
12130,geffect/sprite/npc/4001600,要兄弟还是要黄金
12131,geffect/sprite/npc/4001700,我没做大哥很久了
12132,geffect/sprite/npc/4001800,衣冠不整不许入内
12133,geffect/sprite/npc/4001900,出来混要说话算话
12134,geffect/sprite/npc/4002400,铜锣湾只有一个浩南
12135,geffect/sprite/npc/4002700,一个月几百块玩什么命
12136,geffect/sprite/npc/4002800,有钱真的可以为所欲为
12137,geffect/sprite/npc/4003200,生死有命富贵在天
12138,geffect/sprite/npc/4003500,他娘的意大利炮呢
12139,geffect/sprite/npc/4003600,十二点后我说的算
12140,geffect/sprite/npc/4003700,还有王法吗还有法律吗
12141,geffect/sprite/npc/4003800,雕虫小技竟敢班门弄
12142,geffect/sprite/npc/4003900,我话讲完了谁赞同谁反对
12143,geffect/sprite/npc/4004000,二十一点
