ID,名称,类型备注（策划使用）,互斥,无效,顶掉,提示信息,互斥地图id
500295,提升10%全属性,,,,500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297,,
500296,提升20%全属性,,,,500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297,,
500297,提升30%全属性,,,,500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297,,
500323,,,,,500324;500325;500326,,
500324,,,,,500323;500325;500326,,
500325,,,,,500324;500323;500326,,
500326,,,,,500324;500325;500323,,
500327,大红用完时,,,,500009,,
500328,大蓝用完时,,,,500010,,
500329,宠物大红用完时,,,,500138,,
500330,宠物大蓝用完时,,,,500139,,
500331,宠物忠诚用完时,,,,500140,,
500335,,,,,500153;500154;500155;500156,,
500347,离线挂机BUFF,,507004;507005;507007;507008;507009;507025,,,,
500400,死亡禁锢,,,,,,
500447,足印1生命,,,,,,
500448,足印2生命,,,,500447,,
500449,足印3生命,,,,500448;500449,,
500455,苦难光环,,,,,,
507001,进入护送状态,,500104;507007;507009;507013;500042;507018;507020;500153;500154;500155;500156;500335;507025;507028,,,,
507002,交易,,507013;500042;507020;507018;500335;507025;507028,,,507018=140524,
507003,摆摊,,507001;500104;507002;507004;507005;507007;507008;507009;507013;500042;507018;507020;500335;507025;507028,,,,
507004,战斗,,507003;507013;507014;507018;500042;507020;500347;507025;507027,,,,
507005,观战,,507001;507003;507007;507009;507013;507014;500042;507018;507020;500335;500347;507025;507027,,,,
507027,播放录像,,507001;507003;507009;507013;507014;500042;507018;507020;500335;500347;507025;507005;507004;516006;516007,,,,
507028,没付日卡,,,,,,
507029,公会战场中,,,,,,
507006,组队,,507001;507003;500104;507013;507014;500042;500099;500019;500153;500155;500156;500335;500347;507028,,,,
507007,成为队长,,507001;500104;507003;507005;507013;507014;500042;500099;507018;500019;500153;500155;500156;500274;500335;500347;507028,,,,
507008,成为队员,,507003;500042;500099;500019;500153;500155;500156;500274;500335;500347;507028,,,,
507009,成为归队队员,,507001;500104;507003;507004;507005;507013;500042;500099;507018;500019;500153;500155;500156;500274;500335;500347;507025;507027,,,,
507010,成为暂离队员,,500153;500155;500156;500347,,,,
507013,进行赛船,,507001;500104;507003;507004;507005;507007;507009;500042;500099;507018;507020;500335;507025,,,,
507014,飞行,,507001;500104;507003;507004;507005;507013;500042;500099;507018;507020;500335;500347;507025,,,,
507015,宠物观看,,500042;500335,,,,
507018,进行小游戏,,507001;500104;507002;507004;507005;507009;507013;507014;507020;500043;507025,,,500043=143141;500104=143813;507002=143843,
507020,进入剧情动画,,507001;500104;507002;507004;507005;507013;507014;507025,,,,
507025,ROLL点中,,,,,,
507026,在日常副本中,,,,,,
510000,增加生命,,500033;500080;509029,500455,,,
510001,增加法力,,500033;500080;509029,500455,,,
510002,增加百分值生命,,500033;500080;509029,500455,,,
510003,增加百分值法力,,500033;500080;509029,500455,,,
510004,无属性法术伤害,,500033;500080;509029;500148,,500040,,
510005,物理伤害,,500033;500080;509029;500148,,500040,,
510006,增加当前生命上限,,500033;500080;509029,500455,,,
510009,复活,,500080;509029;500400,,,,
510010,解毒,,500033;500080;509029,500455,,,
510011,恢复当前防御,,500033;500080;509029,500455,,,
510012,普通物理伤害,,500033;500080;509029;500148,,500040,,
510013,连击物理伤害,,500033;500080;509029;500148,,500040,,
510014,追击物理伤害,,500033;500080;509029;500148,,500040,,
510015,技能物理伤害,,500033;500080;509029;500148,,500040,,
510017,溅射物理伤害,,500033;500080;509029;500148,,500040,,
510018,单一目标物技连击,,500033;500080;509029;500148,,500040,,
510019,恢复伤,,500033;500080;509029,500455,,,
510020,飞镖伤害,,500033;500080;509029;500148,,500040,,
510022,生命迅捷,,500033;500080;509029,500455,,,
510023,增加伤,,500033;500080;509029,,500040,,
510024,治疗,,500033;500080;509029,500455,,,
510025,毒伤害,,500033;500080;509029;500148,,500040,,
510026,强制物理伤害,,500033;500080;509029;500148,,500040,,
510027,驱散控制,,500033;500080;509029,,,,
510028,驱散控制,,500033;500080;509029,,,,
510029,驱散控制,,500033;500080;509029,,,,
510030,火系法术攻击,,500033;500080;509029;500148,,500040,,
510031,土系法术攻击,,500033;500080;509029;500148,,500040,,
510032,水系法术攻击,,500033;500080;509029;500148,,500040,,
510033,雷系法术攻击,,500033;500080;509029;500148,,500040,,
510034,驱散后发buff,,500033;500080;509029,,,,
510036,驱散负面状态,,500033;500080;509029,,,,
510044,药品治疗,,500033;500080;509029,500455,,,
510046,药品复活,,500080;509029;500400,500455,,,
510052,HOT治疗,,500033;500080;509029,500455,,,
516000,创建队伍,,507003;507005;507004;507001;507013;507018;507020;500104;500153;500155;500156;500347;507025;507026;507028,,,,1414;1415;1416
516001,邀请组队,,507003;507001;507013;507018;507021;500104;500153;500155;500156;500274;500347;507028,,,500274=143748,
516002,请离队员,,507004;507005;507001;507013;507018;507020;500104;500274;507025,,,500274=143749,
516003,主动暂离队伍,,507004;507005;507001;507013;507018;507020;500104;500274,,,500274=143750,
516004,主动退出队伍,,507004;507005;507001;507013;507018;507020;500104;500274,,,500274=143751,
516005,主动更换队长,,507004;507005;507001;507013;507018;507020;507003;500104;500274,,,500274=143752,
516006,召唤队员,,507004;507005;507001;507013;507018;507020;507003;500104;500274;507027,,,500274=143753,
516007,回归队伍,,507004;507005;507001;507013;507018;507020;507003;500104;500153;500155;500156;500274;507027,,,500274=143754,
516008,进行光环设置,,507004;507005;507001;507013;507018;507020;500104,,,500274=143755,
516009,,,507004;507005;507013;507018;507020,,,,
516010,走路,,507003;507004;507005;507013;507018;507020;500347,,,,
516011,释放场景技能,,507004;507005;507001;507013;507018;507020;507003;500104,,,,
516012,跳转点跳转,,500348;500349;507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500189;500274;500335;500347,,,1405=142766;1406=142766;1407=142766;1408=142766;1409=142766;1410=142766,1405;1406;1407;1408;1409;1410
516013,道具跳转,,500348;500349;507009;507004;507005;507020;507003;507024;507001;500104;500155;500156;500099;500042;500306;500153;500189;507013;500274;500335;500307;500347,,,1405=142767;1406=142767;1407=142767;1408=142767;1409=142767;1410=142767;1403=141281;1514=143351;1411=143728;1514=143351;500307=144746,1405;1406;1407;1408;1409;1410;1411;1514
516014,系统拉人,,500348;500349;507009;507004;507005;507020;507003;507024;507001;500104;500155;500156;500099;500042;500306;500153;500189;507013;500104;500274;500307;500335;500347,,,1405=142768;1406=142768;1407=142768;1408=142768;1409=142768;1410=142768;1514=143351;1411=143728;500307=144244;507001=141217;1418=144948;1419=144948;1420=144948;1421=144948;1411=144948;1506=144948;1512=144948;1527=144948;1538=144948;1540=144948,1506;1403;1514;1405;1406;1407;1408;1409;1410;1411;1418;1419;1420;1421;1411;1506;1512;1527;1538;1540
516015,进入游戏,,507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500153;500189;500335,,,,1405;1406;1407;1408;1409;1410
516016,死亡跳转,,507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500153;500189;500274;500335,,,,1405;1406;1407;1408;1409;1410
516017,传送服务跳转,,500348;500349;500347;507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500153;500274;500335,,,,
516018,任务跳转-播动画,,500348;500349;507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500153;500189;507001;507013;500104;500347;500274;500335,,,1514=143351,1514;1405;1406;1407;1408;1409;1410
516019,强制跳转,,,,,,
516020,回职业技能跳转,,500348;500349;507009;507004;507005;507020;507003;507024;507001;500155;500156;500099;500042;500306;500153;500189;507013;500347;500104;500274;500335;500307,,,1405=142769;1406=142769;1407=142769;1408=142769;1409=142769;1410=142769;1514=143351;1411=143728;1403=144130;500307=144746,1403;1514;1405;1406;1407;1408;1409;1410;1411
516021,好基友任务跳转,,500347;507009;507004;507005;507020;507003;500155;500156;500042;500306;500153;500189;507013;500104;500274;500335,,,,1405;1406;1407;1408;1409;1410
516022,任务跳转-不播动画（包含GM跳转）,,500348;500349;500347;507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500153;500189;507001;507013;500104;500274;500335,,,1514=143351,1514;1405;1406;1407;1408;1409;1410
516023,进入赛船副本,,507009;507004;507005;507020;507003;507024;507001;500104;500155;500156;500099;500042;500306;500153;500189;500274;500335,,,1405=142770;1406=142770;1407=142770;1408=142770;1409=142770;1410=142770;1514=143351;1411=143728;507001=141217;500307=144746,1506;1403;1514;1405;1406;1407;1408;1409;1410;1411
516024,出赛船副本,,500274,,,,1405;1406;1407;1408;1409;1410
516025,GM拉人跳转,,507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500153;500189;507013;500274;500335,,,,1405;1406;1407;1408;1409;1410
516026,解散队伍,,500274,,,500274=143756,
516027,结拜拉人,,507009;507004;507005;507020;507003;507024;507001;500155;500156;500099;500042;500306;500153;500189;507013;500104;500274;500335;500307,,,1405=142769;1406=142769;1407=142769;1408=142769;1409=142769;1410=142769;1514=143351;1411=143728;1403=144130;500307=144746,1403;1514;1405;1406;1407;1408;1409;1410;1411
509001,暴击,其他,509038,,,,
509002,连击,其他,509039,,,,
509003,强力,其他,509040,,,,
509004,撕裂,其他,509041,,,,
509005,偷袭,其他,509042,,,,
509006,法术暴击,其他,509043,,,,
509007,法术连击,其他,509044,,,,
509008,法术波动,其他,509045,,,,
509009,魔之心,其他,509046,,,,
509010,法术穿刺,其他,509047,,,,
509011,冥思,战斗中hot,509048,,,,
509012,吸血,其他,509049,,,,
509013,回春,战斗中hot,509050,,,,
509014,凤凰之心,其他,509051,,509029;509066,,
509015,格挡,其他,509052,,,,
509016,反弹,其他,509053,,,,
509017,神迹,其他,509054,,,,
509018,反击,其他,509055,,,,
509019,灵敏,其他,509056,,,,
509020,强壮,其他,509057,,,,
509021,防御,其他,509058,,,,
509022,固法,其他,509059,,,,
509023,幸运,其他,509060,,,,
509024,迟钝,其他,509061,,,,
509025,火元素吸收,其他,509062,,,,
509026,水元素吸收,其他,509063,,,,
509027,土元素吸收,其他,509064,,,,
509028,雷元素吸收,其他,509065,,,,
509029,不死亡魂,其他,509066;509014;509051,,,,
509030,驱魔,其他,509067,,,,
509031,潜行,其他,509068,,,,
509032,夜枭感知,其他,509069,,,,
509033,永恒,其他,509070,,,,
509034,精神集中,其他,509071,,,,
509035,瘟疫,其他,509072,,,,
509036,追击,其他,509073,,,,
509037,溅射,其他,509074,,,,
509038,高级暴击,其他,,,509001,,
509039,高级连击,其他,,,509002,,
509040,高级强劲,其他,,,509003,,
509041,高级撕裂,其他,,,509004,,
509042,高级偷袭,其他,,,509005,,
509043,高级法术暴击,其他,,,509006,,
509044,高级法术连击,其他,,,509007,,
509045,高级法术波动,其他,,,509008,,
509046,高级魔之心,其他,,,509009,,
509047,高级法术穿刺,其他,,,509010,,
509048,高级冥思,战斗中hot,,,509011,,
509218,高级吸血,其他,,,509012,,
509050,高级回春,战斗中hot,,,509013,,
509051,高级凤凰之心,其他,,,509014;509029;509066,,
509052,高级格挡,其他,,,509015,,
509053,高级反弹,其他,,,509016,,
509054,高级神迹,其他,,,509017,,
509055,高级反击,其他,,,509018,,
509056,高级灵敏,其他,,,509019,,
509057,高级强壮,其他,,,509020,,
509058,高级防御,其他,,,509021,,
509059,高级固法,其他,,,509022,,
509060,高级幸运,其他,,,509023,,
509061,高级迟钝,其他,,,509024,,
509062,高级火元素吸收,其他,,,509025,,
509063,高级水元素吸收,其他,,,509026,,
509064,高级土元素吸收,其他,,,509027,,
509065,高级雷元素吸收,其他,,,509028,,
509066,高级不死亡魂,其他,509014;509051,,509029,,
509067,高级驱魔,其他,,,509030,,
509068,高级潜行,其他,,,509031,,
509069,高级夜枭感知,其他,,,509032,,
509070,高级永恒,其他,,,509033,,
509071,高级精神集中,其他,,,509034,,
509072,高级瘟疫,其他,,,509035,,
509073,高级追击,其他,,,509036,,
509074,高级溅射,其他,,,509037,,
509075,火元素虚弱,战斗中减益状态,509029;509066;509054,,,,
509076,水元素虚弱,战斗中减益状态,509029;509066;509054,,,,
509077,土元素虚弱,战斗中减益状态,509029;509066;509054,,,,
509078,舍命一击反噬,战斗中减益状态,,,,,
509079,法术否定,战斗中增益状态,,,,,
509080,瘟疫,战斗中dot,509072;509029;509066;509054,,,,
509081,灵魂禁锢,其他,509029;509066;509054;509972,,,,
509082,隐身状态,战斗中增益状态,,,,,
509083,高级隐身,战斗中增益状态,,,,,
509084,亡魂复活,其他,,,,,
254254,下面是宠物内丹互斥,,,,,,
780000,迅敏1层,其他,,,780001;780002;780003;780004,,
780001,迅敏2层,其他,,,780000;780002;780003;780004,,
780002,迅敏3层,其他,,,780000;780001;780003;780004,,
780003,迅敏4层,其他,,,780000;780001;780002;780004,,
780004,迅敏5层,其他,,,780000;780001;780002;780003,,
254999,虚弱休息BUFF/ID不可更改,,,,,,
501002,休息：2回合,战斗中减益状态,509029;509066;509054,,,,
501008,虚弱：降防,其他,,,,,
254521,大唐官府技能被动,,,,,,
501001,大唐官府主技能被动,大唐官府主技能被动,,,,,
501005,大唐官府被动1,大唐官府被动1,,,,,
501006,大唐官府被动2,大唐官府被动2,,,,,
501007,大唐官府被动3,大唐官府被动3,,,,,
501105,后发制人预操作,后发制人预操作,,,,,
501106,后发制人,后发制人,,,,,
254522,方寸山被动,,,,,,
502001,方寸山主技能被动,方寸山主技能被动,,,,,
502006,方寸山被动1,方寸山被动1,,,,,
502007,方寸山被动2,方寸山被动2,,,,,
502008,方寸山被动3,方寸山被动3,,,,,
502004,离魂符,战斗中强控制状态,13;509029;509066;509054;509034;509071,,501010,,
501201,失心符,失心符,13;509029;509066;509054;509034;509071,,,,
501202,失忆符,失忆符,13;509029;509066;509054;509034;509071,,,,
501203,定身符,定身符,13;509029;509066;509054;509034;509071,,,,
502002,失心符,战斗中弱控制状态,13;509029;509066;509054;509034;509071,,501010,,
502003,定身符,战斗中强控制状态,13;509029;509066;509054;509034;509071,,501010,,
254444,下面是无用的/需配合GS一起删除,,,,,,
501003,蓄力猛击,暂时无用,,,,,
501004,破甲,暂时无用,509029;509066;509054,,,,
501009,蓄力预置操作,暂时无用,,,,,
501010,嘲讽,暂时无用,13;509029;509066;509054,,,,
501011,被嘲讽减攻（废弃）,暂时无用,509029;509066;509054,,,,
502005,守护圣盾,战斗中增益状态,,,,,
502009,强化恐惧,战斗中强控制状态,13;509029;509066;509054;509034;509071,,501010,,
502010,流血,战斗中dot,509029;509066;509054,,,,
503001,狩猎状态,其他,,,,,
503002,野性召唤,战斗中hot,,,,,
503003,猎人被动1,其他,,,,,
503004,猎人被动2,其他,,,,,
503005,猎人被动3,其他,,,,,
503006,狩猎姿态被动,其他,,,,,
504001,伊瑟拉之赐,其他,,,,,
504002,神谕责难,战斗中减益状态,509029;509066;509054,,,,
504003,自然之眼,战斗中增益状态,,,,,
504004,复仇之力,战斗中减益状态,509029;509066;509054,,,,
504005,纠缠根须（废弃）,战斗中减益状态,509029;509066;509054,,,,
504006,纠缠根须（废弃）,战斗中减益状态,509029;509066;509054,,,,
504007,德鲁伊被动1,其他,,,,,
504008,德鲁伊被动2,其他,,,,,
504009,德鲁伊被动3,其他,,,,,
504010,心灵感知,战斗中增益状态,,,,,
504011,休眠,战斗中弱控制状态,13;509029;509066;509054;509034;509071,,501010,,
504012,精灵之怒,战斗中减益状态,509029;509066;509054,,,,
504013,缠绕根须虚弱,其他,,,,,
505001,法师智慧,其他,,,,,
505002,法师被动1,其他,,,,,
505003,法师被动2,其他,,,,,
505004,法师被动3,其他,,,,,
505005,变形术,战斗中弱控制状态,13;509029;509066;509054;509034;509071,,501010,,
506001,虔诚信仰,其他,,,,,
506002,缠绕根须,战斗中弱控制状态,13;509029;509066;509054;509034;509071,,501010,,
506003,心灵之火,战斗中增益状态,,,,,
506004,天定之国,战斗中增益状态,,,,,
506005,牧师被动1,其他,,,,,
506006,牧师被动2,其他,,,,,
506007,牧师被动3,其他,,,,,
506008,祷言,其他,,,,,
506101,治疗图腾（光环）,其他,,,,,
506102,狂热图腾（光环）,其他,,,,,
506103,先祖智慧,其他,,,,,
506104,萨满被动1,其他,,,,,
506105,萨满被动2,其他,,,,,
506106,萨满被动3,其他,,,,,
506107,图腾消失,其他,,,,,
506108,萨满临时法术暴击,其他,,,,,
506109,先祖之魂,战斗中增益状态,,,,,
506201,盗贼潜行,战斗中增益状态,,,,,
506202,每回合潜行下概率获得连击点,战斗中增益状态,,,,,
506203,盗贼尊严,其他,,,,,
506204,盗贼被动1,其他,,,,,
506205,盗贼被动2,其他,,,,,
506206,盗贼被动3,其他,,,,,
506301,防御降低,战斗中减益状态,509029;509066;509054,,,,
506302,恶魔学识,其他,,,,,
506303,术士被动1,其他,,,,,
506304,术士被动2,其他,,,,,
506305,术士被动3,其他,,,,,
506306,失忆诅咒,战斗中减益状态,509029;509066;509054,,,,
508001,鼓舞术,战斗中增益状态,,,508001;508002;508003;508004,,
508002,魔兽之印,战斗中增益状态,,,508001;508002;508003;508004,,
508003,震慑术,战斗中减益状态,509029;509066;509054,,508001;508002;508003;508004,,
508004,雷霆怒吼,战斗中减益状态,509029;509066;509054,,508001;508002;508003;508004,,
508005,固甲术,战斗中增益状态,,,508005;508006;508007;508008,,
508006,圣灵之甲,战斗中增益状态,,,508005;508006;508007;508008,,
508007,破甲术,战斗中减益状态,509029;509066;509054,,508005;508006;508007;508008,,
508008,破碎无双,战斗中减益状态,509029;509066;509054,,508005;508006;508007;508008,,
508009,疾风术,战斗中增益状态,,,508009;508010;508011;508012,,
508010,幽灵疾步,战斗中增益状态,,,508009;508010;508011;508012,,
508011,凝滞术,战斗中减益状态,509029;509066;509054,,508009;508010;508011;508012,,
508012,惰性剧变,战斗中减益状态,509029;509066;509054,,508009;508010;508011;508012,,
508013,法术护盾,战斗中增益状态,,,508013;5080014,,
508014,虚空结界,战斗中增益状态,,,508013;5080014,,
508015,物理暴击 +8,其他,,,,,
508016,物理抗暴 +8,其他,,,,,
508017,法术暴击 +8,其他,,,,,
508018,法术抗暴 +8,其他,,,,,
508019,控制命中 +6,其他,,,,,
508020,控制抵抗 +6,其他,,,,,
508021,治疗暴击 +5,其他,,,,,
508022,被治疗暴击 +5,其他,,,,,
508023,物理暴击 +16,其他,,,,,
508024,物理抗暴 +16,其他,,,,,
508025,法术暴击 +16,其他,,,,,
508026,法术抗暴 +16,其他,,,,,
508027,控制命中 +12,其他,,,,,
508028,控制抵抗 +12,其他,,,,,
508029,治疗暴击 +10,其他,,,,,
508030,被治疗暴击 +10,其他,,,,,
508031,物理暴击 +24,其他,,,,,
508032,物理抗暴 +24,其他,,,,,
508033,法术暴击 +24,其他,,,,,
508034,法术抗暴 +24,其他,,,,,
508035,控制命中 +18,其他,,,,,
508036,控制抵抗 +18,其他,,,,,
508037,治疗暴击 +15,其他,,,,,
508038,被治疗暴击 +15,其他,,,,,
508039,愤怒,其他,,,,,
508040,暴怒,其他,,,,,
508041,凤凰之心,其他,,,,,
508042,药师,其他,,,,,
508043,回春,其他,,,,,
508044,专注,其他,,,,,
508045,斩杀,其他,,,,,
508046,迷踪,其他,,,,,
508047,狩猎,其他,,,,,
508048,简易,其他,,,,,
508049,无级别限制,其他,,,,,
509085,血脉愤张,其他,,,,,
509086,迅刃之黠被动,其他,,,,,
509087,精确瞄准,其他,,,,,
509088,奥术技能被动,其他,,,,,
509089,临界炽焰,其他,,,,,
509090,元素过载被动,其他,,,,,
509091,浪潮汹涌,其他,,,,,
509092,自然守护,其他,,,,,
509093,专注意志,其他,,,,,
509094,清晰预兆,其他,,,,,
509095,月神指引,其他,,,,,
509096,灵魂燃烧,其他,,,,,
509097,圣光意志,其他,,,,,
509098,圣光加速,其他,,,,,
509099,黑哨的护佑,其他,,,,,
509100,剩斗士之魂,其他,,,,,
509101,炼狱急速,其他,,,,,
509102,英姿勃发(光环）,其他,,,,,
509103,血脉愤张(回合被动）,其他,,,,,
509104,复仇(空）,其他,,,,,
509105,破胆怒吼,其他,,,,,
509106,卸甲,其他,,,,,
509107,强击光环(光环）,其他,,,,,
509108,奥术禁锢,其他,,,,,
509109,寒冰护体,其他,,,,,
509110,燃烧,其他,,,,,
509111,萨满之怒（全队光环）,其他,,,,,
509112,萨满之怒（血精灵单独光环）,其他,,,,,
509113,萨满之怒（自身单独单独光环）,其他,,,,,
509114,元素唤醒(空）,其他,,,,,
509115,超度邪恶(预留）,,,,,,
509116,野兽禁锢(预留）,,,,,,
509117,野兽本能(空）,其他,,,,,
509118,感染伤口(预留）,,,,,,
509119,十字军之心(回合被动）,其他,,,,,
509120,元素唤醒(复活加血）,其他,,,,,
509121,野兽本能(预留）免疫用,,,,,,
509122,驭兽联盟buff,其他,,,,,
509123,宠物攻法,其他,,,,,
509124,宠物物抗,其他,,,,,
509125,宠物法抗,其他,,,,,
