"定时活动配置表id","注释（策划备注）","活动开始时间","距离活动开始间隔时间","间隔刷新时间","触发时间随机","刷新时系统提示信息编号","刷新方式","补怪数量上限","补怪持续时间","刷新列表","刷新列表数量","每种NPC数量","刷新场景","刷新场景个数","怪物存在时间","击杀奖励个数","奖励ID","匹配等级方式","奖励个数超过提示编号","是否组队","组队人数要求","需求等级下限","需求等级上限","次数","补怪方式","对应事件刷新ID","观战","消失","对应活动表ID","分级奖励","在线人数刷新","匹配秒数","是否匹配","次数击杀","分级次数","刷新控制","刷新控制总数量","延迟秒数","延迟刷怪提示"
"270028","大雁塔4星","00:00:05","","1800","","192129","0","0","0","250006,250007","2","10","5007@8;5008@8","2","3600","50","6996","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270029","大雁塔5星","00:00:05","","1800","","192129","0","0","0","250008,250009","2","10","5009@8;5010@8","2","3600","50","6997","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270030","大雁塔5星","00:00:05","","1800","","192129","0","0","0","250008,250009","2","10","5009@8;5010@8","2","3600","50","6997","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270031","大雁塔5星","00:00:05","","1800","","192129","0","0","0","250008,250009","2","10","5009@8;5010@8","2","3600","50","6997","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270032","大雁塔5星","00:00:05","","1800","","192129","0","0","0","250008,250009","2","10","5009@8;5010@8","2","3600","50","6997","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270033","大雁塔5星","00:00:05","","1800","","192129","0","0","0","250008,250009","2","10","5009@8;5010@8","2","3600","50","6997","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270034","大雁塔5星","00:00:05","","1800","","192129","0","0","0","250008,250009","2","10","5009@8;5010@8","2","3600","50","6997","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"270035","大雁塔5星","00:00:05","","1800","","192129","0","0","0","250008,250009","2","10","5009@8;5010@8","2","3600","50","6997","","150524","1","1","50","300","0","0","","1","0","270","","","","","","","","","",""
"271001","远古妖魔","00:00:05","","1800","","192129","0","0","0","250020,250021,250022","2","7","1610@8","1","3600","20","6998","","150524","1","1","50","300","0","0","","1","0","271","","","","","","","","","",""
"271002","远古妖魔","00:00:05","","1800","","192129","0","0","0","250020,250021,250022","2","7","1610@8","1","3600","20","6998","","150524","1","1","50","300","0","0","","1","0","271","","","","","","","","","",""
"271003","远古妖魔","00:00:05","","1800","","192129","0","0","0","250020,250021,250022","2","7","1610@8","1","3600","20","6998","","150524","1","1","50","300","0","0","","1","0","271","","","","","","","","","",""
"271004","远古妖魔","00:00:05","","1800","","192129","0","0","0","250020,250021,250022","2","7","1610@8","1","3600","20","6998","","150524","1","1","50","300","0","0","","1","0","271","","","","","","","","","",""
"271005","远古妖魔","00:00:05","","1800","","192129","0","0","0","250020,250021,250022","2","7","1610@8","1","3600","20","6998","","150524","1","1","50","300","0","0","","1","0","271","","","","","","","","","",""
"271006","远古妖魔","00:00:05","","1800","","192129","0","0","0","250020,250021,250022","2","7","1610@8","1","3600","20","6998","","150524","1","1","50","300","0","0","","1","0","271","","","","","","","","","",""
"271007","远古妖魔","00:00:05","","1800","","192129","0","0","0","250020,250021,250022","2","7","1610@8","1","3600","20","6998","","150524","1","1","50","300","0","0","","1","0","271","","","","","","","","","",""
"272001","二十八星宿之影","00:00:05","","1800","","192129","0","0","0","250025,250026,250027,250028,250029,250030,250031","2","5","1612@8","1","3600","15","6999","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272002","二十八星宿之影","00:00:05","","1800","","192129","0","0","0","250025,250026,250027,250028,250029,250030,250031","2","5","1612@8","1","3600","15","6999","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272003","二十八星宿之影","00:00:05","","1800","","192129","0","0","0","250025,250026,250027,250028,250029,250030,250031","2","5","1612@8","1","3600","15","6999","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272004","二十八星宿之影","00:00:05","","1800","","192129","0","0","0","250025,250026,250027,250028,250029,250030,250031","2","5","1612@8","1","3600","15","6999","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272005","二十八星宿之影","00:00:05","","1800","","192129","0","0","0","250025,250026,250027,250028,250029,250030,250031","2","5","1612@8","1","3600","15","6999","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272006","二十八星宿之影","00:00:05","","1800","","192129","0","0","0","250025,250026,250027,250028,250029,250030,250031","2","5","1612@8","1","3600","15","6999","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272007","二十八星宿之影","00:00:05","","1800","","192129","0","0","0","250025,250026,250027,250028,250029,250030,250031","2","5","1612@8","1","3600","15","6999","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272008","二十八星宿","00:00:05","","1800","","192129","0","0","0","250032,250033,250034,250035,250036,250037,250038","2","5","1612@8","1","3600","15","7000","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272009","二十八星宿","00:00:05","","1800","","192129","0","0","0","250032,250033,250034,250035,250036,250037,250038","2","5","1612@8","1","3600","15","7000","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272010","二十八星宿","00:00:05","","1800","","192129","0","0","0","250032,250033,250034,250035,250036,250037,250038","2","5","1612@8","1","3600","15","7000","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272011","二十八星宿","00:00:05","","1800","","192129","0","0","0","250032,250033,250034,250035,250036,250037,250038","2","5","1612@8","1","3600","15","7000","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272012","二十八星宿","00:00:05","","1800","","192129","0","0","0","250032,250033,250034,250035,250036,250037,250038","2","5","1612@8","1","3600","15","7000","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272013","二十八星宿","00:00:05","","1800","","192129","0","0","0","250032,250033,250034,250035,250036,250037,250038","2","5","1612@8","1","3600","15","7000","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272014","二十八星宿","00:00:05","","1800","","192129","0","0","0","250032,250033,250034,250035,250036,250037,250038","2","5","1612@8","1","3600","15","7000","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272015","二十八星宿之怒","00:00:05","","1800","","192129","0","0","0","250039,250040,250041,250042,250043,250044,250045","2","5","1612@8","1","3600","15","7001","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272016","二十八星宿之怒","00:00:05","","1800","","192129","0","0","0","250039,250040,250041,250042,250043,250044,250045","2","5","1612@8","1","3600","15","7001","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272017","二十八星宿之怒","00:00:05","","1800","","192129","0","0","0","250039,250040,250041,250042,250043,250044,250045","2","5","1612@8","1","3600","15","7001","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272018","二十八星宿之怒","00:00:05","","1800","","192129","0","0","0","250039,250040,250041,250042,250043,250044,250045","2","5","1612@8","1","3600","15","7001","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272019","二十八星宿之怒","00:00:05","","1800","","192129","0","0","0","250039,250040,250041,250042,250043,250044,250045","2","5","1612@8","1","3600","15","7001","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272020","二十八星宿之怒","00:00:05","","1800","","192129","0","0","0","250039,250040,250041,250042,250043,250044,250045","2","5","1612@8","1","3600","15","7001","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"272021","二十八星宿之怒","00:00:05","","1800","","192129","0","0","0","250039,250040,250041,250042,250043,250044,250045","2","5","1612@8","1","3600","15","7001","","150524","1","1","50","300","0","0","","1","0","272","","","","","","","","","",""
"273001","十二元辰","00:00:05","","1800","","192129","0","0","0","250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057","2","8","1610@8","1","3600","10","7733","","150524","1","1","50","300","0","0","","1","0","273","","","","","","","","","",""
"273002","十二元辰","00:00:05","","1800","","192129","0","0","0","250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057","2","8","1610@8","1","3600","10","7733","","150524","1","1","50","300","0","0","","1","0","273","","","","","","","","","",""
"273003","十二元辰","00:00:05","","1800","","192129","0","0","0","250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057","2","8","1610@8","1","3600","10","7733","","150524","1","1","50","300","0","0","","1","0","273","","","","","","","","","",""
"273004","十二元辰","00:00:05","","1800","","192129","0","0","0","250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057","2","8","1610@8","1","3600","10","7733","","150524","1","1","50","300","0","0","","1","0","273","","","","","","","","","",""
"273005","十二元辰","00:00:05","","1800","","192129","0","0","0","250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057","2","8","1610@8","1","3600","10","7733","","150524","1","1","50","300","0","0","","1","0","273","","","","","","","","","",""
"273006","十二元辰","00:00:05","","1800","","192129","0","0","0","250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057","2","8","1610@8","1","3600","10","7733","","150524","1","1","50","300","0","0","","1","0","273","","","","","","","","","",""
"273007","十二元辰","00:00:05","","1800","","192129","0","0","0","250046,250047,250048,250049,250050,250051,250052,250053,250054,250055,250056,250057","2","8","1610@8","1","3600","10","7733","","150524","1","1","50","300","0","0","","1","0","273","","","","","","","","","",""
"274001","四方星官","00:00:05","","3600","","192129","0","0","0","250058;250059;250060;250061","2","8","1609@8","1","3600","8","7704","","150524","1","1","50","300","0","0","","1","0","274","","","","","","","","","",""
"274002","四方星官","00:00:05","","3600","","192129","0","0","0","250058;250059;250060;250061","2","8","1609@8","1","3600","8","7704","","150524","1","1","50","300","0","0","","1","0","274","","","","","","","","","",""
"274003","四方星官","00:00:05","","3600","","192129","0","0","0","250058;250059;250060;250061","2","8","1609@8","1","3600","8","7704","","150524","1","1","50","300","0","0","","1","0","274","","","","","","","","","",""
"274004","四方星官","00:00:05","","3600","","192129","0","0","0","250058;250059;250060;250061","2","8","1609@8","1","3600","8","7704","","150524","1","1","50","300","0","0","","1","0","274","","","","","","","","","",""
"274005","四方星官","00:00:05","","3600","","192129","0","0","0","250058;250059;250060;250061","2","8","1609@8","1","3600","8","7704","","150524","1","1","50","300","0","0","","1","0","274","","","","","","","","","",""
"274006","四方星官","00:00:05","","3600","","192129","0","0","0","250058;250059;250060;250061","2","8","1609@8","1","3600","8","7704","","150524","1","1","50","300","0","0","","1","0","274","","","","","","","","","",""
"274007","四方星官","00:00:05","","3600","","192129","0","0","0","250058;250059;250060;250061","2","8","1609@8","1","3600","8","7704","","150524","1","1","50","300","0","0","","1","0","274","","","","","","","","","",""
"275001","九曜星官","00:00:05","","3600","","192129","0","0","0","250062;250063;250064","2","8","1609@8","1","3600","7","7705","","150524","1","1","50","300","0","0","","1","0","275","","","","","","","","","",""
"275002","九曜星官","00:00:05","","3600","","192129","0","0","0","250062;250063;250064","2","8","1609@8","1","3600","7","7705","","150524","1","1","50","300","0","0","","1","0","275","","","","","","","","","",""
"275003","九曜星官","00:00:05","","3600","","192129","0","0","0","250062;250063;250064","2","8","1609@8","1","3600","7","7705","","150524","1","1","50","300","0","0","","1","0","275","","","","","","","","","",""
"275004","九曜星官","00:00:05","","3600","","192129","0","0","0","250062;250063;250064","2","8","1609@8","1","3600","7","7705","","150524","1","1","50","300","0","0","","1","0","275","","","","","","","","","",""
"275005","九曜星官","00:00:05","","3600","","192129","0","0","0","250062;250063;250064","2","8","1609@8","1","3600","7","7705","","150524","1","1","50","300","0","0","","1","0","275","","","","","","","","","",""
"275006","九曜星官","00:00:05","","3600","","192129","0","0","0","250062;250063;250064","2","8","1609@8","1","3600","7","7705","","150524","1","1","50","300","0","0","","1","0","275","","","","","","","","","",""
"275007","九曜星官","00:00:05","","3600","","192129","0","0","0","250062;250063;250064","2","8","1609@8","1","3600","7","7705","","150524","1","1","50","300","0","0","","1","0","275","","","","","","","","","",""
"276001","地煞1星","00:00:05","","7200","","192129","0","0","0","250065;250066;250067;250068;250069;250070;250071;250072;250073;250074;250075;250076;250077;250078;250079;250080;250081","2","3","1608@8","1","7200","3","7601","","150524","1","1","60","300","0","0","","1","0","276","","","","","","","","","",""
"276002","地煞1星","00:00:05","","7200","","192129","0","0","0","250065;250066;250067;250068;250069;250070;250071;250072;250073;250074;250075;250076;250077;250078;250079;250080;250081","2","3","1608@8","1","7200","3","7601","","150524","1","1","60","300","0","0","","1","0","276","","","","","","","","","",""
"276003","地煞1星","00:00:05","","7200","","192129","0","0","0","250065;250066;250067;250068;250069;250070;250071;250072;250073;250074;250075;250076;250077;250078;250079;250080;250081","2","3","1608@8","1","7200","3","7601","","150524","1","1","60","300","0","0","","1","0","276","","","","","","","","","",""
"276004","地煞1星","00:00:05","","7200","","192129","0","0","0","250065;250066;250067;250068;250069;250070;250071;250072;250073;250074;250075;250076;250077;250078;250079;250080;250081","2","3","1608@8","1","7200","3","7601","","150524","1","1","60","300","0","0","","1","0","276","","","","","","","","","",""
"276005","地煞1星","00:00:05","","7200","","192129","0","0","0","250065;250066;250067;250068;250069;250070;250071;250072;250073;250074;250075;250076;250077;250078;250079;250080;250081","2","3","1608@8","1","7200","3","7601","","150524","1","1","60","300","0","0","","1","0","276","","","","","","","","","",""
"276006","地煞1星","00:00:05","","7200","","192129","0","0","0","250065;250066;250067;250068;250069;250070;250071;250072;250073;250074;250075;250076;250077;250078;250079;250080;250081","2","3","1608@8","1","7200","3","7601","","150524","1","1","60","300","0","0","","1","0","276","","","","","","","","","",""
"276007","地煞1星","00:00:05","","7200","","192129","0","0","0","250065;250066;250067;250068;250069;250070;250071;250072;250073;250074;250075;250076;250077;250078;250079;250080;250081","2","3","1608@8","1","7200","3","7601","","150524","1","1","60","300","0","0","","1","0","276","","","","","","","","","",""
"277001","地煞2星","00:00:05","","7200","","192129","0","0","0","250082;250083;250084;250085;250086;250087;250088;250089;250090;250091;250092;250093;250094;250095;250096;250097;250098","2","3","1608@8","1","7200","3","7602","","150524","1","1","60","300","0","0","","1","0","346","","","","","","","","","",""
"277002","地煞2星","00:00:05","","7200","","192129","0","0","0","250082;250083;250084;250085;250086;250087;250088;250089;250090;250091;250092;250093;250094;250095;250096;250097;250098","2","3","1608@8","1","7200","3","7602","","150524","1","1","60","300","0","0","","1","0","346","","","","","","","","","",""
"277003","地煞2星","00:00:05","","7200","","192129","0","0","0","250082;250083;250084;250085;250086;250087;250088;250089;250090;250091;250092;250093;250094;250095;250096;250097;250098","2","3","1608@8","1","7200","3","7602","","150524","1","1","60","300","0","0","","1","0","346","","","","","","","","","",""
"277004","地煞2星","00:00:05","","7200","","192129","0","0","0","250082;250083;250084;250085;250086;250087;250088;250089;250090;250091;250092;250093;250094;250095;250096;250097;250098","2","3","1608@8","1","7200","3","7602","","150524","1","1","60","300","0","0","","1","0","346","","","","","","","","","",""
"277005","地煞2星","00:00:05","","7200","","192129","0","0","0","250082;250083;250084;250085;250086;250087;250088;250089;250090;250091;250092;250093;250094;250095;250096;250097;250098","2","3","1608@8","1","7200","3","7602","","150524","1","1","60","300","0","0","","1","0","346","","","","","","","","","",""
"277006","地煞2星","00:00:05","","7200","","192129","0","0","0","250082;250083;250084;250085;250086;250087;250088;250089;250090;250091;250092;250093;250094;250095;250096;250097;250098","2","3","1608@8","1","7200","3","7602","","150524","1","1","60","300","0","0","","1","0","346","","","","","","","","","",""
"277007","地煞2星","00:00:05","","7200","","192129","0","0","0","250082;250083;250084;250085;250086;250087;250088;250089;250090;250091;250092;250093;250094;250095;250096;250097;250098","2","3","1608@8","1","7200","3","7602","","150524","1","1","60","300","0","0","","1","0","346","","","","","","","","","",""
"278001","地煞3星","00:00:05","","7200","","192129","0","0","0","250099;250100;250101;250102;250103;250104;250105;250106;250107;250108;250109;250110;250111;250112;250113;250114;250115","2","3","1608@8","1","7200","3","7603","","150524","1","1","60","300","0","0","","1","0","347","","","","","","","","","",""
"278002","地煞3星","00:00:05","","7200","","192129","0","0","0","250099;250100;250101;250102;250103;250104;250105;250106;250107;250108;250109;250110;250111;250112;250113;250114;250115","2","3","1608@8","1","7200","3","7603","","150524","1","1","60","300","0","0","","1","0","347","","","","","","","","","",""
"278003","地煞3星","00:00:05","","7200","","192129","0","0","0","250099;250100;250101;250102;250103;250104;250105;250106;250107;250108;250109;250110;250111;250112;250113;250114;250115","2","3","1608@8","1","7200","3","7603","","150524","1","1","60","300","0","0","","1","0","347","","","","","","","","","",""
"278004","地煞3星","00:00:05","","7200","","192129","0","0","0","250099;250100;250101;250102;250103;250104;250105;250106;250107;250108;250109;250110;250111;250112;250113;250114;250115","2","3","1608@8","1","7200","3","7603","","150524","1","1","60","300","0","0","","1","0","347","","","","","","","","","",""
"278005","地煞3星","00:00:05","","7200","","192129","0","0","0","250099;250100;250101;250102;250103;250104;250105;250106;250107;250108;250109;250110;250111;250112;250113;250114;250115","2","3","1608@8","1","7200","3","7603","","150524","1","1","60","300","0","0","","1","0","347","","","","","","","","","",""
"278006","地煞3星","00:00:05","","7200","","192129","0","0","0","250099;250100;250101;250102;250103;250104;250105;250106;250107;250108;250109;250110;250111;250112;250113;250114;250115","2","3","1608@8","1","7200","3","7603","","150524","1","1","60","300","0","0","","1","0","347","","","","","","","","","",""
"278007","地煞3星","00:00:05","","7200","","192129","0","0","0","250099;250100;250101;250102;250103;250104;250105;250106;250107;250108;250109;250110;250111;250112;250113;250114;250115","2","3","1608@8","1","7200","3","7603","","150524","1","1","60","300","0","0","","1","0","347","","","","","","","","","",""
"279001","地煞4星","00:00:05","","7200","","192129","0","0","0","250116;250117;250118;250119;250120;250121;250122;250123;250124;250125;250126;250127;250128;250129;250130;250131;250132","2","3","1608@8","1","7200","3","7604","","150524","1","1","60","300","0","0","","1","0","348","","","","","","","","","",""
"279002","地煞4星","00:00:05","","7200","","192129","0","0","0","250116;250117;250118;250119;250120;250121;250122;250123;250124;250125;250126;250127;250128;250129;250130;250131;250132","2","3","1608@8","1","7200","3","7604","","150524","1","1","60","300","0","0","","1","0","348","","","","","","","","","",""
"279003","地煞4星","00:00:05","","7200","","192129","0","0","0","250116;250117;250118;250119;250120;250121;250122;250123;250124;250125;250126;250127;250128;250129;250130;250131;250132","2","3","1608@8","1","7200","3","7604","","150524","1","1","60","300","0","0","","1","0","348","","","","","","","","","",""
"279004","地煞4星","00:00:05","","7200","","192129","0","0","0","250116;250117;250118;250119;250120;250121;250122;250123;250124;250125;250126;250127;250128;250129;250130;250131;250132","2","3","1608@8","1","7200","3","7604","","150524","1","1","60","300","0","0","","1","0","348","","","","","","","","","",""
"279005","地煞4星","00:00:05","","7200","","192129","0","0","0","250116;250117;250118;250119;250120;250121;250122;250123;250124;250125;250126;250127;250128;250129;250130;250131;250132","2","3","1608@8","1","7200","3","7604","","150524","1","1","60","300","0","0","","1","0","348","","","","","","","","","",""
"279006","地煞4星","00:00:05","","7200","","192129","0","0","0","250116;250117;250118;250119;250120;250121;250122;250123;250124;250125;250126;250127;250128;250129;250130;250131;250132","2","3","1608@8","1","7200","3","7604","","150524","1","1","60","300","0","0","","1","0","348","","","","","","","","","",""
