id,条件ID,动作ID,执行次数,启用AI,外部AI文件,触发时机,策划备注
12125,34206,52064,,,,2,观心镜
12126,34206,52065,,,,2,唤花灵
12127,34206,52066,,,,2,递花魂
12128,34206,52067,,,,2,轻如鸿毛
12129,34206,52068,,,,2,雷音度厄
12130,34206,52069,,,,2,斩业火
12131,34206,52070,,,,2,迷心障
12132,34206,52071,,,,2,一念成佛
12133,34206,52072,,,,2,一劫为魔
12134,34206,52073,,,,2,天魔护体
12135,34206,52074,,,,2,裂石
12136,34206,52075,,,,2,断岳势
12137,34206,52076,,,,2,狂怒
12138,34206,52077,,,,2,浪涌
12139,34206,52078,,,,2,惊涛怒
12140,34206,52079,,,,2,嗜血
12141,34206,52080,,,,2,泼天乱棒
12142,34206,52081,,,,2,当头一棒
12143,34206,52082,,,,2,当头两棒
12144,34206,52083,,,,2,移星换斗
12145,34206,52084,,,,2,清心咒
12146,34206,52085,,,,2,一气化三清
12147,34206,52086,,,,2,勾魂
12148,34206,52087,,,,2,摄魄
12149,34206,52088,,,,2,魔音摄魂
12150,34206,52089,,,,2,含情脉脉
12151,34206,52090,,,,2,天罗地网
12152,34206,52091,,,,2,莲华妙法
13001,,,,13101@1;13102@1;13103@1;13104@1;13106@1;13107@1;13108@1;13109@1;13110@1@1;13100@1,,12,战士1
13002,,,,13111@1;13112@1;13113@1;13114@1;13116@1;13117@1;13118@1;13119@1;13120@1@1;13100@1,,12,战士2
13003,,,,13121@1;13122@1;13123@1;13124@1;13125@1;13126@1;13127@1@1;13100@1,,12,圣骑1
13004,,,,13128@1;13129@1;13130@1;13131@1;13132@1;13133@1;13134@1@1;13100@1,,12,圣骑2
13005,,,,13135@1;13136@1;13137@1;13138@1;13139@1;13140@1;13141@1;13142@1@1;13100@1,,12,猎人1
13006,,,,13143@1;13144@1;13145@1;13146@1;13147@1;13148@1;13149@1;13150@1@1;13100@1,,12,猎人2
13007,,,,13151@1;13152@1;13153@1;13154@1;13155@1;13156@1;13157@1@1;13100@1,,12,德鲁伊1
13008,,,,13158@1;13159@1;13160@1;13161@1;13162@1;13163@1;13164@1@1;13100@1,,12,德鲁伊2
13009,,,,13165@1;13166@1;13167@1;13168@1;13169@1;13170@1;13171@1;13172@1@1;13100@1,,12,法师1
13010,,,,13173@1;13174@1;13175@1;13176@1;13177@1;13178@1;13179@1;13180@1@1;13100@1,,12,法师2
13011,,,,13181@1;13182@1;13183@1;13184@1;13185@1;13186@1;13187@1;13188@1@1;13100@1,,12,牧师1
13012,,,,13189@1;13190@1;13191@1;13192@1;13193@1;13194@1;13195@1;13196@1@1;13100@1,,12,牧师2
13013,,,,13197@1;13198@1;13199@1;13201@1;13202@1;13203@1@1;13100@1,,12,萨满1
13014,,,,13204@1;13205@1;13206@1;13208@1;13209@1;13210@1@1;13100@1,,12,萨满2
13015,,,,13211@1;13212@1;13213@1;13214@1;13215@1;13216@1;13217@1;13218@1;13219@1;13220@1@1;13100@1,,12,盗贼1
13016,,,,13221@1;13222@1;13223@1;13224@1;13225@1;13226@1;13227@1;13228@1;13229@1;13230@1@1;13100@1,,12,盗贼2
13017,,,,13231@1;13232@1;13233@1;13234@1;13235@1;13236@1;13237@1@1;13100@1,,12,化生助战-AI
13018,,,,13238@1;13239@1;13240@1;13241@1;13242@1;13243@1;13244@1@1;13100@1,,12,方寸助战-AI
13019,35000,,,13200@1;13013@1,,3,萨满先祖之魂特例1
13020,35000,,,13207@1;13014@1,,3,萨满先祖之魂特例2
13021,35000,,,13200@1;13100@1,,3,萨满先祖之魂野外特例
13022,,,,13151@1;13152@1;13153@1;13154@1;13155@1;13156@1;13157@1@1;13100@1,,12,德鲁伊1
13100,,53001,,,,3,野外暗雷刷怪通用
13101,34101,53101,,,,3,
13102,34102,53102,,,,3,
13103,34103,53103,,,,3,
13104,34104,53104,,,,3,
13105,34105,53105,,,,3,
13106,34106,53106,,,,3,
13107,34107,53107,,,,3,
13108,34108,53108,,,,3,
13109,34109,53109,,,,3,
13110,34110,53110,,,,3,
13111,34101,53111,,,,3,
13112,34102,53112,,,,3,
13113,34103,53113,,,,3,
13114,34104,53114,,,,3,
13115,34105,53115,,,,3,
13116,34106,53116,,,,3,
13117,34107,53117,,,,3,
13118,34108,53118,,,,3,
13119,34109,53119,,,,3,
13120,34110,53120,,,,3,
13121,34201,53201,,,,3,
13122,34202,53202,,,,3,
13123,34203,53203,,,,3,
13124,34204,53204,,,,3,
13125,34205,53205,,,,3,
13126,34206,53206,,,,3,
13127,34207,53207,,,,3,
13128,34201,53208,,,,3,
13129,34202,53209,,,,3,
13130,34203,53210,,,,3,
13131,34204,53211,,,,3,
13132,34206,53212,,,,3,
13133,34205,53213,,,,3,
13134,34207,53214,,,,3,
13135,34301,53301,,,,3,
13136,34302,53302,,,,3,
13137,34303,53303,,,,3,
13138,34304,53304,,,,3,
13139,34305,53305,,,,3,
13140,34306,53306,,,,3,
13141,34307,53307,,,,3,
13142,34308,53308,,,,3,
13143,34301,53309,,,,3,
13144,34302,53310,,,,3,
13145,34303,53311,,,,3,
13146,34304,53312,,,,3,
13147,34305,53313,,,,3,
13148,34306,53314,,,,3,
13149,34307,53315,,,,3,
13150,34308,53316,,,,3,
13151,34401,53401,,,,3,
13152,34402,53402,,,,3,
13153,34403,53403,,,,3,
13154,34018,53404,,,,3,
13155,34405,53405,,,,3,
13156,34406,53406,,,,3,
13157,34407,53407,,,,3,
13158,34401,53408,,,,3,
13159,34402,53409,,,,3,
13160,34403,53410,,,,3,
13161,34404,53411,,,,3,
13162,34405,53412,,,,3,
13163,34406,53413,,,,3,
13164,34407,53414,,,,3,
13165,34501,53501,,,,3,
13166,34502,53502,,,,3,
13167,34503,53503,,,,3,
13168,34504,53504,,,,3,
13169,34505,53505,,,,3,
13170,34506,53506,,,,3,
13171,34507,53507,,,,3,
13172,34508,53508,,,,3,
13173,34501,53509,,,,3,
13174,34502,53510,,,,3,
13175,34503,53511,,,,3,
13176,34504,53512,,,,3,
13177,34505,53513,,,,3,
13178,34506,53514,,,,3,
13179,34507,53515,,,,3,
13180,34508,53516,,,,3,
13181,34601,53601,,,,3,
13182,34602,53602,,,,3,
13183,34603,53603,,,,3,
13184,34604,53604,,,,3,
13185,34605,53605,,,,3,
13186,34606,53606,,,,3,
13187,34607,53607,,,,3,
13188,34608,53608,,,,3,
13189,34601,53609,,,,3,
13190,34602,53610,,,,3,
13191,34603,53611,,,,3,
13192,35002,53612,,,,3,
13193,35002,53613,,,,3,
13194,34606,53614,,,,3,
13195,34607,53615,,,,3,
13196,34608,53616,,,,3,
13197,34701,53701,,,,3,
13198,34702,53702,,,,3,
13199,34703,53703,,,,3,
13200,34704,53704,,,,3,
13201,34705,53705,,,,3,
13202,52068,53706,,,,3,
13203,34707,53707,,,,3,
13204,34701,53708,,,,3,
13205,34702,53709,,,,3,
13206,34703,53710,,,,3,
13207,34704,53711,,,,3,
13208,34705,53712,,,,3,
13209,34706,53713,,,,3,
13210,34707,53714,,,,3,
13211,34801,53801,,,,3,
13212,34802,53802,,,,3,
13213,34803,53803,,,,3,
13214,34804,53804,,,,3,
13215,34805,53805,,,,3,
13216,34806,53806,,,,3,
13217,34807,53807,,,,3,
13218,34808,53808,,,,3,
13219,34809,53809,,,,3,
13220,34810,53810,,,,3,
13221,34801,53811,,,,3,
13222,34802,53812,,,,3,
13223,34803,53813,,,,3,
13224,34804,53814,,,,3,
13225,34805,53815,,,,3,
13226,34806,53816,,,,3,
13227,34807,53817,,,,3,
13228,34808,53818,,,,3,
13229,34809,53819,,,,3,
13230,34810,53820,,,,3,
13231,34901,53901,,,,3,化生助战1
13232,34902,53902,,,,3,化生助战2
13233,34903,53903,,,,3,化生助战3
13234,34018,53904,,,,3,化生-推气过功
13235,34023,53905,,,,3,化生-金刚护法
13236,34017,53906,,,,3,化生-我佛慈悲
13237,34604,53907,,,,3,化生-唧唧歪歪
13238,34901,53908,,,,3,方寸助战1
13239,34902,53909,,,,3,方寸助战2
13240,34903,53910,,,,3,方寸助战3
13241,34904,53911,,,,3,方寸-五雷咒
13242,34905,53912,,,,3,方寸-定身符
13243,34906,53913,,,,3,方寸-失心符
13244,34907,53914,,,,3,方寸-离魂符
14011,,,,14101@1;14103@1;14105@1;14106@1;14104@1,,12,战士擅长毁灭打击2
14012,,,,14101@1;14103@1;14107@1;14139@1;14108@1;14104@1,,12,战士擅长幻影斩1
14021,,,,14102@1;14103@1;14109@1;14104@1,,12,圣骑擅长神谕责难2
14022,,,,14102@1;14103@1;14110@1;14104@1,,12,圣骑擅长混乱感召4
14023,,,,14102@1;14103@1;14111@1;14112@1;14113@1;14104@1,,12,圣骑擅长无边定罪1
14031,,,,14101@1;14103@1;14114@1;14104@1,,12,猎人擅长多重打击1
14032,,,,14101@1;14103@1;14115@1;14116@1;14104@1,,12,猎人擅长诱捕打击2
14033,,,,14101@1;14103@1;14117@1;14118@1;14104@1,,12,猎人擅长稳固打击3
14041,,,,14102@1;14103@1;14119@1;14120@1;14121@1;14122@1;14104@1,,12,德鲁伊通用
14051,,,,14102@1;14103@1;14123@1;14124@1;14125@1;14104@1,,12,法师擅长暴风雪1
14052,,,,14102@1;14103@1;14126@1;14127@1;14128@1;14104@1,,12,法师擅长奥术冲击2
14053,,,,14102@1;14103@1;14129@1;14130@1;14131@1;14104@1,,12,法师擅长从容不迫4
14061,,,,14102@1;14103@1;14132@1;14133@1;14134@1;14135@1;14104@1,,12,牧师擅长治疗祷言2
14062,,,,14102@1;14103@1;14136@1;14137@1;14138@1;14104@1,,12,牧师擅长苏生3
14101,34001,54001,,,,3,
14102,34001,54002,,,,3,
14103,34002,54002,,,,3,
14104,,54003,,,,3,野外暗雷刷怪通用
14105,34003,54101,,,,3,
14106,34004,54102,,,,3,
14107,34021,54103,,,,3,
14108,34004,54104,,,,3,
14109,34007,54201,,,,3,
14110,34007,54202,,,,3,
14111,34005,54203,,,,3,
14112,34006,54204,,,,3,
14113,34007,54205,,,,3,
14114,34008,54301,,,,3,
14115,34020,54302,,,,3,
14116,34007,54303,,,,3,
14117,34008,54304,,,,3,
14118,,54305,,,,3,
14119,34009,54401,,,,3,
14120,34010,54402,,,,3,
14121,34011,54403,,,,3,
14122,34012,54404,,,,3,
14123,34013,54501,,,,3,
14124,34014,54502,,,,3,
14125,34008,54503,,,,3,
14126,34013,54504,,,,3,
14127,34014,54505,,,,3,
14128,34008,54506,,,,3,
14129,34013,54507,,,,3,
14130,34014,54508,,,,3,
14131,34008,54509,,,,3,
14132,34016,54601,,,,3,
14133,34017,54602,,,,3,
14134,34018,54603,,,,3,
14135,34019,54604,,,,3,
14136,34017,54605,,,,3,
14137,34018,54606,,,,3,
14138,34019,54607,,,,3,
14139,34022,54101,,,,3,战士擅长幻影斩1补充
15101,35000,55001,,,,5,
15102,35004,55002,,,,3,
20001,,,,15101@1;15102@1,,5,
20000,,,,16007@1;16008@1,,5,沐丝救人、治疗AI
15111,35001,55011,,,,5,8600，劣人喊话1
15112,35018,55012,,,,13,8600，劣人喊话2
15113,35001,55013,,,,3,8600，联盟猎人喊话
15114,35008,55014,,,,3,8600，修玛无差别攻击（敌我双方）
20050,,,,15111@1;15112@1,,5,8600，劣人AI
15115,35010,55015,,,,5,8601，玩家喊话
15116,35001,55016,,,,3,8601，劣人喊话1
15117,35001,55017,,,,5,8601，劣人喊话2
15144,35020,55017,,,,5,8601，劣人喊话2
15123,35008,55023,,,,3,8600，劣人攻击狮王休玛
20051,,,,15116@1;15117@1;15144@1,,5,8601，劣人AI
15118,35001,55018,,,,5,8602，会长喊话1
15119,35002,55019,,,,5,8602，会长喊话2
20052,,,,15118@1;15119@1,,5,8602，会长AI
15120,35001,55020,,,,3,8602，盗贼姑娘喊话
15121,35001,55021,,,,2,8602，冬喊话1
15122,35019,55022,,,,9,8602，冬喊话2
20053,,,,15121@1;15122@1,,5,8602，冬AI
15124,35001,55024,,,,3,"8603,冬喊话"
15125,35001,55025,,,,5,8604，劣人喊话
15143,35001,55043,,,,3,8604，劣人逃跑
20058,,,,15125@1;15143@1,,5,8604，劣人AI
15126,35010,55026,,,,2,8604，玩家喊话
15127,35001,55027,,,,2,8605，劣人喊话
15128,35008,55028,,,,3,8605，劣人攻击大囧龟
20054,,,,15127@1;15128@1,,5,8605，劣人AI
15129,35001,55029,,,,3,8606，哀木涕喊话
15130,35001,55030,,,,3,8606，美屡喊话
15131,35010,55031,1,,,3,8606，玩家喊话
15132,35001,55032,,,,5,8607，哀木涕喊话
15133,35001,55033,,,,3,8607，小德喊话
15134,35001,55034,,,,3,8602，大小姐群秒技能
15135,34005,55035,,,,3,8602，大小姐控制技能
15136,34023,55036,,,,3,8602，大小姐辅助技能
20055,,,,15134@1;15135@1;15136@1,,5,8605，劣人AI
15137,35001,55037,,,,4,8603，哀木涕喊话
15138,35021,55038,,,,13,"8603,战斗结束冬喊话"
20056,,,,15124@1;15138@1,,5,"8603,冬AI"
15139,35001,55039,,,,3,8604，哀木涕喊话
16802,35801,56801,,,,3,8604，小软精英放舍身击
15140,35022,55040,,,,4,8606，召唤食人工头
16800,35800,56800,,,,3,8606，食人工头施放技能
16801,,,,16800@1;15140@1,,4,8606，召唤食人工头
15141,35001,55041,,,,3,8607，阿鲁高喊话
15142,35002,55042,,,,2,8607，阿鲁高喊话
15145,35001,55045,,,,3,8609，小德喊话1，并降防
15146,35002,55046,,,,2,8609，小德喊话2
20086,,,,15145@1;15146@1,,5,8609，小德AI
15147,35046,55047,,,,4,8609，野猪人召唤
15148,35001,55048,,,,3,8609，哀木涕嘲讽
15149,35047,55049,,,,3,8609，哀木涕幻影斩
20087,,,,15148@1;15149@1,,5,8609，哀木涕AI
20057,,,,15141@1;15142@1,,5,8607，阿鲁高AI
16000,,,,16001@1;16006@1,,5,妖风剧情AI
16001,35011,56001,,,,2,主角、妖风、杨戬
16002,35001,56002,,,,2,妖风喊话1
16003,35002,56003,,,,2,妖风喊话2
16004,35003,56004,1,,,4,妖风喊话3
16005,35003,56005,,,,3,杨戬喊话
16006,35009,56006,1,,,3,主角喊话-第二回合
20032,,,,14132@1;14133@1;16005@1,,5,沐丝剧情AI
16007,35026,56007,,,,3,沐丝救人
16008,35027,56008,,,,3,沐丝治疗
20003,,,,16007@1;16008@1,,5,新手战斗阿尔萨斯AI
16009,35010,56007,,,,5,主角喊话1
16010,35009,56011,,,,2,主角喊话2并召唤
16011,35011,56012,1,,,3,主角喊话3
16016,35009,56026,,,,2,主角召唤萨尔
20004,,,,16009@1;16010@1;16011@1,,5,新手战斗主角AI
16012,35001,56009,,,,3,哀木涕嘲讽技能
16025,35013,56015,,,,3,牧师复活主角
16026,,,,16012@1;16160@1;16161@1,,5,牧师AI
16013,35001,56010,,,,13,战士喊话
16066,35001,53104,,,,3,战士嘲讽
20065,,,,16013@1;16066@1,,5,新手战斗麦迪文AI
16014,35002,56016,,,,2,麦迪文保护主角
16015,35002,56017,,,,3,麦迪文释放特技
20005,,,,16014@1;16015@1,,5,新手战斗麦迪文AI
16017,35002,56018,,,,3,
16018,35003,56018,,,,3,
16029,35001,56029,,,,3,辛德拉苟萨防御
20006,,,,16017@1;16018@1;16029@1,,5,辛德拉苟萨AI
20007,35001,55090,,,,3,普通攻击萨尔
20008,35001,56019,,,,3,普通攻击安度因
16027,35001,56027,,,,3,普通攻击战士首席
16028,35001,56028,,,,3,普通攻击法师首席
16160,35001,56180,,,,3,新手战斗，战士嘲讽喊话
16161,35001,56181,,,,3,牧师第一回合治疗主角
16162,35024,56182,,,,3,牧师释放治疗技能
20060,,,,16161@1;16162@1,,5,新手战斗牧师AI
16163,35001,56183,,,,3,新手战斗德鲁伊释放绿之潮
16164,35002,56184,,,,3,新手战斗德鲁伊释放黄昏花蕾
20061,,,,16163@1;16164@1,,5,新手战斗牧师AI
16165,35025,56185,,,,3,新手战斗法师羊冰龙
16166,35023,56186,,,,3,新手战斗法师单秒
20062,,,,16165@1;16166@1,,5,新手战斗法师AI
16167,35008,56187,,,,3,新手战斗，单秒战士29400
16168,35008,56188,,,,3,新手战斗，单秒小德29401
16169,35008,56189,,,,3,新手战斗，单秒法师29402
16170,35008,56190,,,,3,新手战斗，单秒牧师29403
16171,35002,56191,,,,3,辛德拉苟萨吼叫
16172,35001,56192,,,,3,新手战斗，艾尔索斯群法技能
16173,35002,56193,,,,3,艾尔索斯三连击主角
20063,,,,16172@1;16173@1,,5,艾尔索斯战斗AI
16174,35002,56194,,,,3,新手战斗，索尔释放狂热 图腾
16175,35010,56195,,,,5,新手战斗主角喊话
16176,35009,56196,,,,2,新手战斗主角召唤萨尔
16177,35011,56197,,,,3,新手战斗主角喊话
20064,,,,16175@1;16176@1;16177@1,,5,新手战斗主角AI
16019,35002,56021,,,,3,大小姐技能全场残血
16020,35001,56022,,,,3,大小姐喊话
20010,,,,16019@1;16020@1,,5,大小姐喊话
16021,35001,56130,,,,3,劣人封印暗夜男
16022,35001,56020,,,,3,方砖打残对方8504
16023,35002,56132,,,,3,傻馒必杀
16024,35009,56023,,,,2,主角召唤傻馒
16300,35001,56133,,,,16,方砖AI
20011,,,,16019@1;16022@1;16300@1,,5,方砖剧情AI
16030,35001,56030,,,,5,阿尔萨斯喊话1
16031,35001,56031,,,,3,阿尔萨斯喊话2，秒杀哀木涕
16032,35002,56032,,,,3,阿尔萨斯喊话3，秒杀沐丝
16033,35003,56033,,,,2,阿尔萨斯喊话4
16034,35002,56034,,,,3,阿尔萨斯喊话5，秒杀全场
20013,,,,16030@1;16034@1,,5,阿尔萨斯AI
16035,35010,56035,,,,2,主角喊话1
16036,35009,56036,,,,2,主角喊话2
20014,,,,16035@1;16036@1,,5,主角AI
16037,35001,56038,,,,3,沐丝喊话
20034,,,,14132@1;14133@1,,5,沐丝剧情AI
16038,35002,56037,,,,3,魔狼沃根喊话
16039,35010,56039,,,,5,主角喊话
16040,35001,56040,,,,5,卡尔加喊话
16041,35001,56041,,,,2,哀木涕喊话
16042,35001,56042,,,,2,劣人喊话
16043,35010,56061,,,,2,
16044,35001,56059,,,,5,
16045,35001,56060,,,,5,
16046,35001,56050,,,,5,寒冰王子开场对白
16047,35001,56058,,,,3,卡尔加将主角打残血
16048,35010,56051,,,,2,主角喊话
16049,35001,56059,,,,3,阿迦玛甘之佑（无敌）
16050,35001,56053,,,,3,寒冰王子第一回称出手
16051,35001,56054,,,,3,卡尔加第一回合喊话
16052,35001,56055,,,,3,小野猪人喊话
16053,35002,56060,,,,3,阿迦玛甘之力（满血）
16054,35003,56056,,,,3,寒冰王子使用奥术冲击，造成0点伤害
16055,35003,56054,,,,3,卡尔加防御
16056,35009,56057,1,,,3,主角喊话2
16057,35003,56061,,,,3,阿迦玛甘之怒（buff无限加成）
20020,,,,16046@1;16050@1,,5,寒冰王子AI
20021,,,,16047@1;16051@1;16055@1,,5,卡尔加AI
20022,,,,16048@1;16052@1;16056@1,,5,主角AI
20023,,,,16049@1;16053@1;16057@1,,5,阿迦玛甘AI
16058,34017,70008,,,,3,己方死亡大于1-使用回魂咒-50%
16059,35001,56063,,,,3,发狂的野猪喊话
20033,,,,16007@1;16008@1;16059@1,,5,沐丝剧情AI8503
16060,35010,56064,1,,,3,玩家AI8503
16061,40072,56063,1,,,2,发狂的野猪喊话1
16062,40072,56065,1,,,2,发狂的老虎喊话2
16063,35001,62012,1,,,3,蝰蛇释放魔兽之印
16064,35003,56075,1,,,3,第三回合逃跑
16065,35011,70005,1,,,5,主角喊话
16067,35001,70002,1,,,3,媛媛第一回合说话
16068,35002,70003,1,,,3,媛媛第二回合释放技能
16069,35003,70004,1,,,3,媛媛第三回合说话
16070,35001,70006,1,,,3,蝰蛇释放魔兽之印
16071,35004,70007,1,,,3,蜃蛇，要死了说话
16072,35001,56074,,,,5,
16073,35010,56077,1,,,3,
16074,35001,56079,,,,3,
16075,35001,56080,,,,3,
16076,35001,56081,,,,3,
16077,35001,56082,,,,3,
16078,35001,56083,,,,3,
16079,35001,56084,,,,3,
16080,35001,56089,,,,5,
16081,35002,56090,,,,5,
20025,,,,16080@1;16081@1,,5,猎人AI8514
16082,35001,56091,,,,3,
16083,35010,56092,1,,,3,
16084,35001,56094,,,,2,
16085,35001,56095,,,,5,
16086,35002,56096,,,,2,
20026,,,,16085@1;16086@1,,5,美屡AI8515
16087,35001,56097,,,,3,
16088,35001,56101,,,,5,
16089,35010,56102,1,,,3,
16090,35001,56104,,,,5,
16091,35001,56105,,,,16,
20027,,,,16090@1;16091@1,,5,阿格曼奇AI8518
16092,35010,56106,,,,2,
16100,35001,56107,,,,5,
16101,35010,56108,,,,5,
16102,35010,56109,,,,2,
20028,,,,16101@1;16102@1,,5,主角AI8520
16103,35010,56113,,,,5,
16104,35010,56114,1,,,3,
20029,,,,16103@1;16104@1,,5,主角AI8522
16105,35001,56115,,,,2,
16106,35001,56121,,,,5,
16107,35001,56122,,,,3,
16108,35001,56123,,,,3,
16109,35001,56125,,,,3,
16110,35010,56126,1,,,3,
16111,35002,56127,,,,3,
20030,,,,16109@1;16111@1,,5,炮姐AI8526
16112,35009,56128,1,,,3,
20031,,,,16110@1;16112@1,,5,主角AI8526
16115,35001,56134,,,,5,大小姐喊话
16116,35001,56135,,,,3,暗夜男召唤并喊话回答
16117,35001,56136,,,,2,大小姐质问光棍
16118,35001,56137,,,,2,光棍团答复
16119,35002,56138,,,,3,大小姐让光棍团出手
20036,,,,16115@1;16119@1,,5,大小姐剧情AI8519
16120,35001,56139,,,,5,大小姐再次质问光棍
16121,35001,56140,,,,3,暗夜男说话并召唤光棍
16122,35001,56141,,,,3,光棍喊话
16130,35010,56151,,,,3,8540主角召唤神秘人
16131,35001,56152,,,,3,8540死灵法师召唤亡灵战士1
16132,35001,56153,,,,3,8540死灵法师召唤亡灵战士2
16133,35001,56154,,,,3,8540死灵法师召唤亡灵战士3
16134,35001,56155,,,,13,8540神秘隐士喊话
16158,35017,56179,,,,3,8540神秘隐士逃跑
20047,,,,16134@1;16158@1,,5,8540神秘隐士剧情AI
16135,35001,56156,,,,5,8541地中海喊话
16136,35001,56157,,,,3,8541哀木涕喊话
16137,35001,56158,,,,5,8543伊森利恩喊话1
16138,35001,56159,,,,13,8543伊森利恩喊话2
16139,35001,56160,,,,3,8543泰兰弗丁喊话
16196,35028,56200,,,,3,8543伊森利恩技能心灵之火
16197,35029,56201,,,,3,8543伊森利恩技能复生
16198,35030,56198,,,,3,8543伊森利恩技能治疗
20040,,,,16137@1;16138@1;16196@1;16197@1,,5,8543伊森利恩剧情AI
16140,35001,56161,,,,2,8544血色百夫长喊话1
16141,35002,56162,,,,3,8544血色百夫长喊话2
16142,35015,56163,,,,3,8544血色百夫长喊话3并逃跑
20041,,,,16140@1;16141@1;16142@1,,5,8544血色百夫长剧情AI
16143,35001,56164,,,,2,8545莫格莱尼喊话
16144,35001,56165,,,,3,8545全体血色护卫喊话
16145,35016,56166,,,,3,8545中奶怀特复活雷诺并喊话
16146,35048,56167,,,,4,8545莫格莱尼喊话
20042,,,,16143@1;16146@1,,5,8545莫格莱尼剧情AI
16147,35001,56168,,,,2,8546恐惧魔王喊话1
16156,35001,56177,,,,3,8546恐惧魔王喊话2
16157,35002,56178,,,,3,8546恐惧魔王喊话3
20046,,,,16147@1;16156@1;16157@1,,5,8546恐惧魔王剧情AI
16148,35001,56169,,,,2,8547缝合憎恶喊话
16149,35001,56170,,,,5,8548莫格莱尼喊话
16150,35001,56171,,,,2,8548达利安喊话
16151,35001,56172,,,,3,8548莫格莱尼喊话
16152,35001,56173,,,,3,8548达利安喊话
20043,,,,16149@1;16151@1,,5,8545莫格莱尼剧情AI
20044,,,,16150@1;16152@1,,5,8545莫格莱尼剧情AI
16153,35001,56174,,,,2,8549天灾先锋喊话
16154,35001,56175,,,,2,8551达利安喊话
16155,35001,56176,,,,3,8551达利安喊话
20045,,,,16154@1;16155@1,,5,8551达利安剧情AI
16182,35001,56202,,,,3,8551天灾精英释放心灵之火
16183,35036,56203,,,,3,8551天灾精英释放奥数爆击
20048,,,,16182@1;16183@1,,5,8551天灾精英AI
16184,35031,56204,,,,3,8551精英助手控制
16185,35032,56205,,,,3,8551精英助手神谕责难
20049,,,,16185@1;16184@1,,5,8551精英助手控制AI
16186,35033,56206,,,,3,8551精英助手群体治疗
16187,35034,56207,,,,3,8551精英助手单体治疗
16188,35035,56208,,,,3,8551精英助手复活
20070,,,,16188@1;16187@1;16186@1,,5,8551精英助手治疗AI
16199,35001,56199,,,,3,8544血色战士喊话
16400,35001,56400,,,,3,8552玛格汉俘虏逃跑
16401,35038,56401,,,,3,8552阿格拉先祖之魂
16402,35037,56402,,,,3,8552阿格拉闪电链
20080,,,,16401@1;16402@1,,5,8552阿格拉AI
16403,35001,56403,,,,5,8553食人魔头领喊话
16404,35039,56404,,,,3,8554奥罗巴使用黄昏花蕾
16405,35040,56405,,,,3,8554奥罗巴使用绿之潮
20081,,,,16404@1;16405@1,,5,8554奥罗巴AI
16406,35041,56406,,,,3,8555愤怒的树灵单秒
16407,35042,56407,,,,3,8555树灵卫兵控制
16408,35001,56408,,,,3,8555树灵张老喊话并使用心灵之火
16409,35043,56409,,,,3,8555树灵张老治疗
20082,,,,16408@1;16409@1,,5,8555树灵张老AI
