"技能id","技能名","技能定位","技能类型","图标编号","消耗1属性编号","消耗系数a1","消耗系数b1","显示消耗1","消耗2属性编号","消耗系数a2","消耗系数b2","显示消耗2","目标类型","战斗内外使用","魔法入口","技能剧情描述","技能描述","排序","技能描述1","技能描述2","技能描述3","技能描述4","技能描述5","技能描述6","技能描述7","技能升级描述","技能升级描述1","技能升级描述2","技能升级描述3","技能升级描述4","技能升级描述5","技能升级描述6","技能升级描述7","技能等级1","技能等级2","技能等级3","技能等级4","技能等级5","技能等级6","技能等级7"
"110014","亢强","亢强","坚若磐石：增加人物法术防御","27","-1","0","0","无消耗","-1","0","0","","1","1","","亢强","亢强","11","亢强","亢强","亢强","亢强","亢强","亢强","亢强","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110015","干将","干将","风驰霆击：增加人物物理暴击","28","-1","0","0","无消耗","-1","0","0","","1","1","","干将","干将","12","干将","干将","干将","干将","干将","干将","干将","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110016","惊天动地","惊天动地","救死扶伤：增加人物治疗强度","29","-1","0","0","无消耗","-1","0","0","","1","1","","惊天动地","惊天动地","13","惊天动地","惊天动地","惊天动地","惊天动地","惊天动地","惊天动地","惊天动地","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110017","破势","破势","道高魔重：增加人物法术抗暴","30","-1","0","0","无消耗","-1","0","0","","1","1","","破势","破势","14","破势","破势","破势","破势","破势","破势","破势","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110018","额外能力","额外能力","干将莫邪：增加人物物理伤害","31","-1","0","0","无消耗","-1","0","0","","1","1","","额外能力","额外能力","15","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110019","勇进","勇进","气血方刚：增加人物气血","32","-1","0","0","无消耗","-1","0","0","","1","1","","勇进","勇进","16","勇进","勇进","勇进","勇进","勇进","勇进","勇进","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110020","勇武","勇武","铜墙铁壁：增加人物物理防御","33","-1","0","0","无消耗","-1","0","0","","1","1","","勇武","勇武","17","勇武","勇武","勇武","勇武","勇武","勇武","勇武","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110021","念心","念心","道高魔重：增加人物法术抗暴","34","-1","0","0","无消耗","-1","0","0","","1","1","","念心","念心","18","念心","念心","念心","念心","念心","念心","念心","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110022","勇念","勇念","风驱电击：增加人物法术暴击","35","-1","0","0","无消耗","-1","0","0","","1","1","","勇念","勇念","19","勇念","勇念","勇念","勇念","勇念","勇念","勇念","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110023","不惊","不惊","道高魔重：增加人物法术抗暴","36","-1","0","0","无消耗","-1","0","0","","1","1","","不惊","不惊","20","不惊","不惊","不惊","不惊","不惊","不惊","不惊","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110024","孤勇","孤勇","杯弓蛇影：增加人物物理抗暴","37","-1","0","0","无消耗","-1","0","0","","1","1","","孤勇","孤勇","21","孤勇","孤勇","孤勇","孤勇","孤勇","孤勇","孤勇","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110025","破军","破军","换斗移星：增加人物法术伤害","38","-1","0","0","无消耗","-1","0","0","","1","1","","破军","破军","22","破军","破军","破军","破军","破军","破军","破军","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110026","突刺","突刺","千里神行：增加人物速度","39","-1","0","0","无消耗","-1","0","0","","1","1","","突刺","突刺","23","突刺","突刺","突刺","突刺","突刺","突刺","突刺","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110027","长驱直入","长驱直入","气血方刚：增加人物气血","40","-1","0","0","无消耗","-1","0","0","","1","1","","长驱直入","长驱直入","24","长驱直入","长驱直入","长驱直入","长驱直入","长驱直入","长驱直入","长驱直入","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110028","静岳","静岳","铜墙铁壁：增加人物物理防御","41","-1","0","0","无消耗","-1","0","0","","1","1","","静岳","静岳","25","静岳","静岳","静岳","静岳","静岳","静岳","静岳","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110029","神凝","神凝","救死扶伤：增加人物治疗强度","42","-1","0","0","无消耗","-1","0","0","","1","1","","神凝","神凝","26","神凝","神凝","神凝","神凝","神凝","神凝","神凝","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110030","突进","突进","杯弓蛇影：增加人物物理抗暴","43","-1","0","0","无消耗","-1","0","0","","1","1","","突进","突进","27","突进","突进","突进","突进","突进","突进","突进","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110031","熟练","熟练","气血方刚：增加人物气血","44","-1","0","0","无消耗","-1","0","0","","1","1","","熟练","熟练","28","熟练","熟练","熟练","熟练","熟练","熟练","熟练","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110032","无双战神","无双战神","救死扶伤：增加人物治疗强度，挂金封印：增加人物封印命中","45","-1","0","0","无消耗","-1","0","0","","1","1","","无双战神","无双战神","29","无双战神","无双战神","无双战神","无双战神","无双战神","无双战神","无双战神","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"120000","黄庭经","黄庭经","道学曰太清，修气心自明。紫阁仙府内，仙人诵黄庭。","25","-1","0","0","无消耗","-1","0","0","","1","1","","道学曰太清，修气心自明。紫阁仙府内，仙人诵黄庭。","方寸山基础技能。","1","方寸山基础技能。","方寸山基础技能。","方寸山基础技能。","方寸山基础技能。","方寸山基础技能。","方寸山基础技能。","方寸山基础技能。","永久增加角色的封印命中、气血。","永久增加角色的封印命中、气血。","永久增加角色的封印命中、气血。","永久增加角色的封印命中、气血。","永久增加角色的封印命中、气血。","永久增加角色的封印命中、气血。","永久增加角色的封印命中、气血。","永久增加角色的封印命中、气血。","1","200","200","200","200","200","200"
"120001","五雷咒","五雷咒","催动霹雳鬼神惊，斩妖除魔仗雷霆。","26","100","1.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","催动霹雳鬼神惊，斩妖除魔仗雷霆。","法术攻击3个目标。小概率引发雷暴对敌方产生雷击效果持续扣血并且对首目标概率附加失心符。","2","法术攻击3个目标。小概率引发雷暴对敌方产生火烧效果持续扣血并且对首目标概率附加失心符。","法术攻击3个目标。小概率引发雷暴对敌方产生火烧效果持续扣血并且对首目标概率附加失心符。","法术攻击3个目标。小概率引发雷暴对敌方产生火烧效果持续扣血并且对首目标概率附加失心符。","法术攻击3个目标。小概率引发雷暴对敌方产生火烧效果持续扣血并且对首目标概率附加失心符。","法术攻击3个目标。小概率引发雷暴对敌方产生火烧效果持续扣血并且对首目标概率附加失心符。","法术攻击3个目标。小概率引发雷暴对敌方产生火烧效果持续扣血并且对首目标概率附加失心符。","法术攻击3个目标。小概率引发雷暴对敌方产生火烧效果持续扣血并且对首目标概率附加失心符。","增加使用时的伤害，60级可攻击4个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","1","60","70","90","200","200","200"
"120002","定身符","定身符","极为强大的符咒，让敌人无法动弹。","27","100","1.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","极为强大的符咒，让敌人无法动弹。","封印目标物理和法术，下回合封印命中率降低,且不可连续使用。","4","封印目标物理和法术，下回合封印命中率降低,且不可连续使用。","封印目标物理和法术，下回合封印命中率降低,且不可连续使用。","封印目标物理和法术，下回合封印命中率降低,且不可连续使用。","封印目标物理和法术，下回合封印命中率降低,且不可连续使用。","封印目标物理和法术，下回合封印命中率降低,且不可连续使用。","封印目标物理和法术，下回合封印命中率降低,且不可连续使用。","临时提升命中率封印目标物理和法术，下回合封印命中率降低，且不可连续使用。","增加技能使用时的效果。","增加技能使用时的效果。","增加技能使用时的效果。","增加技能使用时的效果。","增加技能使用时的效果。","增加技能使用时的效果。","增加技能使用时的效果。","增加技能使用时的效果。","1","60","200","200","200","200","200"
"120003","失忆符","失忆符","失传已久的符咒，让敌人心神不定。","28","100","1.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","失传已久的符咒，让敌人心神不定。","封印敌方，使敌方无法使用药品，特技。","6","封印敌方，使敌方无法使用药品，特技。","封印敌方，使敌方无法使用药品，特技。","封印敌方，使敌方无法使用药品，特技。","封印敌方，使敌方无法使用药品，特技。","封印敌方，使敌方无法使用药品，特技。","封印敌方，使敌方无法使用药品，特技。","封印敌方，使敌方无法使用药品，特技。","增加技能使用时的效果，永久增加角色的速度。","增加技能使用时的效果，永久增加角色的速度。","增加技能使用时的效果，永久增加角色的速度。","增加技能使用时的效果，永久增加角色的速度。","增加技能使用时的效果，永久增加角色的速度。","增加技能使用时的效果，永久增加角色的速度。","增加技能使用时的效果，永久增加角色的速度。","增加技能使用时的效果，永久增加角色的速度。","1","200","200","200","200","200","200"
"120004","离魂符","离魂符","上古天书中的怪异符咒，让敌人魂魄迷乱，身不由己。","29","100","1.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","上古天书中的怪异符咒，让敌人魂魄迷乱，身不由己。","以较低命中率混乱目标，使其不分敌我攻击。混乱状态不能被药品解除。","5","以较低命中率混乱目标，使其不分敌我攻击。混乱状态不能被药品解除。","以较低命中率混乱目标，使其不分敌我攻击。混乱状态不能被药品解除。","以较低命中率混乱目标，使其不分敌我攻击。混乱状态不能被药品解除。","以较低命中率混乱目标，使其不分敌我攻击。混乱状态不能被药品解除。","以较低命中率混乱目标，使其不分敌我攻击。混乱状态不能被药品解除。","以较低命中率混乱目标，使其不分敌我攻击。混乱状态不能被药品解除。","以较低命中率混乱目标，使其不分敌我攻击。混乱状态不能被药品解除。","增加技能使用时的效果，永久增加角色的封印抵抗。","增加技能使用时的效果，永久增加角色的封印抵抗。","增加技能使用时的效果，永久增加角色的封印抵抗。","增加技能使用时的效果，永久增加角色的封印抵抗。","增加技能使用时的效果，永久增加角色的封印抵抗。","增加技能使用时的效果，永久增加角色的封印抵抗。","增加技能使用时的效果，永久增加角色的封印抵抗。","增加技能使用时的效果，永久增加角色的封印抵抗。","1","200","200","200","200","200","200"
"120005","失心符","失心符","抛出有箴言的符咒，让敌人呆若木鸡，漏洞百出。","30","100","1.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","失传已久的符咒，让敌人心神不定，而自己更加气定神闲。","封印目标法术，命中后降低敌方物理防御。","3","封印目标法术，命中后降低敌方物理防御。","封印目标法术，命中后降低敌方物理防御。","封印目标法术，命中后降低敌方物理防御。","封印目标法术，命中后降低敌方物理防御。","封印目标法术，命中后降低敌方物理防御。","封印目标法术，命中后降低敌方物理防御。","封印目标法术，命中后降低敌方物理防御。","增加降低物防效果，永久增加角色的物理防御。","增加降低物防效果，永久增加角色的物理防御。","增加降低物防效果，永久增加角色的物理防御。","增加降低物防效果，永久增加角色的物理防御。","增加降低物防效果，永久增加角色的物理防御。","增加降低物防效果，永久增加角色的物理防御。","增加降低物防效果，永久增加角色的物理防御。","增加降低物防效果，永久增加角色的物理防御。","1","60","200","200","200","200","200"
"120006","神兵护法","神兵护法","方寸山弟子可以用符咒召唤神兵之力，让装备更坚固。","31","-1","0.667","6","消耗：$parameter1$活力","-1","0","0","","1","1","","方寸山弟子可以用符咒召唤神兵之力，让装备更坚固。","制造一张临时符，可给头盔增加物理防御。","7","制造一张临时符，可给头盔增加物理防御。","制造一张临时符，可给头盔增加物理防御。","制造一张临时符，可给头盔增加物理防御。","制造一张临时符，可给头盔增加物理防御。","制造一张临时符，可给头盔增加物理防御。","制造一张临时符，可给头盔增加物理防御。","制造一张临时符，可给头盔增加物理防御。","增加临时符附加物理防御的效果。","增加临时符附加物理防御的效果。","增加临时符附加物理防御的效果。","增加临时符附加物理防御的效果。","增加临时符附加物理防御的效果。","增加临时符附加物理防御的效果。","增加临时符附加物理防御的效果。","增加临时符附加物理防御的效果。","1","200","200","200","200","200","200"
"120007","幻音古钟","幻音古钟","方寸山门派绝技。相传三星洞中有古钟一座，其声响彻万里，神仙鬼怪听闻，无不心旌荡漾。","32","120","0","120","消耗：$parameter1$愤怒","-1","0","0","","480","1","","方寸山门派绝技。相传三星洞中有古钟一座，其声响彻万里，神仙鬼怪听闻，无不心旌荡漾。","干扰敌方5个目标，随机使其进入失心、定身，离魂状态，持续3回合，首目标必中，其他目标为基础命中率的35%，使用后虚弱休息1回合。","8","干扰敌方5个目标，随机使其进入失心、定身，离魂状态，持续3回合，首目标必中，其他目标为基础命中率的35%，使用后虚弱休息1回合。","干扰敌方5个目标，随机使其进入失心、定身，离魂状态，持续3回合，首目标必中，其他目标为基础命中率的35%，使用后虚弱休息1回合。","干扰敌方5个目标，随机使其进入失心、定身，离魂状态，持续3回合，首目标必中，其他目标为基础命中率的35%，使用后虚弱休息1回合。","干扰敌方5个目标，随机使其进入失心、定身，离魂状态，持续3回合，首目标必中，其他目标为基础命中率的35%，使用后虚弱休息1回合。","干扰敌方5个目标，随机使其进入失心、定身，离魂状态，持续3回合，首目标必中，其他目标为基础命中率的35%，使用后虚弱休息1回合。","干扰敌方5个目标，随机使其进入失心、定身，离魂状态，持续3回合，首目标必中，其他目标为基础命中率的35%，使用后虚弱休息1回合。","干扰敌方5个目标，随机使其进入失心、定身，离魂状态，持续3回合，首目标必中，其他目标为基础命中率的35%，使用后虚弱休息1回合。","增加技能使用时的效果。","增加技能使用时的效果。","增加技能使用时的效果。","增加技能使用时的效果。","增加技能使用时的效果。","增加技能使用时的效果。","增加技能使用时的效果。","增加技能使用时的效果。","1","2","3","4","5","6","7"
"120012","雷动","雷动","铜墙铁壁：增加人物物理防御","2381","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","9","雷动","雷动","雷动","雷动","雷动","雷动","雷动","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"120013","黄粱","黄粱","千里神行：增加人物速度","2382","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","10","黄粱","黄粱","黄粱","黄粱","黄粱","黄粱","黄粱","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"120014","补缺","补缺","坚若磐石：增加人物法术防御","2383","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","11","补缺","补缺","补缺","补缺","补缺","补缺","补缺","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"120015","化身","化身","风驰霆击：增加人物物理暴击","2384","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","12","化身","化身","化身","化身","化身","化身","化身","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"120016","斗法","斗法","救死扶伤：增加人物治疗强度","2385","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","13","斗法","斗法","斗法","斗法","斗法","斗法","斗法","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"120017","鬼念","鬼念","道高魔重：增加人物法术抗暴","2386","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","14","鬼念","鬼念","鬼念","鬼念","鬼念","鬼念","鬼念","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"120018","额外能力","额外能力","干将莫邪：增加人物物理伤害","2379","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","15","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"120019","苦缠","苦缠","气血方刚：增加人物气血","2387","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","16","苦缠","苦缠","苦缠","苦缠","苦缠","苦缠","苦缠","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"120020","制约","制约","铜墙铁壁：增加人物物理防御","2388","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","17","制约","制约","制约","制约","制约","制约","制约","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"120021","不倦","不倦","道高魔重：增加人物法术抗暴","2389","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","18","不倦","不倦","不倦","不倦","不倦","不倦","不倦","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"120022","调息","调息","风驱电击：增加人物法术暴击","2390","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","19","调息","调息","调息","调息","调息","调息","调息","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"120023","吐纳","吐纳","道高魔重：增加人物法术抗暴","2391","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","20","吐纳","吐纳","吐纳","吐纳","吐纳","吐纳","吐纳","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
