编号;显示名
350110;制造书•飘带
350111;制造书•宝珠
350112;制造书•长刀
350113;制造书•双短剑
350114;制造书•降魔杵
350115;制造书•法杖
350116;制造书•弯刀
350117;制造书•男衣
350118;制造书•女衣
350119;制造书•头盔
350120;制造书•发钗
350121;制造书•项链
350122;制造书•腰带
350123;制造书•鞋子
350200;制造书•剑
350201;制造书•枪
350202;制造书•斧钺
350203;制造书•扇
350204;制造书•魔棒
350205;制造书•爪刺
350206;制造书•锤
350207;制造书•鞭
350208;制造书•环圈
350209;制造书•弓
350210;制造书•飘带
350211;制造书•宝珠
350212;制造书•长刀
350213;制造书•双短剑
350214;制造书•降魔杵
350215;制造书•法杖
350216;制造书•弯刀
350217;制造书•男衣
350218;制造书•女衣
350219;制造书•头盔
350220;制造书•发钗
350221;制造书•项链
350222;制造书•腰带
350223;制造书•鞋子
350300;制造书•剑
350301;制造书•枪
350302;制造书•斧钺
350303;制造书•扇
350304;制造书•魔棒
350305;制造书•爪刺
350306;制造书•锤
350307;制造书•鞭
350308;制造书•环圈
350309;制造书•弓
350310;制造书•飘带
350311;制造书•宝珠
350312;制造书•长刀
350313;制造书•双短剑
350314;制造书•降魔杵
350315;制造书•法杖
350316;制造书•弯刀
350317;制造书•男衣
350318;制造书•女衣
350319;制造书•头盔
350320;制造书•发钗
350321;制造书•项链
350322;制造书•腰带
350323;制造书•鞋子
350400;制造书•剑
350401;制造书•枪
350402;制造书•斧钺
350403;制造书•扇
350404;制造书•魔棒
350405;制造书•爪刺
350406;制造书•锤
350407;制造书•鞭
350408;制造书•环圈
350409;制造书•弓
350410;制造书•飘带
350411;制造书•宝珠
350412;制造书•长刀
350413;制造书•双短剑
350414;制造书•降魔杵
350415;制造书•法杖
350416;制造书•弯刀
350417;制造书•男衣
350418;制造书•女衣
350419;制造书•头盔
350420;制造书•发钗
350421;制造书•项链
350422;制造书•腰带
350423;制造书•鞋子
350500;50制造书•剑
350501;50制造书•枪
350502;50制造书•斧钺
350503;50制造书•扇
350504;50制造书•魔棒
350505;50制造书•爪刺
350506;50制造书•锤
350507;50制造书•鞭
350508;50制造书•环圈
350509;50制造书•弓
350510;50制造书•飘带
350511;50制造书•宝珠
350512;50制造书•长刀
350513;50制造书•双短剑
350514;50制造书•降魔杵
350515;50制造书•法杖
350516;50制造书•弯刀
350517;50制造书•男衣
350518;50制造书•女衣
350519;50制造书•头盔
350520;50制造书•发钗
350521;50制造书•项链
350522;50制造书•腰带
350523;50制造书•鞋子
350600;60制造书•剑
350601;60制造书•枪
350602;60制造书•斧钺
350603;60制造书•扇
350604;60制造书•魔棒
350605;60制造书•爪刺
350606;60制造书•锤
350607;60制造书•鞭
350608;60制造书•环圈
350609;60制造书•弓
350610;60制造书•飘带
350611;60制造书•宝珠
350612;60制造书•长刀
350613;60制造书•双短剑
350614;60制造书•降魔杵
350615;60制造书•法杖
350616;60制造书•弯刀
350617;60制造书•男衣
350618;60制造书•女衣
350619;60制造书•头盔
350620;60制造书•发钗
350621;60制造书•项链
350622;60制造书•腰带
350623;60制造书•鞋子
350700;70制造书•剑
350701;70制造书•枪
350702;70制造书•斧钺
350703;70制造书•扇
350704;70制造书•魔棒
350705;70制造书•爪刺
350706;70制造书•锤
350707;70制造书•鞭
350708;70制造书•环圈
350709;70制造书•弓
350710;70制造书•飘带
350711;70制造书•宝珠
350712;70制造书•长刀
350713;70制造书•双短剑
350714;70制造书•降魔杵
350715;70制造书•法杖
350716;70制造书•弯刀
350717;70制造书•男衣
350718;70制造书•女衣
350719;70制造书•头盔
350720;70制造书•发钗
350721;70制造书•项链
350722;70制造书•腰带
350723;70制造书•鞋子
350800;80制造书•剑
350801;80制造书•枪
350802;80制造书•斧钺
350803;80制造书•扇
350804;80制造书•魔棒
350805;80制造书•爪刺
350806;80制造书•锤
350807;80制造书•鞭
350808;80制造书•环圈
350809;80制造书•弓
350810;80制造书•飘带
350811;80制造书•宝珠
350812;80制造书•长刀
350813;80制造书•双短剑
350814;80制造书•降魔杵
350815;80制造书•法杖
350816;80制造书•弯刀
350817;80制造书•男衣
350818;80制造书•女衣
350819;80制造书•头盔
350820;80制造书•发钗
350821;80制造书•项链
350822;80制造书•腰带
350823;80制造书•鞋子
350900;90制造书•剑
350901;90制造书•枪
350902;90制造书•斧钺
350903;90制造书•扇
350904;90制造书•魔棒
350905;90制造书•爪刺
350906;90制造书•锤
350907;90制造书•鞭
350908;90制造书•环圈
350909;90制造书•弓
350910;90制造书•飘带
350911;90制造书•宝珠
350912;90制造书•长刀
350913;90制造书•双短剑
350914;90制造书•降魔杵
350915;90制造书•法杖
350916;90制造书•弯刀
350917;90制造书•男衣
350918;90制造书•女衣
350919;90制造书•头盔
350920;90制造书•发钗
350921;90制造书•项链
350922;90制造书•腰带
350923;90制造书•鞋子
351000;100制造书•剑
351001;100制造书•枪
351002;100制造书•斧钺
351003;100制造书•扇
351004;100制造书•魔棒
351005;100制造书•爪刺
351006;100制造书•锤
351007;100制造书•鞭
351008;100制造书•环圈
351009;100制造书•弓
351010;100制造书•飘带
351011;100制造书•宝珠
351012;100制造书•长刀
351013;100制造书•双短剑
351014;100制造书•降魔杵
351015;100制造书•法杖
351016;100制造书•弯刀
351017;100制造书•男衣
351018;100制造书•女衣
351019;100制造书•头盔
351020;100制造书•发钗
351021;100制造书•项链
351022;100制造书•腰带
351023;100制造书•鞋子
351100;110制造书•剑
351101;110制造书•枪
351102;110制造书•斧钺
351103;110制造书•扇
351104;110制造书•魔棒
351105;110制造书•爪刺
351106;110制造书•锤
351107;110制造书•鞭
351108;110制造书•环圈
351109;110制造书•弓
351110;110制造书•飘带
351111;110制造书•宝珠
351112;110制造书•长刀
351113;110制造书•双短剑
351114;110制造书•降魔杵
351115;110制造书•法杖
351116;110制造书•弯刀
351117;110制造书•男衣
351118;110制造书•女衣
351119;110制造书•头盔
351120;110制造书•发钗
351121;110制造书•项链
351122;110制造书•腰带
351123;110制造书•鞋子
351200;120制造书•剑
351201;120制造书•枪
351202;120制造书•斧钺
351203;120制造书•扇
351204;120制造书•魔棒
351205;120制造书•爪刺
351206;120制造书•锤
351207;120制造书•鞭
351208;120制造书•环圈
351209;120制造书•弓
351210;120制造书•飘带
351211;120制造书•宝珠
351212;120制造书•长刀
351213;120制造书•双短剑
351214;120制造书•降魔杵
351215;120制造书•法杖
351216;120制造书•弯刀
351217;120制造书•男衣
351218;120制造书•女衣
351219;120制造书•头盔
351220;120制造书•发钗
351221;120制造书•项链
351222;120制造书•腰带
351223;120制造书•鞋子
351300;130制造书•剑
351301;130制造书•枪
351302;130制造书•斧钺
351303;130制造书•扇
351304;130制造书•魔棒
351305;130制造书•爪刺
351306;130制造书•锤
351307;130制造书•鞭
351308;130制造书•环圈
351309;130制造书•弓
351310;130制造书•飘带
351311;130制造书•宝珠
351312;130制造书•长刀
351313;130制造书•双短剑
351314;130制造书•降魔杵
351315;130制造书•法杖
351316;130制造书•弯刀
351317;130制造书•男衣
351318;130制造书•女衣
351319;130制造书•头盔
351320;130制造书•发钗
351321;130制造书•项链
351322;130制造书•腰带
351323;130制造书•鞋子
351400;140制造书•剑
351401;140制造书•枪
351402;140制造书•斧钺
351403;140制造书•扇
351404;140制造书•魔棒
351405;140制造书•爪刺
351406;140制造书•锤
351407;140制造书•鞭
351408;140制造书•环圈
351409;140制造书•弓
351410;140制造书•飘带
351411;140制造书•宝珠
351412;140制造书•长刀
351413;140制造书•双短剑
351414;140制造书•降魔杵
351415;140制造书•法杖
351416;140制造书•弯刀
351417;140制造书•男衣
351418;140制造书•女衣
351419;140制造书•头盔
351420;140制造书•发钗
351421;140制造书•项链
351422;140制造书•腰带
351423;140制造书•鞋子
351500;150制造书•剑
351501;150制造书•枪
351502;150制造书•斧钺
351503;150制造书•扇
351504;150制造书•魔棒
351505;150制造书•爪刺
351506;150制造书•锤
351507;150制造书•鞭
351508;150制造书•环圈
351509;150制造书•弓
351510;150制造书•飘带
351511;150制造书•宝珠
351512;150制造书•长刀
351513;150制造书•双短剑
351514;150制造书•降魔杵
351515;150制造书•法杖
351516;150制造书•弯刀
351517;150制造书•男衣
351518;150制造书•女衣
351519;150制造书•头盔
351520;150制造书•发钗
351521;150制造书•项链
351522;150制造书•腰带
351523;150制造书•鞋子
351600;160制造书•剑
351601;160制造书•枪
351602;160制造书•斧钺
351603;160制造书•扇
351604;160制造书•魔棒
351605;160制造书•爪刺
351606;160制造书•锤
351607;160制造书•鞭
351608;160制造书•环圈
351609;160制造书•弓
351610;160制造书•飘带
351611;160制造书•宝珠
351612;160制造书•长刀
351613;160制造书•双短剑
351614;160制造书•降魔杵
351615;160制造书•法杖
351616;160制造书•弯刀
351617;160制造书•男衣
351618;160制造书•女衣
351619;160制造书•头盔
351620;160制造书•发钗
351621;160制造书•项链
351622;160制造书•腰带
351623;160制造书•鞋子
351700;170制造书•剑
351701;170制造书•枪
351702;170制造书•斧钺
351703;170制造书•扇
351704;170制造书•魔棒
351705;170制造书•爪刺
351706;170制造书•锤
351707;170制造书•鞭
351708;170制造书•环圈
351709;170制造书•弓
351710;170制造书•飘带
351711;170制造书•宝珠
351712;170制造书•长刀
351713;170制造书•双短剑
351714;170制造书•降魔杵
351715;170制造书•法杖
351716;170制造书•弯刀
351717;170制造书•男衣
351718;170制造书•女衣
351719;170制造书•头盔
351720;170制造书•发钗
351721;170制造书•项链
351722;170制造书•腰带
351723;170制造书•鞋子
351800;180制造书•剑
351801;180制造书•枪
351802;180制造书•斧钺
351803;180制造书•扇
351804;180制造书•魔棒
351805;180制造书•爪刺
351806;180制造书•锤
351807;180制造书•鞭
351808;180制造书•环圈
351809;180制造书•弓
351810;180制造书•飘带
351811;180制造书•宝珠
351812;180制造书•长刀
351813;180制造书•双短剑
351814;180制造书•降魔杵
351815;180制造书•法杖
351816;180制造书•弯刀
351817;180制造书•男衣
351818;180制造书•女衣
351819;180制造书•头盔
351820;180制造书•发钗
351821;180制造书•项链
351822;180制造书•腰带
351823;180制造书•鞋子
351900;190制造书•剑
351901;190制造书•枪
351902;190制造书•斧钺
351903;190制造书•扇
351904;190制造书•魔棒
351905;190制造书•爪刺
351906;190制造书•锤
351907;190制造书•鞭
351908;190制造书•环圈
351909;190制造书•弓
351910;190制造书•飘带
351911;190制造书•宝珠
351912;190制造书•长刀
351913;190制造书•双短剑
351914;190制造书•降魔杵
351915;190制造书•法杖
351916;190制造书•弯刀
351917;190制造书•男衣
351918;190制造书•女衣
351919;190制造书•头盔
351920;190制造书•发钗
351921;190制造书•项链
351922;190制造书•腰带
351923;190制造书•鞋子
352000;200制造书•剑
352001;200制造书•枪
352002;200制造书•斧钺
352003;200制造书•扇
352004;200制造书•魔棒
352005;200制造书•爪刺
352006;200制造书•锤
352007;200制造书•鞭
352008;200制造书•环圈
352009;200制造书•弓
352010;200制造书•飘带
352011;200制造书•宝珠
352012;200制造书•长刀
352013;200制造书•双短剑
352014;200制造书•降魔杵
352015;200制造书•法杖
352016;200制造书•弯刀
352017;200制造书•男衣
352018;200制造书•女衣
352019;200制造书•头盔
352020;200制造书•发钗
352021;200制造书•项链
352022;200制造书•腰带
352023;200制造书•鞋子
360000;阵法残卷
360001;天覆阵
360002;地载阵
360003;云垂阵
360004;鸟翔阵
360005;蛇蟠阵
360006;龙飞阵
360007;风扬阵
360008;虎翼阵
360009;雷绝阵
360010;鹰啸阵
334100;九转金丹
334101;修炼果
335101;小海马
335102;海马
336010;回梦丹
338000;心魔宝珠
338001;队长礼包
339000;花豆
339001;彩果
339002;幻色丹
339003;超级幻色丹
337944;改名卡
339103;玫瑰花
339104;金兰花
340039;1万经验
339004;锦衣兑换卡
339005;20万经验
339006;100万经验
339007;1000万经验
339008;梦幻碎片
339009;周卡兑换券
610000;惠岸行者变身卡
610001;铁扇公主变身卡
610002;大当家变身卡
610003;黑无常变身卡
610004;小白龙变身卡
610005;猪八戒变身卡
610006;白象王变身卡
610007;唐僧变身卡
610008;紫霞仙子变身卡
610009;嫦娥变身卡
610010;阎罗王变身卡
610011;挽歌公主变身卡
610012;大鹏王变身卡
610013;镇元子卡
610014;红孩儿变身卡
610015;北海龙王变身卡
610016;空度禅师变身卡
610017;牛魔王变身卡
610018;东海龙王变身卡
610019;杨戬变身卡
610020;观音菩萨变身卡
610021;地藏菩萨变身卡
610022;九灵元圣变身卡
610023;李天王变身卡
610024;太白金星变身卡
610025;孙悟空变身卡
610026;青莲仙女卡
610027;地藏菩萨卡
610029;蝎子精卡
610030;菩提老祖卡
610031;太白金星卡
610032;飞霞卡
610033;白无常卡
610034;镇元子卡
610035;沙和尚卡
610036;黑无常卡
610037;玉面狐狸卡
610038;老鼠精卡
610039;晚歌公主卡
610040;空度禅师卡
610041;孙婆婆卡
610042;月灵卡
610043;黄眉卡
610044;杏林仙卡
610045;法明长老卡
610046;程咬金卡
640190;取消变身卡
640191;随机变身卡包（小）
640192;随机变身卡包（大）
680000;熔炼石：编号001
680001;60级•钨金
680002;70级•钨金
680003;80级•钨金
680004;90级•钨金
680005;100级•钨金
680006;110级•钨金
680007;120级•钨金
680008;130级•钨金
680009;140级•钨金
680010;150级•钨金
680011;160级•钨金
680012;170级•钨金
680013;180级•钨金
680014;190级•钨金
680015;200级•钨金
680101;飞剑•精华
680102;附灵玉•精华
680103;无量经•精华
680104;碧玉葫芦•精华
680105;金甲仙衣•精华
680106;降魔斗篷•精华
680107;风袋•精华
680120;鸣鸿刀•精华
680121;天师符•精华
680122;弥音禅钟•精华
680123;凝海珠•精华
680124;琼华玉露•精华
680125;无尘雪•精华
680126;万兽圣令•精华
680127;烈焰杖•精华
680128;祭魄印•精华
680129;星海佩•精华
680130;沁香花藤•精华
680131;灵明仙桃•精华
680132;万鬼木鱼•精华
680201;飞剑•精魄
680202;附灵玉•精魄
680203;无量经•精魄
680204;碧玉葫芦•精魄
680205;金甲仙衣•精魄
680206;降魔斗篷•精魄
680207;风袋•精魄
680220;鸣鸿刀•精魄
680221;天师符•精魄
680222;弥音禅钟•精魄
680223;凝海珠•精魄
680224;琼华玉露•精魄
680225;无尘雪•精魄
680226;万兽圣令•精魄
680227;烈焰杖•精魄
680228;祭魄印•精魄
680229;星海佩•精魄
680230;沁香花藤•精魄
680231;灵明仙桃•精魄
680232;万鬼木鱼•精魄
500120;灵髓玉
680301;星魂石
680302;金芒石
680303;超级灵髓玉
680304;超级星魂石
680305;超级金芒石
680402;70级•补天石
680403;80级•补天石
680404;90级•补天石
680405;100级•补天石
400017;淬灵露
400018;超级淬灵露
680501;器灵•剑歌
680502;器灵•锋芒
680503;器灵•固甲
680504;器灵•雁行
680505;器灵•征讨伐
680506;器灵•龙虎势
680507;器灵•金钟罩
680508;器灵•青云心
680509;器灵•青莲剑歌
680510;器灵•佛莲噬心
680511;器灵•固若金汤
680512;器灵•镇海冲云
680601;特技石•起死
680602;特技石•慈航
680603;特技石•水清
680604;特技石•玉清
680605;特技石•晶清
680606;特技石•笑里
680607;特技石•野兽
680608;特技石•放下
680609;特技石•光辉
680610;特技石•破甲
680611;特技石•流云
680612;特技石•凝滞
680613;特技石•太极
680614;特技石•罗汉
680615;特技石•破血
680616;特技石•弱点
680617;特技石•破碎
680618;特技石•野兽
680619;特技石•野兽
680620;特技石•野兽
680621;特技石•野兽
680622;特技石•礼包
680700;神兜兜
680799;新手泡泡法
680709;新人自选宝宝
680713;神兜兜*20
680701;神羊兑换券
680702;泡泡兑换券
680703;九色鹿兑换券
680704;大熊猫兑换券
680705;神鸡兑换券
680706;神猴兑换券
680707;赤焰兽兑换券
680708;神龙兑换券
680721;超级神羊
680722;超级泡泡
680723;超级九色鹿
680724;超级大熊猫
680725;超级神鸡
680726;超级神猴
680727;超级赤焰兽
680728;超级神龙
680729;超级神鼠
680730;超级神虎
680731;超级神猪
680732;超级神牛
680733;新手吸血鬼
680800;神兽随机包
690100;鬼将
690101;幽冥书生
690102;巨灵神将
690103;珍露童子
690104;巡游天神
690105;噬天虎
690106;雾中仙
690107;净瓶女娲
690108;灵符女娲
690109;律法女娲
690110;鬼剑
690111;嘲风
690001;火灵兽
690002;雷灵兽
690003;水灵兽
690004;土灵兽
690005;吉里吉里
690006;咕噜咕噜
690007;齐天小圣
690008;星悟空
690009;暗神
690010;紫玲珑
690011;灵灯童子
690012;驭龙
690013;觉醒雪
690014;司雷
690015;紫镰魅灵
690016;琴仙
690017;月影灵仙
690018;冰之守护
690019;终末之瞳
690020;归墟之主
690021;青鸾仕女
690022;影舞苍灵
690023;画中仙
690024;蝶衣
690025;冰澜妖姬
690026;火灵兽☆☆
690027;雷灵兽☆☆
690028;水灵兽☆☆
690029;土灵兽☆☆
690030;吉里吉里☆☆
690031;咕噜咕噜☆☆
690032;齐天小圣☆☆
690033;恶魔泡泡☆☆
690034;星悟空☆☆
690035;暗神☆☆
690036;紫玲珑☆☆
690037;灵灯童子☆☆
690038;驭龙☆☆
690039;觉醒雪☆☆
690040;司雷☆☆
690041;紫镰魅灵☆☆
690042;琴仙☆☆
690043;月影灵仙☆☆
690044;冰之守护☆☆
690045;终末之瞳☆☆
690046;归墟之主☆☆
690047;青鸾仕女☆☆
690048;影舞苍灵☆☆
690049;画中仙☆☆
690050;蝶衣☆☆
690051;冰澜妖姬☆☆
690052;火灵兽☆☆☆
690053;雷灵兽☆☆☆
690054;水灵兽☆☆☆
690055;土灵兽☆☆☆
690056;吉里吉里☆☆☆
690057;咕噜咕噜☆☆☆
690058;齐天小圣☆☆☆
690059;恶魔泡泡☆☆☆
690060;星悟空☆☆☆
690061;暗神☆☆☆
690062;紫玲珑☆☆☆
690063;灵灯童子☆☆☆
690064;驭龙☆☆☆
690065;觉醒雪☆☆☆
690066;司雷☆☆☆
690067;紫镰魅灵☆☆☆
690068;琴仙☆☆☆
690069;月影灵仙☆☆☆
690070;冰之守护☆☆☆
690071;终末之瞳☆☆☆
690072;归墟之主☆☆☆
690073;青鸾仕女☆☆☆
690074;影舞苍灵☆☆☆
690075;画中仙☆☆☆
690076;蝶衣☆☆☆
690077;冰澜妖姬☆☆☆
690078;三太子敖烈
690079;七公主熬凌
690080;东皇太一
690081;太阳神
690082;翅膀吕布
690083;翅膀龙女
690084;白骨精
690085;白虎战神
690086;伽罗灵女
690087;二郎圣君
690088;朝歌
691000;火灵兽☆
691001;雷灵兽☆
691002;水灵兽☆
691003;土灵兽☆
691004;吉里吉里☆
691005;咕噜咕噜☆
691006;齐天小圣☆
691007;恶魔泡泡☆
691008;星悟空☆
691009;暗神☆
691010;紫玲珑☆
691011;灵灯童子☆
691012;驭龙☆
691013;觉醒雪☆
691014;司雷☆
691015;紫镰魅灵☆
691016;琴仙☆
691017;月影灵仙☆
691018;冰之守护☆
691019;终末之瞳☆
691020;归墟之主☆
691021;青鸾仕女☆
691022;影舞苍灵☆
691023;画中仙☆
691024;蝶衣☆
691025;冰澜妖姬☆
337942;银钥匙
337943;金钥匙
710001;银币袋
710002;金币箱子
710003;吉祥锦囊
710004;如意锦囊
