id,道具名称,合成消耗绑定银币,合成消耗银币,合成消耗银币类型,合成消耗道具数,合成产物,等级要求,道具名颜色,排序id,道具合成几率,合成失败返还道具ID,合成失败返还道具数量,强化道具1,强化道具1数量,强化后成功率,强化文字变色,需要合成的,合成剩余返还
35046,6级•光芒石,0,0,2,2,35055,1,ffffff33,4046,100,35046,1,0,0,0,0,35037,35037
35047,6级•太阳石,0,0,2,2,35056,1,ffffff33,4047,100,35047,1,0,0,0,0,35038,35038
35048,6级•月亮石,0,0,2,2,35057,1,ffffff33,4048,100,35048,1,0,0,0,0,35039,35039
35049,6级•舍利子,0,0,2,2,35058,1,ffffff33,4049,100,35049,1,0,0,0,0,35040,35040
35050,6级•翡翠石,0,0,2,2,35059,1,ffffff33,4050,100,35050,1,0,0,0,0,35041,35041
35051,6级•黑宝石,0,0,2,2,35060,1,ffffff33,4051,100,35051,1,0,0,0,0,35042,35042
35052,6级•昆仑玉,0,0,2,2,35061,1,ffffff33,4052,100,35052,1,0,0,0,0,35043,35043
35053,6级•红纹石,0,0,2,2,35062,1,ffffff33,4053,100,35053,1,0,0,0,0,35044,35044
35054,6级•神秘石,0,0,2,2,35063,1,ffffff33,4054,100,35054,1,0,0,0,0,35045,35045
35055,7级•光芒石,0,0,2,2,35064,1,ffffff33,4055,100,35055,1,0,0,0,0,35046,35046
35056,7级•太阳石,0,0,2,2,35065,1,ffffff33,4056,100,35056,1,0,0,0,0,35047,35047
35057,7级•月亮石,0,0,2,2,35066,1,ffffff33,4057,100,35057,1,0,0,0,0,35048,35048
35058,7级•舍利子,0,0,2,2,35067,1,ffffff33,4058,100,35058,1,0,0,0,0,35049,35049
35059,7级•翡翠石,0,0,2,2,35068,1,ffffff33,4059,100,35059,1,0,0,0,0,35050,35050
35060,7级•黑宝石,0,0,2,2,35069,1,ffffff33,4060,100,35060,1,0,0,0,0,35051,35051
35061,7级•昆仑玉,0,0,2,2,35070,1,ffffff33,4061,100,35061,1,0,0,0,0,35052,35052
35062,7级•红纹石,0,0,2,2,35071,1,ffffff33,4062,100,35062,1,0,0,0,0,35053,35053
35063,7级•神秘石,0,0,2,2,35072,1,ffffff33,4063,100,35063,1,0,0,0,0,35054,35054
35064,8级•光芒石,0,0,2,2,35073,1,ffffff33,4064,100,35064,1,0,0,0,0,35055,35055
35065,8级•太阳石,0,0,2,2,35074,1,ffffff33,4065,100,35065,1,0,0,0,0,35056,35056
35066,8级•月亮石,0,0,2,2,35075,1,ffffff33,4066,100,35066,1,0,0,0,0,35057,35057
35067,8级•舍利子,0,0,2,2,35076,1,ffffff33,4067,100,35067,1,0,0,0,0,35058,35058
35068,8级•翡翠石,0,0,2,2,35077,1,ffffff33,4068,100,35068,1,0,0,0,0,35059,35059
35069,8级•黑宝石,0,0,2,2,35078,1,ffffff33,4069,100,35069,1,0,0,0,0,35060,35060
35070,8级•昆仑玉,0,0,2,2,35079,1,ffffff33,4070,100,35070,1,0,0,0,0,35061,35061
35071,8级•红纹石,0,0,2,2,35080,1,ffffff33,4071,100,35071,1,0,0,0,0,35062,35062
35072,8级•神秘石,0,0,2,2,35081,1,ffffff33,4072,100,35072,1,0,0,0,0,35063,35063
35073,9级•光芒石,0,0,2,2,35082,1,ffffff33,4073,100,35073,1,0,0,0,0,35064,35064
35074,9级•太阳石,0,0,2,2,35083,1,ffffff33,4074,100,35074,1,0,0,0,0,35065,35065
35075,9级•月亮石,0,0,2,2,35084,1,ffffff33,4075,100,35075,1,0,0,0,0,35066,35066
35076,9级•舍利子,0,0,2,2,35085,1,ffffff33,4076,100,35076,1,0,0,0,0,35067,35067
35077,9级•翡翠石,0,0,2,2,35086,1,ffffff33,4077,100,35077,1,0,0,0,0,35068,35068
35078,9级•黑宝石,0,0,2,2,35087,1,ffffff33,4078,100,35078,1,0,0,0,0,35069,35069
35079,9级•昆仑玉,0,0,2,2,35088,1,ffffff33,4079,100,35079,1,0,0,0,0,35070,35070
35080,9级•红纹石,0,0,2,2,35089,1,ffffff33,4080,100,35080,1,0,0,0,0,35071,35071
35081,9级•神秘石,0,0,2,2,35090,1,ffffff33,4081,100,35081,1,0,0,0,0,35072,35072
35082,10级•光芒石,0,0,2,2,35082,1,ffffff33,4082,100,35082,1,0,0,0,0,35073,35073
35083,10级•太阳石,0,0,2,2,35083,1,ffffff33,4083,100,35083,1,0,0,0,0,35074,35074
35084,10级•月亮石,0,0,2,2,35084,1,ffffff33,4084,100,35084,1,0,0,0,0,35075,35075
35085,10级•舍利子,0,0,2,2,35085,1,ffffff33,4085,100,35085,1,0,0,0,0,35076,35076
35086,10级•翡翠石,0,0,2,2,35086,1,ffffff33,4086,100,35086,1,0,0,0,0,35077,35077
35087,10级•黑宝石,0,0,2,2,35087,1,ffffff33,4087,100,35087,1,0,0,0,0,35078,35078
35088,10级•昆仑玉,0,0,2,2,35088,1,ffffff33,4088,100,35088,1,0,0,0,0,35079,35079
35089,10级•红纹石,0,0,2,2,35089,1,ffffff33,4089,100,35089,1,0,0,0,0,35080,35080
35090,10级•神秘石,0,0,2,2,35090,1,ffffff33,4090,100,35090,1,0,0,0,0,35081,35081
35091,11级•光芒石,0,0,2,2,35100,1,ffffff33,4091,100,35091,1,0,0,0,0,35082,35082
35092,11级•太阳石,0,0,2,2,35101,1,ffffff33,4092,100,35092,1,0,0,0,0,35083,35083
35093,11级•月亮石,0,0,2,2,35102,1,ffffff33,4093,100,35093,1,0,0,0,0,35084,35084
35094,11级•舍利子,0,0,2,2,35103,1,ffffff33,4094,100,35094,1,0,0,0,0,35085,35085
35095,11级•翡翠石,0,0,2,2,35104,1,ffffff33,4095,100,35095,1,0,0,0,0,35086,35086
35096,11级•黑宝石,0,0,2,2,35105,1,ffffff33,4096,100,35096,1,0,0,0,0,35087,35087
35097,11级•昆仑玉,0,0,2,2,35106,1,ffffff33,4097,100,35097,1,0,0,0,0,35088,35088
35098,11级•红纹石,0,0,2,2,35107,1,ffffff33,4098,100,35098,1,0,0,0,0,35089,35089
35099,11级•神秘石,0,0,2,2,35108,1,ffffff33,4099,100,35099,1,0,0,0,0,35090,35090
35100,12级•光芒石,0,0,2,2,35109,1,ffffff33,4100,100,35100,1,0,0,0,0,35091,35091
35101,12级•太阳石,0,0,2,2,35110,1,ffffff33,4101,100,35101,1,0,0,0,0,35092,35092
35102,12级•月亮石,0,0,2,2,35111,1,ffffff33,4102,100,35102,1,0,0,0,0,35093,35093
35103,12级•舍利子,0,0,2,2,35112,1,ffffff33,4103,100,35103,1,0,0,0,0,35094,35094
35104,12级•翡翠石,0,0,2,2,35113,1,ffffff33,4104,100,35104,1,0,0,0,0,35095,35095
35105,12级•黑宝石,0,0,2,2,35114,1,ffffff33,4105,100,35105,1,0,0,0,0,35096,35096
35106,12级•昆仑玉,0,0,2,2,35115,1,ffffff33,4106,100,35106,1,0,0,0,0,35097,35097
35107,12级•红纹石,0,0,2,2,35116,1,ffffff33,4107,100,35107,1,0,0,0,0,35098,35098
35108,12级•神秘石,0,0,2,2,35117,1,ffffff33,4108,100,35108,1,0,0,0,0,35099,35099
35109,13级•光芒石,0,0,2,2,35118,1,ffffff33,4109,100,35109,1,0,0,0,0,35100,35100
35110,13级•太阳石,0,0,2,2,35119,1,ffffff33,4110,100,35110,1,0,0,0,0,35101,35101
35111,13级•月亮石,0,0,2,2,35120,1,ffffff33,4111,100,35111,1,0,0,0,0,35102,35102
35112,13级•舍利子,0,0,2,2,35121,1,ffffff33,4112,100,35112,1,0,0,0,0,35103,35103
35113,13级•翡翠石,0,0,2,2,35122,1,ffffff33,4113,100,35113,1,0,0,0,0,35104,35104
35114,13级•黑宝石,0,0,2,2,35123,1,ffffff33,4114,100,35114,1,0,0,0,0,35105,35105
35115,13级•昆仑玉,0,0,2,2,35124,1,ffffff33,4115,100,35115,1,0,0,0,0,35106,35106
35116,13级•红纹石,0,0,2,2,35125,1,ffffff33,4116,100,35116,1,0,0,0,0,35107,35107
35117,13级•神秘石,0,0,2,2,35126,1,ffffff33,4117,100,35117,1,0,0,0,0,35108,35108
35118,14级•光芒石,0,0,2,2,35127,1,ffffff33,4118,100,35118,1,0,0,0,0,35109,35109
35119,14级•太阳石,0,0,2,2,35128,1,ffffff33,4119,100,35119,1,0,0,0,0,35110,35110
35120,14级•月亮石,0,0,2,2,35129,1,ffffff33,4120,100,35120,1,0,0,0,0,35111,35111
35121,14级•舍利子,0,0,2,2,35130,1,ffffff33,4121,100,35121,1,0,0,0,0,35112,35112
35122,14级•翡翠石,0,0,2,2,35131,1,ffffff33,4122,100,35122,1,0,0,0,0,35113,35113
35123,14级•黑宝石,0,0,2,2,35132,1,ffffff33,4123,100,35123,1,0,0,0,0,35114,35114
35124,14级•昆仑玉,0,0,2,2,35133,1,ffffff33,4124,100,35124,1,0,0,0,0,35115,35115
35125,14级•红纹石,0,0,2,2,35134,1,ffffff33,4125,100,35125,1,0,0,0,0,35116,35116
35126,14级•神秘石,0,0,2,2,35135,1,ffffff33,4126,100,35126,1,0,0,0,0,35117,35117
35127,15级•光芒石,0,10000,2,2,35136,1,ffffff33,4127,100,35127,1,0,0,0,0,35118,35118
35128,15级•太阳石,0,10000,2,2,35137,1,ffffff33,4128,100,35128,1,0,0,0,0,35119,35119
35129,15级•月亮石,0,10000,2,2,35138,1,ffffff33,4129,100,35129,1,0,0,0,0,35120,35120
35130,15级•舍利子,0,10000,2,2,35139,1,ffffff33,4130,100,35130,1,0,0,0,0,35121,35121
35131,15级•翡翠石,0,10000,2,2,35140,1,ffffff33,4131,100,35131,1,0,0,0,0,35122,35122
35132,15级•黑宝石,0,10000,2,2,35141,1,ffffff33,4132,100,35132,1,0,0,0,0,35123,35123
35133,15级•昆仑玉,0,10000,2,2,35142,1,ffffff33,4133,100,35133,1,0,0,0,0,35124,35124
35134,15级•红纹石,0,10000,2,2,35143,1,ffffff33,4134,100,35134,1,0,0,0,0,35125,35125
35135,15级•神秘石,0,10000,2,2,35144,1,ffffff33,4135,100,35135,1,0,0,0,0,35126,35126
35136,16级光芒石,0,20000,2,2,35145,1,ffffff33,4136,20,35136,1,0,0,0,FFFFFFFF,35127,35127
35137,16级太阳石,0,20000,2,2,35146,1,ffffff33,4137,20,35137,1,0,0,0,FFFFFFFF,35128,35128
35138,16级月亮石,0,20000,2,2,35147,1,ffffff33,4138,20,35138,1,0,0,0,FFFFFFFF,35129,35129
35139,16级舍利子,0,20000,2,2,35148,1,ffffff33,4139,20,35139,1,0,0,0,FFFFFFFF,35130,35130
35140,16级翡翠石,0,20000,2,2,35149,1,ffffff33,4140,20,35140,1,0,0,0,FFFFFFFF,35131,35131
35141,16级黑宝石,0,20000,2,2,35150,1,ffffff33,4141,20,35141,1,0,0,0,FFFFFFFF,35132,35132
35142,16级昆仑玉,0,20000,2,2,35151,1,ffffff33,4142,20,35142,1,0,0,0,FFFFFFFF,35133,35133
35143,16级红纹石,0,20000,2,2,35152,1,ffffff33,4143,20,35143,1,0,0,0,FFFFFFFF,35134,35134
35144,16级神秘石,0,20000,2,2,35153,1,ffffff33,4144,20,35144,1,0,0,0,FFFFFFFF,35135,35135
35145,17级光芒石,0,30000,2,2,35154,1,ffffff33,4145,20,35145,1,0,0,0,FFFFFFFF,35136,35136
35146,17级太阳石,0,30000,2,2,35155,1,ffffff33,4146,20,35146,1,0,0,0,FFFFFFFF,35137,35137
35147,17级月亮石,0,30000,2,2,35156,1,ffffff33,4147,20,35147,1,0,0,0,FFFFFFFF,35138,35138
35148,17级舍利子,0,30000,2,2,35157,1,ffffff33,4148,20,35148,1,0,0,0,FFFFFFFF,35139,35139
35149,17级翡翠石,0,30000,2,2,35158,1,ffffff33,4149,20,35149,1,0,0,0,FFFFFFFF,35140,35140
35150,17级黑宝石,0,30000,2,2,35159,1,ffffff33,4150,20,35150,1,0,0,0,FFFFFFFF,35141,35141
35151,17级昆仑玉,0,30000,2,2,35160,1,ffffff33,4151,20,35151,1,0,0,0,FFFFFFFF,35142,35142
35152,17级红纹石,0,30000,2,2,35161,1,ffffff33,4152,20,35152,1,0,0,0,FFFFFFFF,35143,35143
35153,17级神秘石,0,30000,2,2,35162,1,ffffff33,4153,20,35153,1,0,0,0,FFFFFFFF,35144,35144
35154,18级光芒石,0,40000,2,2,35163,1,ffffff33,4154,20,35154,1,0,0,0,FFFFFFFF,35145,35145
35155,18级太阳石,0,40000,2,2,35164,1,ffffff33,4155,20,35155,1,0,0,0,FFFFFFFF,35146,35146
35156,18级月亮石,0,40000,2,2,35165,1,ffffff33,4156,20,35156,1,0,0,0,FFFFFFFF,35147,35147
35157,18级舍利子,0,40000,2,2,35166,1,ffffff33,4157,20,35157,1,0,0,0,FFFFFFFF,35148,35148
35158,18级翡翠石,0,40000,2,2,35167,1,ffffff33,4158,20,35158,1,0,0,0,FFFFFFFF,35149,35149
35159,18级黑宝石,0,40000,2,2,35168,1,ffffff33,4159,20,35159,1,0,0,0,FFFFFFFF,35150,35150
35160,18级昆仑玉,0,40000,2,2,35169,1,ffffff33,4160,20,35160,1,0,0,0,FFFFFFFF,35151,35151
35161,18级红纹石,0,40000,2,2,35170,1,ffffff33,4161,20,35161,1,0,0,0,FFFFFFFF,35152,35152
35162,18级神秘石,0,40000,2,2,35171,1,ffffff33,4162,20,35162,1,0,0,0,FFFFFFFF,35153,35153
35163,19级光芒石,0,50000,2,2,35172,1,ffffff33,4163,20,35163,1,0,0,0,FFFFFFFF,35154,35154
35164,19级太阳石,0,50000,2,2,35173,1,ffffff33,4164,20,35164,1,0,0,0,FFFFFFFF,35155,35155
35165,19级月亮石,0,50000,2,2,35174,1,ffffff33,4165,20,35165,1,0,0,0,FFFFFFFF,35156,35156
35166,19级舍利子,0,50000,2,2,35175,1,ffffff33,4166,20,35166,1,0,0,0,FFFFFFFF,35157,35157
35167,19级翡翠石,0,50000,2,2,35176,1,ffffff33,4167,20,35167,1,0,0,0,FFFFFFFF,35158,35158
35168,19级黑宝石,0,50000,2,2,35177,1,ffffff33,4168,20,35168,1,0,0,0,FFFFFFFF,35159,35159
35169,19级昆仑玉,0,50000,2,2,35178,1,ffffff33,4169,20,35169,1,0,0,0,FFFFFFFF,35160,35160
35170,19级红纹石,0,50000,2,2,35179,1,ffffff33,4170,20,35170,1,0,0,0,FFFFFFFF,35161,35161
35171,19级神秘石,0,50000,2,2,35180,1,ffffff33,4171,20,35171,1,0,0,0,FFFFFFFF,35162,35162
35172,20级光芒石,0,60000,2,2,35181,1,ffffff33,4172,20,35172,1,0,0,0,FFFFFFFF,35163,35163
35173,20级太阳石,0,60000,2,2,35182,1,ffffff33,4173,20,35173,1,0,0,0,FFFFFFFF,35164,35164
35174,20级月亮石,0,60000,2,2,35183,1,ffffff33,4174,20,35174,1,0,0,0,FFFFFFFF,35165,35165
35175,20级舍利子,0,60000,2,2,35184,1,ffffff33,4175,20,35175,1,0,0,0,FFFFFFFF,35166,35166
35176,20级翡翠石,0,60000,2,2,35185,1,ffffff33,4176,20,35176,1,0,0,0,FFFFFFFF,35167,35167
35177,20级黑宝石,0,60000,2,2,35186,1,ffffff33,4177,20,35177,1,0,0,0,FFFFFFFF,35168,35168
35178,20级昆仑玉,0,60000,2,2,35187,1,ffffff33,4178,20,35178,1,0,0,0,FFFFFFFF,35169,35169
35179,20级红纹石,0,60000,2,2,35188,1,ffffff33,4179,20,35179,1,0,0,0,FFFFFFFF,35170,35170
35180,20级神秘石,0,60000,2,2,35189,1,ffffff33,4180,20,35180,1,0,0,0,FFFFFFFF,35171,35171
35181,21级光芒石,0,70000,2,2,35190,1,ffffff33,4181,20,35181,1,0,0,0,FFFFFFFF,35172,35172
35182,21级太阳石,0,70000,2,2,35191,1,ffffff33,4182,20,35182,1,0,0,0,FFFFFFFF,35173,35173
35183,21级月亮石,0,70000,2,2,35192,1,ffffff33,4183,20,35183,1,0,0,0,FFFFFFFF,35174,35174
35184,21级舍利子,0,70000,2,2,35193,1,ffffff33,4184,20,35184,1,0,0,0,FFFFFFFF,35175,35175
35185,21级翡翠石,0,70000,2,2,35194,1,ffffff33,4185,20,35185,1,0,0,0,FFFFFFFF,35176,35176
35186,21级黑宝石,0,70000,2,2,35195,1,ffffff33,4186,20,35186,1,0,0,0,FFFFFFFF,35177,35177
35187,21级昆仑玉,0,70000,2,2,35196,1,ffffff33,4187,20,35187,1,0,0,0,FFFFFFFF,35178,35178
35188,21级红纹石,0,70000,2,2,35197,1,ffffff33,4188,20,35188,1,0,0,0,FFFFFFFF,35179,35179
35189,21级神秘石,0,70000,2,2,35198,1,ffffff33,4189,20,35189,1,0,0,0,FFFFFFFF,35180,35180
35190,22级光芒石,0,80000,2,2,35199,1,ffffff33,4190,20,35190,1,0,0,0,FFFFFFFF,35181,35181
35191,22级太阳石,0,80000,2,2,35200,1,ffffff33,4191,20,35191,1,0,0,0,FFFFFFFF,35182,35182
35192,22级月亮石,0,80000,2,2,35201,1,ffffff33,4192,20,35192,1,0,0,0,FFFFFFFF,35183,35183
35193,22级舍利子,0,80000,2,2,35202,1,ffffff33,4193,20,35193,1,0,0,0,FFFFFFFF,35184,35184
35194,22级翡翠石,0,80000,2,2,35203,1,ffffff33,4194,20,35194,1,0,0,0,FFFFFFFF,35185,35185
35195,22级黑宝石,0,80000,2,2,35204,1,ffffff33,4195,20,35195,1,0,0,0,FFFFFFFF,35186,35186
35196,22级昆仑玉,0,80000,2,2,35205,1,ffffff33,4196,20,35196,1,0,0,0,FFFFFFFF,35187,35187
35197,22级红纹石,0,80000,2,2,35206,1,ffffff33,4197,20,35197,1,0,0,0,FFFFFFFF,35188,35188
35198,22级神秘石,0,80000,2,2,35207,1,ffffff33,4198,20,35198,1,0,0,0,FFFFFFFF,35189,35189
35199,23级光芒石,0,90000,2,2,35208,1,ffffff33,4199,20,35199,1,0,0,0,FFFFFFFF,35190,35190
35200,23级太阳石,0,90000,2,2,35209,1,ffffff33,4200,20,35200,1,0,0,0,FFFFFFFF,35191,35191
35201,23级月亮石,0,90000,2,2,35210,1,ffffff33,4201,20,35201,1,0,0,0,FFFFFFFF,35192,35192
35202,23级舍利子,0,90000,2,2,35211,1,ffffff33,4202,20,35202,1,0,0,0,FFFFFFFF,35193,35193
35203,23级翡翠石,0,90000,2,2,35212,1,ffffff33,4203,20,35203,1,0,0,0,FFFFFFFF,35194,35194
35204,23级黑宝石,0,90000,2,2,35213,1,ffffff33,4204,20,35204,1,0,0,0,FFFFFFFF,35195,35195
35205,23级昆仑玉,0,90000,2,2,35214,1,ffffff33,4205,20,35205,1,0,0,0,FFFFFFFF,35196,35196
35206,23级红纹石,0,90000,2,2,35215,1,ffffff33,4206,20,35206,1,0,0,0,FFFFFFFF,35197,35197
35207,23级神秘石,0,90000,2,2,35216,1,ffffff33,4207,20,35207,1,0,0,0,FFFFFFFF,35198,35198
35208,24级光芒石,0,100000,2,2,35217,1,ffffff33,4208,20,35208,1,0,0,0,FFFFFFFF,35199,35199
35209,24级太阳石,0,100000,2,2,35218,1,ffffff33,4209,20,35209,1,0,0,0,FFFFFFFF,35200,35200
35210,24级月亮石,0,100000,2,2,35219,1,ffffff33,4210,20,35210,1,0,0,0,FFFFFFFF,35201,35201
35211,24级舍利子,0,100000,2,2,35220,1,ffffff33,4211,20,35211,1,0,0,0,FFFFFFFF,35202,35202
35212,24级翡翠石,0,100000,2,2,35221,1,ffffff33,4212,20,35212,1,0,0,0,FFFFFFFF,35203,35203
35213,24级黑宝石,0,100000,2,2,35222,1,ffffff33,4213,20,35213,1,0,0,0,FFFFFFFF,35204,35204
35214,24级昆仑玉,0,100000,2,2,35223,1,ffffff33,4214,20,35214,1,0,0,0,FFFFFFFF,35205,35205
35215,24级红纹石,0,100000,2,2,35224,1,ffffff33,4215,20,35215,1,0,0,0,FFFFFFFF,35206,35206
35216,24级神秘石,0,100000,2,2,35225,1,ffffff33,4216,20,35216,1,0,0,0,FFFFFFFF,35207,35207
35217,25级光芒石,0,150000,2,2,35226,1,ffffff33,4217,20,35217,1,0,0,0,FFFFFFFF,35208,35208
35218,25级太阳石,0,150000,2,2,35227,1,ffffff33,4218,20,35218,1,0,0,0,FFFFFFFF,35209,35209
35219,25级月亮石,0,150000,2,2,35228,1,ffffff33,4219,20,35219,1,0,0,0,FFFFFFFF,35210,35210
35220,25级舍利子,0,150000,2,2,35229,1,ffffff33,4220,20,35220,1,0,0,0,FFFFFFFF,35211,35211
35221,25级翡翠石,0,150000,2,2,35230,1,ffffff33,4221,20,35221,1,0,0,0,FFFFFFFF,35212,35212
35222,25级黑宝石,0,150000,2,2,35231,1,ffffff33,4222,20,35222,1,0,0,0,FFFFFFFF,35213,35213
35223,25级昆仑玉,0,150000,2,2,35232,1,ffffff33,4223,20,35223,1,0,0,0,FFFFFFFF,35214,35214
35224,25级红纹石,0,150000,2,2,35233,1,ffffff33,4224,20,35224,1,0,0,0,FFFFFFFF,35215,35215
35225,25级神秘石,0,150000,2,2,35234,1,ffffff33,4225,20,35225,1,0,0,0,FFFFFFFF,35216,35216
35226,26级光芒石,0,200000,2,2,35235,1,ffffff33,4226,20,35226,1,0,0,0,FFFFFFFF,35217,35217
35227,26级太阳石,0,200000,2,2,35236,1,ffffff33,4227,20,35227,1,0,0,0,FFFFFFFF,35218,35218
35228,26级月亮石,0,200000,2,2,35237,1,ffffff33,4228,20,35228,1,0,0,0,FFFFFFFF,35219,35219
35229,26级舍利子,0,200000,2,2,35238,1,ffffff33,4229,20,35229,1,0,0,0,FFFFFFFF,35220,35220
35230,26级翡翠石,0,200000,2,2,35239,1,ffffff33,4230,20,35230,1,0,0,0,FFFFFFFF,35221,35221
35231,26级黑宝石,0,200000,2,2,35240,1,ffffff33,4231,20,35231,1,0,0,0,FFFFFFFF,35222,35222
35232,26级昆仑玉,0,200000,2,2,35241,1,ffffff33,4232,20,35232,1,0,0,0,FFFFFFFF,35223,35223
35233,26级红纹石,0,200000,2,2,35242,1,ffffff33,4233,20,35233,1,0,0,0,FFFFFFFF,35224,35224
35234,26级神秘石,0,200000,2,2,35243,1,ffffff33,4234,20,35234,1,0,0,0,FFFFFFFF,35225,35225
35235,27级光芒石,0,250000,2,2,35244,1,ffffff33,4235,20,35235,1,0,0,0,FFFFFFFF,35226,35226
35236,27级太阳石,0,250000,2,2,35245,1,ffffff33,4236,20,35236,1,0,0,0,FFFFFFFF,35227,35227
35237,27级月亮石,0,250000,2,2,35246,1,ffffff33,4237,20,35237,1,0,0,0,FFFFFFFF,35228,35228
35238,27级舍利子,0,250000,2,2,35247,1,ffffff33,4238,20,35238,1,0,0,0,FFFFFFFF,35229,35229
