id,等级min,等级max,等级段id,当前状态,所在地图,跳转坐标,挑战npc,常规奖励id,挑战服务,战斗id,服务npc,掉宝箱概率,宝箱奖励id,跳转点map,跳转点x,跳转点y,总关卡数,关卡描述,攻略,名字,可跳转坐标,跳转目标地图,目标地图坐标,是否BOSS,C级奖励id,B级奖励id,A级奖励id,S级奖励id,第几关,开宝箱次数,介绍,x坐标,y坐标,立绘路径,关卡数,推荐阵容
110,40,69,1,10,1822,"41,70",182301,5290,1493,3011,,0;0;0,0,1821,41,70,25,精锐•试炼之塔,地藏王,地藏王,,,,0,,,,,第11关,0,,0,5,set:ccfuben image:c11,第十一关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
111,40,69,1,11,1822,"29,24",182302,5290,1494,3012,,0;0;0,0,0,0,0,25,精锐•试炼之塔,大大王,大大王,,,,0,,,,,第12关,0,,185,5,set:ccfuben image:c12,第十二关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0002'></I><I s='ccui1' i='cc0002'></I>"
112,40,69,1,12,1822,"27,53",182303,5290,1495,3013,,0;0;0,0,0,0,0,25,精锐•试炼之塔,煞风太岁,煞风太岁,,,,0,,,,,第13关,0,,370,5,set:ccfuben image:c13,第十三关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0001'></I>"
113,40,69,1,13,1822,"49,55",182304,5290,1496,3014,,0;0;0,0,0,0,0,25,精锐•试炼之塔,千佛神医,千佛神医,,,,0,,,,,第14关,0,,555,5,set:ccfuben image:c14,第十四关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0001'></I>"
114,40,69,1,14,1822,"52,43",182305,5291,1497,3015,,0;0;0,11702;11702;11702;11702,0,0,0,25,精锐•试炼之塔,琼华子,琼华子,"110,17",1823,"41,70",1,28,27,26,25,第15关,1,,740,5,set:ccfuben image:c2,第十五关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I>"
115,40,69,1,15,1823,"41,70",182401,5290,1498,3016,,0;0;0,0,1821,41,70,25,精锐•试炼之塔,贪狼,贪狼,,,,0,,,,,第16关,0,,0,5,set:ccfuben image:c15,第十六关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I>"
116,40,69,1,16,1823,"29,24",182402,5290,1499,3017,,0;0;0,0,0,0,0,25,精锐•试炼之塔,破军,破军,,,,0,,,,,第17关,0,,185,5,set:ccfuben image:c16,第十七关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
117,40,69,1,17,1823,"27,53",182403,5290,1500,3018,,0;0;0,0,0,0,0,25,精锐•试炼之塔,墨凰,墨凰,,,,0,,,,,第18关,0,,370,5,set:ccfuben image:c17,第十八关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
118,40,69,1,18,1823,"49,55",182404,5290,1501,3019,,0;0;0,0,0,0,0,25,精锐•试炼之塔,螭吻,螭吻,,,,0,,,,,第19关,0,,555,5,set:ccfuben image:c18,第十九关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
119,40,69,1,19,1823,"52,43",182405,5291,1502,3020,,0;0;0,11702;11702;11702;11702,0,0,0,25,精锐•试炼之塔,破霄天君,破霄天君,"110,17",1824,"41,70",1,28,27,26,25,第20关,1,,740,5,set:ccfuben image:c19,第二十关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I>"
120,40,69,1,20,1824,"41,70",183901,5290,1503,3021,,0;0;0,0,0,0,0,25,精锐•试炼之塔,灾厄灵法,灾厄灵法,,,,0,,,,,第21关,0,,0,5,set:ccfuben image:c20,第二十一关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I>"
121,40,69,1,21,1824,"29,24",183902,5290,1504,3022,,0;0;0,0,0,0,0,25,精锐•试炼之塔,灾厄夜魅,灾厄夜魅,,,,0,,,,,第22关,0,,185,5,set:ccfuben image:c21,第二十二关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0002'></I>"
122,40,69,1,22,1824,"27,53",183903,5290,1505,3023,,0;0;0,0,0,0,0,25,精锐•试炼之塔,灾厄破晓,灾厄破晓,,,,0,,,,,第23关,0,,370,5,set:ccfuben image:c22,第二十三关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0002'></I>"
123,40,69,1,23,1824,"49,55",183904,5290,1506,3024,,0;0;0,0,0,0,0,25,精锐•试炼之塔,灾厄渡法,灾厄渡法,,,,0,,,,,第24关,0,,555,5,set:ccfuben image:c23,第二十四关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
124,40,69,1,24,1824,"52,43",183905,5291,1507,3025,,0;0;0,11702;11702;11702;11702,0,0,0,25,精锐•试炼之塔,灾厄玄灵,灾厄玄灵,,,,1,28,27,26,25,第25关,1,,740,5,set:ccfuben image:c24,第二十五关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0001'></I>"
125,40,69,1,25,1824,"80,39",0,0,0,0,,0;0;0,0,1615,99,100,25,试炼之塔-已通关,恭喜已通关，请离开副本。,,,,,,,,,,,,,0,0,,,
200,70,89,2,0,1825,"41,70",182501,5290,1508,3026,,0;0;0,0,0,0,0,25,勇武•试炼之塔,一江风,一江风,,,,0,,,,,第1关,0,,0,5,set:ccfuben image:c1,第一关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
201,70,89,2,1,1825,"29,24",182502,5290,1509,3027,,0;0;0,0,0,0,0,25,勇武•试炼之塔,鬼国公主,鬼国公主,,,,0,,,,,第2关,0,,185,5,set:ccfuben image:c2,第二关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
202,70,89,2,2,1825,"27,53",182503,5290,1510,3028,,0;0;0,0,0,0,0,25,勇武•试炼之塔,定山神,定山神,,,,0,,,,,第3关,0,,370,5,set:ccfuben image:c3,第三关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0001'></I>"
203,70,89,2,3,1825,"49,55",182504,5290,1511,3029,,0;0;0,0,0,0,0,25,勇武•试炼之塔,猴小圣,猴小圣,,,,0,,,,,第4关,0,,555,5,set:ccfuben image:c4,第四关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
204,70,89,2,4,1825,"52,43",182505,5291,1512,3030,,0;0;0,11702;11702;11702;11702,0,0,0,25,勇武•试炼之塔,掌灯人,掌灯人,"105,25",1826,"41,70",1,28,27,26,25,第5关,1,,740,5,set:ccfuben image:c5,第五关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
205,70,89,2,5,1826,"41,70",182601,5290,1513,3031,,0;0;0,0,1826,41,70,25,勇武•试炼之塔,百目鬼王,百目鬼王,,,,0,,,,,第6关,0,,0,5,set:ccfuben image:c6,第六关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
206,70,89,2,6,1826,"29,24",182602,5290,1514,3032,,0;0;0,0,0,0,0,25,勇武•试炼之塔,伏虎校尉,伏虎校尉,,,,0,,,,,第7关,0,,185,5,set:ccfuben image:c7,第七关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0001'></I>"
207,70,89,2,7,1826,"27,53",182603,5290,1515,3033,,0;0;0,0,0,0,0,25,勇武•试炼之塔,灵台道人,灵台道人,,,,0,,,,,第8关,0,,370,5,set:ccfuben image:c8,第八关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
208,70,89,2,8,1826,"49,55",182604,5290,1516,3034,,0;0;0,0,0,0,0,25,勇武•试炼之塔,沧海银龙,沧海银龙,,,,0,,,,,第9关,0,,555,5,set:ccfuben image:c9,第九关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0001'></I>"
209,70,89,2,9,1826,"52,43",182605,5291,1517,3035,,0;0;0,11702;11702;11702;11702,0,0,0,25,勇武•试炼之塔,观音大士,观音大士,"105,25",1827,"41,70",1,28,27,26,25,第10关,1,,740,5,set:ccfuben image:c10,第十关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
210,70,89,2,10,1827,"41,70",182701,5290,1518,3036,,0;0;0,0,1827,41,70,25,勇武•试炼之塔,地藏王,地藏王,,,,0,,,,,第11关,0,,0,5,set:ccfuben image:c11,第十一关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
211,70,89,2,11,1827,"29,24",182702,5290,1519,3037,,0;0;0,0,0,0,0,25,勇武•试炼之塔,大大王,大大王,,,,0,,,,,第12关,0,,185,5,set:ccfuben image:c12,第十二关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0002'></I><I s='ccui1' i='cc0002'></I>"
212,70,89,2,12,1827,"27,53",182703,5290,1520,3038,,0;0;0,0,0,0,0,25,勇武•试炼之塔,煞风太岁,煞风太岁,,,,0,,,,,第13关,0,,370,5,set:ccfuben image:c13,第十三关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0001'></I>"
213,70,89,2,13,1827,"49,55",182704,5290,1521,3039,,0;0;0,0,0,0,0,25,勇武•试炼之塔,千佛神医,千佛神医,,,,0,,,,,第14关,0,,555,5,set:ccfuben image:c14,第十四关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0001'></I>"
214,70,89,2,14,1827,"52,43",182705,5291,1522,3040,,0;0;0,11702;11702;11702;11702,0,0,0,25,勇武•试炼之塔,琼华子,琼华子,"105,25",1828,"41,70",1,28,27,26,25,第15关,1,,740,5,set:ccfuben image:c2,第十五关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I>"
215,70,89,2,15,1828,"41,70",182801,5290,1523,3041,,0;0;0,0,1828,41,70,25,勇武•试炼之塔,贪狼,贪狼,,,,0,,,,,第16关,0,,0,5,set:ccfuben image:c15,第十六关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I>"
216,70,89,2,16,1828,"29,24",182802,5290,1524,3042,,0;0;0,0,0,0,0,25,勇武•试炼之塔,破军,破军,,,,0,,,,,第17关,0,,185,5,set:ccfuben image:c16,第十七关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
217,70,89,2,17,1828,"27,53",182803,5290,1525,3043,,0;0;0,0,0,0,0,25,勇武•试炼之塔,墨凰,墨凰,,,,0,,,,,第18关,0,,370,5,set:ccfuben image:c17,第十八关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
218,70,89,2,18,1828,"49,55",182804,5290,1526,3044,,0;0;0,0,0,0,0,25,勇武•试炼之塔,螭吻,螭吻,,,,0,,,,,第19关,0,,555,5,set:ccfuben image:c18,第十九关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
219,70,89,2,19,1828,"52,43",182805,5291,1527,3045,,0;0;0,11702;11702;11702;11702,0,0,0,25,勇武•试炼之塔,破霄天君,破霄天君,"105,25",1829,"41,70",1,28,27,26,25,第20关,1,,740,5,set:ccfuben image:c19,第二十关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I>"
220,70,89,2,20,1829,"41,70",182901,5290,1528,3046,,0;0;0,0,1829,41,70,25,勇武•试炼之塔,灾厄灵法,灾厄灵法,,,,0,,,,,第21关,0,,0,5,set:ccfuben image:c20,第二十一关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I>"
221,70,89,2,21,1829,"29,24",182902,5290,1529,3047,,0;0;0,0,0,0,0,25,勇武•试炼之塔,灾厄夜魅,灾厄夜魅,,,,0,,,,,第22关,0,,185,5,set:ccfuben image:c21,第二十二关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0002'></I>"
222,70,89,2,22,1829,"27,53",182903,5290,1530,3048,,0;0;0,0,0,0,0,25,勇武•试炼之塔,灾厄破晓,灾厄破晓,,,,0,,,,,第23关,0,,370,5,set:ccfuben image:c22,第二十三关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0002'></I>"
223,70,89,2,23,1829,"49,55",182904,5290,1531,3049,,0;0;0,0,0,0,0,25,勇武•试炼之塔,灾厄渡法,灾厄渡法,,,,0,,,,,第24关,0,,555,5,set:ccfuben image:c23,第二十四关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
224,70,89,2,24,1829,"52,43",182905,5291,1532,3050,,0;0;0,11702;11702;11702;11702,0,0,0,25,勇武•试炼之塔,灾厄玄灵,灾厄玄灵,,,,1,28,27,26,25,第25关,1,,740,5,set:ccfuben image:c24,第二十五关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0001'></I>"
225,70,89,2,25,1829,"32,69",0,0,0,0,,0;0;0,0,1615,99,94,25,地狱法阵-已通关,恭喜已通关，请离开副本。,,,,,,,,,,,,,0,0,,,
300,90,200,3,0,1831,"41,70",183101,5290,1538,3051,,0;0;0,0,0,0,0,25,神威•试炼之塔,一江风,一江风,,,,0,,,,,第1关,0,,0,5,set:ccfuben image:c1,第一关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
301,90,200,3,1,1831,"29,24",183102,5290,1539,3052,,0;0;0,0,0,0,0,25,神威•试炼之塔,鬼国公主,鬼国公主,,,,0,,,,,第2关,0,,185,5,set:ccfuben image:c2,第二关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
302,90,200,3,2,1831,"27,53",183103,5290,1540,3053,,0;0;0,0,0,0,0,25,神威•试炼之塔,定山神,定山神,,,,0,,,,,第3关,0,,370,5,set:ccfuben image:c3,第三关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0001'></I>"
303,90,200,3,3,1831,"49,55",183104,5290,1541,3054,,0;0;0,0,0,0,0,25,神威•试炼之塔,猴小圣,猴小圣,,,,0,,,,,第4关,0,,555,5,set:ccfuben image:c4,第四关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
304,90,200,3,4,1831,"52,43",183105,5291,1542,3055,,0;0;0,11702;11702;11702;11702,0,0,0,25,神威•试炼之塔,掌灯人,掌灯人,"99,27",1832,"41,70",1,28,27,26,25,第5关,1,,740,5,set:ccfuben image:c5,第五关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
305,90,200,3,5,1832,"41,70",183201,5290,1543,3056,,0;0;0,0,1832,41,70,25,神威•试炼之塔,百目鬼王,百目鬼王,,,,0,,,,,第6关,0,,0,5,set:ccfuben image:c6,第六关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
306,90,200,3,6,1832,"29,24",183202,5290,1544,3057,,0;0;0,0,0,0,0,25,神威•试炼之塔,伏虎校尉,伏虎校尉,,,,0,,,,,第7关,0,,185,5,set:ccfuben image:c7,第七关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0001'></I>"
307,90,200,3,7,1832,"27,53",183203,5290,1545,3058,,0;0;0,0,0,0,0,25,神威•试炼之塔,灵台道人,灵台道人,,,,0,,,,,第8关,0,,370,5,set:ccfuben image:c8,第八关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
308,90,200,3,8,1832,"49,55",183204,5290,1546,3059,,0;0;0,0,0,0,0,25,神威•试炼之塔,沧海银龙,沧海银龙,,,,0,,,,,第9关,0,,555,5,set:ccfuben image:c9,第九关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0001'></I>"
