"装备ID","装备分类","等级","制造图纸ID","制造图纸数量","千年寒铁ID","千年寒铁数量","材料铁1","材料铁数量1","材料铁2","材料铁数量2","材料铁3","材料铁数量3","材料铁4","材料铁数量4","材料铁5","材料铁数量5","材料铁6","材料铁数量6","材料铁7","材料铁数量7","材料铁8","材料铁数量8","材料铁9","材料铁数量9","材料铁10","材料铁数量10","材料铁11","材料铁数量11","材料铁12","材料铁数量12","材料铁13","材料铁数量13","材料铁14","材料铁数量14","材料铁15","材料铁数量15","制造符ID","制造符数量","制造符1","制造符数量1","制造符2","制造符数量2","制造符3","制造符数量3","制造符4","制造符数量4","制造符5","制造符数量5","制造符6","制造符数量6","制造符7","制造符数量7","制造符8","制造符数量8","制造符9","制造符数量9","制造符10","制造符数量10","制造符11","制造符数量11","制造符12","制造符数量12","制造符13","制造符数量13","制造符14","制造符数量14","制造符15","制造符数量15","强化材料ID","强化材料数量","打造金钱消耗","打造消耗金钱类型","强化打造产出装备ID","普通打造装备ID1","普通打造装备概率1","普通打造装备ID2","普通打造装备概率2","普通打造装备ID3","普通打造装备概率3","普通打造装备ID4","普通打造装备概率4","普通打造装备ID5","普通打造装备概率5","强化打造装备ID1","强化打造装备概率1","强化打造装备ID2","强化打造装备概率2","强化打造装备ID3","强化打造装备概率3","强化打造装备ID4","强化打造装备概率4","强化打造装备ID5","强化打造装备概率5"
"6020116","1288","20","350215","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020116","6020116","5500","6020116","3600","6020116","900","","","","","6020116","900","6020116","900","6020116","900","6020116","900","6020116","900"
"6020117","1288","20","350216","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331102","1","331102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6020117","6020117","5500","6020117","3600","6020117","900","","","","","6020117","900","6020117","900","6020117","900","6020117","900","6020117","900"
"6020220","312","20","350217","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331132","1","331132","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","","","6020220","6020220","5500","6020220","3600","6020220","900","","","","","6020220","900","6020220","900","6020220","900","6020220","900","6020220","900"
"6020221","568","20","350218","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331132","1","331132","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","","","6020221","6020221","5500","6020221","3600","6020221","900","","","","","6020221","900","6020221","900","6020221","900","6020221","900","6020221","900"
"6020322","1640","20","350219","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331132","1","331132","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","6020322","6020322","5500","6020322","3600","6020322","900","","","","","6020322","900","6020322","900","6020322","900","6020322","900","6020322","900"
"6020323","1384","20","350220","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331132","1","331132","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","6020323","6020323","5500","6020323","3600","6020323","900","","","","","6020323","900","6020323","900","6020323","900","6020323","900","6020323","900"
"6020424","40","20","350221","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331162","1","331162","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","1","","","6020424","6020424","5500","6020424","3600","6020424","900","","","","","6020424","900","6020424","900","6020424","900","6020424","900","6020424","900"
"6020525","72","20","350222","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331162","1","331162","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","1","","","6020525","6020525","5500","6020525","3600","6020525","900","","","","","6020525","900","6020525","900","6020525","900","6020525","900","6020525","900"
"6020626","88","20","350223","1","341102","1","341102","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331162","1","331162","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","1","","","6020626","6020626","5500","6020626","3600","6020626","900","","","","","6020626","900","6020626","900","6020626","900","6020626","900","6020626","900"
"6030101","1288","30","350300","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030101","6030101","5500","6030101","3600","6030101","900","","","","","6030101","900","6030101","900","6030101","900","6030101","900","6030101","900"
"6030102","3080","30","350301","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030102","6030102","5500","6030102","3600","6030102","900","","","","","6030102","900","6030102","900","6030102","900","6030102","900","6030102","900"
"6030103","4360","30","350302","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030103","6030103","5500","6030103","3600","6030103","900","","","","","6030103","900","6030103","900","6030103","900","6030103","900","6030103","900"
"6030104","4104","30","350303","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030104","6030104","5500","6030104","3600","6030104","900","","","","","6030104","900","6030104","900","6030104","900","6030104","900","6030104","900"
"6030105","4360","30","350304","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030105","6030105","5500","6030105","3600","6030105","900","","","","","6030105","900","6030105","900","6030105","900","6030105","900","6030105","900"
"6030106","2824","30","350305","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030106","6030106","5500","6030106","3600","6030106","900","","","","","6030106","900","6030106","900","6030106","900","6030106","900","6030106","900"
"6030107","1288","30","350306","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030107","6030107","5500","6030107","3600","6030107","900","","","","","6030107","900","6030107","900","6030107","900","6030107","900","6030107","900"
"6030108","1288","30","350307","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030108","6030108","5500","6030108","3600","6030108","900","","","","","6030108","900","6030108","900","6030108","900","6030108","900","6030108","900"
"6030109","1288","30","350308","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030109","6030109","5500","6030109","3600","6030109","900","","","","","6030109","900","6030109","900","6030109","900","6030109","900","6030109","900"
"6030110","1288","30","350309","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030110","6030110","5500","6030110","3600","6030110","900","","","","","6030110","900","6030110","900","6030110","900","6030110","900","6030110","900"
"6030111","1288","30","350310","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030111","6030111","5500","6030111","3600","6030111","900","","","","","6030111","900","6030111","900","6030111","900","6030111","900","6030111","900"
"6030112","1288","30","350311","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030112","6030112","5500","6030112","3600","6030112","900","","","","","6030112","900","6030112","900","6030112","900","6030112","900","6030112","900"
"6030113","1288","30","350312","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030113","6030113","5500","6030113","3600","6030113","900","","","","","6030113","900","6030113","900","6030113","900","6030113","900","6030113","900"
"6030114","1288","30","350313","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030114","6030114","5500","6030114","3600","6030114","900","","","","","6030114","900","6030114","900","6030114","900","6030114","900","6030114","900"
"6030115","1288","30","350314","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030115","6030115","5500","6030115","3600","6030115","900","","","","","6030115","900","6030115","900","6030115","900","6030115","900","6030115","900"
"6030116","1288","30","350315","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030116","6030116","5500","6030116","3600","6030116","900","","","","","6030116","900","6030116","900","6030116","900","6030116","900","6030116","900"
"6030117","1288","30","350316","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331103","1","331103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6030117","6030117","5500","6030117","3600","6030117","900","","","","","6030117","900","6030117","900","6030117","900","6030117","900","6030117","900"
"6030220","312","30","350317","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331133","1","331133","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","","","6030220","6030220","5500","6030220","3600","6030220","900","","","","","6030220","900","6030220","900","6030220","900","6030220","900","6030220","900"
"6030221","568","30","350318","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331133","1","331133","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","","","6030221","6030221","5500","6030221","3600","6030221","900","","","","","6030221","900","6030221","900","6030221","900","6030221","900","6030221","900"
"6030322","1640","30","350319","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331133","1","331133","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","6030322","6030322","5500","6030322","3600","6030322","900","","","","","6030322","900","6030322","900","6030322","900","6030322","900","6030322","900"
"6030323","1384","30","350320","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331133","1","331133","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","6030323","6030323","5500","6030323","3600","6030323","900","","","","","6030323","900","6030323","900","6030323","900","6030323","900","6030323","900"
"6030424","40","30","350321","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331163","1","331163","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","1","","","6030424","6030424","5500","6030424","3600","6030424","900","","","","","6030424","900","6030424","900","6030424","900","6030424","900","6030424","900"
"6030525","72","30","350322","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331163","1","331163","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","1","","","6030525","6030525","5500","6030525","3600","6030525","900","","","","","6030525","900","6030525","900","6030525","900","6030525","900","6030525","900"
"6030626","88","30","350323","1","341103","1","341103","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331163","1","331163","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","1","","","6030626","6030626","5500","6030626","3600","6030626","900","","","","","6030626","900","6030626","900","6030626","900","6030626","900","6030626","900"
"6040101","1288","40","350400","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040101","6040101","5500","6040101","3600","6040101","900","","","","","6040101","900","6040101","900","6040101","900","6040101","900","6040101","900"
"6040102","3080","40","350401","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040102","6040102","5500","6040102","3600","6040102","900","","","","","6040102","900","6040102","900","6040102","900","6040102","900","6040102","900"
"6040103","4360","40","350402","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040103","6040103","5500","6040103","3600","6040103","900","","","","","6040103","900","6040103","900","6040103","900","6040103","900","6040103","900"
"6040104","4104","40","350403","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040104","6040104","5500","6040104","3600","6040104","900","","","","","6040104","900","6040104","900","6040104","900","6040104","900","6040104","900"
"6040105","4360","40","350404","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040105","6040105","5500","6040105","3600","6040105","900","","","","","6040105","900","6040105","900","6040105","900","6040105","900","6040105","900"
"6040106","2824","40","350405","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040106","6040106","5500","6040106","3600","6040106","900","","","","","6040106","900","6040106","900","6040106","900","6040106","900","6040106","900"
"6040107","1288","40","350406","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040107","6040107","5500","6040107","3600","6040107","900","","","","","6040107","900","6040107","900","6040107","900","6040107","900","6040107","900"
"6040108","1288","40","350407","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040108","6040108","5500","6040108","3600","6040108","900","","","","","6040108","900","6040108","900","6040108","900","6040108","900","6040108","900"
"6040109","1288","40","350408","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040109","6040109","5500","6040109","3600","6040109","900","","","","","6040109","900","6040109","900","6040109","900","6040109","900","6040109","900"
"6040110","1288","40","350409","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040110","6040110","5500","6040110","3600","6040110","900","","","","","6040110","900","6040110","900","6040110","900","6040110","900","6040110","900"
"6040111","1288","40","350410","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040111","6040111","5500","6040111","3600","6040111","900","","","","","6040111","900","6040111","900","6040111","900","6040111","900","6040111","900"
"6040112","1288","40","350411","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040112","6040112","5500","6040112","3600","6040112","900","","","","","6040112","900","6040112","900","6040112","900","6040112","900","6040112","900"
"6040113","1288","40","350412","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040113","6040113","5500","6040113","3600","6040113","900","","","","","6040113","900","6040113","900","6040113","900","6040113","900","6040113","900"
"6040114","1288","40","350413","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040114","6040114","5500","6040114","3600","6040114","900","","","","","6040114","900","6040114","900","6040114","900","6040114","900","6040114","900"
"6040115","1288","40","350414","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040115","6040115","5500","6040115","3600","6040115","900","","","","","6040115","900","6040115","900","6040115","900","6040115","900","6040115","900"
"6040116","1288","40","350415","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040116","6040116","5500","6040116","3600","6040116","900","","","","","6040116","900","6040116","900","6040116","900","6040116","900","6040116","900"
"6040117","1288","40","350416","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331104","1","331104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","1","","","6040117","6040117","5500","6040117","3600","6040117","900","","","","","6040117","900","6040117","900","6040117","900","6040117","900","6040117","900"
"6040220","312","40","350417","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331134","1","331134","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","","","6040220","6040220","5500","6040220","3600","6040220","900","","","","","6040220","900","6040220","900","6040220","900","6040220","900","6040220","900"
"6040221","568","40","350418","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331134","1","331134","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","","","6040221","6040221","5500","6040221","3600","6040221","900","","","","","6040221","900","6040221","900","6040221","900","6040221","900","6040221","900"
"6040322","1640","40","350419","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331134","1","331134","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","6040322","6040322","5500","6040322","3600","6040322","900","","","","","6040322","900","6040322","900","6040322","900","6040322","900","6040322","900"
"6040323","1384","40","350420","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331134","1","331134","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","6040323","6040323","5500","6040323","3600","6040323","900","","","","","6040323","900","6040323","900","6040323","900","6040323","900","6040323","900"
"6040424","40","40","350421","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331164","1","331164","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","1","","","6040424","6040424","5500","6040424","3600","6040424","900","","","","","6040424","900","6040424","900","6040424","900","6040424","900","6040424","900"
"6040525","72","40","350422","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331164","1","331164","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","1","","","6040525","6040525","5500","6040525","3600","6040525","900","","","","","6040525","900","6040525","900","6040525","900","6040525","900","6040525","900"
"6040626","88","40","350423","1","341104","1","341104","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331164","1","331164","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","1","","","6040626","6040626","5500","6040626","3600","6040626","900","","","","","6040626","900","6040626","900","6040626","900","6040626","900","6040626","900"
"6050101","1288","50","350500","1","341105","1","341105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331105","1","331105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","2","","","6050101","6050101","5500","6050101","3600","6050101","900","","","","","6050101","900","6050101","900","6050101","900","6050101","900","6050101","900"
"6050102","3080","50","350501","1","341105","1","341105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331105","1","331105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","2","","","6050102","6050102","5500","6050102","3600","6050102","900","","","","","6050102","900","6050102","900","6050102","900","6050102","900","6050102","900"
"6050103","4360","50","350502","1","341105","1","341105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331105","1","331105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","2","","","6050103","6050103","5500","6050103","3600","6050103","900","","","","","6050103","900","6050103","900","6050103","900","6050103","900","6050103","900"
"6050104","4104","50","350503","1","341105","1","341105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331105","1","331105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","2","","","6050104","6050104","5500","6050104","3600","6050104","900","","","","","6050104","900","6050104","900","6050104","900","6050104","900","6050104","900"
"6050105","4360","50","350504","1","341105","1","341105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331105","1","331105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","2","","","6050105","6050105","5500","6050105","3600","6050105","900","","","","","6050105","900","6050105","900","6050105","900","6050105","900","6050105","900"
"6050106","2824","50","350505","1","341105","1","341105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331105","1","331105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","2","","","6050106","6050106","5500","6050106","3600","6050106","900","","","","","6050106","900","6050106","900","6050106","900","6050106","900","6050106","900"
"6050107","1288","50","350506","1","341105","1","341105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331105","1","331105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","2","","","6050107","6050107","5500","6050107","3600","6050107","900","","","","","6050107","900","6050107","900","6050107","900","6050107","900","6050107","900"
"6050108","1288","50","350507","1","341105","1","341105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331105","1","331105","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","2","","","6050108","6050108","5500","6050108","3600","6050108","900","","","","","6050108","900","6050108","900","6050108","900","6050108","900","6050108","900"
