"技能id","技能名","技能定位","技能类型","图标编号","消耗1属性编号","消耗系数a1","消耗系数b1","显示消耗1","消耗2属性编号","消耗系数a2","消耗系数b2","显示消耗2","目标类型","战斗内外使用","魔法入口","技能剧情描述","技能描述","排序","技能描述1","技能描述2","技能描述3","技能描述4","技能描述5","技能描述6","技能描述7","技能升级描述","技能升级描述1","技能升级描述2","技能升级描述3","技能升级描述4","技能升级描述5","技能升级描述6","技能升级描述7","技能等级1","技能等级2","技能等级3","技能等级4","技能等级5","技能等级6","技能等级7"
"110010","大唐官府被动3","大唐官府被动3","增加物防","17","-1","0","0","无消耗","-1","0","0","","1","0","","大唐官府被动3：被动技能，满足条件时自动生效。","大唐官府被动3：被动技能，满足条件时自动生效。","32","大唐官府被动3：被动技能，满足条件时自动生效。","大唐官府被动3：被动技能，满足条件时自动生效。","大唐官府被动3：被动技能，满足条件时自动生效。","大唐官府被动3：被动技能，满足条件时自动生效。","大唐官府被动3：被动技能，满足条件时自动生效。","大唐官府被动3：被动技能，满足条件时自动生效。","大唐官府被动3：被动技能，满足条件时自动生效。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","1","200","200","200","200","200","200"
"110011","后发制人","后发制人","后发制人","21","-1","0","0","无消耗","-1","0","0","","480","1","","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","33","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","自身获得一个持续4回合的护盾，护盾存在的回合，格挡受到的第一次物理攻击并进行一次反击。如果护盾被击破，增加2回合物理伤害。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","0-120级 提升技能效果，永久增加角色的抵抗封印。","1","200","200","200","200","200","200"
"110012","目空","目空","铜墙铁壁：增加人物物理防御","25","-1","0","0","无消耗","-1","0","0","","1","1","","目空","目空","9","目空","目空","目空","目空","目空","目空","目空","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110013","翩鸿","翩鸿","千里神行：增加人物速度","26","-1","0","0","无消耗","-1","0","0","","1","1","","翩鸿","翩鸿","10","翩鸿","翩鸿","翩鸿","翩鸿","翩鸿","翩鸿","翩鸿","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110014","亢强","亢强","坚若磐石：增加人物法术防御","27","-1","0","0","无消耗","-1","0","0","","1","1","","亢强","亢强","11","亢强","亢强","亢强","亢强","亢强","亢强","亢强","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110015","干将","干将","风驰霆击：增加人物物理暴击","28","-1","0","0","无消耗","-1","0","0","","1","1","","干将","干将","12","干将","干将","干将","干将","干将","干将","干将","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110016","惊天动地","惊天动地","救死扶伤：增加人物治疗强度","29","-1","0","0","无消耗","-1","0","0","","1","1","","惊天动地","惊天动地","13","惊天动地","惊天动地","惊天动地","惊天动地","惊天动地","惊天动地","惊天动地","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110017","破势","破势","道高魔重：增加人物法术抗暴","30","-1","0","0","无消耗","-1","0","0","","1","1","","破势","破势","14","破势","破势","破势","破势","破势","破势","破势","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110018","额外能力","额外能力","干将莫邪：增加人物物理伤害","31","-1","0","0","无消耗","-1","0","0","","1","1","","额外能力","额外能力","15","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110019","勇进","勇进","气血方刚：增加人物气血","32","-1","0","0","无消耗","-1","0","0","","1","1","","勇进","勇进","16","勇进","勇进","勇进","勇进","勇进","勇进","勇进","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110020","勇武","勇武","铜墙铁壁：增加人物物理防御","33","-1","0","0","无消耗","-1","0","0","","1","1","","勇武","勇武","17","勇武","勇武","勇武","勇武","勇武","勇武","勇武","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110021","念心","念心","道高魔重：增加人物法术抗暴","34","-1","0","0","无消耗","-1","0","0","","1","1","","念心","念心","18","念心","念心","念心","念心","念心","念心","念心","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110022","勇念","勇念","风驱电击：增加人物法术暴击","35","-1","0","0","无消耗","-1","0","0","","1","1","","勇念","勇念","19","勇念","勇念","勇念","勇念","勇念","勇念","勇念","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110023","不惊","不惊","道高魔重：增加人物法术抗暴","36","-1","0","0","无消耗","-1","0","0","","1","1","","不惊","不惊","20","不惊","不惊","不惊","不惊","不惊","不惊","不惊","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110024","孤勇","孤勇","杯弓蛇影：增加人物物理抗暴","37","-1","0","0","无消耗","-1","0","0","","1","1","","孤勇","孤勇","21","孤勇","孤勇","孤勇","孤勇","孤勇","孤勇","孤勇","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110025","破军","破军","换斗移星：增加人物法术伤害","38","-1","0","0","无消耗","-1","0","0","","1","1","","破军","破军","22","破军","破军","破军","破军","破军","破军","破军","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110026","突刺","突刺","千里神行：增加人物速度","39","-1","0","0","无消耗","-1","0","0","","1","1","","突刺","突刺","23","突刺","突刺","突刺","突刺","突刺","突刺","突刺","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110027","长驱直入","长驱直入","气血方刚：增加人物气血","40","-1","0","0","无消耗","-1","0","0","","1","1","","长驱直入","长驱直入","24","长驱直入","长驱直入","长驱直入","长驱直入","长驱直入","长驱直入","长驱直入","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110028","静岳","静岳","铜墙铁壁：增加人物物理防御","41","-1","0","0","无消耗","-1","0","0","","1","1","","静岳","静岳","25","静岳","静岳","静岳","静岳","静岳","静岳","静岳","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110029","神凝","神凝","救死扶伤：增加人物治疗强度","42","-1","0","0","无消耗","-1","0","0","","1","1","","神凝","神凝","26","神凝","神凝","神凝","神凝","神凝","神凝","神凝","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110030","突进","突进","杯弓蛇影：增加人物物理抗暴","43","-1","0","0","无消耗","-1","0","0","","1","1","","突进","突进","27","突进","突进","突进","突进","突进","突进","突进","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110031","熟练","熟练","气血方刚：增加人物气血","44","-1","0","0","无消耗","-1","0","0","","1","1","","熟练","熟练","28","熟练","熟练","熟练","熟练","熟练","熟练","熟练","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"110032","无双战神","无双战神","救死扶伤：增加人物治疗强度，挂金封印：增加人物封印命中","45","-1","0","0","无消耗","-1","0","0","","1","1","","无双战神","无双战神","29","无双战神","无双战神","无双战神","无双战神","无双战神","无双战神","无双战神","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"120000","黄庭经","黄庭经","道学曰太清，修气心自明。紫阁仙府内，仙人诵黄庭。","25","-1","0","0","无消耗","-1","0","0","","1","1","","方寸山基础技能","方寸山基础技能","1","方寸山基础技能","方寸山基础技能","方寸山基础技能","方寸山基础技能","方寸山基础技能","方寸山基础技能","方寸山基础技能","0-120级 永久增加角色的封印命中。","0-120级 永久增加角色的封印命中。","0-120级 永久增加角色的封印命中。","0-120级 永久增加角色的封印命中。","0-120级 永久增加角色的封印命中。","0-120级 永久增加角色的封印命中。","0-120级 永久增加角色的封印命中。","0-120级 永久增加角色的封印命中。","1","200","200","200","200","200","200"
"120001","五雷咒","五雷咒","催动霹雳鬼神惊，斩妖除魔仗雷霆。","26","100","1.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","法术攻击3个目标。玩家施法对首目标小概率附加失心符。","法术攻击3个目标。玩家施法对首目标小概率附加失心符。","2","法术攻击3个目标。玩家施法对首目标小概率附加失心符。","法术攻击3个目标。玩家施法对首目标小概率附加失心符。","法术攻击3个目标。玩家施法对首目标小概率附加失心符。","法术攻击3个目标。玩家施法对首目标小概率附加失心符。","法术攻击3个目标。玩家施法对首目标小概率附加失心符。","法术攻击3个目标。玩家施法对首目标小概率附加失心符。","法术攻击3个目标。玩家施法对首目标小概率附加失心符。","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","1","60","70","90","200","200","200"
"120002","定身符","定身符","极为强大的符咒，让敌人无法动弹。","27","100","1.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","临时提升命中率封印1个敌方目标物理和法术，下回合封印命中率降低，持续3回合，封印回合数根据双方等级差有所增减。","临时提升命中率封印1个敌方目标物理和法术，下回合封印命中率降低，持续3回合，封印回合数根据双方等级差有所增减。","4","临时提升命中率封印1个敌方目标物理和法术，下回合封印命中率降低，持续3回合，封印回合数根据双方等级差有所增减。","临时提升命中率封印1个敌方目标物理和法术，下回合封印命中率降低，持续3回合，封印回合数根据双方等级差有所增减。","临时提升命中率封印1个敌方目标物理和法术，下回合封印命中率降低，持续3回合，封印回合数根据双方等级差有所增减。","临时提升命中率封印1个敌方目标物理和法术，下回合封印命中率降低，持续3回合，封印回合数根据双方等级差有所增减。","临时提升命中率封印1个敌方目标物理和法术，下回合封印命中率降低，持续3回合，封印回合数根据双方等级差有所增减。","临时提升命中率封印1个敌方目标物理和法术，下回合封印命中率降低，持续3回合，封印回合数根据双方等级差有所增减。","临时提升命中率封印1个敌方目标物理和法术，下回合封印命中率降低，持续3回合，封印回合数根据双方等级差有所增减。","0-120级 永久增加角色的速度。","0-120级 永久增加角色的速度。","0-120级 永久增加角色的速度。","0-120级 永久增加角色的速度。","0-120级 永久增加角色的速度。","0-120级 永久增加角色的速度。","0-120级 永久增加角色的速度。","0-120级 永久增加角色的速度。","1","60","200","200","200","200","200"
"120003","失忆符","失忆符","失传已久的符咒，让敌人心神不定。","28","100","1.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","让敌人的门派法术和特技3回合内自动选择施法对象，可与其他封印状态共存。使用后提升自己5回合封印命中率。","让敌人的门派法术和特技3回合内自动选择施法对象，可与其他封印状态共存。使用后提升自己5回合封印命中率。","6","让敌人的门派法术和特技3回合内自动选择施法对象，可与其他封印状态共存。使用后提升自己5回合封印命中率。","让敌人的门派法术和特技3回合内自动选择施法对象，可与其他封印状态共存。使用后提升自己5回合封印命中率。","让敌人的门派法术和特技3回合内自动选择施法对象，可与其他封印状态共存。使用后提升自己5回合封印命中率。","让敌人的门派法术和特技3回合内自动选择施法对象，可与其他封印状态共存。使用后提升自己5回合封印命中率。","让敌人的门派法术和特技3回合内自动选择施法对象，可与其他封印状态共存。使用后提升自己5回合封印命中率。","让敌人的门派法术和特技3回合内自动选择施法对象，可与其他封印状态共存。使用后提升自己5回合封印命中率。","让敌人的门派法术和特技3回合内自动选择施法对象，可与其他封印状态共存。使用后提升自己5回合封印命中率。","0-120级 增加混乱敌人的命中率，永久增加角色的气血。","0-120级 增加混乱敌人的命中率，永久增加角色的气血。","0-120级 增加混乱敌人的命中率，永久增加角色的气血。","0-120级 增加混乱敌人的命中率，永久增加角色的气血。","0-120级 增加混乱敌人的命中率，永久增加角色的气血。","0-120级 增加混乱敌人的命中率，永久增加角色的气血。","0-120级 增加混乱敌人的命中率，永久增加角色的气血。","0-120级 增加混乱敌人的命中率，永久增加角色的气血。","1","200","200","200","200","200","200"
