id,下一步,备注,触发任务id,战斗ID触发,回合数触发,触发功能ID,队伍列表信息,是否判定组队状态,触发等级,道具id,条件道具ID,技能id,等级上限,是否锁屏,是否永久锁屏,按钮名称,响应按钮,按钮形状,相应战斗点位,箭头内容,界面位置,文字位置,图片名称,解锁特效,是否播放提醒动画,引导特效类别,引导特效,辅助引导特效,引导特效缩放比例,出现类型,是否为穿装备
31024,31025,查看宠物,0,,,0,,,0,0,0,0,100,0,0,PetPropertyNew/attriView,PetPropertyNew/attriView,1,,"<T t=""宠物基础生存属性"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
31025,31026,查看宠物,0,,,0,,,0,0,0,0,100,0,0,PetPropertyNew/Leftback/image ,PetPropertyNew/Leftback/image,1,,"<T t=""宠物基础战斗属性"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
31026,0,查看宠物,0,,,0,,,0,0,0,0,100,0,1,PetPropertyNew/infoback/info2,PetPropertyNew/infoback/info2,1,,,1,5,,0,0,1,11066,11068,1,1,0
31027,0,查看宠物,0,,,0,,,0,0,0,0,100,0,0,PetPropertyNew/skillView,PetPropertyNew/skillView,1,,"<T t=""宠物资质和技能信息"" c=""ffefd9b8"" ></T>",0,7,,0,0,1,11066,11068,1,1,0
31028,0,领取奖励,0,,,9,,,0,0,0,0,100,0,1,LogoInfo/backImage/btnjiangli,LogoInfo/backImage/btnjiangli,1,,,5,8,,0,0,1,11066,11068,1,1,0
31030,0,帮派引导,0,,,5,,,0,0,0,0,100,1,0,MainControlDlg/back/faction,MainControlDlg/back/faction,1,,"<T t=""点击打开帮派界面"" c=""ffefd9b8""></T>",2,6,,0,0,1,11066,11068,1,1,0
31032,31033,提升引导,0,,,13,,,0,0,0,0,100,1,0,LogoInfo/backImage/btntishen,LogoInfo/backImage/btntishen,1,,"<T t=""点击查看提升能力吧"" c=""ffefd9b8""></T>",3,3,,0,0,1,11066,11068,1,1,0
31033,0,提升引导,0,,,0,,,0,0,0,0,100,1,0,3yangchengtixingcell,3yangchengtixingcell,1,,"<T t=""升级技能"" c=""ffefd9b8""></T>",5,8,,0,0,1,11066,11068,1,1,0
31038,0,活动引导,0,,,14,,,0,0,0,0,100,0,1,LogoInfo/backImage/btnhuodong,LogoInfo/backImage/btnhuodong,1,,,3,3,,0,0,1,11066,11068,1,1,0
31039,31040,使用礼包,0,,,0,,,0,334000,0,0,100,0,0,TaskuseitemdialogUseToRemindcard/ok,TaskuseitemdialogUseToRemindcard/ok,1,,,0,7,,0,0,1,11066,11068,1,1,0
31040,0,使用礼包,0,,,0,,,0,0,0,0,100,0,0,20shengjidalibaocell/anniu,20shengjidalibaocell/anniu,1,,,1,5,,0,0,1,11066,11068,1,1,0
31041,31042,10级礼包,0,,,0,,,0,334001,0,0,100,1,0,TaskuseitemdialogUseToRemindcard/ok,TaskuseitemdialogUseToRemindcard/ok,1,,"<T t=""点击使用新手礼包"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
31042,0,10级礼包,0,,,0,,,0,0,0,0,100,1,1,20shengjidalibaocell/anniu,20shengjidalibaocell/anniu,1,,"<T t=""领取奖励"" c=""ffefd9b8""></T>",1,5,,0,0,1,11066,11068,1,1,0
31043,31044,10级穿装,0,,,0,,,0,0,334002,0,100,1,0,MainControlDlg/back/pack,MainControlDlg/back/pack,1,,"<T t=""已获得强力新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
31044,31046,10级穿装,0,,,0,,,0,4010626,0,0,100,1,0,0,0,1,,"<T t=""查看新装备"" c=""ffefd9b8""></T>",1,5,,0,0,1,11066,11068,1,1,0
31045,31055,挂机引导,0,,,0,,,0,0,0,0,100,1,0,LogoInfo/backImage/btnguaji,LogoInfo/backImage/btnguaji,1,,"<T t=""点击查看挂机界面"" c=""ffefd9b8""></T>",3,3,,0,0,1,11066,11068,1,1,0
31046,31047,10级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31047,31048,10级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31048,31049,10级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31049,31051,10级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31051,31052,10级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31050,0,排行榜,0,,,8,,,0,0,0,0,100,0,1,MainControlDlg/back/paihang,MainControlDlg/back/paihang,1,,,3,3,,0,0,1,11066,11068,1,1,0
31052,0,10级穿装,0,,,0,,,0,0,0,0,100,1,0,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31053,31054,助战上阵,0,,,0,,,0,0,0,0,100,1,0,4herohuobazhuzhancell1/cell,4herohuobazhuzhancell1/cell,1,,"<T t=""查看助战英雄"" c=""ffefd9b8""></T>",5,8,,0,0,1,11066,11068,1,1,0
31054,0,助战上阵,0,,,0,,,0,0,0,0,100,1,0,huobanzhuzhaninfo/btnxiazhen,huobanzhuzhaninfo/btnxiazhen,1,,"<T t=""选择上阵"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
31055,31056,挂机引导,0,,,0,,,0,0,0,0,100,1,0,mapchosedialog_mtg/nowleave,mapchosedialog_mtg/nowleave,1,,"<T t=""领取每日试炼任务"" c=""ffefd9b8""></T>",4,9,,0,0,1,11066,11068,1,1,0
31056,0,挂机引导,0,,,0,,,0,0,0,0,100,1,0,mapchosedialog_mtg__auto_closebutton__,mapchosedialog_mtg__auto_closebutton__,1,,"<T t=""继续冒险吧"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
31060,31061,20级礼包,0,,,0,,,0,334002,0,0,100,1,0,TaskuseitemdialogUseToRemindcard/ok,TaskuseitemdialogUseToRemindcard/ok,1,,"<T t=""点击使用新手礼包"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
31061,0,20级礼包,0,,,0,,,0,0,0,0,100,1,1,20shengjidalibaocell/anniu,20shengjidalibaocell/anniu,1,,"<T t=""领取奖励"" c=""ffefd9b8""></T>",1,5,,0,0,1,11066,11068,1,1,0
31062,31063,20级穿装,0,,,0,,,0,0,334003,0,100,1,0,MainControlDlg/back/pack,MainControlDlg/back/pack,1,,"<T t=""已获得强力新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
31063,31064,20级穿装,0,,,0,,,0,4020525,0,0,100,1,0,0,0,1,,"<T t=""查看新装备"" c=""ffefd9b8""></T>",1,5,,0,0,1,11066,11068,1,1,0
31064,31065,20级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31065,31066,20级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31066,31067,20级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31067,31068,20级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31068,31069,20级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31069,0,20级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31080,31081,30级礼包,0,,,0,,,0,334003,0,0,100,1,0,TaskuseitemdialogUseToRemindcard/ok,TaskuseitemdialogUseToRemindcard/ok,1,,"<T t=""点击使用新手礼包"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
31081,0,30级礼包,0,,,0,,,0,0,0,0,100,1,1,20shengjidalibaocell/anniu,20shengjidalibaocell/anniu,1,,"<T t=""领取奖励"" c=""ffefd9b8""></T>",1,5,,0,0,1,11066,11068,1,1,0
31082,31083,30级穿装,0,,,0,,,0,0,334004,0,100,1,0,MainControlDlg/back/pack,MainControlDlg/back/pack,1,,"<T t=""已获得强力新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
31083,31084,30级穿装,0,,,0,,,0,5030626,0,0,100,1,0,0,0,1,,"<T t=""查看新装备"" c=""ffefd9b8""></T>",1,5,,0,0,1,11066,11068,1,1,0
31084,31085,30级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31085,31086,30级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31086,31087,30级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31087,31088,30级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31088,31089,30级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
31089,0,30级穿装,0,,,0,,,0,0,0,0,100,1,1,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""穿上新装备"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,1
32049,32050,携宠战斗,0,8502,1,,,,0,0,0,0,100,1,0,CharacterOperateDlg/back/skill,CharacterOperateDlg/back/skill,1,,"<T t=""点击打开技能列表"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
32050,32051,携宠战斗,0,,,,,,0,0,0,0,100,1,0,SkillList/back/skill1,SkillList/back/skill1,1,,"<T t=""点击选择使用该技能"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
32051,32052,携宠战斗,0,,,,,,0,0,0,0,100,1,0,,,1,15,"<T t=""点击选择技能目标"" c=""ffefd9b8""></T>",5,8,,0,0,1,11066,11068,1,1,0
32052,32053,携宠战斗,0,,,,,,0,0,0,0,100,1,0,PetOperateDlg/back/skill5,PetOperateDlg/back/skill5,1,,"<T t=""下达宠物攻击指令"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
32053,0,携宠战斗,0,,,,,,0,0,0,0,100,1,0,,,1,15,"<T t=""选择一个技能目标"" c=""ffefd9b8""></T>",5,8,,0,0,1,11066,11068,1,1,0
32054,0,携宠战斗,0,8502,2,,,,0,0,0,0,100,1,0,CharacterOperateDlg/back/cancel,CharacterOperateDlg/back/cancel,1,,"<T t=""胜算较大可选择自动"" c=""ffefd9b8""></T>",2,6,,0,0,1,11066,11068,1,1,0
32060,0,新手穿装,0,,,,,,0,4001114,0,0,3,0,1,TaskuseitemdialogUseToRemindcard/ok,TaskuseitemdialogUseToRemindcard/ok,1,,,0,7,,0,0,1,11066,11068,1,1,0
32061,0,新手穿装,0,,,,,,0,4001115,0,0,3,0,1,TaskuseitemdialogUseToRemindcard/ok,TaskuseitemdialogUseToRemindcard/ok,1,,,0,7,,0,0,1,11066,11068,1,1,0
32062,0,新手穿装,0,,,,,,0,4001116,0,0,3,0,1,TaskuseitemdialogUseToRemindcard/ok,TaskuseitemdialogUseToRemindcard/ok,1,,,0,7,,0,0,1,11066,11068,1,1,0
32063,0,新手穿装,0,,,,,,0,4001117,0,0,3,0,1,TaskuseitemdialogUseToRemindcard/ok,TaskuseitemdialogUseToRemindcard/ok,1,,,0,7,,0,0,1,11066,11068,1,1,0
32064,0,新手穿装,0,,,,,,0,4001118,0,0,3,0,1,TaskuseitemdialogUseToRemindcard/ok,TaskuseitemdialogUseToRemindcard/ok,1,,,0,7,,0,0,1,11066,11068,1,1,0
32065,0,新手穿装,0,,,,,,0,4001119,0,0,3,0,1,TaskuseitemdialogUseToRemindcard/ok,TaskuseitemdialogUseToRemindcard/ok,1,,,0,7,,0,0,1,11066,11068,1,1,0
32066,32067,宠物捕捉,0,8601,1,,,,0,0,0,0,100,1,0,CharacterOperateDlg/back/skill9,CharacterOperateDlg/back/skill9,1,,"<T t=""点击捕捉"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
32067,32068,宠物捕捉,0,,,,,,0,0,0,0,100,1,0,,,1,15,"<T t=""点击选择捕捉目标"" c=""ffefd9b8""></T>",5,8,,0,0,1,11066,11068,1,1,0
32068,0,宠物捕捉,0,,,,,,0,0,0,0,100,1,0,PetOperateDlg/back/skill2,PetOperateDlg/back/skill2,1,,"<T t=""点击防御"" c=""ffefd9b8""></T>",2,6,,0,0,1,11066,11068,1,1,0
33001,33002,加点引导,0,,,20,,,0,0,0,0,100,1,0,UserPeticon/userIcon,UserPeticon/userIcon,1,,"<T t=""点击人物头像"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33002,33015,加点引导,0,,,,,,0,0,0,0,100,1,0,2Lable/button2,2Lable/button2,1,,"<T t=""点击加点按钮"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33015,33003,加点引导,0,,,,,,0,0,0,0,100,1,0,charecterjiadian/left/jiadianfanganbutton,charecterjiadian/left/jiadianfanganbutton,1,,"<T t=""此处可切换加点方案"" c=""ffefd9b8""></T>",5,8,,0,0,1,11066,11068,1,1,0
33003,0,加点引导,0,,,,,,0,0,0,0,100,1,0,charecterjiadian/right/tuijianjiadian,charecterjiadian/right/tuijianjiadian,1,,"<T t=""点击推荐加点"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33004,33005,组队引导,0,,,19,,1,0,0,0,0,100,1,0,renwulist_mtg/title/team,renwulist_mtg/title/team,1,,"<T t=""点击组队按钮"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33005,33007,组队引导,0,,,,,,0,0,0,0,100,1,0,teamdialognew/createView/shenqingrudui,teamdialognew/createView/shenqingrudui,1,,"<T t=""点击便捷组队"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33007,0,组队引导,0,,,,5,,0,0,0,0,100,1,0,zidongpipei/bg/autobtn,zidongpipei/bg/autobtn,1,,"<T t=""点击自动匹配"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33008,33009,装备打造,0,,,21,,,0,0,0,0,100,1,0,MainControlDlg/back/pack,MainControlDlg/back/pack,1,,"<T t=""点击背包"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33009,33010,装备打造,0,,,,,,0,331104,0,0,100,1,0,0,0,1,,"<T t=""选择打造图纸"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33010,33011,装备打造,0,,,,,,0,0,0,0,100,1,0,commontipdlgitemtips_mtg/btnshiyong,commontipdlgitemtips_mtg/btnshiyong,1,,"<T t=""点击使用"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33011,33012,装备打造,0,,,,,,0,0,0,0,100,1,0,workshopdznew/right/all,workshopdznew/right/all,1,,"<T t=""点击强化打造"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33012,0,装备打造,0,,,,,,0,0,0,0,100,0,0,WorkshopLabelLable/button3,WorkshopLabelLable/button3,1,,"<T t=""了解装备修理"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33018,33019,宠物更换,0,,,23,,,0,0,0,0,100,1,0,UserPeticon/PetIcon,UserPeticon/PetIcon,1,,"<T t=""点击宠物"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33019,33020,宠物更换,0,,,,,,0,0,0,0,100,1,0,0,0,1,,"<T t=""选择当前参战的宠物"" c=""ffefd9b8""></T>",5,8,,0,0,1,11066,11068,1,1,0
33020,33021,宠物更换,0,,,,,,0,0,0,0,100,1,0,PetPropertyNew/fight,PetPropertyNew/fight,1,,"<T t=""点击休息"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33021,33022,宠物更换,0,,,,,,0,0,0,0,100,1,0,0,0,1,,"<T t=""选择新获取的宠物"" c=""ffefd9b8""></T>",5,8,,0,0,1,11066,11068,1,1,0
33022,0,宠物更换,0,,,,,,0,0,0,0,100,1,0,PetPropertyNew/fight,PetPropertyNew/fight,1,,"<T t=""点击参战"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33030,33031,成就领奖,0,,,,,,0,0,0,0,100,1,0,LogoInfo/backImage/btnzhiyin,LogoInfo/backImage/btnzhiyin,1,,"<T t=""点击成就"" c=""ffefd9b8""></T>",5,8,,0,0,1,11066,11068,1,1,0
33031,33032,成就领奖,0,,,,,,0,0,0,0,100,1,0,3zhiyinlichengcell1,3zhiyinlichengcell1,1,,"<T t=""选择20级到29级"" c=""ffefd9b8""></T>",5,8,,0,0,1,11066,11068,1,1,0
33032,0,成就领奖,0,,,,,,0,0,0,0,100,1,0,304zhiyinlichengcell2/anniu1,304zhiyinlichengcell2/anniu1,1,,"<T t=""点击领取奖励"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33110,33111,技能学习,0,,,4,,,0,0,0,0,100,0,1,MainControlDlg/back/skill,MainControlDlg/back/skill,1,,,2,6,,0,0,1,11066,11068,1,1,0
33111,0,技能学习,0,,,0,,,0,0,0,0,100,0,1,SkillStudyDlg/yesall,SkillStudyDlg/yesall,1,,,2,6,,0,0,1,11066,11068,1,1,0
33120,33121,帮派引导,0,,,5,,,0,0,0,0,100,0,1,MainControlDlg/back/faction,MainControlDlg/back/faction,1,,,2,6,,0,0,1,11066,11068,1,1,0
33121,33122,帮派引导,0,,,0,,,0,0,0,0,100,0,0,familyjiarudialog/anniu/yijianshenqing,familyjiarudialog/anniu/yijianshenqing,1,,"<T t=""点击发出帮派申请"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33122,0,帮派引导,0,,,0,,,0,0,0,0,100,0,0,familyjiarudialog/anniu/chuangjiangonghui,familyjiarudialog/anniu/chuangjiangonghui,1,,"<T t=""点击创建帮派"" c=""ffefd9b8"" ></T>",0,7,,0,0,1,11066,11068,1,1,0
33130,33131,提升引导,0,,,13,,,0,0,0,0,100,0,1,LogoInfo/backImage/btntishen,LogoInfo/backImage/btntishen,1,,,3,3,,0,0,1,11066,11068,1,1,0
33131,0,提升引导,0,,,0,,,0,0,0,0,100,0,1,3yangchengtixingcell,3yangchengtixingcell,1,,,5,8,,0,0,1,11066,11068,1,1,0
33140,33141,生活技能,0,,,24,,,0,0,0,0,100,1,0,MainControlDlg/back/skill,MainControlDlg/back/skill,1,,"<T t=""点击技能按钮"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33141,33142,生活技能,0,,,,,,0,0,0,0,100,0,0,skillLable/button1,skillLable/button1,1,,"<T t=""选择生活技能"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33142,0,生活技能,0,,,,,,0,0,0,0,100,0,0,lifeskill/left/list,lifeskill/left/list,1,,"<T t=""了解生活技能"" c=""ffFFFF00""></T>",5,8,,0,0,1,11066,11068,1,1,0
33150,33151,宠物加点调整,0,,,25,,,0,0,0,0,100,1,0,UserPeticon/PetIcon,UserPeticon/PetIcon,1,,"<T t=""点击宠物"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33151,33152,宠物加点调整,0,,,,,,0,0,0,0,100,1,0,PetPropertyNew/textbg1/btnshuxingfenpei,PetPropertyNew/textbg1/btnshuxingfenpei,1,,"<T t=""点击属性点分配"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33152,33153,宠物加点调整,0,,,,,,0,0,0,0,100,1,0,petjiadian_mtg/right/tuijianjiadian,petjiadian_mtg/right/tuijianjiadian,1,,"<T t=""点击加点方案"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33153,0,宠物加点调整,0,,,,,,0,0,0,0,100,0,0,petjiadianfangan/textbg2,petjiadianfangan/textbg2,1,,"<T t=""此处可调整宠物加点"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33160,33161,商会购买指引,0,,,26,,,0,0,0,0,100,1,0,MainControlDlg/back/production,MainControlDlg/back/production,1,,"<T t=""点击强化按钮"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33161,33162,商会购买指引,0,,,,,,0,0,0,0,100,1,0,WorkshopLabelLable/button,WorkshopLabelLable/button,1,,"<T t=""选择打造页面"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33162,33163,商会购买指引,0,,,,,,0,0,0,0,100,1,0,workshopdznew/right/bot/item2,workshopdznew/right/bot/item2,1,,"<T t=""选择精铁"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33163,33164,商会购买指引,0,,,,,,0,0,0,0,100,1,0,commontipdlgitemtips_mtg/btnshiyong1,commontipdlgitemtips_mtg/btnshiyong1,1,,"<T t=""点击获取途径"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33164,33166,商会购买指引,0,,,,,,0,0,0,0,100,1,0,0,0,1,,"<T t=""点击商会"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33165,33166,商会购买指引,0,,,,,,0,0,0,0,100,0,0,npcshopshanghui_mtg/textbg,npcshopshanghui_mtg/textbg,1,,"<T t=""选择30级泰坦精铁"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33166,33167,商会购买指引,0,,,,,,0,0,0,0,100,1,0,npcshopshanghui_mtg/btngoumai,npcshopshanghui_mtg/btngoumai,1,,"<T t=""点击购买"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
