技能ID,技能名称,是否预先统计目标数,是否主动,能否连击,能否被反击,是否禁止防御和保护,是否忽略隐身,是否默认自动技能,战斗内外使用,服务器分类,技能归类,选择目标类型,先发速度,消耗Hp,消耗Mp,消耗Sp,消耗Ep,串联子技能ID,子技能ID播放时间调控,下一技能id,对应书籍,升级所需经验,提供基础经验,技能等级,技能标示,能否被摘除,适用范围,能否法术认证,法术认证附加技能,脚本配置文件,技能名冒字资源,是否显示技能名冒字,是否被嘲讽影响,技能特殊延长时间,是否PVP不能使用,状态过滤是否能使用
206018,反击,,false,false,false,0,,,false,1,10,1,0,,,,,2060180,0,0,311018,0,0,1,18,,14,0,1,,,1,,,,
206019,敏捷,,false,false,false,0,,,false,1,10,1,0,,,,,2060190,0,0,311019,0,0,1,19,,14,0,1,,,1,,,,
206020,强壮,,false,false,false,0,,,false,1,10,1,0,,,,,2060200,0,0,311020,0,0,1,20,,14,0,1,,,1,,,,
206021,防御,,false,false,false,0,,,false,1,10,1,0,,,,,2060210,0,0,311021,0,0,1,21,,14,0,1,,,1,,,,
206022,法术防御,,false,false,false,0,,,false,1,10,1,0,,,,,2060220,0,0,311022,0,0,1,22,,14,0,1,,,1,,,,
206023,幸运,,false,false,false,0,,,false,1,10,1,0,,,,,2060230,0,0,311023,0,0,1,23,,14,0,1,,,1,,,,
206024,迟钝,,false,false,false,0,,,false,1,10,1,0,,,,,2060240,0,0,311024,0,0,1,24,,14,0,1,,,1,,,,
206025,火属性吸收,,false,false,false,0,,,false,1,10,1,0,,,,,2060250,0,0,311025,0,0,1,25,,14,0,1,,,1,,,,
206026,水属性吸收,,false,false,false,0,,,false,1,10,1,0,,,,,2060260,0,0,311026,0,0,1,26,,14,0,1,,,1,,,,
206027,土属性吸收,,false,false,false,0,,,false,1,10,1,0,,,,,2060270,0,0,311027,0,0,1,27,,14,0,1,,,1,,,,
206028,雷属性吸收,,false,false,false,0,,,false,1,10,1,0,,,,,2060280,0,0,311028,0,0,1,28,,14,0,1,,,1,,,,
206029,鬼魂术,,false,false,false,0,,,false,1,10,1,0,,,,,2060290,0,0,311029,0,0,1,29,,14,0,1,,,1,,,,
206030,驱鬼,,false,false,false,0,,,false,1,10,1,0,,,,,2060300,0,0,311030,0,0,1,30,,14,0,1,,,1,,,,
206031,隐身,,false,false,false,0,,,false,1,10,1,0,,,,,2060310,0,0,311031,0,0,1,31,,14,0,1,,,1,,,,
206032,感知,,false,false,false,0,,,false,1,10,1,0,,,,,2060320,0,0,311032,0,0,1,32,,14,0,1,,,1,,,,
206033,永恒,,false,false,false,0,,,false,1,10,1,0,,,,,2060330,0,0,311033,0,0,1,33,,14,0,1,,,1,,,,
206034,精神集中,,false,false,false,0,,,false,1,10,1,0,,,,,2060340,0,0,311034,0,0,1,34,,14,0,1,,,1,,,,
206035,毒,,false,false,false,0,,,false,1,10,1,0,,,,,2060350,0,0,311035,0,0,1,35,,14,0,1,,,1,,,,
206038,高级必杀,,false,false,false,0,,,false,1,10,1,0,,,,,2060380,0,0,311038,0,0,1,36,,14,0,0,,,1,,,,
206039,高级连击,,false,false,false,0,,,false,1,10,1,0,,,,,2060390,0,0,311039,0,0,1,37,,14,0,0,,,1,,,,
206040,高级强力,,false,false,false,0,,,false,1,10,1,0,,,,,2060400,0,0,311040,0,0,1,38,,14,0,0,,,1,,,,
206041,高级突进,,false,false,false,0,,,false,1,10,1,0,,,,,2060410,0,0,311041,0,0,1,39,,14,0,0,,,1,,,,
206042,高级偷袭,,false,false,false,0,,,false,1,10,1,0,,,,,2060420,0,0,311042,0,0,1,40,,14,0,0,,,1,,,,
206043,高级法术暴击,,false,false,false,0,,,false,1,10,1,0,,,,,2060430,0,0,311043,0,0,1,41,,14,0,0,,,1,,,,
206044,高级法术连击,,false,false,false,0,,,false,1,10,1,0,,,,,2060440,0,0,311044,0,0,1,42,,14,0,0,,,1,,,,
206045,高级法术波动,,false,false,false,0,,,false,1,10,1,0,,,,,2060450,0,0,311045,0,0,1,43,,14,0,0,,,1,,,,
206046,高级魔之心,,false,false,false,0,,,false,1,10,1,0,,,,,2060460,0,0,311046,0,0,1,44,,14,0,0,,,1,,,,
206047,高级会心,,false,false,false,0,,,false,1,10,1,0,,,,,2060470,0,0,311047,0,0,1,45,,14,0,0,,,1,,,,
206048,高级冥思,,false,false,false,0,,,false,1,10,1,0,,,,,2060480,0,0,311048,0,0,1,46,,14,0,0,,,1,,,,
206049,高级吸血,,false,false,false,0,,,false,1,10,1,0,,,,,2060490,0,0,311049,0,0,1,47,,14,0,0,,,1,,,,
206050,高级再生,,false,false,false,0,,,false,1,10,1,0,,,,,2060500,0,0,311050,0,0,1,48,,14,0,0,,,1,,,,
206051,高级神佑复生,,false,false,false,0,,,false,1,10,1,0,,,,,2060510,0,0,311051,0,0,1,49,,14,0,0,,,1,,,,
206052,高级招架,,false,false,false,0,,,false,1,10,1,0,,,,,2060520,0,0,311052,0,0,1,50,,14,0,0,,,1,,,,
206053,高级反震,,false,false,false,0,,,false,1,10,1,0,,,,,2060530,0,0,311053,0,0,1,51,,14,0,0,,,1,,,,
206054,高级神迹,,false,false,false,0,,,false,1,10,1,0,,,,,2060540,0,0,311054,0,0,1,52,,14,0,0,,,1,,,,
206055,高级反击,,false,false,false,0,,,false,1,10,1,0,,,,,2060550,0,0,311055,0,0,1,53,,14,0,0,,,1,,,,
206056,高级敏捷,,false,false,false,0,,,false,1,10,1,0,,,,,2060560,0,0,311056,0,0,1,54,,14,0,0,,,1,,,,
206057,高级强壮,,false,false,false,0,,,false,1,10,1,0,,,,,2060570,0,0,311057,0,0,1,55,,14,0,0,,,1,,,,
206058,高级防御,,false,false,false,0,,,false,1,10,1,0,,,,,2060580,0,0,311058,0,0,1,56,,14,0,0,,,1,,,,
206059,高级法术防御,,false,false,false,0,,,false,1,10,1,0,,,,,2060590,0,0,311059,0,0,1,57,,14,0,0,,,1,,,,
206060,高级幸运,,false,false,false,0,,,false,1,10,1,0,,,,,2060600,0,0,311060,0,0,1,58,,14,0,0,,,1,,,,
206061,高级迟钝,,false,false,false,0,,,false,1,10,1,0,,,,,2060610,0,0,311061,0,0,1,59,,14,0,0,,,1,,,,
206062,高级火属性吸收,,false,false,false,0,,,false,1,10,1,0,,,,,2060620,0,0,311062,0,0,1,60,,14,0,0,,,1,,,,
206063,高级水属性吸收,,false,false,false,0,,,false,1,10,1,0,,,,,2060630,0,0,311063,0,0,1,61,,14,0,0,,,1,,,,
206064,高级土属性吸收,,false,false,false,0,,,false,1,10,1,0,,,,,2060640,0,0,311064,0,0,1,62,,14,0,0,,,1,,,,
206065,高级雷属性吸收,,false,false,false,0,,,false,1,10,1,0,,,,,2060650,0,0,311065,0,0,1,63,,14,0,0,,,1,,,,
206066,高级鬼魂术,,false,false,false,0,,,false,1,10,1,0,,,,,2060660,0,0,311066,0,0,1,64,,14,0,0,,,1,,,,
206067,高级驱鬼,,false,false,false,0,,,false,1,10,1,0,,,,,2060670,0,0,311067,0,0,1,65,,14,0,0,,,1,,,,
206068,高级隐身,,false,false,false,0,,,false,1,10,1,0,,,,,2060680,0,0,311068,0,0,1,66,,14,0,0,,,1,,,,
206069,高级感知,,false,false,false,0,,,false,1,10,1,0,,,,,2060690,0,0,311069,0,0,1,67,,14,0,0,,,1,,,,
206070,高级永恒,,false,false,false,0,,,false,1,10,1,0,,,,,2060700,0,0,311070,0,0,1,68,,14,0,0,,,1,,,,
206071,高级精神集中,,false,false,false,0,,,false,1,10,1,0,,,,,2060710,0,0,311071,0,0,1,69,,14,0,0,,,1,,,,
206072,高级毒,,false,FALSE,false,0,,,false,1,10,1,0,,,,,2060720,0,0,311072,0,0,1,70,,14,0,0,,,1,,,,
207001,烈火,,true,true,true,0,,1,true,1,3,480,0,,40,,,2070010,0,0,311073,0,0,1,71,,14,1,0,,,1,1,,,
207002,水攻,,true,true,true,0,,1,true,1,3,480,0,,40,,,2070020,0,0,311074,0,0,1,72,,14,1,0,,,1,1,,,
207003,落岩,,true,true,true,0,,1,true,1,3,480,0,,40,,,2070030,0,0,311075,0,0,1,73,,14,1,0,,,1,1,,,
207004,雷击,,true,true,true,0,,1,true,1,3,480,0,,40,,,2070040,0,0,311076,0,0,1,74,,14,1,0,,,1,1,,,
207005,地狱烈火,true,true,true,true,0,,1,true,1,4,480,0,,50,,,"2070050,2070051,2070052","0,0,0",0,311077,0,0,1,75,,14,1,0,,,1,1,,,
207006,水漫金山,true,true,true,true,0,,1,true,1,4,480,0,,50,,,"2070060,2070061,2070062","0,0,0",0,311078,0,0,1,76,,14,1,0,,,1,1,,,
207007,泰山压顶,true,true,true,true,0,,1,true,1,4,480,0,,50,,,"2070070,2070071,2070072","0,0,0",0,311079,0,0,1,77,,14,1,0,,,1,1,,,
207008,奔雷咒,true,true,true,true,0,,1,true,1,4,480,0,,50,,,"2070080,2070081,2070082","0,0,0",0,311080,0,0,1,78,,14,1,0,,,1,1,,,
207009,壁垒击破,,true,FALSE,true,3,,1,true,1,1,480,0,,50,,,2070090,0,0,311090,0,0,1,79,,14,0,0,,,1,1,,,
207010,剑荡四方,,true,FALSE,true,0,,1,true,1,2,480,0,,60,,,"2070100,2070101,2070102","0,-1,-1",0,311091,0,0,1,80,,14,0,0,,,1,1,,,
207011,惊心一剑,,true,FALSE,true,0,,1,true,1,1,480,0,,50,,,2070110,0,0,311092,0,0,1,81,,14,0,0,,,1,1,,,
207012,力劈华山,,true,FALSE,true,0,,1,true,1,1,480,0,,50,,,2070120,0,0,311093,0,0,1,82,,14,0,0,,,1,1,,,
207013,死亡召唤,,true,FALSE,true,0,,1,true,1,1,480,0,,50,,,2070130,0,0,311094,0,0,1,83,,14,0,0,,,1,1,,,
207014,善恶有报,,true,FALSE,true,0,,1,true,1,1,480,0,,60,,,2070140,0,0,311095,0,0,1,84,,14,0,0,,,1,1,,,
207015,上古灵符,,true,true,true,0,,1,true,1,3,480,0,,50,,,"2070150,2070151,2070152","0,0,0",0,311096,0,0,1,85,,14,1,0,,,1,1,,,
207016,法术防御,,true,FALSE,true,0,,,true,1,7,1,0,,50,,,2070160,0,0,311097,0,0,1,86,,14,0,0,,,1,,,,
207017,隐身,,true,false,true,0,,,true,1,7,1,0,,0,,,2070170,0,0,,0,0,1,87,,14,0,0,,,1,,,,
207018,高级隐身,,true,false,true,0,,,true,1,7,1,0,,0,,,2070180,0,0,,0,0,1,88,,14,0,0,,,1,,,,
207019,惩戒,,false,FALSE,false,0,,,false,1,10,1,0,,,,,2070190,0,0,311098,0,0,1,89,,14,0,0,,,1,,,,
910001,宠物攻法,,false,false,false,0,,,false,1,10,1,0,,,,,9100010,0,0,,0,0,1,95,,14,0,0,,,1,,,,
910002,宠物物抗,,false,false,false,0,,,false,1,10,1,0,,,,,9100020,0,0,,0,0,1,96,,14,0,0,,,1,,,,
910003,宠物法抗,,false,false,false,0,,,false,1,10,1,0,,,,,9100030,0,0,,0,0,1,97,,14,0,0,,,1,,,,
910004,宠物守护,,false,false,false,0,,,false,1,10,1,0,,,,,9100040,0,0,,0,0,1,98,,14,0,0,,,1,,,,
207200,三羊开泰,true,true,true,true,0,,1,true,1,4,480,0,,60,,,"2072000,2072003,2072001,2072002","0,-1,0,0",0,311123,0,0,1,200,,14,1,0,,,1,,,,
207201,洞察,,false,false,false,0,,,false,1,10,1,0,,,,,2070210,0,0,311124,0,0,1,201,,14,1,0,,,1,,,,
207202,鹿影生花,true,true,FALSE,true,0,,1,true,1,4,480,0,,60,,,"2072020,2072021,2072022,2072023,2072024","0,-1,-1,-1,-1",0,311125,0,0,1,202,,14,1,0,,,1,,,,
207203,破竹,,true,false,false,0,,1,true,1,1,480,0,,,,,"2072030,2072031,2072032,2072033","0,-1,-1,-1",0,311126,0,0,1,203,,14,1,0,,,1,,,,
207204,风舞,,true,false,false,0,,1,true,1,2,480,0,,,,,"2072040,2072041,2072042","0,-1,-1",0,311127,0,0,1,204,,14,1,0,,,1,,,,
207205,捞月,,true,false,false,0,,1,true,1,1,480,0,,,,,"2072050,2072051","0,-1",0,311128,0,0,1,205,,14,1,0,,,1,,,,
207206,八凶法阵,true,true,true,true,0,,1,true,1,4,480,0,,60,,,"2072060,2072061,2072062","0,0,0",0,311129,0,0,1,206,,14,1,0,,,1,,,,
207207,龙威九霄,true,true,true,true,0,,1,true,1,4,480,0,,60,,,"2072070,2072071,2072072,2072075,2072073,2072074","0,0,0,-1,0,0",0,311130,0,0,1,207,,14,1,0,,,1,,,,
207208,焚焰,true,true,true,true,0,,1,true,1,4,480,0,,60,,,"2072076,2072077,2072078,2072079","0,0,0,0",0,311081,0,0,1,208,,14,1,0,,,1,,,,
207209,聚电,,false,false,false,0,,,false,1,10,1,0,,,,,2060726,0,0,311082,0,0,1,209,,14,0,0,,,1,,,,
207210,筑浪,,true,false,true,0,,,true,1,7,4127,0,,50,,,2060727,0,0,311083,0,0,1,86,,14,0,0,,,1,,,,
207211,垒岩,,false,false,false,0,,,false,1,10,1,0,,,,,2060728,0,0,311084,0,0,1,211,,14,0,0,,,1,,,,
207212,嘲讽,true,true,true,true,0,,1,true,1,8,480,0,,80,,,2060729,0,0,311085,0,0,1,243,,14,0,0,,,1,1,,,
207213,咕噜咕噜,,false,false,false,0,,,false,1,10,1,0,,,,,2060420,0,0,311086,0,0,1,179,,14,0,0,,,1,,,,
207214,咕噜咕噜套装,,false,false,false,0,,,false,1,10,1,0,,,,,2060722,0,0,311087,0,0,1,214,,14,0,0,,,1,,,,
207215,吉里吉里,,false,false,false,0,,,false,1,10,1,0,,,,,2060460,0,0,311088,0,0,1,182,,14,0,0,,,1,,,,
207216,吉里吉里套装,,false,false,false,0,,,false,1,10,1,0,,,,,2060724,0,0,311089,0,0,1,216,,14,0,0,,,1,,,,
207217,冰火无常,true,true,true,true,0,,1,true,1,4,480,0,,100,,,2060817,0,0,311099,0,0,1,226,,14,1,0,,,1,1,,,
207218,天使降临,,false,false,false,0,,,false,1,10,1,0,,,,,2060734,0,0,311100,0,0,1,49,,14,0,0,,,1,,,,
207219,霸天护体,,false,false,false,0,,,false,1,10,1,0,,,,,2060735,0,0,311101,0,0,1,49,,14,0,0,,,1,,,,
207220,镜花水月,,false,false,false,0,,,false,1,10,1,0,,,,,2060736,0,0,311102,0,0,1,49,,14,0,0,,,1,,,,
207221,超级善恶,,true,FALSE,true,0,,1,true,1,1,480,0,,60,,,2060737,0,0,311103,0,0,1,84,,14,1,0,,,1,1,,,
207222,超级壁垒,,true,FALSE,true,3,,1,true,1,1,480,0,,50,,,2060738,0,0,311104,0,0,1,79,,14,1,0,,,1,1,,,
207223,双生意志,,false,false,false,0,,,false,1,10,1,0,,,,,2060739,0,0,311105,0,0,1,41,,14,0,0,,,1,,,,
207224,熊猫战意,,false,false,false,0,,,false,1,10,1,0,,,,,2060800,0,0,311106,0,0,1,36,,14,0,0,,,1,,,,
207225,狐狐生威,,false,false,false,0,,,false,1,10,1,0,,,,,2060801,0,0,311107,0,0,1,36,,14,0,0,,,1,,,,
207226,死亡之瞳,,false,false,false,0,,,false,1,10,1,0,,,,,2060802,0,0,311108,0,0,1,44,,14,0,0,,,1,,,,
207227,狂暴熊猫,,false,false,false,0,,,false,1,10,1,0,,,,,2060803,0,0,311109,0,0,1,38,,14,0,0,,,1,,,,
207228,狐之风灵,,false,false,false,0,,,false,1,10,1,0,,,,,2060804,0,0,311110,0,0,1,54,,14,0,0,,,1,,,,
207229,虎啸生风,,false,false,false,0,,,false,1,10,1,0,,,,,2060805,0,0,311111,0,0,1,36,,14,0,0,,,1,,,,
207230,虎啸山林,,false,false,false,0,,,false,1,10,1,0,,,,,2060806,0,0,311112,0,0,1,213,,14,0,0,,,1,,,,
207231,虎背熊腰,,false,false,false,0,,,false,1,10,1,0,,,,,2060807,0,0,311113,0,0,1,49,,14,0,0,,,1,,,,
207232,龙腾虎跃,,false,false,false,0,,,false,1,10,1,0,,,,,2060808,0,0,311114,0,0,1,101,,14,0,0,,,1,,,,
207233,汤圆怒吼,,false,false,false,0,,,false,1,10,1,0,,,,,2060809,0,0,311115,0,0,1,41,,14,0,0,,,1,,,,
207234,火上浇油,,false,false,false,0,,,false,1,10,1,0,,,,,2060810,0,0,311116,0,0,1,42,,14,0,0,,,1,,,,
207235,拳拳到肉,,false,false,false,0,,,false,1,10,1,0,,,,,2060811,0,0,311117,0,0,1,44,,14,0,0,,,1,,,,
207236,枯木逢春,,false,false,false,0,,,false,1,10,1,0,,,,,2060812,0,0,311118,0,0,1,49,,14,0,0,,,1,,,,
207237,乘胜追击,,false,false,false,0,,,false,1,10,1,0,,,,,2060813,0,0,311119,0,0,1,209,,14,0,0,,,1,,,,
207238,给你俩叉,,false,false,false,0,,,false,1,10,1,0,,,,,2060814,0,0,311120,0,0,1,37,,14,0,0,,,1,,,,
207239,当头一叉,,false,false,false,0,,,false,1,10,1,0,,,,,2060815,0,0,311121,0,0,1,36,,14,0,0,,,1,,,,
207240,恶魔重生,,false,false,false,0,,,false,1,10,1,0,,,,,2060816,0,0,311122,0,0,1,49,,14,0,0,,,1,,,,
207241,当头一棒,true,true,true,true,0,,1,true,1,4,480,0,,100,,,2060818,0,0,311131,0,0,1,227,,14,1,0,,,1,1,,,
207242,真假大圣,,false,false,false,0,,,false,1,10,1,0,,,,,2060819,0,0,311132,0,0,1,49,,14,0,0,,,1,,,,
207243,魔由心生,,false,false,false,0,,,false,1,10,1,0,,,,,2060820,0,0,311133,0,0,1,41,,14,0,0,,,1,,,,
207244,战神姿态,,false,false,false,0,,,false,1,10,1,0,,,,,2060821,0,0,311134,0,0,1,44,,14,0,0,,,1,,,,
207245,观照万象（法）,true,true,false,true,0,,1,true,1,4,480,0,,10+gradea,,,"5500108,5500109,5500110,5500111","0,-1,-1,-1",0,311135,0,0,1,219,,14,0,0,,,1,1,,,
207246,佛行震地,,false,false,false,0,,,false,1,10,1,0,,,,,2060819,0,0,311136,0,0,1,49,,14,0,0,,,1,,,,
207247,坐地听八百,,FALSE,false,false,0,,,false,1,10,1,0,,,,,2060820,0,0,311137,0,0,1,41,,14,0,0,,,1,,,,
207248,卧地听三千,,FALSE,FALSE,false,0,,,false,1,10,1,0,,,,,2060821,0,0,311138,0,0,1,44,,14,0,0,,,1,,,,
207249,蚩尤分身,,true,false,false,0,,1,true,1,2,480,0,,100,,,"8200050,8200051,8200063","0,1400,-1",0,311135,0,0,1,101,,14,0,0,,,1,1,,,
207250,茁壮成长,,FALSE,false,false,0,,,false,1,10,1,0,,,,,2170074,0,0,311136,0,0,1,221,,14,1,0,,,1,,,,
207251,净台妙谛,,false,false,false,0,,,false,1,10,1,0,,,,,2170075,0,0,311137,0,0,1,222,,14,1,0,,,1,,,,
207252,诸天正法（物）,,FALSE,false,false,0,,,false,1,10,1,0,,,,,2170076,0,0,311138,0,0,1,223,,14,1,0,,,1,,,,
207253,五行八卦掌,,true,FALSE,true,0,,1,true,1,1,480,0,,60,,,2170077,0,0,311139,0,0,1,224,,14,0,0,,,1,1,,,
207254,诸天正法（法）,,FALSE,false,false,0,,,false,1,10,1,0,,,,,2170090,0,0,311140,0,0,1,225,,14,1,0,,,1,,,,
207255,虎虎生威,,false,false,false,0,,,false,1,10,1,0,,,,,2060822,0,0,311141,0,0,1,209,,14,0,0,,,1,,,,
208131,特性•瞬击,,false,false,false,0,,,false,1,1,480,0,,,,,3080050,0,0,311142,0,0,1,316,,14,0,0,,,1,,,,
208132,特性•瞬法,,false,false,false,0,,,false,1,1,1,0,,,,,3090050,0,0,311143,0,0,1,317,,14,0,0,,,0,,,,
208133,高级遗志,,false,false,false,0,,,false,1,1,1,0,,,,,3100050,0,0,311144,0,0,1,318,,14,0,0,,,1,,,,
207259,蛮力,,false,false,false,0,,,false,1,10,1,0,,,,,2060823,0,0,311145,0,0,1,102,,14,0,0,,,1,,,,
207260,隐遁,,false,false,false,0,,,false,1,10,1,0,,,,,2060824,0,0,311146,0,0,1,103,,14,0,0,,,1,,,,
207261,水无常形,true,true,true,true,0,,1,true,1,3,480,0,,80,,,2060825,0,0,311147,0,0,1,104,,14,1,0,,,1,1,,,
207262,高级协力,,false,false,false,0,,,false,1,10,1,0,,,,,2060826,0,0,311148,0,0,1,105,,14,0,0,,,1,,,,
211000,无赦魔决,,FALSE,FALSE,FALSE,0,,,FALSE,1,10,1,0,,,,,3000099,0,0,311149,0,0,1,600,,14,0,0,,,1,,,,
211001,窃魂夺魄,,TRUE,FALSE,FALSE,0,,1,TRUE,1,4,480,0,,220,,,"3000111,3000112","0,0",0,311150,0,0,1,601,,14,0,0,,,1,1,,,
211002,审判神佑,,FALSE,FALSE,FALSE,0,,,FALSE,1,10,1,0,,,,,2062012,0,0,311151,0,0,1,602,,14,0,0,,,1,,,,
211003,超级物理爆伤,,FALSE,FALSE,FALSE,0,,,FALSE,1,10,1,0,,,,,2062000,0,0,311152,0,0,1,603,,14,0,0,,,1,,,,
211004,超级法术爆伤,,FALSE,FALSE,FALSE,0,,,FALSE,1,10,1,0,,,,,2062002,0,0,311153,0,0,1,604,,14,0,0,,,1,,,,
211005,出奇制胜,,FALSE,FALSE,FALSE,0,,,TRUE,1,13,4127,0,,,,,3000078,0,0,311154,0,0,1,605,,14,0,0,,,1,,,,
211006,须弥真言,,FALSE,FALSE,FALSE,0,,,TRUE,1,10,1,0,,0,,,2070319,0,0,311155,0,0,90,606,,14,0,0,,,1,,,,
211007,物理须弥,,FALSE,FALSE,FALSE,0,,,FALSE,1,10,1,0,,,,,2070330,0,0,311156,0,0,1,607,,14,0,0,,,1,,,,
211008,浮云神马,,FALSE,FALSE,FALSE,0,,,TRUE,1,13,4127,0,,0,,,7920060,0,,311157,0,0,90,608,,14,0,0,,,1,,,,
211009,赐福众生,,FALSE,FALSE,FALSE,0,,,TRUE,1,13,4127,0,,,,,8200066,0,0,311158,0,,1,609,,14,0,0,,,1,,,,
211010,怒焰爆发,,FALSE,FALSE,FALSE,0,,,TRUE,1,13,4127,0,,,,,8200067,0,0,311159,0,0,1,610,,14,0,0,,,1,,,,
211011,战无止境,,FALSE,FALSE,FALSE,0,,,TRUE,1,13,4127,0,,,,,8200068,0,0,311160,0,0,1,611,,14,0,0,,,1,,,,
211012,蚩尤之力,,FALSE,FALSE,FALSE,0,,,TRUE,1,13,4127,0,,,,,8200069,0,0,311161,0,0,1,612,,14,0,0,,,1,,,,
211013,筋斗云术,,FALSE,FALSE,FALSE,0,,,TRUE,1,13,4127,0,,,,,8200070,0,0,311162,0,0,1,613,,14,0,0,,,1,,,,
211014,佛法无边,,FALSE,FALSE,FALSE,0,,,TRUE,1,13,4127,0,,,,,8200071,0,0,311163,0,0,1,614,,14,0,0,,,1,,,,
211015,怒海狂涛,,FALSE,FALSE,FALSE,0,,,TRUE,1,13,4127,0,,,,,8200072,0,0,311164,0,0,1,615,,14,0,0,,,1,,,,
211016,死亡之息,,FALSE,FALSE,FALSE,0,,,TRUE,1,13,4127,0,,,,,8200073,0,0,311165,0,0,1,616,,14,0,0,,,1,,,,
211017,镜中月,,FALSE,FALSE,FALSE,0,,,TRUE,1,13,4127,0,,,,,8200074,0,0,311166,0,0,1,617,,14,0,0,,,1,,,,
211018,力量强化1,,FALSE,FALSE,FALSE,0,,,TRUE,1,10,1,0,,,,,3000079,0,0,311167,0,0,1,618,,14,0,0,,,1,,,,
211019,力量强化2,,FALSE,FALSE,FALSE,0,,,TRUE,1,10,1,0,,,,,3000080,0,0,311168,0,0,1,619,,14,0,0,,,1,,,,
211020,力量强化3,,FALSE,FALSE,FALSE,0,,,TRUE,1,10,1,0,,,,,3000081,0,0,311169,0,0,1,620,,14,0,0,,,1,,,,
211021,力量强化4,,FALSE,FALSE,FALSE,0,,,TRUE,1,10,1,0,,,,,3000082,0,0,311170,0,0,1,621,,14,0,0,,,1,,,,
211022,防御强化1,,FALSE,FALSE,FALSE,0,,,TRUE,1,10,1,0,,,,,3000083,0,0,311171,0,0,1,622,,14,0,0,,,1,,,,
211023,防御强化2,,FALSE,FALSE,FALSE,0,,,TRUE,1,10,1,0,,,,,3000084,0,0,311172,0,0,1,623,,14,0,0,,,1,,,,
211024,防御强化3,,FALSE,FALSE,FALSE,0,,,TRUE,1,10,1,0,,,,,3000085,0,0,311173,0,0,1,624,,14,0,0,,,1,,,,
211025,防御强化4,,FALSE,FALSE,FALSE,0,,,TRUE,1,10,1,0,,,,,3000086,0,0,311174,0,0,1,625,,14,0,0,,,1,,,,
211026,智力强化1,,FALSE,FALSE,FALSE,0,,,TRUE,1,10,1,0,,,,,3000087,0,0,311175,0,0,1,626,,14,0,0,,,1,,,,
211027,智力强化2,,FALSE,FALSE,FALSE,0,,,TRUE,1,10,1,0,,,,,3000088,0,0,311176,0,0,1,627,,14,0,0,,,1,,,,
211028,智力强化3,,FALSE,FALSE,FALSE,0,,,TRUE,1,10,1,0,,,,,3000089,0,0,311177,0,0,1,628,,14,0,0,,,1,,,,
