id,市,对应省id
183,湘潭市,18
184,衡阳市,18
185,邵阳市,18
186,岳阳市,18
187,常德市,18
188,张家界市,18
189,益阳市,18
190,郴州市,18
191,永州市,18
192,怀化市,18
193,娄底市,18
194,广州市,19
195,韶关市,19
196,深圳市,19
197,珠海市,19
198,汕头市,19
199,佛山市,19
200,江门市,19
201,湛江市,19
202,茂名市,19
203,肇庆市,19
204,惠州市,19
205,梅州市,19
206,汕尾市,19
207,河源市,19
208,阳江市,19
209,清远市,19
210,东莞市,19
211,中山市,19
212,潮州市,19
213,揭阳市,19
214,云浮市,19
215,南宁市,20
216,柳州市,20
217,桂林市,20
218,梧州市,20
219,北海市,20
220,防城港市,20
221,钦州市,20
222,贵港市,20
223,玉林市,20
224,百色市,20
225,贺州市,20
226,河池市,20
227,来宾市,20
228,崇左市,20
229,海口市,21
230,三亚市,21
231,重庆市,22
232,成都市,23
233,自贡市,23
234,攀枝花市,23
235,泸州市,23
236,德阳市,23
237,绵阳市,23
238,广元市,23
239,遂宁市,23
240,内江市,23
241,乐山市,23
242,南充市,23
243,眉山市,23
244,宜宾市,23
245,广安市,23
246,达州市,23
247,雅安市,23
248,巴中市,23
249,资阳市,23
250,贵阳市,24
251,六盘水市,24
252,遵义市,24
253,安顺市,24
254,铜仁地区,24
255,毕节地区,24
256,昆明市,25
257,曲靖市,25
258,玉溪市,25
259,保山市,25
260,昭通市,25
261,丽江市,25
262,普洱市,25
263,临沧市,25
264,拉萨市,26
265,昌都地区,26
266,山南地区,26
267,日喀则地区,26
268,那曲地区,26
269,阿里地区,26
270,林芝地区,26
271,西安市,27
272,铜川市,27
273,宝鸡市,27
274,咸阳市,27
275,渭南市,27
276,延安市,27
277,汉中市,27
278,榆林市,27
279,安康市,27
280,商洛市,27
281,兰州市,28
282,嘉峪关市,28
283,金昌市,28
284,白银市,28
285,天水市,28
286,武威市,28
287,张掖市,28
288,平凉市,28
289,酒泉市,28
290,庆阳市,28
291,定西市,28
292,陇南市,28
293,西宁市,29
294,海东地区,29
295,银川市,30
296,石嘴山市,30
297,吴忠市,30
298,固原市,30
299,中卫市,30
300,乌鲁木齐市,31
301,克拉玛依市,31
302,吐鲁番地区,31
303,哈密地区,31
304,阿克苏地区,31
305,喀什地区,31
306,和田地区,31
307,塔城地区,31
308,阿勒泰地区,31
