id,备注,表里颜色,频道1,频道2,频道3,频道4,频道5,频道6,频道7,频道8,频道9,频道10,频道11,频道12,频道13,频道14,频道15,频道16,频道17,频道18,频道19,频道20,频道21,频道22,频道23,频道24,频道25,频道26,频道27,频道28,频道29,频道30,频道31,频道32,频道33
11,绿色3,FF06cc11,0,0,0,0,0,0,"FF00ff11,FF00ff01",0,"FF00ff11,FF00ff01",0,0,0,"FF00ff11,FF00ff01","FF00ff11,FF00ff01","FF00ff11,FF00ff01",0,0,0,"FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00cc11,FF00ff11",0
12,绿色3大写,FF06CC11,0,0,0,0,0,0,"FF00ff11,FF00ff01",0,"FF00ff11,FF00ff01",0,0,0,"FF00ff11,FF00ff01","FF00ff11,FF00ff01","FF00ff11,FF00ff01",0,0,0,"FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00cc11,FF00ff11",0
13,黄色,ffffff00,0,0,0,0,0,0,0,0,0,0,0,0,"FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00",0,0,0,"FFfc5f00,FFFFFF00","FFfc5f00,FFFFFF00","FFfc5f00,FFFFFF00","FFfc5f00,FFFFFF00","FFfc5f00,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFfc5f00,FFFFFF00",FFFFFF00
14,黄色大写,FFFFFF00,0,0,0,0,0,0,0,0,0,0,0,0,"FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00",0,0,0,"FFfc5f00,FFFFFF00","FFfc5f00,FFFFFF00","FFfc5f00,FFFFFF00","FFfc5f00,FFFFFF00","FFfc5f00,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFf9fc02,FFFFFF00","FFfc5f00,FFFFFF00",FFFFFF00
15,奶白,fffff2df,0,0,0,0,0,0,0,0,0,0,0,0,"ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f",0,0,0,"ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f",0
16,奶白大写,FFFFF2DF,0,0,0,0,0,0,0,0,0,0,0,0,"ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f",0,0,0,"ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f","ff743a0f,ff743a0f",0
17,蓝色,ffbafff6,FF00c6ff,0,0,FF00c6ff,0,0,"FF1d67fd,FF00c6f1",0,"FF1d67fd,FF00c6f1",0,0,0,"FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1",0,0,0,"FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF0f8afc,FF00c6f1",0
18,蓝色大写,FFBAFFF6,FF00c6ff,0,0,FF00c6ff,0,0,"FF1d67fd,FF00c6f1",0,"FF1d67fd,FF00c6f1",0,0,0,"FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1",0,0,0,"FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF0f8afc,FF00c6f1",0
19,蓝色2,ff00c6ff,0,0,0,0,0,0,"FF1d67fd,FF00c6f1",0,"FF1d67fd,FF00c6f1",0,0,0,"FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1",0,0,0,"FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF0f8afc,FF00c6f1",0
20,蓝色2大写,FF00c6ff,0,0,0,0,0,0,"FF1d67fd,FF00c6f1",0,"FF1d67fd,FF00c6f1",0,0,0,"FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1",0,0,0,"FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF0f8afc,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF0f8afc,FF00c6f1",0
21,蓝色品质,ff00b1ff,0,0,0,0,0,0,"FF1d67fd,FF00c6f1",0,"FF1d67fd,FF00c6f1",0,0,0,"FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1",0,0,0,"0,FF00c6f1","0,FF00c6f1","0,FF00c6f1","0,FF00c6f1","0,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1",0,0
22,蓝色品质大写,FF00b1ff,0,0,0,0,0,0,"FF1d67fd,FF00c6f1",0,"FF1d67fd,FF00c6f1",0,0,0,"FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1",0,0,0,"0,FF00c6f1","0,FF00c6f1","0,FF00c6f1","0,FF00c6f1","0,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1","FF1d67fd,FF00c6f1",0,0
23,紫色品质,ffff46f0,0,0,0,0,0,0,"FFab00fb,FFff46f1",0,"FFab00fb,FFff46f1",0,0,0,"FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1",0,0,0,"0,FFff46f1","0,FFff46f1","0,FFff46f1","0,FFff46f1","0,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1",0,0
24,紫色品质大写,FFff46f0,0,0,0,0,0,0,"FFab00fb,FFff46f1",0,"FFab00fb,FFff46f1",0,0,0,"FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1",0,0,0,"0,FFff46f1","0,FFff46f1","0,FFff46f1","0,FFff46f1","0,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1","FFab00fb,FFff46f1",0,0
25,橙色品质,ffff5900,0,0,0,0,0,0,"FFfe9c01,ffff5901",0,"FFfe9c01,ffff5901",0,0,0,"FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901",0,0,0,"0,ffff5901","0,ffff5901","0,ffff5901","0,ffff5901","0,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901",0,0
26,橙色品质大写,FFff5900,0,0,0,0,0,0,"FFfe9c01,ffff5901",0,"FFfe9c01,ffff5901",0,0,0,"FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901",0,0,0,"0,ffff5901","0,ffff5901","0,ffff5901","0,ffff5901","0,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901","FFfe9c01,ffff5901",0,0
27,亮橘色,ff743a0f,fffff2df,0,0,fffff2df,0,0,0,0,0,0,0,0,"ff743a0f,fffff2d1","ff743a0f,fffff2d1","ff743a0f,fffff2d1",0,0,0,"ff743a0f,fffff2d1","FF261407,fffff2d1","FF261407,FF00c6ff","FF261407,ffffff01","FF261407,ff00ff01","ff743a0f,fffff2d1","FF261407,fffff2d1","0,fffff2d1","ff743a0f,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1",fffff2df
28,绿色,ff09bf0d,0,0,0,0,0,0,"FF00ff11,FF00ff01",0,"FF00ff11,FF00ff01",0,0,0,"FF00ff11,FF00ff01","FF00ff11,FF00ff01","FF00ff11,FF00ff01",0,0,0,"FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00cc11,FF00ff11",0
29,装备颜色,ff6ddcf6,0,0,0,0,0,0,"FF00FF00,FF00FF00",0,"FF00ff11,FF00ff01",0,0,0,"FF00ff11,FF00ff01","FF00FF00,FF00FF00","FF00FF00,FF00FF00",0,0,0,"FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00FF00,FF00FF00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00cc11,FF00ff11",0
30,绿色描述,FF0caf08,FF00FF00,0,0,"FF00FF00,FF00FF00",0,0,"FF0caf08,FF0caf08",0,"FF0caf08,FF0caf08",0,0,0,"FF0caf08,FF0caf08","FF0caf08,FF0caf08","FF0caf08,FF0caf08",0,0,FF00FF00,"FF0caf08,FF0caf08","FF0caf08,FF0caf08","FF0caf08,FF0caf08","FF0caf08,FF0caf08","FF0caf08,FF0caf08","FF00FF00,FF00FF00","FF0caf08,FF0caf08","FF0caf08,FF0caf08","FF00FF00,FF00FF00","FF0caf08,FF0caf08","FF0caf08,FF0caf08","FF0caf08,FF0caf08","FF0caf08,FF0caf08","FF00cc11,FF0caf08",0
