ID,策划用列,战斗AI类型,底图,背景音乐,,战斗录像类型,战斗等级,战场环境,战场AI,奖励ID,战斗胜利判定,战斗失败不掉耐久,助战,怪物数量,站位配置ID,点1,点2,点3,点4,点5,点6,点7,点8,点9,点10,点11,点12,点13,点14,点15,点16,点17,点18,点19,点20,点21,点22,点23,点24,点25,点26,点27,点28,站位随机,死亡提醒显示
8523,30-刺客,3,0,14,,1,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29706@100,29706@100,29706@100,29705@100,29705@100,0,0,0,0,0,0,0,0,0,,1
8524,30-卫兵,3,0,5,,1,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29711@100,29710@100,29710@100,29710@100,29710@100,0,0,0,0,0,0,0,0,0,,1
8525,30-黑龙,3,0,12,,1,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,29720@100,29721@100,0,29722@100,29723@100,29723@100,29723@100,29723@100,0,0,0,0,0,0,0,0,0,,1
8526,,3,0,13,,1,,0,20031,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29730@100,29731@100,29731@100,29731@100,29731@100,0,0,0,0,0,0,0,0,0,,1
8527,,3,0,14,,1,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29740@100,29741@100,29742@100,0,0,0,0,0,0,0,0,0,0,0,,1
8528,,3,0,13,,1,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29750@100,29750@100,29750@100,29750@100,29750@100,0,0,0,0,0,0,0,0,0,,1
8529,,3,0,14,,1,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29760@100,29760@100,29760@100,29760@100,29760@100,0,0,0,0,0,0,0,0,0,,1
8530,,3,0,13,,1,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,29771@100,29772@100,0,29770@100,29774@100,29774@100,29774@100,29774@100,0,0,0,0,0,0,0,0,0,,1
8531,,3,0,14,,1,,0,,0,1,,4,7,7,0,0,0,0,0,0,0,0,0,0,0,29780@100,0,0,29782@100,29782@100,29782@100,29781@100,29781@100,0,0,0,0,0,0,29783@100,29783@100,0,,1
8532,,3,0,13,,1,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29790@100,29791@100,29791@100,29791@100,29791@100,0,0,0,0,0,0,0,0,0,,1
8533,,3,0,14,,1,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,29800@100,0,0,29801@100,29801@100,29801@100,29801@100,29801@100,0,0,0,0,0,0,0,0,0,,1
8540,40-天灾斥候,3,0,13,,1,,0,16130,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29932@100,29930@100,29931@100,0,0,0,0,0,0,0,0,0,0,0,,1
8541,40-地中海,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,29825@100,0,0,29820@100,29821@100,29822@100,29823@100,29824@100,0,0,0,0,0,0,0,0,0,,1
8542,40-诅咒教派精英,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29831@100,29830@100,29830@100,29830@100,29830@100,29832@100,29832@100,29832@100,29832@100,29832@100,0,0,0,0,,1
8543,40-伊森利恩,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,29848@100,0,29840@100,29841@100,29842@100,29845@100,29846@100,29845@100,29846@100,29847@100,0,0,0,0,0,0,,1
8544,40-血色士兵,3,0,9,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29851@100,29851@100,29851@100,29851@100,29851@100,29850@100,0,0,0,0,0,0,0,0,,1
8545,40-狗男女,3,0,12,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29862@100,29862@100,29862@100,29862@100,29862@100,29860@100,0,29861@100,0,0,0,0,0,0,,1
8546,40-恐惧魔王,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29870@100,29871@100,29872@100,29874@100,29875@100,29874@100,29875@100,29873@100,0,0,0,0,0,0,,1
8547,40-天灾爪牙,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29880@100,29881@100,29881@100,29881@100,29881@100,29881@100,29881@100,29881@100,0,0,0,0,0,0,,1
8548,40-大莫格莱尼,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,29896@100,0,29895@100,29895@100,29895@100,29895@100,29895@100,29890@100,29893@100,29894@100,0,0,0,0,0,0,,1
8549,40-天灾爪牙,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29900@100,29901@100,29901@100,29902@100,29902@100,29902@100,29902@100,29902@100,0,0,0,0,0,0,,1
8550,40-天灾爪牙,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29912@100,29912@100,29912@100,29912@100,29912@100,29910@100,29911@100,29911@100,0,0,0,0,0,0,,1
8551,40-天灾精英,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,29924@100,0,29920@100,29921@100,29921@100,29922@100,29922@100,29923@100,29923@100,29923@100,0,0,0,0,0,0,,1
8552,50-暗血督军,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,29457@100,0,29456@100,29454@100,29454@100,29455@100,29455@100,29450@100,29451@100,29451@100,0,0,0,0,0,0,,1
8553,50-食人魔首领,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29940@100,29942@100,29942@100,29944@100,29944@100,29941@100,29941@100,29941@100,0,0,0,0,0,0,,1
8554,50-奥罗巴,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29952@100,29952@100,29952@100,29953@100,29953@100,29950@100,29951@100,29951@100,0,0,0,0,0,0,,1
8555,50-树灵长老,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,29968@100,0,29960@100,29961@100,29962@100,29967@100,29967@100,29959@100,29959@100,29959@100,0,0,0,0,0,0,,1
8556,50-塞纳留斯,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,29977@100,0,29973@100,29974@100,29975@100,29971@100,29972@100,29970@100,29976@100,29976@100,0,0,0,0,0,0,,1
8557,50-月女祭司,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29983@100,29984@100,29985@100,29981@100,29982@100,29980@100,29986@100,29986@100,0,0,0,0,0,0,,1
8558,50-魔王头领,3,0,3,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29990@100,29991@100,29992@100,29995@100,29995@100,29995@100,29995@100,29995@100,0,0,0,0,0,0,,1
8559,50-马洛诺斯,3,0,12,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29440@100,29441@100,29442@100,29446@100,29446@100,29445@100,29445@100,29445@100,0,0,0,0,0,0,,1
8560,,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000@100,40006@100,40007@100,40001@100,40002@100,40003@100,40004@100,40005@100,0,0,0,0,0,0,,1
8561,,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40010@100,40016@100,40017@100,40011@100,40012@100,40013@100,40014@100,40015@100,0,0,0,0,0,0,,1
8562,,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40020@100,40026@100,40027@100,40021@100,40022@100,40023@100,40024@100,40025@100,0,0,0,0,0,0,,1
8563,,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40030@100,40031@100,40032@100,40036@100,40037@100,40033@100,40034@100,40035@100,0,0,0,0,0,0,,1
8564,,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,40048@100,0,40043@100,40046@100,40047@100,40044@100,40045@100,40040@100,40041@100,40042@100,0,0,0,0,0,0,,1
8565,,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40050@100,40056@100,40057@100,40051@100,40052@100,40053@100,40054@100,40055@100,0,0,0,0,0,0,,1
8566,,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,40068@100,0,40060@100,40061@100,40062@100,40063@100,40064@100,40065@100,40066@100,40067@100,0,0,0,0,0,0,,1
8567,,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,40078@100,0,40070@100,40071@100,40072@100,40073@100,40074@100,40075@100,40076@100,40077@100,0,0,0,0,0,0,,1
8568,,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40083@100,40084@100,40085@100,40086@100,40087@100,40080@100,40081@100,40082@100,0,0,0,0,0,0,,1
8569,,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40091@100,40092@100,40093@100,40094@100,40090@100,0,0,0,0,40095@100,0,0,0,,1
8570,,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,40109@100,0,40100@100,40101@100,40102@100,40103@100,40104@100,40105@100,40106@100,40107@100,40108@100,40108@100,0,0,0,0,,1
8571,,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40116@100,40113@100,40114@100,40115@100,40116@100,40110@100,40111@100,40112@100,0,0,0,0,0,0,,1
8572,,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40120@100,40121@100,40122@100,40123@100,40124@100,40125@100,40126@100,40127@100,0,0,0,0,0,0,,1
8573,,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,40139@100,0,40130@100,40131@100,40132@100,40133@100,40134@100,40135@100,40135@100,40135@100,40135@100,40135@100,0,0,0,0,,1
8574,,3,0,13,,1,,0,16701,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40140@100,40141@100,40142@100,40143@100,40144@100,0,40145@100,40146@100,0,0,0,0,0,0,,1
8575,,3,0,14,,1,,0,16704,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40150@100,40151@100,40152@100,40153@100,40154@100,0,0,0,0,0,0,0,0,0,,1
8576,,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40163@100,40164@100,40165@100,40166@100,40167@100,40160@100,40161@100,40162@100,0,0,0,0,0,0,,1
8577,,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40173@100,40174@100,40175@100,40176@100,40177@100,40170@100,40171@100,40172@100,0,0,0,0,0,0,,1
8578,,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40183@100,40184@100,40185@100,40186@100,40187@100,40180@100,40181@100,40182@100,0,0,0,0,0,0,,1
8579,,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40190@100,40196@100,40197@100,40194@100,40195@100,40191@100,40192@100,40193@100,0,0,0,0,0,0,,1
8580,,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40205@100,40201@100,40202@100,40203@100,40204@100,40200@100,0,0,0,0,0,0,0,0,,1
8581,,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40210@100,40216@100,40217@100,40211@100,40212@100,40213@100,40214@100,40215@100,0,0,0,0,0,0,,1
8582,,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40223@100,40224@100,40225@100,40221@100,40222@100,40220@100,0,0,0,0,0,0,0,0,,1
8583,,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40233@100,40234@100,40235@100,40236@100,40237@100,40230@100,40231@100,40232@100,0,0,0,0,0,0,,1
8584,,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,40248@100,0,0,0,40243@100,40244@100,40245@100,40246@100,40247@100,40240@100,40241@100,40242@100,0,0,0,0,0,0,,1
8585,,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40250@100,40252@100,40253@100,40254@100,40255@100,40251@100,40258@100,40259@100,40256@100,40257@100,0,0,0,0,,1
8586,,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40261@100,40262@100,40263@100,40264@100,40265@100,40260@100,40266@100,40267@100,0,0,0,0,0,0,,1
8587,80-女王希尔,3,0,13,,1,,0,16615,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40273@100,40274@100,40275@100,40271@100,40272@100,40270@100,0,0,0,0,0,0,0,0,,1
8588,80-天灾士兵头领,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40283@100,40284@100,40285@100,40286@100,40287@100,40280@100,40281@100,40282@100,0,0,0,0,0,0,,1
8589,80-天灾精英,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40293@100,40294@100,40295@100,40296@100,40297@100,40290@100,40291@100,40292@100,0,0,0,0,0,0,,1
8590,80-魔王侍卫,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40306@100,40302@100,40303@100,40304@100,40305@100,40301@100,40300@100,0,0,0,0,0,0,0,,1
8591,80-瓦力玛萨斯,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40310@100,40311@100,40312@100,40316@100,40317@100,40313@100,40314@100,40315@100,0,0,0,0,0,0,,1
8592,80-霜狼头领,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40320@100,40321@100,40322@100,40323@100,40324@100,40325@100,40326@100,40327@100,0,0,0,0,0,0,,1
8593,80-冰霜巨兽头领,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40332@100,40333@100,40334@100,40335@100,40336@100,40330@100,40331@100,0,0,0,0,0,0,0,,1
8594,80-死灵护卫,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40342@100,40343@100,40344@100,40345@100,40346@100,40340@100,40341@100,0,0,0,0,0,0,0,,1
8595,80-凯苏德,3,0,13,,1,,0,16618,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40350@100,40351@100,40352@100,40353@100,40354@100,40355@100,40356@100,40357@100,0,0,0,0,0,0,,1
8596,80-瓦力玛萨斯,3,0,14,,1,,0,16620,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40360@100,40361@100,40362@100,40363@100,40364@100,40365@100,40366@100,40367@100,0,0,0,0,0,0,,1
8597,80-魔王侍卫,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40372@100,40373@100,40374@100,40375@100,40376@100,40370@100,40371@100,0,0,0,0,0,0,0,,1
8598,80-德罗塞克,3,0,14,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40380@100,40381@100,40382@100,40383@100,40384@100,40385@100,40386@100,40387@100,40388@100,40389@100,0,0,0,0,,1
8599,80-巴纳扎尔,3,0,13,,1,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40390@100,40394@100,40395@100,40396@100,40397@100,40391@100,40392@100,40393@100,40398@100,40399@100,0,0,0,0,,1
8600,菊爆大队,3,0,14,,,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,29003@100,0,0,0,29001@100,29000@100,29002@100,0,0,0,0,0,0,0,0,0,0,0,,1
8601,菊爆大队,3,0,13,,,,0,15115,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,29010@100,0,0,0,29011@100,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
8602,菊爆大队,3,0,14,,,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,29025@100,0,0,0,29020@100,29021@100,29022@100,29023@100,29024@100,0,0,0,0,0,0,0,0,0,,1
8603,菊爆大队,1,0,13,,,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,29032@100,0,0,0,29030@100,29030@100,29030@100,29030@100,29030@100,0,29031@100,29031@100,0,0,0,0,0,0,,1
8604,菊爆大队,1,0,14,,,,0,15126,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29042@100,29040@100,29040@100,29040@100,29040@100,29041@100,0,0,0,0,0,0,0,0,,1
8605,菊爆大队,1,0,13,,,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,29052@100,0,0,0,29051@100,29051@100,29051@100,29051@100,29051@100,0,29050@100,29050@100,0,0,0,0,0,0,,1
8606,菊爆大队,1,0,14,,,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,29062@100,29063@100,0,0,0,0,0,0,29061@100,0,0,0,0,0,0,0,0,,1
8607,菊爆大队,1,0,13,,,,0,,0,1,,4,10,7,0,0,0,0,0,0,0,0,0,0,0,29074@100,29073@100,0,29071@100,29071@100,29071@100,29071@100,29071@100,29070@100,29072@100,29072@100,29071@100,29071@100,0,0,0,0,,1
