"子技能ID","子技能名称","属性状态需求","属性状态不符提示","过滤状态","需求状态","关联技能","何种情况下不能执行本技能","选择目标方","选择目标单位类型","选择目标单位关系","生效精准职业编号","生效精确怪物，伙伴ID号","索敌类型","索敌个数","索敌多个.排序变量","子技能触发几率","法术技能最小伤害","主BUFF序号","BUFF0.BUFFID","BUFF0.命中","BUFF0.持续回合","BUFF0.效果","buff0属性状态需求","buff0.buff状态过滤","buff0.buff状态需求","buff0触发几率","BUFF1.BUFFID","BUFF1.命中","BUFF1.持续回合","BUFF1.效果","buff1属性状态需求","buff1.buff状态过滤","buff1.buff状态需求","buff1触发几率","BUFF2.BUFFID","BUFF2.命中","BUFF2.持续回合","BUFF2.效果","buff2属性状态需求","buff2.buff状态过滤","buff2.buff状态需求","buff2触发几率","BUFF3.BUFFID","BUFF3.命中","BUFF3.持续回合","BUFF3.效果","buff3属性状态需求","buff3.buff状态过滤","buff3.buff状态需求","buff3触发几率","脚本配置文件"
"1000500","血色茶花(战斗外)","","","","","0","","1","","","","","1","1","","1","","0","500009","1","0","curhp_value=200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000510","鹿茸(战斗外)","","","","","0","","1","","","","","1","1","","1","","0","500009","1","0","curhp_value=150","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000520","仙狐诞(战斗外)","","","","","0","","1","","","","","1","1","","1","","0","500010","1","0","curmp_value=150","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000530","麝香(战斗外)","","","","","0","","1","","","","","1","1","","1","","0","500010","1","0","curmp_value=100","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000540","火风之晴(战斗外)","","","","","0","","1","","","","","1","1","","1","","0","500009","1","0","curhp_value=300","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000550","凤凰尾(战斗外)","","","","","0","","1","","","","","1","1","","1","","0","500009","1","0","curhp_value=250","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000560","孔雀红(战斗外)","","","","","0","","1","","","","","1","1","","1","","0","500010","1","0","curmp_value=150","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000570","血珊瑚(战斗外)","","","","","0","","1","","","","","1","1","","1","","0","500010","1","0","curmp_value=100","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1001000","强身","","","","","0","","3","","","","","1","1","","1","","0","500275","","","maxhp_value=skilllevela*10","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1001010","冥想","","","","","0","","3","","","","","1","1","","1","","0","500276","","","maxmp_value=skilllevela*10","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9000010","攻法专精","","","","","0","","","","","","","","","","1","","0","509127","1","","physicchuantou_value=round((pow(1.02,skilllevela)-1)*1000);magicchuantou_value=round((pow(1.02,skilllevela)-1)*1000);kongzhijiacheng_value=15*skilllevela;medicaljiashen_value=8*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9000020","物抗专精","","","","","0","","","","","","","","","","1","","0","509128","1","","physicdikang_value=round((1-pow(0.98,skilllevela))*1000)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9000030","法抗专精","","","","","0","","","","","","","","","","1","","0","509129","1","","magicdikang_value=round((1-pow(0.98,skilllevela))*1000)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9000040","守护专精","","","","","0","","","","","","","","","","1","","0","509130","1","","kongzhimianyi_value=6*skilllevela;medicalonjiashen_value=5*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9100010","宠物攻法","","","","","0","","","","","","","","","","1","","0","509123","1","","physicchuantou_value=round((pow(1.02,skilllevela)-1)*1000);magicchuantou_value=round((pow(1.02,skilllevela)-1)*1000);kongzhijiacheng_value=6*skilllevela;medicaljiashen_value=5*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9100020","宠物物抗","","","","","0","","","","","","","","","","1","","0","509124","1","","physicdikang_value=round((1-pow(0.98,skilllevela))*1000)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9100030","宠物法抗","","","","","0","","","","","","","","","","1","","0","509125","1","","magicdikang_value=round((1-pow(0.98,skilllevela))*1000)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9100040","宠物守护","","","","","0","","","","","","","","","","1","","0","509126","1","","kongzhimianyi_value=6*skilllevela;medicalonjiashen_value=5*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2542541","怪物技能-特殊","","","","","0","","","","","","","","","","1","","0","501001","1","","phyattack_value=2.5*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1254001","六道轮回1","","","","","0","","2","","","","","1","14","","1","","0","501402","1","5","defend_percent=-0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1254002","灵动九天1","","","","","0","","1","","","","","1","14","","1","","0","506003","1","5","magicattack_percent=0.15;magicdef_percent=0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1254003","金刚护法1","","","","","0","","1","","","","","1","14","","1","","0","501901","1","4","defend_percent=0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1254004","五雷咒1","","","","","0","","2","","","","","1","14","","1","3*skilllevela","0","510114","1","","","","","","","502002","1","5","","","","","","","","","","","","","","","","","","","","","",""
"1254005","我佛慈悲","","","","","0","","5","","","","","9","1","","1","","0","510107","1","","curhp_value=0.05*maxhpb","","509084","500033","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1254006","杨柳甘露","","","","","0","","5","","","","","9","1","","1","","0","510107","1","","curhp_value=0.3*maxhpb","","509084","500033","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1254007","还阳术","","","","","0","","5","","","","","9","1","","1","","0","510107","1","","curhp_value=0.05*maxhpb","","509084","500033","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1254008","慈航普度复活","","","","","0","","1","","","","","9","14","speed","1","","0","510107","1","","curhp_value=maxhpb","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1254009","慈航普度复活","","","","","1254008","4","1","","","","","3","14","hpmin","1","","0","510116","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1254010","慈航普度-扣除血量","","","","","1254009","4","3","","","","","0","1","","1","","0","510135","1","","curhp_value=-max(curhpa-maxhpa*0.1,0);curmp_value=-100","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1254011","自在心法","","","","506008","0","","1","","","","","1","1","","1","","0","510116","1","","curhp_value=0.3*maxhpb","","","","","510153","1","","","","","","","","","","","","","","","","","","","","","","",""
"1254012","四海升平","","","","","0","","1","","","","","1","14","hpmin","1","","0","510116","1","","curhp_value=0.35*maxhpb","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"254101","大唐官府技能","","","","","0","","","","","","","","","","1","","0","501001","1","","phyattack_value=2.5*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100000","为官之道","","","","","0","","","","","","","","","","1","","0","501001","1","","phyattack_value=2.5*skilllevela;maxhp_value=2*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100010","破釜沉舟1","","","","","0","","2","","","","","1","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1.15-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100011","破釜沉舟2","","","","","1100010","4","2","","","","","5","1","speed","1","","0","510113","1","","curhp_value=-(phyattacka*1.2-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100012","破釜沉舟3","skilllevela>=40","","","","1100011","4","2","","","","","5","1","speed","1","","0","510113","1","","curhp_value=-(phyattacka*1.3-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100013","破釜沉舟4","skilllevela>=60","","","","1100012","4","2","","","","","5","1","speed","1","","0","510113","1","","curhp_value=-(phyattacka*1.35-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100015","破釜沉舟5","skilllevela>=125","","","600018","1100013","4","2","","","","","5","1","speed","1","","0","510113","1","","curhp_value=-(phyattacka*1.35-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100014","破釜沉舟归位","","","","","1100010","4","3","","","","","","","","1","","0","509147","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100020","翩鸿一击1","","","","","0","","2","","","","","1","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1.05-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100021","翩鸿一击2","","","","","1100020","4","3","","","","","0","1","","1","","0","501101","1","4","","","","","","501102","1","4","","","","","","501103","1","4","","","","","","","","","","","","","",""
"1100117","杀气决：翩鸿一击","","","","501015","1100020","1","2","","","","","7","1","","1","","0","510113","1","","curhp_value=-(phyattacka*0.65-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100030","横扫千军1","","","","","0","","2","","","","","1","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1.05-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100031","横扫千军2","","","","","1100030","2,4","2","","","","","3","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1.15-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100032","横扫千军3","","","","","1100031","2,4","2","","","","","3","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1.25-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100033","横扫千军4","","","","600018","1100032","2,4","2","","","","","3","1","","0.8","","0","510113","1","","curhp_value=-(phyattacka*1.35-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100034","横扫千军5","skilllevela>=125","","","600018","1100033","2,4","2","","","","","3","1","","0.3","","0","510113","1","","curhp_value=-(phyattacka*1.75-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100035","横扫千军6","skilllevela>=125","","","600018","1100034","2,4","2","","","","","3","1","","0.2","","0","510113","1","","curhp_value=-(phyattacka*1.95-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100036","横扫千军7","skilllevela>=125","","","600018","1100035","2,4","2","","","","","3","1","","0.1","","0","510113","1","","curhp_value=-(phyattacka*2.35-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100037","横扫千军虚弱休息","","","","","1100030","4","3","","","","","0","1","","1","","0","501002","1","2","defend_value=min(-2.4*gradea+1.2*skilllevela,0);magicdef_value=min(-2.4*gradea+1.2*skilllevela,0);resistseal_value=9.9","","","","","501008","1","2","operation_type=10","","","","","508201","1","2","","","","","1","510102","1","","curhp_value=-min((random()*(0.13-0.07)+0.07)*maxhpa,curhpa-1)","","","","",""
"1100038","横扫千军清除虚弱休息","","","","600018","1100037","4","3","","","","","0","1","","0.4","","0","510151","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100112","杀气诀：横扫千军1","","","","501015","1100030","1","2","","","","","7","1","","1","","0","510113","1","","curhp_value=-(phyattacka*0.55-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100113","杀气诀：横扫千军2","","","","501015","1100112","2,4","2","","","","","2","1","","1","","0","510113","1","","curhp_value=-(phyattacka*0.65-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100114","杀气诀：横扫千军3","","","","501015","1100113","2,4","2","","","","","2","1","","1","","0","510113","1","","curhp_value=-(phyattacka*0.75-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100115","杀气诀：横扫千军4","","","","501015;600018","1100114","2,4","2","","","","","2","1","","0.5","","0","510113","1","","curhp_value=-(phyattacka*0.75-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100040","后发制人之蓄力1","","","","","0","","2","","","","","1","1","","1","","0","501105","1","2","operation_type=2;operation_id=110011","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100041","后发制人之蓄力2","","","","","1100040","4","3","","","","","0","1","","1","","0","501106","1","2","defend_percent=0.3;magicdef_percent=0.3;resistseal_value=10;speed_percent=10","","","","","510116","1","","curhp_value=0.15*maxhpb","","","","","","","","","","","","","","","","","","","","",""
"1100110","后发制人追击","","","","","0","","2","","","","","0","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1.45-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100111","后发制人清除状态","","","","","1100110","4","3","","","","","0","1","","1","","0","510152","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100119","杀气诀：后发制人攻击","","","","501015","1100110","1","2","","","","","7","1","","1","","0","510113","1","","curhp_value=-(phyattacka*0.85-defendb+1*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100051","杀气决","","","","","","","3","","","","","0","1","","1","","0","501015","1","5","phyattack_value=1*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100052","杀气决1","","","","600018","1100051","4","3","","","","","2","1","","1","","0","501016","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100060","附魔：嗜血","","","","","0","","","","","","","","","","1","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100070","万剑归一1","","","","","0","","2","","","","","1","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100071","万剑归一2","","","","","1100070","2,4","2","","","","","3","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100072","万剑归一3","","","","","1100071","2,4","2","","","","","3","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100073","万剑归一4","","","","","1100072","2,4","2","","","","","3","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100074","万剑归一5","(curhpa/maxhpa)<=0.8","","","","1100073","2,4","2","","","","","3","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100075","万剑归一6","(curhpa/maxhpa)<=0.6","","","","1100074","2,4","2","","","","","3","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100076","万剑归一7","(curhpa/maxhpa)<=0.4","","","","1100075","2,4","2","","","","","3","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100077","万剑归一8","(curhpa/maxhpa)<=0.2","","","","1100076","2,4","2","","","","","3","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100078","万剑归一9","","","","","1100073","2,4","2","","","","","3","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.45+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100079","万剑归一虚弱休息","","","","","1100070","4","3","","","","","0","1","","1","","0","501002","1","2","defend_percent=-0.12;magicdef_percent=-0.12;resistseal_value=9.9","","","","","501008","1","2","operation_type=10","","","","","508202","1","2","","","","","","","","","","","","","",""
"1100121","杀气诀：万剑归一1","","","","501015","1100070","1","2","","","","","7","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.25+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100122","杀气诀：万剑归一2","","","","501015","1100121","2,4","2","","","","","2","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.25+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100123","杀气诀：万剑归一3","","","","501015","1100122","2,4","2","","","","","2","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.25+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100124","杀气诀：万剑归一4","","","","501015","1100123","2,4","2","","","","","2","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.25+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100125","杀气诀：万剑归一5","","","","501015","1100124","2,4","2","","","","","2","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.25+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100126","杀气诀：万剑归一6","(curhpa/maxhpa)<=0.8","","","501015","1100125","2,4","2","","","","","2","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.25+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100127","杀气诀：万剑归一7","(curhpa/maxhpa)<=0.6","","","501015","1100126","2,4","2","","","","","2","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.25+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100128","杀气诀：万剑归一8","(curhpa/maxhpa)<=0.4","","","501015","1100127","2,4","2","","","","","2","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.25+0.05*skilllevela)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100129","杀气诀：万剑归一9","(curhpa/maxhpa)<=0.2","","","501015","1100128","2,4","2","","","","","2","1","","1","","0","510113","1","","curhp_value=-(phyattacka*1-defendb+1*gradea)*(0.25+0.05*skilllevela)","","","","","501016","1","3","","","","","","501017","1","3","","","","","","","","","","","","","",""
"1100080","大唐官府被动1","","","","","0","","","","","","","","","","1","","0","501005","1","","speed_value=0.5*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100090","大唐官府被动2","","","","","0","","","","","","","","","","1","","0","501006","1","","unseal_value=10*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100100","大唐官府被动3","","","","","0","","","","","","","","","","1","","0","501007","1","","defend_value=1*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1101120","暂时无用","","","","","0","","","","","","","","","","1","","0","501107","1","","maxhp_value=2*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"254102","方寸山技能","","","","","0","","","","","","","","","","1","","0","501001","1","","phyattack_value=2.5*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1200000","黄庭经","","","","","0","","","","","","","","","","1","","0","502001","1","","sealhit_value=10*skilllevela;maxhp_value=9*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
