"技能ID","技能名称","是否预先统计目标数","是否主动","能否连击","能否被反击","是否禁止防御和保护","是否忽略隐身","是否默认自动技能","战斗内外使用","服务器分类","技能归类","选择目标类型","先发速度","消耗Hp","消耗Mp","消耗Sp","消耗Ep","串联子技能ID","子技能ID播放时间调控","脚本配置文件","技能名冒字资源","是否显示技能名冒字","是否被嘲讽影响","技能特殊延长时间","是否PVP不能使用","状态过滤是否能使用"
"420033","破碎无双","","true","false","false","0","","","true","2","1","480","","","","80","","4200330,4200331","0,-1","","","1","","","",""
"420034","盘古之力","","true","false","false","0","","","true","2","7","4127","","","","100","","4200332","0","","","1","","","",""
"420035","女娲玄力","","true","false","false","0","","","true","2","7","4127","","","","100","","4200333","0","","","1","","","",""
"420036","盘古意志","","true","false","false","0","","","true","2","7","4127","","","","150","","4200334","0","","","1","","","",""
"420037","女娲神识","","true","false","false","0","","","true","2","7","4127","","","","150","","4200335","0","","","1","","","",""
"430001","物理暴击+1%","","false","false","false","0","","","false","2","11","1","","","","","","4300010","0","","","1","","","",""
"430002","物理抗暴+1%","","false","false","false","0","","","false","2","11","1","","","","","","4300020","0","","","1","","","",""
"430003","法术暴击+1%","","false","false","false","0","","","false","2","11","1","","","","","","4300030","0","","","1","","","",""
"430004","法术抗暴+1%","","false","false","false","0","","","false","2","11","1","","","","","","4300040","0","","","1","","","",""
"430005","封印命中+1%","","false","false","false","0","","","false","2","11","1","","","","","","4300050","0","","","1","","","",""
"430006","封印抵抗+1%","","false","false","false","0","","","false","2","11","1","","","","","","4300060","0","","","1","","","",""
"430007","忽视物防+1%","","false","false","false","0","","","false","2","11","1","","","","","","4300070","0","","","1","","","",""
"430008","忽视法防+1%","","false","false","false","0","","","false","2","11","1","","","","","","4300080","0","","","1","","","",""
"430009","法术连击+1%","","false","false","false","0","","","false","2","11","1","","","","","","4300090","0","","","1","","","",""
"430010","治疗暴击+1%","","false","false","false","0","","","false","2","11","1","","","","","","4300100","0","","","1","","","",""
"430011","物理暴击+2%","","false","false","false","0","","","false","2","11","1","","","","","","4300110","0","","","1","","","",""
"430012","物理抗暴+2%","","false","false","false","0","","","false","2","11","1","","","","","","4300120","0","","","1","","","",""
"430013","法术暴击+2%","","false","false","false","0","","","false","2","11","1","","","","","","4300130","0","","","1","","","",""
"430014","法术抗暴+2%","","false","false","false","0","","","false","2","11","1","","","","","","4300140","0","","","1","","","",""
"430015","封印命中+2%","","false","false","false","0","","","false","2","11","1","","","","","","4300150","0","","","1","","","",""
"430016","封印抵抗+2%","","false","false","false","0","","","false","2","11","1","","","","","","4300160","0","","","1","","","",""
"430017","忽视物防+2%","","false","false","false","0","","","false","2","11","1","","","","","","4300170","0","","","1","","","",""
"430018","忽视法防+2%","","false","false","false","0","","","false","2","11","1","","","","","","4300180","0","","","1","","","",""
"430019","法术连击+2%","","false","false","false","0","","","false","2","11","1","","","","","","4300190","0","","","1","","","",""
"430020","治疗暴击+2%","","false","false","false","0","","","false","2","11","1","","","","","","4300200","0","","","1","","","",""
"430021","备用12","","false","false","false","0","","","false","2","11","1","","","","","","4300210","0","","","1","","","",""
"430022","备用13","","false","false","false","0","","","false","2","11","1","","","","","","4300220","0","","","1","","","",""
"430023","备用14","","false","false","false","0","","","false","2","11","1","","","","","","4300230","0","","","1","","","",""
"430024","备用15","","false","false","false","0","","","false","2","11","1","","","","","","4300240","0","","","1","","","",""
"430025","愤怒","","false","false","false","0","","","false","2","10","1","","","","","","4300250","0","","","1","","","",""
"430026","暴怒","","false","false","false","0","","","false","2","10","1","","","","","","4300260","0","","","1","","","",""
"430027","神佑","","false","false","false","0","","","false","2","10","1","","","","","","4300270","0","","","1","","","",""
"430028","神农","","false","false","false","0","","","false","2","10","1","","","","","","4300280","0","","","1","","","",""
"430029","再生","","false","false","false","0","","","false","2","10","1","","","","","","4300290","0","","","1","","","",""
"430030","专注","","false","false","false","0","","","false","2","10","1","","","","","","4300300","0","","","1","","","",""
"430031","斩杀","","false","false","false","0","","","false","2","10","1","","","","","","4300310","0","","","1","","","",""
"430032","迷踪","","false","false","false","0","","","false","2","10","1","","","","","","4300320","0","","","1","","","",""
"430033","狩猎","","false","false","false","0","","","false","2","10","1","","","","","","4300330","0","","","1","","","",""
"430034","简易","","false","false","false","0","","","false","2","10","1","","","","","","4300340","0","","","1","","","",""
"430035","无级别限制","","false","false","false","0","","","false","2","10","1","","","","","","4300350","0","","","1","","","",""
"430036","感知","","false","false","false","0","","","false","2","10","1","","","","","","4300360","0","","","1","","","",""
"440001","阳：提升物理伤害+1%","","false","false","false","0","","","false","2","11","1","","","","","","5100540","0","","","1","","","",""
"440002","阳：提升物理伤害+1.2%","","false","false","false","0","","","false","2","11","1","","","","","","5100541","0","","","1","","","",""
"440003","阳：提升物理伤害+1.4%","","false","false","false","0","","","false","2","11","1","","","","","","5100542","0","","","1","","","",""
"440004","阳：提升物理伤害+1.8%","","false","false","false","0","","","false","2","11","1","","","","","","5100543","0","","","1","","","",""
"440005","阳：提升物理伤害+2%","","false","false","false","0","","","false","2","11","1","","","","","","5100544","0","","","1","","","",""
"440006","阳：提升物理伤害+2.2%","","false","false","false","0","","","false","2","11","1","","","","","","5100545","0","","","1","","","",""
"440007","阳：提升物理伤害+2.4%","","false","false","false","0","","","false","2","11","1","","","","","","5100546","0","","","1","","","",""
"440008","阳：提升物理伤害+2.6%","","false","false","false","0","","","false","2","11","1","","","","","","5100547","0","","","1","","","",""
"440009","少阳：提升物理伤害+2.8%","","false","false","false","0","","","false","2","11","1","","","","","","5100548","0","","","1","","","",""
"440010","太阳：提升物理伤害+3%","","false","false","false","0","","","false","2","11","1","","","","","","5100549","0","","","1","","","",""
"440011","阴：提升物理伤害+8","","false","false","false","0","","","false","2","11","1","","","","","","5100550","0","","","1","","","",""
"440012","阴：提升物理伤害+16","","false","false","false","0","","","false","2","11","1","","","","","","5100551","0","","","1","","","",""
"440013","阴：提升物理伤害+24","","false","false","false","0","","","false","2","11","1","","","","","","5100552","0","","","1","","","",""
"440014","阴：提升物理伤害+32","","false","false","false","0","","","false","2","11","1","","","","","","5100553","0","","","1","","","",""
"440015","阴：提升物理伤害+40","","false","false","false","0","","","false","2","11","1","","","","","","5100554","0","","","1","","","",""
"440016","阴：提升物理伤害+48","","false","false","false","0","","","false","2","11","1","","","","","","5100555","0","","","1","","","",""
"440017","阴：提升物理伤害+56","","false","false","false","0","","","false","2","11","1","","","","","","5100556","0","","","1","","","",""
"440018","阴：提升物理伤害+64","","false","false","false","0","","","false","2","11","1","","","","","","5100557","0","","","1","","","",""
"440019","少阴：提升物理伤害+72","","false","false","false","0","","","false","2","11","1","","","","","","5100558","0","","","1","","","",""
"440020","太阴：提升物理伤害+80","","false","false","false","0","","","false","2","11","1","","","","","","5100559","0","","","1","","","",""
"440021","阳：提升法术伤害+1%","","false","false","false","0","","","false","2","11","1","","","","","","5100560","0","","","1","","","",""
"440022","阳：提升法术伤害+1.2%","","false","false","false","0","","","false","2","11","1","","","","","","5100561","0","","","1","","","",""
"440023","阳：提升法术伤害+1.4%","","false","false","false","0","","","false","2","11","1","","","","","","5100562","0","","","1","","","",""
"440024","阳：提升法术伤害+1.8%","","false","false","false","0","","","false","2","11","1","","","","","","5100563","0","","","1","","","",""
"440025","阳：提升法术伤害+2%","","false","false","false","0","","","false","2","11","1","","","","","","5100564","0","","","1","","","",""
"440026","阳：提升法术伤害+2.2%","","false","false","false","0","","","false","2","11","1","","","","","","5100565","0","","","1","","","",""
"440027","阳：提升法术伤害+2.4%","","false","false","false","0","","","false","2","11","1","","","","","","5100566","0","","","1","","","",""
"440028","阳：提升法术伤害+2.6%","","false","false","false","0","","","false","2","11","1","","","","","","5100567","0","","","1","","","",""
"440029","少阳：提升法术伤害+2.8%","","false","false","false","0","","","false","2","11","1","","","","","","5100568","0","","","1","","","",""
"440030","太阳：提升法术伤害+3%","","false","false","false","0","","","false","2","11","1","","","","","","5100569","0","","","1","","","",""
"440031","阴：提升法术伤害+6","","false","false","false","0","","","false","2","11","1","","","","","","5100570","0","","","1","","","",""
"440032","阴：提升法术伤害+12","","false","false","false","0","","","false","2","11","1","","","","","","5100571","0","","","1","","","",""
"440033","阴：提升法术伤害+18","","false","false","false","0","","","false","2","11","1","","","","","","5100572","0","","","1","","","",""
"440034","阴：提升法术伤害+24","","false","false","false","0","","","false","2","11","1","","","","","","5100573","0","","","1","","","",""
"440035","阴：提升法术伤害+30","","false","false","false","0","","","false","2","11","1","","","","","","5100574","0","","","1","","","",""
"440036","阴：提升法术伤害+36","","false","false","false","0","","","false","2","11","1","","","","","","5100575","0","","","1","","","",""
"440037","阴：提升法术伤害+42","","false","false","false","0","","","false","2","11","1","","","","","","5100576","0","","","1","","","",""
"440038","阴：提升法术伤害+48","","false","false","false","0","","","false","2","11","1","","","","","","5100577","0","","","1","","","",""
"440039","少阴：提升法术伤害+54","","false","false","false","0","","","false","2","11","1","","","","","","5100578","0","","","1","","","",""
"440040","太阴：提升法术伤害+60","","false","false","false","0","","","false","2","11","1","","","","","","5100579","0","","","1","","","",""
"440041","阳：提升气血+1%","","false","false","false","0","","","false","2","11","1","","","","","","5100580","0","","","1","","","",""
"440042","阳：提升气血+1.5%","","false","false","false","0","","","false","2","11","1","","","","","","5100581","0","","","1","","","",""
"440043","阳：提升气血+2%","","false","false","false","0","","","false","2","11","1","","","","","","5100582","0","","","1","","","",""
"440044","阳：提升气血+2.5%","","false","false","false","0","","","false","2","11","1","","","","","","5100583","0","","","1","","","",""
"440045","阳：提升气血+3%","","false","false","false","0","","","false","2","11","1","","","","","","5100584","0","","","1","","","",""
"440046","阳：提升气血+3.5%","","false","false","false","0","","","false","2","11","1","","","","","","5100585","0","","","1","","","",""
"440047","阳：提升气血+4%","","false","false","false","0","","","false","2","11","1","","","","","","5100586","0","","","1","","","",""
"440048","阳：提升气血+4.5%","","false","false","false","0","","","false","2","11","1","","","","","","5100587","0","","","1","","","",""
"440049","少阳：提升气血+5%","","false","false","false","0","","","false","2","11","1","","","","","","5100588","0","","","1","","","",""
"440050","太阳：提升气血+7%","","false","false","false","0","","","false","2","11","1","","","","","","5100589","0","","","1","","","",""
"440051","阴：提升气血+40","","false","false","false","0","","","false","2","11","1","","","","","","5100590","0","","","1","","","",""
"440052","阴：提升气血+80","","false","false","false","0","","","false","2","11","1","","","","","","5100591","0","","","1","","","",""
"440053","阴：提升气血+120","","false","false","false","0","","","false","2","11","1","","","","","","5100592","0","","","1","","","",""
"440054","阴：提升气血+160","","false","false","false","0","","","false","2","11","1","","","","","","5100593","0","","","1","","","",""
"440055","阴：提升气血+200","","false","false","false","0","","","false","2","11","1","","","","","","5100594","0","","","1","","","",""
"440056","阴：提升气血+240","","false","false","false","0","","","false","2","11","1","","","","","","5100595","0","","","1","","","",""
"440057","阴：提升气血+280","","false","false","false","0","","","false","2","11","1","","","","","","5100596","0","","","1","","","",""
"440058","阴：提升气血+320","","false","false","false","0","","","false","2","11","1","","","","","","5100597","0","","","1","","","",""
"440059","少阴：提升气血+360","","false","false","false","0","","","false","2","11","1","","","","","","5100598","0","","","1","","","",""
"440060","太阴：提升气血+400","","false","false","false","0","","","false","2","11","1","","","","","","5100599","0","","","1","","","",""
"440071","阳：提升治疗强度+1%","","false","false","false","0","","","false","2","11","1","","","","","","5100600","0","","","1","","","",""
"440072","阳：提升治疗强度+1.2%","","false","false","false","0","","","false","2","11","1","","","","","","5100601","0","","","1","","","",""
"440073","阳：提升治疗强度+1.4%","","false","false","false","0","","","false","2","11","1","","","","","","5100602","0","","","1","","","",""
"440074","阳：提升治疗强度+1.8%","","false","false","false","0","","","false","2","11","1","","","","","","5100603","0","","","1","","","",""
"440075","阳：提升治疗强度+2%","","false","false","false","0","","","false","2","11","1","","","","","","5100604","0","","","1","","","",""
"440076","阳：提升治疗强度+2.2%","","false","false","false","0","","","false","2","11","1","","","","","","5100605","0","","","1","","","",""
"440077","阳：提升治疗强度+2.4%","","false","false","false","0","","","false","2","11","1","","","","","","5100606","0","","","1","","","",""
"440078","阳：提升治疗强度+2.6%","","false","false","false","0","","","false","2","11","1","","","","","","5100607","0","","","1","","","",""
"440079","少阳：提升治疗强度+2.8%","","false","false","false","0","","","false","2","11","1","","","","","","5100608","0","","","1","","","",""
"440080","太阳：提升治疗强度+3%","","false","false","false","0","","","false","2","11","1","","","","","","5100609","0","","","1","","","",""
"440081","阴：提升治疗强度+8","","false","false","false","0","","","false","2","11","1","","","","","","5100610","0","","","1","","","",""
"440082","阴：提升治疗强度+16","","false","false","false","0","","","false","2","11","1","","","","","","5100611","0","","","1","","","",""
"440083","阴：提升治疗强度+24","","false","false","false","0","","","false","2","11","1","","","","","","5100612","0","","","1","","","",""
"440084","阴：提升治疗强度+32","","false","false","false","0","","","false","2","11","1","","","","","","5100613","0","","","1","","","",""
"440085","阴：提升治疗强度+40","","false","false","false","0","","","false","2","11","1","","","","","","5100614","0","","","1","","","",""
"440086","阴：提升治疗强度+48","","false","false","false","0","","","false","2","11","1","","","","","","5100615","0","","","1","","","",""
"440087","阴：提升治疗强度+56","","false","false","false","0","","","false","2","11","1","","","","","","5100616","0","","","1","","","",""
"440088","阴：提升治疗强度+64","","false","false","false","0","","","false","2","11","1","","","","","","5100617","0","","","1","","","",""
"440089","少阴：提升治疗强度+72","","false","false","false","0","","","false","2","11","1","","","","","","5100618","0","","","1","","","",""
"440090","太阴：提升治疗强度+80","","false","false","false","0","","","false","2","11","1","","","","","","5100619","0","","","1","","","",""
"440091","阳：提升物理防御+1%","","false","false","false","0","","","false","2","11","1","","","","","","5100620","0","","","1","","","",""
"440092","阳：提升物理防御+1.2%","","false","false","false","0","","","false","2","11","1","","","","","","5100621","0","","","1","","","",""
"440093","阳：提升物理防御+1.4%","","false","false","false","0","","","false","2","11","1","","","","","","5100622","0","","","1","","","",""
"440094","阳：提升物理防御+1.8%","","false","false","false","0","","","false","2","11","1","","","","","","5100623","0","","","1","","","",""
"440095","阳：提升物理防御+2%","","false","false","false","0","","","false","2","11","1","","","","","","5100624","0","","","1","","","",""
"440096","阳：提升物理防御+2.2%","","false","false","false","0","","","false","2","11","1","","","","","","5100625","0","","","1","","","",""
"440097","阳：提升物理防御+2.4%","","false","false","false","0","","","false","2","11","1","","","","","","5100626","0","","","1","","","",""
"440098","阳：提升物理防御+2.6%","","false","false","false","0","","","false","2","11","1","","","","","","5100627","0","","","1","","","",""
"440099","少阳：提升物理防御+2.8%","","false","false","false","0","","","false","2","11","1","","","","","","5100628","0","","","1","","","",""
"440100","太阳：提升物理防御+3%","","false","false","false","0","","","false","2","11","1","","","","","","5100629","0","","","1","","","",""
"440101","阴：提升物理防御+12","","false","false","false","0","","","false","2","11","1","","","","","","5100630","0","","","1","","","",""
"440102","阴：提升物理防御+24","","false","false","false","0","","","false","2","11","1","","","","","","5100631","0","","","1","","","",""
"440103","阴：提升物理防御+36","","false","false","false","0","","","false","2","11","1","","","","","","5100632","0","","","1","","","",""
"440104","阴：提升物理防御+48","","false","false","false","0","","","false","2","11","1","","","","","","5100633","0","","","1","","","",""
"440105","阴：提升物理防御+60","","false","false","false","0","","","false","2","11","1","","","","","","5100634","0","","","1","","","",""
"440106","阴：提升物理防御+72","","false","false","false","0","","","false","2","11","1","","","","","","5100635","0","","","1","","","",""
"440107","阴：提升物理防御+84","","false","false","false","0","","","false","2","11","1","","","","","","5100636","0","","","1","","","",""
"440108","阴：提升物理防御+96","","false","false","false","0","","","false","2","11","1","","","","","","5100637","0","","","1","","","",""
"440109","少阴：提升物理防御+108","","false","false","false","0","","","false","2","11","1","","","","","","5100638","0","","","1","","","",""
"440110","太阴：提升物理防御+120","","false","false","false","0","","","false","2","11","1","","","","","","5100639","0","","","1","","","",""
"440111","阳：提升法术防御+1%","","false","false","false","0","","","false","2","11","1","","","","","","5100640","0","","","1","","","",""
"440112","阳：提升法术防御+1.2%","","false","false","false","0","","","false","2","11","1","","","","","","5100641","0","","","1","","","",""
"440113","阳：提升法术防御+1.4%","","false","false","false","0","","","false","2","11","1","","","","","","5100642","0","","","1","","","",""
"440114","阳：提升法术防御+1.8%","","false","false","false","0","","","false","2","11","1","","","","","","5100643","0","","","1","","","",""
"440115","阳：提升法术防御+2%","","false","false","false","0","","","false","2","11","1","","","","","","5100644","0","","","1","","","",""
"440116","阳：提升法术防御+2.2%","","false","false","false","0","","","false","2","11","1","","","","","","5100645","0","","","1","","","",""
"440117","阳：提升法术防御+2.4%","","false","false","false","0","","","false","2","11","1","","","","","","5100646","0","","","1","","","",""
"440118","阳：提升法术防御+2.6%","","false","false","false","0","","","false","2","11","1","","","","","","5100647","0","","","1","","","",""
"440119","少阳：提升法术防御+2.8%","","false","false","false","0","","","false","2","11","1","","","","","","5100648","0","","","1","","","",""
"440120","太阳：提升法术防御+3%","","false","false","false","0","","","false","2","11","1","","","","","","5100649","0","","","1","","","",""
"440121","阴：提升法术防御+8","","false","false","false","0","","","false","2","11","1","","","","","","5100650","0","","","1","","","",""
"440122","阴：提升法术防御+16","","false","false","false","0","","","false","2","11","1","","","","","","5100651","0","","","1","","","",""
"440123","阴：提升法术防御+24","","false","false","false","0","","","false","2","11","1","","","","","","5100652","0","","","1","","","",""
"440124","阴：提升法术防御+32","","false","false","false","0","","","false","2","11","1","","","","","","5100653","0","","","1","","","",""
"440125","阴：提升法术防御+40","","false","false","false","0","","","false","2","11","1","","","","","","5100654","0","","","1","","","",""
"440126","阴：提升法术防御+48","","false","false","false","0","","","false","2","11","1","","","","","","5100655","0","","","1","","","",""
"440127","阴：提升法术防御+56","","false","false","false","0","","","false","2","11","1","","","","","","5100656","0","","","1","","","",""
"440128","阴：提升法术防御+64","","false","false","false","0","","","false","2","11","1","","","","","","5100657","0","","","1","","","",""
"440129","少阴：提升法术防御+72","","false","false","false","0","","","false","2","11","1","","","","","","5100658","0","","","1","","","",""
"440130","太阴：提升法术防御+80","","false","false","false","0","","","false","2","11","1","","","","","","5100659","0","","","1","","","",""
"440131","阳：提升速度+1%","","false","false","false","0","","","false","2","11","1","","","","","","5100660","0","","","1","","","",""
"440132","阳：提升速度+1.2%","","false","false","false","0","","","false","2","11","1","","","","","","5100661","0","","","1","","","",""
"440133","阳：提升速度+1.4%","","false","false","false","0","","","false","2","11","1","","","","","","5100662","0","","","1","","","",""
"440134","阳：提升速度+1.8%","","false","false","false","0","","","false","2","11","1","","","","","","5100663","0","","","1","","","",""
"440135","阳：提升速度+2%","","false","false","false","0","","","false","2","11","1","","","","","","5100664","0","","","1","","","",""
"440136","阳：提升速度+2.2%","","false","false","false","0","","","false","2","11","1","","","","","","5100665","0","","","1","","","",""
"440137","阳：提升速度+2.4%","","false","false","false","0","","","false","2","11","1","","","","","","5100666","0","","","1","","","",""
"440138","阳：提升速度+2.6%","","false","false","false","0","","","false","2","11","1","","","","","","5100667","0","","","1","","","",""
"440139","少阳：提升速度+2.8%","","false","false","false","0","","","false","2","11","1","","","","","","5100668","0","","","1","","","",""
"440140","太阳：提升速度+3%","","false","false","false","0","","","false","2","11","1","","","","","","5100669","0","","","1","","","",""
"440141","阴：提升速度+8","","false","false","false","0","","","false","2","11","1","","","","","","5100670","0","","","1","","","",""
"440142","阴：提升速度+16","","false","false","false","0","","","false","2","11","1","","","","","","5100671","0","","","1","","","",""
"440143","阴：提升速度+24","","false","false","false","0","","","false","2","11","1","","","","","","5100672","0","","","1","","","",""
"440144","阴：提升速度+32","","false","false","false","0","","","false","2","11","1","","","","","","5100673","0","","","1","","","",""
"440145","阴：提升速度+40","","false","false","false","0","","","false","2","11","1","","","","","","5100674","0","","","1","","","",""
"440146","阴：提升速度+48","","false","false","false","0","","","false","2","11","1","","","","","","5100675","0","","","1","","","",""
"440147","阴：提升速度+56","","false","false","false","0","","","false","2","11","1","","","","","","5100676","0","","","1","","","",""
"440148","阴：提升速度+64","","false","false","false","0","","","false","2","11","1","","","","","","5100677","0","","","1","","","",""
"440149","少阴：提升速度+72","","false","false","false","0","","","false","2","11","1","","","","","","5100678","0","","","1","","","",""
"440150","太阴：提升速度+80","","false","false","false","0","","","false","2","11","1","","","","","","5100679","0","","","1","","","",""
"440201","阴：提升物理暴击+8","","false","false","false","0","","","false","2","11","1","","","","","","5102100","0","","","1","","","",""
"440202","阴：提升物理暴击+16","","false","false","false","0","","","false","2","11","1","","","","","","5102101","0","","","1","","","",""
"440203","阴：提升物理暴击+24","","false","false","false","0","","","false","2","11","1","","","","","","5102102","0","","","1","","","",""
"440204","阴：提升物理暴击+32","","false","false","false","0","","","false","2","11","1","","","","","","5102103","0","","","1","","","",""
"440205","阴：提升物理暴击+40","","false","false","false","0","","","false","2","11","1","","","","","","5102104","0","","","1","","","",""
"440206","阴：提升物理暴击+48","","false","false","false","0","","","false","2","11","1","","","","","","5102105","0","","","1","","","",""
"440207","阴：提升物理暴击+56","","false","false","false","0","","","false","2","11","1","","","","","","5102106","0","","","1","","","",""
"440208","阴：提升物理暴击+64","","false","false","false","0","","","false","2","11","1","","","","","","5102107","0","","","1","","","",""
"440209","少阴：提升物理暴击+72","","false","false","false","0","","","false","2","11","1","","","","","","5102108","0","","","1","","","",""
"440210","太阴：提升物理暴击+80","","false","false","false","0","","","false","2","11","1","","","","","","5102109","0","","","1","","","",""
"440211","阴：提升法术暴击+8","","false","false","false","0","","","false","2","11","1","","","","","","5102110","0","","","1","","","",""
"440212","阴：提升法术暴击+16","","false","false","false","0","","","false","2","11","1","","","","","","5102111","0","","","1","","","",""
"440213","阴：提升法术暴击+24","","false","false","false","0","","","false","2","11","1","","","","","","5102112","0","","","1","","","",""
"440214","阴：提升法术暴击+32","","false","false","false","0","","","false","2","11","1","","","","","","5102113","0","","","1","","","",""
"440215","阴：提升法术暴击+40","","false","false","false","0","","","false","2","11","1","","","","","","5102114","0","","","1","","","",""
"440216","阴：提升法术暴击+48","","false","false","false","0","","","false","2","11","1","","","","","","5102115","0","","","1","","","",""
"440217","阴：提升法术暴击+56","","false","false","false","0","","","false","2","11","1","","","","","","5102116","0","","","1","","","",""
"440218","阴：提升法术暴击+64","","false","false","false","0","","","false","2","11","1","","","","","","5102117","0","","","1","","","",""
"440219","少阴：提升法术暴击+72","","false","false","false","0","","","false","2","11","1","","","","","","5102118","0","","","1","","","",""
"440220","太阴：提升法术暴击+80","","false","false","false","0","","","false","2","11","1","","","","","","5102119","0","","","1","","","",""
"440221","阴：提升治疗暴击+8","","false","false","false","0","","","false","2","11","1","","","","","","5102120","0","","","1","","","",""
"440222","阴：提升治疗暴击+16","","false","false","false","0","","","false","2","11","1","","","","","","5102121","0","","","1","","","",""
"440223","阴：提升治疗暴击+24","","false","false","false","0","","","false","2","11","1","","","","","","5102122","0","","","1","","","",""
"440224","阴：提升治疗暴击+32","","false","false","false","0","","","false","2","11","1","","","","","","5102123","0","","","1","","","",""
"440225","阴：提升治疗暴击+40","","false","false","false","0","","","false","2","11","1","","","","","","5102124","0","","","1","","","",""
"440226","阴：提升治疗暴击+48","","false","false","false","0","","","false","2","11","1","","","","","","5102125","0","","","1","","","",""
"440227","阴：提升治疗暴击+56","","false","false","false","0","","","false","2","11","1","","","","","","5102126","0","","","1","","","",""
"440228","阴：提升治疗暴击+64","","false","false","false","0","","","false","2","11","1","","","","","","5102127","0","","","1","","","",""
"440229","少阴：提升治疗暴击+72","","false","false","false","0","","","false","2","11","1","","","","","","5102128","0","","","1","","","",""
"440230","太阴：提升治疗暴击+80","","false","false","false","0","","","false","2","11","1","","","","","","5102129","0","","","1","","","",""
"440231","阴：提升封印命中+8","","false","false","false","0","","","false","2","11","1","","","","","","5102130","0","","","1","","","",""
"440232","阴：提升封印命中+16","","false","false","false","0","","","false","2","11","1","","","","","","5102131","0","","","1","","","",""
"440233","阴：提升封印命中+24","","false","false","false","0","","","false","2","11","1","","","","","","5102132","0","","","1","","","",""
"440234","阴：提升封印命中+32","","false","false","false","0","","","false","2","11","1","","","","","","5102133","0","","","1","","","",""
"440235","阴：提升封印命中+40","","false","false","false","0","","","false","2","11","1","","","","","","5102134","0","","","1","","","",""
