"id","技能ID","技能名称","领悟需求道具","领悟需求道具数量","领悟需求银币","遗忘需求道具","遗忘需求道具数量","遗忘需求银币","描述","所需数量","遗弃数量"
"23","213005","万剑齐发","240009","1","1","680700","50","1","<T t=""上古后羿留下之秘术，弯弓对三个目标造成大量物理伤害！同时有5%概率驱除对方的一项增益状态。。"" c=""fffff2df""/>","10","50"
"24","213006","嗜血追击","240009","3","1","680700","50","1","<T t=""提升自身百分之10的攻击力对敌人发动秘术！若目标死亡可追击下一个目标，直至目标存活！至多追击五次！。"" c=""fffff2df""/>","10","50"
"25","213007","穿云破雾","240009","3","1","680700","50","1","<T t=""第一次提升百分之20物爆物伤对敌人发起猛烈一击！第二次攻击融入无上心法对打击的目标必定暴击！。"" c=""fffff2df""/>","10","50"
"26","213008","虚空魔神击","240009","1","1","680700","50","1","<T t=""虚空魔神击提升自身百分之百的物理伤害并且提升百分之20物理暴击绕至敌人身后对敌人进行虚空偷袭被击中的敌人造成巨额伤害。"" c=""fffff2df""/>","10","50"
"27","213009","圣王惊天爪","240009","3","1","680700","50","1","<T t=""百无禁忌可抓碎裂一切可见之物，对单个目标造成大量伤害，并且虎爪带来的烈风可刮伤随机2个目标！。"" c=""fffff2df""/>","10","50"
"28","213010","亢龙有悔","240009","10","1","680700","50","1","<T t=""移动到战争中央释放强大的物理伤害，伴随恐惧。"" c=""fffff2df""/>","10","50"
"29","213011","斩魂","240009","6","1","680700","50","1","<T t=""物理攻击对多个敌人造成伤害。并且概率附加破防状态。"" c=""fffff2df""/>","10","50"
"30","213012","蚩尤分身","240009","10","1","680700","50","1","<T t=""蚩尤分身所创，物理同时攻击多人，秒怪数量随等级增加。"" c=""fffff2df""/>","10","50"
"31","213013","是谁谁","240009","20","1","680700","50","1","<T t=""物理秒10，有几率封印对手，激活高级偷袭并且气血增加%20"" c=""fffff2df""/>","10","50"
"32","213014","武神怒击","240009","17","1","680700","50","1","<T t=""牛批的物理技能，物理秒十技能，增加%20的物理攻击！（几率附加沉默状态，持续2回合），秒怪数量随等级增加。"" c=""fffff2df""/>","10","50"
"33","213015","怒目金刚","240009","20","1","680700","50","1","<T t=""一种超级强力的物理技能。"" c=""fffff2df""/>","10","50"
"34","213016","焚天","240009","20","1","680700","50","1","<T t=""来自西天群体法术技能，秒怪数量随等级增加。"" c=""fffff2df""/>","50","50"
"35","214001","夜舞倾城","240009","9","1","680700","50","1","<T t=""独创功法夜舞倾城提升友方全体队友物理，法术伤害，物理，法术暴击，速度均可提升百分之5。"" c=""fffff2df""/>","50","50"
"36","214002","恶魔溶液","240009","15","1","680700","50","1","<T t=""可以对6个目标进行毁灭打击！并概率附加中毒状态。"" c=""fffff2df""/>","50","50"
"37","214003","上古三尸毒","240009","50","1","680700","50","1","<T t=""使多名目标造成伤害，概率使对方全体中毒，伤害和自身速度有关。"" c=""fffff2df""/>","50","50"
"38","214004","恶魔之吻","240009","6","1","680700","50","1","<T t=""攻击目标。使目标造成伤害并减少魔法，还可以让对手中毒。"" c=""fffff2df""/>","50","50"
