"技能ID","技能名称","策划备注","是否预先统计目标数","是否主动","能否连击","能否被反击","是否禁止防御和保护","是否忽略隐身","是否默认自动技能","战斗内外使用","服务器分类","技能归类","选择目标类型","先发速度","消耗Hp","消耗Mp","消耗Sp","消耗Ep","串联子技能ID","子技能ID播放时间调控","脚本配置文件","技能名冒字资源","是否显示技能名冒字","是否被嘲讽影响","技能特殊延长时间","是否PVP不能使用","状态过滤是否能使用"
"100025","佛光舍利子","佛光舍利子","","true","false","false","0","","","true","0","11","4127","0","","","","","1000250","0","","","0","","","",""
"100026","显隐之尘","显隐之尘","","true","false","false","0","1","","true","0","11","480","0","","","","","1000260","0","","","0","","","",""
"100027","驱散护甲","驱散护甲9999","","true","false","false","0","1","","true","0","11","480","0","","","","","1000261","0","","","0","","","",""
"100028","驱散无敌","驱散无敌","","true","false","false","0","1","","true","0","11","480","0","","","","","1830071","0","","","0","","","",""
"100029","全队无敌","自己队伍无敌","","true","false","false","0","1","","true","0","11","4127","0","","","","","1840062","0","","","0","","","",""
"100030","血色茶花","战斗内使用","","true","false","false","0","","","true","0","11","4127","0","","","","","1000300","0","","","0","","","",""
"100031","鹿茸","战斗内使用","","true","false","false","0","","","true","0","11","4127","0","","","","","1000310","0","","","0","","","",""
"100032","仙狐诞","战斗内使用","","true","false","false","0","","","true","0","11","4127","0","","","","","1000320","0","","","0","","","",""
"100033","麝香","战斗内使用","","true","false","false","0","","","true","0","11","4127","0","","","","","1000330","0","","","0","","","",""
"100034","火风之晴","战斗内使用","","true","false","false","0","","","true","0","11","4127","0","","","","","1000340","0","","","0","","","",""
"100035","凤凰尾","战斗内使用","","true","false","false","0","","","true","0","11","4127","0","","","","","1000350","0","","","0","","","",""
"100036","孔雀红","战斗内使用","","true","false","false","0","","","true","0","11","4127","0","","","","","1000360","0","","","0","","","",""
"100037","血珊瑚","战斗内使用","","true","false","false","0","","","true","0","11","4127","0","","","","","1000370","0","","","0","","","",""
"100040","金创药","战斗外增加储备","","true","false","false","0","","","true","0","11","1","0","","","","","1000400","0","","","0","","","",""
"100041","金香玉","战斗外增加储备","","true","false","false","0","","","true","0","11","1","0","","","","","1000410","0","","","0","","","",""
"100042","定神香","战斗外增加储备","","true","false","false","0","","","true","0","11","1","0","","","","","1000420","0","","","0","","","",""
"100050","血色茶花","战斗外增加储备","","true","false","false","0","","","true","0","11","1","0","","","","","1000500","0","","","0","","","",""
"100051","鹿茸","战斗外增加储备","","true","false","false","0","","","true","0","11","1","0","","","","","1000510","0","","","0","","","",""
"100052","仙狐诞","战斗外增加储备","","true","false","false","0","","","true","0","11","1","0","","","","","1000520","0","","","0","","","",""
"100053","麝香","战斗外增加储备","","true","false","false","0","","","true","0","11","1","0","","","","","1000530","0","","","0","","","",""
"100054","火风之晴","战斗外增加储备","","true","false","false","0","","","true","0","11","1","0","","","","","1000540","0","","","0","","","",""
"100055","凤凰尾","战斗外增加储备","","true","false","false","0","","","true","0","11","1","0","","","","","1000550","0","","","0","","","",""
"100056","孔雀红","战斗外增加储备","","true","false","false","0","","","true","0","11","1","0","","","","","1000560","0","","","0","","","",""
"100057","血珊瑚","战斗外增加储备","","true","false","false","0","","","true","0","11","1","0","","","","","1000570","0","","","0","","","",""
"100100","强身","强身","","false","false","false","0","","","true","0","11","1","0","","","","","1001000","0","","","1","","","",""
"100101","冥想","冥想","","false","false","false","0","","","true","0","11","1","0","","","","","1001010","0","","","1","","","",""
"254001","大唐官府技能","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101120","0","","","1","","","",""
"110000","为官之道","增加物伤-气血","","false","false","false","0","","","false","1","10","1","0","","0","","","1100000,2100011","0,-1","","","1","","","",""
"110001","破釜沉舟","破釜沉舟","","true","true","false","0","","1","true","1","2","480","0","","10+0.6*skilllevela","","","1100010,1100011,1100012,1100013,1100015,1100014","0,0,0,0,0,-1","","","1","1","","",""
"110002","翩鸿一击","翩鸿一击","","true","false","false","0","","","true","1","1","480","0","","10+0.6*skilllevela","","","1100020,1100117,1100021","0,-1,-1","","","1","1","","",""
"110003","横扫千军","横扫千军","","true","false","true","0","","","true","1","1","480","0","","0","","","1100030,1100030,1100031,1100032,1100033,1100112,1100112,1100113,1100114,1100115,1100034,1100035,1100036,1100037,1100038","0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","","","1","1","","",""
"110004","后发制人","后发制人","","true","false","false","0","","","true","1","1","480","0","","10+0.6*skilllevela","","","1100040,1100041","0,0","","","1","","","",""
"110005","杀气诀","杀气诀","","true","false","true","0","","","true","1","7","1","0","","10+0.6*skilllevela","","","1100051,1100052","0,0","","","1","1","","",""
"110006","嗜血","嗜血","","true","false","false","0","","","false","1","11","1","0","","0","","","1100060","0","","","1","","","",""
"110007","万剑归一","万剑归一","","true","false","false","3","","","true","4","1","480","0","","0","120","","1100070,1100071,1100072,1100073,1100074,1100075,1100076,1100077,1100078,1100121,1100122,1100123,1100124,1100125,1100126,1100127,1100128,1100129,1100079","0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","","","1","1","","",""
"110008","大唐官府被动1","增加速度","","false","false","false","0","","","FALSE","1","10","1","0","","0","","","1100080","0","","","1","","","",""
"110009","大唐官府被动2","增加封印抵抗","","false","false","false","0","","","false","1","10","1","0","","0","","","1100090","0","","","1","","","",""
"110010","大唐官府被动3","增加物防","","false","false","false","0","","","false","1","10","1","0","","0","","","1100100","0","","","1","","","",""
"110011","后发制人","后发制人","","true","false","true","0","","","true","1","1","480","1000","","0","","","1100110,1100119,1100111","0,-1,-1","","","1","1","","",""
"110012","大唐官府被动4","大唐官府被动4","","false","false","false","0","","","false","1","10","1","0","","0","","","1101120","0","","","1","","","",""
"110013","翩鸿","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101130","0","","","1","","","",""
"110014","亢强","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101140","0","","","1","","","",""
"110015","干将","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101150","0","","","1","","","",""
"110016","惊天动地","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101160","0","","","1","","","",""
"110017","破势","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101170","0","","","1","","","",""
"110018","额外能力","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101180","0","","","1","","","",""
"110019","勇进","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101190","0","","","1","","","",""
"110020","勇武","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101200","0","","","1","","","",""
"110021","念心","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101210","0","","","1","","","",""
"110022","勇念","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101220","0","","","1","","","",""
"110023","不惊","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101230","0","","","1","","","",""
"110024","孤勇","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101240","0","","","1","","","",""
"110025","破军","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101250","0","","","1","","","",""
"110026","突刺","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101260","0","","","1","","","",""
"110027","长驱直入","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101270","0","","","1","","","",""
"110028","静岳","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101280","0","","","1","","","",""
"110029","神凝","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101290","0","","","1","","","",""
"110030","突进","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101300","0","","","1","","","",""
"110031","熟练","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101310","0","","","1","","","",""
"110032","无双战神","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101320","0","","","1","","","",""
"254002","方寸山技能","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101120","0","","","1","","","",""
"120000","黄庭经","黄庭经","","false","false","false","0","","","false","1","10","1","0","","0","","","1200000,2100012","0,-1","","","1","","","",""
"120001","五雷咒","五雷咒","true","true","false","false","0","","1","true","1","4","480","0","","10+0.6*skilllevela","","","1200010,1200011,1200012,1200013,1200014","0,0,0,0,0","","","1","1","","",""
"120002","定身符","定身符","","true","false","false","0","","","true","1","8","480","0","","10+0.6*skilllevela","","","1200020,1200021,1200022,1200023","0,-1,-1,-1","","","1","1","","",""
"120003","失忆符","催眠符","","true","false","false","0","","","true","1","8","480","0","","10+0.6*skilllevela","","","1200030,1200031","0,0","","","1","","","",""
"120004","离魂符","离魂符","","true","false","false","0","","","true","1","8","480","0","","10+0.6*skilllevela","","","1200040","0","","","1","","","",""
"120005","失心符","失心符","","true","false","false","0","","","true","1","8","480","0","","10+0.6*skilllevela","","","1200050,1200051","0,-1","","","1","","","",""
"120006","神兵护法","神兵护法","","true","false","false","0","","","false","1","11","1","0","","0","","","1200060","0","","","1","","","",""
"120007","幻音古钟","幻音古钟","","true","false","false","0","","","true","4","8","480","0","","0","120","","1200070,1200071,1200072,1200073,1200074,1200075","0,0,0,0,0,-1","","","1","1","","",""
"120008","方寸山被动1","方寸山被动1","","false","false","false","0","","","false","1","10","1","0","","0","","","1200080","0","","","1","","","",""
"120009","方寸山被动2","方寸山被动2","","false","false","false","0","","","false","1","10","1","0","","0","","","1200090","0","","","1","","","",""
"120010","方寸山被动3","方寸山被动3","","false","false","false","0","","","false","1","10","1","0","","0","","","1200100","0","","","1","","","",""
"120012","雷动","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201120","0","","","1","","","",""
"120013","黄粱","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201130","0","","","1","","","",""
"120014","补缺","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201140","0","","","1","","","",""
"120015","化身","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201150","0","","","1","","","",""
"120016","斗法","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201160","0","","","1","","","",""
"120017","鬼念","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201170","0","","","1","","","",""
"120018","额外能力","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201180","0","","","1","","","",""
"120019","苦缠","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201190","0","","","1","","","",""
"120020","制约","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201200","0","","","1","","","",""
"120021","不倦","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201210","0","","","1","","","",""
"120022","调息","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201220","0","","","1","","","",""
"120023","吐纳","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201230","0","","","1","","","",""
"120024","灵威","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201240","0","","","1","","","",""
"120025","顺势而为","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201250","0","","","1","","","",""
"120026","灵咒","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201260","0","","","1","","","",""
"120027","必果","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201270","0","","","1","","","",""
"120028","精炼","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201280","0","","","1","","","",""
"120029","幻变","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201290","0","","","1","","","",""
"120030","专神","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201300","0","","","1","","","",""
"120031","碎甲","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201310","0","","","1","","","",""
"120032","拘灵散修","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1201320","0","","","1","","","",""
"254003","狮驼岭技能","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101120","0","","","1","","","",""
"130000","变身","变身","","true","false","false","0","","","true","1","7","1","0","","0","","","1300000,1300001,2100013","0,0,-1","","","1","","","",""
"130001","鹰击","鹰击","","true","false","false","0","","1","true","1","2","480","0","","10+0.6*skilllevela","","","1300010,1300011,1300012,1300013,1300014,1300015,1300016,1300018,1300019","0,-1,-1,-1,-1,-1,-1,-1,-1","","","1","1","","",""
"130002","狮搏","狮搏","","true","false","false","0","","","true","1","1","480","0","","10+0.6*skilllevela","","","1300020,1300021","0,-1","","","1","1","","",""
"130003","魔息术","魔息术","","true","false","false","0","","","true","1","7","4127","0","","10+0.6*skilllevela","","","1300030","0","","","1","","","",""
"130004","象形","象形","","true","false","false","0","","","true","1","1","480","0","","10+0.6*skilllevela","","","1300040,1300041","0,-1","","","1","","","",""
"130005","连环击","连环击","","true","false","false","0","","","true","1","1","480","0","","10+0.6*skilllevela","","","1300050,1300051,1300052,1300053,1300054,1300055,1300056,1300057","0,-1,-1,-1,-1,-1,-1,-1","","geffect/sprite/skillbanner/luoshishu","1","1","","",""
"130006","神力无穷","神力无穷","","true","false","false","0","","","false","1","11","1","0","","0","","","1300060","0","","","1","","","",""
"130007","鹰击长空","鹰击长空","","true","false","false","0","","","true","4","2","480","0","","0","120","","1300770,1300070,1300071,1300072,1300073,1300074,1300075,1300076,1300077,1300078,1300079,1300701","0,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","","","1","1","","",""
"130008","狮驼岭被动1","狮驼岭被动1","","false","false","false","0","","","false","1","10","1","0","","0","","","1300080","0","","","1","","","",""
"130009","狮驼岭被动2","狮驼岭被动2","","false","false","false","0","","","false","1","10","1","0","","0","","","1300090","0","","","1","","","",""
"130010","狮驼岭被动3","狮驼岭被动3","","false","false","false","0","","","false","1","10","1","0","","0","","","1300100","0","","","1","","","",""
"130011","变身被动","变身被动","","false","false","false","0","","","false","1","10","1","0","","0","","","1300110","0","","","1","","","",""
"130012","爪印","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301120","0","","","1","","","",""
"130013","化血","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301130","0","","","1","","","",""
"130014","威压","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301140","0","","","1","","","",""
"130015","九天","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301150","0","","","1","","","",""
"130016","怒火","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301160","0","","","1","","","",""
"130017","死地","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301170","0","","","1","","","",""
"130018","额外能力","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301180","0","","","1","","","",""
"130019","迅捷","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301190","0","","","1","","","",""
"130020","宁息","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301200","0","","","1","","","",""
"130021","怒象","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301210","0","","","1","","","",""
"130022","魔息","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301220","0","","","1","","","",""
"130023","狂袭","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301230","0","","","1","","","",""
"130024","乱击","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301240","0","","","1","","","",""
"130025","背水","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301250","0","","","1","","","",""
"130026","驭兽","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301260","0","","","1","","","",""
"130027","兽王","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301270","0","","","1","","","",""
"130028","虎啸","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301280","0","","","1","","","",""
"130029","协战","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301290","0","","","1","","","",""
"130030","癫狂","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301300","0","","","1","","","",""
"130031","肝胆","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301310","0","","","1","","","",""
"130032","嗜血狂魔","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1301320","0","","","1","","","",""
"254004","阴曹地府技能","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101120","0","","","1","","","",""
"140000","拘魂诀","拘魂诀","","false","false","false","0","","","false","1","10","1","0","","0","","","1400000,2100014","0,-1","","","1","","","",""
"140001","阎罗令","阎罗令","true","true","false","false","0","","1","true","1","4","480","0","","10+0.6*skilllevela","","","1400010,1400011,1400012,1400013,1400014","0,0,0,0,0","","","1","1","1500","",""
"140002","尸腐毒","尸腐毒","","true","false","false","0","","","true","1","3","480","0","","10+0.6*skilllevela","","","1400020,1400026,1400021,1400022,1400023,1400024,1400025","0,1000,1000,1000,1000,1000,1000","","","1","","","",""
"140003","六道轮回","六道轮回","","true","false","false","0","","","true","1","7","480","0","","10+0.6*skilllevela","","","1400030,1400031,1400032,1400033,1400034,1400035,1400036","0,0,0,0,0,0,0","","","1","1","","",""
"140004","修罗隐身","修罗隐身","","true","false","false","0","","","true","1","7","4127","0","","10+0.6*skilllevela","","","1400040,1400041","0,0","","","1","1","1500","",""
"140005","幽冥鬼眼","幽冥鬼眼","","true","false","false","0","","","true","1","7","4127","0","","10+0.6*skilllevela","","","1400050,1400051,1400052,1400053,1400054,1400055,1400056,1400057","0,0,0,0,0,0,0,0","","","1","","1500","",""
"140006","尸气漫天","尸气漫天","","true","false","false","0","","","false","1","11","1","0","","0","","","1400060","0","","","1","","","",""
"140007","锁魂判官","锁魂判官","","true","false","false","0","","","true","4","7","480","0","","0","120","","1400070,1400071,1400072,1400073","0,0,0,-1","","","1","1","1500","",""
"140008","阴曹地府被动1","阴曹地府被动1","","false","false","false","0","","","false","1","10","1","0","","0","","","1400080","0","","","1","","","",""
"140009","阴曹地府被动2","阴曹地府被动2","","false","false","false","0","","","false","1","10","1","0","","0","","","1400090","0","","","1","","","",""
"140010","阴曹地府被动3","阴曹地府被动3","","false","false","false","0","","","false","1","10","1","0","","0","","","1400100","0","","","1","","","",""
"140012","阎罗","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401120","0","","","1","","","",""
"140013","入骨","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401130","0","","","1","","","",""
"140014","索魂","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401140","0","","","1","","","",""
"140015","黄泉","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401150","0","","","1","","","",""
"140016","幽光","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401160","0","","","1","","","",""
"140017","魂飞","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401170","0","","","1","","","",""
"140018","额外能力","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401180","0","","","1","","","",""
"140019","回旋","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401190","0","","","1","","","",""
"140020","聚魂","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401200","0","","","1","","","",""
"140021","伤魂","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401210","0","","","1","","","",""
"140022","幽冥","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401220","0","","","1","","","",""
"140023","泉爆","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401230","0","","","1","","","",""
"140024","汲魂","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401240","0","","","1","","","",""
"140025","魍魉追魂","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401250","0","","","1","","","",""
"140026","夜行","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401260","0","","","1","","","",""
"140027","拘魄","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401270","0","","","1","","","",""
"140028","瘴幕","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401280","0","","","1","","","",""
"140029","冥视","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401290","0","","","1","","","",""
"140030","鬼火","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401300","0","","","1","","","",""
"140031","扼命","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401310","0","","","1","","","",""
"140032","勾魂阎罗","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1401320","0","","","1","","","",""
"254005","龙宫技能","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1101120","0","","","1","","","",""
"150000","九龙诀","九龙诀","","false","false","false","0","","","false","1","11","1","0","","0","","","1500000,2100015","0,-1","","","1","","","",""
"150001","龙卷雨击","龙卷雨击","true","true","true","false","0","","1","true","1","4","480","0","","10+0.6*skilllevela","","","1500010,1500011,1500012,1500013,1500014,1500015,1500016,1500017,1500018","0,0,0,0,0,0,0,0,-1","","","1","1","","",""
"150002","龙腾","龙腾","","true","true","false","0","","","true","1","3","480","0","","10+0.6*skilllevela","","","1500020,1500021,1500022,1500023","0,-1,1000,1000","","","1","1","","",""
"150003","逆鳞","逆鳞","","true","false","false","0","","","true","1","7","1","0","","10+0.6*skilllevela","","","1500030","0","","","1","","","",""
"150004","龙吟","龙吟","","true","true","false","0","","","true","1","4","480","0","","10+0.6*skilllevela","","","1500040","0","","","1","1","","",""
"150005","清心","清心","","true","false","false","0","","","true","1","7","4127","0","","10+0.6*skilllevela","","","1500050","0","","","1","","","",""
"150006","龙附","龙附","","true","false","false","0","","","false","1","11","1","0","","0","","","1500060","0","","","1","","","",""
"150007","魔浪滔天","魔浪滔天","","true","false","false","0","","","true","4","4","480","0","","0","120","","1500070,1500071","0,-1","","","1","1","","",""
"150008","龙宫被动1","龙宫被动1","","false","false","false","0","","","false","1","10","1","0","","0","","","1500080","0","","","1","","","",""
"150009","龙宫被动2","龙宫被动2","","false","false","false","0","","","false","1","10","1","0","","0","","","1500090","0","","","1","","","",""
"150010","龙宫被动3","龙宫被动3","","false","false","false","0","","","false","1","10","1","0","","0","","","1500100","0","","","1","","","",""
"150012","波涛","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1501120","0","","","1","","","",""
"150013","叱咤","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1501130","0","","","1","","","",""
"150014","逐浪","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1501140","0","","","1","","","",""
"150015","龙慑","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1501150","0","","","1","","","",""
"150016","骇浪","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1501160","0","","","1","","","",""
"150017","汹涌","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1501170","0","","","1","","","",""
"150018","额外能力","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1501180","0","","","1","","","",""
"150019","破浪","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1501190","0","","","1","","","",""
"150020","踏涛","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1501200","0","","","1","","","",""
"150021","龙珠","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1501210","0","","","1","","","",""
"150022","傲翔","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1501220","0","","","1","","","",""
"150023","月光","附魔：鲜血饥渴","","false","false","false","0","","","false","1","10","1","0","","0","","","1501230","0","","","1","","","",""
