"编号","宠物id","提升次数","成长提升","攻击资质提升","防御资质提升","体力资质提升","法力资质提升","速度资质提升","提升等级"
"96","900520","3","40","50","20","200","100","20","109"
"97","900521","1","40","50","20","200","100","20","69"
"98","900521","2","40","50","20","200","100","20","89"
"99","900521","3","40","50","20","200","100","20","109"
"100","900522","1","40","50","20","200","100","20","69"
"101","900522","2","40","50","20","200","100","20","89"
"102","900522","3","40","50","20","200","100","20","109"
"103","900523","1","40","50","20","200","100","20","69"
"104","900523","2","40","50","20","200","100","20","89"
"105","900523","3","40","50","20","200","100","20","109"
"106","900524","1","40","50","20","200","100","20","69"
"107","900524","2","40","50","20","200","100","20","89"
"108","900524","3","40","50","20","200","100","20","109"
"109","900525","1","40","50","20","200","100","20","69"
"110","900525","2","40","50","20","200","100","20","89"
"111","900525","3","40","50","20","200","100","20","109"
"112","900526","1","40","50","20","200","100","20","69"
"113","900526","2","40","50","20","200","100","20","89"
"114","900526","3","40","50","20","200","100","20","109"
"115","900527","1","40","50","20","200","100","20","69"
"116","900527","2","40","50","20","200","100","20","89"
"117","900527","3","40","50","20","200","100","20","109"
"118","900528","1","40","50","20","200","100","20","69"
"119","900528","2","40","50","20","200","100","20","89"
"120","900528","3","40","50","20","200","100","20","109"
"121","900529","1","40","50","20","200","100","20","69"
"122","900529","2","40","50","20","200","100","20","89"
"123","900529","3","40","50","20","200","100","20","109"
"124","900530","1","40","50","20","200","100","20","69"
"125","900530","2","40","50","20","200","100","20","89"
"126","900530","3","40","50","20","200","100","20","109"
"127","900531","1","40","50","20","200","100","20","69"
"128","900531","2","40","50","20","200","100","20","89"
"129","900531","3","40","50","20","200","100","20","109"
"130","900532","1","40","50","20","200","100","20","69"
"131","900532","2","40","50","20","200","100","20","89"
"132","900532","3","40","50","20","200","100","20","109"
"133","900533","1","40","50","20","200","100","20","69"
"134","900533","2","40","50","20","200","100","20","89"
"135","900533","3","40","50","20","200","100","20","109"
"136","900534","1","40","50","20","200","100","20","69"
"137","900534","2","40","50","20","200","100","20","89"
"138","900534","3","40","50","20","200","100","20","109"
"139","900535","1","40","50","20","200","100","20","69"
"140","900535","2","40","50","20","200","100","20","89"
"141","900535","3","40","50","20","200","100","20","109"
"142","900536","1","40","50","20","200","100","20","69"
"143","900536","2","40","50","20","200","100","20","89"
"144","900536","3","40","50","20","200","100","20","109"
"145","900537","1","40","50","20","200","100","20","69"
"146","900537","2","40","50","20","200","100","20","89"
"147","900537","3","40","50","20","200","100","20","109"
"148","900538","1","40","50","20","200","100","20","69"
"149","900538","2","40","50","20","200","100","20","89"
"150","900538","3","40","50","20","200","100","20","109"
"151","900539","1","40","50","20","200","100","20","69"
"152","900539","2","40","50","20","200","100","20","89"
"153","900539","3","40","50","20","200","100","20","109"
"154","900540","1","40","50","20","200","100","20","69"
"155","900540","2","40","50","20","200","100","20","89"
"156","900540","3","40","50","20","200","100","20","109"
"157","900541","1","40","50","20","200","100","20","69"
"158","900541","2","40","50","20","200","100","20","89"
"159","900541","3","40","50","20","200","100","20","109"
"160","900542","1","40","50","20","200","100","20","69"
"161","900542","2","40","50","20","200","100","20","89"
"162","900542","3","40","50","20","200","100","20","109"
"163","900543","1","40","50","20","200","100","20","69"
"164","900543","2","40","50","20","200","100","20","89"
"165","900543","3","40","50","20","200","100","20","109"
"166","900544","1","40","50","20","200","100","20","69"
"167","900544","2","40","50","20","200","100","20","89"
"168","900544","3","40","50","20","200","100","20","109"
"169","900545","1","40","50","20","200","100","20","69"
"170","900545","2","40","50","20","200","100","20","89"
"171","900545","3","40","50","20","200","100","20","109"
"172","900546","1","40","50","20","200","100","20","69"
"173","900546","2","40","50","20","200","100","20","89"
"174","900546","3","40","50","20","200","100","20","109"
"175","900547","1","40","50","20","200","100","20","69"
"176","900547","2","40","50","20","200","100","20","89"
"177","900547","3","40","50","20","200","100","20","109"
"178","900548","1","40","50","20","200","100","20","69"
"179","900548","2","40","50","20","200","100","20","89"
"180","900548","3","40","50","20","200","100","20","109"
"181","900549","1","40","50","20","200","100","20","69"
"182","900549","2","40","50","20","200","100","20","89"
"183","900549","3","40","50","20","200","100","20","109"
"184","900550","1","40","50","20","200","100","20","69"
"185","900550","2","40","50","20","200","100","20","89"
"186","900550","3","40","50","20","200","100","20","109"
"187","900551","1","40","50","20","200","100","20","69"
"188","900551","2","40","50","20","200","100","20","89"
"189","900551","3","40","50","20","200","100","20","109"
"190","900552","1","40","50","20","200","100","20","69"
"191","900552","2","40","50","20","200","100","20","89"
"192","900552","3","40","50","20","200","100","20","109"
"193","900553","1","40","50","20","200","100","20","69"
"194","900553","2","40","50","20","200","100","20","89"
"195","900553","3","40","50","20","200","100","20","109"
"196","900554","1","40","50","20","200","100","20","69"
"197","900554","2","40","50","20","200","100","20","89"
"198","900554","3","40","50","20","200","100","20","109"
"199","900555","1","40","50","20","200","100","20","69"
"200","900555","2","40","50","20","200","100","20","89"
"201","900555","3","40","50","20","200","100","20","109"
"202","900556","1","40","50","20","200","100","20","69"
"203","900556","2","40","50","20","200","100","20","89"
"204","900556","3","40","50","20","200","100","20","109"
"205","900557","1","40","50","20","200","100","20","69"
"206","900557","2","40","50","20","200","100","20","89"
"207","900557","3","40","50","20","200","100","20","109"
"208","900558","1","40","50","20","200","100","20","69"
"209","900558","2","40","50","20","200","100","20","89"
"210","900558","3","40","50","20","200","100","20","109"
"211","900559","1","40","50","20","200","100","20","69"
"212","900559","2","40","50","20","200","100","20","89"
"213","900559","3","40","50","20","200","100","20","109"
"214","900560","1","40","50","20","200","100","20","69"
"215","900560","2","40","50","20","200","100","20","89"
"216","900560","3","40","50","20","200","100","20","109"
"217","900561","1","40","50","20","200","100","20","69"
"218","900561","2","40","50","20","200","100","20","89"
"219","900561","3","40","50","20","200","100","20","109"
"220","900562","1","40","50","20","200","100","20","69"
"221","900562","2","40","50","20","200","100","20","89"
"222","900562","3","40","50","20","200","100","20","109"
"223","900563","1","40","50","20","200","100","20","69"
"224","900563","2","40","50","20","200","100","20","89"
"225","900563","3","40","50","20","200","100","20","109"
"226","900564","1","40","50","20","200","100","20","69"
"227","900564","2","40","50","20","200","100","20","89"
"228","900564","3","40","50","20","200","100","20","109"
"229","900565","1","40","50","20","200","100","20","69"
"230","900565","2","40","50","20","200","100","20","89"
"231","900565","3","40","50","20","200","100","20","109"
"232","900566","1","40","50","20","200","100","20","69"
"233","900566","2","40","50","20","200","100","20","89"
"234","900566","3","40","50","20","200","100","20","109"
"235","900567","1","40","50","20","200","100","20","69"
"236","900567","2","40","50","20","200","100","20","89"
"237","900567","3","40","50","20","200","100","20","109"
"238","900568","1","40","50","20","200","100","20","69"
"239","900568","2","40","50","20","200","100","20","89"
"240","900568","3","40","50","20","200","100","20","109"
"241","900569","1","40","50","20","200","100","20","69"
"242","900569","2","40","50","20","200","100","20","89"
"243","900569","3","40","50","20","200","100","20","109"
"244","900570","1","40","50","20","200","100","20","69"
"245","900570","2","40","50","20","200","100","20","89"
"246","900570","3","40","50","20","200","100","20","109"
"247","900571","1","40","50","20","200","100","20","69"
"248","900571","2","40","50","20","200","100","20","89"
"249","900571","3","40","50","20","200","100","20","109"
"250","900572","1","40","50","20","200","100","20","69"
"251","900572","2","40","50","20","200","100","20","89"
"252","900572","3","40","50","20","200","100","20","109"
"253","900573","1","40","50","20","200","100","20","69"
"254","900573","2","40","50","20","200","100","20","89"
"255","900573","3","40","50","20","200","100","20","109"
"256","900574","1","40","50","20","200","100","20","69"
"257","900574","2","40","50","20","200","100","20","89"
"258","900574","3","40","50","20","200","100","20","109"
"259","900575","1","40","50","20","200","100","20","69"
"260","900575","2","40","50","20","200","100","20","89"
"261","900575","3","40","50","20","200","100","20","109"
"262","900576","1","40","50","20","200","100","20","69"
"263","900576","2","40","50","20","200","100","20","89"
"264","900576","3","40","50","20","200","100","20","109"
"265","900577","1","40","50","20","200","100","20","69"
"266","900577","2","40","50","20","200","100","20","89"
"267","900577","3","40","50","20","200","100","20","109"
"268","900578","1","40","50","20","200","100","20","69"
"269","900578","2","40","50","20","200","100","20","89"
"270","900578","3","40","50","20","200","100","20","109"
"271","900579","1","40","50","20","200","100","20","69"
"272","900579","2","40","50","20","200","100","20","89"
"273","900579","3","40","50","20","200","100","20","109"
"274","900580","1","40","50","20","200","100","20","69"
"275","900580","2","40","50","20","200","100","20","89"
"276","900580","3","40","50","20","200","100","20","109"
"277","900581","1","40","50","20","200","100","20","69"
"278","900581","2","40","50","20","200","100","20","89"
"279","900581","3","40","50","20","200","100","20","109"
"280","900582","1","40","50","20","200","100","20","69"
"281","900582","2","40","50","20","200","100","20","89"
"282","900582","3","40","50","20","200","100","20","109"
"283","900583","1","40","50","20","200","100","20","69"
"284","900583","2","40","50","20","200","100","20","89"
"285","900583","3","40","50","20","200","100","20","109"
"286","900584","1","40","50","20","200","100","20","69"
"287","900584","2","40","50","20","200","100","20","89"
"288","900584","3","40","50","20","200","100","20","109"
"289","900585","1","40","50","20","200","100","20","69"
"290","900585","2","40","50","20","200","100","20","89"
"291","900585","3","40","50","20","200","100","20","109"
"292","900586","1","40","50","20","200","100","20","69"
"293","900586","2","40","50","20","200","100","20","89"
"294","900586","3","40","50","20","200","100","20","109"
"295","900587","1","40","50","20","200","100","20","69"
"296","900587","2","40","50","20","200","100","20","89"
"297","900587","3","40","50","20","200","100","20","109"
"298","900588","1","40","50","20","200","100","20","69"
"299","900588","2","40","50","20","200","100","20","89"
"300","900588","3","40","50","20","200","100","20","109"
"301","900589","1","40","50","20","200","100","20","69"
"302","900589","2","40","50","20","200","100","20","89"
"303","900589","3","40","50","20","200","100","20","109"
"304","900590","1","40","50","20","200","100","20","69"
"305","900590","2","40","50","20","200","100","20","89"
"306","900590","3","40","50","20","200","100","20","109"
"307","900591","1","40","50","20","200","100","20","69"
"308","900591","2","40","50","20","200","100","20","89"
"309","900591","3","40","50","20","200","100","20","109"
"310","900592","1","40","50","20","200","100","20","69"
"311","900592","2","40","50","20","200","100","20","89"
"312","900592","3","40","50","20","200","100","20","109"
"313","900593","1","40","50","20","200","100","20","69"
"314","900593","2","40","50","20","200","100","20","89"
"315","900593","3","40","50","20","200","100","20","109"
"316","900594","1","40","50","20","200","100","20","69"
"317","900594","2","40","50","20","200","100","20","89"
"318","900594","3","40","50","20","200","100","20","109"
"319","900595","1","40","50","20","200","100","20","69"
"320","900595","2","40","50","20","200","100","20","89"
"321","900595","3","40","50","20","200","100","20","109"
"322","900596","1","40","50","20","200","100","20","69"
"323","900596","2","40","50","20","200","100","20","89"
"324","900596","3","40","50","20","200","100","20","109"
"325","900597","1","40","50","20","200","100","20","69"
"326","900597","2","40","50","20","200","100","20","89"
"327","900597","3","40","50","20","200","100","20","109"
"328","900598","1","40","50","20","200","100","20","69"
"329","900598","2","40","50","20","200","100","20","89"
"330","900598","3","40","50","20","200","100","20","109"
"331","900599","1","40","50","20","200","100","20","69"
"332","900599","2","40","50","20","200","100","20","89"
"333","900599","3","40","50","20","200","100","20","109"
"334","900600","1","40","50","20","200","100","20","69"
"335","900600","2","40","50","20","200","100","20","89"
"336","900600","3","40","50","20","200","100","20","109"
"337","900601","1","40","50","20","200","100","20","69"
"338","900601","2","40","50","20","200","100","20","89"
"339","900601","3","40","50","20","200","100","20","109"
"340","900602","1","40","50","20","200","100","20","69"
"341","900602","2","40","50","20","200","100","20","89"
"342","900602","3","40","50","20","200","100","20","109"
"343","900603","1","40","50","20","200","100","20","69"
"344","900603","2","40","50","20","200","100","20","89"
"345","900603","3","40","50","20","200","100","20","109"
"346","900604","1","40","50","20","200","100","20","69"
"347","900604","2","40","50","20","200","100","20","89"
"348","900604","3","40","50","20","200","100","20","109"
"349","900605","1","40","50","20","200","100","20","69"
"350","900605","2","40","50","20","200","100","20","89"
"351","900605","3","40","50","20","200","100","20","109"
"352","900606","1","40","50","20","200","100","20","69"
"353","900606","2","40","50","20","200","100","20","89"
"354","900606","3","40","50","20","200","100","20","109"
"355","900607","1","40","50","20","200","100","20","69"
"356","900607","2","40","50","20","200","100","20","89"
"357","900607","3","40","50","20","200","100","20","109"
"358","900608","1","40","50","20","200","100","20","69"
"359","900608","2","40","50","20","200","100","20","89"
"360","900608","3","40","50","20","200","100","20","109"
"361","900609","1","40","50","20","200","100","20","69"
"362","900609","2","40","50","20","200","100","20","89"
"363","900609","3","40","50","20","200","100","20","109"
"364","900610","1","40","50","20","200","100","20","69"
"365","900610","2","40","50","20","200","100","20","89"
"366","900610","3","40","50","20","200","100","20","109"
"367","900611","1","40","50","20","200","100","20","69"
"368","900611","2","40","50","20","200","100","20","89"
"369","900611","3","40","50","20","200","100","20","109"
"370","900612","1","40","50","20","200","100","20","69"
"371","900612","2","40","50","20","200","100","20","89"
"372","900612","3","40","50","20","200","100","20","109"
"373","900613","1","40","50","20","200","100","20","69"
"374","900613","2","40","50","20","200","100","20","89"
"375","900613","3","40","50","20","200","100","20","109"
"376","900614","1","40","50","20","200","100","20","69"
"377","900614","2","40","50","20","200","100","20","89"
"378","900614","3","40","50","20","200","100","20","109"
"379","900615","1","40","50","20","200","100","20","69"
"380","900615","2","40","50","20","200","100","20","89"
"381","900615","3","40","50","20","200","100","20","109"
