"序号","活动ID","服务器id","开启时间","开始时间显示","开启时间2","结束时间","是否提醒","活动实际推迟时间","提前提醒时间","周循环活动","活动名"
"205003","205","0","00:00:00","205003","23:59:59","23:59:59","1","0","0","3","诅咒之塔(精英)"
"205004","205","0","00:00:00","205004","23:59:59","23:59:59","1","0","0","4","诅咒之塔(精英)"
"205005","205","0","00:00:00","205005","23:59:59","23:59:59","1","0","0","5","诅咒之塔(精英)"
"205006","205","0","00:00:00","205006","23:59:59","23:59:59","1","0","0","6","诅咒之塔(精英)"
"205007","205","0","00:00:00","205007","23:59:59","23:59:59","1","0","0","7","诅咒之塔(精英)"
"206001","208","0","20:55:00","206001","21:00:00","21:40:00","1","5","5","1","冠军试炼"
"206002","208","0","20:55:00","206002","21:00:00","21:40:00","1","5","5","5","冠军试炼"
"213001","213","0","11:00:00","213001","11:00:00","23:59:59","1","0","0","1","答题"
"213002","213","0","11:00:00","213002","11:00:00","23:59:59","1","0","0","2","答题"
"213003","213","0","11:00:00","213003","11:00:00","23:59:59","1","0","0","3","答题"
"213004","213","0","11:00:00","213004","11:00:00","23:59:59","1","0","0","4","答题"
"213005","213","0","11:00:00","213005","11:00:00","23:59:59","1","0","0","5","答题"
"213006","213","0","11:00:00","213006","11:00:00","23:59:59","1","0","0","6","答题"
"213007","213","0","11:00:00","213007","11:00:00","23:59:59","1","0","0","7","答题"
"214001","214","0","17:00:00","214001","17:00:00","23:59:59","1","0","0","1","智慧试炼1"
"214002","214","0","17:00:00","214002","17:00:00","23:59:59","1","0","0","2","智慧试炼1"
"214003","214","0","17:00:00","214003","17:00:00","23:59:59","1","0","0","3","智慧试炼1"
"214004","214","0","17:00:00","214004","17:00:00","23:59:59","1","0","0","4","智慧试炼1"
"214005","214","0","17:00:00","214005","17:00:00","23:59:59","1","0","0","5","智慧试炼1"
"215001","215","0","17:00:00","215001","17:00:00","20:59:59","1","0","0","6","智慧试炼2"
"216001","216","0","17:00:00","216001","17:00:00","20:59:59","1","0","0","6","智慧试炼3"
"217001","217","0","00:00:00","217001","00:00:00","23:59:59","1","0","0","1","冲级活动"
"217002","217","0","00:00:00","217002","00:00:00","23:59:59","1","0","0","2","冲级活动"
"217003","217","0","00:00:00","217003","00:00:00","23:59:59","1","0","0","3","冲级活动"
"217004","217","0","00:00:00","217004","00:00:00","23:59:59","1","0","0","4","冲级活动"
"217005","217","0","00:00:00","217005","00:00:00","23:59:59","1","0","0","5","冲级活动"
"217006","217","0","00:00:00","217006","00:00:00","23:59:59","1","0","0","6","冲级活动"
"217007","217","0","00:00:00","217007","00:00:00","23:59:59","1","0","0","7","冲级活动"
"218001","218","0","18:50:00","218001","19:00:00","20:00:00","1","0","0","7","公会副本"
"220001","220","0","00:00:00","220001","00:00:00","23:59:59","1","0","0","1","公会副本竞速赛"
"220002","220","0","00:00:00","220002","00:00:00","23:59:59","1","0","0","2","公会副本竞速赛"
"220003","220","0","00:00:00","220003","00:00:00","23:59:59","1","0","0","3","公会副本竞速赛"
"220004","220","0","00:00:00","220004","00:00:00","23:59:59","1","0","0","4","公会副本竞速赛"
"220005","220","0","00:00:00","220005","00:00:00","23:59:59","1","0","0","5","公会副本竞速赛"
"220006","220","0","00:00:00","220006","00:00:00","23:59:59","1","0","0","6","公会副本竞速赛"
"220007","220","0","00:00:00","220007","00:00:00","23:59:59","1","0","0","7","公会副本竞速赛"
"221001","221","0","00:00:00","221001","00:00:00","23:59:59","1","0","0","1","全民来找茬"
"221002","221","0","00:00:00","221002","00:00:00","23:59:59","1","0","0","2","全民来找茬"
"221003","221","0","00:00:00","221003","00:00:00","23:59:59","1","0","0","3","全民来找茬"
"221004","221","0","00:00:00","221004","00:00:00","23:59:59","1","0","0","4","全民来找茬"
"221005","221","0","00:00:00","221005","00:00:00","23:59:59","1","0","0","5","全民来找茬"
"221006","221","0","00:00:00","221006","00:00:00","23:59:59","1","0","0","6","全民来找茬"
"221007","221","0","00:00:00","221007","00:00:00","23:59:59","1","0","0","7","全民来找茬"
"240001","240","0","21:55:00","240001","22:00:00","22:40:00","1","0","5","1","1v1竞技场"
"240002","240","0","21:55:00","240002","22:00:00","22:40:00","1","0","5","5","1v1竞技场"
"241001","241","0","20:55:00","241001","21:00:00","22:00:00","1","0","5","3","3v3竞技场"
"241002","241","0","20:55:00","241002","21:00:00","22:00:00","1","0","5","6","3v3竞技场"
"242001","242","0","21:00:00","242001","21:30:00","23:00:00","1","0","30","7","奥山战场"
"280001","280","0","15:00:00","280001","15:00:00","15:10:00","1","0","0","1","帮派战配对"
"280002","280","0","15:00:00","280002","15:00:00","15:10:00","1","0","0","3","帮派战配对"
"281001","281","0","20:30:00","281001","21:00:00","22:00:00","1","0","0","2","帮派战"
"281002","281","0","20:30:00","281002","21:00:00","22:00:00","1","0","0","4","帮派战"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
