"商品ID","用处（策划看）","商品名备注","商品类型","类型对应","货币1","货币2","道具消耗id","道具消耗数量","价格1","价格2","现价1","现价2","限购类型","限购数量","限售数量","可见等级","可购买等级下限","可购买等级上限","价格上涨浮动","价格下降浮动","价格上限","价格下限","出售类型","商品描述"
"1011","商会用","2级石榴石","1","35012","1","","","","160000","","160000","","1","20","20","1","1","155","3120","4000","1.5","0.6","1"," <T t='效果：物理防御 +24' c='fffff2df'/><B/><T t='镶嵌：衣甲、头盔' c='fffff2df'/><B/><T t='传说是远古神龙的化石，质地坚硬，镶嵌在头上或衣甲上提高物理防御力。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1012","商会用","2级月亮石","1","35013","1","","","","160000","","160000","","1","20","20","1","1","155","3120","4000","1.5","0.6","1"," <T t='效果：法术攻击 +12' c='fffff2df'/><B/><T t='镶嵌：武器、项链' c='fffff2df'/><B/><T t='蓝色的月亮石，犹如月亮般明亮，镶嵌在武器或项链上提高法术攻击。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1013","商会用","2级孔雀石","1","35014","1","","","","160000","","160000","","1","20","20","1","1","155","3120","4000","1.5","0.6","1"," <T t='效果：法术防御 +16' c='fffff2df'/><B/><T t='镶嵌：衣甲、项链' c='fffff2df'/><B/><T t='可以静心凝神的神奇宝石，产自北方，镶嵌在衣甲或项链上提高法术防御。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1014","商会用","2级猫眼石","1","35015","1","","","","160000","","160000","","1","20","20","1","1","155","3120","4000","1.5","0.6","1"," <T t='效果：速度 +16' c='fffff2df'/><B/><T t='镶嵌：腰带、鞋子' c='fffff2df'/><B/><T t='稀有而名贵的宝石，因像猫眼而得名，镶嵌在鞋子或腰带上能大幅提升速度。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1015","商会用","2级茶晶石","1","35016","1","","","","160000","","160000","","1","20","20","1","1","155","3120","4000","1.5","0.6","1"," <T t='效果：治疗强度 +16' c='fffff2df'/><B/><T t='镶嵌：武器、衣甲' c='fffff2df'/><B/><T t='稀有而名贵的宝石，因像猫眼而得名，镶嵌在鞋子或腰带上能大幅提升速度。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1016","商会用","2级红宝石","1","35017","1","","","","160000","","160000","","1","20","20","1","1","155","3120","4000","1.5","0.6","1"," <T t='效果：控制命中 +12' c='fffff2df'/><B/><T t='镶嵌：武器' c='fffff2df'/><B/><T t='神秘外域产出的红色宝石，镶嵌在武器上提升控制命中。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1017","商会用","2级蓝宝石","1","35018","1","","","","160000","","160000","","1","20","20","1","1","155","3120","4000","1.5","0.6","1"," <T t='效果：控制抗性 +8' c='fffff2df'/><B/><T t='镶嵌：腰带、鞋子' c='fffff2df'/><B/><T t='神秘外域产出的蓝色宝石，镶嵌在腰带或鞋上能提升控制抗性。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1018","商会用","3级血精石","1","35019","1","","","","320000","","320000","","1","20","20","1","1","155","6240","8000","1.5","0.6","1"," <T t='效果：生命 +120' c='fffff2df'/><B/><T t='镶嵌：衣甲、腰带' c='fffff2df'/><B/><T t='稀有而名贵的宝石，因像血液凝聚而成闻名，镶嵌在衣甲或腰带上提高生命。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1019","商会用","3级红曜石","1","35020","1","","","","320000","","320000","","1","20","20","1","1","155","6240","8000","1.5","0.6","1"," <T t='效果：物理攻击 +24' c='fffff2df'/><B/><T t='镶嵌：武器、头盔' c='fffff2df'/><B/><T t='世间最为锋利的宝石，镶嵌在武器或头上提高物理攻击力。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1020","商会用","3级石榴石","1","35021","1","","","","320000","","320000","","1","20","20","1","1","155","6240","8000","1.5","0.6","1"," <T t='效果：物理防御 +36' c='fffff2df'/><B/><T t='镶嵌：衣甲、头盔' c='fffff2df'/><B/><T t='传说是远古神龙的化石，质地坚硬，镶嵌在头上或衣甲上提高物理防御力。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1021","商会用","3级月亮石","1","35022","1","","","","320000","","320000","","1","20","20","1","1","155","6240","8000","1.5","0.6","1"," <T t='效果：法术攻击 +18' c='fffff2df'/><B/><T t='镶嵌：武器、项链' c='fffff2df'/><B/><T t='蓝色的月亮石，犹如月亮般明亮，镶嵌在武器或项链上提高法术攻击。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1022","商会用","3级孔雀石","1","35023","1","","","","320000","","320000","","1","20","20","1","1","155","6240","8000","1.5","0.6","1"," <T t='效果：法术防御 +24' c='fffff2df'/><B/><T t='镶嵌：衣甲、项链' c='fffff2df'/><B/><T t='可以静心凝神的神奇宝石，产自北方，镶嵌在衣甲或项链上提高法术防御。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1023","商会用","3级猫眼石","1","35024","1","","","","320000","","320000","","1","20","20","1","1","155","6240","8000","1.5","0.6","1"," <T t='效果：速度 +24' c='fffff2df'/><B/><T t='镶嵌：腰带、鞋子' c='fffff2df'/><B/><T t='稀有而名贵的宝石，因像猫眼而得名，镶嵌在鞋子或腰带上能大幅提升速度。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1024","商会用","3级茶晶石","1","35025","1","","","","320000","","320000","","1","20","20","1","1","155","6240","8000","1.5","0.6","1"," <T t='效果：治疗强度 +24' c='fffff2df'/><B/><T t='镶嵌：武器、衣甲' c='fffff2df'/><B/><T t='传自异域的神奇宝石，镶嵌在武器或衣甲上能提升治疗强度。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1025","商会用","3级红宝石","1","35026","1","","","","320000","","320000","","1","20","20","1","1","155","6240","8000","1.5","0.6","1"," <T t='效果：控制命中 +18' c='fffff2df'/><B/><T t='镶嵌：武器' c='fffff2df'/><B/><T t='神秘外域产出的红色宝石，镶嵌在武器上提升控制命中。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1026","商会用","3级蓝宝石","1","35027","1","","","","320000","","320000","","1","20","20","1","1","155","6240","8000","1.5","0.6","1"," <T t='效果：控制抗性 +12' c='fffff2df'/><B/><T t='镶嵌：腰带、鞋子' c='fffff2df'/><B/><T t='神秘外域产出的蓝色宝石，镶嵌在腰带或鞋上能提升控制抗性。2个低阶宝石可以合成1个高阶宝石。' c='fffff2df'/>"
"1027","商会用","10级精铁","1","341101","1","","","","6000","","6000","","1","40","40","1","1","155","117","150","3","0.6","1"," <T t='等级：10' c='fffff2df'/><B/><T t='幽幽寒光，打造装备用的基础材料。' c='fffff2df'/>"
"1028","商会用","20级精铁","1","341102","1","","","","6000","","6000","","1","40","40","1","1","155","117","150","3","0.6","1"," <T t='等级：20' c='fffff2df'/><B/><T t='幽幽寒光，打造装备用的基础材料。' c='fffff2df'/>"
"1029","商会用","30级精铁","1","341103","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：30' c='fffff2df'/><B/><T t='幽幽寒光，打造装备用的基础材料。' c='fffff2df'/>"
"1030","商会用","40级精铁","1","341104","1","","","","18000","","18000","","1","40","40","1","1","155","351","450","3","0.6","1"," <T t='等级：40' c='fffff2df'/><B/><T t='幽幽寒光，打造装备用的基础材料。' c='fffff2df'/>"
"1031","商会用","50级精铁","1","341105","1","","","","48000","","48000","","1","40","40","1","1","155","936","1200","3","0.6","1"," <T t='等级：50' c='fffff2df'/><B/><T t='幽幽寒光，打造装备用的基础材料。' c='fffff2df'/>"
"1032","商会用","60级精铁","1","341106","1","","","","60000","","60000","","1","40","40","1","1","155","1170","1500","3","0.6","1"," <T t='等级：60' c='fffff2df'/><B/><T t='幽幽寒光，打造装备用的基础材料。' c='fffff2df'/>"
"1033","商会用","70级精铁","1","341107","1","","","","180000","","180000","","1","40","40","1","1","155","3510","4500","3","0.6","1"," <T t='等级：70' c='fffff2df'/><B/><T t='幽幽寒光，打造装备用的基础材料。' c='fffff2df'/>"
"1034","商会用","10级剑书","1","350100","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：10' c='fffff2df'/><B/><T t='角色限制：牛头男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1035","商会用","20级剑书","1","350200","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：20' c='fffff2df'/><B/><T t='角色限制：牛头男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1036","商会用","30级剑书","1","350300","1","","","","24000","","24000","","1","40","40","1","1","155","468","600","3","0.6","1"," <T t='等级：30' c='fffff2df'/><B/><T t='角色限制：牛头男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1037","商会用","40级剑书","1","350400","1","","","","36000","","36000","","1","40","40","1","1","155","702","900","3","0.6","1"," <T t='等级：40' c='fffff2df'/><B/><T t='角色限制：牛头男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1038","商会用","50级剑书","1","350500","1","","","","180000","","180000","","1","20","20","1","1","155","3510","4500","3","0.6","1"," <T t='等级：50' c='fffff2df'/><B/><T t='角色限制：牛头男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1039","商会用","60级剑书","1","350600","1","","","","300000","","300000","","1","20","20","1","1","155","5850","7500","3","0.6","1"," <T t='等级：60' c='fffff2df'/><B/><T t='角色限制：牛头男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1040","商会用","70级剑书","1","350700","1","","","","600000","","600000","","1","20","20","1","1","155","11700","15000","3","0.6","1"," <T t='等级：70' c='fffff2df'/><B/><T t='角色限制：牛头男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1041","商会用","10级锤书","1","350101","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：10' c='fffff2df'/><B/><T t='角色限制：人类女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1042","商会用","20级锤书","1","350201","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：20' c='fffff2df'/><B/><T t='角色限制：人类女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1043","商会用","30级锤书","1","350301","1","","","","24000","","24000","","1","40","40","1","1","155","468","600","3","0.6","1"," <T t='等级：30' c='fffff2df'/><B/><T t='角色限制：人类女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1044","商会用","40级锤书","1","350401","1","","","","36000","","36000","","1","40","40","1","1","155","702","900","3","0.6","1"," <T t='等级：40' c='fffff2df'/><B/><T t='角色限制：人类女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1045","商会用","50级锤书","1","350501","1","","","","180000","","180000","","1","20","20","1","1","155","3510","4500","3","0.6","1"," <T t='等级：50' c='fffff2df'/><B/><T t='角色限制：人类女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1046","商会用","60级锤书","1","350601","1","","","","300000","","300000","","1","20","20","1","1","155","5850","7500","3","0.6","1"," <T t='等级：60' c='fffff2df'/><B/><T t='角色限制：人类女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1047","商会用","70级锤书","1","350701","1","","","","600000","","600000","","1","20","20","1","1","155","11700","15000","3","0.6","1"," <T t='等级：70' c='fffff2df'/><B/><T t='角色限制：人类女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1048","商会用","10级匕首书","1","350102","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：10' c='fffff2df'/><B/><T t='角色限制：巨魔男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1049","商会用","20级匕首书","1","350202","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：20' c='fffff2df'/><B/><T t='角色限制：巨魔男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1050","商会用","30级匕首书","1","350302","1","","","","24000","","24000","","1","40","40","1","1","155","468","600","3","0.6","1"," <T t='等级：30' c='fffff2df'/><B/><T t='角色限制：巨魔男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1051","商会用","40级匕首书","1","350402","1","","","","36000","","36000","","1","40","40","1","1","155","702","900","3","0.6","1"," <T t='等级：40' c='fffff2df'/><B/><T t='角色限制：巨魔男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1052","商会用","50级匕首书","1","350502","1","","","","180000","","180000","","1","20","20","1","1","155","3510","4500","3","0.6","1"," <T t='等级：50' c='fffff2df'/><B/><T t='角色限制：巨魔男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1053","商会用","60级匕首书","1","350602","1","","","","300000","","300000","","1","20","20","1","1","155","5850","7500","3","0.6","1"," <T t='等级：60' c='fffff2df'/><B/><T t='角色限制：巨魔男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1054","商会用","70级匕首书","1","350702","1","","","","600000","","600000","","1","20","20","1","1","155","11700","15000","3","0.6","1"," <T t='等级：70' c='fffff2df'/><B/><T t='角色限制：巨魔男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1055","商会用","10级爪书","1","350103","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：10' c='fffff2df'/><B/><T t='角色限制：暗夜精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1056","商会用","20级爪书","1","350203","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：20' c='fffff2df'/><B/><T t='角色限制：暗夜精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1057","商会用","30级爪书","1","350303","1","","","","24000","","24000","","1","40","40","1","1","155","468","600","3","0.6","1"," <T t='等级：30' c='fffff2df'/><B/><T t='角色限制：暗夜精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1058","商会用","40级爪书","1","350403","1","","","","36000","","36000","","1","40","40","1","1","155","702","900","3","0.6","1"," <T t='等级：40' c='fffff2df'/><B/><T t='角色限制：暗夜精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1059","商会用","50级爪书","1","350503","1","","","","180000","","180000","","1","20","20","1","1","155","3510","4500","3","0.6","1"," <T t='等级：50' c='fffff2df'/><B/><T t='角色限制：暗夜精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1060","商会用","60级爪书","1","350603","1","","","","300000","","300000","","1","20","20","1","1","155","5850","7500","3","0.6","1"," <T t='等级：60' c='fffff2df'/><B/><T t='角色限制：暗夜精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1061","商会用","70级爪书","1","350703","1","","","","600000","","600000","","1","20","20","1","1","155","11700","15000","3","0.6","1"," <T t='等级：70' c='fffff2df'/><B/><T t='角色限制：暗夜精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1062","商会用","10级魔棒书","1","350104","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：10' c='fffff2df'/><B/><T t='角色限制：血精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1063","商会用","20级魔棒书","1","350204","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：20' c='fffff2df'/><B/><T t='角色限制：血精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1064","商会用","30级魔棒书","1","350304","1","","","","24000","","24000","","1","40","40","1","1","155","468","600","3","0.6","1"," <T t='等级：30' c='fffff2df'/><B/><T t='角色限制：血精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1065","商会用","40级魔棒书","1","350404","1","","","","36000","","36000","","1","40","40","1","1","155","702","900","3","0.6","1"," <T t='等级：40' c='fffff2df'/><B/><T t='角色限制：血精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1066","商会用","50级魔棒书","1","350504","1","","","","180000","","180000","","1","20","20","1","1","155","3510","4500","3","0.6","1"," <T t='等级：50' c='fffff2df'/><B/><T t='角色限制：血精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1067","商会用","60级魔棒书","1","350604","1","","","","300000","","300000","","1","20","20","1","1","155","5850","7500","3","0.6","1"," <T t='等级：60' c='fffff2df'/><B/><T t='角色限制：血精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1068","商会用","70级魔棒书","1","350704","1","","","","600000","","600000","","1","20","20","1","1","155","11700","15000","3","0.6","1"," <T t='等级：70' c='fffff2df'/><B/><T t='角色限制：血精灵女' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1069","商会用","10级法杖书","1","350105","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：10' c='fffff2df'/><B/><T t='角色限制：亡灵男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1070","商会用","20级法杖书","1","350205","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：20' c='fffff2df'/><B/><T t='角色限制：亡灵男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1071","商会用","30级法杖书","1","350305","1","","","","24000","","24000","","1","40","40","1","1","155","468","600","3","0.6","1"," <T t='等级：30' c='fffff2df'/><B/><T t='角色限制：亡灵男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1072","商会用","40级法杖书","1","350405","1","","","","36000","","36000","","1","40","40","1","1","155","702","900","3","0.6","1"," <T t='等级：40' c='fffff2df'/><B/><T t='角色限制：亡灵男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1073","商会用","50级法杖书","1","350505","1","","","","180000","","180000","","1","20","20","1","1","155","3510","4500","3","0.6","1"," <T t='等级：50' c='fffff2df'/><B/><T t='角色限制：亡灵男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1074","商会用","60级法杖书","1","350605","1","","","","300000","","300000","","1","20","20","1","1","155","5850","7500","3","0.6","1"," <T t='等级：60' c='fffff2df'/><B/><T t='角色限制：亡灵男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1075","商会用","70级法杖书","1","350705","1","","","","600000","","600000","","1","20","20","1","1","155","11700","15000","3","0.6","1"," <T t='等级：70' c='fffff2df'/><B/><T t='角色限制：亡灵男' c='fffff2df'/><B/><T t='记录（武器类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1076","商会用","10级腰带书","1","350106","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：10' c='fffff2df'/><B/><T t='记录（饰品类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1077","商会用","20级腰带书","1","350206","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：20' c='fffff2df'/><B/><T t='记录（饰品类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1078","商会用","30级腰带书","1","350306","1","","","","24000","","24000","","1","40","40","1","1","155","468","600","3","0.6","1"," <T t='等级：30' c='fffff2df'/><B/><T t='记录（饰品类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1079","商会用","40级腰带书","1","350406","1","","","","36000","","36000","","1","40","40","1","1","155","702","900","3","0.6","1"," <T t='等级：40' c='fffff2df'/><B/><T t='记录（饰品类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1080","商会用","50级腰带书","1","350506","1","","","","180000","","180000","","1","20","20","1","1","155","3510","4500","3","0.6","1"," <T t='等级：50' c='fffff2df'/><B/><T t='记录（饰品类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1081","商会用","60级腰带书","1","350606","1","","","","300000","","300000","","1","20","20","1","1","155","5850","7500","3","0.6","1"," <T t='等级：60' c='fffff2df'/><B/><T t='记录（饰品类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1082","商会用","70级腰带书","1","350706","1","","","","600000","","600000","","1","20","20","1","1","155","11700","15000","3","0.6","1"," <T t='等级：70' c='fffff2df'/><B/><T t='记录（饰品类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
"1083","商会用","10级鞋书","1","350107","1","","","","12000","","12000","","1","40","40","1","1","155","234","300","3","0.6","1"," <T t='等级：10' c='fffff2df'/><B/><T t='记录（饰品类）打造方法的图纸，可以和寒铁一起锻造装备。' c='fffff2df'/>"
