明雷类id,明雷组,地图id,NPCid
17,17,1610@8,180001@100;180002@100;180003@100;180004@100;180005@100;180006@100;180007@100;180008@100;180009@100;180010@100
18,18,1611@8,180001@100;180002@100;180003@100;180004@100;180005@100;180006@100;180007@100;180008@100;180009@100;180010@100
19,19,1614@8,180001@100;180002@100;180003@100;180004@100;180005@100;180006@100;180007@100;180008@100;180009@100;180010@100
20,20,1616@8,180001@100;180002@100;180003@100;180004@100;180005@100;180006@100;180007@100;180008@100;180009@100;180010@100
21,21,1609@8,180001@100;180002@100;180003@100;180004@100;180005@100;180006@100;180007@100;180008@100;180009@100;180010@100
22,22,1610@8,180001@100;180002@100;180003@100;180004@100;180005@100;180006@100;180007@100;180008@100;180009@100;180010@100
23,23,1605@8,180001@100;180002@100;180003@100;180004@100;180005@100;180006@100;180007@100;180008@100;180009@100;180010@100
24,24,1606@8,180001@100;180002@100;180003@100;180004@100;180005@100;180006@100;180007@100;180008@100;180009@100;180010@100
25,25,1609@8,180001@100;180002@100;180003@100;180004@100;180005@100;180006@100;180007@100;180008@100;180009@100;180010@100
26,26,1612@8,180012@100;180013@100;180014@100;180015@100;180016@100;180017@100;180018@100;180019@100;180020@100;180021@100;180022@100
27,27,1612@8,180012@100;180013@100;180014@100;180015@100;180016@100;180017@100;180018@100;180019@100;180020@100;180021@100;180022@100
28,28,1612@8,180012@100;180013@100;180014@100;180015@100;180016@100;180017@100;180018@100;180019@100;180020@100;180021@100;180022@100
29,29,1612@8,180012@100;180013@100;180014@100;180015@100;180016@100;180017@100;180018@100;180019@100;180020@100;180021@100;180022@100
30,30,1612@8,180012@100;180013@100;180014@100;180015@100;180016@100;180017@100;180018@100;180019@100;180020@100;180021@100;180022@100
31,31,1612@8,180012@100;180013@100;180014@100;180015@100;180016@100;180017@100;180018@100;180019@100;180020@100;180021@100;180022@100
32,32,1612@8,180012@100;180013@100;180014@100;180015@100;180016@100;180017@100;180018@100;180019@100;180020@100;180021@100;180022@100
33,33,1612@8,180012@100;180013@100;180014@100;180015@100;180016@100;180017@100;180018@100;180019@100;180020@100;180021@100;180022@100
34,34,1615@8,88881@100;88882@100;88883@100;88884@100;88885@100;88886@100;88887@100;88888@100;88889@100;88890@100
35,35,1615@8,88881@100;88882@100;88883@100;88884@100;88885@100;88886@100;88887@100;88888@100;88889@100;88890@100
36,36,1615@8,88881@100;88882@100;88883@100;88884@100;88885@100;88886@100;88887@100;88888@100;88889@100;88890@100
37,37,1615@8,88881@100;88882@100;88883@100;88884@100;88885@100;88886@100;88887@100;88888@100;88889@100;88890@100
38,38,1615@8,88881@100;88882@100;88883@100;88884@100;88885@100;88886@100;88887@100;88888@100;88889@100;88890@100
39,39,1615@8,88881@100;88882@100;88883@100;88884@100;88885@100;88886@100;88887@100;88888@100;88889@100;88890@100
40,40,1615@8,88881@100;88882@100;88883@100;88884@100;88885@100;88886@100;88887@100;88888@100;88889@100;88890@100
41,41,1615@8,88881@100;88882@100;88883@100;88884@100;88885@100;88886@100;88887@100;88888@100;88889@100;88890@100
42,42,1615@8,88881@100;88882@100;88883@100;88884@100;88885@100;88886@100;88887@100;88888@100;88889@100;88890@100
43,43,1615@8,88881@100;88882@100;88883@100;88884@100;88885@100;88886@100;88887@100;88888@100;88889@100;88890@100
44,44,1605@8;1606@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8,88891@100
45,45,1605@8;1606@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8,88892@100
46,46,1605@8;1606@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8,88893@100
47,47,1605@8;1606@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8,88894@100
48,48,1605@8;1606@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8,88895@100
49,49,1605@8;1606@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8,88896@100
50,50,1605@8;1606@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8,88897@100
51,51,1605@8;1606@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8,88898@100
52,52,1605@8;1606@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8,88899@100
53,53,1605@8;1606@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8,88900@100
54,54,1615@8,180022@100;180023@100;180024@100;180025@100;180026@100;180027@100;180028@100;180029@100;180030@100;180031@100
55,55,1615@8,180022@100;180023@100;180024@100;180025@100;180026@100;180027@100;180028@100;180029@100;180030@100;180031@100
56,56,1615@8,180022@100;180023@100;180024@100;180025@100;180026@100;180027@100;180028@100;180029@100;180030@100;180031@100
57,57,1615@8,180022@100;180023@100;180024@100;180025@100;180026@100;180027@100;180028@100;180029@100;180030@100;180031@100
58,58,1615@8,180022@100;180023@100;180024@100;180025@100;180026@100;180027@100;180028@100;180029@100;180030@100;180031@100
59,59,1615@8,180022@100;180023@100;180024@100;180025@100;180026@100;180027@100;180028@100;180029@100;180030@100;180031@100
60,60,1615@8,180022@100;180023@100;180024@100;180025@100;180026@100;180027@100;180028@100;180029@100;180030@100;180031@100
61,61,1615@8,180022@100;180023@100;180024@100;180025@100;180026@100;180027@100;180028@100;180029@100;180030@100;180031@100
62,62,1615@8,180022@100;180023@100;180024@100;180025@100;180026@100;180027@100;180028@100;180029@100;180030@100;180031@100
63,63,1615@8,180022@100;180023@100;180024@100;180025@100;180026@100;180027@100;180028@100;180029@100;180030@100;180031@100
65,65,1614@8;1615@8;1616@8,180493@100
66,66,1618@8,161850@100
67,67,1621@8,162150@100
68,68,1620@8,162050@100
69,69,1622@8,180250@100
70,70,1617@8,161750@100
71,71,1619@8,161950@100
72,72,1625@8,169150@100
73,73,1623@8,169050@100
74,74,1624@8,169250@100
75,75,1605@8;1606@8;1608@8;1609@8,180492@100
76,76,1610@8;1611@8;1612@8;1616@8,180492@100
77,77,1618@8,260000@100
78,78,1621@8,260001@100
79,79,1620@8,260002@100
80,80,1622@8,260003@100
81,81,1617@8,260004@100
82,82,1619@8,260005@100
83,83,1625@8,260006@100
84,84,1623@8,260007@100
85,85,1624@8,260008@100
86,86,1615@8;1616@8;1611@8,250289@100
87,87,1615@8;1616@8;1611@8,250290@100
88,88,1615@8;1616@8;1611@8,250291@100
89,89,1615@8;1616@8;1611@8,250292@100
90,90,1615@8;1616@8;1611@8,250293@100
91,91,1615@8;1616@8;1611@8,250294@100
92,92,1615@8;1616@8;1611@8,250295@100
93,93,1615@8;1616@8;1611@8,250296@100
94,94,1615@8;1616@8;1611@8,250297@100
95,95,1615@8;1616@8;1611@8,250298@100
