送信类id,送信组,职业,npcid,服务ID
65,4,20,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
66,4,21,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
67,4,23,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
68,4,22,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
69,4,23,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100183
37,5,11,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
38,5,12,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
39,5,13,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
40,5,14,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
41,5,15,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
42,5,16,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
43,5,17,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
44,5,18,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
45,5,19,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
70,5,20,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
71,5,20,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
72,5,21,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
73,5,23,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
74,5,22,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
75,5,23,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161525;161526;161531;161520;161519;161518;161535;221706;221708;260013;88948;160701;160702;160703;160805;160816;160904;160905;160913;161401;161402;161403;161416;161603;161605;161606;161614,100184
133,13,11,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
134,13,12,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
135,13,13,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
136,13,14,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
137,13,15,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
138,13,16,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
139,13,17,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
140,13,18,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
141,13,19,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
76,13,20,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
77,13,20,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
78,13,21,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
79,13,23,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
80,13,22,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
81,13,23,13104;13101;13102;13100;13105;13103;13107;13106;13108,600018
97,10,11,170132,130014
98,10,12,170132,130014
99,10,13,170132,130014
100,10,14,170132,130014
101,10,15,170132,130014
102,10,16,170132,130014
103,10,17,170132,130014
104,10,18,170132,130014
105,10,19,170132,130014
106,10,20,170132,130014
107,10,20,170132,130014
108,10,21,170132,130014
82,10,23,170132,130014
83,10,22,170132,130014
84,10,23,170132,130014
109,11,11,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
110,11,12,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
111,11,13,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
112,11,14,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
113,11,15,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
114,11,16,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
115,11,17,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
116,11,18,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
117,11,19,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
118,11,20,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
119,11,20,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
120,11,21,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
121,11,23,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
122,11,22,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
123,11,23,161501;161502;161503;161505;161506;161507;161509;161510;161511;161516;161521;161535;221708;260013;160816;160805;160701;160702;160703;160904;160905;161005;161403;161416;161602;161603;161605;161606,100035
160,12,11,170132,601000
161,12,12,170132,601000
162,12,13,170132,601000
163,12,14,170132,601000
164,12,15,170132,601000
165,12,16,170132,601000
166,12,17,170132,601000
167,12,18,170132,601000
168,12,19,170132,601000
169,12,20,170132,601000
170,12,20,170132,601000
171,12,21,170132,601000
85,12,23,170132,601000
86,12,22,170132,601000
87,12,23,170132,601000
172,13,11,170133,601002
173,13,12,170133,601002
174,13,13,170133,601002
175,13,14,170133,601002
176,13,15,170133,601002
177,13,16,170133,601002
178,13,17,170133,601002
179,13,18,170133,601002
180,13,19,170133,601002
181,13,20,170133,601002
182,13,20,170133,601002
183,13,21,170133,601002
88,13,23,170133,601002
89,13,22,170133,601002
90,13,23,170133,601002
184,14,11,170134,601004
185,14,12,170134,601004
186,14,13,170134,601004
187,14,14,170134,601004
188,14,15,170134,601004
189,14,16,170134,601004
190,14,17,170134,601004
191,14,18,170134,601004
192,14,19,170134,601004
193,14,20,170134,601004
194,14,20,170134,601004
195,14,21,170134,601004
91,14,23,170134,601004
92,14,22,170134,601004
93,14,23,170134,601004
