循环任务总表id,循环任务类型,说明（策划）,等级组,等级段min,等级段max,同等级段随机权重,周期,环数是否清零,轮数,环数,次数,奖励次数,消耗双倍点数,是否组队共享,队伍人数下限,是否可任性,任性符石消耗,是否可放弃,解散队伍是否放弃,放弃后是否重置环数,接任务还是交任务计次,时间限制,是否自动寻路,是否出开奖,奖励转盘ID,开奖需要任务次数,自动领取下一轮,不自动领取确定提示,是否跨天自动接取,60次高奖励触发任务,140次高奖励触发任务,对应活动类型ID,高奖次数1,高奖次数触发任务1,高奖次数2,高奖次数触发任务2,是否调用环数控制列,第1环,第2环,第3环,第4环,第5环,第6环,第7环,第8环,第9环,第10环,经验环数等级系数,经验环数系数,经验等级系数,经验常数,金钱环数等级系数,金钱环数系数,金钱等级系数,金钱常数,公积金环数等级系数,公积金环数系数,公积金等级系数,公积金常数,宠物战斗经验宠物等级系数,宠物战斗经验常数,特殊任务id,每轮触发特殊任务几率,特殊事件ID与触发几率,高奖环数,高奖任务全部完成提示,每轮高奖奖励ID,每轮双倍点数附加奖励ID,高奖奖励ID,双倍点数附加奖励ID,普通奖励ID,匹配奖励方式,分级奖励,双倍点数附加分级奖励,共享奖励ID,共享分级奖励ID,额外奖励,额外奖励环数,特殊情况奖励ID,日常副本声望奖励ID,队长奖励1及概率,队长奖励2及概率,队长奖励3及概率,队长奖励4及概率,队长奖励5及概率,任务领取成功提示,任务已领取提示,任务没有剩余次数提示,是否需求公会,额外道具奖励,额外道具奖励环数,每轮双倍道具奖励,每轮高奖道具奖励,经验公式,银币公式,金币公式,宠物经验公式,双倍经验公式,双倍银币公式,双倍金币公式,双倍宠物经验公式,高奖经验公式,高奖银币公式,高奖金币公式,高奖宠物经验公式
11,1040000,宝图任务,1,50,300,,1,1,1,20,20,20,0,0,0,0,0,1,0,1,2,3600,1,0,,,1,,0,,,104,,,,,0,1040001@100,1040001@100,1040001@100,1040001@100,1040001@100,1040001@100,1040001@100,1040001@100,1040001@100,1040001@100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,0,,,,,,5491,,,,,,,,,,,,,,,,193443,150209,,331300,10,331300,331300,0,0,0,0,0,0,0,0,0,0,0,0
12,1050000,平定安邦,1,50,300,,1,,1,1,1,1,0,0,0,0,0,1,0,1,2,0,0,0,,,0,,0,,,103,,,,,0,1050001@100,1050001@100,1050001@100,1050001@100,1050001@100,1050001@100,1050001@100,1050001@100,1050001@100,1050001@100,20.0,0.0,0.0,10000.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,110.0,400.0,,0,,0,,,,,,5280,,,,,,,,,,,,,,,150536,150537,150538,,331300,10,331300,331300,1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10)
13,1060000,帮派任务,1,50,59,,2,,1,500,1,500,0,0,0,0,0,1,0,1,2,0,0,0,,,1,,0,,,108,,,,,0,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060009@50;1060010@50,20.0,0.0,0.0,10000.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,110.0,400.0,,0,,0,,,,,,5610,,,,,,,,,,,,,,,,193443,150550,1,320000,10,320000,320000,1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10)
14,1060000,帮派任务,2,60,69,,2,,1,500,1,500,0,0,0,0,0,1,0,1,2,0,0,0,,,1,,0,,,108,,,,,0,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060009@50;1060010@50,20.0,0.0,0.0,10000.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,110.0,400.0,,0,,0,,,,,,5610,,,,,,,,,,,,,,,,193443,150550,1,320000,10,320000,320000,1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10)
15,1060000,帮派任务,3,70,79,,2,,1,500,1,500,0,0,0,0,0,1,0,1,2,0,0,0,,,1,,0,,,108,,,,,0,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060009@50;1060010@50,20.0,0.0,0.0,10000.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,110.0,400.0,,0,,0,,,,,,5610,,,,,,,,,,,,,,,,193443,150550,1,320000,10,320000,320000,1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10)
16,1060000,帮派任务,4,80,89,,2,,1,500,1,500,0,0,0,0,0,1,0,1,2,0,0,0,,,1,,0,,,108,,,,,0,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060009@50;1060010@50,20.0,0.0,0.0,10000.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,110.0,400.0,,0,,0,,,,,,5610,,,,,,,,,,,,,,,,193443,150550,1,320000,10,320000,320000,1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10)
17,1060000,帮派任务,5,90,99,,2,,1,500,1,500,0,0,0,0,0,1,0,1,2,0,0,0,,,1,,0,,,108,,,,,0,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060009@50;1060010@50,20.0,0.0,0.0,10000.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,110.0,400.0,,0,,0,,,,,,5610,,,,,,,,,,,,,,,,193443,150550,1,320000,10,320000,320000,1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10)
18,1060000,帮派任务,6,100,155,,2,,1,500,1,500,0,0,0,0,0,1,0,1,2,0,0,0,,,1,,0,,,108,,,,,0,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060001@8;1060002@8;1060003@8;1060004@8;1060005@8;1060006@8;1060007@8;1060008@8,1060009@50;1060010@50,20.0,0.0,0.0,10000.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,110.0,400.0,,0,,0,,,,,,5610,,,,,,,,,,,,,,,,193443,150550,1,320000,10,320000,320000,1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10)
19,1070000,师门特殊任务,1,15,300,,1,,1,1,1,1,0,0,0,0,0,1,0,1,2,0,0,0,,,0,,0,,,,,,,,0,1070001@100,,,,,,,,,,20.0,0.0,0.0,10000.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,110.0,400.0,,0,,1,,,,5008,,,,,,,,,,,,,,,,,,,,,320000,10,320102,320001,1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10)
30,1120000,一级师门称谓挑战,1,30,300,,0,,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,,0,,0,,,,,,,,,1120001@100,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,0,,,,,,6903,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1130000,二级师门称谓挑战,2,50,300,,0,,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,,0,,0,,,,,,,,,1130001@100,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,0,,,,,,6904,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1140000,三级师门称谓挑战,3,70,300,,0,,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,,0,,0,,,,,,,,,1140001@100,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,0,,,,,,6905,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1250000,膜拜任务1,1,20,300,,1,,1,1,1,1,0,0,0,0,0,1,0,1,2,0,1,0,,,1,,1,,,103,,,,,0,1250001@100,1250001@100,1250001@100,1250001@100,1250001@100,1250001@100,1250001@100,1250001@100,1250001@100,1250001@100,20.0,0.0,0.0,10000.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,110.0,400.0,,0,,0,,,,,,6938,,,,,,,,,,,,,,,,,192216,,320000,10,320102,320001,1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10)
44,1260000,膜拜任务2,1,20,300,,1,,1,1,1,1,0,0,0,0,0,1,0,1,2,0,1,0,,,1,,1,,,103,,,,,0,1260001@100,1260001@100,1260001@100,1260001@100,1260001@100,1260001@100,1260001@100,1260001@100,1260001@100,1260001@100,20.0,0.0,0.0,10000.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,110.0,400.0,,0,,0,,,,,,6938,,,,,,,,,,,,,,,,,192216,,320000,10,320102,320001,1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10)
45,1270000,膜拜任务3,1,20,300,,1,,1,1,1,1,0,0,0,0,0,1,0,1,2,0,1,0,,,1,,1,,,103,,,,,0,1270001@100,1270001@100,1270001@100,1270001@100,1270001@100,1270001@100,1270001@100,1270001@100,1270001@100,1270001@100,20.0,0.0,0.0,10000.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,110.0,400.0,,0,,0,,,,,,6938,,,,,,,,,,,,,,,,,192216,,320000,10,320102,320001,1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10),1*(1+num/10)
