编号,类型,显示名,道具名颜色,颜色品质,造型编号,单位,等级,需求等级,排序ID,可否摧毁,可否摆摊上架,点卡服可否摆摊上架,道具生效时间,道具过期时间,使用后持续时间（s）,默认有效时间,可否卖店,是否绑定,是否拾取绑定,是否下线消失,战斗内使用对象,战斗内使用者对象,战斗外使用对象,使用后是否消耗,最大堆叠数量,最大拥有数量,删除后服务器保留天数,珍品找回消耗,描述,功能说明,售卖商店类型,售卖NPCID,道具使用方法,道具类名,道具类名1,使用按钮功能类型,使用按钮功能参数1,使用按钮功能参数2,使用按钮功能参数3,加锁时能否消耗,需求锻造等级,需求裁缝等级,需求炼金等级,临时类型,获取途径1,获取途径2,获取途径3,获取途径4,获取途径5,获取途径6,获取途径7,获取途径8,获取途径9,是否珍品,是否稀有,摆摊冻结时间,寻路特殊处理,特殊用途1,特殊用途2,特殊用途3,特殊用途4,特殊用途5
330101,4262,$parameter1$银币,fffff2df,1,1158,个,0,1,7100,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,金钱,金钱,,0,使用方法：直接获得金钱,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
330102,4262,$parameter1$经验,fffff2df,1,1169,个,0,1,7100,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,经验,经验,,0,使用方法：直接获得经验,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
330103,4262,$parameter1$符石,fffff2df,1,1161,个,0,1,7100,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,符石,符石,,0,使用方法：直接获得经验,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
330104,4262,$parameter1$金币,fffff2df,1,1088,个,0,1,7100,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,MT中通行的货币。可以购买别人摊位上的好东西，有时候还可以在商城里买到一些珍贵物品。,摆摊交易,,0,使用方法：直接获得金币,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
330105,4262,$parameter1$VIP经验,fffff2df,1,1424,个,0,1,7100,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,VIP经验,VIP经验,,0,使用方法：直接获得金币,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
331000,294,还原卷轴-体,FF00b1ff,3,1059,张,0,1,7012,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,上古遗留下来的魔法卷轴，拥有神奇的力量，使用者将已分配的2点体质属性还原为潜能点。,洗去角色体质,3,161506,使用方法：点击使用,,,3,48,,,0,,,,,2,,,,,,,,,,,30,,,,,,
331001,294,还原卷轴-智,FF00b1ff,3,1060,张,0,1,7012,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,上古遗留下来的魔法卷轴，拥有神奇的力量，使用者将已分配的2点智慧属性还原为潜能点。,洗去角色智力,3,161506,使用方法：点击使用,,,3,48,,,0,,,,,2,,,,,,,,,,,30,,,,,,
331002,294,还原卷轴-力,FF00b1ff,3,1063,张,0,1,7012,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,上古遗留下来的魔法卷轴，拥有神奇的力量，使用者将已分配的2点力量属性还原为潜能点。,洗去角色力量,3,161506,使用方法：点击使用,,,3,48,,,0,,,,,2,,,,,,,,,,,30,,,,,,
331003,294,还原卷轴-耐,FF00b1ff,3,1061,张,0,1,7012,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,上古遗留下来的魔法卷轴，拥有神奇的力量，使用者将已分配的2点耐力属性还原为潜能点。,洗去角色耐力,3,161506,使用方法：点击使用,,,3,48,,,0,,,,,2,,,,,,,,,,,30,,,,,,
331004,294,还原卷轴-敏,FF00b1ff,3,1064,张,0,1,7012,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,上古遗留下来的魔法卷轴，拥有神奇的力量，使用者将已分配的2点敏捷属性还原为潜能点。,洗去角色敏捷,3,161506,使用方法：点击使用,,,3,48,,,0,,,,,2,,,,,,,,,,,30,,,,,,
331005,294,莫迪伦之书,FFff46f0,4,1091,本,0,1,7011,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,藏在卡拉赞深处的魔法书籍，蕴含着强大的魔力，能让人重获新生，使用者所有已分配的属性还原为潜能点。,重置角色加点,4,161506,使用方法：点击使用,,,3,48,,,0,,,,,4,,,,,,,,,,1,,,,,,,
331101,310,10级武器模具,fffff2df,1,1137,个,10,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,10,,,,2,3,,,,,,,,,,30,,,,,,
331102,310,20级武器模具,fffff2df,1,1137,个,20,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,20,,,,2,3,,,,,,,,,,30,,,,,,
331103,310,30级武器模具,fffff2df,1,1137,个,30,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,30,,,,2,3,,,,,,,,,,30,,,,,,
331104,310,40级武器模具,fffff2df,1,1137,个,40,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,40,,,,2,3,,,,,,,,,,30,,,,,,
331105,310,50级武器模具,fffff2df,1,1137,个,50,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,50,,,,2,3,,,,,,,,,,30,,,,,,
331106,310,60级武器模具,fffff2df,1,1137,个,60,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,60,,,,2,3,,,,,,,,,,30,,,,,,
331107,310,70级武器模具,fffff2df,1,1137,个,70,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,70,,,,2,3,,,,,,,,,,30,,,,,,
331108,310,80级武器模具,fffff2df,1,1137,个,80,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,80,,,,2,3,,,,,,,,,,30,,,,,,
331109,310,90级武器模具,fffff2df,1,1137,个,90,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,90,,,,2,3,,,,,,,,,,30,,,,,,
331110,310,100级武器模具,fffff2df,1,1137,个,100,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,100,,,,2,3,,,,,,,,,,30,,,,,,
331111,310,110级武器模具,fffff2df,1,1137,个,110,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,110,,,,,,,,,,,,,,,30,,,,,,
331112,310,120级武器模具,fffff2df,1,1137,个,120,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,120,,,,,,,,,,,,,,,30,,,,,,
331113,310,130级武器模具,fffff2df,1,1137,个,130,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,130,,,,,,,,,,,,,,,30,,,,,,
331114,310,140级武器模具,fffff2df,1,1137,个,140,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,140,,,,,,,,,,,,,,,30,,,,,,
331115,310,150级武器模具,fffff2df,1,1137,个,150,1,7020,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理武器，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,150,,,,,,,,,,,,,,,30,,,,,,
331131,326,10级防具模具,fffff2df,1,1138,个,10,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,10,,,2,3,,,,,,,,,,30,,,,,,
331132,326,20级防具模具,fffff2df,1,1138,个,20,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,20,,,2,3,,,,,,,,,,30,,,,,,
331133,326,30级防具模具,fffff2df,1,1138,个,30,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,30,,,2,3,,,,,,,,,,30,,,,,,
331134,326,40级防具模具,fffff2df,1,1138,个,40,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,40,,,2,3,,,,,,,,,,30,,,,,,
331135,326,50级防具模具,fffff2df,1,1138,个,50,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,50,,,2,3,,,,,,,,,,30,,,,,,
331136,326,60级防具模具,fffff2df,1,1138,个,60,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,60,,,2,3,,,,,,,,,,30,,,,,,
331137,326,70级防具模具,fffff2df,1,1138,个,70,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,70,,,2,3,,,,,,,,,,30,,,,,,
331138,326,80级防具模具,fffff2df,1,1138,个,80,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,80,,,2,3,,,,,,,,,,30,,,,,,
331139,326,90级防具模具,fffff2df,1,1138,个,90,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,90,,,2,3,,,,,,,,,,30,,,,,,
331140,326,100级防具模具,fffff2df,1,1138,个,100,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,100,,,2,3,,,,,,,,,,30,,,,,,
331141,326,110级防具模具,fffff2df,1,1138,个,110,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,110,,,,,,,,,,,,,,30,,,,,,
331142,326,120级防具模具,fffff2df,1,1138,个,120,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,120,,,,,,,,,,,,,,30,,,,,,
331143,326,130级防具模具,fffff2df,1,1138,个,130,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,130,,,,,,,,,,,,,,30,,,,,,
331144,326,140级防具模具,fffff2df,1,1138,个,140,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,140,,,,,,,,,,,,,,30,,,,,,
331145,326,150级防具模具,fffff2df,1,1138,个,150,1,7021,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理衣服、头盔，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,150,,,,,,,,,,,,,,30,,,,,,
331161,342,10级饰品模具,fffff2df,1,1139,个,10,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,10,,2,3,,,,,,,,,,30,,,,,,
331162,342,20级饰品模具,fffff2df,1,1139,个,20,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,20,,2,3,,,,,,,,,,30,,,,,,
331163,342,30级饰品模具,fffff2df,1,1139,个,30,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,30,,2,3,,,,,,,,,,30,,,,,,
331164,342,40级饰品模具,fffff2df,1,1139,个,40,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,40,,2,3,,,,,,,,,,30,,,,,,
331165,342,50级饰品模具,fffff2df,1,1139,个,50,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,50,,2,3,,,,,,,,,,30,,,,,,
331166,342,60级饰品模具,fffff2df,1,1139,个,60,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,60,,2,3,,,,,,,,,,30,,,,,,
331167,342,70级饰品模具,fffff2df,1,1139,个,70,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,70,,2,3,,,,,,,,,,30,,,,,,
331168,342,80级饰品模具,fffff2df,1,1139,个,80,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,80,,2,3,,,,,,,,,,30,,,,,,
331169,342,90级饰品模具,fffff2df,1,1139,个,90,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,90,,2,3,,,,,,,,,,30,,,,,,
331170,342,100级饰品模具,fffff2df,1,1139,个,100,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,100,,2,3,,,,,,,,,,30,,,,,,
331171,342,110级饰品模具,fffff2df,1,1139,个,110,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,110,,,,,,,,,,,,,30,,,,,,
331172,342,120级饰品模具,fffff2df,1,1139,个,120,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,120,,,,,,,,,,,,,30,,,,,,
331173,342,130级饰品模具,fffff2df,1,1139,个,130,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,130,,,,,,,,,,,,,30,,,,,,
331174,342,140级饰品模具,fffff2df,1,1139,个,140,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,140,,,,,,,,,,,,,30,,,,,,
331175,342,150级饰品模具,fffff2df,1,1139,个,150,1,7022,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,用于打造或修理项链、鞋子、腰带，等级不能低于装备等级,,3,161506,使用方法：点击使用,,,3,6,,,0,,,150,,,,,,,,,,,,,30,,,,,,
331201,358,生命附魔卷轴,fffff2df,1,1054,张,1,1,7023,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,蕴含魔力的附魔卷轴，可以给衣服附加临时生命上限，效果持续12小时。,"<T t=""给衣服附加临时$parameter1$-$parameter2$生命"" c=""ff00ff00""></T>",3,161506,使用方法：点击使用,,,0,,,,0,,,,1,2,3,,,,,,,,,,30,,,,,,
331202,358,物攻附魔卷轴,fffff2df,1,1225,张,1,1,7023,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,蕴含魔力的附魔卷轴，可以给武器附加临时物理攻击，效果持续12小时。,"<T t=""给武器附加临时$parameter1$-$parameter2$物理攻击"" c=""ff00ff00""></T>",3,161506,使用方法：点击使用,,,0,,,,0,,,,2,2,3,,,,,,,,,,30,,,,,,
331203,358,法攻附魔卷轴,fffff2df,1,1067,张,1,1,7023,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,蕴含魔力的附魔卷轴，可以给项链附加临时法术攻击，效果持续12小时。,"<T t=""给项链附加临时$parameter1$-$parameter2$法术攻击"" c=""ff00ff00""></T>",3,161506,使用方法：点击使用,,,0,,,,0,,,,3,2,3,,,,,,,,,,30,,,,,,
331204,358,物防附魔卷轴,fffff2df,1,1068,张,1,1,7023,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,蕴含魔力的附魔卷轴，可以给头盔附加临时物理防御，效果持续12小时。,"<T t=""给头盔附加临时$parameter1$-$parameter2$物理防御"" c=""ff00ff00""></T>",3,161506,使用方法：点击使用,,,0,,,,0,,,,4,2,3,,,,,,,,,,30,,,,,,
331205,358,法防附魔卷轴,fffff2df,1,1069,张,1,1,7023,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,蕴含魔力的附魔卷轴，可以给鞋子附加临时法术防御，效果持续12小时。,"<T t=""给鞋子附加临时$parameter1$-$parameter2$法术防御"" c=""ff00ff00""></T>",3,161506,使用方法：点击使用,,,0,,,,0,,,,5,2,3,,,,,,,,,,30,,,,,,
331206,358,愤怒附魔卷轴,fffff2df,1,1070,张,1,1,7023,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,蕴含魔力的附魔卷轴，可以给腰带附加临时战斗初始愤怒上限，效果持续12小时。,"<T t=""给腰带附加临时$parameter1$-$parameter2$战斗初始愤怒上限"" c=""ff00ff00""></T>",3,161506,使用方法：点击使用,,,0,,,,0,,,,6,2,3,,,,,,,,,,30,,,,,,
331207,358,治疗附魔卷轴,fffff2df,1,1110,张,1,1,7023,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,蕴含魔力的附魔卷轴，可以给武器附加临时治疗强度，效果持续12小时。,"<T t=""给武器附加临时$parameter1$-$parameter2$治疗强度"" c=""ff00ff00""></T>",3,161506,使用方法：点击使用,,,0,,,,0,,,,7,2,3,,,,,,,,,,30,,,,,,
331208,358,控制附魔卷轴,fffff2df,1,1109,张,1,1,7023,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,蕴含魔力的附魔卷轴，可以给衣服附加临时控制命中和控制抗性，效果持续12小时。,"<T t=""给衣服附加临时$parameter1$-$parameter2$控制命中和$parameter3$-$parameter4$控制抗性"" c=""ff00ff00""></T>",3,161506,使用方法：点击使用,,,0,,,,0,,,,8,2,3,,,,,,,,,,30,,,,,,
331209,358,速度附魔卷轴,fffff2df,1,1111,张,1,1,7023,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,蕴含魔力的附魔卷轴，可以给鞋子附加临时速度，效果持续12小时。,"<T t=""给鞋子附加临时$parameter1$-$parameter2$速度"" c=""ff00ff00""></T>",3,161506,使用方法：点击使用,,,0,,,,0,,,,9,2,3,,,,,,,,,,30,,,,,,
331210,358,封印附魔卷轴,fffff2df,1,1109,张,1,1,7023,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,蕴含魔力的附魔卷轴，可以给武器附加临时封印命中，效果持续12小时。,"<T t=""给武器附加临时$parameter1$-$parameter2$封印命中"" c=""ff00ff00""></T>",3,161506,使用方法：点击使用,,,0,,,,0,,,,10,2,3,,,,,,,,,,30,,,,,,
331211,358,体质附魔卷轴,fffff2df,1,1067,张,1,1,7023,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,蕴含魔力的附魔卷轴，可以给项链附加临时体质，效果持续12小时。,"<T t=""给项链附加临时$parameter1$-$parameter2$体质"" c=""ff00ff00""></T>",3,161506,使用方法：点击使用,,,0,,,,0,,,,11,2,3,,,,,,,,,,30,,,,,,
