"编号","类型","部件ID","显示名","功能说明","道具名颜色","颜色品质","装备颜色","装备前缀","造型编号","武器造型编号","武器特效编号","单位","等级","需求等级","排序ID","角色需求1","角色需求2","性别需求","职业需求","可否摧毁","可否摆摊上架","点卡服可否摆摊上架","默认有效时间","不能被放入的包裹id1","不能被放入的包裹id2","不能被放入的包裹id3","可否给予战斗中对象","可否卖店","能否邮寄","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","珍品找回消耗","描述","售卖商店类型","售卖NPCID","道具使用方法","道具类名","道具类名1","赠送类型","亲密度","货币类型","从NPC购买价","出售价格系数","对应使用方法答案ID","点击寻路链接及右键使用事件","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","淬炼等级","是否已鉴定","耐久度系数","耐久上限","附加属性1值","附加属性2值","附加属性3值","附加属性1id","附加属性2id","附加属性3id","属性值1","属性值2","属性值3","属性值4","属性值5","属性值6","属性名1","属性名2","属性名3","属性名4","属性名5","属性名6","增加躲闪","增加命中","增加内功防御","增加内功伤害","增加速度","增加外功防御","增加外功伤害","增加真气上限","增加最大生命上限","封印抗性","加强封印","特技id","是否生成特殊属性","套装id","附加属性条数","绿色评分","蓝色评分","橙色评分","紫色评分","暗金色评分","特效id","左手路径1","左手路径2","右手路径1","右手路径2","左手挂点1","左手挂点2","右手挂点1","右手挂点2","宝石槽数量","槽1开启等级","槽2开启等级","槽3开启等级","可镶嵌最高等级宝石","可镶嵌宝石类型1","可镶嵌宝石类型2","可镶嵌宝石类型3","可镶嵌宝石类型4","可镶嵌宝石类型5","宝石1","宝石2","宝石3","宝石4","宝石5","宝石6","宝石7","宝石8","宝石9","宝石10","装备基础属性ID","附加属性随机库ID","附加属性出现几率","附加属性双加随机库ID","附加属性单加随机库ID","附加属性三加随机库ID","附加属性四加随机库ID","特效随机库ID","特效随机库1ID","特技随机库ID","装备普通修理失败几率","装备修理材料ID","装备修理材料消耗数量","装备修理材料ID1","装备修理材料消耗数量1","装备修理材料ID2","装备修理材料消耗数量2","装备修理材料ID3","装备修理材料消耗数量3","装备修理材料ID4","装备修理材料消耗数量4","装备修理材料ID5","装备修理材料消耗数量5","装备修理材料ID6","装备修理材料消耗数量6","装备修理材料ID7","装备修理材料消耗数量7","装备修理材料ID8","装备修理材料消耗数量8","装备修理材料ID9","装备修理材料消耗数量9","装备修理材料ID10","装备修理材料消耗数量10","装备特殊修理材料ID","装备特殊修理材料消耗数量","装备普通修理消耗金钱","普通修理消耗金钱类型","装备特殊修理消耗金钱","特殊修理消耗金钱类型","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","珍品评分","是否自动分解","分解获得银币","分解额外获得物品1","分解额外获得物品2","分解额外获得物品3","分解额外获得物品4","分解额外获得物品5","是否自动播放特效","是否有分解按钮","摆摊冻结时间","是否稀有","寻路特殊处理","装备重铸需求道具","装备重铸需求数量","装备重铸需求货币","装备点化需求道具id","装备点化需求道具数量","装备点化需求金钱数量","装备附魔需求道具","装备附魔需求数量","装备附魔需求货币","装备熔炼需求道具","装备熔炼需求道具数量","装备熔炼需求金币数量","进阶后道具ID","进阶需求道具ID","进阶需求道具数量","进阶需求金币","是否可以一键分解","特殊用途1","特殊用途2","特殊用途3","特殊用途4","特殊用途5","双加属性值限制ID"
"4001105","2824","0","试练之杖","1级白装魔棒","fffff2df","1","1","1","1541","501","","件","1","1","2001","","","0","15;16","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","适用于初学者的法杖。","1","161504","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","0","2","4","7","8","","","","","","","","","","","","","","0","","","","","","","","50","","","331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","200","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4001106","4104","0","静息之杖","1级白装法杖","fffff2df","1","1","1","1541","601","","件","1","1","2001","","","0","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","原本专门为试图抑制体内魔性的狼人设计，后来发现对于刚入行的魔法师煅炼气息也是有很大帮助。","1","161504","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","0","2","4","7","8","","","","","","","","","","","","","","0","","","","","","","","50","","","331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","200","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4001207","312","3","毒尾胸甲","1级白装男衣","fffff2df","1","5","1","1464","1432","","件","1","1","2301","","","1","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","毒尾是一种生长的亚寒带的植物，质地坚韧，透气性却差了些。","1","161504","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","0","1","3","5","7","","","","","","","","","","","","","","0","","","","","","","","50","","","331131","1","331132","1","331133","1","331134","1","331135","1","331136","1","331137","1","331138","1","331139","1","331140","1","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","200","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4001208","568","3","火纹外套","1级白装女衣","fffff2df","1","5","1","1453","1436","","件","1","1","2301","","","2","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","本来是因为制作失误，后来却因为时髦的纹路流行起来","1","161504","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","0","1","3","5","7","","","","","","","","","","","","","","0","","","","","","","","50","","","331131","1","331132","1","331133","1","331134","1","331135","1","331136","1","331137","1","331138","1","331139","1","331140","1","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","200","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4001309","1640","1","毒尾头盔","1级白装男头盔","fffff2df","1","5","1","1442","1698","","件","1","1","2101","","","1","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","毒尾是一种生长的亚寒带的植物，质地坚韧，透气性却差了些。","1","161504","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","0","2","3","","","","","","","","","","","","","","","","0","","","","","","","","50","","","331131","1","331132","1","331133","1","331134","1","331135","1","331136","1","331137","1","331138","1","331139","1","331140","1","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","200","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4001310","1384","1","火纹头饰","1级白装女头饰","fffff2df","1","5","1","1508","1698","","件","1","1","2101","","","2","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","本来是因为制作失误，后来却因为时髦的纹路流行起来","1","161504","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","0","2","3","","","","","","","","","","","","","","","","0","","","","","","","","50","","","331131","1","331132","1","331133","1","331134","1","331135","1","331136","1","331137","1","331138","1","331139","1","331140","1","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","200","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4001411","40","2","流云项链","1级白装项链","fffff2df","1","5","1","1475","1434","","件","1","1","2201","","","0","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","优雅飘逸，曾经是贵族专属。","1","161504","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","0","4","5","","","","","","","","","","","","","","","","0","","","","","","","","50","","","331161","1","331162","1","331163","1","331164","1","331165","1","331166","1","331167","1","331168","1","331169","1","331170","1","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","200","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4001512","72","4","凯帕腰带","1级白装腰带","fffff2df","1","5","1","1486","1435","","件","1","1","2401","","","0","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","没有人蠢到用自己的名字给军用装备起名字，但是真有人这么做了。","1","161504","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","0","1","6","9","","","","","","","","","","","","","","","0","","","","","","","","50","","","331161","1","331162","1","331163","1","331164","1","331165","1","331166","1","331167","1","331168","1","331169","1","331170","1","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","200","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4001613","88","5","火纹长靴","1级白装鞋子","fffff2df","1","5","1","1497","1429","","件","1","1","2501","","","0","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","本来是因为制作失误，后来却因为时髦的纹路流行起来","1","161504","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","0","6","9","","","","","","","","","","","","","","","","0","","","","","","","","50","","","331161","1","331162","1","331163","1","331164","1","331165","1","331166","1","331167","1","331168","1","331169","1","331170","1","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","200","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4010101","1288","0","精炼之剑","10级白装剑","fffff2df","1","1","1","1530","401","","件","10","10","2001","","","0","18;19","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","工匠们精心炼制的长剑。","1","161504","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","0","2","4","7","8","","","","","","","","","","","","","","0","","","","","","","","50","","","331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","400","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4010102","4360","0","精炼之锤","10级白装锤","fffff2df","1","1","1","1520","201","","件","10","10","2001","","","0","17;14","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","工匠们精心炼制的战锤。","1","161504","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","0","2","4","7","8","","","","","","","","","","","","","","0","","","","","","","","50","","","331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","400","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4010103","1800","0","精炼长弓","10级白装匕首","fffff2df","1","1","1","1510","301","","件","10","10","2001","","","0","13","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","工匠们精心炼制的长弓。","1","161504","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","0","2","4","7","8","","","","","","","","","","","","","","0","","","","","","","","50","","","331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","400","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4010104","3080","0","精炼巨斧","10级白装爪","fffff2df","1","1","1","1550","101","","件","10","10","2001","","","0","11;12","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","工匠们精心炼制的巨斧。","1","161504","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","0","2","4","7","8","","","","","","","","","","","","","","0","","","","","","","","50","","","331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","400","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
