"技能格ID","是否主技能格","是否绝技","可学等级上限","技能格名称","影响技能ID1","影响技能ID2","影响技能ID3","影响技能ID4","影响技能ID5","所属职业ID","依赖技能格ID","依赖技能格等级要求","绝技依赖技能格等级要求","技能格学习消耗规则","技能格附加属性类型","技能格附加属性公式系数a","技能格附加属性公式系数b","技能格附加属性公式系数c","技能格描述","技能格文案包装","技能格图标不可用","技能格图标悬浮","技能格图标正常","技能格图标按下","技能格位置x","技能格位置y","技能格等级位置x","技能格等级位置y","女技能格位置x","女技能格位置y","女技能格等级位置x","女技能格等级位置y"
"1312","false","false","180","鹰击","130001","","","","","13","1311","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1313","false","false","180","狮搏","130002","","","","","13","1311","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1314","false","false","180","魔息术","130003","130008","","","","13","1311","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1315","false","false","180","象形","130004","130009","","","","13","1311","20","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1316","false","false","180","连环击","130005","130010","","","","13","1311","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1317","false","false","180","神力无穷","130006","300406","","","","13","1311","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1318","false","true","3","绝技鹰击长空","130007","","","","","13","1311,1312,1313,1314,1315,1316,1317","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1319","false","false","1","爪印","130012","","","","","13","1311","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1320","false","false","1","化血","130013","","","","","13","1311","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1321","false","false","1","威压","130014","","","","","13","1311","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1322","false","false","1","九天","130015","","","","","13","1311","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1323","false","false","1","怒火","130016","","","","","13","1311","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1324","false","false","1","死地","130017","","","","","13","1311","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1325","false","false","1","额外能力","130018","","","","","13","1311","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1326","false","false","1","迅捷","130019","","","","","13","1311","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1327","false","false","1","宁息","130020","","","","","13","1311","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1328","false","false","1","怒象","130021","","","","","13","1311","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1329","false","false","1","魔息","130022","","","","","13","1311","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1330","false","false","1","狂袭","130023","","","","","13","1311","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1331","false","false","1","乱击","130024","","","","","13","1311","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1332","false","false","1","背水","130025","","","","","13","1311","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1333","false","false","1","驭兽","130026","","","","","13","1311","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1334","false","false","1","兽王","130027","","","","","13","1311","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1335","false","false","1","虎啸","130028","","","","","13","1311","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1336","false","false","1","协战","130029","","","","","13","1311","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1337","false","false","1","癫狂","130030","","","","","13","1311","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1338","false","false","1","肝胆","130031","","","","","13","1311","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1339","false","false","1","嗜血狂魔","130032","","","","","13","1311","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1411","true","false","180","地府","140000","","","","","14","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1412","false","false","180","地府","140001","","","","","14","1411","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1413","false","false","180","地府","140002","","","","","14","1411","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1414","false","false","180","地府","140003","140008","","","","14","1411","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1415","false","false","180","地府","140004","140009","","","","14","1411","20","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1416","false","false","180","地府","140005","140010","","","","14","1411","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1417","false","false","180","地府","140006","300405","","","","14","1411","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1418","false","true","3","地府","140007","","","","","14","1411,1412,1413,1414,1415,1416,1417","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1419","false","false","1","阎罗","140012","","","","","14","1411","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1420","false","false","1","入骨","140013","","","","","14","1411","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1421","false","false","1","索魂","140014","","","","","14","1411","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1422","false","false","1","黄泉","140015","","","","","14","1411","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1423","false","false","1","幽光","140016","","","","","14","1411","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1424","false","false","1","魂飞","140017","","","","","14","1411","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1425","false","false","1","额外能力","140018","","","","","14","1411","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1426","false","false","1","回旋","140019","","","","","14","1411","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1427","false","false","1","聚魂","140020","","","","","14","1411","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1428","false","false","1","伤魂","140021","","","","","14","1411","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1429","false","false","1","幽冥","140022","","","","","14","1411","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1430","false","false","1","泉爆","140023","","","","","14","1411","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1431","false","false","1","汲魂","140024","","","","","14","1411","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1432","false","false","1","魍魉追魂","140025","","","","","14","1411","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1433","false","false","1","夜行","140026","","","","","14","1411","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1434","false","false","1","拘魄","140027","","","","","14","1411","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1435","false","false","1","瘴幕","140028","","","","","14","1411","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1436","false","false","1","冥视","140029","","","","","14","1411","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1437","false","false","1","鬼火","140030","","","","","14","1411","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1438","false","false","1","扼命","140031","","","","","14","1411","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1439","false","false","1","勾魂阎罗","140032","","","","","14","1411","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1511","true","false","180","九龙诀","150000","","","","","15","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1512","false","false","180","龙卷雨击","150001","","","","","15","1511","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1513","false","false","180","龙腾","150002","","","","","15","1511","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1514","false","false","180","逆鳞","150003","150008","","","","15","1511","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1515","false","false","180","龙吟","150004","150009","","","","15","1511","20","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1516","false","false","180","清心","150005","150010","","","","15","1511","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1517","false","false","180","龙附","150006","300402","","","","15","1511","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1518","false","true","3","绝技魔浪滔天","150007","","","","","15","1511,1512,1513,1514,1515,1516,1517","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1519","false","false","1","波涛","150012","","","","","15","1511","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1520","false","false","1","叱咤","150013","","","","","15","1511","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1521","false","false","1","逐浪","150014","","","","","15","1511","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1522","false","false","1","龙慑","150015","","","","","15","1511","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1523","false","false","1","骇浪","150016","","","","","15","1511","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1524","false","false","1","汹涌","150017","","","","","15","1511","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1525","false","false","1","额外能力","150018","","","","","15","1511","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1526","false","false","1","破浪","150019","","","","","15","1511","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1527","false","false","1","踏涛","150020","","","","","15","1511","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1528","false","false","1","龙珠","150021","","","","","15","1511","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1529","false","false","1","傲翔","150022","","","","","15","1511","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1530","false","false","1","月光","150023","","","","","15","1511","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1531","false","false","1","龙魄","150024","","","","","15","1511","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1532","false","false","1","亢龙归海","150025","","","","","15","1511","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1533","false","false","1","狂浪","150026","","","","","15","1511","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1534","false","false","1","龙哮","150027","","","","","15","1511","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1535","false","false","1","龙息","150028","","","","","15","1511","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1536","false","false","1","飞龙","150029","","","","","15","1511","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1537","false","false","1","戏珠","150030","","","","","15","1511","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1538","false","false","1","斩浪","150031","","","","","15","1511","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1539","false","false","1","海中蛟虬","150032","","","","","15","1511","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1611","true","false","180","金刚经","160000","","","","","16","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1612","false","false","180","五行咒","160001","","","","","16","1611","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1613","false","false","180","普渡众生","160002","","","","","16","1611","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1614","false","false","180","杨柳甘露","160003","160008","","","","16","1611","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1615","false","false","180","灵动九天","160004","160009","","","","16","1611","20","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1616","false","false","180","微风拂柳","160005","160010","","","","16","1611","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1617","false","false","180","莲花妙法","160006","300403","","","","16","1611","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1618","false","true","3","绝技沐日慈悲","160007","","","","","16","1611,1612,1613,1614,1615,1616,1617","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1619","false","false","1","推衍","160012","","","","","16","1611","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1620","false","false","1","莲花心音","160013","","","","","16","1611","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1621","false","false","1","劳心","160014","","","","","16","1611","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1622","false","false","1","甘露","160015","","","","","16","1611","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1623","false","false","1","法华","160016","","","","","16","1611","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1624","false","false","1","玉帛","160017","","","","","16","1611","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1625","false","false","1","额外能力","160018","","","","","16","1611","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1626","false","false","1","化戈","160019","","","","","16","1611","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1627","false","false","1","精心","160020","","","","","16","1611","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1628","false","false","1","普渡","160021","","","","","16","1611","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1629","false","false","1","清净","160022","","","","","16","1611","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1630","false","false","1","灵动","160023","","","","","16","1611","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1631","false","false","1","雨润","160024","","","","","16","1611","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1632","false","false","1","波澜不惊","160025","","","","","16","1611","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1633","false","false","1","普照","160026","","","","","16","1611","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1634","false","false","1","慈佑","160027","","","","","16","1611","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1635","false","false","1","度厄","160028","","","","","16","1611","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1636","false","false","1","莲动","160029","","","","","16","1611","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1637","false","false","1","感念","160030","","","","","16","1611","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1638","false","false","1","道衍","160031","","","","","16","1611","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1639","false","false","1","莲台仙子","160032","","","","","16","1611","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1711","true","false","180","氏族之力","161000","","","","","17","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1712","false","false","180","闪电风暴","161001","","","","","17","1711","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1713","false","false","180","守护印记","161002","","","","","17","1711","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1714","false","false","180","五雷轰顶","161003","161008","","","","17","1711","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1715","false","false","180","先祖印记","161004","161009","","","","17","1711","20","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1716","false","false","180","魔王降临","161005","161010","","","","17","1711","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1717","false","false","180","引火乘风","161006","300409","","","","17","1711","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1718","false","true","3","绝技飞星流火","161007","","","","","17","1711,1712,1713,1714,1715,1716,1717","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1719","false","false","1","充沛","161015","","","","","17","1711","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1720","false","false","1","蚀天","161016","","","","","17","1711","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1721","false","false","1","火神","161017","","","","","17","1711","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1722","false","false","1","神焰","161018","","","","","17","1711","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1723","false","false","1","咆哮","161019","","","","","17","1711","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1724","false","false","1","威吓","161020","","","","","17","1711","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1725","false","false","1","额外能力","161021","","","","","17","1711","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1726","false","false","1","震怒","161022","","","","","17","1711","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1727","false","false","1","邪火","161023","","","","","17","1711","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1728","false","false","1","震天","161024","","","","","17","1711","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1729","false","false","1","崩摧","161025","","","","","17","1711","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1730","false","false","1","狂月","161026","","","","","17","1711","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1731","false","false","1","连营","161027","","","","","17","1711","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1732","false","false","1","魔焰滔天","161028","","","","","17","1711","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1733","false","false","1","激怒","161029","","","","","17","1711","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1734","false","false","1","赤暖","161030","","","","","17","1711","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1735","false","false","1","真炎","161031","","","","","17","1711","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1736","false","false","1","焚尽","161032","","","","","17","1711","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1737","false","false","1","燃魂","161033","","","","","17","1711","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1738","false","false","1","魔心","161034","","","","","17","1711","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1739","false","false","1","平天大圣","161035","","","","","17","1711","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1811","true","false","180","时之月","162000","","","","","18","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1812","false","false","180","月影摇光","162001","","","","","18","1811","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1813","false","false","180","碎玉击","162002","","","","","18","1811","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1814","false","false","180","月刃","162003","162008","","","","18","1811","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1815","false","false","180","桂花醉","162004","162009","","","","18","1811","20","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1816","false","false","180","月凝","162005","162010","","","","18","1811","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1817","false","false","180","羽衣曲","162006","300408","","","","18","1811","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1818","false","true","3","绝技广寒清辉","162007","","","","","18","1811,1812,1813,1814,1815,1816,1817","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1819","false","false","1","威吓","162012","","","","","18","1811","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1820","false","false","1","趁虚","162013","","","","","18","1811","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1821","false","false","1","震慑","162014","","","","","18","1811","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1822","false","false","1","苏醒","162015","","","","","18","1811","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1823","false","false","1","月桂","162016","","","","","18","1811","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
