"编号","名称","原模型替换备注","玩法调用","称谓","造型id","随机造型id","显示血量","显示大血条","显示等级","战斗单位类型","怪物类型","特殊类型","职业","类型","大小比例","area1colour","area2colour","对应宠物","颜色几率id","是否绑定","等级模式","NPC等级","怪物匹配最小等级","怪物匹配最大等级","能否捕捉","能否捕捉2","捕捉几率","逃跑几率","免疫状态id","反击几率","反击伤害系数","初始属性点","初始属性分配类型","每级新增属性点","每级体质加点","每级智力加点","每级力量加点","每级耐力加点","每级敏捷加点","怪物体资","怪物法资","怪物攻资","怪物防资","怪物速资","怪物躲资","怪物成长率","治疗强度成长","控制命中成长","控制抗性成长","暗雷加点1","暗雷加点2","暗雷加点3","暗雷加点4","技能1编号","技能2编号","技能3编号","技能4编号","技能5编号","技能6编号","技能7编号","技能1出现几率","技能2出现几率","技能3出现几率","技能4出现几率","技能5出现几率","技能6出现几率","技能7出现几率","技能1施放几率","技能2施放几率","技能3施放几率","技能4施放几率","技能5施放几率","技能6施放几率","技能7施放几率","AI编号","金属性吸收","木属性吸收","水属性吸收","火属性吸收","土属性吸收","加强封印","封印抗性","外功暴击等级","外功暴击程度","外功暴击抗性","内功暴击等级","内功暴击抗性","内功暴击程度","反击等级","反击程度","单场反击次数","反击抗性","外功反震等级","外功反震程度","外功反震抗性","连击率","连击次数","追击率","追击次数","修炼等级基准","物攻修炼等级","物防修炼等级","法攻修炼等级","法防修炼等级","强封修炼等级","封抗修炼等级","技能1系数","技能2系数","技能3系数","技能4系数","技能5系数","技能6系数","技能7系数","技能1常数","技能2常数","技能3常数","技能4常数","技能5常数","技能6常数","技能7常数"
"22014","牛妖","虾兵","","","","","1","","0","4","1","","","2","1","0","0","500215","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3240","1800","720","720","0","1450","1066","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206066","207008","206054","206053","","","","1001","333","333","333","","","","0","500","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22015","虾兵","蟹将","","","","","1","","0","4","1","","","2","1","0","0","500216","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2700","1200","1080","720","0","1200","1066","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206067","206002","206001","206026","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22016","蟹将","蟹将","","","","","1","","0","4","1","","","2","1","0","0","500217","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2700","1200","1080","720","0","1350","1066","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206067","206002","206001","206026","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22017","马面","远古瑞兽","","","","","1","","0","4","1","","","2","1","0","0","500218","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3240","1200","1080","720","0","1500","1066","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206066","206003","206033","206016","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22018","牛头","野猪","","","","","1","","0","4","1","","","2","1","0","0","500219","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3365","1245","1125","935","0","1400","1096","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206053","206050","206037","206020","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22019","千年僵尸","野猪","","","","","1","","0","4","1","","","2","1","0","0","500220","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3365","1245","1125","935","0","1550","1096","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206053","206050","206037","206020","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22020","蜘蛛精","野猪","","","","","1","","0","4","1","","","2","1","0","0","500221","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3365","1245","1125","935","0","1550","1096","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206053","206050","206037","206020","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22021","古代瑞兽","吸血蝙蝠","","","","","1","","0","4","1","","","2","1","0","0","500222","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2810","1245","1125","750","0","1500","1096","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206049","206019","206072","206037","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22022","雷鸟人","吸血蝙蝠","","","","","1","","0","4","1","","","2","1","0","0","500223","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2810","1245","1125","750","0","1200","1096","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206049","206019","206072","206037","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22023","兔子怪","鲛将军","","","","","1","","0","4","1","","","2","1","0","0","500224","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3365","1875","750","935","0","1200","1096","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206058","206030","207001","206014","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22024","地狱战神","千年僵尸","","","","","1","","0","4","1","","","2","1","0","0","500225","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2915","1295","1165","780","0","1200","1126","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206005","206019","206037","206001","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22025","风波","千年僵尸","","","","","1","","0","4","1","","","2","1","0","0","500226","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2915","1295","1165","780","0","1450","1126","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206005","206019","206037","206001","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22026","天兵","千年僵尸","","","","","1","","0","4","1","","","2","1","0","0","500227","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2915","1295","1165","780","0","1450","1126","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206005","206019","206037","206001","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22027","凤凰仙子","孤魂野鬼","","","","","1","","0","4","1","","","2","1","0","0","500228","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2335","1940","780","1165","0","1250","1126","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206029","206032","207003","206006","","","","1001","333","333","333","","","","0","500","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22028","蛟龙","孤魂野鬼","","","","","1","","0","4","1","","","2","1","0","0","500229","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2335","1940","780","1165","0","1700","1126","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206029","206032","207003","206006","","","","1001","333","333","333","","","","0","500","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22029","嘲风","布雨神君","","","","","1","","0","4","1","","","2","1","0","0","500230","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3500","1620","1165","780","0","1800","1126","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206063","206017","206005","206004","206036","","","1001","1001","333","333","333","","","0","0","0","0","0","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22030","吸血鬼","夜叉","","","","","1","","0","4","1","","","2","1","0","0","500231","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3025","2015","805","1210","0","1750","1156","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206058","207007","206046","206011","","","","1001","333","333","333","","","","0","500","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22031","芙蓉仙子","夜叉","","","","","1","","0","4","1","","","2","1","0","0","500232","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3025","2015","805","1210","0","1800","1156","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206058","207007","206046","206011","","","","1001","333","333","333","","","","0","500","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
