"编号","名称","随机名称库","前缀1","前缀2","area1colour","area2colour","大小比例","npctype","小地图显示","npccolour","share","modelID","可否被多人战斗","杂学id","map","编辑器X坐标（策划用）","编辑器Y坐标（策划用）","xPos","yPox","朝向","状态","所在地图层","小地图查询拼音","小地图查询","脚下称谓","头顶特效","脚下称谓策划看","chitchat1","chitchat2","chitchat3","chitchat4","chitchat5","leave","hideable","声音1","声音2","声音3","声音4","是否显示在周围列表","战斗ID","小地图npc颜色","时间","是否点卡服显示"
"161525","杨戬","","","","3","3","1","1","1","FF5eff70","0","1020024","0","-1","1615","2872","1206","142","48","3","","0","shengsi","杨戬","生死决斗","","杨戬","2024","","","","","告辞","0","180148_02.ogg","","","","0","","FF305027","0",""
"161526","帮派接引人","","","","0","0","1","1","1","ffffffff","0","1030014","0","-1","1615","2240","2624","176","177","3","","0","gonghuiguanliyuan","帮派管理员","","","帮派管理员","2032","","","","","告辞","0","180154_11.ogg","","","","0","","ff8c5e2a","0",""
"161531","帮派竞赛接引人","","","","0","0","1","1","1","FF5eff70","0","1030010","0","-1","1615","1935","2298","113","27","3","","0","shanghuihuizhang","帮派竞赛接引人","","","帮派竞赛接引人","2025","","","","","告辞","0","180136_07.ogg","","","","0","","FF305027","0",""
"161520","比武接引人","","","","2","2","1","1","1","ffffffff","0","1020024","0","-1","1615","2331","2548","137","70","5","","0","jingjidashi","比武接引人","","Acc4","比武接引人","2026","","","","","告辞","0","180180_03.ogg","","","","0","","ff8c5e2a","0",""
"161519","华山接引人","","","","1","1","1","1","1","ffffffff","0","1020024","0","-1","1615","2240","2624","120","60","5","","0","jingjidashi","华山接引人","","Acc5","华山接引人","2025","","","","","告辞","0","180153_04.ogg","","","","0","","ff8c5e2a","0",""
"161518","竞技场接引人","","","","0","0","1","1","1","ffffffff","0","1030010","0","-1","1615","2130","2553","84","50","3","","0","jingjidashi","竞技场接引人","","","竞技场接引人","2027","","","","","告辞","0","180153_04.ogg","","","","0","","ff8c5e2a","0",""
"161515","门派闯关使者","","","","0","0","1","1","1","ffffffff","0","1030013","0","-1","1615","1655","2024","103","126","3","","0","jingjidashi","门派闯关使者","","","门派闯关使者","2065","","","","","告辞","0","180146_01.ogg","","","","0","","ff8c5e2a","0",""
"161535","吴举人","","","","0","0","1","1","1","FF5eff70","0","1030011","0","-1","1615","3424","432","213","175","3","","0","jingjidashi","吴举人","","","吴举人","2022","","","","","告辞","0","180145_05.ogg","","","","0","","FF305027","0",""
"221706","伤害测试员","","","","0","0","1","7","0","ffffffff","0","1030015","0","-1","1615","2130","2553","112","72","3","","0","","剑侠客","","Add10xzise.","剑侠客","2031","","","","","告辞","0","180153_04.ogg","","","","0","8977","ff8c5e2a","0",""
"221708","兵器铺老板","","","","0","0","1","7","1","FF5eff70","0","1030007","0","-1","1615","2331","2548","85","79","3","","0","","兵器铺老板","","","兵器铺老板","2033","","","","","告辞","0","180155_03_4.ogg","","","","0","","FF305027","0",""
"221801","副本入口","","","","0","0","1","1","1","FF5eff70","0","1020006","0","-1","1615","2256","2080","201","36","3","","0","maidiwen","副本入口","","","副本入口","2029","","","","","告辞","0","180151_02.ogg","","","","0","","FF305027","0",""
"221802","吉里吉里","","","","0","0","1.2","1","1","FF5eff70","0","1400004","0","-1","1615","2256","2080","201","36","3","","0","maidiwen","吉里吉里","积分兑换商城","","吉里吉里","2029","","","","","告辞","0","180151_02.ogg","","","","0","","FF305027","0",""
"260013","郑镖头","","","","0","0","1","1","1","FF5eff70","0","1030014","0","-1","1615","2240","2624","34","139","3","","0","changfengbiaoju","郑镖头","运镖任务","Acc7","郑镖头","2030","","","","","告辞","0","180152_03.ogg","","","","0","","FF305027","0",""
"88948","王铁匠","","","","0","0","1","1","1","ffffffff","0","1030014","0","-1","1615","2872","1206","244","98","5","","0","","长安铁匠","","","","2062","","","","","告辞","0","","","","","0","","ff8c5e2a","0",""
"290368","月老","","","","0","0","1","7","1","ffffffff","0","1030030","0","-1","1615","2240","2624","236","40","3","","0","shanghuihuizhang","月老","结婚","","结婚","3600","","","","","告辞","0","180150_03.ogg","","","","0","","ff8c5e2a","0",""
"161536","福利使者","","","","0","0","1","7","1","FF5eff70","0","1020028","0","-1","1615","1935","2298","107","94","3","","0","","礼物使者","礼包码兑换","","月卡商店","2064","","","","","告辞","0","180162_02.ogg","","","","0","","FF305027","0",""
"161539","宠物大使","","","","0","0","1","1","1","FF5eff70","0","1300005","0","-1","1615","2004","1624","125","101","3","","0","","珍兽兑换","珍兽兑换","","月卡商店","","","","","","告辞","0","180162_02.ogg","","","","0","","FF305027","0",""
"161540","灵兽大使","","","","0","0","1","1","1","FF5eff70","0","1300006","0","-1","1615","2004","1624","125","101","3","","0","","灵兽兑换","灵兽兑换","","月卡商店","","","","","","告辞","0","180162_02.ogg","","","","0","","FF305027","0",""
"1615001","超级神羊","","","","0","0","1","1","0","fffdff5d","0","1200001","0","-1","1615","3424","432","124","133","3","","0","","","","","神兽","2034","2034","2034","2034","","告辞","0","180155_15.ogg","180156_07.ogg","180159_03.ogg","180160_03.ogg","0","","ff3e2000","0",""
"1615002","超级泡泡","","","","0","0","1","1","0","fffdff5d","0","1200002","0","-1","1615","3424","432","130","130","3","","0","","","","","神兽","2035","2035","2035","2035","","告辞","0","180156_07.ogg","180155_15.ogg","180160_03.ogg","180159_03.ogg","0","","ff3e2000","0",""
"1615003","超级九色鹿","","","","0","0","1","1","0","fffdff5d","0","1200003","0","-1","1615","3424","432","133","126","3","","0","","","","","神兽","2036","2036","2036","2036","","告辞","0","180159_03.ogg","180156_07.ogg","180155_15.ogg","180160_03.ogg","0","","ff3e2000","0",""
"1615004","超级大熊猫","","","","0","0","1","1","0","fffdff5d","0","1200004","0","-1","1615","3424","432","136","122","3","","0","","","","","神兽","2037","2037","2037","2037","","告辞","0","180160_03.ogg","180155_15.ogg","180159_03.ogg","180156_07.ogg","0","","ff3e2000","0",""
"1615100","寻仇的强盗","","","","1","1","1","1","0","ff00ff0d","0","1020022","0","-1","1615","2240","2624","145","104","3","","0","gonghuiguanliyuan","寻仇的强盗","","","寻仇的强盗","2079","","","","","告辞","1","","","","","0","","ff003303","0",""
"1615101","岁月无殇","","","","3","3","1","1","0","ff00ff0d","0","1011124","0","-1","1615","2240","2624","145","104","3","","0","gonghuiguanliyuan","再续花少","","","再续花少","2081","","","","","告辞","1","","","","","0","","ff003303","0",""
"1615102","兰尼","","","","3","3","1","1","0","ff00ff0d","0","1011129","0","-1","1615","2240","2624","145","104","3","","0","gonghuiguanliyuan","夕阳海岸之墨","","","夕阳海岸之墨","2081","","","","","告辞","1","","","","","0","","ff003303","0",""
"1615103","贪吃鬼夜叉","","","","0","0","1","1","0","ff00ff0d","0","1100701","0","-1","1615","2240","2624","191","122","3","","0","gonghuiguanliyuan","贪吃鬼夜叉","","","贪吃鬼夜叉","2082","","","","","告辞","1","","","","","0","","ff003303","0",""
"161517","陈员外","","","","0","0","1","1","1","fffdff5d","0","1030007","0","-1","1615","2832","3343","20","220","5","","0","lieren","","","","0","2048","","","","","告辞","0","","","","","0","","ff3e2000","0",""
"161522","吉里吉里","","","","0","0","1","1","0","fffdff5d","0","1300005","0","-1","1615","394","801","49","102","3","","0","jilijili","吉里吉里","","","吉里吉里","2014","","","","","告辞","0","180155_15.ogg","180156_07.ogg","180159_03.ogg","180160_03.ogg","0","","ff3e2000","0",""
"161512","兰虎","","","","0","0","1","1","1","fffdff5d","0","1030014","0","-1","1615","1214","2129","162","61","3","","0","fubenguanliyuan","擂台管理员","擂台管理员","","角斗场管理员","2269","","","","","告辞","0","180146_01.ogg","","","","0","","ff3e2000","0",""
"161508","罗道人","","","","0","0","1","1","0","ff00ff0d","0","1010101","0","-1","1615","1016","1723","235","130","3","","0","kadejia","罗道人","","","星界学徒","","","","","","告辞","0","","","","","0","","ff003303","0",""
"161527","超级泡泡使者","","","","2","3","1.3","1","1","ff00ff0d","0","1010101","0","-1","1615","2240","2624","130","109","3","","0","gonghuiguanliyuan","超级泡泡使者","神兽兑换","fujiayifang","神兽兑换使者","2849","","","","","告辞","0","","","","","0","","ff003303","0",""
"1615081","宠物装备大师","","","","0","0","1","1","1","fffdff5d","0","1010101","0","-1","1615","2331","2548","105","127","3","","0","shanghuihuizhang","超级大熊猫使者","鉴定大师","","商会总管","2833","","","","","告辞","0","","","","","0","8977","ff3e2000","0",""
"290409","沙包","","","","0","0","1","7","1","fffdff5d","0","1010101","0","-1","1615","3115","1277","106","33","3","","0","沙包","沙包","打木桩","","","2802","","","","","告辞","0","","","","","0","7998","ff003303","0",""
"161560","泡泡乐园","","","","0","0","1","1","1","fffdff5d","0","1300011","0","-1","1615","1944","2364","121","147","5","","0","","泡泡乐园","泡泡乐园","","泡泡乐园","2852","","","","","告辞","0","","","","","0","","ff3e2000","0",""
"290413","蚩尤巫婆","","","","0","0","1","6","1","fffdff5d","0","1010101","0","-1","1615","3552","3232","87","80","3","","0","","蚩尤巫婆","","tiaozhan","","2850","","","","","告辞","0","","","","","0","3135","ff003303","0",""
"169506","钱庄老板","","","","0","0","1","7","1","fffdff5d","0","1010101","0","-1","1615","475","1423","136","176","5","","0","","钱庄老板","","","","2802","","","","","告辞","0","","","","","0","8976","ff003303","0",""
"290367","树怪","","","","0","0","1.2","7","1","fffdff5d","0","1010101","0","-1","1615","2331","2548","117","99","3","","0","","树怪","千叶碎片合成","","","2831","","","","","告辞","0","","","","","0","7998","ff003303","0",""
"88928","","","","","0","0","0.5","7","0","ff00ff0d","0","1010101","0","-1","1615","3751","2775","41","74","3","","0","","","","","小雪人装饰","2791","","","","","告辞","0","","","","","0","3220","ff003303","0",""
"88932","","","","","0","0","0.5","7","0","ff00ff0d","0","1010101","0","-1","1615","394","801","51","81","3","","0","","","","","","2791","","","","","告辞","0","","","","","0","3219","ff003303","0",""
"161513","通天塔守卫","","","","2","3","1","1","1","fffdff5d","0","1010101","0","-1","1615","2240","2624","65","137","3","","0","fulidashi","通天塔守卫","快速升级","jingying","通天塔","2837","","","","","告辞","0","","","","","0","","ff3e2000","0",""
"161538","荣誉商店","","","","2","3","0.8","1","1","fffdff5d","0","1010101","0","-1","1615","2240","2624","61","81","3","","0","huidongdashi","荣誉商店","","","活动大师","","","","","","告辞","0","","","","","0","","ff3e2000","0",""
"260010","宝石商人","","","","2","3","1","7","1","fffdff5d","0","1010101","0","-1","1615","2130","2553","134","72","3","","0","baoshishangren","宝石商人","","","","2874","","","","","告辞","0","","","","","0","","ff003303","0",""
"260014","武神坛道具兑换","","","","0","0","1","1","1","fffdff5d","0","1010101","0","-1","1615","2130","2553","87","107","3","","0","","武神坛道具兑换","","","道具兑换","2840","","","","","告辞","0","","","","","0","","ff3e2000","0",""
"260019","大唐官府传送人","","","","0","0","1","1","1","FF6bddf7","0","1010101","0","-1","1615","2331","2548","227","15","3","","0","","大唐官府传送人","","","传送","","","","","","告辞","0","","","","","0","","ff142d60","0",""
"180022","子时一刻讨吃鬼王","","","","2","0","1","7","0","ff00ff0d","0","1010101","0","-1","1615","65","2902","5","181","3","","0","","鬼王任务","鬼王任务","","日常副本BOSS1","2361","","","","","告辞","1","","","","","0","2578","ff003303","0",""
"180023","丑时两刻轻薄鬼王","","","","2","0","1","7","0","ff00ff0d","0","1010101","0","-1","1615","1654","3904","104","244","3","","0","","鬼王任务","鬼王任务","","日常副本BOSS2","2361","","","","","告辞","1","","","","","0","2579","ff003303","0",""
"180024","卯时三刻伶俐鬼王","","","","2","0","1","7","0","ff00ff0d","0","1010101","0","-1","1615","3640","3353","228","207","3","","0","","鬼王任务","鬼王任务","","日常副本BOSS3","2361","","","","","告辞","1","","","","","0","2580","ff003303","0",""
"180025","辰时一刻挖渣鬼王","","","","2","0","1","7","0","ff00ff0d","0","1010101","0","-1","1615","3303","147","207","9","3","","0","","鬼王任务","鬼王任务","","日常副本BOSS4","2361","","","","","告辞","1","","","","","0","2581","ff003303","0",""
"180027","午时三刻醉死鬼王","","","","2","0","1","7","0","ff00ff0d","0","1010101","0","-1","1615","2501","577","156","38","3","","0","","鬼王任务","鬼王任务","","日常副本BOSS6","2361","","","","","告辞","1","","","","","0","2583","ff003303","0",""
"180029","申时一刻冒失鬼王","","","","2","0","1","7","0","ff00ff0d","0","1010101","0","-1","1615","512","2125","32","132","3","","0","","鬼王任务","鬼王任务","","日常副本BOSS8","2361","","","","","告辞","1","","","","","0","2585","ff003303","0",""
"180030","酉时三刻含碜鬼王","","","","2","0","1","7","0","ff00ff0d","0","1010101","0","-1","1615","66","3746","7","233","3","","0","","鬼王任务","鬼王任务","","日常副本BOSS9","2361","","","","","告辞","1","","","","","0","2586","ff003303","0",""
"180031","戌时四刻耍碗鬼王","","","","2","0","1","7","0","ff00ff0d","0","1010101","0","-1","1615","568","3192","36","200","3","","0","","鬼王任务","鬼王任务","","日常副本BOSS10","2361","","","","","告辞","1","","","","","0","2587","ff003303","0",""
"180026","巳时两刻绵缠鬼王","","","","2","0","1","7","0","ff00ff0d","0","1010101","0","-1","1615","3744","1091","233","70","3","","0","","鬼王任务","鬼王任务","","日常副本BOSS5","2361","","","","","告辞","1","","","","","0","2582","ff003303","0",""
"180028","未时四刻饿死鬼王","","","","2","0","1","7","0","ff00ff0d","0","1010101","0","-1","1615","3664","4132","227","256","7","","0","","鬼王任务","鬼王任务","","日常副本BOSS7","2361","","","","","告辞","1","","","","","0","2584","ff003303","0",""
"183706","赤金宝箱","","","","0","0","0.8","29","0","ff00ff0d","0","1030001","0","-1","0","","","0","0","","","0","","","福缘","","宝箱","","","","","","告辞","0","","","","","0","","ff003303","0",""
"183707","秘银宝箱","","","","0","0","0.8","29","0","ff00ff0d","0","1030002","0","-1","0","","","0","0","","","0","","","福缘","","宝箱","","","","","","告辞","0","","","","","0","","ff003303","0",""
"1611000","神兽使者","","","","2","0","1","1","1","ffffffff","0","1030003","0","-1","1611","3424","432","127","43","3","","0","","神兽使者","高级内丹合成","","神兽使者","2070","","","","","告辞","0","","","","","0","","ff8c5e2a","0",""
"1611999","凤凰仙子","","","","4","4","1","1","1","ffffffff","0","1100902","0","-1","1611","3424","432","127","43","3","","0","","凤凰仙子","炼妖石合成","","凤凰仙子","2071","","","","","告辞","0","","","","","0","","ff8c5e2a","0",""
"1611001","超级神鸡","","","","0","0","1","1","0","fffdff5d","0","1200005","0","-1","1611","3424","432","126","54","3","","0","","","","","神兽","2038","2038","2038","2038","","告辞","0","180160_03.ogg","180155_15.ogg","180159_03.ogg","180156_07.ogg","0","","ff3e2000","0",""
"1611002","超级神猴","","","","0","0","1","1","0","fffdff5d","0","1200006","0","-1","1611","3424","432","113","63","3","","0","","","","","神兽","2039","2039","2039","2039","","告辞","0","180160_03.ogg","180155_15.ogg","180159_03.ogg","180156_07.ogg","0","","ff3e2000","0",""
"1611003","超级赤焰兽","","","","0","0","1","1","0","fffdff5d","0","1200007","0","-1","1611","3424","432","114","53","3","","0","","","","","神兽","2040","2040","2040","2040","","告辞","0","180160_03.ogg","180155_15.ogg","180159_03.ogg","180156_07.ogg","0","","ff3e2000","0",""
"1611004","超级神龙","","","","0","0","1","1","0","fffdff5d","0","1200008","0","-1","1611","3424","432","128","65","3","","0","","","","","神兽","2041","2041","2041","2041","","告辞","0","180160_03.ogg","180155_15.ogg","180159_03.ogg","180156_07.ogg","0","","ff3e2000","0",""
"161101","野猪将军","","","","2","2","1.2","1","0","ff00ff0d","0","1010101","0","-1","1611","368","347","56","18","3","","0","zhuzailamusita","野猪人将军","","","野猪人将军","2176","2177","2178","2179","","告辞","1","","","","","0","","ff003303","0",""
"161102","野猪精","","","","1","1","1.2","1","0","ff00ff0d","0","1010101","0","-1","1611","1386","358","91","26","3","","0","kaerjia","野猪人酋长","","","野猪人酋长","2180","2181","2182","","","告辞","1","","","","","0","","ff003303","0",""
"161103","寒冰王子","","","","0","0","1","1","0","ff00ff0d","0","1010101","0","-1","1611","1154","329","63","41","5","","0","hanbingwangzi","寒冰王子","","","寒冰王子","2184","2185","2186","","","告辞","1","","","","","0","","ff003303","0",""
"161104","小软","","","","0","0","1","1","0","ff00ff0d","0","1010101","0","-1","1611","804","755","52","47","5","","0","xiaoruan","小软","","","小软","2382","","","","","告辞","1","","","","","0","","ff003303","0",""
"161105","野猪人","","","","0","0","1.2","1","0","ff00ff0d","0","1010101","0","-1","1611","378","353","57","54","3","","0","yezhuren","野猪人","","","野猪人将军","2382","","","","","告辞","1","","","","","0","","ff003303","0",""
"161106","野猪尸体","","","","0","0","1","1","0","ff00ff0d","0","1010101","0","-1","1611","806","756","42","68","5","14","0","xiaoruan","野猪尸体","","","小软","2279","","","","","告辞","1","","","","","0","","ff003303","0",""
"161107","鲛将军酋长","","","","0","0","1.2","1","0","ff00ff0d","0","1010101","0","-1","1611","1386","359","81","52","3","","0","kaerjia","鲛将军酋长","","","野猪人酋长","2180","2181","2182","","","告辞","1","","","","","0","","ff003303","0",""
"99998","鞭策我吧沙包","","","","0","0","1","1","0","ff00ff0d","0","1010101","0","-1","1615","","","100","100","","","0","","鞭策我吧沙包","沙包","","沙包","2193","","","","","告辞","0","","","","","0","7998","ff003303","0",""
"99999","测试沙包","","","","0","0","1","1","0","ff00ff0d","0","1010101","0","-1","1615","","","100","100","","","0","","测试沙包","沙包","","沙包","2193","","","","","告辞","0","","","","","0","7999","ff003303","0",""
"210501","天宫首席","","","","0","0","1","1","1","ff00ff0d","0","1010101","1","-1","2105","528","608","51","67","4","","0","shouxidizi","天宫首席","天宫首席","","天宫首席","2637","2638","2694","","","告辞","0","","","","","0","3106","ff003303","1",""
"210503","天宫表队","","","","0","0","1","1","1","ff00ff0d","0","1010101","1","-1","2105","528","608","7","60","4","","0","shouxidizi","天宫表队","天宫表队","","天宫表队","2349","","","","","告辞","0","","","","","0","3094","ff003303","0",""
"13113","孙悟空","","","","0","0","1","1","1","ff00ff0d","0","1010101","1","-1","1612","","","60","29","3","","0","kaienxueti","孙悟空","孙悟空","menpaidaoshi","孙悟空","2480","2481","2460","","","告辞","0","kaienxueti_001.ogg","kaienxueti_002.ogg","180101_09.ogg","","0","","ff003303","0",""
"210604","传送人","","","","0","0","1","1","0","ff00ff0d","0","1010101","0","-1","2102","769","288","41","43","3","","0","feixing","传送人","传送人","","传送人","2470","2360","","","","告辞","0","180138_16.ogg","","","","0","","ff003303","0",""
"210605","花果山使者","","","","0","0","1","1","1","ff00ff0d","0","1010101","1","-1","1612","468","342","46","56","5","","0","shouxidizi","花果山使者","花果山使者","","花果山使者","2040","2042","2450","2043","","告辞","0","aimuti_1.ogg","aimuti_3.ogg","180103_03.ogg","aimuti_4.ogg","0","","ff003303","0",""
"210701","盘丝洞首席","","","","0","0","1","1","1","ff00ff0d","0","1010101","1","-1","2107","528","608","32","42","3","","0","shouxidizi","盘丝洞首席","盘丝洞首席","","盘丝洞首席","2637","2638","2694","","","告辞","0","","","","","0","3106","ff003303","1",""
"210703","盘丝洞代表队","","","","0","0","1","1","1","ff00ff0d","0","1010101","1","-1","2107","528","608","31","84","3","","0","shouxidizi","盘丝洞代表队","盘丝洞代表队","","盘丝洞代表队","2349","","","","","告辞","0","","","","","0","3094","ff003303","0",""
"13114","白晶晶","","","","0","0","1","1","1","ff00ff0d","0","1010101","1","-1","2107","448","320","41","29","3","","0","kaienxueti","白晶晶","白晶晶","menpaidaoshi","白晶晶","2480","2481","2460","","","告辞","0","kaienxueti_001.ogg","kaienxueti_002.ogg","180101_09.ogg","","0","","ff003303","0",""
"210704","传送人","","","","0","0","1","1","0","ff00ff0d","0","1010101","0","-1","2107","3578","717","221","47","5","","0","feixing","传送人","传送人","","传送人","2470","2360","","","","告辞","0","180138_16.ogg","","","","0","","ff003303","0",""
"210705","盘丝洞使者","","","","0","0","1","1","1","ff00ff0d","0","1010101","1","-1","2107","468","342","30","30","3","","0","shouxidizi","盘丝洞使者","盘丝洞使者","","盘丝洞使者","2040","2042","2450","2043","","告辞","0","aimuti_1.ogg","aimuti_3.ogg","180103_03.ogg","aimuti_4.ogg","0","","ff003303","0",""
"162301","女儿村首席","","","","0","0","1","1","1","ff00ff0d","0","1010101","1","-1","1623","528","608","71","101","3","","0","shouxidizi","女儿村首席","女儿村首席","","女儿村首席","2637","2638","2694","","","告辞","0","","","","","0","3106","ff003303","1",""
"162303","女儿村代表队","","","","0","0","1","1","1","ff00ff0d","0","1010101","1","-1","1623","528","608","98","33","4","","0","shouxidizi","女儿村代表队","女儿村代表队","","女儿村代表队","2349","","","","","告辞","0","","","","","0","3094","ff003303","0",""
"168904","传送人","","","","0","0","1","1","0","ff00ff0d","0","1010101","0","-1","1689","769","288","47","57","5","","0","feixing","传送人","传送人","","传送人","2470","2360","","","","告辞","0","180138_16.ogg","","","","0","","ff003303","0",""
"168905","五庄观使者","","","","0","0","1","1","1","ff00ff0d","0","1010101","1","-1","1689","468","342","40","48","5","","0","shouxidizi","五庄观使者","五庄观使者","","五庄观使者","2040","2042","2450","2043","","告辞","0","aimuti_1.ogg","aimuti_3.ogg","180103_03.ogg","aimuti_4.ogg","0","","ff003303","0",""
"13110","孙悟空","","","","0","0","1","1","1","ff00ff0d","0","1020003","1","-1","1612","1029","407","64","25","3","","0","mafaliao","孙悟空","花果山师傅","zhiyedaoshi","古尔迪安","2798","","","","","告辞","0","180901_08.ogg","","","","0","","ff003303","0",""
"220601","首席弟子","","","","3","3","1","1","0","ff00ff0d","0","1011124","1","-1","1612","739","1029","46","64","3","","0","shouxidizi","安东","花果山首席弟子","","化生寺首席弟子","2637","2638","2694","","","告辞","0","","","","","0","3113","ff003303","1",""
"220602","花果山代表队","","","","0","0","1","1","1","ff00ff0d","0","1011124","1","-1","1612","600","1368","37","85","4","","0","shouxidizi","花果山代表队","门派闯关","","化生寺首代表队","2352","","","","","告辞","0","","","","","0","3101","ff003303","0",""
"220603","传送妖精","","","","0","0","1","1","1","ff00ff0d","0","1010101","0","-1","1612","1049","901","65","56","3","","0","feixing","传送妖精","","","飞行管理员","2470","2360","","","","告辞","0","180138_16.ogg","","","","0","","ff003303","0",""
"220605","西游使者","","","","0","0","1","1","0","ff00ff0d","0","1010105","1","-1","1612","694","829","43","51","3","","0","shouxidizi","西游使者","","","西游引导","2074","2072","2073","2458","","告辞","0","shushi_1.ogg","shushi_2.ogg","shushi_3.ogg","180903_14.ogg","0","","ff003303","0",""
"220606","清风","","","","0","0","1","1","0","ff00ff0d","0","1080153","1","-1","1612","884","982","55","61","3","","0","shouxidizi","西游使者","","","西游引导","2074","2072","2073","2458","","告辞","0","shushi_1.ogg","shushi_2.ogg","shushi_3.ogg","180903_14.ogg","0","","ff003303","0",""
"220607","明月","","","","0","0","1","1","0","ff00ff0d","0","1080153","1","-1","1612","884","982","55","61","3","","0","shouxidizi","西游使者","","","西游引导","2074","2072","2073","2458","","告辞","0","shushi_1.ogg","shushi_2.ogg","shushi_3.ogg","180903_14.ogg","0","","ff003303","0",""
"13111","孙婆婆","","","","0","0","1","1","1","ff00ff0d","0","1090174","1","-1","1632","631","905","39","56","3","","0","mafaliao","白晶晶","女儿村师傅","zhiyedaoshi","古尔迪安","2798","","","","","告辞","0","180901_08.ogg","","","","0","","ff003303","0",""
"220701","首席弟子","","","","3","3","1","1","0","ff00ff0d","0","1011121","1","-1","1632","867","928","54","58","3","","0","shouxidizi","淡蓝甜心","女儿村首席弟子","","化生寺首席弟子","2637","2638","2694","","","告辞","0","","","","","0","3113","ff003303","1",""
"220702","女儿村代表队","","","","0","0","1","1","1","ff00ff0d","0","1011121","1","-1","1632","3104","1061","194","66","4","","0","shouxidizi","女儿村代表队","门派闯关","","化生寺首代表队","2352","","","","","告辞","0","","","","","0","3101","ff003303","0",""
"220703","传送使者","","","","0","0","1","1","1","ff00ff0d","0","1010101","0","-1","1632","3202","489","200","30","3","","0","feixing","传送使者","","","飞行管理员","2470","2360","","","","告辞","0","180138_16.ogg","","","","0","","ff003303","0",""
"220705","西游使者","","","","0","0","1","1","0","ff00ff0d","0","1010105","1","-1","1632","608","1108","38","69","3","","0","shouxidizi","西游使者","","","西游引导","2074","2072","2073","2458","","告辞","0","shushi_1.ogg","shushi_2.ogg","shushi_3.ogg","180903_14.ogg","0","","ff003303","0",""
