技能等级,需求等级1,需求等级2,需求等级3,需求等级4,需求等级5,消耗类型1,消耗银币1,消耗公会贡献1,消耗类型2,消耗银币2,消耗公会贡献2,消耗类型3,消耗银币3,消耗公会贡献3,消耗类型4,消耗银币4,消耗公会贡献4,消耗类型5,消耗银币5,消耗公会贡献5,消耗类型6,消耗银币6,消耗公会贡献6,消耗类型7,消耗银币7,消耗公会贡献7,消耗类型8,消耗银币8,消耗公会贡献8,消耗类型9,消耗银币9,消耗公会贡献9,消耗类型10,消耗银币10,消耗公会贡献10,消耗活力1,消耗活力2,消耗活力3,消耗活力4,消耗活力5,消耗活力6,消耗活力7,消耗活力8,消耗活力9,消耗活力10,消耗道具,产出道具
35,25,35,0,0,45,1,15100,2,1,7600,1,1,,,1,,,1,7600,1,1,,,1,,,1,,,1,,,1,,,30,37,100,29,100,,,,,,340078,"340078,340079"
36,26,36,0,0,45,1,16000,2,1,8000,1,1,,,1,,,1,8000,1,1,,,1,,,1,,,1,,,1,,,30,38,100,30,100,,,,,,340078,"340078,340079"
37,27,37,0,0,45,1,16900,2,1,8500,1,1,,,1,,,1,8500,1,1,,,1,,,1,,,1,,,1,,,30,38,100,31,100,,,,,,340078,"340078,340079"
38,28,38,0,0,45,1,17900,2,1,8900,1,1,,,1,,,1,8900,1,1,,,1,,,1,,,1,,,1,,,30,39,100,31,100,,,,,,340078,"340078,340079"
39,29,39,0,0,45,1,20900,2,1,10500,1,1,,,1,,,1,10500,1,1,,,1,,,1,,,1,,,1,,,30,39,100,32,100,,,,,,340078,"340078,340079"
40,30,40,0,0,45,1,26200,2,1,13100,1,1,,,1,,,1,13100,1,1,,,1,,,1,,,1,,,1,,,40,40,100,33,100,,,,,,340078,"340078,340079"
41,31,41,0,0,45,1,27700,6,1,13800,3,1,,,1,,,1,13800,3,1,,,1,,,1,,,1,,,1,,,40,40,100,33,100,,,,,,340078,"340078,340079"
42,32,42,0,0,45,1,29300,12,1,14700,6,1,,,1,,,1,14700,6,1,,,1,,,1,,,1,,,1,,,40,41,100,34,100,,,,,,340078,"340078,340079"
43,33,43,0,0,45,1,31000,18,1,15500,9,1,,,1,,,1,15500,9,1,,,1,,,1,,,1,,,1,,,40,41,100,35,100,,,,,,340078,"340078,340079"
44,34,44,0,0,45,1,36400,24,1,18200,12,1,,,1,,,1,18200,12,1,,,1,,,1,,,1,,,1,,,40,42,100,35,100,,,,,,340078,"340078,340079"
45,35,45,0,0,45,1,38500,30,1,19200,15,1,,,1,,,1,19200,15,1,,,1,,,1,,,1,,,1,,,40,42,100,36,100,,,,,,340078,"340078,340079"
46,36,46,0,0,45,1,40600,36,1,20300,18,1,,,1,,,1,20300,18,1,,,1,,,1,,,1,,,1,,,40,43,100,37,100,,,,,,340078,"340078,340079"
47,37,47,0,0,45,1,42800,42,1,21400,21,1,,,1,,,1,21400,21,1,,,1,,,1,,,1,,,1,,,40,43,100,37,100,,,,,,340078,"340078,340079"
48,38,48,0,0,45,1,45200,48,1,22600,24,1,,,1,,,1,22600,24,1,,,1,,,1,,,1,,,1,,,40,44,100,38,100,,,,,,340078,"340078,340079"
49,39,49,0,0,45,1,52600,54,1,26300,27,1,,,1,,,1,26300,27,1,,,1,,,1,,,1,,,1,,,40,44,100,39,100,,,,,,340078,"340078,340079"
50,40,50,0,0,45,1,55400,60,1,27700,30,1,,,1,,,1,27700,30,1,,,1,,,1,,,1,,,1,,,50,45,100,39,100,,,,,,340078,"340078,340079"
51,41,51,0,0,45,1,58300,67,1,29200,34,1,,,1,,,1,29200,34,1,,,1,,,1,,,1,,,1,,,50,45,100,40,100,,,,,,340078,"340078,340079"
52,42,52,0,0,45,1,61300,74,1,30700,37,1,,,1,,,1,30700,37,1,,,1,,,1,,,1,,,1,,,50,46,100,41,100,,,,,,340078,"340078,340079"
53,43,53,0,0,45,1,64400,81,1,32200,41,1,,,1,,,1,32200,41,1,,,1,,,1,,,1,,,1,,,50,46,100,41,100,,,,,,340078,"340078,340079"
54,44,54,0,0,45,1,77700,88,1,38900,44,1,,,1,,,1,38900,44,1,,,1,,,1,,,1,,,1,,,50,47,100,42,100,,,,,,340078,"340078,340079"
55,45,55,0,0,45,1,81600,95,1,40800,48,1,,,1,,,1,40800,48,1,,,1,,,1,,,1,,,1,,,50,47,100,43,100,,,,,,340078,"340078,340079"
56,46,56,0,0,45,1,122900,102,1,61400,51,1,,,1,,,1,61400,51,1,,,1,,,1,,,1,,,1,,,50,48,100,43,100,,,,,,340078,"340078,340079"
57,47,57,0,0,45,1,129000,109,1,64500,55,1,,,1,,,1,64500,55,1,,,1,,,1,,,1,,,1,,,50,48,100,44,100,,,,,,340078,"340078,340079"
58,48,58,0,0,45,1,176700,116,1,88300,58,1,,,1,,,1,88300,58,1,,,1,,,1,,,1,,,1,,,50,49,100,45,100,,,,,,340078,"340078,340079"
59,49,59,0,0,45,1,228800,123,1,114400,62,1,,,1,,,1,114400,62,1,,,1,,,1,,,1,,,1,,,50,49,100,45,100,,,,,,340078,"340078,340079"
60,50,60,0,0,45,1,285600,130,1,142800,65,1,,,1,,,1,142800,65,1,,,1,,,1,,,1,,,1,,,60,50,100,46,100,,,,,,340078,"340078,340079"
61,51,61,0,0,45,1,347400,138,1,173700,69,1,,,1,,,1,173700,69,1,,,1,,,1,,,1,,,1,,,60,50,100,47,100,,,,,,340078,"340078,340079"
62,52,62,0,0,45,1,414200,146,1,207100,73,1,,,1,,,1,207100,73,1,,,1,,,1,,,1,,,1,,,60,51,100,47,100,,,,,,340078,"340078,340079"
63,53,63,0,0,45,1,486500,154,1,243300,77,1,,,1,,,1,243300,77,1,,,1,,,1,,,1,,,1,,,60,51,100,48,100,,,,,,340078,"340078,340079"
64,54,64,0,0,45,1,564400,162,1,282200,81,1,,,1,,,1,282200,81,1,,,1,,,1,,,1,,,1,,,60,52,100,49,100,,,,,,340078,"340078,340079"
65,55,65,0,0,45,1,648200,170,1,324100,85,1,,,1,,,1,324100,85,1,,,1,,,1,,,1,,,1,,,60,52,100,49,100,,,,,,340078,"340078,340079"
66,56,66,0,0,45,1,738100,178,1,369100,89,1,,,1,,,1,369100,89,1,,,1,,,1,,,1,,,1,,,60,53,100,50,100,,,,,,340078,"340078,340079"
67,57,67,0,0,45,1,897600,186,1,448800,93,1,,,1,,,1,448800,93,1,,,1,,,1,,,1,,,1,,,60,53,100,51,100,,,,,,340078,"340078,340079"
68,58,68,0,0,45,1,1069400,194,1,534700,97,1,,,1,,,1,534700,97,1,,,1,,,1,,,1,,,1,,,60,54,100,51,100,,,,,,340078,"340078,340079"
69,59,69,0,0,45,1,1254000,202,1,627000,101,1,,,1,,,1,627000,101,1,,,1,,,1,,,1,,,1,,,60,54,100,52,100,,,,,,340078,"340078,340079"
70,60,70,0,0,45,1,1308100,210,1,654100,105,1,,,1,,,1,654100,105,1,,,1,,,1,,,1,,,1,,,70,55,100,53,100,,,,,,340078,"340078,340079"
71,61,71,0,0,45,1,1363800,218,1,681900,109,1,,,1,,,1,681900,109,1,,,1,,,1,,,1,,,1,,,70,55,100,53,100,,,,,,340078,"340078,340079"
72,62,72,0,0,45,1,1421100,226,1,710600,113,1,,,1,,,1,710600,113,1,,,1,,,1,,,1,,,1,,,70,56,100,54,100,,,,,,340078,"340078,340079"
73,63,73,0,0,45,1,1480000,234,1,740000,117,1,,,1,,,1,740000,117,1,,,1,,,1,,,1,,,1,,,70,56,100,55,100,,,,,,340078,"340078,340079"
74,64,74,0,0,45,1,1540500,242,1,770200,121,1,,,1,,,1,770200,121,1,,,1,,,1,,,1,,,1,,,70,57,100,55,100,,,,,,340078,"340078,340079"
75,65,75,0,0,45,1,1602600,250,1,801300,125,1,,,1,,,1,801300,125,1,,,1,,,1,,,1,,,1,,,70,57,100,56,100,,,,,,340078,"340078,340079"
76,66,76,0,0,45,1,1666400,258,1,833200,129,1,,,1,,,1,833200,129,1,,,1,,,1,,,1,,,1,,,70,58,100,57,100,,,,,,340078,"340078,340079"
77,67,77,0,0,45,1,1731900,266,1,866000,133,1,,,1,,,1,866000,133,1,,,1,,,1,,,1,,,1,,,70,58,100,57,100,,,,,,340078,"340078,340079"
78,68,78,0,0,45,1,1799100,274,1,899500,137,1,,,1,,,1,899500,137,1,,,1,,,1,,,1,,,1,,,70,59,100,58,100,,,,,,340078,"340078,340079"
79,69,79,0,0,45,1,1868000,282,1,934000,141,1,,,1,,,1,934000,141,1,,,1,,,1,,,1,,,1,,,70,59,100,59,100,,,,,,340078,"340078,340079"
80,70,80,0,0,45,1,1938700,290,1,969400,145,1,,,1,,,1,969400,145,1,,,1,,,1,,,1,,,1,,,80,60,100,59,100,,,,,,340078,"340078,340079"
81,71,81,0,0,45,1,2011200,298,1,1005600,149,1,,,1,,,1,1005600,149,1,,,1,,,1,,,1,,,1,,,80,60,100,60,100,,,,,,340078,"340078,340079"
82,72,82,0,0,45,1,2085400,306,1,1042700,153,1,,,1,,,1,1042700,153,1,,,1,,,1,,,1,,,1,,,80,61,100,61,100,,,,,,340078,"340078,340079"
83,73,83,0,0,45,1,2161500,314,1,1080700,157,1,,,1,,,1,1080700,157,1,,,1,,,1,,,1,,,1,,,80,61,100,61,100,,,,,,340078,"340078,340079"
84,74,84,0,0,45,1,2239400,322,1,1119700,161,1,,,1,,,1,1119700,161,1,,,1,,,1,,,1,,,1,,,80,62,100,62,100,,,,,,340078,"340078,340079"
85,75,85,0,0,45,1,2319200,330,1,1159600,165,1,,,1,,,1,1159600,165,1,,,1,,,1,,,1,,,1,,,80,62,100,63,100,,,,,,340078,"340078,340079"
86,76,86,0,0,45,1,2400800,338,1,1200400,169,1,,,1,,,1,1200400,169,1,,,1,,,1,,,1,,,1,,,80,63,100,63,100,,,,,,340078,"340078,340079"
87,77,87,0,0,45,1,2484400,346,1,1242200,173,1,,,1,,,1,1242200,173,1,,,1,,,1,,,1,,,1,,,80,63,100,64,100,,,,,,340078,"340078,340079"
88,78,88,0,0,45,1,2569900,354,1,1284900,177,1,,,1,,,1,1284900,177,1,,,1,,,1,,,1,,,1,,,80,64,100,65,100,,,,,,340078,"340078,340079"
89,79,89,0,0,45,1,2657300,362,1,1328700,181,1,,,1,,,1,1328700,181,1,,,1,,,1,,,1,,,1,,,80,64,100,65,100,,,,,,340078,"340078,340079"
90,80,90,0,0,45,1,2746800,370,1,1373400,185,1,,,1,,,1,1373400,185,1,,,1,,,1,,,1,,,1,,,90,65,100,66,100,,,,,,340078,"340078,340079"
91,81,91,0,0,45,1,2838200,378,1,1419100,189,1,,,1,,,1,1419100,189,1,,,1,,,1,,,1,,,1,,,90,65,100,67,100,,,,,,340078,"340078,340079"
92,82,92,0,0,45,1,2931600,386,1,1465800,193,1,,,1,,,1,1465800,193,1,,,1,,,1,,,1,,,1,,,90,66,100,67,100,,,,,,340078,"340078,340079"
93,83,93,0,0,45,1,3027100,394,1,1513500,197,1,,,1,,,1,1513500,197,1,,,1,,,1,,,1,,,1,,,90,66,100,68,100,,,,,,340078,"340078,340079"
94,84,94,0,0,45,1,3124600,402,1,1562300,201,1,,,1,,,1,1562300,201,1,,,1,,,1,,,1,,,1,,,90,67,100,69,100,,,,,,340078,"340078,340079"
95,85,95,0,0,45,1,3224300,410,1,1612100,205,1,,,1,,,1,1612100,205,1,,,1,,,1,,,1,,,1,,,90,67,100,69,100,,,,,,340078,"340078,340079"
96,86,96,0,0,45,1,3326000,418,1,1663000,209,1,,,1,,,1,1663000,209,1,,,1,,,1,,,1,,,1,,,90,68,100,70,100,,,,,,340078,"340078,340079"
97,87,97,0,0,45,1,3429900,426,1,1714900,213,1,,,1,,,1,1714900,213,1,,,1,,,1,,,1,,,1,,,90,68,100,71,100,,,,,,340078,"340078,340079"
98,88,98,0,0,45,1,3535900,434,1,1767900,217,1,,,1,,,1,1767900,217,1,,,1,,,1,,,1,,,1,,,90,69,100,71,100,,,,,,340078,"340078,340079"
99,89,99,0,0,45,1,3644100,442,1,1822000,221,1,,,1,,,1,1822000,221,1,,,1,,,1,,,1,,,1,,,90,69,100,72,100,,,,,,340078,"340078,340079"
100,90,100,0,0,45,1,3754500,450,1,1877200,225,1,,,1,,,1,1877200,225,1,,,1,,,1,,,1,,,1,,,100,70,100,73,100,,,,,,340078,"340078,340079"
101,91,101,0,0,45,1,3867100,458,1,1933500,229,1,,,1,,,1,1933500,229,1,,,1,,,1,,,1,,,1,,,100,70,100,73,100,,,,,,340078,"340078,340079"
102,92,102,0,0,45,1,3981900,466,1,1991000,233,1,,,1,,,1,1991000,233,1,,,1,,,1,,,1,,,1,,,100,71,100,74,100,,,,,,340078,"340078,340079"
103,93,103,0,0,45,1,4099000,474,1,2049500,237,1,,,1,,,1,2049500,237,1,,,1,,,1,,,1,,,1,,,100,71,100,75,100,,,,,,340078,"340078,340079"
104,94,104,0,0,45,1,4218400,482,1,2109200,241,1,,,1,,,1,2109200,241,1,,,1,,,1,,,1,,,1,,,100,72,100,75,100,,,,,,340078,"340078,340079"
105,95,105,0,0,45,1,4340100,490,1,2170100,245,1,,,1,,,1,2170100,245,1,,,1,,,1,,,1,,,1,,,100,72,100,76,100,,,,,,340078,"340078,340079"
106,96,106,0,0,45,1,4464200,498,1,2232100,249,1,,,1,,,1,2232100,249,1,,,1,,,1,,,1,,,1,,,100,73,100,77,100,,,,,,340078,"340078,340079"
107,97,107,0,0,45,1,4590600,506,1,2295300,253,1,,,1,,,1,2295300,253,1,,,1,,,1,,,1,,,1,,,100,73,100,77,100,,,,,,340078,"340078,340079"
108,98,108,0,0,45,1,4719300,514,1,2359700,257,1,,,1,,,1,2359700,257,1,,,1,,,1,,,1,,,1,,,100,74,100,78,100,,,,,,340078,"340078,340079"
109,99,109,0,0,45,1,4850500,522,1,2425200,261,1,,,1,,,1,2425200,261,1,,,1,,,1,,,1,,,1,,,100,74,100,79,100,,,,,,340078,"340078,340079"
110,100,110,0,0,45,1,4984000,530,1,2492000,265,1,,,1,,,1,2492000,265,1,,,1,,,1,,,1,,,1,,,110,75,100,79,100,,,,,,340078,"340078,340079"
111,101,111,0,0,45,1,5120100,538,1,2560000,269,1,,,1,,,1,2560000,269,1,,,1,,,1,,,1,,,1,,,110,75,100,80,100,,,,,,340078,"340078,340079"
112,102,112,0,0,45,1,5258500,546,1,2629300,273,1,,,1,,,1,2629300,273,1,,,1,,,1,,,1,,,1,,,110,76,100,81,100,,,,,,340078,"340078,340079"
113,103,113,0,0,45,1,5399500,554,1,2699700,277,1,,,1,,,1,2699700,277,1,,,1,,,1,,,1,,,1,,,110,76,100,81,100,,,,,,340078,"340078,340079"
114,104,114,0,0,45,1,5543000,562,1,2771500,281,1,,,1,,,1,2771500,281,1,,,1,,,1,,,1,,,1,,,110,77,100,82,100,,,,,,340078,"340078,340079"
115,105,115,0,0,45,1,5689000,570,1,2844500,285,1,,,1,,,1,2844500,285,1,,,1,,,1,,,1,,,1,,,110,77,100,83,100,,,,,,340078,"340078,340079"
116,106,116,0,0,45,1,5837500,578,1,2918800,289,1,,,1,,,1,2918800,289,1,,,1,,,1,,,1,,,1,,,110,78,100,83,100,,,,,,340078,"340078,340079"
117,107,117,0,0,45,1,5988600,586,1,2994300,293,1,,,1,,,1,2994300,293,1,,,1,,,1,,,1,,,1,,,110,78,100,84,100,,,,,,340078,"340078,340079"
118,108,118,0,0,45,1,6142300,594,1,3071200,297,1,,,1,,,1,3071200,297,1,,,1,,,1,,,1,,,1,,,110,79,100,85,100,,,,,,340078,"340078,340079"
119,109,119,0,0,45,1,6298700,602,1,3149300,301,1,,,1,,,1,3149300,301,1,,,1,,,1,,,1,,,1,,,110,79,100,85,100,,,,,,340078,"340078,340079"
120,110,120,0,0,45,1,6457700,610,1,3228800,305,1,,,1,,,1,3228800,305,1,,,1,,,1,,,1,,,1,,,120,80,100,86,100,,,,,,340078,"340078,340079"
121,111,121,0,0,45,1,6619300,618,1,3309600,309,1,,,1,,,1,3309600,309,1,,,1,,,1,,,1,,,1,,,120,80,100,87,100,,,,,,340078,"340078,340079"
122,112,122,0,0,45,1,6783600,626,1,3391800,313,1,,,1,,,1,3391800,313,1,,,1,,,1,,,1,,,1,,,120,81,100,87,100,,,,,,340078,"340078,340079"
123,113,123,0,0,45,1,6950600,634,1,3475300,317,1,,,1,,,1,3475300,317,1,,,1,,,1,,,1,,,1,,,120,81,100,88,100,,,,,,340078,"340078,340079"
124,114,124,0,0,45,1,7120400,642,1,3560200,321,1,,,1,,,1,3560200,321,1,,,1,,,1,,,1,,,1,,,120,82,100,89,100,,,,,,340078,"340078,340079"
125,115,125,0,0,45,1,7292900,650,1,3646400,325,1,,,1,,,1,3646400,325,1,,,1,,,1,,,1,,,1,,,120,82,100,89,100,,,,,,340078,"340078,340079"
126,116,126,0,0,45,1,7468200,658,1,3734100,329,1,,,1,,,1,3734100,329,1,,,1,,,1,,,1,,,1,,,120,83,100,90,100,,,,,,340078,"340078,340079"
127,117,127,0,0,45,1,7646300,666,1,3823100,333,1,,,1,,,1,3823100,333,1,,,1,,,1,,,1,,,1,,,120,83,100,91,100,,,,,,340078,"340078,340079"
128,118,128,0,0,45,1,7827100,674,1,3913600,337,1,,,1,,,1,3913600,337,1,,,1,,,1,,,1,,,1,,,120,84,100,91,100,,,,,,340078,"340078,340079"
129,119,129,0,0,45,1,8010900,682,1,4005400,341,1,,,1,,,1,4005400,341,1,,,1,,,1,,,1,,,1,,,120,84,100,92,100,,,,,,340078,"340078,340079"
130,120,130,0,0,45,1,8197500,690,1,4098700,345,1,,,1,,,1,4098700,345,1,,,1,,,1,,,1,,,1,,,130,85,100,93,100,,,,,,340078,"340078,340079"
131,121,131,0,0,45,1,8387000,698,1,4193500,349,1,,,1,,,1,4193500,349,1,,,1,,,1,,,1,,,1,,,130,85,100,93,100,,,,,,340078,"340078,340079"
132,122,132,0,0,45,1,8579300,706,1,4289700,353,1,,,1,,,1,4289700,353,1,,,1,,,1,,,1,,,1,,,130,86,100,94,100,,,,,,340078,"340078,340079"
133,123,133,0,0,45,1,8774700,714,1,4387300,357,1,,,1,,,1,4387300,357,1,,,1,,,1,,,1,,,1,,,130,86,100,95,100,,,,,,340078,"340078,340079"
134,124,134,0,0,45,1,8972900,722,1,4486500,361,1,,,1,,,1,4486500,361,1,,,1,,,1,,,1,,,1,,,130,87,100,95,100,,,,,,340078,"340078,340079"
135,125,135,0,0,45,1,9174200,730,1,4587100,365,1,,,1,,,1,4587100,365,1,,,1,,,1,,,1,,,1,,,130,87,100,96,100,,,,,,340078,"340078,340079"
136,126,136,0,0,45,1,9378400,738,1,4689200,369,1,,,1,,,1,4689200,369,1,,,1,,,1,,,1,,,1,,,130,88,100,97,100,,,,,,340078,"340078,340079"
137,127,137,0,0,45,1,9585600,746,1,4792800,373,1,,,1,,,1,4792800,373,1,,,1,,,1,,,1,,,1,,,130,88,100,97,100,,,,,,340078,"340078,340079"
138,128,138,0,0,45,1,9795900,754,1,4898000,377,1,,,1,,,1,4898000,377,1,,,1,,,1,,,1,,,1,,,130,89,100,98,100,,,,,,340078,"340078,340079"
139,129,139,0,0,45,1,10009300,762,1,5004600,381,1,,,1,,,1,5004600,381,1,,,1,,,1,,,1,,,1,,,130,89,100,99,100,,,,,,340078,"340078,340079"
140,130,140,0,0,45,1,10225700,770,1,5112900,385,1,,,1,,,1,5112900,385,1,,,1,,,1,,,1,,,1,,,140,90,100,99,100,,,,,,340078,"340078,340079"
141,131,141,0,0,45,1,10445200,778,1,5222600,389,1,,,1,,,1,5222600,389,1,,,1,,,1,,,1,,,1,,,140,90,100,100,100,,,,,,340078,"340078,340079"
142,132,142,0,0,45,1,10667900,786,1,5334000,393,1,,,1,,,1,5334000,393,1,,,1,,,1,,,1,,,1,,,140,91,100,101,100,,,,,,340078,"340078,340079"
143,133,143,0,0,45,1,10893700,794,1,5446900,397,1,,,1,,,1,5446900,397,1,,,1,,,1,,,1,,,1,,,140,91,100,101,100,,,,,,340078,"340078,340079"
144,134,144,0,0,45,1,11122700,802,1,5561400,401,1,,,1,,,1,5561400,401,1,,,1,,,1,,,1,,,1,,,140,92,100,102,100,,,,,,340078,"340078,340079"
145,135,145,0,0,45,1,11354900,810,1,5677500,405,1,,,1,,,1,5677500,405,1,,,1,,,1,,,1,,,1,,,140,92,100,103,100,,,,,,340078,"340078,340079"
146,136,146,0,0,45,1,11590300,818,1,5795200,409,1,,,1,,,1,5795200,409,1,,,1,,,1,,,1,,,1,,,140,93,100,103,100,,,,,,340078,"340078,340079"
147,137,147,0,0,45,1,11828900,826,1,5914500,413,1,,,1,,,1,5914500,413,1,,,1,,,1,,,1,,,1,,,140,93,100,104,100,,,,,,340078,"340078,340079"
148,138,148,0,0,45,1,12070800,834,1,6035400,417,1,,,1,,,1,6035400,417,1,,,1,,,1,,,1,,,1,,,140,94,100,105,100,,,,,,340078,"340078,340079"
149,139,149,0,0,45,1,12316000,842,1,6158000,421,1,,,1,,,1,6158000,421,1,,,1,,,1,,,1,,,1,,,140,94,100,105,100,,,,,,340078,"340078,340079"
150,140,150,0,0,45,1,12564500,850,1,6282300,425,1,,,1,,,1,6282300,425,1,,,1,,,1,,,1,,,1,,,150,95,100,106,100,,,,,,340078,"340078,340079"
