"ID","职业","活力","经脉ID","经脉技能1","经脉技能2","经脉技能3","经脉技能4","经脉技能5","经脉技能6","经脉技能7","经脉技能8","经脉技能9","经脉技能10","经脉技能11","经脉技能12","经脉技能13","经脉技能14","经脉技能15","经脉技能16","星辰技能1","星辰技能2","星辰技能3","星辰技能4","星辰技能5","星辰技能6","星辰技能7","星辰技能8","星辰技能9","星辰技能10","星辰技能11","星辰技能12","星辰技能13","星辰技能14","星辰技能15","星辰技能16"
"11","13","100","3","534201","534202","534203","534204","534205","534206","534207","534208","534209","534210","534211","534212","534404","534405","534406","534407","540440","540441","540442","540443","540444","540445","540446","540447","540448","540449","540450","540451","540452","540453","540454","540455"
"12","13","100","4","534301","534302","534303","534304","534305","534306","534307","534308","534309","534310","534311","534312","534404","534405","534406","534407","540456","540457","540458","540459","540460","540461","540462","540463","540464","540465","540466","540467","540468","540469","540470","540471"
"13","14","100","1","536001","536002","536003","536004","536005","536006","536007","536008","536009","536010","536011","536012","536400","536401","536402","536403","540569","540570","540571","540572","540573","540574","540575","540576","540577","540578","540579","540580","540581","540582","540583","540584"
"14","14","100","2","536101","536102","536103","536104","536105","536106","536107","536108","536109","536110","536111","536112","536400","536401","536402","536403","540584","540585","540586","540587","540588","540589","540590","540591","540592","540593","540594","540595","540596","540597","540598","540599"
"15","14","100","3","536201","536202","536203","536204","536205","536206","536207","536208","536209","536210","536211","536212","536404","536405","536406","536407","540488","540489","540490","540491","540492","540493","540494","540495","540496","540497","540498","540499","540500","540501","540502","540503"
"16","14","100","4","536301","536302","536303","536304","536305","536306","536307","536308","536309","536310","536311","536312","536404","536405","536406","536407","540472","540473","540474","540475","540476","540477","540478","540479","540480","540481","540482","540483","540484","540485","540486","540487"
"17","15","100","1","537001","537002","537003","537004","537005","537006","537007","537008","537009","537010","537011","537012","537400","537401","537402","537403","540536","540537","540538","540539","540540","540541","540542","540543","540544","540545","540546","540547","540548","540549","540550","540551"
"18","15","100","2","537101","537102","537103","537104","537105","537106","537107","537108","537109","537110","537111","537112","537400","537401","537402","537403","540552","540553","540554","540555","540556","540557","540558","540559","540560","540561","540562","540563","540564","540565","540566","540567"
"19","15","100","3","537201","537202","537203","537204","537205","537206","537207","537208","537209","537210","537211","537212","537404","537405","537406","537407","540568","540569","540570","540571","540572","540573","540574","540575","540576","540577","540578","540579","540580","540581","540582","540583"
"20","15","100","4","537301","537302","537303","537304","537305","537306","537307","537308","537309","537310","537311","537312","537404","537405","537406","537407","540584","540585","540586","540587","540588","540589","540590","540591","540592","540593","540594","540595","540596","540597","540598","540599"
"21","16","100","1","535001","535002","535003","535004","535005","535006","535007","535008","535009","535010","535011","535012","535400","535401","535402","535403","540472","540473","540474","540475","540476","540477","540478","540479","540480","540481","540482","540483","540484","540485","540486","540487"
"22","16","100","2","535101","535102","535103","535104","535105","535106","535107","535108","535109","535110","535111","535112","535400","535401","535402","535403","540488","540489","540490","540491","540492","540493","540494","540495","540496","540497","540498","540499","540500","540501","540502","540503"
"23","16","100","3","535201","535202","535203","535204","535205","535206","535207","535208","535209","535210","535211","535212","535404","535405","535406","535407","540504","540505","540506","540507","540508","540509","540510","540511","540512","540513","540514","540515","540516","540517","540518","540519"
"24","16","100","4","535301","535302","535303","535304","535305","535306","535307","535308","535309","535310","535311","535312","535404","535405","535406","535407","540520","540521","540522","540523","540524","540525","540526","540527","540528","540529","540530","540531","540532","540533","540534","540535"
"25","17","100","1","538001","538002","538003","538004","538005","538006","538007","538008","538009","538010","538011","538012","538400","538401","538402","538403","540536","540537","540538","540539","540540","540541","540542","540543","540544","540545","540546","540547","540548","540549","540550","540551"
"26","17","100","2","538101","538102","538103","538104","538105","538106","538107","538108","538109","538110","538111","538112","538400","538401","538402","538403","540552","540553","540554","540555","540556","540557","540558","540559","540560","540561","540562","540563","540564","540565","540566","540567"
"27","17","100","3","538201","538202","538203","538204","538205","538206","538207","538208","538209","538210","538211","538212","538404","538405","538406","538407","540568","540569","540570","540571","540572","540573","540574","540575","540576","540577","540578","540579","540580","540581","540582","540583"
"28","17","100","4","538301","538302","538303","538304","538305","538306","538307","538308","538309","538310","538311","538312","538404","538405","538406","538407","540584","540585","540586","540587","540588","540589","540590","540591","540592","540593","540594","540595","540596","540597","540598","540599"
"29","18","100","1","540001","540002","540003","540004","540005","540006","540007","540008","540009","540010","540011","540012","540400","540401","540402","540403","540408","540409","540410","540411","540412","540413","540414","540415","540416","540417","540418","540419","540420","540421","540422","540423"
"30","18","100","2","540101","540102","540103","540104","540105","540106","540107","540108","540109","540110","540111","540112","540400","540401","540402","540403","540424","540425","540426","540427","540428","540429","540430","540431","540432","540433","540434","540435","540436","540437","540438","540439"
"31","18","100","3","540201","540202","540203","540204","540205","540206","540207","540208","540209","540210","540211","540212","540404","540405","540406","540407","540440","540441","540442","540443","540444","540445","540446","540447","540448","540449","540450","540451","540452","540453","540454","540455"
"32","18","100","4","540301","540302","540303","540304","540305","540306","540307","540308","540309","540310","540311","540312","540404","540405","540406","540407","540456","540457","540458","540459","540460","540461","540462","540463","540464","540465","540466","540467","540468","540469","540470","540471"
"33","19","100","1","539001","539002","539003","539004","539005","539006","539007","539008","539009","539010","539011","539012","539400","539401","539402","539403","540472","540473","540474","540475","540476","540477","540478","540479","540480","540481","540482","540483","540484","540485","540486","540487"
"34","19","100","2","539101","539102","539103","539104","539105","539106","539107","539108","539109","539110","539111","539112","539400","539401","539402","539403","540488","540489","540490","540491","540492","540493","540494","540495","540496","540497","540498","540499","540500","540501","540502","540503"
"35","19","100","3","539201","539202","539203","539204","539205","539206","539207","539208","539209","539210","539211","539212","539404","539405","539406","539407","540504","540505","540506","540507","540508","540509","540510","540511","540512","540513","540514","540515","540516","540517","540518","540519"
"36","19","100","4","539301","539302","539303","539304","539305","539306","539307","539308","539309","539310","539311","539312","539404","539405","539406","539407","540520","540521","540522","540523","540524","540525","540526","540527","540528","540529","540530","540531","540532","540533","540534","540535"
"37","21","100","1","543001","543002","543003","543004","543005","543006","543007","543008","543009","543010","543011","543012","543400","543401","543402","543403","540472","540473","540474","540475","540476","540477","540478","540479","540480","540481","540482","540483","540484","540485","540486","540487"
"38","21","100","2","543101","543102","543103","543104","543105","543106","543107","543108","543109","543110","543111","543112","543400","543401","543402","543403","540488","540489","540490","540491","540492","540493","540494","540495","540496","540497","540498","540499","540500","540501","540502","540503"
"39","21","100","3","543201","543202","543203","543204","543205","543206","543207","543208","543209","543210","543211","543212","543404","543405","543406","543407","540504","540505","540506","540507","540508","540509","540510","540511","540512","540513","540514","540515","540516","540517","540518","540519"
"40","21","100","4","543301","543302","543303","543304","543305","543306","543307","543308","543309","543310","543311","543312","543404","543405","543406","543407","540520","540521","540522","540523","540524","540525","540526","540527","540528","540529","540530","540531","540532","540533","540534","540535"
"41","22","100","1","541001","541002","541003","541004","541005","541006","541007","541008","541009","541010","541011","541012","541013","541014","541015","541016","540536","540537","540538","540539","540540","540541","540542","540543","540544","540545","540546","540547","540548","540549","540550","540551"
"42","22","100","2","541101","541102","541103","541104","541105","541106","541107","541108","541109","541110","541111","541112","541113","541114","541115","541116","540552","540553","540554","540555","540556","540557","540558","540559","540560","540561","540562","540563","540564","540565","540566","540567"
"43","22","100","3","541201","541202","541203","541204","541205","541206","541207","541208","541209","541210","541211","541212","541213","541214","541215","541216","540568","540569","540570","540571","540572","540573","540574","540575","540576","540577","540578","540579","540580","540581","540582","540583"
"44","22","100","4","541301","541302","541303","541304","541305","541306","541307","541308","541309","541310","541311","541312","541313","541314","541315","541316","540584","540585","540586","540587","540588","540589","540590","540591","540592","540593","540594","540595","540596","540597","540598","540599"
"45","24","100","1","542001","542002","542003","542004","542005","542006","542007","542008","542009","542010","542011","542012","542400","542401","542402","542403","540408","540409","540410","540411","540412","540413","540414","540415","540416","540417","540418","540419","540420","540421","540422","540423"
"46","24","100","2","542101","542102","542103","542104","542105","542106","542107","542108","542109","542110","542111","542112","542400","542401","542402","542403","540424","540425","540426","540427","540428","540429","540430","540431","540432","540433","540434","540435","540436","540437","540438","540439"
"47","24","100","3","542201","542202","542203","542204","542205","542206","542207","542208","542209","542210","542211","542212","542404","542405","542406","542407","540440","540441","540442","540443","540444","540445","540446","540447","540448","540449","540450","540451","540452","540453","540454","540455"
"48","24","100","4","542301","542302","542303","542304","542305","542306","542307","542308","542309","542310","542311","542312","542404","542405","542406","542407","540456","540457","540458","540459","540460","540461","540462","540463","540464","540465","540466","540467","540468","540469","540470","540471"
"49","25","100","1","544001","544002","544003","544004","544005","544006","544007","544008","544009","544010","544011","544012","544400","544401","544402","544403","540536","540537","540538","540539","540540","540541","540542","540543","540544","540545","540546","540547","540548","540549","540550","540551"
"50","25","100","2","544101","544102","544103","544104","544105","544106","544107","544108","544109","544110","544111","544112","544400","544401","544402","544403","540552","540553","540554","540555","540556","540557","540558","540559","540560","540561","540562","540563","540564","540565","540566","540567"
"51","25","100","3","544201","544202","544203","544204","544205","544206","544207","544208","544209","544210","544211","544212","544404","544405","544406","544407","540568","540569","540570","540571","540572","540573","540574","540575","540576","540577","540578","540579","540580","540581","540582","540583"
"52","25","100","4","544301","544302","544303","544304","544305","544306","544307","544308","544309","544310","544311","544312","544404","544405","544406","544407","540584","540585","540586","540587","540588","540589","540590","540591","540592","540593","540594","540595","540596","540597","540598","540599"
