"NPC服务ID","服务类型","服务参数1","服务参数2","服务参数3","服务参数4","服务参数5","服务参数6","服务参数7","服务参数8"
"111231","9","1080000","0","0","0","0","0","0","0"
"111232","9","1080000","0","0","0","0","0","0","0"
"111233","9","1080000","0","0","0","0","0","0","0"
"111234","9","1080000","0","0","0","0","0","0","0"
"111235","9","1080000","0","0","0","0","0","0","0"
"111236","9","1080000","0","0","0","0","0","0","0"
"111237","9","1080000","0","0","0","0","0","0","0"
"111238","9","1080000","0","0","0","0","0","0","0"
"111239","9","1080000","0","0","0","0","0","0","0"
"111240","9","1080000","0","0","0","0","0","0","0"
"111241","9","1080000","0","0","0","0","0","0","0"
"111242","9","1080000","0","0","0","0","0","0","0"
"111243","9","1080000","0","0","0","0","0","0","0"
"111244","9","1080000","0","0","0","0","0","0","0"
"111245","9","1080000","0","0","0","0","0","0","0"
"111246","9","1080000","0","0","0","0","0","0","0"
"111247","9","1080000","0","0","0","0","0","0","0"
"111248","9","1080000","0","0","0","0","0","0","0"
"111249","9","1080000","0","0","0","0","0","0","0"
"111250","9","1080000","0","0","0","0","0","0","0"
"111251","9","1080000","0","0","0","0","0","0","0"
"111252","9","1080000","0","0","0","0","0","0","0"
"111253","9","1080000","0","0","0","0","0","0","0"
"111254","9","1080000","0","0","0","0","0","0","0"
"111255","9","1080000","0","0","0","0","0","0","0"
"111256","9","1080000","0","0","0","0","0","0","0"
"111257","9","1080000","0","0","0","0","0","0","0"
"111258","9","1080000","0","0","0","0","0","0","0"
"111259","9","1080000","0","0","0","0","0","0","0"
"111260","9","1080000","0","0","0","0","0","0","0"
"111261","9","1080000","0","0","0","0","0","0","0"
"111262","9","1080000","0","0","0","0","0","0","0"
"111263","9","1080000","0","0","0","0","0","0","0"
"111264","9","1080000","0","0","0","0","0","0","0"
"111265","9","1080000","0","0","0","0","0","0","0"
"111266","9","1080000","0","0","0","0","0","0","0"
"111267","9","1080000","0","0","0","0","0","0","0"
"111268","9","1080000","0","0","0","0","0","0","0"
"111269","9","1080000","0","0","0","0","0","0","0"
"111270","9","1080000","0","0","0","0","0","0","0"
"111271","9","1080000","0","0","0","0","0","0","0"
"111272","9","1080000","0","0","0","0","0","0","0"
"111273","9","1080000","0","0","0","0","0","0","0"
"111274","9","1080000","0","0","0","0","0","0","0"
"111275","9","1080000","0","0","0","0","0","0","0"
"111276","9","1080000","0","0","0","0","0","0","0"
"111277","9","1080000","0","0","0","0","0","0","0"
"111278","9","1080000","0","0","0","0","0","0","0"
"111279","9","1080000","0","0","0","0","0","0","0"
"111280","9","1080000","0","0","0","0","0","0","0"
"111281","9","1080000","0","0","0","0","0","0","0"
"111282","9","1080000","0","0","0","0","0","0","0"
"111283","9","1080000","0","0","0","0","0","0","0"
"111284","9","1080000","0","0","0","0","0","0","0"
"111285","9","1080000","0","0","0","0","0","0","0"
"111286","9","1080000","0","0","0","0","0","0","0"
"111287","9","1080000","0","0","0","0","0","0","0"
"111288","9","1080000","0","0","0","0","0","0","0"
"111289","9","1080000","0","0","0","0","0","0","0"
"111290","9","1080000","0","0","0","0","0","0","0"
"111291","9","1080000","0","0","0","0","0","0","0"
"111292","9","1080000","0","0","0","0","0","0","0"
"111293","9","1080000","0","0","0","0","0","0","0"
"111294","9","1080000","0","0","0","0","0","0","0"
"111295","9","1080000","0","0","0","0","0","0","0"
"111296","9","1080000","0","0","0","0","0","0","0"
"111297","9","1080000","0","0","0","0","0","0","0"
"111298","9","1080000","0","0","0","0","0","0","0"
"111299","9","1080000","0","0","0","0","0","0","0"
"111300","9","1080000","0","0","0","0","0","0","0"
"111301","9","1080000","0","0","0","0","0","0","0"
"111302","9","1080000","0","0","0","0","0","0","0"
"111303","9","1080000","0","0","0","0","0","0","0"
"111304","9","1080000","0","0","0","0","0","0","0"
"111305","9","1080000","0","0","0","0","0","0","0"
"111306","9","1080000","0","0","0","0","0","0","0"
"111307","9","1080000","0","0","0","0","0","0","0"
"111308","9","1080000","0","0","0","0","0","0","0"
"111309","9","1080000","0","0","0","0","0","0","0"
"111310","9","1080000","0","0","0","0","0","0","0"
"111311","9","1080000","0","0","0","0","0","0","0"
"111312","9","1080000","0","0","0","0","0","0","0"
"111313","9","1080000","0","0","0","0","0","0","0"
"111314","9","1080000","0","0","0","0","0","0","0"
"111315","9","1080000","0","0","0","0","0","0","0"
"111316","9","1080000","0","0","0","0","0","0","0"
"111317","9","1080000","0","0","0","0","0","0","0"
"111318","9","1080000","0","0","0","0","0","0","0"
"111319","9","1080000","0","0","0","0","0","0","0"
"111320","9","1080000","0","0","0","0","0","0","0"
"111321","9","1080000","0","0","0","0","0","0","0"
"111322","9","1080000","0","0","0","0","0","0","0"
"111323","9","1080000","0","0","0","0","0","0","0"
"111324","9","1080000","0","0","0","0","0","0","0"
"111325","9","1080000","0","0","0","0","0","0","0"
"111326","9","1080000","0","0","0","0","0","0","0"
"111327","9","1080000","0","0","0","0","0","0","0"
"111328","9","1080000","0","0","0","0","0","0","0"
"111329","9","1080000","0","0","0","0","0","0","0"
"111330","9","1080000","0","0","0","0","0","0","0"
"111331","9","1080000","0","0","0","0","0","0","0"
"111332","9","1080000","0","0","0","0","0","0","0"
"111333","9","1080000","0","0","0","0","0","0","0"
"111334","9","1080000","0","0","0","0","0","0","0"
"111335","9","1080000","0","0","0","0","0","0","0"
"111336","9","1080000","0","0","0","0","0","0","0"
"111337","9","1080000","0","0","0","0","0","0","0"
"111338","9","1080000","0","0","0","0","0","0","0"
"111339","9","1080000","0","0","0","0","0","0","0"
"111340","9","1080000","0","0","0","0","0","0","0"
"111341","9","1080000","0","0","0","0","0","0","0"
"111342","9","1080000","0","0","0","0","0","0","0"
"111343","9","1080000","0","0","0","0","0","0","0"
"111344","9","1080000","0","0","0","0","0","0","0"
"111345","9","1080000","0","0","0","0","0","0","0"
"111346","9","1080000","0","0","0","0","0","0","0"
"111347","9","1080000","0","0","0","0","0","0","0"
"111348","9","1080000","0","0","0","0","0","0","0"
"111349","9","1080000","0","0","0","0","0","0","0"
"111350","9","1080000","0","0","0","0","0","0","0"
"111351","9","1080000","0","0","0","0","0","0","0"
"111352","9","1080000","0","0","0","0","0","0","0"
"111353","9","1080000","0","0","0","0","0","0","0"
"111354","9","1080000","0","0","0","0","0","0","0"
"111355","9","1080000","0","0","0","0","0","0","0"
"111356","9","1080000","0","0","0","0","0","0","0"
"111357","9","1080000","0","0","0","0","0","0","0"
"111358","9","1080000","0","0","0","0","0","0","0"
"111359","9","1080000","0","0","0","0","0","0","0"
"111360","9","1080000","0","0","0","0","0","0","0"
"111361","9","1080000","0","0","0","0","0","0","0"
"111362","9","1080000","0","0","0","0","0","0","0"
"111363","9","1080000","0","0","0","0","0","0","0"
"111364","9","1080000","0","0","0","0","0","0","0"
"111365","9","1080000","0","0","0","0","0","0","0"
"111366","9","1080000","0","0","0","0","0","0","0"
"111367","9","1080000","0","0","0","0","0","0","0"
"111368","9","1080000","0","0","0","0","0","0","0"
"111369","9","1080000","0","0","0","0","0","0","0"
"111370","9","1080000","0","0","0","0","0","0","0"
"111371","9","1080000","0","0","0","0","0","0","0"
"111372","9","1080000","0","0","0","0","0","0","0"
"111373","9","1080000","0","0","0","0","0","0","0"
"111374","9","1080000","0","0","0","0","0","0","0"
"111375","9","1080000","0","0","0","0","0","0","0"
"111376","9","1080000","0","0","0","0","0","0","0"
"111377","9","1080000","0","0","0","0","0","0","0"
"111378","9","1080000","0","0","0","0","0","0","0"
"111379","9","1080000","0","0","0","0","0","0","0"
"111380","9","1080000","0","0","0","0","0","0","0"
"111381","9","1080000","0","0","0","0","0","0","0"
"111382","9","1080000","0","0","0","0","0","0","0"
"111383","9","1080000","0","0","0","0","0","0","0"
"111384","9","1080000","0","0","0","0","0","0","0"
"111385","9","1080000","0","0","0","0","0","0","0"
"111386","9","1080000","0","0","0","0","0","0","0"
"111387","9","1080000","0","0","0","0","0","0","0"
"111388","9","1080000","0","0","0","0","0","0","0"
"111389","9","1080000","0","0","0","0","0","0","0"
"111390","9","1080000","0","0","0","0","0","0","0"
"100019","1","1090000","0","0","0","0","0","0","0"
"999001","9","1090000","0","0","0","0","0","0","0"
"999002","9","1090000","0","0","0","0","0","0","0"
"999003","9","1090000","0","0","0","0","0","0","0"
"999004","9","1090000","0","0","0","0","0","0","0"
"999005","9","1090000","0","0","0","0","0","0","0"
"100020","1","1110000","0","0","0","0","0","0","0"
"100501","5","1110000","0","0","0","0","0","0","0"
"100185","2","1080000","0","0","0","0","0","0","0"
"910109","12","0","0","0","0","0","0","0","0"
"910104","11","60","0","0","0","0","0","0","0"
"910103","11","59","0","0","0","0","0","0","0"
"910101","11","58","0","0","0","0","0","0","0"
"910100","11","61","0","0","0","0","0","0","0"
"200001","13","510001","0","0","0","0","0","0","0"
"200002","13","510101","0","0","0","0","0","0","0"
"4007","5","1120000","0","0","0","0","0","0","0"
"4008","5","1130000","0","0","0","0","0","0","0"
"4009","5","1140000","0","0","0","0","0","0","0"
"910113","14","1615","0","0","0","0","0","0","0"
"101001","1","1910000","0","0","0","0","0","0","0"
"101002","1","1920000","0","0","0","0","0","0","0"
"101003","5","1910000","0","0","0","0","0","0","0"
"101004","5","1920000","0","0","0","0","0","0","0"
"30005","11","75","0","0","0","0","0","0","0"
"910209","4","45","0","0","0","0","0","0","0"
"910210","4","46","0","0","0","0","0","0","0"
"910211","4","47","0","0","0","0","0","0","0"
"910212","4","48","0","0","0","0","0","0","0"
"910213","4","49","0","0","0","0","0","0","0"
"910214","4","50","0","0","0","0","0","0","0"
"999007","11","5","0","0","0","0","0","0","0"
"999008","11","16","0","0","0","0","0","0","0"
"999009","11","68","0","0","0","0","0","0","0"
"999010","11","43","0","0","0","0","0","0","0"
"999011","11","64","0","0","0","0","0","0","0"
"999012","11","72","0","0","0","0","0","0","0"
"999013","11","66","0","0","0","0","0","0","0"
"999014","11","1","0","0","0","0","0","0","0"
"999015","11","4","0","0","0","0","0","0","0"
"999047","11","25","0","0","0","0","0","0","0"
"999048","11","25","0","0","0","0","0","0","0"
"999049","11","25","0","0","0","0","0","0","0"
"999050","11","25","0","0","0","0","0","0","0"
"999051","11","25","0","0","0","0","0","0","0"
"999295","11","25","0","0","0","0","0","0","0"
"999296","11","25","0","0","0","0","0","0","0"
"999297","11","25","0","0","0","0","0","0","0"
"999298","11","25","0","0","0","0","0","0","0"
"999299","11","25","0","0","0","0","0","0","0"
"999318","11","25","0","0","0","0","0","0","0"
"999319","11","25","0","0","0","0","0","0","0"
"999331","11","25","0","0","0","0","0","0","0"
"999332","11","25","0","0","0","0","0","0","0"
"999333","11","25","0","0","0","0","0","0","0"
"999334","11","25","0","0","0","0","0","0","0"
"999335","11","25","0","0","0","0","0","0","0"
"999336","11","25","0","0","0","0","0","0","0"
"999337","11","25","0","0","0","0","0","0","0"
"999338","11","25","0","0","0","0","0","0","0"
"999339","11","25","0","0","0","0","0","0","0"
"999340","11","29","0","0","0","0","0","0","0"
"999341","14","1693","0","0","0","0","0","0","0"
"999342","14","1694","0","0","0","0","0","0","0"
"999343","14","1695","0","0","0","0","0","0","0"
"999347","14","1623","0","0","0","0","0","0","0"
"999348","14","1698","0","0","0","0","0","0","0"
"999349","14","1697","0","0","0","0","0","0","0"
"999350","14","1689","0","0","0","0","0","0","0"
"999353","14","1688","0","0","0","0","0","0","0"
"999400","0","0","0","0","0","0","0","0","0"
"999401","0","0","0","0","0","0","0","0","0"
"999402","0","0","0","0","0","0","0","0","0"
"999403","0","0","0","0","0","0","0","0","0"
"999404","0","0","0","0","0","0","0","0","0"
"999405","0","0","0","0","0","0","0","0","0"
"999406","0","0","0","0","0","0","0","0","0"
"999407","0","0","0","0","0","0","0","0","0"
"999408","0","0","0","0","0","0","0","0","0"
"999419","0","0","0","0","0","0","0","0","0"
"999420","0","0","0","0","0","0","0","0","0"
"999421","0","0","0","0","0","0","0","0","0"
"999422","14","1802","0","0","0","0","0","0","0"
"999423","14","2107","0","0","0","0","0","0","0"
"999424","14","1698","0","0","0","0","0","0","0"
"999425","14","1689","0","0","0","0","0","0","0"
"999426","14","1617","0","0","0","0","0","0","0"
"999427","14","1618","0","0","0","0","0","0","0"
"999428","14","1619","0","0","0","0","0","0","0"
"999429","14","1621","0","0","0","0","0","0","0"
"999430","14","1690","0","0","0","0","0","0","0"
"999431","14","1691","0","0","0","0","0","0","0"
"999432","14","1692","0","0","0","0","0","0","0"
"999433","14","1620","0","0","0","0","0","0","0"
"999434","14","1623","0","0","0","0","0","0","0"
"999435","14","2106","0","0","0","0","0","0","0"
"999436","14","2105","0","0","0","0","0","0","0"
"999437","14","1616","0","0","0","0","0","0","0"
"999438","14","2113","0","0","0","0","0","0","0"
"999439","14","2114","0","0","0","0","0","0","0"
"999440","14","2115","0","0","0","0","0","0","0"
"999441","14","2116","0","0","0","0","0","0","0"
"999442","2","1070000","0","0","0","0","0","0","0"
"999443","2","1070000","0","0","0","0","0","0","0"
"999444","2","1070000","0","0","0","0","0","0","0"
"999445","14","1620","0","0","0","0","0","0","0"
"999446","14","1617","0","0","0","0","0","0","0"
"999447","14","1618","0","0","0","0","0","0","0"
"999448","14","1619","0","0","0","0","0","0","0"
"999449","14","1621","0","0","0","0","0","0","0"
"999450","14","1622","0","0","0","0","0","0","0"
"999451","14","1690","0","0","0","0","0","0","0"
"999452","14","1691","0","0","0","0","0","0","0"
"999453","14","1692","0","0","0","0","0","0","0"
"999454","0","0","0","0","0","0","0","0","0"
"999456","13","200000","0","0","0","0","0","0","0"
"999457","13","200033","0","0","0","0","0","0","0"
"999458","13","200045","0","0","0","0","0","0","0"
"999459","14","2219","0","0","0","0","0","0","0"
"999463","2","1160000","0","0","0","0","0","0","0"
"999464","13","200069","0","0","0","0","0","0","0"
"999465","13","200072","0","0","0","0","0","0","0"
"999460","1","1170000","0","0","0","0","0","0","0"
"999461","5","1170000","0","0","0","0","0","0","0"
"999351","1","1160000","0","0","0","0","0","0","0"
"999352","5","1160000","0","0","0","0","0","0","0"
"999466","6","60","0","0","0","0","0","0","0"
"999467","10","1","0","0","0","0","0","0","0"
"999468","10","2","0","0","0","0","0","0","0"
"999469","10","3","0","0","0","0","0","0","0"
"999470","10","4","0","0","0","0","0","0","0"
"999471","14","3000","0","0","0","0","0","0","0"
"999472","14","3001","0","0","0","0","0","0","0"
"999473","14","3002","0","0","0","0","0","0","0"
"999474","14","3003","0","0","0","0","0","0","0"
"999475","14","3004","0","0","0","0","0","0","0"
"999476","14","3005","0","0","0","0","0","0","0"
"999477","14","3006","0","0","0","0","0","0","0"
"999478","14","3007","0","0","0","0","0","0","0"
"999479","14","3008","0","0","0","0","0","0","0"
"999480","14","3009","0","0","0","0","0","0","0"
"999481","14","3010","0","0","0","0","0","0","0"
"999482","14","3011","0","0","0","0","0","0","0"
"999483","14","3012","0","0","0","0","0","0","0"
"999484","14","3013","0","0","0","0","0","0","0"
"999485","14","3014","0","0","0","0","0","0","0"
"999486","14","3000","0","0","0","0","0","0","0"
"999487","1","1010000","0","0","0","0","0","0","0"
"999488","2","1180000","0","0","0","0","0","0","0"
"999587","14","3015","0","0","0","0","0","0","0"
"999590","14","2217","0","0","0","0","0","0","0"
"999594","11","6","0","0","0","0","0","0","0"
"999595","11","64","0","0","0","0","0","0","0"
"999596","14","2115","0","0","0","0","0","0","0"
"999597","14","1609","0","0","0","0","0","0","0"
"999598","14","2109","0","0","0","0","0","0","0"
"999599","14","1615","0","0","0","0","0","0","0"
"999600","14","1621","0","0","0","0","0","0","0"
"999601","14","1608","0","0","0","0","0","0","0"
"999642","0","0","0","0","0","0","0","0","0"
"999643","0","0","0","0","0","0","0","0","0"
"999644","0","0","0","0","0","0","0","0","0"
"999645","0","0","0","0","0","0","0","0","0"
"999646","0","0","0","0","0","0","0","0","0"
"999647","0","0","0","0","0","0","0","0","0"
"999648","0","0","0","0","0","0","0","0","0"
"999649","0","0","0","0","0","0","0","0","0"
"999650","0","0","0","0","0","0","0","0","0"
"999651","0","0","0","0","0","0","0","0","0"
"999652","0","0","0","0","0","0","0","0","0"
"999653","0","0","0","0","0","0","0","0","0"
"999654","0","0","0","0","0","0","0","0","0"
"999655","0","0","0","0","0","0","0","0","0"
"999656","0","0","0","0","0","0","0","0","0"
"999657","0","0","0","0","0","0","0","0","0"
"999658","0","0","0","0","0","0","0","0","0"
"999659","0","0","0","0","0","0","0","0","0"
"999660","0","0","0","0","0","0","0","0","0"
"999661","0","0","0","0","0","0","0","0","0"
"999662","0","0","0","0","0","0","0","0","0"
"999663","0","0","0","0","0","0","0","0","0"
"999664","0","0","0","0","0","0","0","0","0"
"999665","0","0","0","0","0","0","0","0","0"
"999666","0","0","0","0","0","0","0","0","0"
"999667","0","0","0","0","0","0","0","0","0"
"999668","0","0","0","0","0","0","0","0","0"
"999669","0","0","0","0","0","0","0","0","0"
"999670","0","0","0","0","0","0","0","0","0"
"999671","0","0","0","0","0","0","0","0","0"
"999672","0","0","0","0","0","0","0","0","0"
"999673","0","0","0","0","0","0","0","0","0"
"999674","0","0","0","0","0","0","0","0","0"
"999675","0","0","0","0","0","0","0","0","0"
"999676","0","0","0","0","0","0","0","0","0"
"999677","0","0","0","0","0","0","0","0","0"
"999678","0","0","0","0","0","0","0","0","0"
"999679","0","0","0","0","0","0","0","0","0"
"999680","0","0","0","0","0","0","0","0","0"
"999681","0","0","0","0","0","0","0","0","0"
"999682","0","0","0","0","0","0","0","0","0"
"999683","0","0","0","0","0","0","0","0","0"
"999684","0","0","0","0","0","0","0","0","0"
"999685","0","0","0","0","0","0","0","0","0"
"999686","0","0","0","0","0","0","0","0","0"
"999687","0","0","0","0","0","0","0","0","0"
"999688","0","0","0","0","0","0","0","0","0"
"999689","0","0","0","0","0","0","0","0","0"
"999690","13","200075","0","0","0","0","0","0","0"
"999691","9","1920000","0","0","0","0","0","0","0"
"999692","9","1920000","0","0","0","0","0","0","0"
"999693","9","1920000","0","0","0","0","0","0","0"
"999694","9","1920000","0","0","0","0","0","0","0"
"999695","9","1920000","0","0","0","0","0","0","0"
"999696","9","1920000","0","0","0","0","0","0","0"
"999697","9","1920000","0","0","0","0","0","0","0"
"999698","9","1920000","0","0","0","0","0","0","0"
"999699","9","1920000","0","0","0","0","0","0","0"
"999700","9","1920000","0","0","0","0","0","0","0"
"999701","13","200078","0","0","0","0","0","0","0"
"999715","14","3020","0","0","0","0","0","0","0"
"999718","14","3021","0","0","0","0","0","0","0"
"999719","14","3022","0","0","0","0","0","0","0"
"999768","14","2107","0","0","0","0","0","0","0"
"999769","14","2116","0","0","0","0","0","0","0"
"999770","14","2115","0","0","0","0","0","0","0"
"999771","14","1698","0","0","0","0","0","0","0"
"999772","14","1617","0","0","0","0","0","0","0"
"999773","14","1618","0","0","0","0","0","0","0"
"999774","14","1619","0","0","0","0","0","0","0"
"999775","14","1690","0","0","0","0","0","0","0"
"999776","14","1691","0","0","0","0","0","0","0"
"999778","14","2106","0","0","0","0","0","0","0"
"999779","14","2200","0","0","0","0","0","0","0"
"999780","14","1616","0","0","0","0","0","0","0"
"999785","14","2105","0","0","0","0","0","0","0"
"999854","6","999","0","0","0","0","0","0","0"
"800101","5","1010000","0","0","0","0","0","0","0"
"800102","5","1010000","0","0","0","0","0","0","0"
"801529","13","200090","0","0","0","0","0","0","0"
"801530","6","363","0","0","0","0","0","0","0"
"801531","14","4013","0","0","0","0","0","0","0"
"910117","6","1","1","0","0","0","0","0","0"
"999346","14","1696","13","31","0","0","0","0","0"
"999786","14","1615","506","65","0","0","0","0","0"
"100187","0","100188","100189","0","0","0","0","0","0"
"100800","11","85","","","","","","",""
"100801","11","55","","","","","","",""
"253999","6","30","0","0","0","0","0","0","0"
"253998","6","31","0","0","0","0","0","0","0"
"254000","6","30","0","0","0","0","0","0","0"
"254001","6","3","0","0","0","0","0","0","0"
"254002","6","4","0","0","0","0","0","0","0"
"254003","6","5","0","0","0","0","0","0","0"
"254004","6","6","0","0","0","0","0","0","0"
"254005","6","7","0","0","0","0","0","0","0"
"254006","6","8","0","0","0","0","0","0","0"
"254007","6","9","0","0","0","0","0","0","0"
"254008","6","10","0","0","0","0","0","0","0"
"254018","6","40","0","0","0","0","0","0","0"
"254019","6","41","0","0","0","0","0","0","0"
"254020","6","42","0","0","0","0","0","0","0"
"254021","6","43","0","0","0","0","0","0","0"
"254050","6","50","0","0","0","0","0","0","0"
"254100","6","70","0","0","0","0","0","0","0"
"254101","6","71","0","0","0","0","0","0","0"
"254102","6","72","0","0","0","0","0","0","0"
"254103","6","73","0","0","0","0","0","0","0"
"254104","6","74","0","0","0","0","0","0","0"
"254105","6","75","0","0","0","0","0","0","0"
"254106","6","76","0","0","0","0","0","0","0"
"254107","6","77","0","0","0","0","0","0","0"
"254108","6","78","0","0","0","0","0","0","0"
"254200","6","80","0","0","0","0","0","0","0"
"254201","6","81","0","0","0","0","0","0","0"
"254202","6","82","0","0","0","0","0","0","0"
"254800","6","90","0","0","0","0","0","0","0"
