"id","名字","传送左上角x","传送左上角y","传送右下角x","传送右下角y","地图类型","是否显示在世界地图上","等级下限","等级上限","从属暗雷","从属暗雷名","暗雷按钮图片普通","暗雷按钮图片按下","暗雷按钮图片灰色","怪物造型","地图怪物","小地图缩放比例","小地图资源路径","小地图大小","挂机地图背景图"
"1617","龙宫","35","40","37","42","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaobeijuluzhou image:xiaobeijuluzhou","538;442",""
"1618","大唐官府","45","54","47","56","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoleiting image:xiaoleiting","666;486",""
"1619","普陀山","71","88","73","90","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaosangzhong image:xiaosangzhong","768;614",""
"1620","狮驼岭","40","97","42","99","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaosenjin image:xiaosenjin","491;553",""
"1621","方寸山","83","92","85","94","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaobeijun image:xiaobeijun","666;512",""
"1622","阴曹地府","54","79","56","81","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoyueguang image:xiaoyueguang","870;614",""
"1623","月宫","53","56","55","58","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaogonghui image:xiaogonghui","712;499",""
"1624","化生寺","15","81","17","83","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoxueyuan image:xiaoxueyuan","600;450",""
"1625","魔王寨","31","69","33","71","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaojiajisen image:xiaojiajisen","419;566",""
"1626","海底迷宫","13","64","15","66","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","",""
"1627","地狱迷宫","49","46","51","48","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:beijingtu7 image:beijingtu7","939;697",""
"1628","瑶池","20","29","22","31","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:beijingtu6 image:beijingtu6","834;689",""
"1629","女娲神迹","43","85","45","87","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","",""
"1630","敦煌城","119","116","121","118","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:nakesamasi image:nakesamasi","666;422",""
"1631","战神山","30","44","32","46","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaozhuri image:xiaozhuri","486;320",""
"1632","女儿村","34","50","36","52","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xnver image:xnver","645;420",""
"9021","须弥海","126","107","128","109","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaomaladun image:xiaomaladun","645;376",""
"5001","大雁塔1层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta1 image:ta1","819;512","set:guaji1 image:jitan1"
"5002","大雁塔2层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5003","大雁塔3层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5004","大雁塔4层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5005","大雁塔5层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5006","大雁塔6层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5007","大雁塔7层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5008","大雁塔8层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5009","大雁塔9层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5010","大雁塔10层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5011","大雁塔11层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5012","大雁塔12层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5013","大雁塔13层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5014","大雁塔14层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5015","大雁塔15层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5016","大雁塔16层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5017","大雁塔17层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5018","大雁塔18层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5019","大雁塔19层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta2 image:ta2","819;512","set:guaji1 image:jitan1"
"5020","大雁塔顶层","57","60","59","62","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.4","set:xiaodayanta3 image:ta3","819;512","set:guaji1 image:jitan1"
"6001","九幽地宫","49","46","51","48","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:beijingtu7 image:beijingtu7","939;697",""
"1712","泡泡乐园89","73","68","73","68","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:baoxiangguoxin image:baoxiangguoxin","640;474",""
"1713","泡泡乐园109","73","68","73","68","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:baoxiangguoxin image:baoxiangguoxin","640;474",""
"1714","泡泡乐园129","73","68","73","68","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:baoxiangguoxin image:baoxiangguoxin","640;474",""
"1727","小雷音寺","64","36","64","36","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xxiaoleiyin image:xxiaoleiyin","645;430",""
"9029","神秘外域","128","109","128","109","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","",""
"9030","月湖","41","96","41","96","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoaihao image:xiaoaihao","645;376",""
"9031","雪境界","80","160","80","160","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","",""
"9032","圣境","128","109","128","109","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xyaochi image:xyaochi","645;376",""
"9033","玄英洞","128","109","128","109","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","645;376",""
"9034","雪境","39","85","39","85","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xmijing4 image:xmijing4","502;502",""
"9035","炼魔狱","80","160","80","160","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","",""
"9036","天女池","39","85","39","85","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","748;474",""
"9037","祈福台","39","85","39","85","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","748;474",""
"9038","昆仑界","12","29","12","29","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","748;474",""
"9039","须弥界","39","85","39","85","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","748;474",""
"9040","战魂界","39","85","39","85","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","748;474",""
"9100","八卦坛","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9101","八卦坛2层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9102","八卦坛3层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9103","八卦坛4层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9104","八卦坛5层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9105","八卦坛6层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9106","八卦坛7层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9107","八卦坛8层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9108","八卦坛9层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9109","八卦坛顶层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9200","蚩尤禁地","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9201","蚩尤禁地2层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9202","蚩尤禁地3层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9203","蚩尤禁地4层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9204","蚩尤禁地5层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9205","蚩尤禁地6层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9206","蚩尤禁地7层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9207","蚩尤禁地8层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9208","蚩尤禁地9层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9209","蚩尤禁地顶层","56","58","56","58","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","0","","0.2","","748;474",""
"9301","王者风云","220","168","220","168","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","621;600",""
"9302","四门绝阵","114","135","114","135","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","621;600",""
"9303","迷踪森林","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","800;600",""
"9304","五庄观","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","700;600",""
"9305","失落黄金城","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","900;600",""
"9306","通天途","34","48","34","48","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","800;660",""
"9307","凛冬部落","34","48","34","48","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","600;600",""
"9308","无名谷","34","48","34","48","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","","800;484",""
"9400","通天塔一层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9401","通天塔二层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9402","通天塔三层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9403","通天塔四层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9404","通天塔五层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9405","通天塔六层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9406","通天塔七层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9407","通天塔八层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9408","通天塔九层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9409","通天塔十层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9410","通天塔十一层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9411","通天塔十二层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9412","通天塔十三层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9413","通天塔十四层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9414","通天塔十五层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9415","通天塔十六层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9416","通天塔十七层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9417","通天塔十八层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9418","通天塔十九层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
"9419","通天塔二十层","34","48","34","48","2","false","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","","","",""
