"等级","等级下限","等级上限","挂机区","升级经验","金钱上限","可达到技能等级上限","宠物出战上限","加点方案数量","离线每分钟经验值","每点双倍点数经验","基准经验","基准银币","援助战斗次数","援助物品次数","求助物品次数","援助声望上限","援助贡献上限"
"27","25","30","无","60575","5000000","27","2","1","526","0","10800","27000","10","10","10","2000","300"
"28","25","30","无","83228","5000000","28","2","1","527","0","11200","28000","10","10","10","2000","300"
"29","25","30","无","109950","5000000","29","2","1","528","0","11600","29000","10","10","10","2000","300"
"30","30","35","无","159952","5000000","30","2","1","529","0","12000","30000","10","10","10","2000","300"
"31","30","35","无","210425","5000000","31","2","1","530","0","12400","31000","10","10","10","2000","300"
"32","30","35","无","234378","5000000","32","2","1","531","0","12800","32000","10","10","10","2000","300"
"33","30","35","无","259627","5000000","33","2","1","532","0","13200","33000","10","10","10","2000","300"
"34","30","35","无","306119","5000000","34","2","1","533","0","13600","34000","10","10","10","2000","300"
"35","35","40","无","354371","5000000","35","2","1","534","0","14000","35000","10","10","10","2000","300"
"36","35","40","无","387226","5000000","36","2","1","535","0","14400","36000","10","10","10","2000","300"
"37","35","40","无","421876","5000000","37","2","1","536","0","14800","37000","10","10","10","2000","300"
"38","35","40","无","458152","5000000","38","2","1","537","0","15200","38000","10","10","10","2000","300"
"39","35","40","无","559632","5000000","39","2","1","538","0","15600","39000","10","10","10","2000","300"
"40","40","45","无","700035","5000000","40","2","2","539","0","16000","40000","10","10","10","2000","300"
"41","40","45","无","753710","5000000","41","2","2","540","0","16400","41000","11","11","11","2000","300"
"42","40","45","无","809939","5000000","42","2","2","541","0","16800","42000","12","12","12","2000","300"
"43","40","45","无","868570","5000000","43","2","2","542","0","17200","43000","13","13","13","2000","300"
"44","40","45","无","1039102","5000000","44","2","2","543","0","17600","44000","14","14","14","2000","300"
"45","45","50","无","1110259","5000000","45","2","2","544","0","18000","45000","15","15","15","2000","300"
"46","45","50","无","1184290","5000000","46","2","2","545","0","18400","46000","16","16","16","2000","300"
"47","45","50","无","1261450","5000000","47","2","2","546","0","18800","47000","17","17","17","2000","300"
"48","45","50","无","1341594","5000000","48","2","2","547","0","19200","48000","18","18","18","2000","300"
"49","45","50","无","1574508","5000000","49","2","2","548","0","19600","49000","19","19","19","2000","300"
"50","50","55","无","1799005","10020000","50","2","2","549","0","20000","50000","20","20","20","2000","300"
"51","50","55","无","1905788","10424000","51","2","2","550","0","20400","51000","21","21","21","2000","300"
"52","50","55","无","2016652","10836000","52","2","2","551","0","20800","52000","22","22","22","2000","300"
"53","50","55","无","2131466","11256000","53","2","2","552","0","21200","53000","23","23","23","2000","300"
"54","50","55","无","2577280","11684000","54","2","2","553","0","21600","54000","24","24","24","2000","300"
"55","55","60","无","2718489","12120000","55","2","2","554","0","22000","55000","25","25","25","2000","300"
"56","55","60","无","4077273","12564000","56","2","2","555","0","22400","56000","26","26","26","2000","300"
"57","55","60","无","4293158","13016000","57","2","2","556","0","22800","57000","27","27","27","2000","300"
"58","55","60","无","4516310","13476000","58","2","2","557","0","23200","58000","28","28","28","2000","300"
"59","55","60","无","4746848","13944000","59","2","2","558","0","23600","59000","29","29","29","2000","300"
"60","60","65","无","6782792","14420000","60","3","2","559","0","24000","60000","30","30","30","2000","300"
"61","60","65","无","8677678","14904000","61","3","2","560","0","24400","61000","31","31","31","2000","300"
"62","60","65","无","10736377","15396000","62","3","2","561","0","24800","62000","32","32","32","2000","300"
"63","60","65","无","12966517","15896000","63","3","2","562","0","25200","63000","33","33","33","2000","300"
"64","60","65","无","15375887","16404000","64","3","2","563","0","25600","64000","34","34","34","2000","300"
"65","65","70","无","17972439","16920000","65","3","2","564","0","26000","65000","35","35","35","2000","300"
"66","65","70","无","22732473","17444000","66","3","2","565","0","26400","66000","35","35","35","2000","300"
"67","65","70","无","27874983","17976000","67","3","2","566","0","26800","67000","35","35","35","2000","300"
"68","65","70","无","33416474","18516000","68","3","2","567","0","27200","68000","35","35","35","2000","300"
"69","65","70","无","39373770","19064000","69","3","2","568","0","27600","69000","35","35","35","2000","300"
"70","70","75","无","41219383","19620000","70","3","2","569","0","28000","70000","35","35","35","2000","300"
"71","70","75","无","42978379","20184000","71","3","2","570","0","28400","71000","35","35","35","2000","300"
"72","70","75","无","44786842","20756000","72","3","2","571","0","28800","72000","35","35","35","2000","300"
"73","70","75","无","46645252","21336000","73","3","2","572","0","29200","73000","35","35","35","2000","300"
"74","70","75","无","48554294","21924000","74","3","2","573","0","29600","74000","35","35","35","2000","300"
"75","75","80","无","50514850","22520000","75","3","2","574","0","30000","75000","35","35","35","2000","300"
"76","75","80","无","52527402","23124000","76","3","2","575","0","30400","76000","35","35","35","2000","300"
"77","75","80","无","54592833","23736000","77","3","2","576","0","30800","77000","35","35","35","2000","300"
"78","75","80","无","56711626","24356000","78","3","2","577","0","31200","78000","35","35","35","2000","300"
"79","75","80","无","58884463","24984000","79","3","2","578","0","31600","79000","35","35","35","2000","300"
"80","80","85","无","61112226","25620000","80","4","2","579","0","32000","80000","35","35","35","2000","300"
"81","80","85","无","63395399","26264000","81","4","2","580","0","32400","81000","35","35","35","2000","300"
"82","80","85","无","65734864","26916000","82","4","2","581","0","32800","82000","35","35","35","2000","300"
"83","80","85","无","68131104","27576000","83","4","2","582","0","33200","83000","35","35","35","2000","300"
"84","80","85","无","70584801","28244000","84","4","2","583","0","33600","84000","35","35","35","2000","300"
"85","85","90","无","73096838","28920000","85","4","2","584","0","34000","85000","35","35","35","2000","300"
"86","85","90","无","75667698","29604000","86","4","2","585","0","34400","86000","35","35","35","2000","300"
"87","85","90","无","78298262","30296000","87","4","2","586","0","34800","87000","35","35","35","2000","300"
"88","85","90","无","80989015","30996000","88","4","2","587","0","35200","88000","35","35","35","2000","300"
"89","85","90","无","83740638","31704000","89","4","2","588","0","35600","89000","35","35","35","2000","300"
"90","90","95","无","86554014","32420000","90","4","3","589","0","36000","90000","35","35","35","2000","300"
"91","90","95","无","89429625","33144000","91","4","3","590","0","36400","91000","35","35","35","2000","300"
"92","90","95","无","92368355","33876000","92","4","3","591","0","36800","92000","35","35","35","2000","300"
"93","90","95","无","95370685","34616000","93","4","3","592","0","37200","93000","35","35","35","2000","300"
"94","90","95","无","98437299","35364000","94","4","3","593","0","37600","94000","35","35","35","2000","300"
"95","95","100","无","101569079","36120000","95","4","3","594","0","38000","95000","35","35","35","2000","300"
"96","95","100","无","104766508","36884000","96","4","3","595","0","38400","96000","35","35","35","2000","300"
"97","95","100","无","108030468","37656000","97","4","3","596","0","38800","97000","35","35","35","2000","300"
"98","95","100","无","111361442","38436000","98","4","3","597","0","39200","98000","35","35","35","2000","300"
"99","95","100","无","114760113","39224000","99","4","3","598","0","39600","99000","35","35","35","2000","300"
"100","100","105","无","118227363","40020000","100","5","3","599","0","40000","100000","35","35","35","2000","300"
"101","100","105","无","121763674","40824000","101","5","3","600","0","40400","101000","35","35","35","2000","300"
"102","100","105","无","125369931","41636000","102","5","3","601","0","40800","102000","35","35","35","2000","300"
"103","100","105","无","129046614","42456000","103","5","3","602","0","41200","103000","35","35","35","2000","300"
"104","100","105","无","132794406","43284000","104","5","3","603","0","41600","104000","35","35","35","2000","300"
"105","105","110","无","136614191","44120000","105","5","3","604","0","42000","105000","35","35","35","2000","300"
"106","105","110","无","140506451","44964000","106","5","3","605","0","42400","106000","35","35","35","2000","300"
"107","105","110","无","144472069","45816000","107","5","3","606","0","42800","107000","35","35","35","2000","300"
"108","105","110","无","148511526","46676000","108","5","3","607","0","43200","108000","35","35","35","2000","300"
"109","105","110","无","152625507","47544000","109","5","3","608","0","43600","109000","35","35","35","2000","300"
"110","110","115","无","156814892","48420000","110","5","3","609","0","44000","110000","35","35","35","2000","300"
"111","110","115","无","161080166","49304000","111","5","3","610","0","44400","111000","35","35","35","2000","300"
"112","110","115","无","165422210","50196000","112","5","3","611","0","44800","112000","35","35","35","2000","300"
"113","110","115","无","169841507","51096000","113","5","3","612","0","45200","113000","35","35","35","2000","300"
"114","110","115","无","174338741","52004000","114","5","3","613","0","45600","114000","35","35","35","2000","300"
"115","115","120","无","178914792","52920000","115","5","3","614","0","46000","115000","35","35","35","2000","300"
"116","115","120","无","183570145","53844000","116","5","3","615","0","46400","116000","35","35","35","2000","300"
"117","115","120","无","188305682","54776000","117","5","3","616","0","46800","117000","35","35","35","2000","300"
"118","115","120","无","193121885","55716000","118","5","3","617","0","47200","118000","35","35","35","2000","300"
"119","115","120","无","198019436","56664000","119","5","3","618","0","47600","119000","35","35","35","2000","300"
"120","120","125","无","202999220","57620000","120","6","3","619","0","48000","120000","35","35","35","2000","300"
"121","120","125","无","208061717","58584000","121","6","3","620","0","48400","121000","35","35","35","2000","300"
"122","120","125","无","213207811","59556000","122","6","3","621","0","48800","122000","35","35","35","2000","300"
"123","120","125","无","218437985","60536000","123","6","3","622","0","49200","123000","35","35","35","2000","300"
"124","120","125","无","223752920","61524000","124","6","3","623","0","49600","124000","35","35","35","2000","300"
"125","125","130","无","229153501","62520000","125","6","3","624","0","50000","125000","35","35","35","2000","300"
"126","125","130","无","234640208","63524000","126","6","3","625","0","50400","126000","35","35","35","2000","300"
"127","125","130","无","240213925","64536000","127","6","3","626","0","50800","127000","35","35","35","2000","300"
"128","125","130","无","245875135","65556000","128","6","3","627","0","51200","128000","35","35","35","2000","300"
"129","125","130","无","251624520","66584000","129","6","3","628","0","51600","129000","35","35","35","2000","300"
"130","125","135","无","257462963","67620000","130","7","3","629","0","52000","130000","35","35","35","2000","300"
"131","125","135","无","263390946","68664000","131","7","3","630","0","52400","131000","35","35","35","2000","300"
"132","125","135","无","269409352","69716000","132","7","3","631","0","52800","132000","35","35","35","2000","300"
"133","125","135","无","275518663","70776000","133","7","3","632","0","53200","133000","35","35","35","2000","300"
"134","125","135","无","281719563","71844000","134","7","3","633","0","53600","134000","35","35","35","2000","300"
"135","125","135","无","288012934","72920000","135","7","3","634","0","54000","135000","35","35","35","2000","300"
"136","125","999","无","294399258","74004000","136","7","3","635","0","54400","136000","35","35","35","2000","300"
"137","125","999","无","300879418","75096000","137","7","3","636","0","54800","137000","35","35","35","2000","300"
"138","125","999","无","307453896","76196000","138","7","3","637","0","55200","138000","35","35","35","2000","300"
"139","125","999","无","314123376","77304000","139","7","3","638","0","55600","139000","35","35","35","2000","300"
"140","125","999","无","320888740","78420000","140","8","3","639","0","56000","140000","35","35","35","2000","300"
"141","125","999","无","327750471","79544000","141","8","3","640","0","56400","141000","35","35","35","2000","300"
"142","125","999","无","334709450","80676000","142","8","3","641","0","56800","142000","35","35","35","2000","300"
"143","125","999","无","341766161","81816000","143","8","3","642","0","57200","143000","35","35","35","2000","300"
"144","125","999","无","348921287","82964000","144","8","3","643","0","57600","144000","35","35","35","2000","300"
"145","125","999","无","356175710","84120000","145","8","3","644","0","58000","145000","35","35","35","2000","300"
"146","125","999","无","363529912","85284000","146","8","3","645","0","58400","146000","35","35","35","2000","300"
"147","125","999","无","370984776","86456000","147","8","3","646","0","58800","147000","35","35","35","2000","300"
"148","125","999","无","378540786","87636000","148","8","3","647","0","59200","148000","35","35","35","2000","300"
"149","125","999","无","386198623","88824000","149","8","3","648","0","59600","149000","35","35","35","2000","300"
"150","125","999","无","393856460","90020000","150","8","3","649","0","60000","150000","35","35","35","2000","300"
"151","125","999","无","401514297","91216000","151","8","3","650","0","60000","150000","35","35","35","2000","300"
"152","125","999","无","409172134","92412000","152","8","3","651","0","60000","150000","35","35","35","2000","300"
"153","125","999","无","416829971","93608000","153","8","3","652","0","60000","150000","35","35","35","2000","300"
"154","125","999","无","424487808","94804000","154","8","3","653","0","60000","150000","35","35","35","2000","300"
"155","125","999","无","732145645","96000000","155","8","3","654","0","60000","150000","35","35","35","2000","300"
"156","125","999","无","1032145645","97196000","156","8","3","655","0","60000","150000","35","35","35","2000","300"
"157","125","999","无","1332145645","98392000","157","8","3","656","0","60000","150000","35","35","35","2000","300"
"158","125","999","无","1651191560","99588000","158","8","3","657","0","60000","150000","35","35","35","2000","300"
"159","125","999","无","1927769930","100784000","159","8","3","658","0","60000","150000","35","35","35","2000","300"
"160","125","999","无","2104348300","101980000","160","8","3","659","0","60000","150000","35","35","35","2000","300"
"161","125","999","无","2104348300","103176000","161","8","3","660","0","60000","150000","35","35","35","2000","300"
"162","125","999","无","2104348300","104372000","162","8","3","661","0","60000","150000","35","35","35","2000","300"
"163","125","999","无","2104348300","105568000","163","8","3","662","0","60000","150000","35","35","35","2000","300"
"164","125","999","无","2104348300","106764000","164","8","3","663","0","60000","150000","35","35","35","2000","300"
"165","125","999","无","2104348300","107960000","165","8","3","664","0","60000","150000","35","35","35","2000","300"
"166","125","999","无","2104348300","109156000","166","8","3","665","0","60000","150000","35","35","35","2000","300"
"167","125","999","无","2104348300","110352000","167","8","3","666","0","60000","150000","35","35","35","2000","300"
"168","125","999","无","2104348300","111548000","168","8","3","667","0","60000","150000","35","35","35","2000","300"
"169","125","999","无","2104348300","112744000","169","8","3","668","0","60000","150000","35","35","35","2000","300"
"170","125","999","无","2104348300","113940000","170","8","3","669","0","60000","150000","35","35","35","2000","300"
"171","125","999","无","2104348300","115136000","171","8","3","670","0","60000","150000","35","35","35","2000","300"
"172","125","999","无","2104348300","116332000","172","8","3","671","0","60000","150000","35","35","35","2000","300"
"173","125","999","无","2104348300","117528000","173","8","3","672","0","60000","150000","35","35","35","2000","300"
"174","125","999","无","2104348300","118724000","174","8","3","673","0","60000","150000","35","35","35","2000","300"
"175","125","999","无","2104348300","119920000","175","8","3","674","0","60000","150000","35","35","35","2000","300"
"176","125","999","无","2104348300","121116000","176","8","3","675","0","60000","150000","35","35","35","2000","300"
"177","125","999","无","2104348300","122312000","177","8","3","676","0","60000","150000","35","35","35","2000","300"
"178","125","999","无","2104348300","123508000","178","8","3","677","0","60000","150000","35","35","35","2000","300"
"179","125","999","无","2104348300","124704000","179","8","3","678","0","60000","150000","35","35","35","2000","300"
"180","125","999","无","2104348300","125900000","180","8","3","679","0","60000","150000","35","35","35","2000","300"
"181","125","999","无","2104348300","127096000","181","8","3","680","0","60000","150000","35","35","35","2000","300"
"182","125","999","无","2104348300","128292000","182","8","3","681","0","60000","150000","35","35","35","2000","300"
"183","125","999","无","2104348300","129488000","183","8","3","682","0","60000","150000","35","35","35","2000","300"
"184","125","999","无","2104348300","130684000","184","8","3","683","0","60000","150000","35","35","35","2000","300"
"185","125","999","无","2104348300","131880000","185","8","3","684","0","60000","150000","35","35","35","2000","300"
"186","125","999","无","2104348300","133076000","186","8","3","685","0","60000","150000","35","35","35","2000","300"
"187","125","999","无","2104348300","134272000","187","8","3","686","0","60000","150000","35","35","35","2000","300"
"188","125","999","无","2104348300","135468000","188","8","3","687","0","60000","150000","35","35","35","2000","300"
"189","125","999","无","2104348300","136664000","189","8","3","688","0","60000","150000","35","35","35","2000","300"
"190","125","999","无","2104348300","137860000","190","8","3","689","0","60000","150000","35","35","35","2000","300"
"191","125","999","无","2104348300","139056000","191","8","3","690","0","60000","150000","35","35","35","2000","300"
"192","125","999","无","2104348300","140252000","192","8","3","691","0","60000","150000","35","35","35","2000","300"
"193","125","999","无","2104348300","141448000","193","8","3","692","0","60000","150000","35","35","35","2000","300"
"194","125","999","无","2104348300","142644000","194","8","3","693","0","60000","150000","35","35","35","2000","300"
"195","125","999","无","2104348300","143840000","195","8","3","694","0","60000","150000","35","35","35","2000","300"
"196","125","999","无","2104348300","145036000","196","8","3","695","0","60000","150000","35","35","35","2000","300"
"197","125","999","无","2104348300","146232000","197","8","3","696","0","60000","150000","35","35","35","2000","300"
"198","125","999","无","2104348300","147428000","198","8","3","697","0","60000","150000","35","35","35","2000","300"
"199","125","999","无","2104348300","148624000","199","8","3","698","0","60000","150000","35","35","35","2000","300"
"200","125","999","无","2104348300","149820000","200","8","3","699","0","60000","150000","35","35","35","2000","300"
"201","125","999","无","2104348300","151016000","201","8","3","700","0","60000","150000","35","35","35","2000","300"
"202","125","999","无","2104348300","152212000","202","8","3","701","0","60000","150000","35","35","35","2000","300"
"203","125","999","无","2104348300","153408000","203","8","3","702","0","60000","150000","35","35","35","2000","300"
"204","125","999","无","2104348300","154604000","204","8","3","703","0","60000","150000","35","35","35","2000","300"
"205","125","999","无","2104348300","155800000","205","8","3","704","0","60000","150000","35","35","35","2000","300"
"206","125","999","无","2104348300","156996000","206","8","3","705","0","60000","150000","35","35","35","2000","300"
"207","125","999","无","2104348300","158192000","207","8","3","706","0","60000","150000","35","35","35","2000","300"
"208","125","999","无","2104348300","159388000","208","8","3","707","0","60000","150000","35","35","35","2000","300"
"209","125","999","无","2104348300","160584000","209","8","3","708","0","60000","150000","35","35","35","2000","300"
"210","125","999","无","2104348300","161780000","210","8","3","709","0","60000","150000","35","35","35","2000","300"
"211","125","999","无","2104348300","162976000","211","8","3","710","0","60000","150000","35","35","35","2000","300"
"212","125","999","无","2104348300","164172000","212","8","3","711","0","60000","150000","35","35","35","2000","300"
"213","125","999","无","2104348300","165368000","213","8","3","712","0","60000","150000","35","35","35","2000","300"
"214","125","999","无","2104348300","166564000","214","8","3","713","0","60000","150000","35","35","35","2000","300"
"215","125","999","无","2104348300","167760000","215","8","3","714","0","60000","150000","35","35","35","2000","300"
"216","125","999","无","2104348300","168956000","216","8","3","715","0","60000","150000","35","35","35","2000","300"
"217","125","999","无","2104348300","170152000","217","8","3","716","0","60000","150000","35","35","35","2000","300"
"218","125","999","无","2104348300","171348000","218","8","3","717","0","60000","150000","35","35","35","2000","300"
"219","125","999","无","2104348300","172544000","219","8","3","718","0","60000","150000","35","35","35","2000","300"
"220","125","999","无","2104348300","173740000","220","8","3","719","0","60000","150000","35","35","35","2000","300"
"221","125","999","无","2104348300","174936000","221","8","3","720","0","60000","150000","35","35","35","2000","300"
"222","125","999","无","2104348300","176132000","222","8","3","721","0","60000","150000","35","35","35","2000","300"
"223","125","999","无","2104348300","177328000","223","8","3","722","0","60000","150000","35","35","35","2000","300"
"224","125","999","无","2104348300","178524000","224","8","3","723","0","60000","150000","35","35","35","2000","300"
"225","125","999","无","2104348300","179720000","225","8","3","724","0","60000","150000","35","35","35","2000","300"
"226","125","999","无","2104348300","180916000","226","8","3","725","0","60000","150000","35","35","35","2000","300"
"227","125","999","无","2104348300","182112000","227","8","3","726","0","60000","150000","35","35","35","2000","300"
"228","125","999","无","2104348300","183308000","228","8","3","727","0","60000","150000","35","35","35","2000","300"
"229","125","999","无","2104348300","184504000","229","8","3","728","0","60000","150000","35","35","35","2000","300"
"230","125","999","无","2104348300","185700000","230","8","3","729","0","60000","150000","35","35","35","2000","300"
"231","125","999","无","2104348300","186896000","231","8","3","730","0","60000","150000","35","35","35","2000","300"
"232","125","999","无","2104348300","188092000","232","8","3","731","0","60000","150000","35","35","35","2000","300"
"233","125","999","无","2104348300","189288000","233","8","3","732","0","60000","150000","35","35","35","2000","300"
"234","125","999","无","2104348300","190484000","234","8","3","733","0","60000","150000","35","35","35","2000","300"
"235","125","999","无","2104348300","191680000","235","8","3","734","0","60000","150000","35","35","35","2000","300"
"236","125","999","无","2104348300","192876000","236","8","3","735","0","60000","150000","35","35","35","2000","300"
"237","125","999","无","2104348300","194072000","237","8","3","736","0","60000","150000","35","35","35","2000","300"
"238","125","999","无","2104348300","195268000","238","8","3","737","0","60000","150000","35","35","35","2000","300"
"239","125","999","无","2104348300","196464000","239","8","3","738","0","60000","150000","35","35","35","2000","300"
"240","125","999","无","2104348300","197660000","240","8","3","739","0","60000","150000","35","35","35","2000","300"
"241","125","999","无","2104348300","198856000","241","8","3","740","0","60000","150000","35","35","35","2000","300"
"242","125","999","无","2104348300","200052000","242","8","3","741","0","60000","150000","35","35","35","2000","300"
"243","125","999","无","2104348300","201248000","243","8","3","742","0","60000","150000","35","35","35","2000","300"
"244","125","999","无","2104348300","202444000","244","8","3","743","0","60000","150000","35","35","35","2000","300"
"245","125","999","无","2104348300","203640000","245","8","3","744","0","60000","150000","35","35","35","2000","300"
"246","125","999","无","2104348300","204836000","246","8","3","745","0","60000","150000","35","35","35","2000","300"
"247","125","999","无","2104348300","206032000","247","8","3","746","0","60000","150000","35","35","35","2000","300"
"248","125","999","无","2104348300","207228000","248","8","3","747","0","60000","150000","35","35","35","2000","300"
"249","125","999","无","2104348300","208424000","249","8","3","748","0","60000","150000","35","35","35","2000","300"
"250","125","999","无","2104348300","209620000","250","8","3","749","0","60000","150000","35","35","35","2000","300"
"251","125","999","无","2104348300","210816000","251","8","3","750","0","60000","150000","35","35","35","2000","300"
"252","125","999","无","2104348300","212012000","252","8","3","751","0","60000","150000","35","35","35","2000","300"
"253","125","999","无","2104348300","213208000","253","8","3","752","0","60000","150000","35","35","35","2000","300"
"254","125","999","无","2104348300","214404000","254","8","3","753","0","60000","150000","35","35","35","2000","300"
"255","125","999","无","2104348300","215600000","255","8","3","754","0","60000","150000","35","35","35","2000","300"
"256","125","999","无","2104348300","216796000","256","8","3","755","0","60000","150000","35","35","35","2000","300"
"257","125","999","无","2104348300","217992000","257","8","3","756","0","60000","150000","35","35","35","2000","300"
"258","125","999","无","2104348300","219188000","258","8","3","757","0","60000","150000","35","35","35","2000","300"
"259","125","999","无","2104348300","220384000","259","8","3","758","0","60000","150000","35","35","35","2000","300"
"260","125","999","无","2104348300","221580000","260","8","3","759","0","60000","150000","35","35","35","2000","300"
"261","125","999","无","2104348300","222776000","261","8","3","760","0","60000","150000","35","35","35","2000","300"
"262","125","999","无","2104348300","223972000","262","8","3","761","0","60000","150000","35","35","35","2000","300"
"263","125","999","无","2104348300","225168000","263","8","3","762","0","60000","150000","35","35","35","2000","300"
"264","125","999","无","2104348300","226364000","264","8","3","763","0","60000","150000","35","35","35","2000","300"
"265","125","999","无","2104348300","227560000","265","8","3","764","0","60000","150000","35","35","35","2000","300"
"266","125","999","无","2104348300","228756000","266","8","3","765","0","60000","150000","35","35","35","2000","300"
"267","125","999","无","2104348300","229952000","267","8","3","766","0","60000","150000","35","35","35","2000","300"
"268","125","999","无","2104348300","231148000","268","8","3","767","0","60000","150000","35","35","35","2000","300"
"269","125","999","无","2104348300","232344000","269","8","3","768","0","60000","150000","35","35","35","2000","300"
"270","125","999","无","2104348300","233540000","270","8","3","769","0","60000","150000","35","35","35","2000","300"
"271","125","999","无","2104348300","234736000","271","8","3","770","0","60000","150000","35","35","35","2000","300"
"272","125","999","无","2104348300","235932000","272","8","3","771","0","60000","150000","35","35","35","2000","300"
"273","125","999","无","2104348300","237128000","273","8","3","772","0","60000","150000","35","35","35","2000","300"
"274","125","999","无","2104348300","238324000","274","8","3","773","0","60000","150000","35","35","35","2000","300"
"275","125","999","无","2104348300","239520000","275","8","3","774","0","60000","150000","35","35","35","2000","300"
"276","125","999","无","2104348300","240716000","276","8","3","775","0","60000","150000","35","35","35","2000","300"
"277","125","999","无","2104348300","241912000","277","8","3","776","0","60000","150000","35","35","35","2000","300"
"278","125","999","无","2104348300","243108000","278","8","3","777","0","60000","150000","35","35","35","2000","300"
"279","125","999","无","2104348300","244304000","279","8","3","778","0","60000","150000","35","35","35","2000","300"
"280","125","999","无","2104348300","245500000","280","8","3","779","0","60000","150000","35","35","35","2000","300"
"281","125","999","无","2104348300","246696000","281","8","3","780","0","60000","150000","35","35","35","2000","300"
"282","125","999","无","2104348300","247892000","282","8","3","781","0","60000","150000","35","35","35","2000","300"
"283","125","999","无","2104348300","249088000","283","8","3","782","0","60000","150000","35","35","35","2000","300"
"284","125","999","无","2104348300","250284000","284","8","3","783","0","60000","150000","35","35","35","2000","300"
"285","125","999","无","2104348300","251480000","285","8","3","784","0","60000","150000","35","35","35","2000","300"
"286","125","999","无","2104348300","252676000","286","8","3","785","0","60000","150000","35","35","35","2000","300"
"287","125","999","无","2104348300","253872000","287","8","3","786","0","60000","150000","35","35","35","2000","300"
"288","125","999","无","2104348300","255068000","288","8","3","787","0","60000","150000","35","35","35","2000","300"
"289","125","999","无","2104348300","256264000","289","8","3","788","0","60000","150000","35","35","35","2000","300"
"290","125","999","无","2104348300","257460000","290","8","3","789","0","60000","150000","35","35","35","2000","300"
"291","125","999","无","2104348300","258656000","291","8","3","790","0","60000","150000","35","35","35","2000","300"
"292","125","999","无","2104348300","259852000","292","8","3","791","0","60000","150000","35","35","35","2000","300"
"293","125","999","无","2104348300","261048000","293","8","3","792","0","60000","150000","35","35","35","2000","300"
"294","125","999","无","2104348300","262244000","294","8","3","793","0","60000","150000","35","35","35","2000","300"
"295","125","999","无","2104348300","263440000","295","8","3","794","0","60000","150000","35","35","35","2000","300"
"296","125","999","无","2104348300","264636000","296","8","3","795","0","60000","150000","35","35","35","2000","300"
"297","125","999","无","2104348300","265832000","297","8","3","796","0","60000","150000","35","35","35","2000","300"
"298","125","999","无","2104348300","267028000","298","8","3","797","0","60000","150000","35","35","35","2000","300"
"299","125","999","无","2104348300","268224000","299","8","3","798","0","60000","150000","35","35","35","2000","300"
"300","125","999","无","2104348300","269420000","300","8","3","799","0","60000","150000","35","35","35","2000","300"
