"id","名称","物品id1","物品id1权重","物品id2","物品id2权重","物品id3","物品id3权重","物品id4","物品id4权重","物品id5","物品id5权重","物品id6","物品id6权重","物品id7","物品id7权重","物品id8","物品id8权重","物品id9","物品id9权重","物品id10","物品id10权重","物品id11","物品id11权重","物品id12","物品id12权重","物品id13","物品id13权重","物品id14","物品id14权重","物品id15","物品id15权重","物品id16","物品id16权重","物品id17","物品id17权重","物品id18","物品id18权重","物品id19","物品id19权重","物品id20","物品id20权重","物品id21","物品id21权重","物品id22","物品id22权重","物品id23","物品id23权重","物品id24","物品id24权重","物品id25","物品id25权重","物品id26","物品id26权重","物品id27","物品id27权重","物品id28","物品id28权重","物品id29","物品id29权重","物品id30","物品id30权重","物品id31","物品id31权重","物品id32","物品id32权重","物品id33","物品id33权重","物品id34","物品id34权重","物品id35","物品id35权重","物品id36","物品id36权重","物品id37","物品id37权重","物品id38","物品id38权重","物品id39","物品id39权重","物品id40","物品id40权重","物品id41","物品id41权重","物品id42","物品id42权重","物品id43","物品id43权重","物品id44","物品id44权重","物品id45","物品id45权重","物品id46","物品id46权重","物品id47","物品id47权重","物品id48","物品id48权重","物品id49","物品id49权重","物品id50","物品id50权重","物品id51","物品id51权重","物品id52","物品id52权重","物品id53","物品id53权重","物品id54","物品id54权重","物品id55","物品id55权重","物品id56","物品id56权重","物品id57","物品id57权重","物品id58","物品id58权重","物品id59","物品id59权重","物品id60","物品id60权重","物品id61","物品id61权重","物品id62","物品id62权重","物品id63","物品id63权重","物品id64","物品id64权重","物品id65","物品id65权重","物品id66","物品id66权重","物品id67","物品id67权重","物品id68","物品id68权重","物品id69","物品id69权重","物品id70","物品id70权重","物品id71","物品id71权重","物品id72","物品id72权重","物品id73","物品id73权重","物品id74","物品id74权重","物品id75","物品id75权重","物品id76","物品id76权重","物品id77","物品id77权重","物品id78","物品id78权重","物品id79","物品id79权重","物品id80","物品id80权重","物品id81","物品id81权重","物品id82","物品id82权重","物品id83","物品id83权重","物品id84","物品id84权重","物品id85","物品id85权重","物品id86","物品id86权重","物品id87","物品id87权重","物品id88","物品id88权重","物品id89","物品id89权重","物品id90","物品id90权重","物品id91","物品id91权重","物品id92","物品id92权重","物品id93","物品id93权重","物品id94","物品id94权重","物品id95","物品id95权重","物品id96","物品id96权重","物品id97","物品id97权重","物品id98","物品id98权重","物品id99","物品id99权重","物品id100","物品id100权重","物品id101","物品id101权重","物品id102","物品id102权重","物品id103","物品id103权重","物品id104","物品id104权重","物品id105","物品id105权重","物品id106","物品id106权重","物品id107","物品id107权重","物品id108","物品id108权重","物品id109","物品id109权重","物品id110","物品id110权重","物品id111","物品id111权重","物品id112","物品id112权重","物品id113","物品id113权重","物品id114","物品id114权重","物品id115","物品id115权重","物品id116","物品id116权重","物品id117","物品id117权重","物品id118","物品id118权重","物品id119","物品id119权重","物品id120","物品id120权重","物品id121","物品id121权重","物品id122","物品id122权重","物品id123","物品id123权重","物品id124","物品id124权重","物品id125","物品id125权重","物品id126","物品id126权重","物品id127","物品id127权重","物品id128","物品id128权重","物品id129","物品id129权重","物品id130","物品id130权重","物品id131","物品id131权重","物品id132","物品id132权重","物品id133","物品id133权重","物品id134","物品id134权重","物品id135","物品id135权重","物品id136","物品id136权重","物品id137","物品id137权重","物品id138","物品id138权重","物品id139","物品id139权重","物品id140","物品id140权重"
"200011","一级宝石奖励","35001","100","35002","100","35003","100","35004","100","35005","100","35006","100","35007","100","35008","100","35009","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200012","二级宝石奖励","35010","100","35011","100","35012","100","35013","100","35014","100","35015","100","35016","100","35017","100","35018","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200013","三级宝石奖励","35019","100","35020","100","35021","100","35022","100","35023","100","35024","100","35025","100","35026","100","35027","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200014","魔宠秘籍","311001","100","311002","100","311003","100","311004","100","311005","100","311006","100","311007","100","311008","100","311009","100","311010","100","311011","100","311012","100","311013","100","311014","100","311015","100","311016","100","311017","100","311018","100","311019","100","311020","100","311021","100","311022","100","311023","100","311024","100","311025","100","311026","100","311027","100","311028","100","311029","100","311030","100","311031","100","311032","100","311033","100","311034","100","311035","100","311036","100","311037","100","311075","100","311076","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200015","高级魔宠秘籍","311038","100","311039","100","311040","100","311041","100","311042","100","311043","100","311044","100","311045","100","311046","100","311047","100","311048","100","311049","100","311050","100","311051","100","311052","100","311053","100","311054","100","311055","100","311056","100","311057","100","311058","100","311059","100","311060","100","311061","100","311062","100","311063","100","311064","100","311065","100","311066","100","311067","100","311068","100","311069","100","311070","100","311071","100","311072","100","311073","100","311074","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200016","远古宝藏宝箱","331350","20","331351","20","331352","50","331353","100","331354","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200017","40级蓝装库","6040101","50","6040102","50","6040103","50","6040104","50","6040105","50","6040106","50","6040207","100","6040208","100","6040309","100","6040310","100","6040411","100","6040512","100","6040613","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200018","50级蓝装库","6050101","50","6050102","50","6050103","50","6050104","50","6050105","50","6050106","50","6050207","100","6050208","100","6050309","100","6050310","100","6050411","100","6050512","100","6050613","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200019","60级蓝装库","6060101","50","6060102","50","6060103","50","6060104","50","6060105","50","6060106","50","6060207","100","6060208","100","6060309","100","6060310","100","6060411","100","6060512","100","6060613","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200020","40级紫装库","7040101","50","7040102","50","7040103","50","7040104","50","7040105","50","7040106","50","7040207","100","7040208","100","7040309","100","7040310","100","7040411","100","7040512","100","7040613","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200021","50级紫装库","7050101","50","7050102","50","7050103","50","7050104","50","7050105","50","7050106","50","7050207","100","7050208","100","7050309","100","7050310","100","7050411","100","7050512","100","7050613","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200022","60级紫装库","7060101","50","7060102","50","7060103","50","7060104","50","7060105","50","7060106","50","7060207","100","7060208","100","7060309","100","7060310","100","7060411","100","7060512","100","7060613","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200023","二级药库","320150","100","320151","100","320152","100","320153","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200024","公会二级药库","320154","100","320155","100","320156","100","320157","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200025","40-50蓝装混合库","6040101","35","6040102","35","6040103","35","6040104","35","6040105","35","6040106","35","6040207","70","6040208","70","6040309","70","6040310","70","6040411","70","6040512","70","6040613","70","6050101","15","6050102","15","6050103","15","6050104","15","6050105","15","6050106","15","6050207","30","6050208","30","6050309","30","6050310","30","6050411","30","6050512","30","6050613","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200026","40-50紫装混合库A","7040101","50","7040102","50","7040103","50","7040104","50","7040105","50","7040106","50","7040207","100","7040208","100","7040309","100","7040310","100","7040411","100","7040512","100","7040613","100","7050101","10","7050102","10","7050103","10","7050104","10","7050105","10","7050106","10","7050207","20","7050208","20","7050309","20","7050310","20","7050411","20","7050512","20","7050613","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200027","40-50紫装混合库B","7040101","50","7040102","50","7040103","50","7040104","50","7040105","50","7040106","50","7040207","100","7040208","100","7040309","100","7040310","100","7040411","100","7040512","100","7040613","100","7050101","15","7050102","15","7050103","15","7050104","15","7050105","15","7050106","15","7050207","30","7050208","30","7050309","30","7050310","30","7050411","30","7050512","30","7050613","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200028","40-50-60蓝装混合库","6040101","30","6040102","30","6040103","30","6040104","30","6040105","30","6040106","30","6040207","60","6040208","60","6040309","60","6040310","60","6040411","60","6040512","60","6040613","60","6050101","30","6050102","30","6050103","30","6050104","30","6050105","30","6050106","30","6050207","60","6050208","60","6050309","60","6050310","60","6050411","60","6050512","60","6050613","60","6060101","5","6060102","5","6060103","5","6060104","5","6060105","5","6060106","5","6060207","10","6060208","10","6060309","10","6060310","10","6060411","10","6060512","10","6060613","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200029","40-50-60紫装混合库","7040101","20","7040102","20","7040103","20","7040104","20","7040105","20","7040106","20","7040207","40","7040208","40","7040309","40","7040310","40","7040411","40","7040512","40","7040613","40","7050101","15","7050102","15","7050103","15","7050104","15","7050105","15","7050106","15","7050207","30","7050208","30","7050309","30","7050310","30","7050411","30","7050512","30","7050613","30","7060101","2","7060102","2","7060103","2","7060104","2","7060105","2","7060106","2","7060207","4","7060208","4","7060309","4","7060310","4","7060411","4","7060512","4","7060613","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200030","50-60蓝装混合库","6050101","30","6050102","30","6050103","30","6050104","30","6050105","30","6050106","30","6050207","60","6050208","60","6050309","60","6050310","60","6050411","60","6050512","60","6050613","60","6060101","10","6060102","10","6060103","10","6060104","10","6060105","10","6060106","10","6060207","20","6060208","20","6060309","20","6060310","20","6060411","20","6060512","20","6060613","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
