"服务编号","子服务1","子服务2","子服务3","子服务4","子服务5","子服务6","子服务7","子服务8","子服务9","子服务10","子服务11","子服务12","子服务13","子服务14","子服务15","子服务16","子服务17","子服务18","子服务19","子服务20","子服务21","子服务22","子服务23","子服务24","子服务25","子服务26","子服务27","子服务28","子服务29","子服务30","条件1","参数11","参数12","条件2","参数21","参数22","条件3","参数31","参数32","条件4","参数41","参数42","条件5","参数51","参数52","条件6","参数61","参数62","条件7","参数71","参数72","条件8","参数81","参数82","条件9","参数91","参数92","标示图标","描述","菜单介绍","打开网页","是否自动"
"1486","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第4关","","","1"
"1487","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第5关","","","1"
"1488","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第6关","","","1"
"1489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第7关","","","1"
"1490","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第8关","","","1"
"1491","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第9关","","","1"
"1492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第10关","","","1"
"1493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第11关","","","1"
"1494","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第12关","","","1"
"1495","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第13关","","","1"
"1496","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第14关","","","1"
"1497","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第15关","","","1"
"1498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第16关","","","1"
"1499","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第17关","","","1"
"1500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第18关","","","1"
"1501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第19关","","","1"
"1502","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第20关","","","1"
"1503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第21关","","","1"
"1504","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第22关","","","1"
"1505","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第23关","","","1"
"1506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第24关","","","1"
"1507","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","海底秘境  第25关","","","1"
"1508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第1关","","","1"
"1509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第2关","","","1"
"1510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第3关","","","1"
"1511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第4关","","","1"
"1512","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第5关","","","1"
"1513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第6关","","","1"
"1514","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第7关","","","1"
"1515","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第8关","","","1"
"1516","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第9关","","","1"
"1517","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第10关","","","1"
"1518","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第11关","","","1"
"1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第12关","","","1"
"1520","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第13关","","","1"
"1521","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第14关","","","1"
"1522","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第15关","","","1"
"1523","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第16关","","","1"
"1524","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第17关","","","1"
"1525","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第18关","","","1"
"1526","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第19关","","","1"
"1527","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第20关","","","1"
"1528","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第21关","","","1"
"1529","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第22关","","","1"
"1530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第23关","","","1"
"1531","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第24关","","","1"
"1532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第25关","","","1"
"1533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第26关","","","1"
"1534","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第27关","","","1"
"1535","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第28关","","","1"
"1536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第29关","","","1"
"1537","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","地狱法阵  第30关","","","1"
"1538","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第1关","","","1"
"1539","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第2关","","","1"
"1540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第3关","","","1"
"1541","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第4关","","","1"
"1542","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第5关","","","1"
"1543","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第6关","","","1"
"1544","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第7关","","","1"
"1545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第8关","","","1"
"1546","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第9关","","","1"
"1547","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第10关","","","1"
"1548","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第11关","","","1"
"1549","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第12关","","","1"
"1550","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第13关","","","1"
"1551","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第14关","","","1"
"1552","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第15关","","","1"
"1553","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第16关","","","1"
"1554","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第17关","","","1"
"1555","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第18关","","","1"
"1556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第19关","","","1"
"1557","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第20关","","","1"
"1558","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第21关","","","1"
"1559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第22关","","","1"
"1560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第23关","","","1"
"1561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第24关","","","1"
"1562","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第25关","","","1"
"1563","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第26关","","","1"
"1564","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第27关","","","1"
"1565","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第28关","","","1"
"1566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第29关","","","1"
"1567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第30关","","","1"
"1568","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第31关","","","1"
"1569","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第32关","","","1"
"1570","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第33关","","","1"
"1571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第34关","","","1"
"1572","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第35关","","","1"
"1573","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第36关","","","1"
"1574","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","瑶池仙阵  第37关","","","1"
"1753","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","我来领取奖励","","",""
"1754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","我来领取奖励","","",""
"1801","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","我要放弃未完成的任务","","",""
"3000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","14","14","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","12","12","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","13","13","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","16","16","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","11","11","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","15","15","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","18","18","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","17","17","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","19","19","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","20","20","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","21","21","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","22","22","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","23","23","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3029","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","24","24","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","25","25","1","15","300","8","1010000","0","","","","","","","","","","","","","","","","","","","1","领取师门任务","","",""
"3010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","14","14","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","12","12","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","13","13","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","16","16","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","11","11","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","15","15","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","18","18","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","17","17","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","19","19","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","20","20","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","21","21","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3027","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","22","22","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","23","23","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","24","24","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"3033","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","25","25","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","1","师门任务","","","1"
"4000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","1030000","0","","","","","","","","","","","","","","","","","","","","","","","","","1","领取抓鬼任务","","",""
"4001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","20","300","","","","","","","","","","","","","","","","","","","","","","","","","1","提交抓鬼任务","","",""
"4002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","20","300","","","","","","","","","","","","","","","","","","","","","","","","","1","查询次数","","",""
"4003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","便捷组队","","",""
"4004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","进入战斗","循环任务战斗服务","",""
"4005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","进入战斗","定时刷怪服务","",""
"4006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","进入战斗","事件触发刷怪服务","",""
"5000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","提交循环任务","","",""
"5001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","任性一下循环任务","","",""
"10001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","返回","","",""
"10002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","返回","","",""
"10003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","返回","","",""
"10004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","稍后再说","","",""
"10005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","稍后再说","","",""
"30000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","购买物品","","",""
"30001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","购买物品","","",""
"30002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","进入银行","","",""
"30003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","购买宠物","","",""
"30004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","打开商会","","",""
"30005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","珍品找回","","",""
"100001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","25","300","8","1040000","0","","","","","","","","","","","","","","","","","","","","","","5","听听无妨","","",""
