"造型id","造型","全身像","半身像id","小头像id","小地图头像","描述","几个方向","影子尺寸","攻击音效","施法音效","是否远程","是否进行位移","是否染色","部件1","部件2","部件3","显示武器ID","显示坐骑ID","秘境头像","透明化半身像","圆形头像","站位点专用"
"1010109","role-yulingshen","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6100115","","921","1856","",""
"1010110","role-wutianji","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6100111","","922","1857","",""
"1010111","role-menglinglong","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6100112","","923","1858","",""
"1010112","role-xuancaie","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6100105","","924","1859","",""
"1010113","role-shapolang","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6100110","","929","1864","",""
"1010114","role-hutouguai","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6100103","","930","1865","",""
"1010115","role-jumowang","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6100113","","931","1866","",""
"1010116","role-gujingling","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6100106","","932","1867","",""
"1010117","role-humeiren","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6100108","","933","1868","",""
"1888389","paopao","","9130","30332","","下面是主角模型：4方向，用于战斗","8","2","mt-_niutouren_gongji1","mt-_niutouren_shifa2","0","0","0","0","0","0","","","","","",""
"1011101","role-jianxiake","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6100101","","913","1848","",""
"1011102","role-xiaoyaosheng","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6100104","","914","1849","",""
"1011103","role-moshaojun","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6100117","","915","1850","",""
"1011104","role-feiyannv","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6100109","","916","1851","",""
"1011105","role-yingnvxia","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6100114","","917","1852","",""
"1011106","role-wumaner","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6100116","","918","1853","",""
"1011107","role-longtaizi","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6100102","","919","1854","",""
"1011108","role-shentianbing","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6100107","","920","1855","",""
"1011109","role-yulingshen","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6100115","","921","1856","",""
"1011110","role-wutianji","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6100111","","922","1857","",""
"1011111","role-menglinglong","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6100112","","923","1858","",""
"1011112","role-xuancaie","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6100105","","924","1859","",""
"1011113","role-shapolang","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6100110","","929","1864","",""
"1011114","role-hutouguai","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6100103","","930","1865","",""
"1011115","role-jumowang","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6100113","","931","1866","",""
"1011116","role-gujingling","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6100106","","932","1867","",""
"1011117","role-humeiren","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6100108","","933","1868","",""
"1011118","role-jianxiake","","9000","30200","30217","剑侠客-100级武器","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6120101","","913","1848","",""
"1011119","role-xiaoyaosheng","","9001","30201","30218","逍遥生-100级武器","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6120102","","914","1849","",""
"1011120","role-moshaojun","","9002","30202","30219","漠少君-100级武器","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6120103","","915","1850","",""
"1011121","role-feiyannv","","9003","30203","30220","飞燕女-100级武器","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6120104","","916","1851","",""
"1011122","role-yingnvxia","","9004","30204","30221","英女侠-100级武器","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6120105","","917","1852","",""
"1011123","role-wumaner","","9005","30205","30222","巫蛮儿-100级武器","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6120106","","918","1853","",""
"1011124","role-longtaizi","","9006","30206","30223","龙太子-100级武器","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6120107","","919","1854","",""
"1011125","role-shentianbing","","9007","30207","30224","神天兵-100级武器","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6120108","","920","1855","",""
"1011126","role-yulingshen","","9008","30208","30225","羽灵神-100级武器","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6120109","","921","1856","",""
"1011127","role-wutianji","","9009","30209","30226","舞天姬-100级武器","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6120110","","922","1857","",""
"1011128","role-menglinglong","","9010","30210","30227","梦玲珑-100级武器","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6120111","","923","1858","",""
"1011129","role-xuancaie","","9011","30211","30228","玄彩娥-100级武器","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6120112","","924","1859","",""
"1011130","role-shapolang","","9012","30212","30229","杀破狼-100级武器","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6120113","","929","1864","",""
"1011131","role-hutouguai","","9013","30213","30230","虎头怪-100级武器","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6120114","","930","1865","",""
"1011132","role-jumowang","","9014","30214","30231","巨魔王-100级武器","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6120115","","931","1866","",""
"1011133","role-gujingling","","9015","30215","30232","骨精灵-100级武器","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6120116","","932","1867","",""
"1011134","role-humeiren","","9016","30216","30233","狐美人-100级武器","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6120117","","933","1868","",""
"1988239","paopao","","9130","30332","","下面是锦衣","8","2","mt-_niutouren_gongji1","mt-_niutouren_shifa2","0","0","0","0","0","0","","","","","",""
"3000001","fashion-jianxiake1","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6070101","","916","1851","",""
"3001001","fashion-jianxiake2","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6070101","","916","1851","",""
"3002001","fashion-jianxiake3","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6070101","","916","1851","",""
"3003001","fashion-jianxiake4","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6070101","","916","1851","",""
"3004001","fashion-jianxiake5","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6070101","","916","1851","",""
"3005001","fashion-jianxiake6","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6070101","","916","1851","",""
"3006001","fashion-jianxiake7","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6070101","","916","1851","",""
"3007001","fashion-jianxiake8","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6070101","","916","1851","",""
"3008001","fashion-jianxiake9","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6070101","","916","1851","",""
"3009001","fashion-jianxiake10","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6070101","","916","1851","",""
"3000002","fashion-xiaoyaosheng1","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6070104","","932","1867","",""
"3001002","fashion-xiaoyaosheng2","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6070104","","932","1867","",""
"3002002","fashion-xiaoyaosheng3","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6070104","","932","1867","",""
"3003002","fashion-xiaoyaosheng4","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6070104","","932","1867","",""
"3004002","fashion-xiaoyaosheng5","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6070104","","932","1867","",""
"3005002","fashion-xiaoyaosheng6","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6070104","","932","1867","",""
"3006002","fashion-xiaoyaosheng7","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6070104","","932","1867","",""
"3007002","fashion-xiaoyaosheng8","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6070104","","932","1867","",""
"3008002","fashion-xiaoyaosheng9","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6070104","","932","1867","",""
"3009002","fashion-xiaoyaosheng10","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6070104","","932","1867","",""
"3000003","fashion-moshaojun1","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6070117","","933","1868","",""
"3001003","fashion-moshaojun2","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6070117","","933","1868","",""
"3002003","fashion-moshaojun3","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6070117","","933","1868","",""
"3003003","fashion-moshaojun4","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6070117","","933","1868","",""
"3004003","fashion-moshaojun5","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6070117","","933","1868","",""
"3005003","fashion-moshaojun6","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6070117","","933","1868","",""
"3006003","fashion-moshaojun7","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6070117","","933","1868","",""
"3007003","fashion-moshaojun8","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6070117","","933","1868","",""
"3008003","fashion-moshaojun9","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6070117","","933","1868","",""
"3009003","fashion-moshaojun10","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6070117","","933","1868","",""
"3000004","fashion-feiyannv1","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6070109","","930","1865","",""
"3001004","fashion-feiyannv2","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6070109","","930","1865","",""
"3002004","fashion-feiyannv3","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6070109","","930","1865","",""
"3003004","fashion-feiyannv4","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6070109","","930","1865","",""
"3004004","fashion-feiyannv5","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6070109","","930","1865","",""
"3005004","fashion-feiyannv6","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6070109","","930","1865","",""
"3006004","fashion-feiyannv7","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6070109","","930","1865","",""
"3007004","fashion-feiyannv8","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6070109","","930","1865","",""
"3008004","fashion-feiyannv9","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6070109","","930","1865","",""
"3009004","fashion-feiyannv10","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6070109","","930","1865","",""
"3000005","fashion-yingnvxia1","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6050114","","913","1848","",""
"3001005","fashion-yingnvxia2","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6050114","","913","1848","",""
"3002005","fashion-yingnvxia3","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6050114","","913","1848","",""
"3003005","fashion-yingnvxia4","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6050114","","913","1848","",""
"3004005","fashion-yingnvxia5","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6050114","","913","1848","",""
"3005005","fashion-yingnvxia6","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6050114","","913","1848","",""
"3006005","fashion-yingnvxia7","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6050114","","913","1848","",""
"3007005","fashion-yingnvxia8","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6050114","","913","1848","",""
"3008005","fashion-yingnvxia9","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6050114","","913","1848","",""
"3009005","fashion-yingnvxia10","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6050114","","913","1848","",""
"3000006","fashion-wumaner1","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6050116","","931","1866","",""
"3001006","fashion-wumaner2","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6050116","","931","1866","",""
"3002006","fashion-wumaner3","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6050116","","931","1866","",""
"3003006","fashion-wumaner4","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6050116","","931","1866","",""
"3004006","fashion-wumaner5","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6050116","","931","1866","",""
"3005006","fashion-wumaner6","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6050116","","931","1866","",""
"3006006","fashion-wumaner7","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6050116","","931","1866","",""
"3007006","fashion-wumaner8","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6050116","","931","1866","",""
"3008006","fashion-wumaner9","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6050116","","931","1866","",""
"3009006","fashion-wumaner10","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6050116","","931","1866","",""
"3000007","fashion-longtaizi1","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6050102","","919","1854","",""
"3001007","fashion-longtaizi2","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6050102","","919","1854","",""
"3002007","fashion-longtaizi3","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6050102","","919","1854","",""
"3003007","fashion-longtaizi4","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6050102","","919","1854","",""
"3004007","fashion-longtaizi5","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6050102","","919","1854","",""
"3005007","fashion-longtaizi6","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6050102","","919","1854","",""
"3006007","fashion-longtaizi7","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6050102","","919","1854","",""
"3007007","fashion-longtaizi8","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6050102","","919","1854","",""
"3008007","fashion-longtaizi9","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6050102","","919","1854","",""
"3009007","fashion-longtaizi10","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6050102","","919","1854","",""
"3000008","fashion-shentianbing1","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6050107","","923","1858","",""
"3001008","fashion-shentianbing2","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6050107","","923","1858","",""
"3002008","fashion-shentianbing3","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6050107","","923","1858","",""
"3003008","fashion-shentianbing4","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6050107","","923","1858","",""
"3004008","fashion-shentianbing5","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6050107","","923","1858","",""
"3005008","fashion-shentianbing6","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6050107","","923","1858","",""
"3006008","fashion-shentianbing7","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6050107","","923","1858","",""
"3007008","fashion-shentianbing8","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6050107","","923","1858","",""
"3008008","fashion-shentianbing9","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6050107","","923","1858","",""
"3009008","fashion-shentianbing10","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6050107","","923","1858","",""
"3000009","fashion-yulingshen1","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6050115","","915","1850","",""
"3001009","fashion-yulingshen2","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6050115","","915","1850","",""
"3002009","fashion-yulingshen3","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6050115","","915","1850","",""
"3003009","fashion-yulingshen4","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6050115","","915","1850","",""
"3004009","fashion-yulingshen5","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6050115","","915","1850","",""
"3005009","fashion-yulingshen6","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6050115","","915","1850","",""
"3006009","fashion-yulingshen7","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6050115","","915","1850","",""
"3007009","fashion-yulingshen8","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6050115","","915","1850","",""
"3008009","fashion-yulingshen9","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6050115","","915","1850","",""
"3009009","fashion-yulingshen10","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6050115","","915","1850","",""
"3000010","fashion-wutianji1","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6050111","","929","1864","",""
"3001010","fashion-wutianji2","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6050111","","929","1864","",""
"3002010","fashion-wutianji3","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6050111","","929","1864","",""
"3003010","fashion-wutianji4","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6050111","","929","1864","",""
"3004010","fashion-wutianji5","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6050111","","929","1864","",""
"3005010","fashion-wutianji6","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6050111","","929","1864","",""
"3006010","fashion-wutianji7","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6050111","","929","1864","",""
"3007010","fashion-wutianji8","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6050111","","929","1864","",""
"3008010","fashion-wutianji9","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6050111","","929","1864","",""
"3009010","fashion-wutianji10","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6050111","","929","1864","",""
"3000011","fashion-menglinglong1","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6050112","","920","1855","",""
"3001011","fashion-menglinglong2","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6050112","","920","1855","",""
"3002011","fashion-menglinglong3","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6050112","","920","1855","",""
