"id","组id","是否为人物头像","显示图标","名字","排序","描述","前往等级","前往逻辑","前往逻辑对应","完成逻辑","完成逻辑参数1","完成逻辑参数2","道具1","道具数量1","道具1图标","道具1名称","宠物1","宠物数量1","宠物1图标","宠物1名称","奖励ID","职业贡献奖励图标","职业贡献奖励文本","节日积分奖励图标","节日积分奖励文本","公会贡献奖励图标","公会贡献奖励文本","公会任务贡献资金图标","公会任务贡献资金文本","公会任务个人分红图标","公会任务个人分红文本","经验奖励图标","经验奖励文本","宠物经验奖励图标","宠物经验奖励文本","游戏币奖励图标","游戏币奖励文本","金币奖励图标","金币奖励文本","声望图标","声望文本"
"603","6","0","1168","<T t=""好好学习"" c=""ff8c5e2a""/>","3","给宠物学习一次技能","50","1","36","36","","","337942","1","1254","银钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"604","6","0","363","<T t=""权威认证"" c=""ff8c5e2a""/>","4","对宠物进行一次法术认证","50","1","36","37","","","337942","1","1254","银钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"605","6","0","1157","<T t=""炼妖新手"" c=""ff8c5e2a""/>","5","进行一次合宠炼妖","50","1","72","41","","","337942","1","1254","银钥匙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"606","6","0","1144","<T t=""炼妖神人"" c=""ff8c5e2a""/>","6","合出12技能的宠物","50","1","72","44","12","","720201","1","1172","称号•炼妖大师","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"607","6","0","1145","<T t=""5000分!"" c=""ff8c5e2a""/>","7","拥有一只评分不低于5000的宠物","50","1","15","31","5000","","720202","1","1172","称号•神宠拥有者","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"701","7","0","30326","<T t=""炸蓝咯~"" c=""ff8c5e2a""/>","1","拥有一只超级神羊","60","1","18","1","900001","","720101","1","1173","称号•神羊使者","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"702","7","0","30327","<T t=""咚!咚!咚!"" c=""ff8c5e2a""/>","2","拥有一只超级泡泡","60","1","18","1","900002","","720102","1","1173","称号•泡泡使者","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"703","7","0","30328","<T t=""跑快快呀~"" c=""ff8c5e2a""/>","3","拥有一只超级九色鹿","60","1","18","1","900003","","720103","1","1173","称号•九色鹿使者","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"704","7","0","30329","<T t=""破竹!!!"" c=""ff8c5e2a""/>","4","拥有一只超级大熊猫","60","1","18","1","900004","","720104","1","1173","称号•大熊猫使者","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"705","7","0","30330","<T t=""起飞咯~"" c=""ff8c5e2a""/>","5","拥有一只超级神鸡","60","1","18","1","900005","","720105","1","1173","称号•神鸡使者","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"706","7","0","30331","<T t=""月亮在哪?"" c=""ff8c5e2a""/>","6","拥有一只超级神猴","60","1","18","1","900006","","720106","1","1173","称号•神猴使者","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"707","7","0","30332","<T t=""啾~都是火"" c=""ff8c5e2a""/>","7","拥有一只超级赤焰兽","60","1","18","1","900007","","720107","1","1173","称号•赤焰兽使者","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"708","7","0","30333","<T t=""Duan!法爆"" c=""ff8c5e2a""/>","8","拥有一只超级神龙","60","1","18","1","900008","","720108","1","1173","称号•神龙使者","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
