"id","名字","英文名称","类型","描述","职业图标","出生范围左上角x","出生范围左上角y","出生范围宽","出生范围高","出生地图id","职业地图id","初始等级","所属种族","赠送物品1","赠送物品2","赠送物品3","赠送物品4","赠送物品5","赠送物品6","数量1","数量2","数量3","数量4","数量5","数量6","重定位地图id","重定位x坐标","重定位y坐标","职业背景","辅助AI","职业图标路径","推荐加点1","加点1说明","推荐体1","推荐智1","推荐力1","推荐耐1","推荐敏1","推荐加点2","加点2说明","推荐体2","推荐智2","推荐力2","推荐耐2","推荐敏2","推荐加点3","加点3说明","推荐体3","推荐智3","推荐力3","推荐耐3","推荐敏3","默认加点方案","普通态职业","按下态职业","战斗职业","特殊用途","特殊用途1"
"24","花果山","[colour='ffff6cfd']WZ","4","  辅助职业  擅长回蓝  全职高手","wuzhuangguan","1120","464","16","16","1616","1612","1","1","","","","","","","","","","","","","1612","49","59","qishi","","set:ccui image:cmp10","2体质2耐力1敏捷","常用加点，站的稳，生存强","2","0","0","2","1","4力量1体质","输出较高，血量多，生存强","1","0","4","0","0","3体质2耐力","高防御，高血量，高生存","3","0","0","2","0","2","set:character3 image:character_btn2_wuzhuangguan_b_1","set:character3 image:character_btn2_wuzhuangguan_b_2","/ui/zhandou/huaguo.png","物理型","set:ccui1 image:fyx"
"25","须弥海","[colour='ffff6c00']XMH","2","   法系输出门派 点面伤害结合，兼顾辅助","nvercun","1120","464","16","16","1616","9021","1","1","","","","","","","","","","","","","9021","478","353","deluyi","","set:menpai image:xumihai2","4力量1体质","输出较高，血量多，生存强","1","4","0","0","0","5力量","输出高，抗性弱，生存弱","0","0","5","0","0","4力量1耐力","输出较高，防御高，生存强","0","0","4","1","0","1","set:menpai image:xumihai2","set:menpai image:xumihai2","/ui/zhandou/xvmihai.png","法术型","set:ccui1 image:fsx"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
