"寻找宠物类id","寻找宠物组","职业","等级段min","等级段max","回收宠物","物品数量","售卖NPC"
"38","1","13","100","104","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"39","1","13","105","300","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"40","1","14","10","24","500101@30;500102@30;500103@30","1","160802"
"41","1","14","25","34","500201@30;500202@30","1","160802"
"42","1","14","35","44","500301@30;500302@30;500303@30","1","160802"
"43","1","14","45","64","500401@30;500402@30;500403@30","1","160802"
"44","1","14","65","69","500652@30;500652@30;500652@30","1","160802"
"45","1","14","70","74","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"46","1","14","75","79","500652@30;500652@30;500652@30;500652@30","1","160802"
"47","1","14","80","84","500652@30;500652@30;500652@30","1","160802"
"48","1","14","85","89","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"49","1","14","90","94","500652@30;500652@30","1","160802"
"50","1","14","95","99","500652@30;500652@30;500652@30;500652@30","1","160802"
"51","1","14","100","104","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"52","1","14","105","300","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"53","1","15","10","24","500101@30;500102@30;500103@30","1","160802"
"54","1","15","25","34","500201@30;500202@30","1","160802"
"55","1","15","35","44","500301@30;500302@30;500303@30","1","160802"
"56","1","15","45","64","500401@30;500402@30;500403@30","1","160802"
"57","1","15","65","69","500652@30;500652@30;500652@30","1","160802"
"58","1","15","70","74","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"59","1","15","75","79","500652@30;500652@30;500652@30;500652@30","1","160802"
"60","1","15","80","84","500652@30;500652@30;500652@30","1","160802"
"61","1","15","85","89","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"62","1","15","90","94","500652@30;500652@30","1","160802"
"63","1","15","95","99","500652@30;500652@30;500652@30;500652@30","1","160802"
"64","1","15","100","104","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"65","1","15","105","300","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"66","1","16","10","24","500101@30;500102@30;500103@30","1","160802"
"67","1","16","25","34","500201@30;500202@30","1","160802"
"68","1","16","35","44","500301@30;500302@30;500303@30","1","160802"
"69","1","16","45","64","500401@30;500402@30;500403@30","1","160802"
"70","1","16","65","69","500652@30;500652@30;500652@30","1","160802"
"71","1","16","70","74","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"72","1","16","75","79","500652@30;500652@30;500652@30;500652@30","1","160802"
"73","1","16","80","84","500652@30;500652@30;500652@30","1","160802"
"74","1","16","85","89","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"75","1","16","90","94","500652@30;500652@30","1","160802"
"76","1","16","95","99","500652@30;500652@30;500652@30;500652@30","1","160802"
"77","1","16","100","104","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"78","1","16","105","300","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"79","1","17","10","24","500101@30;500102@30;500103@30","1","160802"
"80","1","17","25","34","500201@30;500202@30","1","160802"
"81","1","17","35","44","500301@30;500302@30;500303@30","1","160802"
"82","1","17","45","64","500401@30;500402@30;500403@30","1","160802"
"83","1","17","65","69","500652@30;500652@30;500652@30","1","160802"
"84","1","17","70","74","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"85","1","17","75","79","500652@30;500652@30;500652@30;500652@30","1","160802"
"86","1","17","80","84","500652@30;500652@30;500652@30","1","160802"
"87","1","17","85","89","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"88","1","17","90","94","500652@30;500652@30","1","160802"
"89","1","17","95","99","500652@30;500652@30;500652@30;500652@30","1","160802"
"90","1","17","100","104","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"91","1","17","105","300","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"92","1","18","10","24","500101@30;500102@30;500103@30","1","160802"
"93","1","18","25","34","500201@30;500202@30","1","160802"
"94","1","18","35","44","500301@30;500302@30;500303@30","1","160802"
"95","1","18","45","64","500401@30;500402@30;500403@30","1","160802"
"96","1","18","65","69","500652@30;500652@30;500652@30","1","160802"
"97","1","18","70","74","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"98","1","18","75","79","500652@30;500652@30;500652@30;500652@30","1","160802"
"99","1","18","80","84","500652@30;500652@30;500652@30","1","160802"
"100","1","18","85","89","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"101","1","18","90","94","500652@30;500652@30","1","160802"
"102","1","18","95","99","500652@30;500652@30;500652@30;500652@30","1","160802"
"103","1","18","100","104","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"104","1","18","105","300","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"105","1","19","10","24","500101@30;500102@30;500103@30","1","160802"
"106","1","19","25","34","500201@30;500202@30","1","160802"
"107","1","19","35","44","500301@30;500302@30;500303@30","1","160802"
"108","1","19","45","64","500401@30;500402@30;500403@30","1","160802"
"109","1","19","65","69","500652@30;500652@30;500652@30","1","160802"
"110","1","19","70","74","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"111","1","19","75","79","500652@30;500652@30;500652@30;500652@30","1","160802"
"112","1","19","80","84","500652@30;500652@30;500652@30","1","160802"
"113","1","19","85","89","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"114","1","19","90","94","500652@30;500652@30","1","160802"
"115","1","19","95","99","500652@30;500652@30;500652@30;500652@30","1","160802"
"116","1","19","100","104","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"117","1","19","105","300","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"118","2","0","15","300","521102@30;521103@3","1","160802"
"119","3","0","15","300","521102@30;521103@3","1","160802"
"120","4","0","15","300","521102@30;521103@3","1","160802"
"121","5","0","15","300","521102@30;521103@3","1","160802"
"122","6","0","15","300","521102@30;521103@3","1","160802"
"123","7","0","15","300","521102@30;521103@3","1","160802"
"124","8","0","15","300","521102@30;521103@3","1","160802"
"125","9","0","15","300","521102@30;521103@3","1","160802"
"126","10","0","15","300","521102@30;521103@3","1","160802"
"127","11","0","15","300","521102@30;521103@3","1","160802"
"128","12","0","15","300","521102@30;521103@3","1","160802"
"129","13","0","15","300","521102@30;521103@3","1","160802"
"130","14","0","15","300","521102@30;521103@3","1","160802"
"131","15","0","15","300","521102@30;521103@3","1","160802"
"132","1","21","10","24","500101@30;500102@30;500103@30","1","160802"
"133","1","21","25","34","500201@30;500202@30","1","160802"
"134","1","21","35","44","500301@30;500302@30;500303@30","1","160802"
"135","1","21","45","64","500401@30;500402@30;500403@30","1","160802"
"136","1","21","65","69","500652@30;500652@30;500652@30","1","160802"
"137","1","21","70","74","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"138","1","21","75","79","500652@30;500652@30;500652@30;500652@30","1","160802"
"139","1","21","80","84","500652@30;500652@30;500652@30","1","160802"
"140","1","21","85","89","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"141","1","21","90","94","500652@30;500652@30","1","160802"
"142","1","21","95","99","500652@30;500652@30;500652@30;500652@30","1","160802"
"143","1","21","100","104","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"144","1","21","105","300","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"145","1","24","10","24","500101@30;500102@30;500103@30","1","160802"
"146","1","24","25","34","500201@30;500202@30","1","160802"
"147","1","24","35","44","500301@30;500302@30;500303@30","1","160802"
"148","1","24","45","64","500401@30;500402@30;500403@30","1","160802"
"149","1","24","65","69","500652@30;500652@30;500652@30","1","160802"
"150","1","24","70","74","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"151","1","24","75","79","500652@30;500652@30;500652@30;500652@30","1","160802"
"152","1","24","80","84","500652@30;500652@30;500652@30","1","160802"
"153","1","24","85","89","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"154","1","24","90","94","500652@30;500652@30","1","160802"
"155","1","24","95","99","500652@30;500652@30;500652@30;500652@30","1","160802"
"156","1","24","100","104","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"157","1","24","105","300","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"158","1","25","10","24","500101@30;500102@30;500103@30","1","160802"
"159","1","25","25","34","500201@30;500202@30","1","160802"
"160","1","25","35","44","500301@30;500302@30;500303@30","1","160802"
"161","1","25","45","64","500401@30;500402@30;500403@30","1","160802"
"162","1","25","65","69","500652@30;500652@30;500652@30","1","160802"
"163","1","25","70","74","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"164","1","25","75","79","500652@30;500652@30;500652@30;500652@30","1","160802"
"165","1","25","80","84","500652@30;500652@30;500652@30","1","160802"
"166","1","25","85","89","500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"167","1","25","90","94","500652@30;500652@30","1","160802"
"168","1","25","95","99","500652@30;500652@30;500652@30;500652@30","1","160802"
"169","1","25","100","104","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
"170","1","25","105","300","500652@30;500652@30;500652@30;500652@30;500652@30;500652@30;500652@30","1","160802"
