"巡逻类id","巡逻组","职业","等级段min","等级段max","地图id","战斗信息编号"
"126","4","25","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50"
"37","5","11","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"38","5","12","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"39","5","13","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"40","5","14","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"41","5","15","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"42","5","16","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"43","5","17","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"44","5","18","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"45","5","19","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"127","5","20","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"128","5","21","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"129","5","22","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"130","5","23","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"131","5","24","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"132","5","25","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"46","6","11","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"47","6","12","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"48","6","13","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"49","6","14","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"50","6","15","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"51","6","16","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"52","6","17","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"53","6","18","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"54","6","19","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"133","6","20","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"134","6","21","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"135","6","22","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"136","6","23","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"137","6","24","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"138","6","25","15","300","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50"
"55","7","11","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"56","7","12","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"57","7","13","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"58","7","14","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"59","7","15","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"60","7","16","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"61","7","17","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"62","7","18","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"63","7","19","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"64","7","20","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"65","7","21","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"66","7","22","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"139","7","23","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"140","7","24","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"141","7","25","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2461@50;2461@50"
"67","8","11","15","155","1626@100","2461@50;2461@50"
"68","8","12","15","155","1626@100","2461@50;2461@50"
"69","8","13","15","155","1626@100","2461@50;2461@50"
"70","8","14","15","155","1626@100","2461@50;2461@50"
"71","8","15","15","155","1626@100","2461@50;2461@50"
"72","8","16","15","155","1626@100","2461@50;2461@50"
"73","8","17","15","155","1626@100","2461@50;2461@50"
"74","8","18","15","155","1626@100","2461@50;2461@50"
"75","8","19","15","155","1626@100","2461@50;2461@50"
"142","8","20","15","155","1626@100","2461@50;2461@50"
"143","8","21","15","155","1626@100","2461@50;2461@50"
"144","8","22","15","155","1626@100","2461@50;2461@50"
"145","8","23","15","155","1626@100","2461@50;2461@50"
"146","8","24","15","155","1626@100","2461@50;2461@50"
"147","8","25","15","155","1626@100","2461@50;2461@50"
"76","9","11","15","155","1627@100","2461@50;2461@50"
"77","9","12","15","155","1627@100","2461@50;2461@50"
"78","9","13","15","155","1627@100","2461@50;2461@50"
"79","9","14","15","155","1627@100","2461@50;2461@50"
"80","9","15","15","155","1627@100","2461@50;2461@50"
"81","9","16","15","155","1627@100","2461@50;2461@50"
"82","9","17","15","155","1627@100","2461@50;2461@50"
"83","9","18","15","155","1627@100","2461@50;2461@50"
"84","9","19","15","155","1627@100","2461@50;2461@50"
"148","9","20","15","155","1627@100","2461@50;2461@50"
"149","9","21","15","155","1627@100","2461@50;2461@50"
"150","9","22","15","155","1627@100","2461@50;2461@50"
"151","9","23","15","155","1627@100","2461@50;2461@50"
"152","9","24","15","155","1627@100","2461@50;2461@50"
"153","9","25","15","155","1627@100","2461@50;2461@50"
"85","10","11","15","155","1628@100","2461@50;2461@50"
"86","10","12","15","155","1628@100","2461@50;2461@50"
"87","10","13","15","155","1628@100","2461@50;2461@50"
"88","10","14","15","155","1628@100","2461@50;2461@50"
"89","10","15","15","155","1628@100","2461@50;2461@50"
"90","10","16","15","155","1628@100","2461@50;2461@50"
"91","10","17","15","155","1628@100","2461@50;2461@50"
"92","10","18","15","155","1628@100","2461@50;2461@50"
"93","10","19","15","155","1628@100","2461@50;2461@50"
"154","10","20","15","155","1628@100","2461@50;2461@50"
"155","10","21","15","155","1628@100","2461@50;2461@50"
"156","10","22","15","155","1628@100","2461@50;2461@50"
"157","10","23","15","155","1628@100","2461@50;2461@50"
"158","10","24","15","155","1628@100","2461@50;2461@50"
"159","10","25","15","155","1628@100","2461@50;2461@50"
"94","11","11","15","155","1629@100","2461@50;2461@50"
"95","11","12","15","155","1629@100","2461@50;2461@50"
"96","11","13","15","155","1629@100","2461@50;2461@50"
"97","11","14","15","155","1629@100","2461@50;2461@50"
"98","11","15","15","155","1629@100","2461@50;2461@50"
"99","11","16","15","155","1629@100","2461@50;2461@50"
"100","11","17","15","155","1629@100","2461@50;2461@50"
"101","11","18","15","155","1629@100","2461@50;2461@50"
"102","11","19","15","155","1629@100","2461@50;2461@50"
"160","11","20","15","155","1629@100","2461@50;2461@50"
"161","11","21","15","155","1629@100","2461@50;2461@50"
"162","11","22","15","155","1629@100","2461@50;2461@50"
"163","11","23","15","155","1629@100","2461@50;2461@50"
"164","11","24","15","155","1629@100","2461@50;2461@50"
"165","11","25","15","155","1629@100","2461@50;2461@50"
