"收集物品类id","收集物品组","职业","地图备注","等级段min","等级段max","地图id","怪物id","物品id","物品数量"
"89","1","14","溶洞三层","25","29","1626@100","22003","50374","1"
"90","1","14","废矿一层","30","32","1626@100","22003","50374","1"
"91","1","14","废矿二层","33","35","1626@100","22003","50374","1"
"92","1","14","废矿三层","36","39","1626@100","22003","50374","1"
"93","1","14","银堡一层","40","42","1626@100","22003","50374","1"
"94","1","14","银堡二层","43","45","1626@100","22003","50374","1"
"95","1","14","银堡三层","46","49","1626@100","22003","50374","1"
"96","1","14","荒泽一层","50","52","1626@100","22003","50374","1"
"97","1","14","荒泽二层","53","55","1626@100","22003","50374","1"
"98","1","14","荒泽三层","56","59","1626@100","22003","50374","1"
"99","1","14","教堂一层","60","62","1627@100","22003","50374","1"
"100","1","14","教堂二层","63","65","1627@100","22003","50374","1"
"101","1","14","教堂三层","66","69","1627@100","22003","50374","1"
"102","1","14","埋股圣地一层","70","71","1627@100","22003","50374","1"
"103","1","14","埋股圣地二层","72","73","1627@100","22003","50374","1"
"104","1","14","埋股圣地三层","74","75","1627@100","22003","50374","1"
"105","1","14","遗迹一层","76","77","1627@100","22003","50374","1"
"106","1","14","遗迹二层","78","79","1627@100","22003","50374","1"
"107","1","14","遗迹三层","80","81","1628@100","22003","50374","1"
"108","1","14","祭坛一层","82","83","1628@100","22003","50374","1"
"109","1","14","祭坛二层","84","85","1628@100","22003","50374","1"
"110","1","14","祭坛三层","86","87","1628@100","22003","50374","1"
"111","1","14","深渊一层","88","89","1628@100","22003","50374","1"
"112","1","14","深渊二层","90","91","1629@100","22003","50374","1"
"113","1","14","深渊三层","92","93","1629@100","22003","50374","1"
"114","1","14","雾都一层","94","95","1629@100","22003","50374","1"
"115","1","14","雾都二层","96","97","1629@100","22003","50374","1"
"116","1","14","雾都三层","98","150","1629@100","22003","50374","1"
"117","1","15","溶洞二层","15","24","1626@100","22003","50374","1"
"118","1","15","溶洞三层","25","29","1626@100","22003","50374","1"
"119","1","15","废矿一层","30","32","1626@100","22003","50374","1"
"120","1","15","废矿二层","33","35","1626@100","22003","50374","1"
"121","1","15","废矿三层","36","39","1626@100","22003","50374","1"
"122","1","15","银堡一层","40","42","1626@100","22003","50374","1"
"123","1","15","银堡二层","43","45","1626@100","22003","50374","1"
"124","1","15","银堡三层","46","49","1626@100","22003","50374","1"
"125","1","15","荒泽一层","50","52","1626@100","22003","50374","1"
"126","1","15","荒泽二层","53","55","1626@100","22003","50374","1"
"127","1","15","荒泽三层","56","59","1626@100","22003","50374","1"
"128","1","15","教堂一层","60","62","1627@100","22003","50374","1"
"129","1","15","教堂二层","63","65","1627@100","22003","50374","1"
"130","1","15","教堂三层","66","69","1627@100","22003","50374","1"
"131","1","15","埋股圣地一层","70","71","1627@100","22003","50374","1"
"132","1","15","埋股圣地二层","72","73","1627@100","22003","50374","1"
"133","1","15","埋股圣地三层","74","75","1627@100","22003","50374","1"
"134","1","15","遗迹一层","76","77","1627@100","22003","50374","1"
"135","1","15","遗迹二层","78","79","1627@100","22003","50374","1"
"136","1","15","遗迹三层","80","81","1628@100","22003","50374","1"
"137","1","15","祭坛一层","82","83","1628@100","22003","50374","1"
"138","1","15","祭坛二层","84","85","1628@100","22003","50374","1"
"139","1","15","祭坛三层","86","87","1628@100","22003","50374","1"
"140","1","15","深渊一层","88","89","1628@100","22003","50374","1"
"141","1","15","深渊二层","90","91","1629@100","22003","50374","1"
"142","1","15","深渊三层","92","93","1629@100","22003","50374","1"
"143","1","15","雾都一层","94","95","1629@100","22003","50374","1"
"144","1","15","雾都二层","96","97","1629@100","22003","50374","1"
"145","1","15","雾都三层","98","150","1629@100","22003","50374","1"
"146","1","16","溶洞二层","15","24","1626@100","22003","50374","1"
"147","1","16","溶洞三层","25","29","1626@100","22003","50374","1"
"148","1","16","废矿一层","30","32","1626@100","22003","50374","1"
"149","1","16","废矿二层","33","35","1626@100","22003","50374","1"
"150","1","16","废矿三层","36","39","1626@100","22003","50374","1"
"151","1","16","银堡一层","40","42","1626@100","22003","50374","1"
"152","1","16","银堡二层","43","45","1626@100","22003","50374","1"
"153","1","16","银堡三层","46","49","1626@100","22003","50374","1"
"154","1","16","荒泽一层","50","52","1626@100","22003","50374","1"
"155","1","16","荒泽二层","53","55","1626@100","22003","50374","1"
"156","1","16","荒泽三层","56","59","1626@100","22003","50374","1"
"157","1","16","教堂一层","60","62","1627@100","22003","50374","1"
"158","1","16","教堂二层","63","65","1627@100","22003","50374","1"
"159","1","16","教堂三层","66","69","1627@100","22003","50374","1"
"160","1","16","埋股圣地一层","70","71","1627@100","22003","50374","1"
"161","1","16","埋股圣地二层","72","73","1627@100","22003","50374","1"
"162","1","16","埋股圣地三层","74","75","1627@100","22003","50374","1"
"163","1","16","遗迹一层","76","77","1627@100","22003","50374","1"
"164","1","16","遗迹二层","78","79","1627@100","22003","50374","1"
"165","1","16","遗迹三层","80","81","1628@100","22003","50374","1"
"166","1","16","祭坛一层","82","83","1628@100","22003","50374","1"
"167","1","16","祭坛二层","84","85","1628@100","22003","50374","1"
"168","1","16","祭坛三层","86","87","1628@100","22003","50374","1"
"169","1","16","深渊一层","88","89","1628@100","22003","50374","1"
"170","1","16","深渊二层","90","91","1629@100","22003","50374","1"
"171","1","16","深渊三层","92","93","1629@100","22003","50374","1"
"172","1","16","雾都一层","94","95","1629@100","22003","50374","1"
"173","1","16","雾都二层","96","97","1629@100","22003","50374","1"
"174","1","16","雾都三层","98","150","1629@100","22003","50374","1"
"175","1","17","溶洞二层","15","24","1626@100","22003","50374","1"
"176","1","17","溶洞三层","25","29","1626@100","22003","50374","1"
"177","1","17","废矿一层","30","32","1626@100","22003","50374","1"
"178","1","17","废矿二层","33","35","1626@100","22003","50374","1"
"179","1","17","废矿三层","36","39","1626@100","22003","50374","1"
"180","1","17","银堡一层","40","42","1626@100","22003","50374","1"
"181","1","17","银堡二层","43","45","1626@100","22003","50374","1"
"182","1","17","银堡三层","46","49","1626@100","22003","50374","1"
"183","1","17","荒泽一层","50","52","1626@100","22003","50374","1"
"184","1","17","荒泽二层","53","55","1626@100","22003","50374","1"
"185","1","17","荒泽三层","56","59","1626@100","22003","50374","1"
"186","1","17","教堂一层","60","62","1627@100","22003","50374","1"
"187","1","17","教堂二层","63","65","1627@100","22003","50374","1"
"188","1","17","教堂三层","66","69","1627@100","22003","50374","1"
"189","1","17","埋股圣地一层","70","71","1627@100","22003","50374","1"
"190","1","17","埋股圣地二层","72","73","1627@100","22003","50374","1"
"191","1","17","埋股圣地三层","74","75","1627@100","22003","50374","1"
"192","1","17","遗迹一层","76","77","1627@100","22003","50374","1"
"193","1","17","遗迹二层","78","79","1627@100","22003","50374","1"
"194","1","17","遗迹三层","80","81","1628@100","22003","50374","1"
"195","1","17","祭坛一层","82","83","1628@100","22003","50374","1"
"196","1","17","祭坛二层","84","85","1628@100","22003","50374","1"
"197","1","17","祭坛三层","86","87","1628@100","22003","50374","1"
"198","1","17","深渊一层","88","89","1628@100","22003","50374","1"
"199","1","17","深渊二层","90","91","1629@100","22003","50374","1"
"200","1","17","深渊三层","92","93","1629@100","22003","50374","1"
"201","1","17","雾都一层","94","95","1629@100","22003","50374","1"
"202","1","17","雾都二层","96","97","1629@100","22003","50374","1"
"203","1","17","雾都三层","98","150","1629@100","22003","50374","1"
"204","1","18","溶洞二层","15","24","1626@100","22003","50374","1"
"205","1","18","溶洞三层","25","29","1626@100","22003","50374","1"
"206","1","18","废矿一层","30","32","1626@100","22003","50374","1"
"207","1","18","废矿二层","33","35","1626@100","22003","50374","1"
"208","1","18","废矿三层","36","39","1626@100","22003","50374","1"
"209","1","18","银堡一层","40","42","1626@100","22003","50374","1"
"210","1","18","银堡二层","43","45","1626@100","22003","50374","1"
"211","1","18","银堡三层","46","49","1626@100","22003","50374","1"
"212","1","18","荒泽一层","50","52","1626@100","22003","50374","1"
"213","1","18","荒泽二层","53","55","1626@100","22003","50374","1"
"214","1","18","荒泽三层","56","59","1626@100","22003","50374","1"
"215","1","18","教堂一层","60","62","1627@100","22003","50374","1"
"216","1","18","教堂二层","63","65","1627@100","22003","50374","1"
"217","1","18","教堂三层","66","69","1627@100","22003","50374","1"
"218","1","18","埋股圣地一层","70","71","1627@100","22003","50374","1"
"219","1","18","埋股圣地二层","72","73","1627@100","22003","50374","1"
"220","1","18","埋股圣地三层","74","75","1627@100","22003","50374","1"
"221","1","18","遗迹一层","76","77","1627@100","22003","50374","1"
"222","1","18","遗迹二层","78","79","1627@100","22003","50374","1"
"223","1","18","遗迹三层","80","81","1628@100","22003","50374","1"
"224","1","18","祭坛一层","82","83","1628@100","22003","50374","1"
"225","1","18","祭坛二层","84","85","1628@100","22003","50374","1"
"226","1","18","祭坛三层","86","87","1628@100","22003","50374","1"
"227","1","18","深渊一层","88","89","1628@100","22003","50374","1"
"228","1","18","深渊二层","90","91","1629@100","22003","50374","1"
"229","1","18","深渊三层","92","93","1629@100","22003","50374","1"
"230","1","18","雾都一层","94","95","1629@100","22003","50374","1"
"231","1","18","雾都二层","96","97","1629@100","22003","50374","1"
"232","1","18","雾都三层","98","150","1629@100","22003","50374","1"
"233","1","19","溶洞二层","15","24","1626@100","22003","50374","1"
"234","1","19","溶洞三层","25","29","1626@100","22003","50374","1"
"235","1","19","废矿一层","30","32","1626@100","22003","50374","1"
"236","1","19","废矿二层","33","35","1626@100","22003","50374","1"
"237","1","19","废矿三层","36","39","1626@100","22003","50374","1"
"238","1","19","银堡一层","40","42","1626@100","22003","50374","1"
"239","1","19","银堡二层","43","45","1626@100","22003","50374","1"
"240","1","19","银堡三层","46","49","1626@100","22003","50374","1"
"241","1","19","荒泽一层","50","52","1626@100","22003","50374","1"
"242","1","19","荒泽二层","53","55","1626@100","22003","50374","1"
"243","1","19","荒泽三层","56","59","1626@100","22003","50374","1"
"244","1","19","教堂一层","60","62","1627@100","22003","50374","1"
"245","1","19","教堂二层","63","65","1627@100","22003","50374","1"
"246","1","19","教堂三层","66","69","1627@100","22003","50374","1"
"247","1","19","埋股圣地一层","70","71","1627@100","22003","50374","1"
"248","1","19","埋股圣地二层","72","73","1627@100","22003","50374","1"
"249","1","19","埋股圣地三层","74","75","1627@100","22003","50374","1"
"250","1","19","遗迹一层","76","77","1627@100","22003","50374","1"
"251","1","19","遗迹二层","78","79","1627@100","22003","50374","1"
"252","1","19","遗迹三层","80","81","1628@100","22003","50374","1"
"253","1","19","祭坛一层","82","83","1628@100","22003","50374","1"
"254","1","19","祭坛二层","84","85","1628@100","22003","50374","1"
"255","1","19","祭坛三层","86","87","1628@100","22003","50374","1"
"256","1","19","深渊一层","88","89","1628@100","22003","50374","1"
"257","1","19","深渊二层","90","91","1629@100","22003","50374","1"
"258","1","19","深渊三层","92","93","1629@100","22003","50374","1"
"259","1","19","雾都一层","94","95","1629@100","22003","50374","1"
"260","1","19","雾都二层","96","97","1629@100","22003","50374","1"
"261","1","19","雾都三层","98","150","1629@100","22003","50374","1"
"262","1","20","溶洞二层","15","24","1626@100","22003","50374","1"
"263","1","20","溶洞三层","25","29","1626@100","22003","50374","1"
"264","1","20","废矿一层","30","32","1626@100","22003","50374","1"
"265","1","20","废矿二层","33","35","1626@100","22003","50374","1"
"266","1","20","废矿三层","36","39","1626@100","22003","50374","1"
"267","1","20","银堡一层","40","42","1626@100","22003","50374","1"
"268","1","20","银堡二层","43","45","1626@100","22003","50374","1"
"269","1","20","银堡三层","46","49","1626@100","22003","50374","1"
"270","1","20","荒泽一层","50","52","1626@100","22003","50374","1"
"271","1","20","荒泽二层","53","55","1626@100","22003","50374","1"
"272","1","20","荒泽三层","56","59","1626@100","22003","50374","1"
"273","1","20","教堂一层","60","62","1627@100","22003","50374","1"
"274","1","20","教堂二层","63","65","1627@100","22003","50374","1"
"275","1","20","教堂三层","66","69","1627@100","22003","50374","1"
"276","1","20","埋股圣地一层","70","71","1627@100","22003","50374","1"
"277","1","20","埋股圣地二层","72","73","1627@100","22003","50374","1"
"278","1","20","埋股圣地三层","74","75","1627@100","22003","50374","1"
"279","1","20","遗迹一层","76","77","1627@100","22003","50374","1"
"280","1","20","遗迹二层","78","79","1627@100","22003","50374","1"
"281","1","20","遗迹三层","80","81","1628@100","22003","50374","1"
"282","1","20","祭坛一层","82","83","1628@100","22003","50374","1"
"283","1","20","祭坛二层","84","85","1628@100","22003","50374","1"
"284","1","20","祭坛三层","86","87","1628@100","22003","50374","1"
"285","1","20","深渊一层","88","89","1628@100","22003","50374","1"
"286","1","20","深渊二层","90","91","1629@100","22003","50374","1"
"287","1","20","深渊三层","92","93","1629@100","22003","50374","1"
"288","1","20","雾都一层","94","95","1629@100","22003","50374","1"
"289","1","20","雾都二层","96","97","1629@100","22003","50374","1"
"290","1","20","雾都三层","98","150","1629@100","22003","50374","1"
"291","1","21","溶洞二层","15","24","1626@100","22003","50374","1"
"292","1","21","溶洞三层","25","29","1626@100","22003","50374","1"
"293","1","21","废矿一层","30","32","1626@100","22003","50374","1"
"294","1","21","废矿二层","33","35","1626@100","22003","50374","1"
"295","1","21","废矿三层","36","39","1626@100","22003","50374","1"
"296","1","21","银堡一层","40","42","1626@100","22003","50374","1"
"297","1","21","银堡二层","43","45","1626@100","22003","50374","1"
"298","1","21","银堡三层","46","49","1626@100","22003","50374","1"
"299","1","21","荒泽一层","50","52","1626@100","22003","50374","1"
"300","1","21","荒泽二层","53","55","1626@100","22003","50374","1"
"301","1","21","荒泽三层","56","59","1626@100","22003","50374","1"
"302","1","21","教堂一层","60","62","1627@100","22003","50374","1"
"303","1","21","教堂二层","63","65","1627@100","22003","50374","1"
"304","1","21","教堂三层","66","69","1627@100","22003","50374","1"
"305","1","21","埋股圣地一层","70","71","1627@100","22003","50374","1"
"306","1","21","埋股圣地二层","72","73","1627@100","22003","50374","1"
"307","1","21","埋股圣地三层","74","75","1627@100","22003","50374","1"
"308","1","21","遗迹一层","76","77","1627@100","22003","50374","1"
"309","1","21","遗迹二层","78","79","1627@100","22003","50374","1"
"310","1","21","遗迹三层","80","81","1628@100","22003","50374","1"
"311","1","21","祭坛一层","82","83","1628@100","22003","50374","1"
"312","1","21","祭坛二层","84","85","1628@100","22003","50374","1"
"313","1","21","祭坛三层","86","87","1628@100","22003","50374","1"
"314","1","21","深渊一层","88","89","1628@100","22003","50374","1"
"315","1","21","深渊二层","90","91","1629@100","22003","50374","1"
"316","1","21","深渊三层","92","93","1629@100","22003","50374","1"
"317","1","21","雾都一层","94","95","1629@100","22003","50374","1"
"318","1","21","雾都二层","96","97","1629@100","22003","50374","1"
"319","1","21","雾都三层","98","150","1629@100","22003","50374","1"
"320","1","22","溶洞二层","15","24","1626@100","22003","50374","1"
"321","1","22","溶洞三层","25","29","1626@100","22003","50374","1"
"322","1","22","废矿一层","30","32","1626@100","22003","50374","1"
"323","1","22","废矿二层","33","35","1626@100","22003","50374","1"
"324","1","22","废矿三层","36","39","1626@100","22003","50374","1"
"325","1","22","银堡一层","40","42","1626@100","22003","50374","1"
"326","1","22","银堡二层","43","45","1626@100","22003","50374","1"
"327","1","22","银堡三层","46","49","1626@100","22003","50374","1"
"328","1","22","荒泽一层","50","52","1626@100","22003","50374","1"
"329","1","22","荒泽二层","53","55","1626@100","22003","50374","1"
"330","1","22","荒泽三层","56","59","1626@100","22003","50374","1"
"331","1","22","教堂一层","60","62","1627@100","22003","50374","1"
"332","1","22","教堂二层","63","65","1627@100","22003","50374","1"
"333","1","22","教堂三层","66","69","1627@100","22003","50374","1"
"334","1","22","埋股圣地一层","70","71","1627@100","22003","50374","1"
"335","1","22","埋股圣地二层","72","73","1627@100","22003","50374","1"
"336","1","22","埋股圣地三层","74","75","1627@100","22003","50374","1"
"337","1","22","遗迹一层","76","77","1627@100","22003","50374","1"
"338","1","22","遗迹二层","78","79","1627@100","22003","50374","1"
"339","1","22","遗迹三层","80","81","1628@100","22003","50374","1"
"340","1","22","祭坛一层","82","83","1628@100","22003","50374","1"
"341","1","22","祭坛二层","84","85","1628@100","22003","50374","1"
"342","1","22","祭坛三层","86","87","1628@100","22003","50374","1"
"343","1","22","深渊一层","88","89","1628@100","22003","50374","1"
"344","1","22","深渊二层","90","91","1629@100","22003","50374","1"
"345","1","22","深渊三层","92","93","1629@100","22003","50374","1"
"346","1","22","雾都一层","94","95","1629@100","22003","50374","1"
"347","1","22","雾都二层","96","97","1629@100","22003","50374","1"
"348","1","22","雾都三层","98","150","1629@100","22003","50374","1"
"349","1","23","溶洞二层","15","24","1626@100","22003","50374","1"
"350","1","23","溶洞三层","25","29","1626@100","22003","50374","1"
"351","1","23","废矿一层","30","32","1626@100","22003","50374","1"
"352","1","23","废矿二层","33","35","1626@100","22003","50374","1"
"353","1","23","废矿三层","36","39","1626@100","22003","50374","1"
"354","1","23","银堡一层","40","42","1626@100","22003","50374","1"
"355","1","23","银堡二层","43","45","1626@100","22003","50374","1"
"356","1","23","银堡三层","46","49","1626@100","22003","50374","1"
"357","1","23","荒泽一层","50","52","1626@100","22003","50374","1"
"358","1","23","荒泽二层","53","55","1626@100","22003","50374","1"
"359","1","23","荒泽三层","56","59","1626@100","22003","50374","1"
"360","1","23","教堂一层","60","62","1627@100","22003","50374","1"
"361","1","23","教堂二层","63","65","1627@100","22003","50374","1"
"362","1","23","教堂三层","66","69","1627@100","22003","50374","1"
"363","1","23","埋股圣地一层","70","71","1627@100","22003","50374","1"
"364","1","23","埋股圣地二层","72","73","1627@100","22003","50374","1"
"365","1","23","埋股圣地三层","74","75","1627@100","22003","50374","1"
"366","1","23","遗迹一层","76","77","1627@100","22003","50374","1"
"367","1","23","遗迹二层","78","79","1627@100","22003","50374","1"
"368","1","23","遗迹三层","80","81","1628@100","22003","50374","1"
"369","1","23","祭坛一层","82","83","1628@100","22003","50374","1"
"370","1","23","祭坛二层","84","85","1628@100","22003","50374","1"
"371","1","23","祭坛三层","86","87","1628@100","22003","50374","1"
"372","1","23","深渊一层","88","89","1628@100","22003","50374","1"
"373","1","23","深渊二层","90","91","1629@100","22003","50374","1"
"374","1","23","深渊三层","92","93","1629@100","22003","50374","1"
"375","1","23","雾都一层","94","95","1629@100","22003","50374","1"
"376","1","23","雾都二层","96","97","1629@100","22003","50374","1"
"377","1","23","雾都三层","98","150","1629@100","22003","50374","1"
"378","1","24","溶洞二层","15","24","1626@100","22003","50374","1"
"379","1","24","溶洞三层","25","29","1626@100","22003","50374","1"
"380","1","24","废矿一层","30","32","1626@100","22003","50374","1"
"381","1","24","废矿二层","33","35","1626@100","22003","50374","1"
"382","1","24","废矿三层","36","39","1626@100","22003","50374","1"
"383","1","24","银堡一层","40","42","1626@100","22003","50374","1"
"384","1","24","银堡二层","43","45","1626@100","22003","50374","1"
"385","1","24","银堡三层","46","49","1626@100","22003","50374","1"
"386","1","24","荒泽一层","50","52","1626@100","22003","50374","1"
"387","1","24","荒泽二层","53","55","1626@100","22003","50374","1"
"388","1","24","荒泽三层","56","59","1626@100","22003","50374","1"
"389","1","24","教堂一层","60","62","1627@100","22003","50374","1"
"390","1","24","教堂二层","63","65","1627@100","22003","50374","1"
"391","1","24","教堂三层","66","69","1627@100","22003","50374","1"
"392","1","24","埋股圣地一层","70","71","1627@100","22003","50374","1"
"393","1","24","埋股圣地二层","72","73","1627@100","22003","50374","1"
"394","1","24","埋股圣地三层","74","75","1627@100","22003","50374","1"
"395","1","24","遗迹一层","76","77","1627@100","22003","50374","1"
"396","1","24","遗迹二层","78","79","1627@100","22003","50374","1"
"397","1","24","遗迹三层","80","81","1628@100","22003","50374","1"
"398","1","24","祭坛一层","82","83","1628@100","22003","50374","1"
"399","1","24","祭坛二层","84","85","1628@100","22003","50374","1"
"400","1","24","祭坛三层","86","87","1628@100","22003","50374","1"
"401","1","24","深渊一层","88","89","1628@100","22003","50374","1"
"402","1","24","深渊二层","90","91","1629@100","22003","50374","1"
"403","1","24","深渊三层","92","93","1629@100","22003","50374","1"
"404","1","24","雾都一层","94","95","1629@100","22003","50374","1"
"405","1","24","雾都二层","96","97","1629@100","22003","50374","1"
"406","1","24","雾都三层","98","150","1629@100","22003","50374","1"
"407","1","25","溶洞二层","15","24","1626@100","22003","50374","1"
"408","1","25","溶洞三层","25","29","1626@100","22003","50374","1"
"409","1","25","废矿一层","30","32","1626@100","22003","50374","1"
"410","1","25","废矿二层","33","35","1626@100","22003","50374","1"
"411","1","25","废矿三层","36","39","1626@100","22003","50374","1"
"412","1","25","银堡一层","40","42","1626@100","22003","50374","1"
"413","1","25","银堡二层","43","45","1626@100","22003","50374","1"
"414","1","25","银堡三层","46","49","1626@100","22003","50374","1"
"415","1","25","荒泽一层","50","52","1626@100","22003","50374","1"
"416","1","25","荒泽二层","53","55","1626@100","22003","50374","1"
"417","1","25","荒泽三层","56","59","1626@100","22003","50374","1"
"418","1","25","教堂一层","60","62","1627@100","22003","50374","1"
"419","1","25","教堂二层","63","65","1627@100","22003","50374","1"
"420","1","25","教堂三层","66","69","1627@100","22003","50374","1"
"421","1","25","埋股圣地一层","70","71","1627@100","22003","50374","1"
"422","1","25","埋股圣地二层","72","73","1627@100","22003","50374","1"
"423","1","25","埋股圣地三层","74","75","1627@100","22003","50374","1"
"424","1","25","遗迹一层","76","77","1627@100","22003","50374","1"
"425","1","25","遗迹二层","78","79","1627@100","22003","50374","1"
"426","1","25","遗迹三层","80","81","1628@100","22003","50374","1"
"427","1","25","祭坛一层","82","83","1628@100","22003","50374","1"
"428","1","25","祭坛二层","84","85","1628@100","22003","50374","1"
"429","1","25","祭坛三层","86","87","1628@100","22003","50374","1"
"430","1","25","深渊一层","88","89","1628@100","22003","50374","1"
"431","1","25","深渊二层","90","91","1629@100","22003","50374","1"
"432","1","25","深渊三层","92","93","1629@100","22003","50374","1"
"433","1","25","雾都一层","94","95","1629@100","22003","50374","1"
"434","1","25","雾都二层","96","97","1629@100","22003","50374","1"
"435","1","25","雾都三层","98","150","1629@100","22003","50374","1"
