"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","点卡服可否摆摊上架","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","珍品找回消耗","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","道具类名","道具类名1","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","是否采集获得","左上X","左上Y","右下X","右下Y","进度条文字","进度条时间","使用地图","是否放入任务道具页","耐久上限","使用特效ID","显示特效ID","显示特效X轴","显示特效Y轴","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","摆摊冻结时间","是否稀有","寻路特殊处理","特殊用途1","特殊用途2","特殊用途3","特殊用途4","特殊用途5"
"50327","25","帮派签名册","ff6ddcf6","1","1093","张","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","在上面签上名字，你就是菊爆大队的成员了","帮派注册","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","帮派签名","2","1615","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50328","41","泥土","ff6ddcf6","1","1010","份","0","1","0","true","0","0","0","0","false","false","false","0","0","0","0","9999","9999","0","","取自沼泽深处的泥土，似乎沾染了魔法的气息","取证","","0","给予先知麦完成任务","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50329","41","主宰之剑","ff6ddcf6","1","1529","把","0","1","17000","true","0","0","0","0","false","false","false","0","0","0","0","9999","9999","0","","曾经杀死过上古兽神的宝剑，锐利无比","神器","","0","功能不详","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50330","25","庆祝的烟花","ff6ddcf6","1","1006","个","0","1","0","false","0","0","0","0","true","true","false","0","0","1","1","1","1","0","","华丽的烟火，有许多人用它来许愿","燃放花火","","0","使用方法：点击使用","","","","","","","0","95","95","105","105","点燃烟花","2","1615","1","0","","11067","600","400","","","","","","","","","","","","","","","","","",""
"50331","41","索尔的信物","ff6ddcf6","1","1059","个","0","1","17000","true","0","0","0","0","false","false","false","0","0","0","0","9999","9999","0","","大酋长索尔的信物，获得部落成员的尊敬。","代表部落","","0","获得部落成员信任","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50332","25","天师符咒","ff6ddcf6","1","1285","张","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","牛大胆说这符咒燃烧了以后能引出一些怪物，也不知能否引出妖风。","符咒","","0","使用方法：点击使用","","","","","","","0","34","62","34","62","燃烧符咒中~","2","1616","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50333","41","亚麻布","ff6ddcf6","1","1218","组","0","1","17000","true","0","0","0","0","false","false","false","0","0","0","0","9999","9999","0","","普通的亚麻布。","制作布卷","","0","交给小德完成任务","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50334","25","变身临时符","ff6ddcf6","1","1155","个","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","先知麦给予的变身临时符，使用后变身黑石矮人。","变身","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","变身中","2","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50335","41","黑石便笺","ff6ddcf6","1","1052","封","0","1","17000","true","0","0","0","0","false","false","false","0","0","0","0","9999","9999","0","","在黑石深渊发现的信件，隐藏着某个秘密。","密信","","0","","","","","","","","0","0","0","0","0","","0","0","1","1","","","","","","","","","","","","","","","","","","","","","",""
"50336","25","黑石钥匙","ff6ddcf6","1","1140","把","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","黑石深渊牢门的钥匙。","打开牢门","","0","使用方法：点击使用","","","","","","","0","117","24","122","30","开启牢门","2","2112","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50337","25","黑石钥匙","ff6ddcf6","1","1140","把","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","黑石深渊牢门的钥匙。","打开牢门","","0","使用方法：点击使用","","","","","","","0","80","10","92","15","开启牢门","2","2112","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50338","41","炎魔石板","ff6ddcf6","1","1054","块","0","1","17000","true","0","0","0","0","false","false","false","0","0","0","0","9999","9999","0","","在黑石深渊发现的石板，上面写着某种古老神秘的文字。","密语之石","","0","","","","","","","","0","0","0","0","0","","0","0","1","2","","","","","","","","","","","","","","","","","","","","","",""
"50339","41","引荐信","ff6ddcf6","1","1059","封","0","1","17000","true","0","0","0","0","false","false","false","0","0","0","0","9999","9999","0","","大酋长索尔亲笔写下的引荐信，就算在大地之环也有一定效力。","酋长的推荐","","0","交给大地之环的成员","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50340","41","蓝龙之鳞","ff6ddcf6","1","1056","块","0","1","17000","true","0","0","0","0","false","false","false","0","0","0","0","9999","9999","0","","蓝龙之王的鳞片，似乎可以用于炼金制药。","高阶炼金","","0","交给先知麦","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50341","41","记忆药剂","ff6ddcf6","1","1012","支","0","1","17000","true","0","0","0","0","false","false","false","0","0","0","0","9999","9999","0","","先知麦亲自制作的魔法药剂，可用于恢复失去的记忆。","恢复记忆","","0","交给幽灵狼","","","","","","","0","0","0","0","0","","0","0","1","3","","","","","","","","","","","","","","","","","","","","","",""
"50342","25","国王的配剑","ff6ddcf6","1","1536","把","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","暴风国王的配剑，上面的伤痕显示，这不仅仅是件装饰物。","王者之剑","","0","使用方法：点击使用","","","","","","","0","71","43","77","48","自律之铃","2","1675","1","5","","","","","","","","","","","","","","","","","","","","","",""
"50343","41","国王的信物","ff6ddcf6","1","1417","个","0","1","17000","true","0","0","0","0","false","false","false","0","0","0","0","9999","9999","0","","暴风国王的信物，获得联盟成员的尊敬。","代表联盟","","0","获得联盟成员信任","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50344","25","时间之匙","ff6ddcf6","1","1506","把","0","1","0","true","0","0","0","0","false","false","false","0","0","1","0","9999","9999","0","","神秘的钥匙，能够开启时间的大门。","任务物品","","0","使用方法：点击使用","","","","","","","0","32","32","34","34","时间跃迁","2","1607","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50345","25","微型传送阵","ff6ddcf6","1","1078","个","0","1","0","true","0","0","0","0","false","false","false","0","0","1","0","9999","9999","0","","先知麦制作的微型传送阵，能穿越时空。","任务物品","","0","使用方法：点击使用","","","","","","","0","46","46","50","50","展开法阵","2","1654","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50346","41","六格包包","ff6ddcf6","1","1151","个","0","1","17000","true","0","0","0","0","false","false","false","0","0","0","0","9999","9999","0","","传说中的六格包包，据说交给哀木涕会变成十二格包包。","任务物品","","0","交给哀木涕","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50347","25","国王的配剑","ff6ddcf6","1","1536","把","0","1","0","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","暴风国王的配剑，上面的伤痕显示，这不仅仅是件装饰物。","王者之剑","","0","使用方法：点击使用","","","","","","","0","63","35","67","41","公正之铃","2","1675","1","5","","","","","","","","","","","","","","","","","","","","","",""
"50348","25","国王的配剑","ff6ddcf6","1","1536","把","0","1","0","true","0","0","0","0","false","false","false","0","0","1","0","9999","9999","0","","暴风国王的配剑，上面的伤痕显示，这不仅仅是件装饰物。","王者之剑","","0","使用方法：点击使用","","","","","","","0","61","23","64","27","正义之铃","2","1675","1","5","","","","","","","","","","","","","","","","","","","","","",""
"50350","25","制造书•武器","ff6ddcf6","1","1312","本","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","门派师父给予的武器制造书，到任务指定位置使用。","打造武器","","0","使用方法：点击使用","","","","","","","0","47","36","47","36","打造中","3","1605","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50351","25","制造书•衣甲","ff6ddcf6","1","1329","本","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","门派师父给予的衣甲制造书，到任务指定位置使用。","打造衣甲","","0","使用方法：点击使用","","","","","","","0","41","49","41","49","打造中","3","1606","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50352","25","制造书•头盔","ff6ddcf6","1","1331","本","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","门派师父给予的头盔制造书，到任务指定位置使用。","打造头盔","","0","使用方法：点击使用","","","","","","","0","22","60","22","60","打造中","3","1614","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50353","25","制造书•腰带","ff6ddcf6","1","1334","本","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","门派师父给予的腰带制造书，到任务指定位置使用。","打造腰带","","0","使用方法：点击使用","","","","","","","0","41","44","41","44","打造中","3","1608","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50354","25","制造书•项链","ff6ddcf6","1","1333","本","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","门派师父给予的项链制造书，到任务指定位置使用。","打造项链","","0","使用方法：点击使用","","","","","","","0","55","63","55","63","打造中","3","1609","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50355","25","制造书•鞋子","ff6ddcf6","1","1335","本","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","门派师父给予的鞋子制造书，到任务指定位置使用。","打造靴子","","0","使用方法：点击使用","","","","","","","0","70","57","70","57","打造中","3","1610","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50356","25","铲子","ff6ddcf6","1","1703","把","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","一把铲子，可采集一些草药。","采集草药","","0","使用方法：点击使用","","","","","","","0","18","26","18","26","采集中","5","1614","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50357","25","铲子","ff6ddcf6","1","1703","把","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","一把铲子，可采集一些草药。","采集草药","","0","使用方法：点击使用","","","","","","","0","75","65","75","65","采集中","5","1614","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50358","25","铲子","ff6ddcf6","1","1703","把","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","一把铲子，可采集一些草药。","采集草药","","0","使用方法：点击使用","","","","","","","0","40","95","40","95","采集中","5","1614","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50359","25","铲子","ff6ddcf6","1","1703","把","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","一把铲子，可采集一些草药。","采集草药","","0","使用方法：点击使用","","","","","","","0","18","119","18","119","采集中","5","1614","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50360","25","铲子","ff6ddcf6","1","1703","把","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","一把铲子，可采集一些草药。","采集草药","","0","使用方法：点击使用","","","","","","","0","83","132","83","132","采集中","5","1614","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50361","25","铲子","ff6ddcf6","1","1703","把","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","一把铲子，可采集一些草药。","采集草药","","0","使用方法：点击使用","","","","","","","0","97","55","97","55","采集中","5","1614","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50362","25","公告","ff6ddcf6","1","1052","张","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","帮派长老交给你的布告，到任务指定位置宣读。","完成任务","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","宣读公告","3","1615","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50363","25","公告","ff6ddcf6","1","1052","张","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","帮派长老交给你的布告，到任务指定位置宣读。","完成任务","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","宣读公告","3","1616","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50364","25","公告","ff6ddcf6","1","1052","张","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","帮派长老交给你的布告，到任务指定位置宣读。","完成任务","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","宣读公告","3","1614","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50365","25","公告","ff6ddcf6","1","1052","张","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","帮派长老交给你的布告，到任务指定位置宣读。","完成任务","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","宣读公告","3","1611","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50366","25","公告","ff6ddcf6","1","1052","张","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","帮派长老交给你的布告，到任务指定位置宣读。","完成任务","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","宣读公告","3","1609","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50367","25","公告","ff6ddcf6","1","1052","张","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","帮派长老交给你的布告，到任务指定位置宣读。","完成任务","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","宣读公告","3","1610","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50368","25","告示","ff6ddcf6","1","1052","张","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","帮派长老交给你的告示，到任务指定位置张贴。","完成任务","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","张贴告示","3","1605","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50369","25","告示","ff6ddcf6","1","1052","张","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","帮派长老交给你的告示，到任务指定位置张贴。","完成任务","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","张贴告示","3","1606","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50370","25","告示","ff6ddcf6","1","1052","张","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","帮派长老交给你的告示，到任务指定位置张贴。","完成任务","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","张贴告示","3","1607","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50371","25","告示","ff6ddcf6","1","1052","张","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","帮派长老交给你的告示，到任务指定位置张贴。","完成任务","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","张贴告示","3","1608","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50372","25","告示","ff6ddcf6","1","1052","张","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","帮派长老交给你的告示，到任务指定位置张贴。","完成任务","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","张贴告示","3","1609","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50373","25","告示","ff6ddcf6","1","1052","张","0","1","17000","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","帮派长老交给你的告示，到任务指定位置张贴。","完成任务","","0","使用方法：点击使用","","","","","","","0","0","0","0","0","张贴告示","3","1610","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50374","25","黄金剑","ff6ddcf6","1","2125","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50375","25","墨杆金钩","ff6ddcf6","1","2126","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50376","25","黄金钺","ff6ddcf6","1","2127","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50377","25","避水扇","ff6ddcf6","1","2128","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50378","25","幽路引魂","ff6ddcf6","1","2129","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50379","25","玄冰刺","ff6ddcf6","1","2130","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50380","25","破甲战锤","ff6ddcf6","1","2131","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50381","25","青藤鞭","ff6ddcf6","1","2132","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50382","25","赤炎环","ff6ddcf6","1","2133","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50383","25","玉腰弯弓","ff6ddcf6","1","2134","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50384","25","云龙绸带","ff6ddcf6","1","2135","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50385","25","蓬莱珠","ff6ddcf6","1","2136","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50386","25","破天宝刀","ff6ddcf6","1","2137","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50387","25","鱼骨双剑","ff6ddcf6","1","2138","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50388","25","金刚杵","ff6ddcf6","1","2139","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50389","25","星云杖","ff6ddcf6","1","2140","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50390","25","冷月弯刀","ff6ddcf6","1","2141","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50391","25","钢甲","ff6ddcf6","1","2142","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50392","25","金缕羽衣","ff6ddcf6","1","2143","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50393","25","羊头盔","ff6ddcf6","1","2144","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50394","25","媚狐头饰","ff6ddcf6","1","2145","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50395","25","荧光坠子","ff6ddcf6","1","2146","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50396","25","乱牙咬","ff6ddcf6","1","2147","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50397","25","绿靴","ff6ddcf6","1","2148","件","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50398","25","金刚石","ff6ddcf6","1","1183","块","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50399","25","夜光珠","ff6ddcf6","1","1210","个","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50400","25","龙鳞","ff6ddcf6","1","1238","块","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50401","25","避水珠","ff6ddcf6","1","1211","个","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50402","25","器灵宝珠","ff6ddcf6","1","1214","个","0","1","17001","true","0","0","0","0","false","false","false","0","0","0","1","9999","9999","0","","","循环任务物品","","0","","","","","","","","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"50403","25","补天石","ff6ddcf6","1","75","个","0","1","17001","true","0","0","0","0","false","false","false","0","0","1","1","9999","9999","0","","","捕捉宝宝的工具","","0","","","","","","","","0","47","86","57","96","放置陷阱","2","1687","1","0","","","","","","","","","","","","","","","","","","","","","",""
